Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125)
8.954892996847975e-14,0.6865324184023518,3.76,0.0,0.842157464169478,0.999999999999805,1.7574691734128916e-28,7.655851738005256e-42,1.109304750366821e-28,2.1072989766195077e-13,1.9496670236545922e-13,1.1986002300943857e-22,7.997104420255044e-22,1.5763191200249277e-14,1.0879369723197291e-19,7.510906525160423e-23,1.6571168975221764e-20,9.46588200334589e-24,2.3530365645335334e-29,2.5063680712992133e-34,1.3428502972784999e-30,6.454989845684342e-34,1.0956333668163868e-31,4.3800866425655843e-23,5.442960070034746e-48,5.358276425434164e-47,7.182386813836162e-54,2.08785132911555e-71,1.0704881065854697e-19,6.494897082765643e-25,5.914783947996697e-37,1.1086958174054742e-39,1.6852641118571405e-35,3.0269616868921915e-30,1.2704895729230386e-31,3.1757225574566296e-59,1.0509714890528581e-55,1.8388742143767223e-66,8.53957194438067e-71,2.1172092366330446e-51,1.4344465714316368e-41
1.7917566091868711e-13,0.6865324184023537,3.76,0.0,0.8421574641692671,0.9999999999996099,1.4070437522590148e-27,6.129303140177492e-41,4.440093463033292e-28,4.216428826797244e-13,3.9010279374630235e-13,4.797517707704924e-22,3.2009253808932e-21,3.154007253777845e-14,2.211730719848826e-19,3.0063210870169725e-22,3.462612852344537e-20,3.788809159090977e-23,9.418773991356501e-29,2.0066162813263115e-33,5.4256539695243795e-30,5.167915491935627e-33,8.771632649526656e-31,1.7531761299413597e-22,8.7145868606711465e-47,8.582979085585648e-46,2.3010751766623978e-52,1.338286386290848e-69,2.1418897937034534e-19,2.5996207081385722e-24,4.7366731126578345e-36,8.876443751323608e-39,1.349195623841603e-34,2.4231481549500028e-29,1.0195026251795841e-30,1.0174689794458051e-57,3.36785338808302e-54,1.1784536019264119e-64,5.472501951729323e-69,3.3977492541618145e-50,2.2967033254893487e-40
3.5842912281910183e-13,0.6865324184023576,3.76,0.0,0.8421574641688453,0.9999999999992196,1.1260623053449978e-26,4.905251975617963e-40,1.776602553978734e-27,8.43468862229982e-13,7.803749766496865e-13,1.919626502921294e-21,1.2807866978529992e-20,6.309381997636843e-14,4.564098335738622e-19,1.2029208891140365e-21,7.514613608688348e-20,1.5160087583741642e-22,3.7691330125218065e-28,1.6058993598159245e-32,2.211584103513276e-29,4.135900956128942e-32,7.019818015089068e-30,7.014988052540264e-22,1.3945030089515399e-45,1.3740487643242892e-44,7.36774010872524e-51,8.57174683345724e-68,4.284643737948636e-19,1.0401622969433022e-23,3.7927778387959785e-35,7.104070182261044e-38,1.0797019215651852e-33,1.9388361810286466e-28,8.196537184119611e-30,3.257801556940444e-56,1.0784739124238531e-52,7.546066529305584e-63,3.50407013818341e-67,5.462479014356992e-49,3.6753245038401054e-39
7.169360466199313e-13,0.6865324184023653,3.76,0.0,0.8421574641680016,0.999999999998439,9.010204107950907e-26,3.924861474884976e-39,7.107461613526876e-27,1.6871208593893813e-12,1.560919343023242e-12,7.679712104358708e-21,5.1239776343639664e-20,1.262012539077414e-13,9.6879536461957e-19,4.812473755328509e-21,1.7382646281495074e-19,6.064954825126662e-22,1.5082159395936675e-27,1.2849578251738886e-31,9.172755771301841e-29,3.3093458363262514e-31,5.616674560558194e-29,2.806451941685857e-21,2.23038360972868e-44,2.1990724258882672e-43,2.3583383013226874e-49,5.488209609616385e-66,8.569953915716349e-19,4.161129657894849e-23,3.0379981298874676e-34,5.684683420028285e-37,8.638221750052745e-33,1.550693715592839e-27,6.618317092228284e-29,1.0427488657851241e-54,3.4523412435026104e-51,4.8293725257447265e-61,2.242334221361066e-65,8.818127667005568e-48,5.878847953222289e-38
1e-12,0.6865324184023807,3.76,0.0,0.8421574641673355,0.9999999999978227,3.3912319675080867e-25,1.4771743801723087e-38,1.552572956751408e-26,2.3532376769040297e-12,2.1772086244482667e-12,1.6775990125235777e-20,1.1193184178259608e-19,1.7602847912240103e-13,1.439540486496417e-18,1.0512743932578554e-20,2.7959699529791032e-19,1.3248521231279176e-21,3.295660194364642e-27,4.836252337317943e-31,2.106409402175367e-28,1.2455601769498834e-30,2.1138325204987785e-28,6.1306201123393635e-21,1.5423448843343965e-43,1.522295689835175e-42,3.122373622975798e-48,1.4202297412104782e-64,1.195316590064485e-18,9.089256439105403e-23,1.1454535917090999e-33,2.1398048459890002e-36,3.2505765348767907e-32,5.832230926395377e-27,2.5287388322840167e-28,1.380443626813903e-53,4.571080763067905e-50,1.2487090602690722e-59,5.796795263657057e-64,6.200715530592999e-47,4.065935949613085e-37
1.4339498942215902e-12,0.6865324184023807,3.76,0.0,0.8421574641663143,0.9999999999968779,7.208839362307781e-25,3.140050695633558e-38,2.843131660726245e-26,3.37442500594406e-12,3.1220080780374723e-12,3.072099738537857e-20,2.0497553407485334e-19,2.524158779877891e-13,2.1612141344635313e-18,1.9251516958654422e-20,4.41748024542927e-19,2.426125473146476e-21,6.035893403230262e-27,1.0280548085655139e-30,3.929405553510852e-28,2.647722743864454e-30,4.493372046766475e-28,1.1226720865560306e-20,3.5649016932187783e-43,3.518916319799743e-42,7.547570200686918e-48,3.5133696804295034e-64,1.7139783502278038e-18,1.6644298576687187e-22,2.4357470532594612e-33,4.548735059634973e-36,6.909579349016432e-32,1.2396021891467047e-26,5.390792226578836e-28,3.3368682553163954e-53,1.1049495552272598e-49,3.0890002786667474e-59,1.4339785611934865e-63,1.4354834994426401e-46,9.397946304443628e-37
2.867977589424908e-12,0.6865324184024117,3.76,0.0,0.8421574641629397,0.9999999999937558,5.76733191365684e-24,2.511941231806389e-37,1.137231449371442e-25,6.7490339079996805e-12,6.24418555713415e-12,1.228861805709459e-19,8.199334801113639e-19,5.048441510213343e-13,5.216639915425094e-18,7.700964322133131e-20,1.2598320760429736e-18,9.70446558207004e-21,2.4164866211054974e-26,8.22468396482766e-30,1.7798384372863385e-27,2.1182702613417482e-29,3.594237582410128e-27,4.4908706464252146e-20,5.691134639857342e-42,5.630345945894056e-41,2.4152551175007447e-46,2.2490826619873648e-62,3.4276280190729896e-18,6.656730777195526e-22,1.9568723596452388e-32,3.6400505802315167e-35,5.5252804402655595e-31,9.90019708531539e-26,4.465478537451655e-27,1.0675969344691043e-51,3.536186275227941e-48,1.9741336680624296e-57,9.160768026955384e-62,2.3750660587689067e-45,1.500821005774539e-35
5.736032979831544e-12,0.6865324184024736,3.76,0.0,0.8421574641561904,0.9999999999875114,4.6139536694583186e-23,2.009251023459515e-36,4.548478490926978e-25,1.3498254147917929e-11,1.2488540551598321e-11,4.915322491098052e-19,3.279784490992058e-18,1.0096967966161566e-12,1.4009823724727102e-17,3.080483745940997e-19,4.024942251195027e-18,3.8815202812072193e-20,9.682391862269185e-26,6.579671529685036e-29,8.783632012175738e-27,1.6946428460169102e-28,2.8744495511307754e-26,1.7963844584059195e-19,9.064727878488056e-41,9.007848037571775e-40,7.747717015967217e-45,1.7160534114634617e-60,6.853662835694996e-18,2.6617392131015147e-21,1.578605717073389e-31,2.9135310900312665e-34,4.416100979662754e-30,7.893122625045222e-25,3.815473239251375e-26,3.414230038980722e-50,1.2263096812723575e-46,1.3633991297433486e-55,6.321816516972925e-60,4.0501478861997887e-44,2.3920517727801234e-34
1e-11,0.6865324184025973,3.76,0.0,0.8421574641461563,0.999999999978228,2.862266595374353e-22,1.2460344349665133e-35,1.4688810280456568e-24,2.3532395533018767e-11,2.17720865238832e-11,1.5875624494001398e-18,1.059392088068114e-17,1.760254744579808e-12,3.505831710263987e-17,9.95046667920143e-19,1.1492550134176384e-17,1.2535630262800432e-19,3.1371682644910316e-25,4.081460669201326e-28,3.826842436023603e-26,1.0512650280026842e-27,1.7819820144984226e-25,5.802491200587573e-19,1.091708445015615e-39,1.0942577904009482e-38,1.8625845616032778e-43,8.230413038277206e-59,1.1943426381588648e-17,8.591686385342968e-21,9.947926858882239e-31,1.809110909624641e-33,2.734534716537585e-29,4.864455170023067e-24,2.6530947036793484e-25,8.199744377287062e-49,2.95564523977523e-45,6.505131775762017e-54,3.0117011558956757e-58,5.514626733354194e-43,2.8844842673793914e-33
1.1472143760644815e-11,0.6865324184025973,3.76,0.0,0.842157464142692,0.9999999999750228,3.6911725372648383e-22,1.6068606739903423e-35,1.8189781583521314e-24,2.6996704371158078e-11,2.4977250685593474e-11,1.9659692272208457e-18,1.3119142159283008e-17,2.019386486188216e-12,4.2325354593948566e-17,1.232234302418689e-18,1.407075777505976e-17,1.552348029847757e-19,3.8859956814820475e-25,5.263429149654306e-28,4.8448112168278717e-26,1.3557086262738655e-27,2.2979741402864086e-25,7.185608147103461e-19,1.4373269601025766e-39,1.4409528513219063e-38,2.4788967178569682e-43,1.1012733683219461e-58,1.3700678164213541e-17,1.063901336730066e-20,1.2837452936703516e-30,2.3331200461368387e-33,3.526171859811102e-29,6.271407000715789e-24,3.4373513093934627e-25,1.0912846688880306e-48,3.933749494357279e-45,8.703970828527004e-54,4.029671233439353e-58,7.278731218256969e-43,3.7977725478087015e-33
2.2944365322271357e-11,0.6865324184028446,3.76,0.0,0.842157464115695,0.9999999999500453,2.9529008236177036e-21,1.2846021858216997e-34,7.272497954109746e-24,5.399364379265752e-11,4.9954671533719434e-11,7.86247910995408e-18,5.247580143971293e-17,4.03870346103404e-12,1.4187174346891787e-16,4.929188324803303e-18,5.2223384679023124e-17,6.207217778664495e-19,1.5648065494183728e-24,4.2101766482977195e-27,3.003001728598776e-25,1.0845385503213064e-26,1.8358137421933106e-24,2.8742556521245532e-18,2.2590666545281622e-38,2.3044933990999903e-37,7.928630824214997e-42,7.050874089965544e-57,2.737452179313932e-17,4.2491958480031107e-20,1.060140539137651e-29,1.8701131579043765e-32,2.810198975255096e-28,4.9493162558510713e-23,3.353645768645223e-24,3.4839198256837785e-47,1.2588953882455247e-43,5.504528544647004e-52,2.540788897100559e-56,1.4191903047505736e-41,5.983608087671484e-32
4.588880844552444e-11,0.6865324184033397,3.76,0.0,0.8421574640617009,0.9999999999000903,2.3622401008975907e-20,1.0262569090066904e-33,2.9062488963521965e-23,1.0798767854696423e-10,9.990951554946153e-11,3.143849993302254e-17,2.0989546643549098e-16,8.077087810911191e-12,5.126152235614321e-16,1.971861003218755e-17,2.0076154452569304e-16,2.4811304434205894e-18,6.3424562170273404e-24,3.367208550699313e-26,2.053265947535841e-24,8.675777497892187e-26,1.464545742839064e-23,1.1497034039245428e-17,3.490896926164918e-37,3.683837421816452e-36,2.5346571680443405e-40,4.515678720608992e-55,5.464170173758837e-17,1.6945541963197307e-19,9.004548574347933e-29,1.501795260429297e-31,2.2311038134885966e-27,3.8546927883567017e-22,3.611585267944709e-23,1.1096200476862191e-45,4.0281855324073746e-42,3.4402317867798766e-50,1.5788428499777132e-54,3.07962535520077e-40,9.287217508391516e-31
6.883325156877752e-11,0.6865324184038346,3.76,0.0,0.8421574640077065,0.9999999998501351,6.754392158118587e-20,2.9322332947857187e-33,6.171737623051581e-23,1.6198186922380347e-10,1.498643618836402e-10,6.678998401436631e-17,4.460160491662303e-16,1.2115222578354277e-11,1.0549988005846554e-15,4.19047289444564e-17,4.2152153434641165e-16,5.269819370448007e-18,1.3620603877139928e-23,9.627059011659691e-26,5.80118295652564e-24,2.4806408465524535e-25,4.180954678729775e-23,2.4431189572148612e-17,1.2639331487611571e-36,1.4004762376754452e-35,1.185671385726258e-39,2.3442238903723605e-54,8.18286144488941e-17,3.593417814615436e-19,2.6598585272786658e-28,4.307784403776235e-31,6.351725313854116e-27,1.0854527155296106e-21,1.180672192138118e-22,5.184287877299662e-45,1.8260311553029933e-41,1.863756534723527e-49,8.536573462435227e-54,1.2944769745447483e-39,3.3689159566291914e-30
9.177769469203061e-11,0.6865324184043295,3.76,0.0,0.8421574639537122,0.9999999998001798,1.424670112195008e-19,6.181040359070808e-33,1.0521913461999485e-22,2.159762158343946e-10,1.9981921053520202e-10,1.139093984009562e-16,7.608321207299963e-16,1.6153107780745495e-11,1.7690118698509954e-15,7.148872715252294e-17,7.144922793942519e-16,8.985635544593502e-18,2.3474516717907885e-23,2.0304675565270236e-25,1.2289750687293446e-23,5.232218539017749e-25,8.805988728687888e-23,4.16767106842661e-17,3.159048985642009e-36,3.7517508521586313e-35,3.68984413587496e-39,9.330434729131693e-54,1.0893549928442216e-16,6.118177136031365e-19,5.771996082232825e-28,9.116415429060896e-31,1.3344638387649072e-26,2.2581613346298494e-21,2.7668605029061665e-22,1.6684967640662494e-44,6.080947110828266e-41,6.891338650764481e-49,3.151826530482762e-53,3.8054343202966064e-39,8.433135088904503e-30
9.999999999999999e-11,0.6865324184053196,3.76,0.0,0.8421574639343629,0.9999999997822779,1.7716925620271594e-19,7.68513145006403e-33,1.2286908312196179e-22,2.353255058412801e-10,2.1772088830258582e-10,1.330337675057774e-16,8.886314365304875e-16,1.7600065310508876e-11,2.057560171696009e-15,8.34992619320099e-17,8.332270135799634e-16,1.0493465821543861e-17,2.752058954060688e-23,2.525022414413981e-25,1.5373894157971094e-23,6.506653934497089e-25,1.0945108738276793e-22,4.867767339287548e-17,4.1492622320142536e-36,5.127681573558007e-35,5.351448410699412e-39,1.5984370381399672e-53,1.1863426757843167e-16,7.141282338101543e-19,7.252032367768873e-28,1.135341623431948e-30,1.6570904139007303e-26,2.7940487959678454e-21,3.5654356646135074e-22,2.499402757305373e-44,9.31403625704282e-41,1.1141450110843436e-48,5.091355733137292e-53,5.4672492526086985e-39,1.1082722871661018e-29
1.3766658093853677e-10,0.6865324184053196,3.76,0.0,0.8421574638457229,0.9999999997002691,3.8910929897851434e-19,1.686773294426817e-32,2.176237967438588e-22,3.239652750573235e-10,2.9972891327381043e-10,2.357434905611041e-16,1.575140919342758e-15,2.4228292525555822e-11,3.599809025635324e-15,1.4802275456239483e-16,1.4698736417994754e-15,1.858960930068991e-17,4.9528402370569626e-23,5.545450015173909e-25,3.4621298675522993e-23,1.429003464817862e-24,2.3993551509595692e-22,8.628622847325207e-17,1.078370500578423e-35,1.5028168323722328e-34,1.8117895855321988e-38,7.446029006924561e-53,1.6296218812536306e-16,1.2626346947718714e-18,1.6492533727138933e-27,2.5066681885715674e-30,3.620892835895266e-26,6.028940978246021e-21,8.776099600590112e-22,9.130391466084557e-44,3.5647356146296045e-40,4.712592516432723e-48,2.1503504617689807e-52,1.821968354903808e-38,2.8851155208698406e-29
1.8355546718504292e-10,0.6865324184063094,3.76,0.0,0.8421574637377329,0.999999999600358,8.141238731606745e-19,3.526636908560054e-32,3.6976697060946435e-22,4.3195490779738786e-10,3.996386245255052e-10,4.0078995279525936e-16,2.6787960018537742e-15,3.230255967507509e-11,6.061660954050182e-15,2.517712213984048e-16,2.490707725800306e-15,3.1593406405061096e-17,8.581406170414429e-23,1.1602620431077816e-24,7.444110356239181e-23,2.9898087685392566e-24,5.009451076306463e-22,1.4675007987159445e-16,2.641704490378845e-35,4.050266703519917e-34,5.667250890119134e-38,2.8644584831160526e-52,2.1669656389988996e-16,2.1408661658771236e-18,3.584504285457472e-27,5.2794067905484766e-30,7.531961726304972e-26,1.2363464192851229e-20,2.056048397670089e-21,2.9199511639956563e-43,1.1747517639017299e-39,1.7602088183187975e-47,8.016128384727503e-52,5.503863279323953e-38,7.079978375188776e-29
2.2944435343154908e-10,0.6865324184072992,3.76,0.0,0.8421574636297423,0.9999999995004466,1.4820387620099911e-18,6.415238026647092e-32,5.643673089117617e-22,5.399451550949681e-10,4.995483448913231e-10,6.120851399659036e-16,4.0924286683921725e-15,4.037584380299491e-11,9.199572128860468e-15,3.8468588504747813e-16,3.795881444242597e-15,4.8232196961890276e-17,1.335797669707928e-22,2.1121859055747786e-24,1.3811196832558916e-22,5.442564738925147e-24,9.099561502465741e-22,2.242006400488756e-16,5.494407712120911e-35,9.066049880199888e-34,1.453467461140579e-37,8.85716822951607e-52,2.7011933091860655e-16,3.2605577751048424e-18,6.770450091139938e-27,9.67768130764048e-30,1.3630444522863939e-25,2.2055038953916975e-20,4.137315554882021e-21,7.600438949937785e-43,3.1317332067434396e-39,5.235940195776277e-47,2.3796025525305578e-51,1.3779847833659472e-37,1.4749506832041755e-28
3.212221259245614e-10,0.6865324184092789,3.76,0.0,0.8421574634137589,0.9999999993006226,3.912710612245723e-18,1.6900144578744483e-31,1.0827987836167425e-21,7.559275324722254e-10,6.993678134901245e-10,1.1759869761847819e-15,7.868851762094275e-15,5.651940203396881e-11,1.754555816853096e-14,7.398989696971032e-16,7.276607069813962e-15,9.259128567732473e-17,2.6769250658173753e-22,5.576586746470588e-24,3.7237381030912586e-22,1.4368034124274726e-23,2.3882682207513203e-21,4.3112836915404826e-16,1.8931843880155814e-34,3.4982012898503726e-33,8.143378113408838e-37,7.349877689546958e-51,3.760210945436604e-16,6.2247834918290995e-18,1.9590114472173992e-26,2.6018067567450783e-29,3.5414235370432004e-25,5.521257448368855e-20,1.352906258357793e-20,4.19896632307491e-42,1.7525300011960913e-38,4.252005066745499e-46,1.9130866686403993e-50,7.165064001300822e-37,5.10216765653259e-28
4.129998984175737e-10,0.6865324184112587,3.76,0.0,0.8421574631977725,0.999999999100797,8.111449159655062e-18,3.4966338091317084e-31,1.7718770998476593e-21,9.71912407020936e-10,8.991873189999694e-10,1.9269732815569476e-15,1.2903710155095598e-14,7.265896944766574e-11,2.863630967627612e-14,1.2136895248926519e-15,1.1911070255435939e-14,1.5159884819183116e-16,4.560444255731756e-22,1.1561141307702391e-23,7.788948984362848e-22,2.978488826447048e-23,4.924877294262084e-21,7.070469589781723e-16,4.680035822266063e-34,9.281227216389229e-33,2.6997877759458368e-36,3.024536828052836e-50,4.8068081362837205e-16,1.0137159883285331e-17,4.37439851513461e-26,5.47794699601382e-29,7.236478497424332e-25,1.0917258639725925e-19,3.257526094157624e-20,1.375579389630841e-41,5.827403612000773e-38,1.699341068914199e-45,7.600567176902897e-50,2.2893955903346348e-36,1.2642458379174589e-27
