Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14)
3.2767e-11,0.5018043279445346,3.76,0.0,0.9295904682818554,0.9999999999999585,3.573748311165265e-26,2.391299081765489e-45,1.218024796219901e-32,4.154629755200166e-14,4.15308201544632e-14,3.602075677458573e-20,8.356951713497809e-22,1.551394965149062e-17,1.1641667001773477e-22,7.891378790090822e-22,6.964085289510259e-23,2.1680473151553167e-23,6.451020468484015e-33,1.5338588165394762e-35,7.7130294525219755e-31,1.0951582753460813e-32,3.3725805010972904e-34
6.5535e-11,0.5018043279445348,3.76,0.0,0.9295904682818139,0.999999999999917,2.85900167424115e-25,1.907116393126712e-44,4.8647541677951444e-32,8.309446241723341e-14,8.30635806518584e-14,1.440835679207677e-19,3.3427551971080758e-21,3.102797432146332e-17,4.656746370409322e-22,3.1566701384231488e-21,2.7583311522125646e-22,8.67144959511278e-23,5.161060367603041e-32,1.2282159282261347e-34,6.170749666844434e-30,8.760464560336955e-32,2.7099653132288387e-33
9.999999999999999e-11,0.5018043279445346,3.76,0.0,0.9295904682817703,0.9999999999998733,1.338301583400654e-24,8.877718674675477e-44,1.2508486763803172e-31,1.2679422152292105e-13,1.26747253969561e-13,3.713880393160233e-19,8.616084843072876e-21,4.7344419519941853e-17,1.2003433599494208e-21,8.137043459099943e-21,7.081086308618312e-22,2.2348174609716536e-22,2.416053919803333e-31,5.758840817484311e-34,2.8887500167250605e-29,4.100100322012996e-31,1.2785457800453213e-32
1.31071e-10,0.5018043279445346,3.76,0.0,0.9295904682817309,0.9999999999998339,2.2870659645353426e-24,1.5161878938421357e-43,1.9399489679531172e-31,1.6619057188336851e-13,1.661291026175905e-13,5.763083129478814e-19,1.3370114305709531e-20,6.20540747865e-17,1.8626643200390673e-21,1.2626965973150394e-20,1.0978150735273846e-21,3.467806066596936e-22,4.128901175686982e-31,9.843304648447343e-34,4.9367179691351003e-29,7.006659952648217e-31,2.1868748880405297e-32
2.62143e-10,0.5018043279445346,3.76,0.0,0.9295904682815647,0.9999999999996678,1.8293801436754218e-23,1.1979110148016578e-42,7.712379342930021e-31,3.323819099535674e-13,3.322601504322545e-13,2.3049650549922554e-18,5.3471802094887174e-20,1.240984817102963e-16,7.450187757485908e-21,5.0508819750207384e-20,4.3797725951919896e-21,1.3864673930061996e-21,3.3030705504633135e-30,7.902896174534446e-33,3.9494021388284913e-28,5.6024196324805586e-30,1.77966883727406e-31
5.24287e-10,0.5018043279445346,3.76,0.0,0.9295904682812323,0.9999999999993355,1.4630456864050315e-22,9.348942374444241e-42,3.047621267794781e-30,6.64761064206929e-13,6.64522261589847e-13,9.217594298371106e-18,2.1381519116703084e-19,2.481561314705738e-16,2.9796604598326983e-20,2.0204026498038723e-19,1.7492494440477257e-20,5.5405635257642845e-21,2.6423218351923837e-29,6.368584417023548e-32,3.1595015799338007e-27,4.477220958225365e-29,1.47191208086314e-30
9.999999999999999e-10,0.5018043279445348,3.76,0.0,0.9295904682806291,0.9999999999987326,1.07487822386445e-21,6.550248994177338e-41,1.1081350593410762e-29,1.2679171034854486e-12,1.2674787299831103e-12,3.4291705776276743e-17,7.953038221223604e-19,4.731706620297282e-16,1.1087371072853348e-19,7.520355742191333e-19,6.503344594198393e-20,2.058371906105015e-20,1.9422757360729925e-28,4.7522119625589945e-31,2.322640368455399e-26,3.2845598981393728e-28,1.1517941622714929e-29
1.0485750000000002e-09,0.5018043279445348,3.76,0.0,0.9295904682805675,0.999999999998671,1.1696947735540813e-21,7.123632225891214e-41,1.190167377564837e-29,1.3295052976444358e-12,1.3290465459818386e-12,3.685202043036287e-17,8.546795596966023e-19,4.961468699994726e-16,1.1915248475883076e-19,8.081955323162891e-19,6.988784706027522e-20,2.211977395155454e-20,2.113620571226329e-28,5.172430239704275e-31,2.5275432762447455e-26,3.5742290815494147e-28,1.2543740549789561e-29
2.0971510000000003e-09,0.5018043279445348,3.76,0.0,0.929590468279238,0.9999999999973417,9.345675764278972e-21,5.1861158582085825e-40,4.5443257586508635e-29,2.6589375638973873e-12,2.6580953627834793e-12,1.4726094940218967e-16,3.414066208360252e-18,9.916308636480519e-16,4.763372378676305e-19,3.233045588956678e-18,2.791560036833535e-19,8.814077711836172e-20,1.6905090148698666e-27,4.2726466432891985e-30,2.0219316682827102e-25,2.847370326606574e-27,1.1257136216572876e-28
4.194303e-09,0.5018043279445348,3.76,0.0,0.9295904682765789,0.9999999999946833,7.457584110944582e-20,3.474911731131985e-39,1.6650672920073891e-28,5.3175780883372245e-12,5.316193986147773e-12,5.878690619288508e-16,1.3619167138227055e-17,1.980614965304809e-15,1.903169527184679e-18,1.2934241896773917e-17,1.1139904132235727e-18,3.4988465657066396e-19,1.3517845942343902e-26,3.663112616884064e-29,1.6173769839160221e-24,2.2589055103066886e-26,1.0937922637357278e-27
6.291455e-09,0.5018043279445348,3.76,0.0,0.9295904682739198,0.9999999999920245,2.1292975650371294e-19,8.983882028794372e-39,3.3357752674619667e-28,7.975995396326353e-12,7.974293596970136e-12,1.2475000660985518e-15,2.888640689225049e-17,2.967621193245165e-15,4.041039742596868e-18,2.748825080424268e-17,2.3635169505296732e-18,7.396052791258547e-19,4.0120880120542537e-26,1.1007223234932766e-28,4.801303256041996e-24,6.428155573567093e-26,3.4421211053430224e-27
8.388607e-09,0.5018043279445348,3.76,0.0,0.9295904682712607,0.9999999999893655,4.4853766259612995e-19,1.7329032828859537e-38,5.398595206581106e-28,1.0634190276683813e-11,1.0632394192954482e-11,2.125389278885321e-15,4.919171114509128e-17,3.952655523701731e-15,6.888527332369356e-18,4.689636731607153e-17,4.026135363223121e-18,1.2556003622244902e-18,8.740033744609383e-26,2.437730278875869e-28,1.0461128967596951e-23,1.3500151694883583e-25,7.858186387171222e-27
9.999999999999999e-09,0.5018043279445348,3.76,0.0,0.9295904682692175,0.9999999999873224,6.981113636542124e-19,2.53188637997031e-38,7.152897769234857e-28,1.2676555283214766e-11,1.2674804942567704e-11,2.9154022259461878e-15,6.745461340913045e-17,4.70848450195193e-15,9.452618177996355e-18,6.438982615491374e-17,5.522080291972249e-18,1.7180145113301808e-18,1.3995026711233318e-25,3.956241584289315e-28,1.6753178650250182e-23,2.0964204405280143e-25,1.2942640169839462e-26
1.2582911e-08,0.5018043279445348,3.76,0.0,0.9295904682659425,0.999999999984047,1.2224064015082092e-18,4.0985868705213527e-38,1.0271777265068028e-27,1.595006044940209e-11,1.5948597689941447e-11,4.3910447359650344e-15,1.0155211559772913e-16,5.918114662408714e-15,1.424454118373196e-17,9.710882841203287e-17,8.315931763300495e-18,2.578757056990787e-18,2.5359055128525265e-25,7.280733974725534e-28,3.0361486762376993e-23,3.660871611856418e-25,2.4158580886823747e-26
1.6777215e-08,0.5018043279445348,3.76,0.0,0.9295904682606243,0.9999999999787277,2.5527057076829494e-18,7.550894757047724e-38,1.615642398765297e-27,2.1265119188865843e-11,2.126480479074366e-11,7.452999813145843e-15,1.7224094078255898e-16,7.876371566973742e-15,2.4198332394313567e-17,1.6518202857921488e-16,1.4111603188700423e-17,4.352454509782105e-18,5.543719316852141e-25,1.651595040991181e-27,6.638987264409642e-23,7.611137019251689e-25,5.550701129298737e-26
2.0971519e-08,0.5018043279445346,3.76,0.0,0.9295904682553061,0.9999999999734076,4.637914088962664e-18,1.2114227048362091e-37,2.2857366302116387e-27,2.6579313745973892e-11,2.65810157375806e-11,1.1363081384537517e-14,2.62408981511274e-16,9.826950957066353e-15,3.692605651796307e-17,2.523999260809924e-16,2.1510142691122834e-17,6.597993000827977e-18,1.039681054125888e-24,3.258361076079987e-27,1.245424933621091e-22,1.3766613623310098e-24,1.101434791857396e-25
2.9360127e-08,0.5018043279445339,3.76,0.0,0.9295904682446697,0.9999999999627645,1.2179763955427995e-17,2.387271640352842e-37,3.763923219890154e-27,3.720509093941956e-11,3.721344930893471e-11,2.1747048391231385e-14,5.013492798086063e-16,1.370485544100837e-14,7.081445229216148e-17,4.8552499506935935e-16,4.114569750738991e-17,1.246358502728159e-17,2.841772943987611e-24,1.0520512691177219e-26,3.406752018946024e-22,3.5722502334756104e-24,3.5460493793095006e-25
4.6137343e-08,0.501804327944532,3.76,0.0,0.929590468223397,0.9999999999414679,4.652521644386026e-17,5.396973396621146e-37,7.005307080262047e-27,5.844645614498888e-11,5.847836230563061e-11,5.251872939544958e-14,1.206366160529309e-15,2.136964889512956e-14,1.717636231843778e-16,1.1853660313380056e-15,9.925759953465166e-17,2.928913260667664e-17,1.12596403610963e-23,5.849263213758756e-26,1.3521975902215883e-21,1.3289428886864378e-23,1.9056941399707782e-24
6.12368374e-08,0.5018043279445291,3.76,0.0,0.9295904682042512,0.9999999999222897,1.0534268360681689e-16,8.56964117680304e-37,1.0090093510659708e-26,7.755225713600633e-11,7.76168357385603e-11,9.143528334161249e-14,2.094122866074652e-15,2.816556092673797e-14,3.0010675985463567e-16,2.0820057560868658e-15,1.7265369648092577e-16,4.988396920523831e-17,2.5878251509414786e-23,1.6232199829166764e-25,3.1115414289887242e-21,2.9550933686407495e-23,5.1616361543579266e-24
7.63363318e-08,0.5018043279445252,3.76,0.0,0.9295904681851054,0.9999999999031007,1.9923882185313265e-16,1.1906155146396441e-36,1.321277787254059e-26,9.664752496542239e-11,9.675535731469496e-11,1.4069885164518632e-13,3.2131070853214135e-15,3.4866583685799564e-14,4.634269020837948e-16,3.231684298178771e-15,2.6544075170447627e-16,7.513897815934191e-17,4.947503778743754e-23,3.652301505580839e-25,5.95594698458042e-21,5.491607764811855e-23,1.131912432844208e-23
9.143582619999999e-08,0.5018043279445208,3.76,0.0,0.9295904681659597,0.9999999998839013,3.3563914945992016e-16,1.5286897232745593e-36,1.6335336658110164e-26,1.1573251218651656e-10,1.1589392628273641e-10,2.0006431272282867e-13,4.5558845895329984e-15,4.147452404952172e-14,6.612593766996431e-16,4.63466158903572e-15,3.77106434732526e-16,1.0464512764198402e-16,8.40839085032955e-23,7.1319623820218305e-25,1.0134152861657457e-20,9.096955767588497e-23,2.15683390177692e-23
9.999999999999998e-08,0.5018043279445151,3.76,0.0,0.9295904681551005,0.9999999998730071,4.3523175053404444e-16,1.7203101236555913e-36,1.8102913873254255e-26,1.2655273416776283e-10,1.2674901450412966e-10,2.381141613360294e-13,5.413610058843674e-15,4.5181873253807085e-14,7.88594268256331e-16,5.543093398994009e-15,4.485998589124699e-16,1.230963564626315e-16,1.0954612300014837e-22,1.0005138060135495e-24,1.3212040163051572e-20,1.1683077867795952e-22,2.982752873362737e-23
1.0653532059999999e-07,0.5018043279445151,3.76,0.0,0.9295904681468138,0.9999999998646917,5.22054551131619e-16,1.8664725935035187e-36,1.9450055279075654e-26,1.3480747583528788e-10,1.3503254187476204e-10,2.692821343831809e-13,6.114946021729161e-15,4.799120107685912e-14,8.931295730389062e-16,6.291187841246247e-15,5.071290948867002e-16,1.3801197683979364e-16,1.3181640241063716e-22,1.2635681969653416e-24,1.5905557764982035e-20,1.3920086063057398e-22,3.7321139165924823e-23
1.3673430939999997e-07,0.5018043279445017,3.76,0.0,0.9295904681085219,0.9999999998262428,1.0706456384735685e-15,2.5401041429178528e-36,2.5665456839251078e-26,1.7292822244447802e-10,1.7330991025048224e-10,4.364104846403711e-13,9.856223570146572e-15,6.075697682288049e-14,1.4573275466549e-15,1.0365649029055885e-14,8.20437946395319e-16,2.1510172306254287e-16,2.7416884503821494e-22,3.227776008463443e-24,3.3157671116367796e-20,2.7676372292634856e-22,9.121038865741933e-23
1.6693329819999996e-07,0.5018043279444849,3.76,0.0,0.9295904680702294,0.9999999997877559,1.9010143840988196e-15,3.20932096420904e-36,3.1865971310894103e-26,2.1101171432846535e-10,2.1158745654600548e-10,6.401902166389498e-13,1.4380964577769762e-14,7.317744747264998e-14,2.1523794516903804e-15,1.545661962794674e-14,1.2014071498641758e-15,3.0383811952318867e-16,4.932043270248641e-22,6.881320719729816e-24,5.978106399308708e-20,4.770792094439598e-22,1.8677955905605876e-22
1.9713228699999995e-07,0.501804327944465,3.76,0.0,0.9295904680319362,0.9999999997492333,3.0686385273818957e-15,3.8772187275438374e-36,3.806018744278508e-26,2.4905991485015944e-10,2.498651747508776e-10,8.787132270677835e-13,1.9633694761787642e-14,8.526605461908765e-14,2.9745745991880346e-15,2.1565344817994036e-14,1.646044761574216e-15,4.0195766044493126e-16,8.063271919859923e-22,1.3035816747039511e-23,9.795484390842042e-20,7.482117277670372e-22,3.4057264926588595e-22
2.3318572811311527e-07,0.5018043279444374,3.76,0.0,0.929590467986219,0.9999999997031976,4.971609150530095e-15,4.6750826597032734e-36,4.5449793497422134e-26,2.9444047283006456e-10,2.955637256152767e-10,1.2065889314502858e-12,2.679071357274056e-14,9.928008864360632e-14,4.1179230955955205e-15,3.019210255674831e-14,2.255260532036859e-15,5.291820486043862e-16,1.3265445623863674e-21,2.5118023379612842e-23,1.6160289395223477e-19,1.171985436694345e-21,6.265894044922941e-22
2.692391692262306e-07,0.5018043279444061,3.76,0.0,0.929590467940501,0.999999999657116,7.501245310783513e-15,5.47326089247242e-36,5.283288613537962e-26,3.3977608310436055e-10,3.412625046369352e-10,1.5787761325315215e-12,3.483919459954308e-14,1.1285709810840201e-13,5.4320838053206954e-15,4.02713403625841e-14,2.944312006083895e-15,6.651581179517066e-16,2.0321187647939477e-21,4.4188227855803986e-23,2.4825598737337315e-19,1.7119688458017644e-21,1.0547489919748884e-21
3.052926103393459e-07,0.5018043279443709,3.76,0.0,0.9295904678947823,0.9999999996109907,1.072810046140353e-14,6.271072745779364e-36,6.020873729278993e-26,3.8506940512603806e-10,3.8696150323091597e-10,1.9926852750892193e-12,4.37084077010209e-14,1.2601490158932487e-13,6.911761937570024e-15,5.18035450401503e-14,3.707766748265913e-15,8.080280667011855e-16,2.9500708674014107e-21,7.248251888279534e-23,3.614153847649696e-19,2.3739905254379966e-21,1.6592357861247293e-21
3.413460514524612e-07,0.5018043279443322,3.76,0.0,0.9295904678490624,0.9999999995648244,1.471698542675785e-14,7.068368131816945e-36,6.757767183216684e-26,4.3032293813423916e-10,4.326607131618782e-10,2.4458811802973353e-12,5.333330362055536e-14,1.3877026089262929e-13,8.551879579448084e-15,6.478888035851415e-14,4.540510370742031e-15,9.563398342332506e-16,4.107057392945195e-21,1.125535266882474e-22,5.045770611497733e-19,3.1623840386862914e-21,2.475794647313996e-21
3.7739949256557654e-07,0.5018043279442903,3.76,0.0,0.9295904678033414,0.9999999995186197,1.9527562731128104e-14,7.865283207408797e-36,7.494032796210002e-26,4.755390349335424e-10,4.783601265134596e-10,2.9360698673717476e-12,6.365392422765069e-14,1.51139034111897e-13,1.034755649565396e-14,7.922727592310292e-14,5.437719724165011e-15,1.1089513590783548e-15,5.529402273485883e-21,1.6726300833041484e-22,6.812346293532491e-19,4.080392984065528e-21,3.541339323177982e-21
4.495063747918072e-07,0.5018043279441974,3.76,0.0,0.9295904677118966,0.9999999994261023,3.1830996897595863e-14,9.458186241590149e-36,8.964841583345171e-26,5.658676968304534e-10,5.697595332264331e-10,4.018862145440726e-12,8.616371447084398e-14,1.7477663419349905e-13,1.4386941770007724e-14,1.124623036613289e-13,7.407512000566222e-15,1.4234968594889423e-15,9.273831352803657e-21,3.3345199702174197e-22,1.1489871404225272e-18,6.314999137571923e-21,6.5703779879102674e-21
5.216132570180378e-07,0.5018043279440936,3.76,0.0,0.929590467620447,0.9999999993334545,4.802714229086567e-14,1.1050243196439361e-35,1.0433602236329198e-25,6.560715829869021e-10,6.611596659202636e-10,5.225250468976555e-12,1.1084568151538592e-13,1.9703960472346177e-13,1.899451465085425e-14,1.5150540594431102e-13,9.583827025565566e-15,1.7465505195917231e-15,1.4387133996000942e-20,5.9985809136376665e-22,1.7925225720249918e-18,9.090642322763956e-21,1.105523322090428e-20
5.937201392442684e-07,0.50180432794398,3.76,0.0,0.9295904675289924,0.9999999992406905,6.844425173256155e-14,1.2641390034261803e-35,1.1900521120990387e-25,7.461650070624263e-10,7.525604714741284e-10,6.541240221842429e-12,1.3736753166366706e-13,2.1802982901806929e-13,2.413754671697402e-14,1.9635236208034727e-13,1.1937146178017203e-14,2.074970385479866e-15,2.1067695809036826e-20,9.998930422789838e-22,2.639603065066843e-18,1.2414333927231909e-20,1.7310561027191055e-20
6.658270214704991e-07,0.5018043279438578,3.76,0.0,0.9295904674375325,0.9999999991478227,9.336047677387769e-14,1.4231705353306396e-35,1.3365805475199772e-25,8.361606515197757e-10,8.439619006659832e-10,7.95441709462286e-12,1.6544650830142882e-13,2.3784083873427364e-13,2.978571619266509e-14,2.469986909668124e-13,1.444128697950964e-14,2.4067204953085354e-15,2.950877851025509e-20,1.5713932334460944e-21,3.7179134993528256e-18,1.6290232189290962e-20,2.5653670759372078e-20
7.379339036967297e-07,0.5018043279437279,3.76,0.0,0.9295904673460672,0.9999999990548621,1.230117128297173e-13,1.5821386846538065e-35,1.4829653629209084e-25,9.260697635589283e-10,9.35363907841303e-10,9.453759171944e-12,1.9484164607663666e-13,2.5655884923996234e-13,3.591090232414485e-14,3.0343996853510303e-13,1.707303769012431e-14,2.7404519321831972e-15,3.98987711432716e-20,2.356500781000602e-21,5.055077142794512e-18,2.0720856252786788e-20,3.640331760312497e-20
8.100407859229604e-07,0.5018043279435913,3.76,0.0,0.9295904672545963,0.9999999989618187,1.575975648422043e-13,1.7410550472360467e-35,1.629223197422116e-25,1.0159023108762204e-09,1.026766450653831e-09,1.1029487285343246e-11,2.2534788868923209e-13,2.742634369871554e-13,4.248702492300971e-14,3.6567194271968834e-13,1.98118647519182e-14,3.0753071874228825e-15,5.2421388376727726e-20,3.401573762663814e-21,6.678668498712479e-18,2.5707543708654837e-20,4.9879274900187113e-20
8.82147668149191e-07,0.5018043279434486,3.76,0.0,0.9295904671631197,0.9999999988687011,1.972860291863149e-13,1.8999258891638756e-35,1.7753683325230445e-25,1.105667108055844e-09,1.1181694898508933e-09,1.2672943422354074e-11,2.5679147616417447e-13,2.91028071760866e-13,4.9489911593399635e-14,4.336906014250848e-13,2.2639671870097834e-14,3.4107867299325817e-15,6.725582216871816e-20,4.757102725911144e-21,8.616221337064148e-18,3.125079346734084e-20,6.640199533636684e-20
9.542545503754215e-07,0.5018043279433008,3.76,0.0,0.9295904670716373,0.9999999987755169,2.4221898406143435e-13,2.0587587369557817e-35,1.921413769559152e-25,1.195371968702067e-09,1.209572989007025e-09,1.4376444224594652e-11,2.8902453767104257e-13,3.0692076566585386e-13,5.689713302898412e-14,5.074922478346049e-13,2.5540506145811754e-14,3.746594876093158e-15,8.457692266752022e-20,6.47759643804112e-21,1.0895236499631685e-17,3.735069821929245e-20,8.629217145255492e-20
9.999999999999997e-07,0.5018043279431481,3.76,0.0,0.9295904670135966,0.9999999987163686,2.7349924397745146e-13,2.159508257014513e-35,2.0140203911904015e-25,1.2522538946049524e-09,1.2675606611229415e-09,1.5485158168132324e-11,3.098247804759798e-13,3.165801116879278e-13,6.179644685505912e-14,5.57309495930768e-13,2.741222810581304e-14,3.959720931879098e-15,9.693269462481046e-20,7.78475245505644e-21,1.253060852797643e-17,4.150911446889706e-20,1.0080257406748305e-19
1.026361432601652e-06,0.5018043279431481,3.76,0.0,0.9295904669801488,0.9999999986822733,2.9251610097499706e-13,2.2175619947723318e-35,2.0673711939942582e-25,1.2850238188598379e-09,1.3009769143164095e-09,1.6133171579590015e-11,3.2192124191363775e-13,3.2200454897307303e-13,6.468787477946412e-14,5.870735319407501e-13,2.850033476521028e-14,4.082549464747057e-15,1.0455534450871625e-19,8.621483842728793e-21,1.3543187528812358e-17,4.4007195292307046e-20,1.0987048066853006e-19
