Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17)
1e-12,0.5790082903901678,3.76,0.0,0.9519874833141766,0.9999999999999583,1.8927038504729856e-28,1.1389668063860229e-44,1.9983200309682892e-31,4.2031589149176875e-14,4.181913600063592e-14,6.13142836304213e-22,1.0192283721304479e-22,2.1245351628947008e-16,3.7109623954754263e-22,5.806419599315422e-23,9.798752313928254e-23,3.357318365631504e-24,2.3084534442702405e-31,6.931727396975167e-36,5.291532673126084e-32,2.9140013097681847e-34,4.3532701150985884e-32,1.977774440516455e-23,8.473558190433794e-51,2.545295504414535e-49,5.651746348470517e-56,9.422256970990994e-75,2.5937489667293314e-22,2.0681660683194804e-26
1.023e-12,0.5790082903901678,3.76,0.0,0.9519874833141756,0.9999999999999573,1.9701737277752264e-28,1.185585323249884e-44,2.068047074013051e-31,4.299882892242653e-14,4.2781486763956705e-14,6.345372745742286e-22,1.0547923967162154e-22,2.1734253905020968e-16,3.809630084387089e-22,6.009023582630413e-23,1.0080339940729709e-22,3.4744653885690184e-24,2.38902242505207e-31,7.215448437446554e-36,5.484907976107853e-32,3.033273687491819e-34,4.5314517782139733e-32,2.0467851159056513e-23,8.846156622937516e-51,2.657232277746708e-49,5.908925277301809e-56,9.858227250486563e-75,2.653433624508804e-22,2.1403296053577332e-26
2.047e-12,0.5790082903901679,3.76,0.0,0.9519874833141325,0.9999999999999144,1.578202018127603e-27,9.4962662763692e-44,8.281111285072232e-31,8.606202493869772e-14,8.562701642765449e-14,2.5409897830641438e-21,4.223901139946916e-22,4.350100350646086e-16,9.940250239810716e-22,2.406310275059523e-22,2.99630581295375e-22,1.3913322916821055e-23,9.58055951519104e-31,5.779890117477375e-35,2.799875063558365e-31,2.429790061079983e-33,3.6295897087333193e-31,8.19633508473748e-23,1.415009314857452e-49,4.2598231049468234e-48,1.8946654697484337e-54,6.326795818844935e-73,5.310274235713661e-22,8.570116889120543e-26
4.095e-12,0.579008290390168,3.76,0.0,0.9519874833140464,0.9999999999998287,1.2633842423565694e-26,7.600632718842914e-43,3.314009018631426e-30,1.7218841359157156e-13,1.7131807586366885e-13,1.0169582878685616e-20,1.6905028809169205e-21,8.70343827329664e-16,2.9152523590292203e-21,9.63065268715353e-22,9.911207665945661e-22,5.568333991542406e-23,3.845370313651626e-30,4.626886088034795e-34,1.6036076092014436e-30,1.9450903437443777e-32,2.905056662184569e-30,3.280373358772498e-22,2.258061970662988e-48,6.821864351371291e-47,6.0686136659264325e-53,4.053942721158693e-71,1.062225939293098e-21,3.4293166609792603e-25
8.191e-12,0.579008290390168,3.76,0.0,0.9519874833138741,0.9999999999996573,1.0110319133505448e-25,6.080330379619905e-42,1.3257401883933855e-29,3.4444117737908586e-13,3.42700195170166e-13,4.0689108937098106e-20,6.763863776120018e-21,1.7410066128391154e-15,9.538104919689968e-21,3.853350452551856e-21,3.549427851340356e-21,2.227864110136235e-22,1.5473793361775208e-29,3.7026354804137124e-33,1.0281546625433619e-29,1.5565587485268566e-31,2.3239804722338826e-29,1.3125172355553907e-21,3.5902531295279534e-47,1.0918431532298693e-45,1.9425994809473117e-51,2.5950045397883043e-69,2.1239449803603176e-21,1.3715887434542866e-24
1e-11,0.5790082903901682,3.76,0.0,0.951987483313798,0.9999999999995817,2.574131614547472e-25,1.5473273494200393e-41,2.2037596453199276e-29,4.2051666585219e-13,4.183911754917751e-13,6.764857768004598e-20,1.1245518522828402e-20,2.1255309332439265e-15,1.4918990895786184e-20,6.40659445630081e-21,5.7174429041332945e-21,3.7038794409279707e-22,2.588220964587841e-29,9.42685482348817e-33,2.3923526253672295e-29,3.9630203984547775e-31,5.914093013722386e-29,2.182190322920665e-21,1.5318983211205991e-46,4.708010266036399e-45,1.5239325600662152e-50,3.867033648193009e-68,2.5922555088739562e-21,2.279480315520744e-24
1.6383e-11,0.5790082903901682,3.76,0.0,0.9519874833135296,0.9999999999993145,8.0894800903573005e-25,4.861597990678591e-41,5.301823876144757e-29,6.889466508847067e-13,6.854644355209796e-13,1.6277422112185703e-19,2.70588973222975e-20,3.482312988049844e-15,3.3905279002708305e-20,1.5415636178760498e-20,1.3367216304894666e-20,8.911953435645296e-22,6.26079814211303e-29,2.9624583992556293e-32,7.205882529571067e-29,1.2454145169869878e-30,1.8581692987365893e-28,5.250804649428429e-21,5.6703440984202584e-46,1.7467542980820289e-44,6.215640842108216e-50,1.65961018508846e-67,4.244674582120255e-21,5.482947371629198e-24
3.2767e-11,0.5790082903901684,3.76,0.0,0.9519874833128406,0.999999999998629,6.471956561370877e-24,3.8840657171753715e-40,2.1193754195686847e-28,1.3779573816465216e-12,1.3709929231734486e-12,6.511022934117622e-19,1.082403739892715e-19,6.964848957434147e-15,1.2712452223908965e-19,6.166745737190048e-20,5.180642981653359e-20,3.564429622290275e-21,2.5608355779112813e-28,2.369947067416126e-31,5.356878105172973e-28,9.963552866507871e-30,1.48455042554794e-27,2.1004689103582175e-20,8.842118244239871e-45,2.7931464430270205e-43,1.987805613896941e-48,1.0600502561501525e-65,8.47532764176589e-21,2.1899979945078918e-23
6.5535e-11,0.5790082903901693,3.76,0.0,0.9519874833114625,0.999999999997258,5.177526348779539e-23,3.0985576795247335e-39,8.465800184641434e-28,2.755977978398025e-12,2.7420499262782735e-12,2.6041787365261186e-18,4.3295426713540145e-19,1.392961378961578e-14,4.914947432303441e-19,2.466832033134463e-19,2.0389091978005146e-19,1.4253407716409507e-20,1.069454362203795e-27,1.8956988174381828e-30,4.122353802103285e-27,7.97024372117036e-29,1.1843316506457648e-26,8.402168986416707e-20,1.3460970326922908e-43,4.4629017377732945e-42,6.35209267631134e-47,6.755740242145573e-64,1.6893630269675915e-20,8.733730177411746e-23
9.999999999999999e-11,0.5790082903901707,3.76,0.0,0.9519874833100131,0.9999999999958159,2.423567999025598e-22,1.4431645745891676e-38,2.1772176051296963e-27,4.20536214250275e-12,4.184111740480366e-12,6.7114889804730464e-18,1.1159403687864513e-18,2.1254426213456218e-14,1.2489951287777254e-18,6.3589995345890095e-19,5.220176454487829e-19,3.6721065902836045e-20,2.9465160566652106e-27,8.87167630105628e-30,1.895458953867229e-26,3.7303686071295325e-28,5.516238848353425e-26,2.1658429257224077e-19,1.0959880407566578e-42,3.956181672128144e-41,1.0981285712507692e-45,2.9048950657684503e-62,2.565836225814582e-20,2.2402236175115375e-22
1.31071e-10,0.5790082903901707,3.76,0.0,0.9519874833087065,0.9999999999945158,4.141704925746372e-22,2.464868852291438e-38,3.376818372728286e-27,5.512015714616428e-12,5.484164043659627e-12,1.041432480202172e-17,1.7316682424089601e-18,2.7857915168081095e-14,1.9318993643599884e-18,9.86787916429144e-19,8.088162960581885e-19,5.697618290589594e-20,4.638730880649272e-27,1.516068243462651e-29,3.232619541625638e-26,6.374846736422244e-28,9.421554053343265e-26,3.3609256556636696e-19,1.9626929972073152e-42,7.12043058393021e-41,2.0308514530693087e-45,5.462821035240509e-62,3.355997222807905e-20,3.472471259625711e-22
2.62143e-10,0.5790082903901735,3.76,0.0,0.9519874833031944,0.9999999999890316,3.312756678040498e-21,1.9497463811394834e-37,1.3431504785849083e-26,1.1024077372334052e-11,1.0968392722886467e-11,4.16370972058851e-17,6.9253006687051e-18,5.570960590433011e-14,7.658863366542925e-18,3.9474882092178356e-18,3.2211499893194627e-18,2.2759973175807023e-19,2.1444296839247994e-26,1.2120838678664148e-28,2.5599885106628485e-25,5.0975653358800184e-27,7.453383619727719e-25,1.344381387850192e-18,2.66526126735588e-41,1.132798566492082e-39,6.461098151405957e-44,3.4336829109594415e-60,6.622532602910967e-20,1.3724071984207879e-21
5.24287e-10,0.5790082903901792,3.76,0.0,0.9519874832921702,0.9999999999780629,2.6491936298361172e-20,1.5251962800478162e-36,5.31286152901106e-26,2.204814554405507e-11,2.1936851857415972e-11,1.6638481002527685e-16,2.7689865694077338e-17,1.1139334826639402e-13,3.049339659103436e-17,1.5792428559918486e-17,1.285141115726486e-17,9.079561774195856e-19,1.0892932339584302e-25,9.685815161590654e-28,2.037545907195756e-24,4.0742953149082944e-26,5.832552862720291e-24,5.3775439088572245e-18,3.268745530901239e-40,1.792052534537667e-38,2.043583816433335e-42,2.1069583489200528e-58,1.2899215987778422e-19,5.3611055440561814e-21
9.999999999999999e-10,0.5790082903901904,3.76,0.0,0.9519874832721645,0.9999999999581579,1.946060502352615e-19,1.0733801079029023e-35,1.9354230402759846e-25,4.205333465927815e-11,4.184133293149655e-11,6.181047817358176e-16,1.0298023569378742e-16,2.1237148242717313e-13,1.1320693290366075e-16,5.879769608079193e-17,4.773744647413681e-17,3.36183959293547e-18,5.740022493074836e-25,7.109206861950262e-27,1.494098088143743e-23,2.9897365517683773e-25,4.1099279822860455e-23,2.00155010645489e-17,3.2567672243328686e-39,2.5607281013881765e-37,5.817997510929931e-41,1.13005987748045e-56,2.342971010476403e-19,1.9078054398657964e-20
1.0485750000000002e-09,0.5790082903901904,3.76,0.0,0.9519874832701217,0.9999999999561254,2.1177216317412377e-19,1.1674090661425373e-35,2.078799297187684e-25,4.409606223088534e-11,4.3873777216545456e-11,6.64229856362409e-16,1.106681267599049e-16,2.226823481526418e-13,1.216528026326483e-16,6.318895902678341e-17,5.1299655548761774e-17,3.612405347726037e-18,6.214907925597346e-25,7.736225413412614e-27,1.625854915027556e-23,3.2534156261472206e-25,4.470036127762167e-23,2.1510181194874805e-17,3.5559382297618084e-39,2.8039051269023304e-37,6.391205560121562e-41,1.2432987495117489e-56,2.450497765417424e-19,2.047869047673926e-20
1.5728630000000002e-09,0.5790082903902016,3.76,0.0,0.9519874832480733,0.9999999999341875,6.052674817048267e-19,3.2546515888875456e-35,4.351088843399326e-25,6.614376017629552e-11,6.581070965152136e-11,1.4095684350829513e-15,2.350355238856763e-16,3.3389293463168527e-13,2.5827049619342113e-16,1.3430451146617339e-16,1.0890101966692995e-16,7.648011056115772e-18,1.6370784000081848e-24,2.213648798235033e-26,4.823261829908654e-23,9.29285881651951e-25,1.2474144372440318e-22,4.570910378828438e-17,1.1163159855644106e-38,1.0569850908995477e-36,2.9686814757791415e-40,6.199497957905246e-56,3.523515336830964e-19,4.216984074721752e-20
2.0971510000000003e-09,0.5790082903902127,3.76,0.0,0.9519874832260248,0.9999999999122495,1.2761706336935223e-18,6.710190732429704e-35,7.320460558884755e-25,8.819124029243886e-11,8.774764914813236e-11,2.4015474106893298e-15,4.007321342331614e-16,4.4502517896237473e-13,4.403144543275079e-16,2.291513407388621e-16,1.8562095187769024e-16,1.3002311356209877e-17,3.321462461717639e-24,4.6760599962825196e-26,1.0505470732205308e-22,1.9582461303824147e-24,2.5744389020958747e-22,7.797428474735587e-17,2.4962863148573166e-38,2.8083391994721467e-36,9.16607454345193e-40,2.467206518667383e-55,4.51562872915643e-19,6.991108378751701e-20
3.1457270000000003e-09,0.5790082903902352,3.76,0.0,0.9519874831819274,0.9999999998683726,3.483281774026647e-18,1.765131283375349e-34,1.4813418061462724e-24,1.322856921104203e-10,1.316215446705322e-10,4.961720333851969e-15,8.2893689574798685e-16,6.671060237786509e-13,9.109158097212146e-16,4.74578413814901e-16,3.8382394292748996e-16,2.676761426601094e-17,8.915383811121566e-24,1.2829895069227963e-25,3.048161813833704e-22,5.340012526172677e-24,6.785452624711914e-22,1.6143557868119555e-16,7.294609479770648e-38,1.1056551000778199e-35,4.4235840128882084e-39,1.939664461802935e-54,6.328669875000995e-19,1.381226867117881e-19
4.194303e-09,0.5790082903902574,3.76,0.0,0.9519874831378299,0.9999999998244944,7.283857573142715e-18,3.5721173329363582e-34,2.4654759579107046e-24,1.763793504259376e-10,1.754954660431856e-10,8.421833460575919e-15,1.4086271913799164e-15,8.888993660661894e-13,1.5483001446886738e-15,8.073739826598069e-16,6.520464377169986e-16,4.5280403611786356e-17,1.862937316946977e-23,2.698851007347489e-25,6.664461877998804e-22,1.1157224943010185e-23,1.375995120992992e-21,2.745591597827688e-16,1.5949760985565694e-37,2.9410552670095465e-35,1.3670599335975809e-38,7.241769373390587e-54,7.892442251776842e-19,2.2478849662532366e-19
5.2428790000000005e-09,0.5790082903902795,3.76,0.0,0.9519874830937322,0.999999999780615,1.3251966943723229e-17,6.287124898487908e-34,3.684972762690091e-24,2.2047216458953984e-10,2.1936941501782884e-10,1.2840531408480615e-14,2.1502244989560274e-15,1.1103851424491386e-12,2.3641671320644845e-15,1.2338579945181658e-15,9.95060014418199e-16,6.879907436359918e-17,3.3900971249153556e-23,4.943839338406487e-25,1.2501537600104602e-21,2.0281979658938165e-23,2.427651157808711e-21,4.194635828809518e-16,3.0047496001699995e-37,6.489025713402568e-35,3.462487685426686e-38,2.1513043275753113e-53,9.223309525554652e-19,3.285403028074956e-19
7.340031000000001e-09,0.5790082903903234,3.76,0.0,0.9519874830055362,0.999999999692853,3.493142389088776e-17,1.519975237356029e-33,6.747519069211847e-24,3.086552478584452e-10,3.0711739686688264e-10,2.4576118238012095e-14,4.1266172772427115e-15,1.5524178561480548e-12,4.541118326312135e-15,2.374297749512567e-15,1.9086082896280753e-15,1.3063785189143013e-16,8.905705381860478e-23,1.3305977544928198e-24,3.41993045486124e-21,5.334017585588221e-23,5.91831718819468e-21,8.066100210690207e-16,8.42764285775606e-37,2.3895337491026238e-34,1.8514922325117206e-37,1.5076532548070203e-52,1.135274726338806e-18,5.741504995297553e-19
9.999999999999999e-09,0.57900829039041,3.76,0.0,0.9519874828936695,0.9999999995815313,8.941437261683565e-17,3.401597311311484e-33,1.1611352369833825e-23,4.2049946313043274e-10,4.184146434691638e-10,4.48851748793474e-14,7.566325126086892e-15,2.11129859770415e-12,8.337762631302743e-15,4.370166494309444e-15,3.496865757022734e-15,2.3592302119436735e-16,2.267238490883021e-22,3.5449526030762774e-24,8.962699533574723e-21,1.3601070355217516e-22,1.3484599636749021e-20,1.4832130735551249e-15,2.3185389491857313e-36,8.442147165652762e-34,1.0368750152449722e-36,1.0961917702017637e-51,1.334953357933277e-18,9.33959754522067e-19
1.1534335e-08,0.57900829039041,3.76,0.0,0.9519874828291415,0.9999999995173147,1.3456566759449767e-16,4.868992546096649e-33,1.4915025799242885e-23,4.850115220484608e-10,4.826136904819152e-10,5.935845514630583e-14,1.0024890136371026e-14,2.4327687578004045e-12,1.1054374095110169e-14,5.800829277798845e-15,4.6314660467705575e-15,3.1030975029848224e-16,3.4056853650312834e-22,5.409007811782544e-24,1.3579190633678188e-20,2.0441685316839153e-22,1.9445356737572123e-20,1.9678649732373375e-15,3.5705374423656236e-36,1.3888853929868919e-33,1.8642434269714335e-36,2.0389852303306164e-51,1.4143220626262676e-18,1.1660628617008533e-18
1.53092086e-08,0.5790082903904866,3.76,0.0,0.9519874826703832,0.9999999993593143,3.0646351749407685e-16,9.755811285730038e-33,2.4212964664653062e-23,6.437211115739442e-10,6.405607274284245e-10,1.0335396101417608e-13,1.7537441094662094e-14,3.2208646284488826e-12,1.9371678284538337e-14,1.0194655251324292e-14,8.095095739953245e-15,5.330779994996338e-16,7.727913353195064e-22,1.2810332479229275e-23,3.1256873004498814e-20,4.63877410346815e-22,3.9832570927629124e-20,3.4545060473433765e-15,8.592098585979407e-36,3.835023308014715e-33,6.423321429479154e-36,8.29078729539343e-51,1.5470752010752886e-18,1.7751890271028787e-18
1.9084082199999997e-08,0.5790082903905619,3.76,0.0,0.9519874825116221,0.9999999992012992,5.829790154445214e-16,1.6415980954850598e-32,3.488204536187717e-23,8.024205657721214e-10,7.985081118097429e-10,1.5905526612721392e-13,2.7114342838831118e-14,4.0049905859932e-12,3.000207437213163e-14,1.5833154357589567e-14,1.2504904840361861e-14,8.096600168547941e-16,1.4668655394721678e-21,2.5390401487653744e-23,5.98505388321358e-20,8.79283817469665e-22,6.870884635206197e-20,5.3593172794914626e-15,1.719780351086097e-35,8.446908912933466e-33,1.703319716558671e-35,2.5057484450024116e-50,1.6187550620959723e-18,2.416818734544355e-18
2.2858955799999996e-08,0.5790082903906361,3.76,0.0,0.9519874823528581,0.9999999990432699,9.875890705695293e-16,2.4750241543243743e-32,4.6596668161578964e-23,9.61110178217962e-10,9.564558386928628e-10,2.261885358943088e-13,3.873495555901776e-14,4.785170569730028e-12,4.2934337586064925e-14,2.2719519142781007e-14,1.78491012374475e-14,1.1367009800831725e-15,2.481946546406184e-21,4.4816020239854595e-23,1.018717909438384e-19,1.4843947800074085e-21,1.0638229865258438e-19,7.682258006462184e-15,3.0555113252305146e-35,1.6006602967839665e-32,3.763048932869492e-35,6.30350189569859e-50,1.6566829016577729e-18,3.069749955957469e-18
2.6633829399999994e-08,0.5790082903907089,3.76,0.0,0.9519874821940912,0.9999999988852262,1.5445717785207626e-15,3.459534307171285e-32,5.909538068799527e-23,1.1197902481707176e-09,1.1144039029732004e-09,3.0447493484360664e-13,5.2378000990162886e-14,5.5614290493174434e-12,5.81569254540258e-14,3.0856930842598726e-14,2.4115537989205812e-14,1.5109140031278398e-15,3.8796119979494955e-21,7.305602065672747e-23,1.5994314928132923e-19,2.3136433961732442e-21,1.5295850580159066e-19,1.0423305657645415e-14,5.004384883493848e-35,2.7384010633371074e-32,7.356532471170202e-35,1.3970564369269387e-49,1.6771662004967623e-18,3.721468496986842e-18
3.418357659999999e-08,0.5790082903908512,3.76,0.0,0.9519874818765486,0.9999999985690977,3.2015898257555233e-15,5.812866283475976e-32,8.581282033402395e-23,1.4371227989660116e-09,1.4303010255774403e-09,4.935408326179202e-13,8.56560710647994e-14,7.102267319715938e-12,9.54321767144417e-14,5.089537672589221e-14,3.937222647844532e-14,2.3901202434239157e-15,8.042554962884641e-21,1.643697183068244e-22,3.3365464616042395e-19,4.763916776539746e-21,2.726065732919745e-19,1.7159677460893894e-14,1.133008717995991e-34,6.48452205617463e-32,2.1762909328054367e-34,5.3529096861733565e-49,1.6901976751343273e-18,5.0032168070927106e-18
4.173332379999999e-08,0.579008290390989,3.76,0.0,0.9519874815589943,0.9999999982529161,5.7440989153559646e-15,8.554223086596789e-32,1.1383289373158607e-22,1.7544204945878937e-09,1.7461994393617578e-09,7.241355754712096e-13,1.2678175491439987e-13,8.627694878848519e-12,1.4173709322438165e-13,7.597082608561177e-14,5.818006803707389e-14,3.4243829015316347e-15,1.4443777731785576e-20,3.1949455024942178e-22,6.019604685952275e-19,8.491525123072082e-21,4.2698428750657283e-19,2.5568331864789843e-14,2.211167063015927e-34,1.2820336085923914e-31,5.153864067074609e-34,1.5761294088456528e-48,1.6998741058726083e-18,6.231530369836694e-18
4.9283070999999985e-08,0.5790082903911224,3.76,0.0,0.9519874812414278,0.9999999979366833,9.36890607782108e-15,1.1545694001447974e-31,1.4243927508954363e-22,2.071685633411135e-09,2.062099102297455e-09,9.941244310732095e-13,1.7558181705840546e-13,1.0137906832118903e-11,1.9697701404371716e-13,1.0610405258184439e-13,8.044082328914387e-14,4.592406941407177e-15,2.3593975223875653e-20,5.64048399247421e-22,9.870023307615182e-19,1.3759693921713214e-20,6.148289189991442e-19,3.5649174923328124e-14,3.9148512965384e-34,2.2524274080469404e-31,1.0591463413407283e-33,3.977080981525319e-48,1.7153690417670544e-18,7.401803199071829e-18
5.854042376491994e-08,0.5790082903912807,3.76,0.0,0.9519874808520175,0.9999999975488582,1.5563287653690826e-14,1.5435973920843742e-31,1.7806065203059713e-22,2.4606685721583595e-09,2.4494507534927994e-09,1.3761219221540971e-12,2.4565267410427194e-13,1.1969200622482308e-11,2.767732022127104e-13,1.4997969825227325e-13,1.1231321799508604e-13,6.182800618544882e-15,3.928506329842816e-20,1.033273091464541e-21,1.6501339056061834e-18,2.266934851965228e-20,8.887724020483853e-19,5.0292278130951055e-14,7.190490970175232e-34,4.019181813555852e-31,2.246825548930801e-33,1.1010862534408452e-47,1.730803897185904e-18,8.770124046805812e-18
6.779777652983989e-08,0.5790082903914331,3.76,0.0,0.9519874804625885,0.9999999971609628,2.3990618705865228e-14,1.947554678006932e-31,2.1397664950875763e-22,2.849609243532772e-09,2.8368041508860494e-09,1.8111624697903444e-12,3.2672486976946217e-13,1.3778214274602191e-11,3.697064124035871e-13,2.015100094574115e-13,1.4907476940885927e-13,7.922762429191297e-15,6.071770123401825e-20,1.752735787320941e-21,2.560022909872798e-18,3.4654773013990647e-20,1.2087687982063536e-18,6.744928126741937e-14,1.2221709317037026e-33,6.5611795092412395e-31,4.275925390792164e-33,2.689843517627587e-47,1.742376297588594e-18,1.006881241268137e-17
7.705512929475984e-08,0.5790082903915802,3.76,0.0,0.9519874800731408,0.9999999967730004,3.497492905604044e-14,2.3606704691534304e-31,2.500350029687759e-22,3.238511096666957e-09,3.224159222993362e-09,2.2960592907797334e-12,4.1850952178461535e-13,1.5565266791906108e-11,4.75615767534038e-13,2.6071787153164134e-13,1.9056365558423746e-13,9.78873141241477e-15,8.876475381000878e-20,2.79749302252835e-21,3.755851972204642e-18,5.0105779627641257e-20,1.57282627935989e-18,8.712003428960229e-14,1.953727251772228e-33,1.0029755466757579e-30,7.463307100755806e-33,5.837413401799125e-47,1.7527932878810867e-18,1.1299726369430148e-17
