Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77)
4.598175287134175e-14,0.7118282280392454,3.76,0.0,0.8432079109088206,0.9999999999998002,8.949590818649612e-29,1.1091002379342199e-41,2.008304520388149e-28,2.2492288207430448e-13,1.9981376008296975e-13,5.604476494613226e-23,7.371561062679582e-22,2.5109117968792547e-14,2.3258415822094986e-19,4.9513982891591945e-23,3.286330637933136e-20,7.040822821610813e-24,3.199169828495992e-29,2.246511701472455e-34,1.4606389705749347e-30,2.37554932421902e-32,5.899551633620218e-32,3.138135057809395e-23,6.039604784314324e-48,5.243054015720428e-47,4.995821285598718e-54,2.009598885422012e-71,2.308910934892401e-19,6.959884501893369e-25,3.3849579744343616e-37,1.056020377060164e-39,9.128838602759255e-36,1.6464309186120904e-30,6.818833288167026e-32,2.3965813815459547e-59,5.622228558190521e-56,9.580548318155567e-67,5.5596014580596986e-71,1.9388239972034316e-51,5.052018074115323e-35,7.395006145522745e-73,3.871206919399606e-82,1.4413764388255083e-60,8.993934988492592e-37
9.200345513701133e-14,0.7118282280392488,3.76,0.0,0.8432079109085955,0.9999999999996002,7.165113827254741e-28,8.879528833668192e-41,8.038436738101225e-28,4.500411825625486e-13,3.9980112030874655e-13,2.243249109575812e-22,2.9505452604892874e-21,5.024004615315078e-14,4.6875769613678855e-19,1.9818501816862647e-22,6.714571879280737e-20,2.818159236521477e-23,1.2805332139877434e-28,1.7985743767014874e-33,5.870647025460893e-30,1.9018731032396085e-31,4.723202859291366e-31,1.2560718384681642e-22,9.670545328576772e-47,8.398369130049969e-46,1.6005395627188388e-52,1.2880404766077722e-69,4.619810255256411e-19,2.7857509865786845e-24,2.7102809466782545e-36,8.454613417823464e-39,7.307836365622561e-35,1.3180729438184456e-29,5.465732710911484e-31,7.678465532956752e-58,1.801684770022313e-54,6.14014890620092e-65,3.5631079567437656e-69,3.242804375769045e-50,4.044622227307493e-34,4.760435484839563e-71,4.96746667750862e-80,4.623729974635796e-59,7.726117284752e-36
1.840468596683505e-13,0.7118282280392552,3.76,0.0,0.8432079109081453,0.9999999999992002,5.734267779222292e-27,7.106294728389375e-40,3.2164096373704788e-27,9.002777932192716e-13,7.997758407714811e-13,8.975901944295068e-22,1.1806022313781257e-20,1.0050188802421697e-13,9.512711066359744e-19,7.929986162526599e-22,1.398840141304593e-19,1.127626948815986e-22,5.124053348941064e-28,1.4394045115617113e-32,2.36845751040688e-29,1.5220592273833526e-30,3.77995674584818e-30,5.025923413159411e-22,1.5476944532625986e-45,1.3444946486212937e-44,5.1247173051485407e-51,8.249680953967221e-68,9.241556017283941e-19,1.114649961399889e-23,2.169458645452794e-35,6.766307231677981e-38,5.847233602680724e-34,1.0547422905217492e-28,4.384681497807051e-30,2.4585846029240816e-56,5.769527279952389e-53,3.9321658088445916e-63,2.281788920565038e-67,5.632870143069729e-49,3.236824469168634e-33,3.0748454460987673e-69,6.374510631933287e-78,1.4841120830549977e-57,7.024227306265288e-35
3.6813366873102883e-13,0.7118282280392678,3.76,0.0,0.8432079109072448,0.9999999999984003,4.588284004805073e-26,5.686072255756572e-39,1.2867636032965299e-26,1.8007510532536693e-12,1.5997252817416722e-12,3.590932082247313e-21,4.723176094174053e-20,2.0102551377578527e-13,1.9569632428516093e-18,3.1725140002845715e-21,3.020544633225619e-19,4.5112114328854555e-22,2.050157047897974e-27,1.1517396926574342e-31,9.630869715526319e-29,1.2178509941028846e-29,3.024474062298403e-29,2.0106965936965722e-21,2.4761018264920666e-44,2.1517848434873377e-43,1.6403791386325647e-49,5.281974066700194e-66,1.8484836031447565e-18,4.459219294630009e-23,1.736552412559538e-34,5.4141489784893055e-37,4.6766657074165615e-33,8.43767457459315e-28,3.5251038623736397e-29,7.869638719013956e-55,1.8469223548475363e-51,2.5170146959842547e-61,1.4605503529420015e-65,1.042985237980775e-47,2.589787252401129e-32,2.0016470571902683e-67,8.190857221499829e-76,4.773700946042576e-56,6.965849135137722e-34
7.363072868563856e-13,0.7118282280392935,3.76,0.0,0.8432079109054438,0.9999999999968003,3.6709734069288243e-25,4.5492205655915505e-38,5.147395781874307e-26,3.6016977282063845e-12,3.199624163860929e-12,1.4364791982895617e-20,1.8894229261890075e-19,4.0207253331696155e-13,4.131008588530019e-18,1.2691114141368385e-20,6.931706075663657e-19,1.8046069312431445e-21,8.202912155229823e-27,9.214750492175394e-31,3.977069509621922e-28,9.743290756914375e-29,2.4197039601680583e-28,8.043440637952653e-21,3.959884627758456e-43,3.4432945163197155e-42,5.249906632144607e-48,3.3813991782994055e-64,3.697055005949146e-18,1.7837477914478445e-22,1.390421652169344e-33,4.331850680147501e-36,3.7384759989021014e-32,6.747796015057528e-27,2.8470441450983396e-28,2.518507243608473e-53,5.911303686926233e-50,1.6105630860699316e-59,9.345075583334133e-64,2.1218455510291457e-46,2.071763959651141e-31,1.323509346657521e-65,1.0558537807246091e-73,1.5425848536755043e-54,7.724671150837062e-33
1e-12,0.7118282280393445,3.76,0.0,0.8432079109041539,0.9999999999956545,1.2873724560534241e-24,1.5953266895832333e-37,1.0677462899639186e-25,4.891569064036857e-12,4.3455011531571584e-12,2.979781950363616e-20,3.919388553139063e-19,5.460657721295119e-13,5.921100992793319e-18,2.632634030437129e-20,1.0689459575831306e-18,3.7433809015884554e-21,1.7020636366980368e-26,3.2314971299025766e-30,8.606404847360721e-28,3.4166215622320246e-28,8.485058869465411e-28,1.6685198623075213e-20,2.5206002288883553e-42,2.1940269847875116e-41,6.353378243805613e-47,7.969039838303032e-63,5.020914652514664e-18,3.699937423712557e-22,4.8820547757921176e-33,1.519205727166909e-35,1.3092102584954034e-31,2.3646766359456593e-26,1.01370560853658e-27,3.047585893519366e-52,7.154325781729088e-49,3.7921322914434354e-58,2.2000807363972755e-62,1.8708608311401278e-45,7.263965638005922e-31,3.3120552962774756e-64,4.974128419494667e-72,1.9006885157192851e-53,3.940176001743234e-32
1.472654523107099e-12,0.7118282280393445,3.76,0.0,0.8432079109018419,0.9999999999936006,2.9369144194719167e-24,3.639438570966765e-37,2.0589800654963702e-25,7.203591697648386e-12,6.399421928814826e-12,5.746066303068338e-20,7.5579890434276425e-19,8.041656445538432e-13,9.129742071903848e-18,5.076672488193669e-20,1.742502373838155e-18,7.218525419013698e-21,3.282591662106538e-26,7.372083238243032e-30,1.690423098095617e-27,7.794295016883745e-28,1.9356870221218207e-27,3.217506920224627e-20,6.3288486599048e-42,5.509506942513373e-41,1.6800438837729948e-46,2.164700355520277e-62,7.39385944286755e-18,7.134600771150518e-22,1.114061296360238e-32,3.46583735993583e-35,2.985795804090074e-31,5.393723086987633e-26,2.3203997056144813e-27,8.058785700139288e-52,1.8918488549161895e-48,1.0300634049315236e-57,5.9760978168703045e-62,4.84394580907977e-45,1.6570698383487876e-30,9.011498526021292e-64,1.3700721058467336e-71,5.031067217865096e-53,9.618118009760512e-32
2.945348995608526e-12,0.7118282280394467,3.76,0.0,0.8432079108946381,0.999999999987201,2.3495813430257067e-23,2.9114429259318744e-36,8.235591615435402e-25,1.4407382114685834e-11,1.2799017461583277e-11,2.2984058431262173e-19,3.0232489667237252e-18,1.6083481556646833e-12,2.1729768199007524e-17,2.0307265182811246e-19,4.90955177238969e-18,2.887312091872533e-20,1.3140980320738419e-25,5.897699188305404e-29,7.558091262797509e-27,6.234452004575393e-27,1.5483175479854364e-26,1.2870287477637387e-19,1.010316789833538e-40,8.815031049956124e-40,5.388739601850373e-45,1.5991007882908588e-60,1.478611509327939e-17,2.853353885157833e-21,8.939269075955471e-32,2.7730431131508143e-34,2.3805286973641792e-30,4.307466441835794e-25,1.9244398649717624e-26,2.5780835203840185e-50,6.610691387824856e-47,7.1777797097053715e-56,4.163337705914585e-60,1.2383454187434765e-43,1.3250156582651865e-29,6.46194612676074e-62,1.8041089975224173e-69,1.6720044018418364e-51,1.3181653988601171e-30
5.89073794061138e-12,0.711828228039651,3.76,0.0,0.8432079108802305,0.9999999999744018,1.8796778430838908e-22,2.3288987600927774e-35,3.2938732519561965e-24,2.881497286143177e-11,2.5598208538555697e-11,9.193177408867553e-19,1.2093053610514376e-17,3.216698332586358e-12,5.733996103390898e-17,8.123118350463526e-19,1.5517097674173304e-17,1.154811146017191e-19,5.264722992752991e-25,4.718043595409408e-28,3.6602837680314205e-26,4.985810247031653e-26,1.238238771198933e-25,5.148165720460622e-19,1.6091379307176466e-39,1.4102724372107208e-38,1.724346916612298e-43,1.026161764754954e-58,2.9565215510340464e-17,1.1409177472380358e-20,7.193463286046126e-31,2.2189518233468618e-33,1.891504538880336e-29,3.4338872263077884e-24,1.6479341789835771e-25,8.24519882414302e-49,2.1212477952724047e-45,4.597516973450978e-54,2.6654534904730545e-58,3.461765624224242e-42,1.058951552487572e-28,5.022632637672255e-60,2.429614068814822e-67,5.741034811890046e-50,1.9279854296418514e-29
1e-11,0.7118282280400596,3.76,0.0,0.8432079108601297,0.999999999956545,1.105815348671561e-21,1.3697894017672963e-34,1.0184881151733514e-23,4.89157638254623e-11,4.3455011615978674e-11,2.8429102406727553e-18,3.740031304086801e-17,5.460548119381164e-12,1.3606845197110729e-16,2.51234208334508e-18,4.223989445216194e-17,3.5708314458740994e-19,1.632861634771917e-24,2.775462458283425e-27,1.4875273798272214e-25,2.9311634793797866e-25,7.279839174283788e-25,1.5921931744375075e-18,1.8283917560542475e-38,1.6163465710825803e-37,3.900419477641569e-42,4.6174357068966963e-57,5.016920407783078e-17,3.526134645013292e-20,4.277605388378668e-30,1.305969067525197e-32,1.0986076668501671e-28,2.0067664883627045e-23,1.0892033262042001e-24,1.8633311406249236e-47,4.800693193279252e-44,2.054192758154416e-52,1.1898410375469536e-56,7.2633916558955e-41,6.217920146165352e-28,3.0491176250269203e-58,2.389268510468956e-65,1.4721975614102072e-48,2.0992082978564083e-28
1.1781515830617088e-11,0.7118282280400596,3.76,0.0,0.8432079108514152,0.9999999999488034,1.503735934502879e-21,1.862677047696676e-34,1.3172385838691155e-23,5.7630194006065865e-11,5.119659073818585e-11,3.676858146768313e-18,4.8371938275063093e-17,6.433339306443221e-12,1.7020014055610844e-16,3.2493675531499155e-18,5.3825207048514854e-17,4.618264865568853e-19,2.112521994108163e-24,3.774182742345717e-27,1.9737383342597408e-25,3.985777200689288e-25,9.899094555129373e-25,2.0592754497846237e-18,2.551304616155558e-38,2.2559516142569077e-37,5.516637624972811e-42,6.574775577068242e-57,5.910178887683937e-17,4.5602136600358134e-20,5.820241207854074e-30,1.775954860622269e-32,1.4928907275907605e-28,2.727901762560524e-23,1.489968928841665e-24,2.6354075758910574e-47,6.790005909486255e-44,2.924828744223902e-52,1.6941250521628423e-56,1.0262258122601009e-40,8.454522262668178e-28,4.3492470024266284e-58,3.414570780035909e-65,2.0855597128150986e-48,2.9257068537768467e-28
2.3563071610628505e-11,0.711828228040877,3.76,0.0,0.8432079107937844,0.9999999998976065,1.2029678953061021e-20,1.4894216909539074e-33,5.2664301006957215e-23,1.1526079490356589e-10,1.0239335531973318e-10,1.4704018959796212e-17,1.9348406743068092e-16,1.2866383743919944e-11,5.624735274944353e-16,1.2998332265450816e-17,1.9880732972649863e-16,1.8465085619122527e-18,8.503088479397357e-24,3.018916776519229e-26,1.1971948119216336e-24,3.18400687725941e-24,7.908316483132847e-24,8.237112247754584e-18,4.0093858345796985e-37,3.6079228608401834e-36,1.7644766062517368e-40,4.216917628730823e-55,1.1808855408592106e-16,1.8213101594834407e-19,4.755683958201266e-29,1.4220119887601849e-31,1.1629784348460466e-27,2.152128907811807e-22,1.461016917003338e-23,8.41366813102066e-46,2.173666424604635e-42,1.8492308207402823e-50,1.069173846604604e-54,3.144623766318276e-39,6.73632960244836e-27,4.234936583095333e-56,5.135895594712606e-63,8.245146489798832e-47,4.509371667442708e-27
3.534462739063992e-11,0.7118282280416942,3.76,0.0,0.8432079107361536,0.9999999998464094,3.4396992798995365e-20,4.257800785218024e-33,1.1187447272603887e-22,1.7289155441295916e-10,1.5359012008311276e-10,3.1240996340682325e-17,4.1114781519376986e-16,1.929919068086902e-11,1.1212937951161598e-15,2.7622693718177627e-17,4.1214919041241535e-16,3.92265642510223e-18,1.816017538708849e-23,8.631749913676221e-26,3.232101899623021e-24,9.09668980734763e-24,2.2594841860460163e-23,1.7503861268074032e-17,1.4632079551516657e-36,1.3709364774408498e-35,8.251494017265537e-40,2.219487311538464e-54,1.7698906593113114e-16,3.8662093892798327e-19,1.3755340611513968e-28,4.07005494259809e-31,3.275353955729862e-27,6.104839464257021e-22,4.6126314934852176e-23,3.933562828561417e-45,9.82686708635892e-42,1.0034555434124788e-49,5.798044988589082e-54,1.456260253646734e-38,1.9216998023804308e-26,2.6796798231757027e-55,3.5492610150220407e-62,4.122642141454337e-46,1.64011695475354e-26
4.712618317065134e-11,0.7118282280425117,3.76,0.0,0.8432079106785225,0.9999999997952123,7.255249135707571e-20,8.979502562679206e-33,1.9078628162897148e-22,2.3052247253790602e-10,2.0478688502786958e-10,5.328552779203902e-17,7.013604402571349e-16,2.573176012700039e-11,1.8466547964581684e-15,4.7122994971016035e-17,6.938446236146478e-16,6.689744933954826e-18,3.113183612683973e-23,1.8206162832328208e-25,6.658906520970596e-24,1.9173059248841247e-23,4.762464665646111e-23,2.9859515690587906e-17,3.6829130045288086e-36,3.669252357259109e-35,2.565961656178436e-39,8.6661164468575e-54,2.3580345238024803e-16,6.588903554770745e-19,2.930522571501208e-28,8.594445534608077e-31,6.815025152211612e-27,1.2784333363024647e-21,1.0551527148933119e-22,1.2674926522343733e-44,3.282718906118008e-41,3.728242153499696e-49,2.1531993911885607e-53,4.6595872419588636e-38,4.044890984470703e-26,1.1474183121283012e-54,1.6145254908805806e-61,1.428947272457792e-45,4.122322935431598e-26
7.068929473067417e-11,0.7118282280441462,3.76,0.0,0.8432079105632602,0.9999999996928179,1.9815999514196462e-19,2.4523685591490304e-32,3.947969371649748e-22,3.45784681060141e-10,3.0718041534165145e-10,1.1029346820707804e-16,1.452044961444779e-15,3.859634167297624e-11,3.6882186378398e-15,9.756881267027196e-17,1.4176380158881385e-15,1.3843890756918823e-17,6.504669692958655e-23,4.972503774432012e-25,1.817751644270519e-23,5.2301705814053425e-23,1.2992129402145674e-22,6.182027547059677e-17,1.2718022680623834e-35,1.4666997154234539e-34,1.2575431904854124e-38,6.6281579616554935e-53,3.5323049047575726e-16,1.3619417749005201e-18,8.13126680483701e-28,2.353146547425816e-30,1.8200126785442238e-26,3.4503102581737076e-21,3.249906595606846e-22,6.956558059891706e-44,1.9359037170989198e-40,2.5756674435076487e-48,1.4864283576526363e-52,2.5348774598364934e-37,1.1009176259402315e-25,1.1230416352843156e-53,1.7110079518907377e-60,9.106715303154428e-45,1.4226136025609006e-25
9.4252406290697e-11,0.7118282280457808,3.76,0.0,0.843207910447997,0.9999999995904233,4.1461069179411217e-19,5.130854244016938e-32,6.711196851438742e-22,4.6104747289872456e-10,4.0957394631863944e-10,1.8753586802616474e-16,2.469494809538568e-15,5.146004996118011e-11,6.142161095581734e-15,1.6594970544358614e-16,2.3927406620071546e-15,2.3534516870939934e-17,1.1163614152730604e-22,1.040400945910294e-24,3.8360245156801287e-23,1.0931054549509155e-22,2.7154885013927624e-22,1.0513998589538318e-16,3.1450073938649906e-35,3.9491687744713666e-34,3.9297592593912147e-38,2.5264932723287983e-52,4.703418750716491e-16,2.3127397313826984e-18,1.724031448126425e-27,4.9359444574085086e-30,3.733290733816373e-26,7.143229765953736e-21,7.472642987196024e-22,2.228672525003315e-43,6.395825466358459e-40,9.680039256088706e-48,5.582850696749063e-52,8.09035995074158e-37,2.296332158406129e-25,4.766395230663486e-53,7.805986987241526e-60,3.1607314237231915e-44,3.5190518602447484e-25
9.999999999999999e-11,0.7118282280474155,3.76,0.0,0.8432079104198817,0.9999999995654468,4.861762073327941e-19,6.016416537387722e-32,7.502586067069572e-22,4.891628569753277e-10,4.345501221325513e-10,2.0966386446000167e-16,2.761033866158637e-15,5.459766717243517e-11,6.840269400057423e-15,1.8554525445808026e-16,2.6714344296092627e-15,2.6310054481938436e-17,1.2511073778948625e-22,1.2199860860564413e-24,4.506282666245193e-23,1.281394220584981e-22,3.1832782591631863e-22,1.1755303794047545e-16,3.842309171103887e-35,4.919363358316855e-34,5.108085967634993e-38,3.492153749463473e-52,4.988568997441013e-16,2.584749298622042e-18,2.0287356038110727e-27,5.792184564718963e-30,4.354004811608625e-26,8.351870544558919e-21,8.978090146346836e-22,2.913716849524652e-43,8.428638213961837e-40,1.3260987233040533e-47,7.646334259727245e-52,1.0568405585017105e-36,2.6903924100490353e-25,6.863287389959448e-53,1.1488078783056525e-59,4.2451955681160245e-44,4.300319890626798e-25
