Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49)
1.027e-12,0.5670688463336616,3.76,0.0,0.5585719703955777,0.9999999999999144,5.83236815708925e-28,3.978767371843342e-43,3.081224661398044e-30,8.659523963488872e-14,8.567238865494436e-14,1.1001347221258942e-21,4.436846745241144e-22,9.22851099948944e-16,2.221559970276863e-21,1.7449154973639304e-22,7.922913217518075e-22,1.2727724788763534e-23,1.4061357740384843e-30,6.422358059286813e-35,2.3016643278939345e-31,2.1515730019062194e-33,3.3272738382582295e-31,4.2789950021244936e-23,3.638884717335752e-49,8.169579692341733e-48,3.1379751038555085e-54,2.47688815911062e-72,1.8151217929079248e-21,1.5057511118212525e-25,1.3160570426160053e-38,2.0925568850538593e-40
2.051e-12,0.5670688463336617,3.76,0.0,0.5585719703954913,0.9999999999998289,4.655995061347703e-27,3.176014284019821e-42,1.230216011529899e-29,1.729821545562939e-13,1.7113867456606179e-13,4.392533927261835e-21,1.771518795528901e-21,1.8434804693546578e-15,5.248325005965793e-21,6.967014154944963e-22,2.145148394172082e-21,5.0817847131910497e-23,5.621376361201033e-30,5.1270226970817555e-34,1.1274690110986612e-30,1.7176022986601704e-32,2.6559557719683584e-30,1.708494591343138e-22,5.79925182444243e-48,1.3029125088468987e-46,1.0007843702298798e-52,1.5776614810021102e-70,3.625521321450815e-21,6.011552390600352e-25,1.0505263038817753e-37,1.6720976100755512e-39
4.099e-12,0.5670688463336618,3.76,0.0,0.5585719703953186,0.9999999999996579,3.7208484594492186e-26,2.537725006150449e-41,4.9160954972066846e-29,3.4575597938799366e-13,3.4207124694358363e-13,1.755401820391382e-20,7.079642900062892e-21,3.684734358961052e-15,1.3730582206622072e-20,2.7842882427867372e-21,6.536244185809608e-21,2.0308140067278305e-22,2.2521346878118084e-29,4.0973307408119005e-33,6.172055941629284e-30,1.3726189038968835e-31,2.122167910091793e-29,6.827790403373555e-22,9.237422547354174e-47,2.0811934072173925e-45,3.19697851861067e-51,1.0071284369826476e-68,7.245255196133428e-21,2.4020190439117936e-24,8.393936580340148e-37,1.3388222330291404e-38
8.195e-12,0.5670688463336624,3.76,0.0,0.5585719703949731,0.9999999999993161,2.9750937775270467e-25,2.0284697363848238e-40,1.9652983045637122e-28,6.913036090081372e-13,6.839363939197502e-13,7.018263624967984e-20,2.830562971950132e-20,7.367222741494736e-15,4.040995395453582e-20,1.1132161234700735e-20,2.2059881840436974e-20,8.119106154233241e-22,9.049404380654315e-29,3.2762145819849373e-32,3.8001115338331315e-29,1.0974997637872605e-30,1.6962791190990846e-28,2.729880393593608e-21,1.467382595330373e-45,3.3268145323657495e-44,1.0220453284281066e-49,6.43518620692114e-67,1.4480464745647143e-20,9.600335087869504e-24,6.70938869578106e-36,1.0745791027378106e-37
1e-11,0.5670688463336631,3.76,0.0,0.5585719703948208,0.9999999999991656,7.562325550188506e-25,5.1539064532817334e-40,3.2635491207406012e-28,8.435773880893801e-13,8.345874188977911e-13,1.165571851784387e-19,4.701008529963911e-20,8.989981899082613e-15,6.07289313911781e-20,1.8488503715568675e-20,3.4842158444737436e-20,1.3483468080353312e-21,1.510855817883273e-28,8.328074572004977e-32,8.659363086106679e-29,2.7896729911717523e-30,4.3097937076883095e-28,4.533816382548903e-21,6.248182391451795e-45,1.4314364324822674e-43,7.998118557500598e-49,9.56275023505668e-66,1.7665083734563002e-20,1.5938370687241217e-23,1.7046754161236428e-35,2.7458336681256298e-37
1.6387e-11,0.5670688463336631,3.76,0.0,0.558571970394282,0.9999999999986324,2.379426423827093e-24,1.621327726260062e-39,7.857415028176497e-28,1.3823987880848914e-12,1.367666696756377e-12,2.806537192548835e-19,1.1319587908930124e-19,1.4732121920973897e-14,1.326277174786209e-19,4.45189521506399e-20,8.007229732100732e-20,3.2465285045521685e-21,3.65488990702264e-28,2.6204102137798885e-31,2.5853844894622555e-28,8.777434987462475e-30,1.3557725938890188e-27,1.0917051375046118e-20,2.316506233484655e-44,5.319385492007055e-43,3.268298266502748e-48,4.11234883630049e-65,2.893387125933064e-20,3.8365535990946014e-23,5.362556481379236e-35,8.659574892021478e-37
3.2771e-11,0.5670688463336647,3.76,0.0,0.5585719703928997,0.999999999997265,1.9032573237745964e-23,1.2952619410655255e-38,3.1410116949174912e-27,2.764588825660177e-12,2.735127337965215e-12,1.1223812761212661e-18,4.527240511842785e-19,2.946160994660398e-14,4.72496049869876e-19,1.7805869355749144e-19,3.0395253625611525e-19,1.2981611167787693e-20,1.4905475854044137e-27,2.096260835244645e-30,1.886487438404027e-27,7.020628319097812e-29,1.0830497255735974e-26,4.366326253000778e-20,3.611548229015682e-43,8.504865654354012e-42,1.0450691448810701e-46,2.6263120104845623e-63,5.777279527429633e-20,1.5322827168220632e-22,4.2838298158427854e-34,7.03054754661938e-36
6.5539e-11,0.5670688463336677,3.76,0.0,0.5585719703901354,0.99999999999453,1.522453131504027e-22,1.033542091360741e-37,1.2550563701657572e-26,5.528967619104964e-12,5.470048762512525e-12,4.4884181652374796e-18,1.8107276541080577e-18,5.891934473673166e-14,1.773937739388531e-18,7.122186404012372e-19,1.1830934275550344e-18,5.1899249432782005e-20,6.191939308442627e-27,1.6772352637493296e-29,1.4364743689693278e-26,5.615503008119412e-28,8.641107341037477e-26,1.7464313034624395e-19,5.4979174213108504e-42,1.3592196557769788e-40,3.3483036779145493e-45,2.1212319460229217e-61,1.15180371779096e-19,6.111529299967782e-22,3.41783252352903e-33,5.788487085051876e-35
9.999999999999999e-11,0.567068846333674,3.76,0.0,0.5585719703872282,0.9999999999916538,7.1256959796453575e-22,4.81594922900844e-37,3.229474721146116e-26,8.436168832081291e-12,8.346273646711513e-12,1.1565041281577567e-17,4.666763372747235e-18,8.989644002322906e-14,4.45016226172834e-18,1.835802123143727e-18,3.014819327199549e-18,1.3366528078319277e-19,1.6927582628509902e-26,7.853501937529112e-29,6.57096424131895e-26,2.6279153783816497e-27,4.025663253466075e-25,4.501319802807864e-19,4.4766626640153783e-41,1.2055602404385102e-39,5.780497538207118e-44,7.195676254911554e-60,1.7499086482148288e-19,1.5680063141108783e-21,1.592261669486367e-32,2.8450251063135876e-34
1.31075e-10,0.567068846333674,3.76,0.0,0.5585719703846066,0.9999999999890602,1.2178386601101264e-21,8.226712172695575e-37,5.0098946235492594e-26,1.1057720084025211e-11,1.0939892180024059e-11,1.794634372028418e-17,7.24217644714184e-18,1.1782984984963885e-13,6.863431668643685e-18,2.848986787727544e-18,4.666567167699051e-18,2.0739730899520108e-19,2.660838458350514e-26,1.3422913355877593e-28,1.12009596791549e-25,4.4912476898490696e-27,6.876574269953828e-25,6.985523979040682e-19,8.017694958422231e-41,2.170100137461225e-39,1.069109523765481e-43,1.3493053328969491e-59,2.289246180872667e-19,2.4308431125597243e-21,2.719873079846555e-32,4.888536077031097e-34
2.6214700000000005e-10,0.5670688463336867,3.76,0.0,0.5585719703735491,0.9999999999781205,9.741210028450362e-21,6.51583514127808e-36,1.9958246523367877e-25,2.2115204564770757e-11,2.1879581287902e-11,7.172984695015674e-17,2.8964061276345676e-17,2.356310068193373e-13,2.6987185727664155e-17,1.1397323955104574e-17,1.8531645733839005e-17,8.280310090439383e-19,1.2117325756672354e-25,1.07471611237539e-27,8.844442137309394e-25,3.5913289040670675e-26,5.444271635053887e-24,2.7941670598485292e-18,1.0894712838212367e-39,3.4576085983158685e-38,3.4059770442128356e-42,8.476809736124807e-58,4.522093992487241e-19,9.615279324355628e-21,2.1533097044293336e-31,4.307605380572554e-33
5.242910000000001e-10,0.5670688463337118,3.76,0.0,0.5585719703514339,0.9999999999562408,7.790762975239682e-20,5.110245119810429e-35,7.9191332220894235e-25,4.42300920393719e-11,4.375896858857788e-11,2.8648218173061624e-16,1.1582155469500822e-16,4.711539445740243e-13,1.0700035686487722e-16,4.560121184956211e-17,7.383324645212296e-17,3.29979307489588e-18,6.027837923643933e-25,8.61285555367507e-27,7.029029290018368e-24,2.870465056439109e-25,4.266934320373346e-23,1.117656488289802e-17,1.3385716834238777e-38,5.486304538170921e-37,1.0803689925453386e-40,5.231013801633596e-56,8.825800121562027e-19,3.762255983947148e-20,1.687574512172167e-30,4.0347406137745187e-32
7.864350000000001e-10,0.5670688463337368,3.76,0.0,0.5585719703293188,0.9999999999343608,2.227315078795988e-19,1.4447019299428748e-34,1.6734836458203513e-24,6.634489833580246e-11,6.563836496767514e-11,6.081353223959563e-16,2.4607055567102774e-16,7.065975429176193e-13,2.2676579546645706e-16,9.692027093640248e-17,1.5668522319454429e-16,6.994047792588164e-18,1.482051842956787e-24,2.4670156905318687e-26,2.082838876922716e-23,8.203492658969247e-25,1.2058637448263733e-22,2.3750115394853777e-17,4.3945738112741524e-38,2.0811110552349124e-36,5.043952467329455e-40,2.6307074284590954e-55,1.2973450058746246e-18,7.874632290576894e-20,4.769070450393615e-30,1.2617317746512545e-31
9.999999999999999e-10,0.567068846333762,3.76,0.0,0.5585719703113018,0.9999999999165354,4.2396376682966134e-19,2.7249848595949893e-34,2.624012994038453e-24,8.436145158763864e-11,8.34632063721998e-11,9.570409656855388e-16,3.875149230243755e-16,8.983454974710288e-13,3.56711700762533e-16,1.5267910858917329e-16,2.466113019592861e-16,1.0993175447567323e-17,2.608114912683187e-24,4.7046437193038394e-26,4.079566176638192e-23,1.5610573968828788e-24,2.2738581940231373e-22,3.740806851346295e-17,9.078221614137135e-38,4.919937183555403e-36,1.3697613459520914e-39,9.17311489259576e-55,1.623000154408285e-18,1.225254862258376e-19,8.992684845206007e-30,2.576541836171716e-31
1.0485790000000002e-09,0.567068846333762,3.76,0.0,0.5585719703072035,0.9999999999124808,4.697374746354122e-19,3.0162070375715803e-34,2.8402270984426743e-24,8.845962376201627e-11,8.75177704186981e-11,1.0364055022217913e-15,4.1968885565218595e-16,9.419618385580523e-13,3.8627011217534937e-16,1.6536240676225398e-16,2.670665215894335e-16,1.1902845207833444e-17,2.864257154456133e-24,5.21363036041879e-26,4.5337558401733173e-23,1.7295440884997963e-24,2.516791738131629e-22,4.0514802784288795e-17,1.0143597151398778e-37,5.5656765813391324e-36,1.566603617550749e-39,1.0661297002025198e-54,1.6970759695494215e-18,1.3248380324840982e-19,9.953417941385593e-30,2.8756177988931496e-31
1.5728670000000003e-09,0.5670688463338122,3.76,0.0,0.5585719702629729,0.9999999998687203,1.282691472735982e-18,8.099896092444577e-34,5.830607399580423e-24,1.326888857692805e-10,1.3127660259185272e-10,2.142292220901128e-15,8.686416877624186e-16,1.412504424863565e-12,7.985019494819257e-16,3.424578120782739e-16,5.523734909787176e-16,2.4546442723100106e-17,7.22575760109851e-24,1.4298575244868448e-25,1.314622760881168e-22,4.720243123570579e-24,6.755314364321543e-22,8.388047081214102e-17,3.081747464203498e-37,2.221843115651593e-35,7.659732967674978e-39,8.761365719764104e-54,2.462945606156036e-18,2.680745635098162e-19,2.6714849223315884e-29,8.895405699310318e-31
2.0971550000000003e-09,0.5670688463338621,3.76,0.0,0.5585719702187424,0.9999999998249592,2.6832505196721153e-18,1.6695261611947835e-33,9.836714324775989e-24,1.7691785293503956e-10,1.750354680717818e-10,3.637901450961853e-15,1.4768945317319603e-15,1.882755690837819e-12,1.3567566778038274e-15,5.825858025867255e-16,9.387408850768449e-16,4.159106096345483e-17,1.4491689648175212e-23,3.0042950202812213e-25,2.8732585543288564e-22,9.869507983516614e-24,1.3918417547935475e-21,1.4265831386954425e-16,6.9132225523530085e-37,5.968528905338099e-35,2.3882048033961313e-38,3.349121813793065e-53,3.1779804201752754e-18,4.46136208680167e-19,5.504032414904586e-29,2.0588865360925374e-30
2.6214430000000005e-09,0.5670688463339122,3.76,0.0,0.5585719701745114,0.9999999997811978,4.883702740425099e-18,2.9933974844457506e-33,1.490517934409724e-23,2.2114650624052948e-10,2.187943691941861e-10,5.549190608989443e-15,2.2556776871552153e-15,2.352695071794073e-12,2.071375145411416e-15,8.903003978352316e-16,1.4332468702817572e-15,6.329907037995316e-17,2.5594045830721222e-23,5.494033593207581e-25,5.388580939662958e-22,1.7954445709966024e-23,2.4947085098467315e-21,2.1794909602684053e-16,1.3280471122175292e-36,1.3303865052644297e-34,6.101792429636232e-38,1.0218230240646812e-52,3.8419214953887404e-18,6.667370252508643e-19,9.864939160765267e-29,4.104815243112813e-30
3.6700190000000006e-09,0.567068846334012,3.76,0.0,0.5585719700860491,0.9999999996936724,1.288684420181918e-17,7.5879393051144e-33,2.8128073042207905e-23,3.096028652792417e-10,3.0631228031189426e-10,1.0632288343244114e-14,4.334542932422625e-15,3.291620231502935e-12,3.978920477516366e-15,1.713077772156739e-15,2.7525174508858096e-15,1.206532088152589e-16,6.435324056644528e-23,1.4690231083605984e-24,1.4736804605723902e-21,4.731421942135638e-23,6.322231754228067e-21,4.1910600801485603e-16,3.8334194505744884e-36,5.051381741246339e-34,3.363162932001693e-37,7.752120769158784e-52,5.0336109747615416e-18,1.2203837675250516e-18,2.4997684563022787e-28,1.3027952050869394e-29
5.767171000000001e-09,0.5670688463342112,3.76,0.0,0.5585719699091223,0.999999999518614,4.9764478941196176e-17,2.680964121632208e-32,6.596754292828732e-23,4.86511893272188e-10,4.813485337068559e-10,2.573891159181253e-14,1.0559003838942143e-14,5.165688743179236e-12,9.692104409343621e-15,4.184827818065109e-15,6.6986180879631835e-15,2.8888637634114983e-16,2.3512016122508456e-22,5.847758540042569e-24,5.8499973817827845e-21,1.8215458654857831e-22,2.2378262713461712e-20,1.0224798337371292e-15,1.6526907066000734e-35,3.11715286416758e-33,3.5958846326015444e-36,1.166621448969911e-50,6.96747431196301e-18,2.6939454800868405e-18,8.846050382591223e-28,6.459226837061041e-29
7.864323e-09,0.5670688463344097,3.76,0.0,0.5585719697321926,0.9999999993435453,1.2337023805876574e-16,6.192252380640538e-32,1.1790414780195076e-22,6.634161002405387e-10,6.563853602138292e-10,4.734353147967059e-14,1.9533728462099336e-14,7.034722998438267e-12,1.7933594417391065e-14,7.761583209160504e-15,1.238232403989556e-14,5.260676492413272e-16,5.675805689538106e-22,1.4853957775654428e-23,1.464339036799637e-20,4.504721112613476e-22,5.183903665737549e-20,1.8941585955762714e-15,4.347235092693074e-35,9.993417724970153e-33,1.4816575996650308e-35,5.810070340388276e-50,8.406150510452918e-18,4.564367171554752e-18,2.0487478565901365e-27,1.8223743940100685e-28
9.961475000000002e-09,0.5670688463346074,3.76,0.0,0.5585719695552602,0.9999999991684666,2.4598540318689365e-16,1.1563630507169313e-31,1.8250454132975872e-22,8.403156288635104e-10,8.314227565704673e-10,7.531473738243041e-14,3.1247360479284826e-14,8.898741327272573e-12,2.869636322461079e-14,1.2446401347303992e-14,1.9793132073974827e-14,8.288533138139161e-16,1.1134513744366209e-21,3.0304675317956326e-23,2.934139207586863e-20,8.961228690667649e-22,9.719328690908032e-20,3.0340739313294185e-15,9.053112361856568e-35,2.4043726940946125e-32,4.2907114205947717e-35,1.962797595580613e-49,9.470747973702241e-18,6.7253932950845766e-18,3.8404095890692306e-27,3.965200531202746e-28
9.999999999999999e-09,0.5670688463348043,3.76,0.0,0.5585719695520099,0.9999999991652505,2.4881465911247147e-16,1.1681467326051717e-31,1.8379719101165068e-22,8.435652575961779e-10,8.346382253628267e-10,7.58868870383251e-14,3.1488055408123106e-14,8.932936876301262e-12,2.8917596465855126e-14,1.2542856516888104e-14,1.9945326168982654e-14,8.349984115909746e-16,1.125975475111302e-21,3.066772144400413e-23,2.9681017169518464e-20,9.06387357478542e-22,9.819313096312051e-20,3.0575231181481978e-15,9.164476022362052e-35,2.4402237827978827e-32,4.3709917169301015e-35,2.006455153723853e-49,9.487709122111064e-18,6.76701829387722e-18,3.8799000413707264e-27,4.0166679812377435e-28
1.2058627000000003e-08,0.5670688463348043,3.76,0.0,0.5585719693783249,0.9999999989933782,4.3026495415964907e-16,1.8983777529802779e-31,2.584298066049512e-22,1.0172106232991597e-09,1.006460719505107e-09,1.0952023540944258e-13,4.568862348713965e-14,1.0757761679596982e-11,4.1973567865305886e-14,1.824246227154089e-14,2.8920506266550384e-14,1.1939536317956556e-15,1.926205093959094e-21,5.422404137557236e-23,5.14824140735626e-20,1.5639095408881925e-21,1.603669774132651e-19,4.442197642888586e-15,1.6422715967825377e-34,4.882812313426641e-32,1.0165634789414608e-34,5.2982158268168555e-49,1.0257846841942128e-17,9.092391325730837e-18,6.335245420433794e-27,7.401982083862641e-28
1.6252931e-08,0.5670688463351959,3.76,0.0,0.5585719690244455,0.9999999986431719,1.0304787655168202e-15,4.0268769811014004e-31,4.400124018853959e-22,1.37098752841559e-09,1.3565383331705725e-09,1.961593819702145e-13,8.271304209183022e-14,1.4460872708546741e-11,7.604663036767022e-14,3.3179515668967625e-14,5.228656714249266e-14,2.099768223951507e-15,4.550225738076408e-21,1.3587165344018058e-22,1.2379837615205826e-19,3.728858033473242e-21,3.4458247911217835e-19,8.063028933988676e-15,4.186098865527288e-34,1.4654041253850943e-31,3.934045619486434e-34,2.5809398914925172e-48,1.1237001312887447e-17,1.4236796536220145e-17,1.3606561209829348e-26,1.9401764959535807e-27
2.0447235000000003e-08,0.5670688463355847,3.76,0.0,0.5585719686705545,0.9999999982929276,2.0246703961480397e-15,7.042249398794249e-31,6.540944027712532e-22,1.7247479234055227e-09,1.706618175441625e-09,3.062481706526208e-13,1.3051844215727915e-13,1.8144194040457154e-11,1.2009955685796284e-13,5.259616770078579e-14,8.2397734999951e-14,3.219807957913934e-15,8.866837747370623e-21,2.789574612033129e-22,2.439308400467941e-19,7.294613224225289e-21,6.122632050610647e-19,1.2756561321222355e-14,8.68356441250204e-34,3.3988190792226318e-31,1.105801081829689e-33,8.551651528951932e-48,1.1779252309135455e-17,1.961743655657211e-17,2.416505908254617e-26,4.051659121958339e-27
2.4641539000000005e-08,0.5670688463359708,3.76,0.0,0.5585719683166517,0.9999999979426462,3.5180289014495097e-15,1.0913201290877388e-30,8.933694895341753e-22,2.0784929331589034e-09,2.0567002193899405e-09,4.387609075659837e-13,1.8901224701177225e-13,2.1807867596669345e-11,1.740768153678635e-13,7.651489526905152e-14,1.1916775567970062e-13,4.531383474275348e-15,1.5323369043144253e-20,5.065244716308002e-22,4.2487001569909344e-19,1.261971468040638e-20,9.669750943426704e-19,1.852271516687964e-14,1.5877004191117713e-33,6.723393945238417e-31,2.5758986076155155e-33,2.304795266948909e-47,1.2138209759294715e-17,2.5014708103269934e-17,3.8145432174421773e-26,7.359279955980029e-27
3.3030147e-08,0.5670688463367352,3.76,0.0,0.5585719676088106,0.9999999972419765,8.404287857278455e-15,2.0825772117031642e-30,1.4307663548071889e-21,2.7859408065970138e-09,2.7568708092108237e-09,7.674260169434691e-13,3.377100347652294e-13,2.9076796928152938e-11,3.115921752995766e-13,1.3792808743081557e-13,2.1235645308309491e-13,7.65926990595719e-15,3.6366340213003445e-20,1.3344636083707224e-21,1.0197201897927302e-18,2.985837236347359e-20,1.9320109433005275e-18,3.3272660517098734e-14,4.22036001904387e-33,1.9596669843623063e-30,1.0315529717546897e-32,1.3522237598570596e-46,1.241979817958377e-17,3.5773489562756556e-17,7.612451335701173e-26,1.8655455550893745e-26
