Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309)
2.413911423724405e-15,0.8101998884583852,3.76,0.0,0.659066097011436,0.9999999999998543,1.8722955535290545e-30,2.7167051451021715e-41,1.4055168059855475e-27,2.419362438689537e-13,1.4573612962088766e-13,1.6164307933354801e-24,2.656285824981399e-22,9.62001128620488e-14,3.203735126728171e-18,6.3471287448174225e-24,4.495899815826577e-19,1.4174129219483887e-24,4.5379469287791464e-29,5.564243608780271e-35,7.4606771007217795e-31,3.39733159239584e-35,1.9357429016977882e-33,3.505710524886243e-24,2.7029928212641057e-48,2.1891623862057762e-47,3.9172195682636405e-55,1.194268865317592e-71,3.203170120078398e-18,4.518288994077676e-25,1.1544735761415693e-38,2.822502612349399e-40,2.1545559593689773e-37,5.165537270559832e-32,2.1628168562335152e-33,1.5685934379261877e-60,1.6510180727215768e-57,1.9224439817516434e-68,2.790552616743203e-72,2.9122971492678573e-52,3.2311239927706937e-44,3.0776752015342277e-77,1.343727235282836e-83,5.005489610142631e-62
4.829920077182715e-15,0.8101998884583996,3.76,0.0,0.6590660970111939,0.9999999999997085,1.498974878569298e-29,2.1750174976968597e-40,5.6257296191973745e-27,4.840826854191448e-13,2.915988761795277e-13,6.4699349906349835e-24,1.0632065720089572e-21,1.9248380369193624e-13,6.411383601595794e-18,2.5405057132970968e-23,9.000924041463784e-19,5.673344581407087e-24,1.8163643379666574e-28,4.454778603899509e-34,2.9867865196344837e-30,2.7199309370398917e-34,1.5497709609613107e-32,1.4031978221816882e-23,4.3282979511795866e-47,3.506437692496611e-46,1.2549109714961718e-53,7.65229543648147e-70,6.4091221025635535e-18,1.8084926004924223e-24,9.242815151466655e-38,2.259718258250965e-39,1.7249479708181647e-36,4.135559116140441e-31,1.7316731976826948e-32,5.025694196431105e-59,5.291177743308994e-56,1.2322350013337115e-66,1.788670312010564e-70,4.6636089135518153e-51,5.173989803631257e-43,3.94558800935044e-75,1.7229074458208657e-81,1.603829715643801e-60
9.661937384099336e-15,0.8101998884584285,3.76,0.0,0.6590660970107096,0.9999999999994167,1.1996354622546446e-28,1.7406774450250024e-39,2.2510242429674012e-26,9.683755718760723e-13,5.833243692074524e-13,2.5888161657819236e-23,4.254211130329006e-21,3.8505118047067044e-13,1.283007175897163e-17,1.0165332862449969e-22,1.8026634275236444e-18,2.2700760268046966e-23,7.267846830481263e-28,3.565176933550274e-33,1.1955609002735999e-29,2.176771296249879e-33,1.2402871745756034e-31,5.614619020103973e-23,6.9280508248920725e-46,5.613324048739751e-45,4.017957416842282e-52,4.90035823647342e-68,1.2821022817237224e-17,7.236322093510403e-24,7.3970721631990305e-37,1.8084613266084926e-38,1.3804716452051525e-35,3.309685657885564e-30,1.3860323151458566e-31,1.609213218720581e-57,1.6944453245092625e-54,7.892265417865652e-65,1.145615582483156e-68,7.465256491150431e-50,8.281694229295118e-42,5.054300866612526e-73,2.2076744546317458e-79,5.136033360922992e-59
1.9325971997932576e-14,0.8101998884584859,3.76,0.0,0.6590660970097411,0.9999999999988333,9.598906171045277e-28,1.392810289949698e-38,9.005559630892411e-26,1.9369613582161074e-12,1.1667753549058801e-12,1.0356945769977768e-22,1.701961430998271e-20,7.701859145039771e-13,2.568101290359829e-17,4.0667957496751756e-22,3.614070186590491e-18,9.081775946036813e-23,2.907630832620888e-27,2.8526832585530694e-32,4.786680662814997e-29,1.7417476111656635e-32,9.924172200726997e-31,2.246213195331957e-22,1.1086989634303139e-44,8.983736778459424e-44,1.2861050486316443e-50,3.137173569631371e-66,2.5644811245411543e-17,2.894996854558711e-23,5.91879914554566e-36,1.4470437425706139e-37,1.1045694897550966e-34,2.6482217527024124e-29,1.1093044312667034e-30,5.151062941890399e-56,5.42425685516891e-53,5.052919467599572e-63,7.334669517828405e-67,1.1948265361413296e-48,1.3253218215302478e-40,6.472032142531345e-71,2.8285375967012525e-77,1.644429189897618e-57
3.8654041225599056e-14,0.8101998884586012,3.76,0.0,0.6590660970078038,0.9999999999976663,7.679853757461799e-27,1.1143602146988028e-37,3.602514532774949e-25,3.874132984600898e-12,2.333677324873047e-12,4.143111775524321e-22,6.808399488790391e-20,1.5404553044739525e-12,5.143715450685268e-17,1.6268512370851553e-21,7.261942548477552e-18,3.633000959072137e-22,1.1631620697067804e-26,2.282363275924802e-31,1.91775518155403e-28,1.3935301484950719e-31,7.940076207986803e-30,8.985583919504601e-22,1.7740513409192387e-43,1.4375909148918947e-42,4.1161087582194355e-49,2.00811819227136e-64,5.129233609717637e-17,1.158090441355603e-22,4.735516980146947e-35,1.1577447736219296e-36,8.837113854381665e-34,2.118731152174052e-28,8.879566236168508e-30,1.6485894663852413e-54,1.736088295942212e-51,3.234417124862645e-61,4.695005322634139e-65,1.9123728237401765e-47,2.1206702081889875e-39,8.285816152003285e-69,3.6253575195426143e-75,5.265491461305464e-56
7.731017968093201e-14,0.8101998884588315,3.76,0.0,0.6590660970039295,0.9999999999953325,6.144174155448669e-26,8.91540387660477e-37,1.4410624534732411e-24,7.748476452189363e-12,4.667481259088628e-12,1.657309183845907e-21,2.7234703665067397e-19,3.08099377202742e-12,1.0316647492537443e-16,6.507674086967629e-21,1.4657922603298052e-17,1.4532554553512415e-21,4.652958237441713e-26,1.8259772309968054e-30,7.694750516427405e-28,1.1148766506683066e-30,6.352337873916279e-29,3.594379729861696e-21,2.838474362176421e-42,2.3002984152939227e-41,1.3172455471449374e-47,1.2853321715150314e-62,1.0258717778323704e-16,4.632529886398542e-22,3.7886383285568404e-34,9.262395655572717e-36,7.069576953874304e-33,1.6949895307306876e-27,7.110851136920548e-29,5.275862053438584e-53,5.556010414720473e-50,2.0701388965067646e-59,3.004992008272386e-63,3.061411014829625e-46,3.393051536921628e-38,1.0606871535865332e-66,4.6514635940466774e-73,1.686691459977584e-54
1.5462245659159793e-13,0.8101998884592923,3.76,0.0,0.6590660969961807,0.9999999999906649,4.915455156307566e-25,7.132650696885403e-36,5.764351114297841e-24,1.5497164246641845e-11,9.335089104644773e-12,6.629347906990315e-21,1.0894101124636556e-18,6.162069457588972e-12,2.0749326425853972e-16,2.6031260672474924e-20,2.9850823685388064e-17,5.813107595064354e-21,1.8613176700611523e-25,1.460816330622459e-29,3.096697326333462e-27,8.919218622013481e-30,5.081951485604951e-28,1.437781068251021e-20,4.5411874100041695e-41,3.680595078279878e-40,4.215325318180996e-46,8.226970426268596e-61,2.0517602909241253e-16,1.8530333517193972e-21,3.031054401023758e-33,7.41008883521114e-35,5.655076308754037e-32,1.3559024491627478e-26,5.699792224427305e-28,1.6883211363911703e-51,1.7780116675095926e-48,1.324843247027096e-57,1.9231620497081487e-61,4.903050485879027e-45,5.428401762255174e-37,1.357743520798269e-64,5.981176754958428e-71,5.407887326691057e-53
3.0924701041292977e-13,0.8101998884602135,3.76,0.0,0.6590660969806831,0.9999999999813297,3.932409448914239e-24,5.706441556522167e-35,2.3057511201702856e-23,3.099454327264911e-11,1.8670304704256904e-11,2.6517471750732312e-20,4.357683192116488e-18,1.2324215830534925e-11,4.196194340939196e-16,1.0412637964828318e-19,6.184038692547604e-17,2.325240695816483e-20,7.446118490057803e-25,1.1686667243077696e-28,1.2536792888339643e-26,7.13544951903315e-29,4.065546337079404e-27,5.751182173126564e-20,7.264433925168337e-40,5.889031182066e-39,1.3503028952236677e-44,5.370377788082664e-59,4.1035040351442003e-16,7.412078382351106e-21,2.4249870541672689e-32,5.9281357033719825e-34,4.522963925777901e-31,1.0845406979011072e-25,4.577445581701224e-27,5.40257728119912e-50,6.407664922922408e-47,9.530711210796186e-56,1.3835403174722382e-59,7.859918072877389e-44,8.683573706326926e-36,1.739712497012997e-62,7.733014563076409e-69,1.7371564567154275e-51
6.184961180555934e-13,0.8101998884620563,3.76,0.0,0.6590660969496879,0.9999999999626592,3.1459440735466395e-23,4.565585567930163e-34,9.22294914450636e-23,6.198931507307352e-11,3.734073553747996e-11,1.060689094951756e-19,1.7430808734534453e-17,2.464848858375339e-11,8.577621159174118e-16,4.1650985885920523e-19,1.322345351982391e-16,9.300802127620207e-20,2.9790802011819827e-24,9.349385895449369e-28,5.1346454379058786e-26,5.708377389774788e-28,3.252355409741121e-26,2.300484086918525e-19,1.1618184530055629e-38,9.422464604747283e-38,4.321113751845853e-43,3.43910997746826e-57,8.206858400165642e-16,2.9647420959018364e-20,1.940184384981422e-31,4.742527549371351e-33,3.616552577464369e-30,8.673272366087617e-25,3.6900560094454083e-26,1.7287511470522635e-48,2.057671514005078e-45,6.129280498229139e-54,8.898282707732638e-58,1.2623741762025831e-42,1.388747492036886e-34,2.2269320127117833e-60,1.0075781408669105e-66,5.601076786617922e-50
1e-12,0.8101998884657415,3.76,0.0,0.6590660969114508,0.9999999999396264,1.6729401986829154e-22,2.4282756546398504e-33,2.628928205365809e-22,1.0022592096702124e-10,6.037343437202887e-11,3.023392964296898e-19,4.968602307611524e-17,3.9852227339293864e-11,1.4325464373685695e-15,1.1872619310791218e-18,2.3490360401300797e-16,2.651067842434875e-19,8.494841674374747e-24,4.9717898678065065e-27,1.522785159834365e-25,3.0355708589386058e-27,1.7294298479031932e-25,6.557470148589257e-19,1.1901574298844442e-37,9.660146320148011e-37,8.694656236726099e-42,1.3715442570694638e-55,1.3268616100121222e-15,8.450408603424777e-20,1.0319265175785699e-30,2.521960475014555e-32,1.9213878962020571e-29,4.609190050246487e-24,1.9899704782748277e-25,3.478169261090159e-47,4.140883819341979e-44,2.4419914211150204e-52,3.545688110720332e-56,1.3036639594625356e-41,1.422547638902076e-33,1.7667589169727048e-58,8.273047560401668e-65,1.1436391035805835e-48
1.2369943333409208e-12,0.8101998884657415,3.76,0.0,0.6590660968876975,0.9999999999253182,2.516759280212459e-22,3.653127618817765e-33,3.689107244636508e-22,1.239789136675678e-10,7.468159573991651e-11,4.2426458135480634e-19,6.972331071966636e-17,4.929695411977759e-11,1.7896086679882333e-15,1.666061445767967e-18,2.9868273882672654e-16,3.7201639520302276e-19,1.1921292295386626e-23,7.479525497158394e-27,2.149786031509374e-25,4.5666897027400306e-27,2.601730522684448e-25,9.20195588379408e-19,1.8573226665673417e-37,1.5075799903660568e-36,1.3827438375613564e-41,2.202198245366136e-55,1.6413034672011545e-15,1.1858163906607945e-19,1.5524440693018702e-30,3.7940186347465255e-32,2.890310663008218e-29,6.933675658234301e-24,2.996931373440553e-25,5.531453696167793e-47,6.585420809593194e-44,3.92090712320543e-52,5.693030780151913e-56,2.0350940485080753e-41,2.219979107151761e-33,2.850454702497734e-58,1.334976224656833e-64,1.819285576773986e-48
2.4739907639115757e-12,0.8101998884731121,3.76,0.0,0.6590660967637164,0.9999999998506361,2.013404897642864e-21,2.9235436052043465e-32,1.4755793421043947e-21,2.4795833083118473e-10,1.493633102887135e-10,1.6969634061913906e-18,2.788927852308188e-16,9.859356531242388e-11,3.875545084338545e-15,6.664396427191349e-18,7.342173337319642e-16,1.4879344014652339e-18,4.772475816901965e-23,5.983620621390738e-26,9.366539791477488e-25,3.6533159677804125e-26,2.0811291022994482e-24,3.680783941334884e-18,2.9666369817384956e-36,2.412066762396256e-35,4.4246621209000146e-40,1.4108753525554998e-53,3.2823257666699765e-15,4.742603984226956e-19,1.2424203632162905e-29,3.0351959106470855e-31,2.307560997982634e-28,5.539023291775054e-23,2.4692037284314916e-24,1.76970048934311e-45,2.1074237825079373e-42,2.5060944180591914e-50,3.639776270864839e-54,3.305049483111844e-40,3.5455089518498054e-32,3.648492399225157e-56,1.8244120664827573e-62,5.993772559599578e-47
3.710987194482231e-12,0.8101998884804827,3.76,0.0,0.6590660966397351,0.999999999775954,5.7570773558266e-21,8.361554272570421e-32,3.135511178143404e-21,3.7193796796947644e-10,2.2404501898139603e-10,3.605906014243414e-18,5.926461975929637e-16,1.478898566279166e-10,6.1837233714958195e-15,1.41620564958507e-17,1.2723886756176803e-15,3.161666430744554e-18,1.0148294636314828e-22,1.7109709907942115e-25,2.1198972678536986e-24,1.0446137385880702e-25,5.95030727200989e-24,7.821664281029665e-18,1.0910811955608551e-35,9.118459052901965e-35,2.062069682398044e-39,7.819206809265849e-53,4.923135139630105e-15,1.007705683921619e-18,3.5533031643358847e-29,8.679271050200425e-31,6.590495903009779e-28,1.5825151615435519e-22,7.177892422240456e-24,8.278579105695473e-45,9.414633436032636e-42,1.3520310022207867e-49,1.9638419610702136e-53,1.2262681461774486e-39,1.3038409612540198e-31,2.4082507709452833e-55,1.2267829364141309e-61,2.8346752907799197e-46
4.947983625052886e-12,0.8101998884878535,3.76,0.0,0.6590660965157537,0.9999999997012717,1.2143337407241654e-20,1.7641865555954507e-31,5.348663302795889e-21,4.959178250824893e-10,2.987267218179258e-10,6.151028714098761e-18,1.0109830151131236e-15,1.9718582806850417e-10,8.714142088068386e-15,2.415913491745538e-17,1.913195323831601e-15,5.393125261492384e-18,1.7323153617127658e-22,3.608993845139539e-25,3.831865795228388e-24,2.2033807955395863e-25,1.2550114774546751e-23,1.3342834600624847e-17,2.7654018327478634e-35,2.4199802902832078e-34,6.365720499895562e-39,2.802638597259439e-52,6.563731614469351e-15,1.7188737067522527e-18,7.496386364444203e-29,1.830859700047038e-30,1.3886581106284498e-27,3.335499234740676e-22,1.536480632996773e-23,2.6704486393305477e-44,3.1822807486161714e-41,5.0736361069051645e-49,7.370043182373098e-53,3.142039964605568e-39,3.3042071076918826e-31,1.0628422971881697e-54,5.4870074936324344e-61,9.249963033988266e-46
7.421976486194196e-12,0.8101998885025947,3.76,0.0,0.6590660962677901,0.999999999551907,3.3167195489206264e-20,4.821655135333643e-31,1.1073208548539937e-20,7.438780555758611e-10,4.480901137468334e-10,1.2734152291449415e-17,2.093105847765712e-15,2.957770202298356e-10,1.4296559731522554e-14,5.0019562868633434e-17,3.4356829315170108e-15,1.1164723308939114e-17,3.5909356932591966e-22,9.857632248857355e-25,8.759862925726205e-24,6.018062320817865e-25,3.4274592263863816e-23,2.7624625163736566e-17,9.660830495258872e-35,9.487388009130451e-34,3.0624471342194316e-38,1.7047627532978144e-51,9.844424993393543e-15,3.558178344726947e-18,2.0481464043922796e-28,5.00172348631547e-30,3.78619081325317e-27,9.099001185018118e-22,4.298582309627329e-23,1.4695593751098577e-43,1.9183352713253275e-40,3.595453792684695e-48,5.223416726914585e-52,1.1290266963969477e-38,1.1539554087564531e-30,1.0771482985742631e-53,5.664715558510031e-60,5.220200918108589e-45
9.895969347335507e-12,0.8101998885173363,3.76,0.0,0.6590660960198258,0.9999999994025418,6.93968042961073e-20,1.0094441467455832e-30,1.8831785545597568e-20,9.918390949951217e-10,5.974534841402582e-10,2.165620796773154e-17,3.559814738840171e-15,3.9436703611573267e-10,2.0696222724387453e-14,8.507201810330218e-17,5.3355851987588264e-15,1.898655784433547e-17,6.114725605728303e-22,2.0626097290075593e-24,1.629949361863077e-23,1.2591698693594806e-24,7.170710875812162e-23,4.698221774949873e-17,2.4118400142313504e-34,2.52954039364587e-33,9.472854850846804e-38,6.081543658278326e-51,1.3124335705871312e-14,6.0506692575257e-18,4.2866074659831915e-28,1.0467774985520794e-29,7.909632126125926e-27,1.9017243802375166e-21,9.183045825903746e-23,4.715480876825441e-43,6.3923536680420435e-40,1.3675426204965447e-47,1.9869404648693776e-51,2.8799709868814055e-38,2.8802436947682673e-30,4.635282269045038e-53,2.492134643775746e-59,1.7000536802283948e-44
1e-11,0.8101998885320775,3.76,0.0,0.6590660960093989,0.9999999993962612,7.137393109276713e-20,1.0382334794301446e-30,1.920577166012568e-20,1.002265800807023e-09,6.037341682519977e-10,2.2086272159016995e-17,3.630517046690824e-15,3.9851268889812624e-10,2.098451031373772e-14,8.676174928817438e-17,5.4243346838672575e-15,1.936357782697995e-17,6.236518026556958e-22,2.1213767194163143e-24,1.6687927507149127e-23,1.295043403051213e-24,7.374971923731743e-23,4.791534705269028e-17,2.5001210340538735e-34,2.6291437486705286e-33,9.922433759989171e-38,6.423449697111549e-51,1.3262236592748763e-14,6.170804143446011e-18,4.40879380186869e-28,1.0766138667053993e-29,8.134360817916409e-27,1.955800119061228e-21,9.45414519556108e-23,4.947447997561442e-43,6.71887682254418e-40,1.448463415504151e-47,2.104527485561591e-51,2.988867828022837e-38,2.9856398803299053e-30,4.959538526212916e-53,2.6700282230765196e-59,1.7854034175641265e-44
1.2369962208476817e-11,0.8101998885320775,3.76,0.0,0.6590660957718605,0.9999999992531764,1.2633406661788607e-19,1.8387650574954656e-30,2.876939540462976e-20,1.2398010011210019e-09,7.468168314596952e-10,3.3083836743288017e-17,5.438576560665521e-15,4.929557917215511e-10,2.797149610026344e-14,1.2997369708991105e-16,7.639850686323775e-15,2.9004491689230426e-17,9.353649109601417e-22,3.755000464203647e-24,2.7097826139802207e-23,2.2922519206000126e-24,1.3052744764931744e-22,7.177815624692705e-17,5.112216287239999e-34,5.622561617107941e-33,2.4100146667197486e-37,1.7663773170784151e-50,1.640340803683057e-14,9.242710102150259e-18,7.805811794853494e-28,1.9061219886699307e-29,1.4376374192196348e-26,3.458150559352001e-21,1.7066703335719194e-22,1.2319308901238559e-42,1.7183065046973882e-39,4.134402670112563e-47,6.007623214131075e-51,6.240767988407442e-38,6.1039247410766736e-30,1.6164491873011882e-52,8.841564415026212e-59,4.512752602196933e-44
