Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32)
9.208e-13,0.6028175789861265,3.76,0.0,0.737728304353366,0.9999999999998184,2.0581154629869816e-27,2.994226188725989e-42,1.7963089366968992e-29,1.8476642982996158e-13,1.8165756608280543e-13,1.802314492615222e-21,1.2838213196626966e-21,3.108861145761613e-15,9.732829591069296e-21,3.7899517661161567e-22,2.5639111615528135e-21,3.1191092343988543e-23,8.330867993695775e-30,4.178335996648852e-34,1.0822781186148214e-30,3.957561203576852e-31,1.0519550210017404e-30,1.363908987305557e-22,4.7889922758609375e-48,8.626000791332505e-47,3.9741266095714515e-53,6.0064571041805956e-71,7.914131457493525e-21,5.564300940797225e-25,5.1958063903478445e-36,1.4375816372249436e-39,1.7788670762607745e-34,2.956746300526263e-29,1.2505676772966396e-30,1.0835650742779494e-58,1.4495544363883742e-54,3.1498267189907315e-65,1.1251939577812523e-69,2.3842795354210197e-50,1.4239158114785359e-33,1.3819482827537568e-72,2.2256901671710954e-81,1.5567709514197501e-59,2.8611644172375327e-35,5.899744279321577e-92,1.621057864447998e-72,1.9161386557289832e-61,2.9688684506726916e-30
1e-12,0.6028175789861269,3.76,0.0,0.7377283043533501,0.9999999999998027,3.297274292029593e-27,4.7968494065851336e-42,2.2597990770321633e-29,2.0065859012719105e-13,1.9728232636270834e-13,2.2673731996482814e-21,1.6150934661386856e-21,3.3762604918298158e-15,1.0882712264312807e-20,4.767899192026559e-22,2.945455032238247e-21,3.923936166849123e-23,1.0483126547610687e-29,6.694032856277923e-34,1.4239729015019022e-30,6.340002595338751e-31,1.6852318223115473e-30,1.7158472278615734e-22,1.0957708232797888e-47,1.975864768240343e-46,1.4574061733833895e-52,3.8576419816405945e-70,8.594724249028037e-21,6.999835608629732e-25,8.34294366905561e-36,2.303745318943899e-39,2.847030667312449e-34,4.734687624767126e-29,2.0235571850579933e-30,3.973369798747121e-58,5.317530501755187e-54,2.0213730414795042e-64,7.212923937477062e-69,8.190112196276084e-50,2.2809863358984174e-33,1.0019327331331427e-71,2.692009915645626e-80,6.015226047874604e-59,5.233244777526957e-35,1.5495138362447359e-90,1.041119845096706e-71,7.021256420909631e-61,4.756319645092962e-30
1.8424000000000003e-12,0.6028175789861269,3.76,0.0,0.737728304353181,0.9999999999996365,1.6477418200937442e-26,2.397020545108703e-41,7.189648751507267e-29,3.6969338601590485e-13,3.634729584307666e-13,7.213906719909036e-21,5.138624478656036e-21,6.220417172737087e-15,2.3113282516084734e-20,1.516970363125542e-21,7.003694384074241e-21,1.248436808472928e-22,3.3375331166523936e-29,3.34518994541509e-33,5.0583628649372304e-30,3.1680515580442674e-30,8.420994163515881e-30,5.459190331957398e-22,7.657041432021844e-47,1.3816952825106755e-45,1.273188262373531e-51,3.8500238684644067e-69,1.583375666807696e-20,2.226870434830281e-24,4.181704017894748e-35,1.1516577206318288e-38,1.420840704486214e-33,2.364551807351094e-28,1.0245354676701521e-29,3.471038368628297e-57,4.645873046974778e-53,2.017116151792599e-63,7.196423372151465e-68,6.994305958900746e-49,1.1397100095637188e-32,1.0188963175711244e-70,2.8957881295158167e-79,5.343697571016738e-58,3.0463554064241844e-34,1.7403188202956423e-89,1.03906330143943e-70,6.13211453778313e-60,2.3768300531199576e-29
3.6856e-12,0.6028175789861275,3.76,0.0,0.7377283043528112,0.9999999999992729,1.318691080895626e-25,1.918055240226815e-40,2.8765812990807097e-28,7.39547296838982e-13,7.271037443394842e-13,2.8864637568488683e-20,2.0561138986719526e-20,1.2443510835980627e-14,6.079639477138005e-20,6.069873136283021e-21,2.1506588596185907e-20,4.99521536479391e-22,1.3378606624728115e-28,2.6771374488663436e-32,2.60533720236469e-29,2.5347579781898287e-29,6.737686700275872e-29,2.1843871719020237e-21,1.2219307055628892e-45,2.2118165845990089e-44,4.076307054083778e-50,2.4654428880727346e-67,3.1668860177231173e-20,8.907981954023864e-24,3.381421945594481e-34,9.228251672181778e-38,1.1318013493349142e-32,1.8881418557740027e-27,8.571460275730459e-29,1.111001024409027e-55,1.4883254240936858e-51,1.2898703438395733e-61,4.590492392692052e-66,2.1356401573123837e-47,9.116529389177705e-32,8.230071060085973e-69,3.817572723600085e-77,1.9387516447304363e-56,3.643648438149538e-33,5.622477287274418e-87,6.656557633180936e-69,1.958958027366565e-58,1.902074523887346e-28
7.372e-12,0.6028175789861289,3.76,0.0,0.7377283043520715,0.9999999999985456,1.055148166900327e-24,1.534272159809804e-39,1.1506480819909241e-27,1.4792551122922083e-12,1.454365321008027e-12,1.1547425853199514e-19,8.22575261196003e-20,2.4889624600187083e-14,1.7985118678751353e-19,2.4283570925538796e-20,7.300536045636407e-20,1.998284978758806e-21,5.371618903717387e-28,2.142066857117533e-31,1.507446840185062e-28,2.02715810163726e-28,5.388505235107055e-28,8.738970648231264e-21,1.9437645385913135e-44,3.5393908193524636e-43,1.3045980604135954e-48,1.5777528781613095e-65,6.33224883128998e-20,3.5618532822561346e-23,2.7604871230830467e-33,7.402367007327028e-37,8.97234822650366e-32,1.5040889589957283e-26,7.450024809733053e-28,3.553634793485006e-54,4.768320079242206e-50,8.232905958871505e-60,2.9157651878105277e-64,6.665087445720536e-46,7.287231439479222e-31,7.450694059599434e-67,5.16349661099939e-75,7.661299651245593e-55,4.832410389293023e-32,2.0355500326468293e-84,4.2641687217196476e-67,6.241818114762483e-57,1.5217695824168165e-27
1e-11,0.6028175789861315,3.76,0.0,0.7377283043515442,0.9999999999980271,3.688123364509088e-24,5.360234806187473e-39,2.380721360621693e-27,2.0065858703448705e-12,1.9728232878541552e-12,2.389596291984475e-19,1.7022680688514191e-19,3.3762237538218535e-14,3.2701383624382094e-19,5.025404292097845e-20,1.4178749191155614e-19,4.1349942971800766e-21,1.1171364333578614e-27,7.487071033133642e-31,4.446079545569395e-28,7.079816252141556e-28,1.8819715895861477e-27,1.808487888064421e-20,1.2206183792497996e-43,2.2460207695305577e-42,1.5717596197353576e-47,3.697960279515252e-64,8.586445016656212e-20,7.365616391535984e-23,9.952487909717168e-33,2.5978616060581185e-36,3.089596595280012e-31,5.21953438629454e-26,2.9371312839130492e-27,4.27661354544267e-53,5.755865510773428e-49,1.920101728709531e-58,6.737163188746792e-63,7.923984348731213e-45,2.5429708265810407e-30,2.742935492246178e-65,2.6380186448866544e-73,1.254259627410519e-53,2.768458119259225e-31,2.957475815100896e-82,1.0015043598032559e-65,7.457667825296191e-56,5.318154201076313e-27
1.47448e-11,0.6028175789861315,3.76,0.0,0.7377283043505921,0.9999999999970911,8.44190598156162e-24,1.2267931748551541e-38,4.60159338971122e-27,2.9586707184454305e-12,2.9088884937489465e-12,4.619099285660972e-19,3.2905353571936653e-19,4.978155788386984e-14,5.927129759471267e-19,9.714319646890926e-20,2.659722169224372e-19,7.992779066603686e-21,2.1642685534341766e-27,1.71373662440778e-30,9.751720512277001e-28,1.6202286721134247e-27,4.30694907600729e-27,3.495872415505554e-20,3.0734770883798015e-43,5.662135378093053e-42,4.173996817610276e-47,1.008969153850079e-63,1.2656349910235248e-19,1.423323252582481e-22,2.2937497549146996e-32,5.951765202248391e-36,7.047860727233264e-31,1.1927694760513496e-25,6.894974793878231e-27,1.1356349966144203e-52,1.5287052026876524e-48,5.23816252035506e-58,1.8374537477808224e-62,2.1027207425829536e-44,5.818557738513166e-30,7.560728411526924e-65,7.307681232047806e-73,3.380476421278529e-53,6.894370601279553e-31,8.260386191638839e-82,2.732711212499731e-65,1.9795386409151925e-55,1.2172448622162915e-26
2.9490400000000004e-11,0.6028175789861372,3.76,0.0,0.7377283043476333,0.9999999999941821,6.753716026962879e-23,9.802969026595645e-38,1.8396143023863813e-26,5.9175018318867564e-12,5.817934916841356e-12,1.84751733369039e-18,1.3162409194377054e-18,9.956424750745806e-14,2.117428856085978e-18,3.885966530204093e-19,1.0117622138200627e-18,3.1964328642101405e-20,8.781013048459857e-27,1.3709277118327994e-29,6.878123718063072e-27,1.2936072345177325e-26,3.438913767021534e-26,1.3984055945328105e-19,4.803868827123821e-42,9.054619582705302e-41,1.3349218521150975e-45,6.445287625999412e-62,2.5278109795187594e-19,5.681279987806426e-22,1.9634977517405095e-31,4.8082960743108655e-35,5.43959520192055e-30,9.376590427298273e-25,6.973346786883681e-26,3.6234393286915084e-51,4.908603754860916e-47,3.3128213624101594e-56,1.1406118841705673e-60,6.661000000705068e-43,4.6362922074261474e-29,8.409184915655286e-63,1.1103892425043802e-70,1.67216424532256e-51,1.0238359691180366e-29,3.6742102932363206e-79,1.753069138158714e-63,6.222197209162452e-54,9.733840939136456e-26
5.89816e-11,0.602817578986148,3.76,0.0,0.7377283043417155,0.999999999988364,5.402894076620301e-22,7.823663779634321e-37,7.349837782431313e-26,1.1835163664490999e-11,1.1636028073430338e-11,7.388639613745673e-18,5.264856534368079e-18,1.991249192607329e-13,7.962697681629508e-18,1.5544826354286369e-18,3.9425996228187346e-18,1.277952516980939e-19,3.6113679705120826e-26,1.096567612825727e-28,5.1331780945314695e-26,1.030709058147153e-25,2.7403474531190064e-25,5.593733997300871e-19,7.345553771181659e-41,1.447049997605529e-39,4.276939785873324e-44,5.167339550371048e-60,5.041630593400912e-19,2.2628067741428058e-21,1.7538879896527567e-30,3.9206259736491265e-34,4.062560624928206e-29,7.247502867197061e-24,7.794813214305492e-25,1.1511005608262653e-49,1.6731590936361247e-45,2.1839737442956524e-54,7.105373717689689e-59,2.108303488516623e-41,3.6793208751726323e-28,9.963986170695404e-61,1.854367498119881e-68,1.0806423655489734e-49,1.5374878971542141e-28,1.741126780478534e-76,1.1915781255046903e-61,1.924289912619401e-52,7.779936508226804e-25
9.999999999999999e-11,0.6028175789861698,3.76,0.0,0.7377283043334849,0.9999999999802717,3.1702463085588653e-21,4.570094757142384e-36,2.2635414733563813e-25,2.0065855801907198e-11,1.972823516546253e-11,2.2795009402853422e-17,1.6247903243722316e-17,3.3758769177125893e-13,2.3869253616921842e-17,4.7980072914396986e-18,1.2021715441960566e-17,3.9405932392626297e-19,1.1696286025144587e-25,6.432591641000828e-28,2.909434951724179e-25,6.001970901222221e-25,1.5960958533524099e-24,1.7264108121366958e-18,7.729890337624473e-40,1.6503620143906994e-38,9.624057032363587e-43,2.2984255578674594e-58,8.508972179002416e-19,6.930011027412957e-21,1.1925135491184865e-29,2.3812479611495633e-33,2.114799357938922e-28,3.9938910200810586e-23,6.807586937833146e-24,2.5629216533986554e-48,3.8232990929960664e-44,9.376933727960507e-53,2.864796164303626e-57,4.676073208982775e-40,2.126431166369253e-27,8.519211559054043e-59,2.3661716255494763e-66,4.453463492847317e-48,1.626655245547141e-27,5.93800191930715e-74,5.391376214230731e-60,4.071886715660833e-51,4.557221217661228e-24
1.17964e-10,0.6028175789861698,3.76,0.0,0.7377283043298802,0.9999999999767277,4.322035402421883e-21,6.228929636210577e-36,2.9329730073756135e-25,2.3670485762035938e-11,2.327221562792002e-11,2.954222594205368e-17,2.1057926333039302e-17,3.982274350420616e-13,3.083552657787575e-17,6.21850825979982e-18,1.555996258409834e-17,5.106696206103568e-19,1.523707425514426e-25,8.769502287006954e-28,3.958813970500067e-25,8.179134021894911e-25,2.1750922487466655e-24,2.2375146113212654e-18,1.0793495871495503e-39,2.3097642000151017e-38,1.3651602375381277e-42,3.2823902138438615e-58,1.0027493726496845e-18,8.974012188007838e-21,1.6379631281306444e-29,3.2524112896808446e-33,2.86305554929192e-28,5.425610544345862e-23,9.447594575699479e-24,3.6349402483264246e-48,5.424436190268839e-44,1.3387912875241485e-52,4.088315096317177e-57,6.631625418220469e-40,2.8965654829807536e-27,1.2206561284327171e-58,3.3943148126072015e-66,6.35653021997556e-48,2.2717143305568205e-27,8.530923399998464e-74,7.700343198993284e-60,5.770894442951556e-51,6.2123331676809215e-24
2.359288e-10,0.6028175789862135,3.76,0.0,0.7377283043062095,0.9999999999534551,3.457119100923923e-20,4.935560995670185e-35,1.167638643306119e-24,4.734112376197065e-11,4.654459569970744e-11,1.18068560031455e-16,8.4218422657727e-17,7.963571737119956e-13,1.213018951497067e-16,2.4878263684917048e-17,6.180671290441259e-17,2.038567844861898e-18,6.728524848311205e-25,7.010826813456037e-27,3.1079657372745406e-24,6.4385754618527785e-24,1.713010714036023e-23,8.950089976859584e-18,1.4836748662778172e-38,3.6779705876886287e-37,4.34576334085981e-41,2.056683278222987e-56,1.9834895115360407e-18,3.528885510899492e-20,1.5589518712140798e-28,2.780119415159838e-32,1.8384798535001255e-27,3.834378326173257e-22,1.181326268166219e-22,1.1328849624015182e-46,1.771442767967014e-42,7.876824437958758e-51,2.169366733237345e-55,2.055737088994188e-38,2.2445316878444458e-26,1.5215287534572898e-56,6.600719358430994e-64,3.806155064051347e-46,3.199064530616998e-26,4.2527944719423575e-71,4.988187039111026e-58,1.6445550923410326e-49,4.9512684252311736e-23
4.718584e-10,0.6028175789863008,3.76,0.0,0.7377283042588678,0.9999999999069098,2.7648562780080887e-19,3.8738746095362746e-34,4.626699081656357e-24,9.46823755835879e-11,9.30893756750142e-11,4.714698120469316e-16,3.367648783343489e-16,1.5923156234889758e-12,4.810498726704895e-16,9.954595633596602e-17,2.462625491881486e-16,8.121509566251255e-18,3.199110732672502e-24,5.601637541312714e-26,2.4627488921260863e-23,4.988977031609147e-23,1.3285473360657458e-22,3.580033901783257e-17,1.849304423277631e-37,5.828859463910295e-36,1.3763086658373263e-39,1.2628555843267874e-54,3.881390172802712e-18,1.3646776610884743e-19,1.4294960625512617e-27,2.4880623617342774e-31,1.0371459105945229e-26,2.4625552290563804e-21,1.425475166460056e-21,3.4408743324823393e-45,5.85873664983067e-41,4.350560475758421e-49,1.0331832900093573e-53,6.186586303633147e-37,1.6863308098037197e-25,1.9067876610632394e-54,1.286817461065207e-61,2.252731042156528e-44,4.123245097485904e-25,2.131293668407198e-68,3.246724023930857e-56,4.355084058678905e-48,3.931464565722147e-22
7.07788e-10,0.6028175789863881,3.76,0.0,0.7377283042115259,0.999999999860364,7.904375972565264e-19,1.0956767783675147e-33,9.768011476636184e-24,1.4202360382768926e-10,1.3963417546255413e-10,1.0006931644940746e-15,7.154648553181989e-16,2.387973189561928e-12,1.0195455188523772e-15,2.115830458142867e-16,5.225950226361237e-16,1.7210299711865012e-17,7.664661989849324e-24,1.601539145248293e-25,7.29145957162426e-23,1.4006480721288502e-22,3.731840075720105e-22,7.607561374308659e-17,6.10264912494847e-37,2.2095921410718717e-35,6.421650358918988e-39,6.379919303842863e-54,5.717790722777919e-18,2.8330907202742523e-19,4.229918311454805e-27,7.607743485196318e-31,2.4709964911871535e-26,6.2409771611179736e-21,4.677228136153063e-21,1.5863434502100068e-44,2.7176242851285643e-40,2.2876011661079388e-48,5.225163985140262e-53,2.8260341448989092e-36,4.65080327382054e-25,1.2576940713915767e-53,9.254924947508694e-61,1.1163496434953556e-43,1.375255018070586e-24,1.828085797510022e-67,1.7983026652020496e-55,1.901650557780988e-47,1.119328858354841e-21
9.437176e-10,0.6028175789864754,3.76,0.0,0.7377283041641838,0.9999999998138179,1.666996460290115e-18,2.2885387114690908e-33,1.6563912718231716e-23,1.8936480909339503e-10,1.861789950428385e-10,1.7052137077436834e-15,1.2202464286579097e-15,3.1833300155814428e-12,1.7367212928975186e-15,3.610105981771711e-16,8.907184982241034e-16,2.9283791429506605e-17,1.452397579947573e-23,3.378759740950291e-25,1.5864158535867887e-22,2.9058751804509635e-22,7.746016915742824e-22,1.2977584152183744e-16,1.4135870726575072e-36,5.904755342715367e-35,1.992833782381805e-38,2.563267244732871e-53,7.494702173137452e-18,4.730543157855472e-19,9.042271225711674e-27,1.703218271190132e-30,4.4848602141976443e-26,1.186282781330999e-20,1.0793777517518391e-20,4.984721029340521e-44,9.005902405953817e-40,8.146174676258761e-48,1.7974644059467905e-52,8.919077004900314e-36,9.494828101817338e-25,5.560060684022452e-53,4.312067359834843e-60,4.526207756909749e-43,3.2045750702452072e-24,1.0622675219666596e-66,6.66745691454102e-55,5.83796881949803e-47,2.3518034932048464e-21
