Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131)
1.8687206702025783e-16,0.852818398699484,3.0527736415282838e-18,7.210744749156251e-20,1.159706985267871e-26,8.977639828571389e-14,0.0,0.0,2.2916923889715766e-15,1.6357030473145748e-26,6.714835982975633e-31,8.52255952920914e-31,1.580136999589526e-36,3.3393598828300138e-43,2.025837485562527e-27,2.2247719076924683e-21,1.2696784887204338e-16,2.851673954262414e-28,3.1939400202831857e-54,2.528446866671332e-68,4.825545886318364e-51,4.215237122660551e-50,2.1444533843502218e-13,8.033950103647071e-52,6.761926046100909e-29,6.237336587402511e-60,1.0415193877549453e-51,5.467984974448886e-38,2.453115793686317e-42,1.8202957977979206e-42,4.671346750247163e-39,4.407168894798832e-60,2.2529936387787864e-61,3.4147282964555737e-63,3.76,0.0,0.791494403865382,0.9999999999999978,1.10419886742941e-31,2.974732717645278e-26,2.2947451379020597e-15,2.1444534066122613e-13,4.0164640835166696e-36,7.749444695939227e-35,6.105478042100823e-27,8.977639825520432e-14,2.3787698412939254e-26,3.0469902029594602e-27,4.166642207311797e-29,4.749463239497576e-28,2.905247503840465e-23,1.2696784747827254e-16,1.0640062816633813e-26
3.7390649031073304e-16,0.8528183986995308,6.108257793701673e-18,1.4427759200802613e-19,4.642077085137306e-26,1.7963079517980523e-13,0.0,0.0,4.585375822475033e-15,6.547074953228354e-26,5.375951597380929e-30,6.823258906841481e-30,1.2650704582309268e-35,2.6735183312743167e-42,8.10862932317879e-27,8.904885381987064e-21,2.540460085863883e-16,1.142772601164049e-27,1.023322608435749e-52,1.6207841846317792e-66,1.5465958534300042e-49,1.1523502673680149e-48,4.290769846132132e-13,1.2881452803630223e-50,2.706532584870806e-28,1.9994039507837708e-58,1.6683553789760731e-50,4.378822927088728e-37,1.9644821986170604e-41,1.4577130163922243e-41,3.739918013093085e-38,1.4120350661531575e-58,7.218199826966619e-60,1.0940621671046924e-61,3.76,0.0,0.7914944038650751,0.9999999999999954,8.840304884941285e-31,1.1906683245353827e-25,4.59148398136008e-15,4.2907699352383043e-13,3.215613824595428e-35,6.204267234107097e-34,2.4513465685729282e-26,1.7963079505768737e-13,9.521279236950555e-26,1.2195901363654216e-26,1.6677429214847248e-28,1.901022833783517e-27,1.162856127756775e-22,2.540460030076662e-16,4.258797400287956e-26
7.4797533689168355e-16,0.8528183986996244,1.2219400867998168e-17,2.8861802923217345e-19,1.85761704004608e-25,3.5933958896787504e-13,0.0,0.0,9.172742689135721e-15,2.6196827763394618e-25,4.302394984493044e-29,5.46072759474866e-29,1.0124409555507132e-34,2.1396271237751553e-41,3.244507843984762e-26,3.563113930422889e-20,5.082023278341972e-16,4.583461291483357e-27,3.2766525899052436e-51,1.0381275556735862e-64,4.95298358291226e-48,3.3725650277141317e-47,8.583402636031128e-13,2.0661288470427034e-49,1.082965542248535e-27,6.40839011225689e-57,2.670909057077681e-49,3.50483344777484e-36,1.5723819723525114e-40,1.166761317004111e-40,2.9930714225897094e-37,4.521299326373462e-57,2.31120410315487e-58,3.5031593781923245e-60,3.76,0.0,0.7914944038644612,0.9999999999999909,7.074930566926409e-30,4.764224213515709e-25,9.184961694239674e-15,8.583402992571878e-13,2.5734689516655976e-34,4.9652985635953743e-33,9.869112716189923e-26,3.5933958847924455e-13,3.80975239391991e-25,4.879949028087691e-26,6.673145464263682e-28,7.60656586864582e-27,4.65293917623069e-22,5.082023055119923e-16,1.704073208598723e-25
1.4961130300535846e-15,0.8528183986998115,2.4442386099787012e-17,5.772994965034292e-19,7.4331303836886285e-25,7.187571765435631e-13,0.0,0.0,1.8347476421072193e-14,1.0480436932684968e-24,3.4425694240115026e-28,4.3694865519165675e-28,8.101067628173949e-34,1.7120266582947336e-40,1.2980143407122332e-25,1.4254774782709658e-19,1.0165149656065695e-15,1.8423902752999733e-26,1.0488521060916867e-49,6.646659016258283e-63,1.5855751521078863e-46,1.0287865714237465e-45,1.716866768116987e-12,3.3192435985617164e-48,4.332567082604283e-27,2.055381994121211e-55,4.2746871507037854e-48,2.80457739031254e-35,1.2582241395490022e-39,9.336455753254608e-40,2.3949124898743676e-36,1.4472615241108283e-55,7.398061963358758e-57,1.1213569755389558e-58,3.76,0.0,0.7914944038632336,0.9999999999999817,5.661019238586127e-29,1.905999911504908e-24,1.837191722385335e-14,1.716866910756498e-12,2.0591671235094183e-33,3.9729919296240754e-32,3.9967222788537404e-25,7.187571745887229e-13,1.524149429879232e-24,1.9522972887448244e-25,2.669693869086716e-27,3.0431203263469585e-26,1.8614786316556475e-21,1.0165148763028124e-15,6.817398575065465e-25
2.9923884163773866e-15,0.8528183987001858,4.8891152923324055e-17,1.1546648028024328e-18,2.9746563266552253e-24,1.4375923516931336e-12,0.0,0.0,3.6696943879405545e-14,4.1925159582439156e-24,2.7543166442846472e-27,3.4960408449899165e-27,6.48147224054241e-33,1.3697511743363532e-39,5.19247939984475e-25,5.702373098565676e-19,2.033140238260554e-15,7.439824960019596e-26,3.3568435636290204e-48,4.2547067842727326e-61,5.0748323957437265e-45,3.211388619905474e-44,3.4339195632810626e-12,5.351491866893738e-47,1.7331676630626415e-26,6.604253729600294e-54,6.840485410215061e-47,2.2439468657805463e-34,1.0067067494557911e-38,7.470112444045558e-39,1.9161128717183552e-35,4.6319478705262353e-54,2.36773318297206e-55,3.58889711204787e-57,3.76,0.0,0.7914944038607783,0.9999999999999634,4.529245177663055e-28,7.624620133101518e-24,3.6745828698500904e-14,3.4339201338855e-12,1.6474916553235093e-32,3.178693218687076e-31,1.6375697237419513e-24,1.4375923438731359e-12,6.097097076657673e-24,7.809824041049973e-25,1.0679653831582519e-26,1.2173461346818064e-25,7.446520371843291e-21,2.0331398810132387e-15,2.7271782624923617e-24
5.984939189024991e-15,0.8528183987009347,9.77998722276439e-17,2.3094049061435852e-18,1.1908407357697253e-23,2.8752627019850573e-12,0.0,0.0,7.339587877391381e-14,1.6770746190871348e-23,2.203557287163579e-26,2.797156967726028e-26,5.185428386797298e-32,1.0958526414862691e-38,2.0770758508798505e-24,2.28104135201224e-18,4.066390772023261e-15,3.031784578225219e-25,1.0742723104262896e-46,2.7232817278364764e-59,1.6241044833589614e-43,1.0147247550296416e-42,6.86802429815474e-12,8.690795180282924e-46,6.932951020397971e-26,2.1301762676702413e-52,1.0945564478806848e-45,1.795272546601451e-33,8.05416373955661e-38,5.976471737516333e-38,1.5329646046563612e-34,1.482335602349522e-52,7.577310834114697e-54,1.148536573262694e-55,3.76,0.0,0.7914944038558678,0.9999999999999266,3.62356778897975e-27,3.0499721476441284e-23,7.349365330949484e-14,6.868026580665025e-12,1.3180583580997093e-31,2.543071909397432e-30,6.860562066921489e-24,2.8752626707037874e-12,2.4389406073645535e-23,3.1240561867932487e-24,4.272042751117625e-26,4.8695741645689975e-25,2.978729225887902e-20,4.066389342950133e-15,1.09091320789954e-23
1.1970040734320199e-14,0.852818398702432,1.9566205520455058e-16,4.618923105535891e-18,4.770898300954926e-23,5.750603402540075e-12,0.0,0.0,1.4679374847429673e-13,6.70843492096432e-23,1.762886658133222e-25,2.2380851188618007e-25,4.14844827143103e-31,8.767024108087888e-38,8.30846903268248e-24,9.124345414007823e-18,8.132891793509867e-15,1.2573261714461181e-24,3.437800538910459e-45,2.015019192325621e-57,6.021325382731322e-42,3.7346291882928195e-41,1.3736230346085976e-11,1.4314707144543458e-44,2.7732354412817115e-25,6.992953282082162e-51,1.751353016609237e-44,1.4362657652860024e-32,6.44353483407947e-37,4.781334303869017e-37,1.2264032497767826e-33,4.743644065252783e-51,2.4248294567870328e-52,3.675464851056258e-54,3.76,0.0,0.7914944038460466,0.9999999999998532,2.8989224484724715e-26,1.2200136724520168e-22,1.4698930917842244e-13,1.3736239476310172e-11,1.0544756572959575e-30,2.0345003954096346e-29,2.992296486564579e-23,5.750603277412393e-12,9.755981200204426e-23,1.2496474601521927e-23,1.7088577777353182e-25,1.9478624801311876e-24,1.1915158292495705e-19,8.13288607689528e-15,4.3637217177305075e-23
2.3940243824910615e-14,0.8528183987054271,3.91565412545974e-16,9.238111713059596e-18,1.9143295423925808e-22,1.1501284803535082e-11,0.0,0.0,2.9358948752052797e-13,2.683401234037399e-22,1.4103244398378238e-24,1.790979627283814e-24,3.3188093570396516e-30,7.013694338260949e-37,3.3234186946249e-23,3.6497707891163004e-17,1.6265893653465708e-14,5.386060194619225e-24,1.1001153944220141e-43,1.2977966227230242e-55,1.935099824963267e-40,1.1968524078298038e-39,2.7472628754698134e-11,2.421254420471925e-43,1.1093043500919495e-24,2.3286095815746378e-49,2.8022139441843016e-43,1.1490344318173444e-31,5.154909307967976e-36,3.825136924146118e-36,9.811381742202178e-33,1.5179872357373432e-49,7.759595330062623e-51,1.1761753622982807e-52,3.76,0.0,0.7914944038264045,0.9999999999997065,2.3191645368005117e-25,4.880104269886071e-22,2.939806475051906e-13,2.7472665275944832e-11,8.435968448212191e-30,1.6276109563075845e-28,1.3953414162632285e-22,1.1501284303018825e-11,3.902448405457735e-22,4.998637179211395e-23,6.835547929497293e-25,7.791474657741547e-24,4.766110979480724e-19,1.6265870785128554e-14,1.7454905276593214e-22
4.788065000609145e-14,0.8528183987114168,7.84088204099918e-16,1.8477099666252203e-17,7.704963712073109e-22,2.3002647605067332e-11,0.0,0.0,5.871809641948543e-13,1.0733659279580282e-21,1.1282636480481534e-23,1.4335766301126972e-23,2.65508140495248e-29,5.6109756681597396e-36,1.3293720585289895e-22,1.4599121379832173e-16,3.25318966504108e-14,2.4397989797135852e-23,3.520390537024216e-42,8.307851954403835e-54,6.19318017907935e-39,3.825123959836551e-38,5.494537082303447e-11,4.292795696117207e-42,4.437231083476189e-24,8.030690950790363e-48,4.483578264214915e-42,9.192406385313605e-31,4.1239598689672453e-35,3.0601480767404404e-35,7.84921485823636e-32,4.857554002595215e-48,2.483091272059677e-49,3.76382266743113e-51,3.76,0.0,0.79149440378712,0.9999999999994129,1.8553411259099197e-24,1.9520515867291075e-21,5.879634305236138e-13,5.4945516908591565e-11,6.748915721434153e-29,1.3020826093490346e-27,7.168622747468023e-22,2.3002645602988607e-11,1.5610002837132383e-21,1.9994622333051938e-22,2.7342709055903848e-24,3.1165620976797795e-23,1.9064534317418332e-18,3.2531805163427384e-14,6.981870300354695e-22
9.576146236845311e-14,0.852818398723396,1.5719989853266059e-15,3.695753375066659e-17,3.12007850592874e-21,4.600537320631971e-11,0.0,0.0,1.1743639118709729e-12,4.293474430050093e-21,9.026094382182253e-23,1.1481196932327904e-22,2.1241004887411042e-28,4.4887728971044196e-35,5.317484310274337e-22,5.839634577579854e-16,6.506389982525717e-14,1.204212232440049e-22,1.1265223057486017e-40,5.317044526318089e-52,1.9818181974149657e-37,1.2231855428941663e-36,1.0989063596506165e-10,8.208512957058197e-41,1.774889840325522e-23,2.940412056334587e-46,7.173743301850887e-41,7.354047330438533e-30,3.299180624630575e-34,2.448151072852571e-34,6.279491143450344e-31,1.5543915194077058e-46,7.945913760982758e-48,1.2044452124878103e-49,3.76,0.0,0.7914944037085511,0.9999999999988257,1.4842748836413988e-23,7.80822581322057e-21,1.175929422093883e-12,1.0989122030739398e-10,5.399310055466669e-28,1.0416469669217033e-26,4.13713931065842e-21,4.600536519795623e-11,6.24412086484049e-21,7.997846807836758e-22,1.0937414039432624e-23,1.2465931168444737e-22,7.62582786619267e-18,6.506353377103701e-14,2.7926533695838964e-21
1.4364227473081477e-13,0.8528183987353758,2.3627758553785843e-15,5.544044123849624e-17,6.68610918848501e-21,6.900809880577884e-11,0.0,0.0,1.7615468538745678e-12,9.12363969342026e-21,2.5808939988432235e-22,3.2849685379337974e-22,6.073652200779955e-28,1.2835060434687241e-34,1.1299636986472654e-21,1.2409190422077943e-15,9.759590025388457e-14,2.8942522958776763e-22,5.270116204345051e-40,2.8455551900773505e-51,8.761405483805767e-37,5.407025610775403e-36,1.6483568211334967e-10,3.3615138778566217e-40,3.771633296395822e-23,1.3965980395924178e-45,2.732560176854841e-40,2.1832509725211884e-29,9.794452957579822e-34,7.267995551750315e-34,1.7955598965111872e-30,7.27173533152413e-46,3.7261480178181683e-47,5.634697326200979e-49,3.76,0.0,0.7914944036299821,0.9999999999982385,4.2440977529385896e-23,1.6592491699194146e-20,1.7638958392714511e-12,1.6483692383970478e-10,1.5438929155588035e-27,2.9784250827773994e-26,1.0656150067126403e-20,6.900808178795232e-11,1.326891928700894e-20,1.6995404184044414e-21,2.324246665116353e-23,2.6489611078736917e-22,1.6204888619362746e-17,9.759512223334146e-14,5.934243259220142e-21
1.9152308709317642e-13,0.8528183987473554,3.1564197050314812e-15,7.39258373550651e-17,1.149358151025397e-20,9.201082440346361e-11,0.0,0.0,2.3487297902056505e-12,1.5563861586363178e-20,5.443842143006905e-22,6.932896634787128e-22,1.2811188266199706e-27,2.707280563301698e-34,1.9275818638028515e-21,2.116856075504962e-15,1.3012789800911722e-13,5.463912781223269e-22,1.700172810466212e-39,1.0752771048896336e-50,2.994000284922184e-36,1.8474580603002316e-35,2.1978050926880497e-10,9.715794124417928e-40,6.433948816872219e-23,4.875109476175444e-45,7.324671053057157e-40,4.757228221342347e-29,2.1341609406236785e-33,1.5836681201546695e-33,3.7873890715583636e-30,2.3458993785722453e-45,1.1609860041439596e-46,1.8178052659312252e-48,3.76,0.0,0.7914944035514132,0.9999999999976513,8.952027492696411e-23,2.830484900367614e-20,2.3518626821301943e-12,2.197826275055234e-10,3.256569410440847e-27,6.282293951099159e-26,2.1106922802559952e-20,9.201079537297726e-11,2.26354636922821e-20,2.8992119620300767e-21,3.964962730006118e-23,4.5187372872317515e-22,2.7643632243111643e-17,1.3012657055402347e-13,1.0122889868468298e-20
2.8728471181789973e-13,0.8528183987713144,4.750438793434068e-15,1.1090251747682099e-16,2.4099642653954808e-20,1.380162755947274e-10,0.0,0.0,3.5230956495548126e-12,3.2223009298325307e-20,1.4868768218294752e-21,1.895383762190756e-21,3.499175901050051e-27,7.394396442646537e-34,3.990801034875109e-21,4.382660327606957e-15,1.9519188747119949e-13,1.3132369047298902e-21,9.358473881421338e-39,7.768889390618333e-50,1.8409163209608448e-35,1.1357348634744938e-34,3.2966964961975634e-10,4.520163628329891e-39,1.332062229690236e-22,3.2287292926716327e-44,2.931969693729966e-39,1.3808992988100282e-28,6.194814080040113e-33,4.596959337164895e-33,1.0344682520933182e-29,1.2912778746369e-44,5.7149624631423105e-46,1.0006179211445703e-47,3.76,0.0,0.7914944033942753,0.9999999999964769,2.4450739411154063e-22,5.860161417889313e-20,3.5277973671245023e-12,3.296740351504933e-10,8.894935699603139e-27,1.7158583059510833e-25,5.381982875781556e-20,1.38016215490545e-10,4.686469831591273e-20,6.0024345110426574e-21,8.209196091112638e-23,9.355197028340334e-22,5.723260940890691e-17,1.9518913830300396e-13,2.0957353808909506e-20
