Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46)
1.6383e-11,0.529764135765939,1.857923639634446e-18,8.062516651292923e-21,8.666552633868486e-20,1.4533263728967905e-14,0.0,0.0,3.0860466031614855e-14,2.6626503678103787e-22,1.4877464335854896e-20,2.436354462306429e-20,2.782681775031989e-29,1.2428366527803617e-40,5.385001325043024e-25,4.0319146041572736e-16,6.323783383344121e-22,7.525747763960798e-21,5.362147821382937e-40,5.823646885786245e-56,5.3999629143846266e-36,2.9041528038993886e-35,2.8617429022363356e-13,2.383498498440725e-38,6.623682735051013e-31,8.524364847822063e-42,1.6462519759931574e-49,5.011361020404455e-38,5.184676628635576e-47,1.3056894640104222e-44,1.2844430153850788e-35,3.0720497612627025e-50,4.927038902166437e-54,4.908227369843164e-54,3.76,0.0,0.5006124703831993,0.9999999999999692,2.450180317451404e-21,3.630609932677046e-28,3.086180146622168e-14,2.865779346794391e-13,9.355476813809637e-26,3.0641483100280866e-24,4.0559255825740687e-19,1.4533255060567702e-14,7.424075730894185e-20
2.4575e-11,0.5297641357659542,3.4029376177650143e-18,2.232263633109481e-20,1.932777581594503e-19,2.1800586260871512e-14,0.0,0.0,4.629214045985477e-14,5.658365117841755e-22,4.251532068969167e-20,7.531370730081375e-20,7.999034926866706e-29,3.5516591541534497e-40,1.1437818013118825e-24,8.561235525521667e-16,1.8071454100053444e-21,2.1506324767807365e-20,2.507404985417983e-39,3.1151057406101574e-55,2.3860787178464214e-35,1.2831678770560306e-34,4.290228714141394e-13,1.1146073580388712e-37,2.436720903942605e-30,4.2289144073522243e-41,8.172543278614535e-49,2.3445004648144146e-37,2.675513179091309e-46,6.477497716552935e-44,4.77960531224994e-35,1.5845212212040791e-49,2.7739027955446484e-53,2.5343348310831964e-53,3.76,0.0,0.5006124703830334,0.9999999999999538,7.002364132942952e-21,1.3356765476897638e-27,4.629409856272927e-14,4.298802894909422e-13,2.7958677571022136e-25,8.742006157376122e-24,1.1533715857560044e-18,2.180056150550323e-14,1.5776800087761716e-19
3.2767e-11,0.5297641357659694,5.547751511743231e-18,4.64427658083194e-20,3.4400331852206374e-19,2.90679201188592e-14,0.0,0.0,6.172381475769036e-14,9.652713515953395e-22,8.962812947456269e-20,1.6957328550490134e-19,1.6952894953077982e-28,7.487427864671164e-40,1.95029178126263e-24,1.459389060703924e-15,3.80970863206887e-21,4.5338283474378174e-20,8.082161205247367e-39,1.1760922049021036e-54,8.144413841478284e-35,4.3796588225532206e-34,5.717205262074182e-13,3.5929151027838923e-37,6.1771485188778045e-30,1.7869912320418905e-40,3.451648054740102e-48,7.576660781958892e-37,1.456041826642313e-45,2.7372343441044765e-43,1.2241340226417883e-34,8.635007125228269e-49,1.3432101742713694e-52,1.3882993928488155e-52,3.76,0.0,0.5006124703828674,0.9999999999999384,1.476287273748633e-20,3.386082471141108e-27,6.17263687747399e-14,5.731826443023999e-13,6.127480779169503e-25,1.840186131868876e-23,2.4206639022209196e-18,2.9067867947121096e-14,2.6913928892648724e-19
4.9151e-11,0.5297641357659998,1.172568759962891e-17,1.2542544142599522e-19,7.615329420617499e-19,4.360262315733484e-14,0.0,0.0,9.25871630745152e-14,1.9985142154232604e-21,2.4457589885125585e-19,5.113460292615535e-19,4.666915571242253e-28,2.043217439607587e-39,4.034783505958725e-24,3.0177863723127595e-15,1.039587180969977e-20,1.2371842973952436e-19,4.4393023875334694e-38,8.477024185521257e-54,4.993390739760203e-34,2.6849894188460845e-33,8.567621206062806e-13,1.9737049978225632e-36,2.1584375007663795e-29,1.6051700358416502e-39,3.098198758765995e-47,4.1904614813918465e-36,2.014212933308051e-44,2.45888374223894e-42,4.3513570031645144e-34,1.196141075355067e-47,1.575112692041283e-51,1.9462325134853056e-51,3.76,0.0,0.5006124703825354,0.9999999999999075,4.0288926699019713e-20,1.183239259021348e-26,9.259084677303129e-14,8.597873539252141e-13,1.777790687668232e-24,5.009020447133063e-23,6.556854476018437e-18,4.3602480822570503e-14,5.572299820477736e-19
6.5535e-11,0.52976413576603,2.1403032146639553e-17,2.6100488342893686e-19,1.3748516018778103e-18,5.813739123667459e-14,0.0,0.0,1.234505109911061e-13,3.398990238228938e-21,5.113112540699605e-19,1.158411357701029e-18,9.832439367594794e-28,4.271713214768847e-39,6.857125600185826e-24,5.126452310749628e-15,2.1733643706443452e-20,2.586461944492518e-19,1.4228649683063087e-37,3.2440374930277396e-53,1.6736344794383316e-33,8.998619728269859e-33,1.141250042625307e-12,6.326460344490941e-36,5.38972635639554e-29,6.32325728513882e-39,1.2205378732514395e-46,1.3485550467689376e-35,9.24655851144736e-44,9.686576126017713e-42,1.1017972618804648e-33,5.492063294996557e-47,7.13245129393759e-51,8.980566625340331e-51,3.76,0.0,0.5006124703822035,0.9999999999998767,8.423600670695921e-20,2.954740274993621e-26,1.234552277085864e-13,1.1463920635478768e-12,3.9122163765880244e-24,1.0448844755544664e-22,1.3618394081799529e-17,5.813709368581967e-14,9.477127556773201e-19
8.1919e-11,0.5297641357660603,3.588841595701242e-17,4.735384271407352e-19,2.2248683231500784e-18,7.267224777879847e-14,0.0,0.0,1.543138585599348e-13,5.192930320190623e-21,9.300353511952863e-19,2.270860070628596e-18,1.8024670627056534e-27,7.770348936978454e-39,1.0468304496201392e-23,7.822636261604158e-15,3.9531804172707725e-20,4.704572850529661e-19,3.7126299519748958e-37,9.849770424260314e-53,4.514881053411819e-33,2.427333887290419e-32,1.4251458188183404e-12,1.6508625155081342e-35,1.1427060862522702e-28,1.990514276395156e-38,3.842686424374126e-46,3.534479681750006e-35,3.4084173972888732e-43,3.0493699687229515e-41,2.3687698689841345e-33,2.024741839900485e-46,2.5542797981235517e-50,3.33188047099393e-50,3.76,0.0,0.5006124703818715,0.9999999999998458,1.532332316591794e-19,6.264795875915791e-26,1.5431950611244026e-13,1.432996773170392e-12,7.47669050165455e-24,1.8963156655817809e-22,2.4606998295441178e-17,7.26717065359972e-14,1.447901010773959e-18
9.999999999999999e-11,0.529764135766121,6.043538270359448e-17,8.417955931822646e-19,3.513566217963193e-18,8.871273004860737e-14,0.0,0.0,1.8837392848020552e-13,7.63894831213214e-21,1.6561536992608153e-18,4.516487618334315e-18,3.25127655186362e-27,1.383927428364621e-38,1.5383828010543873e-23,1.1488947035715201e-14,7.039598507057372e-20,8.37763395351475e-19,1.1029339938065527e-36,4.0761635097214084e-52,1.3442449407540233e-32,7.225193349548372e-32,1.7377476671340835e-12,4.905374847960822e-35,2.5158308592828653e-28,7.978359811581089e-38,1.541713934789257e-45,1.059560222581703e-34,1.8982348688999764e-42,1.222356340047742e-40,5.371351253074591e-33,1.1270474774129463e-45,1.4677351958332764e-49,1.895731852186771e-49,3.76,0.0,0.5006124703815051,0.9999999999998117,2.729119220788411e-19,1.379420652784919e-25,1.883804858081997e-13,1.7492870414005377e-12,1.4372717104430457e-23,3.3643810660453477e-22,4.3346063704713324e-17,8.871176602636987e-14,2.1299008386842465e-18
1.1468700000000001e-10,0.529764135766121,8.698640243633124e-17,1.2441903194238966e-18,4.831157914930153e-18,1.0174235845247844e-13,0.0,0.0,2.160405534107584e-13,9.985917533255182e-21,2.4498758923884133e-18,7.12674646924987e-18,4.848823196919204e-27,2.0474152710785596e-38,2.00951272244242e-23,1.5000601998499878e-14,1.0413372220669601e-19,1.2392668311974802e-18,2.067173838138037e-36,8.411406839073185e-52,2.5167366389129104e-32,1.3525956217358569e-31,1.9911309956174626e-12,9.194607587326661e-35,4.177107429560485e-28,1.6309031451244167e-37,3.152299724837879e-45,1.992150284444697e-34,4.154365519189625e-42,2.498747001505684e-40,9.049367522999356e-33,2.466352473623273e-45,3.231827389020569e-49,4.164280291523192e-49,3.76,0.0,0.5006124703812075,0.9999999999997841,4.037473861056434e-19,2.2904068410692604e-25,2.160477590164126e-13,2.006206192415109e-12,2.2262092631986333e-23,4.964989843702471e-22,6.367423714067684e-17,1.0174093219631619e-13,2.784282922800175e-18
1.80223e-10,0.5297641357662422,3.2165083104870716e-16,4.778518253738847e-18,1.4667390920514344e-17,1.5988487610587137e-13,0.0,0.0,3.394939488998701e-13,2.4362836654088074e-20,9.422973201712978e-18,3.693866615503885e-17,1.9538267735841705e-26,7.886241369143889e-38,4.8842144486175973e-23,3.637697437401282e-14,4.0053071906084195e-19,4.766599896702578e-18,2.175100437058949e-35,1.577195877661822e-50,2.5951963595719734e-31,1.3936077192757971e-30,3.1159611421083814e-12,9.68082205703362e-34,2.6346033736076056e-27,2.7642855402170055e-36,5.356861654936273e-44,2.1446604990154137e-33,1.1487040851730796e-40,4.2361394252247005e-39,6.300727963520764e-32,6.806527330018958e-44,9.650807608649855e-48,1.207440155602217e-47,3.76,0.0,0.5006124703798794,0.9999999999996604,1.553855036339795e-18,1.4451343037615876e-24,3.3950311697559757e-13,3.152625030904512e-12,1.077851270223973e-22,1.8835833162506813e-21,2.3538361046728524e-16,1.5987938335778938e-13,6.7928368605426195e-18
2.45759e-10,0.5297641357663635,7.956596577147698e-16,1.1805570312648373e-17,3.204658714992697e-17,2.180314235103357e-13,0.0,0.0,4.629473640401485e-13,4.513317308735527e-20,2.3285812075619066e-17,1.0928856737050585e-16,5.004599643760621e-26,1.9531722954174257e-37,9.016917224936236e-23,6.701649385734349e-14,9.897825986020437e-19,1.1779100643603023e-17,9.122207735540041e-35,8.373375416011324e-50,1.110052497973258e-30,5.9582927095563426e-30,4.2313183599335074e-12,4.061590666478671e-33,8.551089694927339e-27,1.4908892737459543e-35,2.892731287497097e-43,9.147884188508625e-33,7.63418532146833e-40,2.285022791566834e-38,2.1763761911161376e-31,4.520393384497793e-43,6.340508161079712e-47,8.195351778694511e-47,3.76,0.0,0.5006124703785514,0.9999999999995366,3.8416724785548884e-18,4.691598837452871e-24,4.629570279898008e-13,4.299043869396014e-12,3.0957427515634836e-22,4.60374105729167e-21,5.636673342400438e-16,2.1801783430686034e-13,1.2583961052554018e-17
3.11295e-10,0.5297641357664848,1.5985123667404182e-15,2.3469854916363787e-17,5.885326565905513e-17,2.7618333049138556e-13,0.0,0.0,5.864008188220996e-13,7.229548078883207e-20,4.6290045974567625e-17,2.493848255669508e-16,1.027838179043157e-25,3.896521317089894e-37,1.4395093227516083e-22,1.0677179459743101e-13,1.9675990928882706e-18,2.3415765351498536e-17,2.7186012210945363e-34,2.9739930097887123e-49,3.3555372877143516e-30,1.8004022683130607e-29,5.337281455720274e-12,1.2108812711333273e-32,2.0812780197077987e-26,5.468929229670974e-35,1.062632479527306e-42,2.773682829770639e-32,3.419749968238829e-39,8.383336625335333e-38,5.590550078033465e-31,2.0237933353721204e-42,2.7448129987238817e-46,3.771730699009225e-46,3.76,0.0,0.5006124703772233,0.9999999999994122,7.64030471870764e-18,1.1421605749597731e-23,5.864096143871763e-13,5.445462707893298e-12,6.948441723263404e-22,9.058198591274699e-21,1.0883894310681392e-15,2.7615628504357714e-13,2.015723354517558e-17
