Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39)
9.208e-13,0.5617327946829915,6.150982243791634e-19,4.478787034262441e-22,1.3338385636534403e-23,6.970054097715136e-15,0.0,0.0,6.723087675286902e-15,5.944912521122941e-24,1.5765196062580488e-23,1.877416832645916e-23,9.007207914381832e-32,2.442163663516664e-42,2.995379995320033e-26,7.868943500072217e-18,1.0231137631015785e-24,7.974806621031157e-24,1.8377056750518838e-44,1.6237768332551993e-60,1.4071876091846308e-40,7.74270314281276e-40,1.0459783823647311e-13,3.8061921576622095e-43,1.1077213434569298e-34,7.997234719593441e-48,7.845817140004125e-55,1.5420172649537033e-42,6.462312750662491e-54,2.0380528593221998e-50,4.18531382199659e-39,2.8672841290593983e-57,1.1345476777452408e-60,1.1835615945756732e-60,3.76,0.0,0.501555655333417,0.9999999999999933,2.591852994900722e-24,5.135315593042064e-32,6.723702318519525e-15,1.0460570766040564e-13,8.234504805134265e-29,3.022439045661268e-27,4.368621026679912e-22,6.9700540879431365e-15
1e-12,0.5617327946830034,6.682472005462645e-19,4.905449399908533e-22,2.131146065892182e-23,7.569563534059066e-15,0.0,0.0,7.301354988779085e-15,7.478916679634598e-24,2.5255904921858577e-23,3.037302485941232e-23,1.443566245084994e-31,3.912354379817332e-42,3.768215218050525e-26,9.899075651072788e-18,1.6389812422621215e-24,1.2775670978434925e-23,6.738739327019575e-44,1.0481714970424453e-59,5.176912938829296e-40,2.8484289666844662e-39,1.1359317102829582e-13,1.3957212975914142e-42,2.536572890651186e-34,5.151472235186339e-47,5.053691115001055e-54,5.6559791487886315e-42,7.368715063065595e-53,1.3127530086665894e-49,9.595775705363306e-39,3.4303462513882704e-56,1.3594133654465404e-59,1.4173381916989381e-59,3.76,0.0,0.5015556553334068,0.9999999999999927,4.152186228027123e-24,1.1759333470934127e-31,7.302022502221902e-15,1.1360307087359117e-13,1.323601153079589e-28,4.8413766383964266e-27,6.995580394732638e-22,7.569563518617467e-15
1.8424000000000003e-12,0.5617327946830034,1.2335590379599772e-18,9.443585470871528e-22,1.0611598589704305e-22,1.394616390244454e-14,0.0,0.0,1.3452016414105068e-14,2.3795142729258623e-23,1.2620253551599861e-22,1.5374268070991441e-22,7.217467888419286e-31,1.9549837453197227e-41,1.1988371678002151e-25,3.149229943898808e-17,8.18957170242429e-24,6.383941005263887e-23,5.886791544340336e-43,1.0469796606577056e-58,4.52730823541409e-39,2.490993463315485e-38,2.0927080163222883e-13,1.2192716167913974e-41,1.7734357528990157e-33,5.1438254534964576e-46,5.046149110746268e-53,4.941357373139665e-41,7.887149717178614e-52,1.3107924241386746e-48,6.714341573753677e-38,3.686700871524588e-55,1.461188208613987e-58,1.5233783443720862e-58,3.76,0.0,0.5015556553332986,0.9999999999999866,2.0748457889462536e-23,8.221479635396832e-31,1.3453246274329029e-14,2.0930229777747428e-13,6.643385579465152e-28,2.418825830657956e-26,3.493687549129358e-21,1.394616382669899e-14
3.6856e-12,0.5617327946830272,2.4903002337495694e-18,2.273541774987727e-21,8.464182621125235e-22,2.7898383900370024e-14,0.0,0.0,2.690987383038188e-14,9.521156357014366e-23,1.0097655363781223e-21,1.2852154945530736e-21,5.786127621476212e-30,1.5642097392822684e-40,4.796146534746635e-25,1.259783635406054e-16,6.552363140244283e-23,5.107887562858463e-22,1.884215236264877e-41,6.703442299269138e-57,1.4492082269299994e-37,7.973466623524512e-37,4.185694688775671e-13,3.902711291520753e-40,2.837825082509177e-32,3.2930063651133035e-44,3.230648091585203e-51,1.582901415037082e-39,9.829878914337011e-50,8.391360005457846e-47,1.0786954873363884e-36,4.719759748651409e-53,1.8710010291310493e-56,1.9542897356832249e-56,3.76,0.0,0.5015556553330618,0.9999999999999731,1.6601670708849355e-22,1.315609569606381e-29,2.691233426847978e-14,4.18695478011504e-13,5.3978984994865594e-27,1.9342555397471413e-25,2.789842436366062e-20,2.789838330420416e-14
7.372e-12,0.5617327946830749,5.162894973336164e-18,7.616626146912418e-21,6.759020425881893e-21,5.580282698823169e-14,0.0,0.0,5.3825588418254514e-14,3.80908236684419e-22,8.075846873456196e-21,1.115512573489519e-20,4.645708135887498e-29,1.2510115831221264e-39,1.9181600982632405e-24,5.037407420939954e-16,5.24031860663732e-22,4.085158024029619e-21,6.026740369580829e-40,4.28741815302707e-55,4.6345763788970215e-36,2.5497298569704243e-35,8.369778516451956e-13,1.2483794578210957e-38,4.539062549651549e-31,2.106237945365451e-42,2.0666917865935595e-49,5.071547389728651e-38,1.2403283310417104e-47,5.367293583859434e-45,1.738939131681113e-35,6.036378057599913e-51,2.393736319099533e-54,2.5097988342456908e-54,3.76,0.0,0.5015556553325882,0.9999999999999463,1.3278418230286478e-21,2.10439299638437e-28,5.383051075983099e-14,8.374818384791331e-13,4.448719136528823e-26,1.5452379570051348e-24,2.2224817298189806e-19,5.5802822259188344e-14
1e-11,0.5617327946831225,7.238834618420058e-18,1.429395810160503e-20,1.5709889320133483e-20,7.569564616158558e-14,0.0,0.0,7.301354883950147e-14,6.864249953098903e-22,1.8776973558016812e-20,2.695812486922319e-20,1.082284005831328e-28,2.908696277753456e-39,3.4560279767183606e-24,9.075117134873676e-16,1.2184100573865875e-21,9.498310880135948e-21,2.18267525968879e-39,1.758517692843308e-54,1.5934348049134115e-35,8.766090908112818e-35,1.1351226248388698e-12,4.5212992965092216e-38,1.3210899712373726e-30,8.05514912391335e-42,7.910757226323325e-49,1.8370851319185957e-37,4.923123795556678e-47,2.0526804389028294e-44,5.078293945968002e-35,2.393283791578328e-50,1.0429211267635805e-53,9.954833412062028e-54,3.76,0.0,0.5015556553322505,0.9999999999999272,3.087432475183062e-21,6.124940978366828e-28,7.302022690478738e-14,1.13603070873407e-12,1.04975290340559e-25,3.590775391213021e-24,5.157227407940852e-19,7.569563518606271e-14
1.10584e-11,0.5617327946831225,8.074897982330558e-18,1.6983184943631923e-20,1.9314759806311526e-20,8.370727470537469e-14,0.0,0.0,8.074130276257902e-14,8.094687309754913e-22,2.308674238714123e-20,3.332262041099366e-20,1.3310616476386133e-28,3.5763117575090884e-39,4.075388464753711e-24,1.0701263238841507e-15,1.4980637420941488e-21,1.1678402578348636e-20,2.8190045192543085e-39,2.2940712654418523e-54,2.0485214995777554e-35,1.1269666454737293e-34,1.255197369111391e-12,5.839434135652113e-38,1.6703393035442663e-30,1.0451011982123056e-41,1.0264394540406275e-48,2.3727009340090688e-37,6.40633183195038e-47,2.663214161741138e-44,6.423184788982177e-35,3.1140453255928377e-50,1.3665416246909322e-53,1.2953244598196284e-53,3.76,0.0,0.5015556553321145,0.9999999999999194,3.796089532352101e-21,7.744175371110451e-28,8.074868792755065e-14,1.2562681989463325e-12,1.2933625074977768e-25,4.414594577044692e-24,6.3391660783077455e-19,8.370726121414636e-14
1.47448e-11,0.5617327946831703,1.1307062674749882e-17,3.1710908959596907e-20,4.0722908377696014e-20,1.1161172858819985e-13,0.0,0.0,1.076570168648621e-13,1.38089303619565e-21,4.8685969274551225e-20,7.300371948972503e-20,2.812670937774079e-28,7.541822907234194e-39,6.950899294178382e-24,1.82496817316295e-15,3.159150924634346e-21,2.4627742614249735e-20,9.09123740419357e-39,8.665927313521406e-54,6.99712742342509e-35,3.8493025576610025e-34,1.6732281076577589e-12,1.8832553579054696e-37,4.235513868082545e-30,4.4192311564154543e-41,4.3359915255566426e-48,7.660519316265083e-37,3.477367185799288e-46,1.1261692009990937e-43,1.634265462320236e-34,1.6981247313554157e-49,6.496651799402526e-53,7.077531372459405e-53,3.76,0.0,0.5015556553316409,0.9999999999998925,8.005559540798427e-21,1.9637471009016978e-27,1.076668659453563e-13,1.6750545594131021e-12,2.768738682386592e-25,9.304196616924281e-24,1.3340890634608633e-18,1.1161170016907824e-13
2.21176e-11,0.5617327946832656,1.8775064499798086e-17,7.789408631807264e-20,1.1116121145000306e-19,1.6742065558691635e-13,0.0,0.0,1.6148844450750232e-13,2.8590342323882696e-21,1.3292571873163425e-19,2.1168764972280746e-19,7.705224023388222e-28,2.0591230380302898e-38,1.4386444426096785e-23,3.776429787929315e-15,8.625305512431329e-21,6.724032485126725e-20,4.999845371185236e-38,6.255167625313778e-53,4.297232138763005e-34,2.3639372692742145e-33,2.508846799986134e-12,1.0357794959066426e-36,1.4806694691851897e-29,3.9760502594174556e-40,3.8946625369205195e-47,4.225689889018311e-36,4.800739829910274e-45,1.0132869421887475e-42,5.745952327138993e-34,2.3558487556812063e-48,7.390705506920201e-52,9.864030046795583e-52,3.76,0.0,0.5015556553306937,0.9999999999998387,2.1858499341812527e-20,6.865194387476198e-27,1.615032245165219e-13,2.5126272803456353e-12,7.746774477956887e-25,2.537831160534065e-23,3.6300520253522954e-18,1.674205780788806e-13
2.9490400000000004e-11,0.561732794683361,2.809777639713635e-17,1.5488908966543543e-19,2.324785846179779e-19,2.232296180095463e-13,0.0,0.0,2.1531987127796592e-13,4.862536529796917e-21,2.780285769570968e-19,4.656238718941818e-19,1.616434029390472e-27,4.306890224586349e-38,2.4460046473328895e-23,6.419527174317557e-15,1.8040737577995702e-20,1.4064044205260728e-19,1.6037262924509692e-37,2.3957127231124396e-52,1.4416341163070624e-33,7.930266932468589e-33,3.343772001897582e-12,3.3224314058665645e-36,3.6987139370760744e-29,1.567485345988661e-39,1.535063782514845e-46,1.3578114684792984e-35,2.2034842824775702e-44,3.994800243404211e-42,1.4421001476357661e-33,1.0823982788584058e-47,3.3385342699679795e-51,4.54081148903848e-51,3.76,0.0,0.5015556553297464,0.9999999999997848,4.5721616031764833e-20,1.714976285656137e-26,2.153395876626877e-13,3.3502000012765945e-12,1.6550510826313306e-24,5.303583677405265e-23,7.569791896691524e-18,2.2322945598858678e-13
3.68632e-11,0.5617327946834565,3.9957483745836377e-17,2.738142936326578e-19,4.2303461919599405e-19,2.790386286366077e-13,0.0,0.0,2.6915129713231563e-13,7.42892565314934e-21,5.059591965438018e-19,8.894665883213135e-19,2.9504940052184285e-27,7.837754119671446e-38,3.7357465619197755e-23,9.802549554888984e-15,3.283068413700707e-20,2.559388890171053e-19,4.187982015095497e-37,7.279940564271756e-52,3.893044830461739e-33,2.1414485417390243e-32,4.1779547548549766e-12,8.676546998313588e-36,7.844876890287878e-29,4.938858781784821e-39,4.835933191055093e-46,3.5527441285598e-35,8.123826245842562e-44,1.2587280117101828e-41,3.073207355702884e-33,3.993725224641996e-47,1.188906752330123e-50,1.6795516128117405e-50,3.76,0.0,0.5015556553287992,0.999999999999731,8.320871184666181e-20,3.637528263607546e-26,2.691759568808721e-13,4.187772722205874e-12,3.076082461165985e-24,9.643073787850772e-23,1.3733463745880643e-17,2.7903833389818994e-13
5.16088e-11,0.5617327946836472,7.523671244570963e-17,7.003682578130757e-19,1.1157335864097256e-18,3.906568668735057e-13,0.0,0.0,3.768141462129008e-13,1.4285721197400127e-20,1.3345567641497909e-18,2.64549999402067e-18,7.846473646874546e-27,2.0673874593399195e-37,7.178304768582813e-23,1.8827318301286992e-14,8.659662707140433e-20,6.750840352142293e-19,2.338109312809164e-36,6.237376489940647e-51,2.1774155673987726e-32,1.1975404513497024e-31,5.8440501786241776e-12,4.844751599863596e-35,2.871263068797781e-28,4.0600425166539993e-38,3.9777446903785855e-45,1.9941717879633695e-34,9.924684730822459e-43,1.0348571604156818e-40,1.1421456427600187e-32,4.881967142156845e-46,1.5205003860919459e-49,2.074092501606079e-49,3.76,0.0,0.5015556553269047,0.9999999999996233,2.1950688677372916e-19,1.331482314150888e-25,3.7684872190637695e-13,5.862918164059341e-12,8.57421796611449e-24,2.5374762490419676e-22,3.592506220845939e-17,3.906560897170806e-13
8.110000000000001e-11,0.5617327946840287,2.1405315254075827e-16,2.6457282417359488e-18,4.30440262798779e-18,6.13894600084344e-13,0.0,0.0,5.921398355346408e-13,3.4853201707392515e-20,5.1487040798054476e-18,1.2782251119732379e-17,3.0837492423614453e-26,7.976794386177161e-37,1.7484321722671997e-22,4.5813736860978675e-14,3.340885281083836e-19,2.604466165527535e-18,2.473660337712254e-35,1.1765740632797096e-49,2.2604460288673488e-31,1.2427385505691089e-30,9.167238417670091e-12,5.127283725571012e-34,1.816460679307234e-27,6.926741004007934e-37,6.796540008559345e-44,2.131427910698843e-33,2.759499164346265e-41,1.76589054755817e-39,7.489530805845125e-32,1.356863307852582e-44,4.6364555859038016e-48,5.881145012192694e-48,3.76,0.0,0.5015556553231159,0.9999999999994079,8.47113197166685e-19,8.425399957197742e-25,5.921944039699026e-13,9.213209047746567e-12,3.7116231679345513e-23,9.736466439258406e-22,1.3602251912017893e-16,6.138916013536072e-13
9.999999999999999e-11,0.5617327946844102,3.672035714431433e-16,4.9021855644629885e-18,8.014728413965611e-18,7.569619368777757e-13,0.0,0.0,7.301354202766944e-13,5.2843347675793074e-20,9.586573748712557e-18,2.6506297435201384e-17,5.802568333531215e-26,1.4854078402015335e-36,2.6482104332124185e-22,6.934869403699236e-14,6.220525241987523e-19,4.849357553693985e-18,6.905275942915647e-35,3.979661968214205e-49,6.41355400897047e-31,3.525450794692577e-30,1.1290666267607157e-11,1.4315101193339153e-33,4.1436446633276115e-27,2.3751171611397203e-36,2.3312934986428842e-43,5.98622959867606e-33,1.128229072368414e-40,6.055690275583968e-39,1.7397417587058591e-31,5.546982344082831e-44,1.873735284994379e-47,2.422792193424151e-47,3.76,0.0,0.5015556553206877,0.9999999999992696,1.5775508314138456e-18,1.9222065498049965e-24,7.302029463323679e-13,1.1360307087205642e-11,7.341673238842355e-23,1.8072043532212264e-21,2.505591327996896e-16,7.569563518522097e-13
1.1059120000000001e-10,0.5617327946844102,4.749470379721825e-16,6.511501015822936e-18,1.0663163150473306e-17,8.371345443545026e-13,0.0,0.0,8.074655158641124e-13,6.45670552021247e-20,1.2754281080915908e-17,3.666536270200604e-17,7.751463701068953e-26,1.9763301364702918e-36,3.234152627718416e-22,8.466835391595404e-14,8.275983819932727e-19,6.451738751561548e-18,1.041190342643502e-34,6.263893967148259e-49,9.712145043382848e-31,5.338435674797371e-30,1.2478442924429921e-11,2.158539988037815e-33,5.907802145272128e-27,3.749788349993958e-36,3.680852625691494e-43,9.040006604221882e-33,1.83867200590416e-40,9.560797757305183e-39,2.4944069395188765e-31,9.039745944448317e-44,3.0473405978208337e-47,3.953301128617066e-47,3.76,0.0,0.501555655319327,0.9999999999991922,2.098967533570347e-18,2.740691225927011e-24,8.075403526052343e-13,1.2563499931408444e-11,9.990911337392243e-23,2.401424845868756e-21,3.319512540752622e-16,8.371271129884595e-13
1.6957360000000003e-10,0.5617327946851732,1.604986881319914e-15,2.3444017106062794e-17,3.856314657925347e-17,1.2836250460087199e-12,0.0,0.0,1.2381168798016803e-12,1.5142558808547555e-19,4.6117586181356043e-17,1.740936294855343e-16,2.9011543325678416e-25,7.153137128875592e-36,7.560143090345195e-22,1.9754048277849834e-13,2.9924762642480845e-18,2.332852929786143e-17,9.480447956770167e-34,9.243260185434738e-48,8.657326093907825e-30,4.7554133451598686e-29,1.9065135904539475e-11,1.9666839793663542e-32,3.366982060143906e-26,5.451069118513763e-35,5.3626432270145854e-42,8.398812059225944e-32,4.469253900616481e-39,1.3904517972765065e-37,1.5137261337005738e-30,2.1935162203773123e-42,7.46028111319563e-46,9.99891660355849e-46,3.76,0.0,0.5015556553117493,0.9999999999987605,7.594046391486125e-18,1.5626712651543778e-23,1.2382335402715505e-12,1.9264081698667057e-11,4.297935206475812e-22,8.593032237767194e-21,1.1587693330568098e-15,1.2835981362531424e-12
2.2265776000000003e-10,0.5617327946858601,3.5142261075371398e-15,5.185115282218084e-17,8.53951762318309e-17,1.6854817071369454e-12,0.0,0.0,1.6257031432385908e-12,2.6086947492201784e-19,1.0210879239746203e-16,4.482684744340219e-16,6.578102074690284e-25,1.5858844504319008e-35,1.2989602562150756e-21,3.3887527045338885e-13,6.6256388651037705e-18,5.1651618471053616e-17,3.327190451526417e-33,3.8644735628900016e-47,3.0585265148521675e-29,1.679503852057777e-28,2.4952618523913253e-11,6.904613944056419e-32,9.389915465344979e-26,2.4003110147074104e-34,2.3637450447287457e-41,2.9876461700737036e-31,2.45606193573628e-38,6.124374137854437e-37,4.376142317982825e-30,1.2049461728398767e-41,3.8759250767153255e-45,5.610926231589517e-45,3.76,0.0,0.5015556553049293,0.9999999999983712,1.6821019805067062e-17,4.359174919352951e-23,1.6258592791365413e-12,2.529460528913776e-11,1.0580984091874276e-21,1.888567593103138e-20,2.502818959866304e-15,1.6854220571856318e-12
2.7574192000000004e-10,0.5617327946865468,6.586968965376419e-15,9.687729274984068e-17,1.5963068955975893e-16,2.087357603599463e-12,0.0,0.0,2.013289499966789e-12,3.999378565614448e-19,1.9084241197048298e-16,9.507101930129538e-16,1.258454759445694e-24,2.970066708679802e-35,1.986164080911476e-21,5.17346489340556e-13,1.2383404870084262e-17,9.653742117980585e-17,9.010241509278573e-33,1.2499188848315455e-46,8.433704478764099e-29,4.629518049464676e-28,3.080196697403507e-11,1.8704349548587824e-31,2.117683118118268e-25,7.843124155996547e-34,7.731086826333623e-41,8.201157924586986e-31,9.380704523561596e-38,2.0016235126529594e-36,1.0228617691170853e-29,4.598351838205991e-41,1.477925630553137e-44,2.1736233454073145e-44,3.76,0.0,0.5015556552981093,0.9999999999979811,3.145192184565351e-17,9.833837001253563e-23,2.0134874272513205e-12,3.1325128879573175e-11,2.174635443247145e-21,3.503819665498784e-20,4.564903467705845e-15,2.0872459781126985e-12
