Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186)
1.360031271907775e-16,0.8834016196683363,2.8378468872040253e-18,5.480177230615987e-20,7.622776422450065e-27,6.830597637492016e-14,0.0,0.0,2.0483550723765465e-15,1.2914878987015433e-26,3.285707082679637e-31,3.822764244075555e-31,7.929840338102222e-37,1.7831554699388906e-43,1.4435086320617366e-27,1.548849020005845e-21,1.1728411449846439e-29,1.66206053211811e-31,1.0978232888590665e-54,6.171829938900653e-69,1.6501850018190863e-51,1.0181657730808207e-50,2.1246790099637691e-13,2.5057264417506544e-55,3.7926932818207635e-42,7.36143888180063e-64,4.0401226805925885e-65,3.276882457373833e-51,1.4449190301801846e-65,2.85999827630029e-63,1.6797438042096453e-46,5.582153290336237e-74,5.809479944329718e-75,1.308857675564738e-75,3.76,0.0,0.9824554467666906,0.999999999999998,5.40331701381508e-32,4.934729812395015e-39,2.051192919287107e-15,2.1246790254522738e-13,1.9678423904509873e-36,3.784269402059238e-35,9.246696185070742e-30,6.830597637491616e-14,7.38661261697447e-27,1.9024034385767157e-27,2.491249392596141e-31
2.721244152218597e-16,0.8834016196683797,5.678159371911547e-18,1.0965115840321363e-19,3.0512070346032736e-26,1.3667129764675883e-13,0.0,0.0,4.0984897754914865e-15,5.1693173087045614e-26,2.630563483920408e-30,3.0605461987186564e-30,6.348694190537984e-36,1.4276085925672626e-42,5.777796368238246e-27,6.199432414254282e-21,4.8970285209179806e-29,1.3306590130670275e-30,3.517371626125614e-53,3.9562644565111014e-67,5.288871696353072e-50,3.2632390420068458e-49,4.2512039307209074e-13,8.02822391076999e-54,3.159145846429902e-41,4.719612478199189e-62,1.34395557319958e-63,5.46865810816491e-50,4.707601990775474e-64,9.509924251924436e-62,2.6897787138460946e-45,3.695860250627652e-72,3.8637553256590995e-73,8.665751630589515e-74,3.76,0.0,0.9824554467664075,0.999999999999996,4.325939048818201e-31,4.0183234748695896e-38,4.104167934956847e-15,4.251203992715291e-13,1.5754705779918807e-35,3.0297163372769544e-34,7.402978199176227e-29,1.3667129764674278e-13,2.956570053559721e-26,7.61457149060396e-27,9.971489953670616e-31
5.443669912840241e-16,0.8834016196684662,1.1358784487169049e-17,2.193499350368101e-19,1.2209682108008284e-25,2.734019401903796e-13,0.0,0.0,8.198759181480201e-15,2.0684002576819353e-25,2.1052502165918992e-29,2.4493837663862618e-29,5.080885230582461e-35,1.142520724241565e-41,2.3118710984523074e-26,2.480580412901652e-20,2.1215879998220406e-28,1.0649315983463915e-29,1.1262533371749432e-51,2.534024747519212e-65,1.6937647369289087e-48,1.045054503892856e-47,8.504253679179688e-13,2.570616674466439e-52,2.7246475315122397e-40,3.023207836453657e-60,4.618724021115531e-62,9.457893064087195e-49,1.5570805053329449e-62,3.265623136542129e-60,4.305397913005767e-44,2.517315149313755e-70,2.6539621967379098e-71,5.90239604236879e-72,3.76,0.0,0.9824554467658414,0.9999999999999919,3.4620659637601665e-30,3.323285499434203e-37,8.21011796634099e-15,8.504253927237968e-13,1.2608554932862867e-34,2.4246935708772913e-33,5.92463065722442e-28,2.7340194019031526e-13,1.1830131324801804e-25,3.046820383973619e-26,3.9898948281810445e-30
1.0888521434083532e-15,0.8834016196686391,2.2720035302720352e-17,4.387475060899243e-19,4.885371675180315e-25,5.468632252773945e-13,0.0,0.0,1.639929799249297e-14,8.274947887603917e-25,1.6845199503894717e-28,1.9599057970827175e-28,4.065480757303171e-34,9.141901214965922e-41,9.248989460434754e-26,9.923936378345277e-20,9.78505435573998e-28,8.521070365385234e-29,3.605121962138742e-50,1.6224209652856264e-63,5.4221689589342745e-47,3.345483528400775e-46,1.7010352803875274e-12,8.228510136355905e-51,2.494384785855564e-39,1.9357031884745e-58,1.6801001323422615e-60,1.738712665297372e-47,5.302056376935351e-61,1.1863043227204353e-58,6.890039212722104e-43,1.8037264609469561e-68,1.9287142975056406e-69,4.229232435064997e-70,3.76,0.0,0.9824554467647091,0.9999999999999837,2.770178753494562e-29,2.830735542620864e-36,1.6422018029288017e-14,1.7010353796269898e-12,1.0088763038812648e-33,1.9401227857987693e-32,4.740601774458874e-27,5.468632252771373e-13,4.732822861592713e-25,1.2189265057022788e-25,1.5962177376196464e-29
2.1778224476570112e-15,0.8834016196689849,4.544253928730002e-17,8.775427195635649e-19,1.9548707876005035e-24,1.0937857954505183e-12,0.0,0.0,3.2800375610659876e-14,3.3102485429088134e-24,1.3477437840090994e-27,1.5681161374815875e-27,3.252694398575217e-33,7.3142146535666324e-40,3.699896618852381e-25,3.9698972015077854e-19,4.952281298719034e-27,6.817502883015341e-28,1.1538167427944374e-48,1.0385557646210882e-61,1.7354334021438932e-45,1.0707640754721458e-44,3.4022549564378688e-12,2.6335290802537228e-49,2.498549379629007e-38,1.2391220089555287e-56,6.667486930069231e-59,3.5024808742449397e-46,1.9004338000579122e-59,4.698826919533305e-57,1.1025186924200729e-41,1.4003713996108217e-66,1.5284597857566974e-67,3.283479792619273e-68,3.76,0.0,0.9824554467624446,0.9999999999999672,2.216353386607338e-28,2.539281399658518e-35,3.284581815589769e-14,3.4022553534280055e-12,8.071782245322964e-33,1.5522448559561716e-31,3.792836865014699e-26,1.0937857954494893e-12,1.8932832218131292e-24,4.876102485754611e-25,6.38539060017059e-29
4.355763056154327e-15,0.8834016196696767,9.088755677702269e-17,1.755133433770305e-18,7.824306114388559e-24,2.187630935793145e-12,0.0,0.0,6.560253083155917e-14,1.3241532945017092e-23,1.0782459981116701e-26,1.2546206653951775e-26,2.6022806115246445e-32,5.8516483127260996e-39,1.4800186565497943e-24,1.5880231583897573e-18,2.811379467991424e-26,5.454260140712686e-27,3.692497159161599e-47,6.647415508355373e-60,5.553928451320766e-44,3.426779034856756e-43,6.804693712983558e-12,8.42794167114962e-48,2.8035354813696496e-37,7.931249285418295e-55,2.959569661239123e-57,7.908981021202691e-45,7.386072476583462e-58,2.0810516367045777e-55,1.7641204889833005e-40,1.210908385909372e-64,1.3544652182253638e-65,2.839245005371333e-66,3.76,0.0,0.9824554467579154,0.9999999999999345,1.7731668166481616e-27,2.4706623300874042e-34,6.569341841198502e-14,6.804695301008557e-12,6.457741090965986e-32,1.241853642738228e-30,3.034406089919398e-25,2.1876309357890264e-12,7.573441051532357e-24,1.9505200740858234e-24,2.5542601737006946e-28
8.71164427314896e-15,0.8834016196710599,1.817776306919682e-16,3.510316025540109e-18,3.13339001237012e-23,4.37532121646393e-12,0.0,0.0,1.3120684121161969e-13,5.296720917372206e-23,8.626169293045467e-26,1.0038294781182685e-25,2.081876397961508e-31,4.6814278529363544e-38,5.920193365792934e-24,6.3522191550501456e-18,1.7888968547572612e-25,4.363509943758896e-26,1.1816438304963243e-45,4.9185847049427375e-58,2.0591054381935238e-42,1.2704698634281628e-41,1.3609568843855822e-11,2.697044316113371e-46,3.530272539695164e-36,6.707471972305387e-53,1.825747542700659e-55,2.002984696240344e-43,3.2070829589211867e-56,1.3199058160049533e-53,2.8226673000957516e-39,1.9017986901789737e-62,1.674067240410525e-63,4.459203227228642e-64,3.76,0.0,0.9824554467488571,0.9999999999998689,1.4185670161097327e-26,2.679200420418435e-33,1.3138861893567513e-13,1.3609575196083735e-11,5.16632947808825e-31,9.935045842500343e-30,2.427570571962188e-24,4.375321216447429e-12,3.0294380537312855e-23,7.802236733692025e-24,1.0217248565716173e-27
1.7423406707138224e-14,0.8834016196738268,3.6355794108993146e-16,7.020685977052823e-18,1.2562518942914131e-22,8.750701777747758e-12,0.0,0.0,2.6241546172478824e-13,2.118709901230269e-22,6.901011829302151e-25,8.03247707560491e-25,1.665524874695906e-30,3.7451836661895615e-37,2.3681000699966044e-23,2.540911337443783e-17,1.247028536389299e-24,3.4908465995624566e-25,3.7813283922201724e-44,3.1678740894446917e-56,6.617442401127514e-41,4.082967044190591e-40,2.7219309576730847e-11,8.630702864385483e-45,4.884097061989838e-35,4.309183446990272e-51,1.0195374379509897e-53,5.5648868933542326e-42,1.5698141179644894e-54,7.37684366126818e-52,4.516333857113172e-38,2.1267026948827185e-60,1.8712289932664703e-61,4.986566203594831e-62,3.76,0.0,0.9824554467307406,0.9999999999997377,1.1348669084996844e-25,3.267588484083353e-32,2.627790200294658e-13,2.7219334985890417e-11,4.1331349997662084e-30,7.948100415468332e-29,1.9420604330278256e-23,8.750701777681552e-12,1.2117875475592542e-22,3.120924601197701e-23,4.086941000797531e-27
3.484693157511675e-14,0.8834016196793605,7.271192667682636e-16,1.4041445868351822e-17,5.048098327369445e-22,1.7501462900085486e-11,0.0,0.0,5.248327017633157e-13,8.474882563407467e-22,5.5208334144385715e-24,6.4288132369540385e-24,1.3324341904323288e-29,2.9961598100455027e-36,9.47243753194225e-23,1.0163679668043735e-16,9.239851003076544e-24,2.7926893960322985e-24,1.2100337178263295e-42,2.0279192151162703e-54,2.1178789102416443e-39,1.3067324492087368e-38,5.443875292705828e-11,2.761848164351026e-43,7.203059123255561e-34,2.7580625877534e-49,6.0356996486740455e-52,1.6456173983279948e-40,8.566879248634976e-53,4.368306990681316e-50,7.226208111202002e-37,2.519970209383929e-58,2.214504008403769e-59,5.908733302277722e-60,3.76,0.0,0.9824554466945076,0.9999999999994752,9.078986375858832e-25,4.412814250133538e-31,5.255598224054792e-13,5.4438854564129034e-11,3.306563405643686e-29,6.358469125564285e-28,1.553627049593809e-22,1.7501462899819066e-11,4.847174837166685e-22,1.2483747180337902e-22,1.6347847152248912e-26
6.969398131107379e-14,0.8834016196904275,1.4542451745601962e-15,2.808305293507209e-17,2.0376966007588368e-21,3.500298514384968e-11,0.0,0.0,1.049667177889132e-12,3.3899615288648765e-21,4.4166657405676774e-23,5.147535117955607e-23,1.0659607295306667e-28,2.3969271164232531e-35,3.7889759067155506e-22,4.065468304691317e-16,7.097311221018418e-23,2.234151016942156e-23,3.872107178926403e-41,1.2978767691263376e-52,6.777233533836336e-38,4.181553831087249e-37,1.0887748716646614e-10,8.837935174294652e-42,1.1035648218230231e-32,1.7651602799846989e-47,3.7061186029164827e-50,5.049761166421191e-39,5.0923588341038396e-51,2.6827401325122153e-48,1.1562059322259285e-35,3.0960638329212587e-56,2.718767866449566e-57,7.259675933184522e-58,3.76,0.0,0.9824554466220414,0.9999999999989504,7.263206224005062e-24,6.408220547208674e-30,1.0511214279335543e-12,1.0887789371510733e-10,2.6453158275103455e-28,5.0867120932095256e-27,1.2428565038892293e-21,3.500298514277117e-11,1.9388748600442405e-21,4.993499795249891e-22,6.53915549048162e-26
1.0454103104703085e-13,0.8834016197014949,2.1813747757193162e-15,4.212475461692124e-17,4.3572100190127366e-21,5.250450738671099e-11,0.0,0.0,1.5745016500637092e-12,7.203673464271789e-21,1.2628890072928487e-22,1.472608524607088e-22,3.0480005617569507e-28,6.853705846378139e-35,8.051566984701674e-22,8.639106191454933e-16,2.007768502520928e-22,6.388268722762848e-23,1.811457049614857e-40,6.945925636671978e-52,2.9961441796465252e-37,1.8486207321478114e-36,1.6331606894507044e-10,4.1345848718989586e-41,4.0216962698763834e-32,8.75959320378032e-47,1.8560032636732827e-49,2.3436803998493644e-38,2.7875367861950905e-50,1.3251907833459614e-47,4.255624761416631e-35,1.5948996578572251e-55,1.6172829981922665e-56,3.739747694284385e-57,3.76,0.0,0.9824554465495753,0.9999999999984256,2.076823885152193e-23,2.3093035265186144e-29,1.576683034259998e-12,1.6331693286058666e-10,7.564049751166242e-28,1.4544699863305805e-26,3.553715330707584e-21,5.250450738440036e-11,4.1201121511030164e-21,1.061117770594804e-21,1.389571581045543e-25
1.393880807829879e-13,0.8834016197125623,2.9085085072022538e-15,5.616655824488461e-17,7.475459202549174e-21,7.000602962867786e-11,0.0,0.0,2.099336118287047e-12,1.2288623985355578e-20,2.663795364710315e-22,3.107563651133262e-22,6.429150751876062e-28,1.4456432193235445e-34,1.3735011250503973e-21,1.4737272504246398e-15,4.209737909808111e-22,1.3474692169688243e-22,5.843881276999296e-40,2.6247294119044267e-51,1.0238620380590039e-36,6.317226848551829e-36,2.1775449826331457e-10,1.3338460350963224e-40,1.01402481854387e-31,3.705625267741643e-46,7.666737390355402e-49,7.516811506573623e-38,1.059037805067951e-49,5.565534451043068e-47,1.0793229386305783e-34,8.622060960656069e-55,7.209192315147245e-56,2.0217289908801985e-56,3.76,0.0,0.9824554464771091,0.9999999999979008,4.380623514487703e-23,5.783459411916912e-29,2.1022446414071303e-12,2.1775597200056701e-10,1.5954958264323779e-27,3.0678751278413965e-26,7.49566458266197e-21,7.000602962470661e-11,7.028429353247632e-21,1.810140072233366e-21,2.370446567489694e-25
2.0908218025490203e-13,0.8834016197346966,4.36278701934446e-15,8.425042750303212e-17,1.562410426693174e-20,1.0500907411053841e-10,0.0,0.0,3.149005045460405e-12,2.544204391761782e-20,7.275634281025902e-22,8.494112377701172e-22,1.7560158251433568e-27,3.948490635576115e-34,2.8436537428395304e-21,3.0511551707922938e-15,1.1427655511363152e-21,3.680347733469974e-22,3.2167291115137915e-39,1.8963811694533653e-50,6.295428489687803e-36,3.88427689831001e-35,3.2663099908604747e-10,7.342091568080711e-40,3.523564401395205e-31,3.3377727920890846e-45,6.637856810799793e-48,4.1053324574238176e-37,7.992311410068648e-49,4.9645276090648594e-46,3.774471980296532e-34,1.1841961501214742e-53,7.247203208294051e-55,2.7767887246781804e-55,3.76,0.0,0.9824554463321769,0.9999999999968511,1.1964840262190402e-22,1.9953760884363597e-28,3.15336785769674e-12,3.26634050267622e-10,4.3578776582818675e-27,8.379210127667159e-26,2.0472295605210273e-20,1.0500907410221431e-10,1.4551475782512748e-20,3.747657150099723e-21,4.907710412976609e-25
2.7877627972681614e-13,0.883401619756831,5.8170843503686854e-15,1.1233473255227888e-16,2.681057639555686e-20,1.4001211858917956e-10,0.0,0.0,4.1986739581036455e-12,4.327026088401372e-20,1.522302702985104e-21,1.7784385294462203e-21,3.6742005162624525e-27,8.261544749895684e-34,4.836299988191314e-21,5.189198988393271e-15,2.3824105428290563e-21,7.700501549269953e-22,1.0323307655891059e-38,7.2673391038733e-50,2.113386790212872e-35,1.3039584037983027e-34,4.355069392613438e-10,2.3562684845361595e-39,8.771786108227782e-31,1.316574561980727e-44,2.5958834251900905e-47,1.3130413186846036e-36,3.0019937044280634e-48,1.952131424206352e-45,9.431432425631569e-34,5.427627426629484e-53,3.2158465017556715e-54,1.2727199918378605e-54,3.76,0.0,0.9824554461872446,0.9999999999958014,2.5034442593308912e-22,4.9454999365200425e-28,4.2044910771897315e-12,4.3551212851445543e-10,9.118291957843695e-27,1.7531907080641459e-25,4.283360586937261e-20,1.4001211857485714e-10,2.474825433298148e-20,6.373769429551455e-21,8.346731812790719e-25
3.4847037919873026e-13,0.8834016197789654,7.271404765723359e-15,1.4041955352155752e-16,4.1332801285666064e-20,1.7501516306442753e-10,0.0,0.0,5.2483428551789e-12,6.610718844234091e-20,2.7712874599271147e-21,3.2397752146971197e-21,6.688792993227255e-27,1.5039791211456966e-33,7.388757000093438e-21,7.927896598121794e-15,4.32610499897801e-21,1.4018436246173285e-21,2.697437141089198e-38,2.2096880601694437e-49,5.711376449861749e-35,3.5239147761037447e-34,5.443822787459221e-10,6.156840290243733e-39,1.855969335226759e-30,4.1510600756222513e-44,8.123452013169909e-47,3.422084380421193e-36,9.17566034812431e-48,6.139249317077357e-45,2.0009929041050616e-33,1.9986889129327515e-52,1.116456469004472e-53,4.68675478584084e-54,3.76,0.0,0.9824554460423123,0.9999999999947516,4.557423234051179e-22,1.0425922728208493e-27,5.255614300264115e-12,5.443902067396229e-10,1.6599786240721657e-26,3.1915787831112203e-25,7.797455814667797e-20,1.7501516304228763e-10,3.7809745846738085e-20,9.737657116998212e-21,1.2751922020644746e-24
4.878585781425585e-13,0.8834016198232344,1.018013610039341e-14,1.965911077050234e-16,8.114255301403882e-20,2.450212520049118e-10,0.0,0.0,7.347680601647553e-12,1.271217899281953e-19,7.316968061836801e-21,8.569789686077296e-21,1.7660752285916353e-26,3.970921963651146e-33,1.4208241396805614e-20,1.5244941450343103e-14,1.1381017467236241e-20,3.701256254062152e-21,1.5089305281764442e-37,1.898229003296386e-48,3.2023967745712655e-34,1.975873266856366e-33,7.621311179311116e-10,3.444120680088646e-38,6.768326425787797e-30,3.4208450127336008e-43,6.669450154846086e-46,1.9050170794438248e-35,8.081216795821248e-47,5.034695877405864e-44,7.331149110609186e-33,2.437959581336466e-51,1.4545501973402929e-52,5.717074945814661e-53,3.76,0.0,0.9824554457524478,0.9999999999926523,1.2032928671710915e-21,3.77508202367649e-27,7.357860758393126e-12,7.621463631235987e-10,4.383036970750979e-26,8.426433983505026e-25,2.0585859130017533e-19,2.4502125196118406e-10,7.270681222756987e-20,1.8725066476774545e-20,2.4521497968872322e-24
