Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148)
2.2619328095755125e-16,0.8351122447246115,3.093941108244038e-18,8.299149347206916e-20,1.3941256551338647e-26,9.065318097618006e-14,0.0,0.0,2.3830407968023973e-15,1.7930899492081825e-26,9.996552636785704e-31,1.1630537729254093e-30,2.289408836950844e-36,4.592798909562259e-43,2.381580782209822e-27,2.6806970734371144e-21,1.5565368039008536e-29,5.056711791401486e-31,5.669926550273593e-54,4.8572595263411775e-68,8.617518318414851e-51,5.312793825560755e-50,2.090658092373315e-13,1.3409274493545674e-54,8.635252671333882e-42,6.891685754614335e-63,1.5392943933644252e-64,7.525783749479977e-51,5.013224134759711e-65,1.153178778487655e-62,5.876702931944832e-46,3.93569697066279e-73,3.884206032986541e-74,5.5161457639190535e-76,3.76,0.0,0.685166809821794,0.9999999999999977,1.6437911585455685e-31,9.883280358228343e-39,2.3861347018502314e-15,2.0906581191803102e-13,5.9706153178953226e-36,1.1564047884413555e-34,2.812733328590053e-29,9.065318094007059e-14,2.9544606656269056e-26,3.9430692344937595e-27,5.185780365507738e-29,5.915328160019336e-28,3.6087482377796125e-23
4.525830808386104e-16,0.8351122447246576,6.190642595481689e-18,1.6605512568148644e-19,5.580473612657794e-26,1.8138512231806435e-13,0.0,0.0,4.768152002499468e-15,7.177032722546126e-26,8.003320267351724e-30,9.31155469754615e-30,1.8329192497406022e-35,3.677031663029548e-42,9.532529556598966e-27,1.0729774141937603e-20,6.651651269220653e-29,4.048444042343826e-30,1.8166164543078165e-52,3.113598898385342e-66,2.761929598411442e-49,1.702759646788974e-48,4.1831325151786256e-13,4.296265351977483e-53,7.351969232066062e-41,4.4184412991864645e-61,5.22746769760078e-63,1.2846172383088127e-49,1.639988586926554e-63,3.913825256029536e-61,9.410381939661799e-45,2.653373927921234e-71,2.636763276055698e-72,3.718883652540798e-74,3.76,0.0,0.6851668098214917,0.9999999999999953,1.3160324098962135e-30,8.081025175563082e-38,4.774342500759217e-15,4.183132622476466e-13,4.7801233304487575e-35,9.258268813108501e-34,2.2518963476625572e-28,1.8138512217353236e-13,1.1825542206655393e-25,1.578255263442012e-26,2.0756638739371172e-28,2.3676725298214753e-27,1.444439761553714e-22
9.053626806007287e-16,0.8351122447247498,1.2384262663474333e-17,3.3218249491894077e-19,2.2331866600574186e-25,3.6284900500170105e-13,0.0,0.0,9.538374413478916e-15,2.87174793957757e-25,6.405088307725239e-29,7.4521580004084e-29,1.466892655997869e-34,2.942742722595217e-41,3.814253371370072e-26,4.293307074510716e-20,2.99879478800239e-28,3.2399854977682757e-29,5.81675895250011e-51,1.9942894329010472e-64,8.845097929613393e-48,5.453099055615115e-47,8.36808119973286e-13,1.3756530998351265e-51,6.585702668261084e-40,2.8302887167699263e-59,1.8625076773042625e-61,2.3098198761360075e-48,5.466218492475047e-62,1.3929494391557562e-59,1.5062741078193695e-43,1.8663202725305707e-69,1.877159098788086e-70,2.6157751629763797e-72,3.76,0.0,0.685166809820887,0.9999999999999906,1.0532258772865799e-29,6.735197837115019e-37,9.550758098610518e-15,8.368081629063971e-13,3.8255525401005275e-34,7.40942733785488e-33,1.802200551069639e-27,3.6284900442338467e-13,4.731757228820127e-25,6.315076635550993e-26,8.305361368803445e-28,9.473771649199409e-27,5.779640512204401e-22
1.8109218801249653e-15,0.8351122447249337,2.4772371178586143e-17,6.644376527548291e-19,8.936363753080222e-25,7.257767703684466e-13,0.0,0.0,1.907881923377904e-14,1.148886171830735e-24,5.125043357240761e-28,5.962993502377359e-28,1.1737373085426283e-33,2.3546410710381276e-40,1.5259496212004955e-25,1.7176022330911583e-19,1.4695713650929036e-27,2.5924804398118544e-28,1.861936709905318e-49,1.2768528699057719e-62,2.8315391919885265e-46,1.7456746693096938e-45,1.6737977924615835e-12,4.403447270462242e-50,6.392804358770352e-39,1.8121805871323388e-57,7.168796310850806e-60,4.507380068713668e-47,1.8872501476856983e-60,5.352616509895192e-58,2.410529450993424e-42,1.4083983112867812e-67,1.4429927208132764e-68,1.9739672354659927e-70,3.76,0.0,0.6851668098196775,0.999999999999981,8.427406920646632e-29,5.817295134456127e-36,1.910358929444665e-14,1.6737979642219766e-12,3.0610250254812673e-33,5.928665237658423e-32,1.4420327789202695e-26,7.257767680548045e-13,1.8930110034179327e-24,2.5264417145723077e-25,3.3226871169840186e-27,3.790123549217416e-26,2.312232549327124e-21
3.622040279173438e-15,0.8351122447253018,4.955206176577297e-17,1.3289496465625252e-18,3.576566924860533e-24,1.4516323010998274e-12,0.0,0.0,3.815970886774421e-14,4.595918699980146e-24,4.1004232767449444e-27,4.7710635516309305e-27,9.390795036815058e-33,1.8838913780184936e-39,6.104294485721498e-25,6.870966818117942e-19,8.037804464833798e-27,2.0741809188962317e-27,5.959114680895706e-48,8.173481238090967e-61,9.062696308423792e-45,5.587250506993378e-44,3.3477768797480215e-12,1.4093201841606272e-48,6.912085526455802e-38,1.1600500445199588e-55,3.0667603616641077e-58,9.807134477734938e-46,6.921120763672451e-59,2.285082061289284e-56,3.8572410196776215e-41,1.1748210682462732e-65,1.2324198255592386e-66,1.6465941789825015e-68,3.76,0.0,0.6851668098172585,0.9999999999999619,6.742565186572714e-28,5.339067576849231e-35,3.820925168665452e-14,3.347777566845449e-12,2.4490553528386925e-32,4.743378724207625e-31,1.1537333946802576e-25,1.451632291844505e-12,7.572660271513443e-24,1.0106588120956264e-24,1.3291844226438977e-26,1.5161712029330158e-25,9.249682920941668e-21
7.244277077270383e-15,0.8351122447260377,9.912533749165864e-17,2.6579803522576017e-18,1.432069440574989e-23,2.9033433625541556e-12,0.0,0.0,7.632148810913422e-14,1.8384422804052085e-23,3.280493210000716e-26,3.8173773259066303e-26,7.513000657093698e-32,1.507184106547351e-38,2.4418165342006853e-24,2.7484975398679906e-18,4.942554463395476e-26,1.659422933137343e-26,1.907062753299781e-46,5.231544931805307e-59,2.9003448852552614e-43,1.788093924774021e-42,6.6957340235606004e-12,4.510170899173895e-47,8.40583514949134e-37,7.425131446042982e-54,1.4757812430631512e-56,2.3994854327926225e-44,2.7801151995347917e-57,1.097356340411789e-54,6.1719044379936706e-40,1.101763429251101e-63,1.1840318045139117e-64,1.5442016131172776e-66,3.76,0.0,0.6851668098124206,0.9999999999999237,5.394307416125685e-27,5.367068843906203e-34,7.642057647322451e-14,6.695736772061643e-12,1.959341796616347e-31,3.794877025067573e-30,9.230267461073307e-25,2.903343325531349e-12,3.029187356703e-23,4.0427987734872885e-24,5.316965283986486e-26,6.064918759457996e-25,3.700023703373538e-20
1.4488750673464276e-14,0.83511224472751,1.9832746973878227e-16,5.3160686802545186e-18,5.739470169165284e-23,5.806765485429132e-12,0.0,0.0,1.5264504648575299e-13,7.35391868685627e-23,2.624455035357538e-25,3.0545268107756726e-25,6.010555950454905e-31,1.2057750345993302e-37,9.767459909691402e-24,1.0994205640606624e-17,3.358930153265923e-25,1.3275689337510823e-25,6.102828761457532e-45,3.8709446603503416e-57,1.0752950781567171e-41,6.629309218465305e-41,1.339164418814721e-11,1.443309168318997e-45,1.132637536559695e-35,6.279442796895105e-52,9.86836191520023e-55,6.496157833866852e-43,1.2575522658315828e-55,7.545630133240435e-53,9.875313892919537e-39,1.907773829287971e-61,1.5874391432747457e-62,2.6738960598559307e-64,3.76,0.0,0.6851668098027448,0.9999999999998475,4.3155470714536933e-26,6.0467349284887785e-33,1.5284322605507655e-13,1.3391655182371037e-11,1.5675178462216167e-30,3.035963916207973e-29,7.38432864605722e-24,5.806765337334812e-12,1.2116995864523659e-22,1.6171516283742422e-23,2.126838380204687e-25,2.4260065922178266e-24,1.4800395768126055e-19
2.897769786585206e-14,0.8351122447304546,3.9695407812935967e-16,1.0632353356979172e-17,2.304672188646139e-22,1.1613609731044798e-11,0.0,0.0,3.0529216281434574e-13,2.9415973574524553e-22,2.0995860239679856e-24,2.4445343773733173e-24,4.808522242860372e-30,9.646300827031048e-37,3.907019750433773e-23,4.3977204344057214e-17,2.449089172943435e-24,1.062066273574195e-24,1.952938559026185e-43,2.4931257905612107e-55,3.4557214486042447e-40,2.130488608382498e-39,2.67834480251873e-11,4.618671875016456e-44,1.642374472950572e-34,4.034193314184202e-50,5.7673359871213635e-53,1.889611947060472e-41,6.409611174837834e-54,4.412908060369989e-51,1.5800753230387811e-37,2.231859043402745e-59,1.8574358362434356e-60,3.128153108644434e-62,3.76,0.0,0.6851668097833933,0.9999999999996948,3.452476559647605e-25,7.642221206996284e-32,3.056885252543895e-13,2.6783492002497846e-11,1.2540406841435195e-29,2.4287843334364512e-28,5.907436072227039e-23,1.1613609138660845e-11,4.846847583497087e-22,6.468666059042872e-23,8.507512031299333e-25,9.704042931555303e-24,5.920218402134956e-19
5.795559225062762e-14,0.8351122447363436,7.95096836223003e-16,2.126535762777523e-17,9.289621929131438e-22,2.3227298221742466e-11,0.0,0.0,6.105863937729543e-13,1.1766448950668185e-21,1.6796741109766226e-23,1.9570533316548866e-23,3.8468732862297257e-29,7.71706416457981e-36,1.5628126828277168e-22,1.7590918746796318e-16,1.8640441975860163e-23,8.496556959423836e-24,6.249436249848603e-42,1.595974221468871e-53,1.1059835222351164e-38,6.818500598493013e-38,5.356698973090371e-11,1.4779851085611563e-42,2.4919117309922036e-33,2.5820509024685072e-48,3.508748538013867e-51,5.744118830663413e-40,3.6279307587814966e-52,2.685231712766608e-49,2.52815261774251e-36,2.717010443040034e-57,2.2593674345674193e-58,3.808200082782016e-60,3.76,0.0,0.6851668097446902,0.9999999999993895,2.761994323257205e-24,1.060145645543619e-30,6.113791238015344e-13,5.356716564078354e-11,1.003256939274494e-28,1.9430139979486933e-27,4.725821779780831e-22,2.3227295852189403e-11,1.9387488407521177e-21,2.5874745784185933e-22,3.403079694651807e-24,3.881571194555546e-23,2.3680993026221674e-18
1.1591138102017874e-13,0.8351122447481216,1.5949418436024107e-15,4.253312851403391e-17,3.77256705999244e-21,4.645467520103098e-11,0.0,0.0,1.2211748488958806e-12,4.706591288603347e-21,1.3437357950963233e-22,1.5679098609860306e-22,3.077560023453679e-28,6.173633986702189e-35,6.251241299222812e-22,7.036343422785157e-16,1.4531382786651047e-22,6.797227898862246e-23,1.9998117270238926e-40,1.0214251930132221e-51,3.539141495855707e-37,2.1819140039321334e-36,1.07133809270231e-10,4.729548684782234e-41,3.8783205392024803e-32,1.652504872710617e-46,2.187166976239903e-49,1.7897095205212706e-38,2.234469343449727e-50,1.6740311069417312e-47,4.045108334192835e-35,3.388212695982095e-55,2.816206898183515e-56,4.749124324004266e-58,3.76,0.0,0.6851668096672842,0.9999999999987789,2.20959671197176e-23,1.5661379873442695e-29,1.2227603215385726e-12,1.0713451290948329e-10,8.026374334799547e-28,1.5543758134267843e-26,3.780420467168642e-21,4.645466572275303e-11,7.755014656041571e-21,1.0349884588924795e-21,1.361281396289064e-23,1.5525798518404292e-22,9.472420475979924e-18
1.7386716978972986e-13,0.8351122447598994,2.3983476682444595e-15,6.380268442013065e-17,8.100001731994612e-21,6.968205217824051e-11,0.0,0.0,1.831763297224533e-12,1.0001513585629863e-20,3.8422351796134106e-22,4.486961818327647e-22,8.799990744296266e-28,1.7652689661966518e-34,1.3283860494237057e-21,1.4952179313664653e-15,4.1271182531271103e-22,1.943577618522777e-22,9.355549804961474e-40,5.466417601279473e-51,1.5646157622588312e-36,9.645998373895289e-36,1.6070036493880238e-10,2.212587387225208e-40,1.4185566535863171e-31,8.200535923560172e-46,1.0964722711495733e-48,8.330776271108755e-38,1.2240665511536086e-49,8.283265859245908e-47,1.4888787584003885e-34,1.746422115310417e-54,1.6766914593639807e-55,2.4479063463987724e-57,3.76,0.0,0.6851668095898781,0.9999999999981682,6.318061703021932e-23,5.667306951797645e-29,1.83414151996703e-12,1.607018601703114e-10,2.295091615721485e-27,4.4444810318776204e-26,1.0809240392861921e-20,6.968203203682372e-11,1.647941784037952e-20,2.199346238532227e-21,2.8927927737775353e-23,3.299157437057372e-22,2.012890735701546e-17
2.31822958559281e-13,0.8351122447716773,3.2053156363444546e-15,8.507404802112892e-17,1.3948480820680386e-20,9.290942915339887e-11,0.0,0.0,2.4423517387589295e-12,1.706141161474304e-20,8.104366680649929e-22,9.471415667054867e-22,1.8561901188491873e-27,3.7234539182549497e-34,2.2660653645774417e-21,2.5506572004682986e-15,8.672678788527486e-22,4.099557929502989e-22,3.0181571368881885e-39,2.0656477682233529e-50,5.346693661519503e-36,3.2962842191309445e-35,2.142666567379674e-10,7.137950230354048e-40,3.5845143022055614e-31,3.4691150551417034e-45,4.545253279507755e-48,2.6777210777091324e-37,4.726725128074656e-49,3.4881932536411365e-46,3.7761427230972533e-34,9.4729530694165e-54,7.496745406931392e-55,1.3278104819166816e-56,3.76,0.0,0.685166809512472,0.9999999999975576,1.3326610908448176e-22,1.4228961952143842e-28,2.445522719135579e-12,2.142692074232679e-10,4.841107665160033e-27,9.374575954116408e-26,2.2799048293711468e-20,9.290939479440202e-11,2.811195811243078e-20,3.751818168851164e-21,4.93487232222629e-23,5.62785537787308e-22,3.433755940486605e-17
3.477345360983832e-13,0.8351122447952333,4.8276158195622636e-15,1.2762108811093312e-16,2.933067728910766e-20,1.39364183098988e-10,0.0,0.0,3.663528605882072e-12,3.5323497124659824e-20,2.2135441507410037e-21,2.5901724169690814e-21,5.069907798884235e-27,1.0169861375680733e-33,4.6915821143400036e-21,5.280780321476671e-15,2.3596767061038263e-21,1.1197114885932063e-21,1.6613187681919598e-38,1.4924330265470627e-49,3.2875048419854205e-35,2.0267748451131537e-34,3.2139862105514244e-10,3.9290346269748966e-39,1.248517426875584e-30,3.124721659475642e-44,3.956000347654322e-47,1.4667477999289172e-36,3.7157173071123413e-48,3.122881032072711e-45,1.3205504991703714e-33,1.3064601825613257e-52,7.577673804436559e-54,1.831301114626501e-55,3.76,0.0,0.6851668093576598,0.9999999999963364,3.6399047416346154e-22,4.922754939176569e-28,3.668285119360611e-12,3.2140390191070656e-10,1.3222993871316307e-26,2.560431364788246e-25,6.226775138382909e-20,1.393641119626904e-10,5.820225747971302e-20,7.767634027339842e-21,1.0217397394424215e-22,1.1651345090224215e-21,7.109157598971813e-17
4.636461136374854e-13,0.8351122448187893,6.463026293399149e-15,1.7017496410194093e-16,5.061543788244566e-20,1.8581893703726545e-10,0.0,0.0,4.884705448020453e-12,6.007602646829893e-20,4.6314561059508355e-21,5.4255100858648866e-21,1.060808432666451e-26,2.1278663555154313e-33,7.97912142681999e-21,8.981172004235221e-15,4.926075723358328e-21,2.3428015254900544e-21,5.331582977122933e-38,5.719305197288378e-49,1.103617549442497e-34,6.803892910158249e-34,4.2852961504161035e-10,1.2609265598032924e-38,3.1124544716972676e-30,1.2325336532297091e-43,1.5494084458735415e-46,4.697238041854236e-36,1.4225169744253908e-47,1.2294179752455864e-44,3.2997265032406624e-33,5.994573379669605e-52,3.368012153201913e-53,8.402880476447775e-55,3.76,0.0,0.6851668092028477,0.9999999999951151,7.615886106269621e-22,1.222105139250035e-27,4.8910475227115516e-12,4.2853859636919856e-10,2.766771584449792e-26,5.357174105952711e-25,1.3027841390403492e-19,1.858188160524923e-10,9.898681178989007e-20,1.3210662211876255e-20,1.7377714744944007e-22,1.9815212425145914e-21,1.2090816630416865e-16
5.795576911765877e-13,0.8351122448423451,8.112492374484085e-15,2.1273631583412715e-16,7.847311657597056e-20,2.3227369096789503e-10,0.0,0.0,6.105882263389564e-12,9.178260163093817e-20,8.431353586008887e-21,9.888047368013993e-21,1.9311872297338528e-26,3.873682744411329e-33,1.2190245232014645e-20,1.3721118736563472e-14,8.953538627952144e-21,4.2649628109376074e-21,1.3931161837227336e-37,1.7389913068528427e-48,2.982488068221194e-34,1.838727415686946e-33,5.356595693970556e-10,3.2947446288131353e-38,6.592166510808576e-30,3.886072067717963e-43,4.854728159349307e-46,1.2254082176650497e-35,4.439622151462793e-47,3.8701412789228724e-44,7.000794774156626e-33,2.2096070962904627e-51,1.1707741994627943e-52,3.09736421582225e-54,3.76,0.0,0.6851668090480355,0.9999999999938939,1.3864406010277313e-21,2.5796042373912895e-27,6.113809929737022e-12,5.356732907966762e-10,5.036947735940896e-26,9.752335975199118e-25,2.371547270627169e-19,2.3227350612963384e-10,1.5122949451776577e-19,2.018282889575577e-20,2.6550154349493054e-22,3.027211095923091e-21,1.847203677136701e-16
