Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62)
1.3913334933641874e-19,0.7462814966354969,1.3516053529926268e-22,9.185997307860876e-25,1.1330917456755296e-33,3.0207458943592176e-18,0.0,0.0,1.876591287872191e-19,3.3283881402661015e-34,2.6755845834361555e-41,3.1922936164048317e-41,9.394063095511812e-48,1.3857137509478264e-55,1.7651807504312301e-35,1.0800974006691653e-28,3.013311828489897e-21,2.8372722924585965e-36,2.7048848390933117e-72,1.0251035709171897e-71,1.544906619451256e-49,1.502619272611453e-66,1.2352485428550706e-17,1.476765716525895e-66,4.9306989278935065e-37,2.1873508502056504e-78,1.7536454889480816e-53,6.474786226349414e-50,2.2517806963755912e-54,5.882852973158492e-55,1.776785398579263e-50,3.3039118559233064e-78,2.7784127325147986e-66,8.284041487230379e-82,3.76,0.0,0.7400132245121243,0.9999999999996556,4.400110012160055e-42,2.192345656642066e-34,1.8779428932201194e-19,1.2352485428658757e-17,1.4581407236273775e-46,3.686845090635621e-45,2.378894269924374e-34,3.0207458943586063e-18,1.5523463932945116e-33,3.594761859732732e-34,9.695515949723069e-37,1.1552250583143093e-35,5.75087157822168e-31,3.0133118284645026e-21,3.29661280316802e-34,1.36954877547565e-32,3.445318116219645e-13,1.4885507318585304e-51,8.3758499704868e-51,9.940477365771065e-51
2.7838757908060154e-19,0.7462814966354967,2.7043850053899136e-22,1.8379975515227844e-24,4.5353199947300746e-33,6.044116242145333e-18,0.0,0.0,3.7548129765148926e-19,1.3322226590888493e-33,2.1420945366875365e-40,2.5557759531670086e-40,7.520962469377207e-47,1.109413574025716e-54,7.065323195448853e-35,4.323204417670987e-28,6.029241651617481e-21,1.1356537499449866e-35,8.666317658271051e-71,1.6415013257210395e-70,1.2368646649241152e-48,2.4688806669983343e-65,2.4715702816423475e-17,2.3655793504703676e-65,1.9735645483679453e-36,7.0067702970474e-77,1.4039826826891758e-52,5.185080263985313e-49,1.8032508316037455e-53,4.711053582860794e-54,1.4225086804967899e-49,1.0585570559816954e-76,4.449080378352834e-65,2.6541660476907686e-80,3.76,0.0,0.7400132245121243,0.9999999999993108,3.5227634649561506e-41,8.775096044238933e-34,3.757517361500013e-19,2.4715702816855952e-17,1.1673991911670931e-45,2.9517178320013125e-44,9.521806592701462e-34,6.044116242142885e-18,6.21343110473237e-33,1.4388415658631215e-33,3.880733104924702e-36,4.623910836274983e-35,2.3018473516711282e-30,6.029241651515836e-21,1.3195042432573893e-33,5.481764249016612e-32,6.893629556688088e-13,1.1918428750563857e-50,6.705772851818937e-50,7.958466322245152e-50
5.568960385689671e-19,0.7462814966354969,5.409944344765365e-22,3.676793197695955e-24,1.8147188224753565e-32,1.2090856937717564e-17,0.0,0.0,7.511256353797649e-19,5.3306259367260266e-33,1.7143266555586398e-39,2.0453975292020814e-39,6.019055750235885e-46,8.878680326274209e-54,2.8270495790846306e-34,1.7298448904671348e-27,1.2061101297871312e-20,4.5441376191093156e-35,2.774932696270116e-69,2.627471144668728e-69,9.898676403608388e-48,4.151532326169503e-64,4.9442137591520104e-17,3.7871424667070634e-64,7.89682888022393e-36,2.243338825144462e-75,1.1236128451480164e-51,4.1501657511620654e-48,1.4433315320966776e-52,3.7707522814899973e-53,1.1384392738982314e-48,3.3894725348040464e-75,7.121426055402585e-64,8.498571640978176e-79,3.76,0.0,0.7400132245121243,0.9999999999986211,2.8192814116475793e-40,3.5111814268862716e-33,7.516666298061313e-19,4.944213759325059e-17,9.342741498298149e-45,2.3622713526539617e-43,3.8099868661169123e-33,1.2090856937707771e-17,2.4861817788528296e-32,5.7572404413235086e-33,1.552798731391444e-35,1.850166626491237e-34,9.210387701674662e-30,1.2061101297464602e-20,5.279735706092999e-33,2.1934197324653196e-31,1.3790252432655338e-12,9.538753985183992e-50,5.366656302834066e-49,6.369207874808571e-49
1.1139129575456983e-18,0.7462814966354969,1.0821063161839778e-21,7.354384508841413e-24,7.260057538302595e-32,2.4184338328862027e-17,0.0,0.0,1.5024143108352574e-18,2.132597484203802e-32,1.3717217905227103e-38,1.6366288134544479e-38,4.816159106327239e-45,7.104293242564626e-53,1.1310039179998373e-33,6.920505968781098e-27,2.4124820590373625e-20,1.8179856392168025e-34,8.882523307246936e-68,4.204809265375515e-68,7.920445077919639e-47,7.28213584859771e-63,9.889500713911776e-17,6.061235170835397e-63,3.159245762611392e-35,7.180637148824548e-74,8.990609921911034e-51,3.320973422646982e-47,1.1549576438079593e-51,3.0173657790383408e-52,9.109243879645105e-48,1.084965726848716e-73,1.1396600226588206e-62,2.72038168005037e-77,3.76,0.0,0.7400132245121241,0.9999999999972418,2.255853476655731e-39,1.404701205158071e-32,1.5034964171189953e-18,9.889500714604079e-17,7.475612694926228e-44,1.8901759933274564e-42,1.5242620060460886e-32,2.4184338328822856e-17,9.946346020395365e-32,2.3032710654654872e-32,6.212206051586107e-35,7.4018712597474116e-34,3.684754825073175e-29,2.412482058874652e-20,2.1122380775349587e-32,8.775107199010502e-31,2.75834981647113e-12,7.632607971375319e-49,4.294140425177629e-48,5.096340436398932e-48
2.2279467954991607e-18,0.7462814966354969,2.1643301349282656e-21,1.4709567206328807e-23,2.90425982657015e-31,4.8371301111150956e-17,0.0,0.0,3.004991661742008e-18,8.531084205270731e-32,1.0974816298807593e-37,1.3094274073187596e-37,3.853293127945218e-44,5.68397424380574e-52,4.524383870667784e-33,2.768427684678619e-26,4.825225917535687e-20,7.272811986653129e-34,2.8428457271786507e-66,6.728379262917878e-67,6.3369577086126e-46,1.3694765144156709e-61,1.978007462239306e-16,9.69953185894991e-62,1.2638011544166867e-34,2.2981654110913747e-72,7.193170874726151e-50,2.65711510852183e-46,9.240830965793757e-51,2.4141982440261013e-51,7.288087054413145e-47,3.4724256483983313e-72,1.823641542383862e-61,8.706563633762602e-76,3.76,0.0,0.740013224512124,0.9999999999944831,1.8048541384677469e-38,5.619262122002965e-32,3.0071559917471417e-18,1.9780074625162497e-16,5.981058023757042e-43,1.5122843739923401e-41,6.097697606362855e-32,4.837130111099426e-17,3.978862212593597e-31,9.213834092846262e-32,2.485084662766421e-34,2.96098947039128e-33,1.4740218874366644e-28,4.8252259168847924e-20,8.449639945434544e-32,3.510328553774036e-30,5.516998954930907e-12,6.106728406721748e-48,3.435638528367857e-47,4.077462046835149e-47
4.4560144714060855e-18,0.7462814966354969,4.328777993734475e-21,2.9419932902089655e-23,1.1617515703511108e-30,9.674522667572883e-17,0.0,0.0,6.0101463635385725e-18,3.412572540733849e-31,8.780269849582445e-37,1.0475917147135984e-36,3.0827808494818354e-43,4.547395265657507e-51,1.8098271903956424e-32,1.1074161347007778e-25,9.650713634523781e-20,2.9094652484283964e-33,9.09780761926733e-65,1.0765954424297483e-65,5.06980683824493e-45,2.844742353715322e-60,3.956122243520264e-16,1.5520846176722468e-60,5.0554103232837894e-34,7.355021455268472e-71,5.7548098891752106e-49,2.12582664423612e-45,7.393132727319737e-50,1.9314808541152152e-50,5.830746440827879e-46,1.1112618662858332e-70,2.917974881884648e-60,2.7863151456748777e-74,3.76,0.0,0.7400132245121238,0.9999999999889658,1.4439518571374672e-37,2.247796312330184e-31,6.0144751410131074e-18,3.9561222446280843e-16,4.785073592089167e-42,1.2098849332111003e-40,2.439300984628666e-31,9.674522667510202e-17,1.5916096485341634e-30,3.6856836084467988e-31,9.940743169939071e-34,1.184443982031617e-32,5.896327472977813e-28,9.650713631920098e-20,3.379993507033972e-31,1.4041885583750207e-29,1.10342972000448e-11,4.88563962203251e-47,2.748641305300858e-46,3.262125527006952e-46
8.912149823219936e-18,0.7462814966354969,8.657674596617491e-21,5.88406654967567e-23,4.6471037688545004e-30,1.9349307780488466e-16,0.0,0.0,1.2020455767063952e-17,1.365056788505359e-30,7.024382605812103e-36,8.380933575742522e-36,2.4662832234489132e-42,3.638002561768048e-50,7.239456046644045e-32,4.429754660399689e-25,1.930168906846575e-19,1.163987441422467e-32,2.91141064859856e-63,1.7225965235763698e-64,4.0559417416929083e-44,6.642810433902234e-59,7.912351804420983e-16,2.4835752134633926e-59,2.022205270808215e-33,2.3539503558903856e-69,4.603957189895483e-48,1.7007151416692123e-44,5.9146933694256565e-49,1.5452335933246747e-49,4.6647078781143874e-45,3.5561750281962e-69,4.668878545711301e-59,8.916552146808695e-73,3.76,0.0,0.7400132245121234,0.9999999999779312,1.1551889047395099e-36,8.991368179621645e-31,1.202911343958373e-17,7.912351808852359e-16,3.828149767451259e-41,9.679309195373498e-40,9.758384003121928e-31,1.934930778023774e-16,6.366568125865908e-30,1.4743034379916933e-30,3.976378189356464e-33,4.737872308477799e-32,2.358578974590702e-27,1.9301689058050807e-19,1.3520249065987753e-30,5.616868509241865e-29,2.206889356304994e-11,3.908614571714041e-46,2.1989652392329096e-45,2.6097627824450398e-45
1.7824420526847635e-17,0.746281496635497,1.7315471343466458e-20,1.1768213549868171e-22,1.8588627702567847e-29,3.869887800631966e-16,0.0,0.0,2.4041074573843706e-17,5.4602826988778844e-30,5.619572771965504e-35,6.704827920529531e-35,1.9730500021371026e-41,2.910436587478018e-49,2.895811874478012e-31,1.7719198873064394e-24,3.8603639936212813e-19,4.657418457221554e-32,9.31669360679444e-62,2.756189510126846e-63,3.244791902282047e-43,1.7320222720120693e-57,1.582481091957764e-15,3.974271260133988e-58,8.088903364065647e-33,7.534475492081887e-68,3.6832094637292717e-47,1.360593646848395e-43,4.731829571684307e-48,1.2362064469429406e-48,3.731810598986065e-44,1.137997935751649e-67,7.470300661543594e-58,2.8533516849951837e-71,3.76,0.0,0.7400132245121224,0.999999999955862,9.241620911531131e-36,3.59658385822357e-30,2.4058390036879744e-17,1.5824810937303327e-15,3.06255620735043e-40,7.743539229368837e-39,3.904178556038041e-30,3.869887800531673e-16,2.5466531588667267e-29,5.89727374026541e-30,1.5905674730955404e-32,1.8951681923410813e-31,9.434411869208972e-27,3.8603639894552613e-19,5.4081546146429024e-30,2.2467702590298194e-28,4.413808578016966e-11,3.126932987635119e-45,1.7591930705512814e-44,2.0878351759901443e-44
3.5648961934103036e-17,0.7462814966354975,3.463107900150056e-20,2.3536509475297014e-22,7.435507727078663e-29,7.739801845798216e-16,0.0,0.0,4.80823121863192e-17,2.1841241885226038e-29,4.495684886223876e-34,5.363896545665617e-34,1.5784493799553224e-40,2.3283630819490202e-48,1.1583306398182198e-30,7.087715585013797e-24,7.720754167115948e-19,1.8641139268406615e-31,2.981370673404047e-60,4.409931336129743e-62,2.5958489254592037e-42,4.912573032059552e-56,3.164972912331183e-15,6.360423733962657e-57,3.2355777995548376e-32,2.4121479046967594e-66,2.9465850555167114e-46,1.0884835352254287e-42,3.785493607990754e-47,9.889729992820659e-48,2.98546620706077e-43,3.6416284599871716e-66,1.1952557047127391e-56,9.130813440056468e-70,3.76,0.0,0.7400132245121204,0.9999999999117236,7.393340592615829e-35,1.438640860588235e-29,4.8116943232090797e-17,3.1649729194214945e-15,2.450059579960645e-39,6.194868100919135e-38,1.5623075666027045e-29,7.73980184539704e-16,1.0186664468289604e-28,2.3589214926502594e-29,6.362302390694237e-32,7.580711249100605e-31,3.7737839412924554e-26,7.720754150451776e-19,2.163272827705882e-29,8.98712674683911e-28,8.827646817884695e-11,2.501563210408949e-44,1.4073628095856528e-43,1.670278129455075e-43
7.129804474861383e-17,0.7462814966354979,6.926235097494873e-20,4.707310902639002e-22,2.9742257164211332e-28,1.5479629936130759e-15,0.0,0.0,9.616478740693414e-17,8.736518971688525e-29,3.596558566150596e-33,4.291133776360071e-33,1.2627632694060988e-39,1.8626959850026093e-47,4.633334330046859e-30,2.835093432646747e-23,1.54415345138863e-18,7.465571240091635e-31,9.540432056666763e-59,7.055912831547438e-61,2.0766853017768021e-41,1.6884863546487757e-54,6.329956542446371e-15,1.0181626491998301e-55,1.2942344087659985e-31,7.73067536874063e-65,2.3572750377562946e-45,8.707902821334464e-42,3.0284068666272905e-46,7.911815565362544e-47,2.388380071470365e-42,1.165326706455094e-64,1.9124152058059102e-55,2.9218744207167108e-68,3.76,0.0,0.7400132245121164,0.9999999998234468,5.914690009350856e-34,5.754578076913197e-29,9.623404962498912e-17,6.329956570807691e-15,1.960053600224008e-38,4.95590911647505e-37,6.254271780099312e-29,1.5479629934526052e-15,4.074676166344549e-28,9.435709954390397e-29,2.544927538724227e-31,3.0322921489364692e-30,1.5095174147306663e-25,1.5441534447229427e-18,8.653113147771492e-29,3.594859840780157e-27,1.7655322483395372e-10,2.00125775739786e-43,1.125893591214157e-42,1.3362265127745512e-42
1.4259621037763544e-16,0.7462814966354989,1.3852512155164756e-19,9.414633892999673e-22,1.1897038487779935e-27,3.0959286116796017e-15,0.0,0.0,1.9232973783081992e-16,3.4946120318845907e-28,2.8772510992766564e-32,3.432918206768181e-32,1.0102121443138412e-38,1.490158987204419e-46,1.8533360787311434e-29,1.134038805962609e-22,3.0883095206551187e-18,2.993509558339764e-30,3.0529455757011355e-57,1.128947931817831e-59,1.6613507058860698e-40,5.263624231805944e-53,1.2659923760150143e-14,1.6306326779671373e-54,5.176944198167646e-31,2.4797967879944577e-63,1.885822826756895e-44,6.966336182366704e-41,2.422730285295522e-45,6.3294654072775814e-46,1.9107069229486527e-41,3.7290543474415716e-63,3.059869189188918e-54,9.350020943917485e-67,3.76,0.0,0.7400132245121084,0.9999999996468931,4.7317590053448665e-33,2.3018341576246534e-28,1.9246826242069055e-16,1.2659923873595569e-14,1.5680453996516123e-37,3.9647330654394096e-36,2.505732394561561e-28,3.095928611037718e-15,1.629872552298752e-27,3.774288771037587e-28,1.0179723981962038e-30,1.2129183521009997e-29,6.038077331225517e-25,3.088309493992322e-18,3.461249525064333e-28,1.4379457646271605e-26,3.531067055751819e-10,1.6010098190347008e-42,9.007162140344229e-42,1.068982835877607e-41
