Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156)
1.0158070000000003e-09,0.5216513331328373,1.5044954531558246e-15,3.708077412228741e-16,6.119595756237899e-16,4.260430899741488e-16,0.0,0.0,1.13797408647223e-12,3.8287476769732856e-19,7.331198886392591e-16,8.529501063482385e-16,1.3453379768650973e-24,2.656758786312445e-38,4.378598111276866e-22,5.294082612962681e-13,2.861148219527791e-17,3.708478853624138e-16,1.5501975475142718e-32,1.0718121867469148e-47,2.230917175650753e-28,1.178946809461665e-27,7.83014516524008e-12,2.103407506942534e-30,6.995736178010435e-25,1.3934159976609325e-32,1.433707859804588e-40,2.2252729551132948e-30,1.482075690421745e-36,4.648742262613645e-38,9.347004492673968e-30,1.4388460682480908e-39,1.240952356727405e-43,2.3581312310721177e-43,3.76,0.0,0.552990059613821,0.9999999999988601,1.214413471102825e-16,4.4860873052476756e-32,1.138042747178426e-12,8.361538956361677e-12,2.287605180635777e-23
1.2779510000000004e-09,0.5216513331330493,2.9100778719125425e-15,7.237487965106968e-16,1.1942023294943657e-15,8.317964549451016e-16,0.0,0.0,1.4316452815188197e-12,6.057602197517473e-19,1.4309807596133912e-15,1.6648780233450865e-15,2.8646761684051387e-24,9.431207819066088e-38,6.837816514300798e-22,8.27764688933473e-13,5.584692784689052e-17,7.238600416027698e-16,4.538739003792038e-32,3.8637895351935477e-47,6.592019982221552e-28,3.4788222371493676e-27,9.68771845723879e-12,6.1669980464336745e-30,1.6748906506204436e-24,5.021256750605763e-32,5.160358909468589e-40,6.890815114225361e-30,6.477893661584535e-36,2.03185593694596e-37,2.2398296142130145e-29,6.27698370333606e-39,5.3065633640531244e-43,1.1044162541645751e-42,3.76,0.0,0.5529900596113695,0.9999999999985647,2.3744701624809065e-16,1.3318394722912865e-31,1.431753388860003e-12,1.0519358712657654e-11,4.465189186317785e-23
1.5400950000000006e-09,0.5216513331332614,4.9980148078768756e-15,1.2492841987322986e-15,2.060937644248315e-15,1.4362004479237775e-15,0.0,0.0,1.725316592066758e-12,8.795902451875722e-19,2.4701587420765546e-15,2.8739121586047415e-15,5.359863896538508e-24,2.6711043142487223e-37,9.798853658716537e-22,1.1877045559825239e-12,9.6402988685236e-17,1.249527090218376e-15,1.0920372941528604e-31,1.1337510999768363e-46,1.5981379073774139e-27,8.4222489883982e-27,1.148278391097961e-11,1.4858198874993925e-29,3.429080307474674e-24,1.4367409583888802e-31,1.4747989298907017e-39,1.749140352698518e-29,2.1895173115249372e-35,6.867545881269267e-37,4.589527051851443e-29,2.117631076062906e-38,1.761789397699344e-42,3.992949018860361e-42,3.76,0.0,0.552990059608918,0.999999999998268,4.105850555783331e-16,3.2499029166219994e-31,1.7254791349118643e-12,1.267717846900749e-11,7.707808808274727e-23
1.8881901970141203e-09,0.521651333133543,9.040501204832909e-15,2.2684316151031283e-15,3.741153859929829e-15,2.6088866207904626e-15,0.0,0.0,2.115276535789065e-12,1.3219420002806625e-18,4.485516597886655e-15,5.218685126737497e-15,1.0796668943161027e-23,8.84952415224457e-37,1.447037909003809e-21,1.756886394521067e-12,1.7505652579729182e-16,2.268993677729233e-15,2.9336312288714234e-31,4.201910202430827e-46,4.32417529767608e-27,2.2735787036441863e-26,1.3773464763805633e-11,4.000378292108764e-29,7.606736987243917e-24,4.819372052388829e-31,4.9376709473042184e-39,5.081695779059304e-29,9.187135108026564e-35,2.8815090985023838e-36,1.0191962593366034e-28,8.847797897668651e-38,7.320312427854546e-42,1.8670044810361018e-41,3.76,0.0,0.5529900596056625,0.9999999999978727,7.473801593103369e-16,8.926155026108233e-31,2.115540019924297e-12,1.554249941186031e-11,1.3996470653113686e-22
2.23628539402824e-09,0.5216513331338247,1.4786252739869228e-14,3.718606507344613e-15,6.131019763308002e-15,4.278479180324687e-15,0.0,0.0,2.5052370682690067e-12,1.854122949269358e-18,7.353426390667493e-15,8.55536170629354e-15,1.9482766168302695e-23,2.3933250026074097e-36,1.994310828620003e-21,2.4254521236642575e-12,2.8698275166060267e-16,3.719722762652388e-15,6.672570956978496e-31,1.3490217581664147e-45,9.891768693841641e-27,5.186827333852176e-26,1.596245273540761e-11,9.12052275625051e-29,1.4784513711093565e-23,1.3185880968407099e-30,1.348388248429883e-38,1.2445713659894753e-28,3.0157356535167017e-34,9.458276566285602e-36,1.982716390799002e-28,2.8851914643912715e-37,2.442161532543456e-41,6.77872860447841e-41,3.76,0.0,0.5529900596024071,0.9999999999974752,1.2282624248687932e-15,2.076814852079696e-30,2.505640936787076e-12,1.8407820354941297e-11,2.2945409838118866e-22
2.5843805910423597e-09,0.5216513331341066,2.2503287048799744e-14,5.6677570617277515e-15,9.341905021223385e-15,6.523802343537396e-15,0.0,0.0,2.8951984531472053e-12,2.476133376196227e-18,1.1208386877912859e-14,1.3040424801654617e-14,3.242296680961018e-23,5.512130895792248e-36,2.6172037660725474e-21,3.1884398233217988e-12,4.3743081076982825e-16,5.669750411933576e-15,1.3368735033992048e-30,3.656246070957725e-45,1.989865057626681e-26,1.040806061773607e-25,1.8054345479091908e-11,1.8313847473338657e-28,2.607572058763786e-23,3.064137828507137e-30,3.127980918070808e-38,2.6620171321806567e-28,8.084933744403361e-34,2.535599074570068e-35,3.4997026868408596e-28,7.699567834883005e-37,6.563422425191217e-41,1.9698751342051933e-40,3.76,0.0,0.5529900595991517,0.999999999997075,1.8768006283644006e-15,4.2514291642827625e-30,2.8957896082556207e-12,2.1273141298341666e-11,3.4974312227788794e-22
2.9324757880564794e-09,0.5216513331343886,3.2443648281717866e-14,8.179823279580903e-15,1.3478441581647824e-14,9.41919617438094e-15,0.0,0.0,3.2851609896237085e-12,3.1879732431714997e-18,1.617699673633934e-14,1.8821165949110028e-14,5.07279117094104e-23,1.1334289137610992e-35,3.311468296254011e-21,4.041156611543418e-12,6.313415406154394e-16,8.183116448460177e-15,2.4398087009499543e-30,8.904211948226816e-45,3.6437085148695836e-26,1.9012331742413138e-25,2.0053493006036798e-11,3.3495322056312972e-28,4.274335206438954e-23,6.350866966345933e-30,6.47227028398329e-38,5.160919447039661e-28,1.8952933155063763e-33,5.943841879612211e-35,5.740634858946259e-28,1.797477685492993e-36,1.5383160859153817e-40,4.968530470085102e-40,3.76,0.0,0.5529900595958961,0.9999999999966718,2.7154605740350776e-15,7.925286779221619e-30,3.2859937817802048e-12,2.413846224216492e-11,5.047821251288156e-22
3.280570985070599e-09,0.5216513331346707,4.484821745353338e-14,1.1315954386775412e-14,1.8640527655619752e-14,1.3035920403684876e-14,0.0,0.0,3.6751250145713744e-12,3.989642793639551e-18,2.238036261528003e-14,2.6038486972397037e-14,7.562363341954279e-23,2.1392058046470652e-35,4.073028930774453e-21,4.9790917947718746e-12,8.734414512174215e-16,1.1321082562337168e-14,4.145655002139143e-30,1.9989776806681312e-44,6.209318254150365e-26,3.232292729793647e-25,2.1964078013240518e-11,5.703544689793879e-28,6.620903070058118e-23,1.2073809152700747e-29,1.2284139507533504e-37,9.28095820242712e-28,4.019162536595691e-33,1.2604169323829256e-34,8.897510069122682e-28,3.7973209752347294e-36,3.253599859438621e-40,1.127610257505185e-39,3.76,0.0,0.5529900595926406,0.9999999999962652,3.766012688761184e-15,1.3754159354358183e-29,3.676261343343657e-12,2.700378318652761e-11,6.983500822756649e-22
3.628666182084719e-09,0.521651333134953,5.994763055789081e-14,1.5134730920059655e-14,2.4923735201447584e-14,1.7442369517605374e-14,0.0,0.0,4.065090890258242e-12,4.8811422090173155e-18,2.993453008561219e-14,3.482740137127761e-14,1.0841211690384132e-22,3.7625306928016417e-35,4.897971582381407e-21,5.997906086599408e-12,1.1682595406056668e-15,1.5142350304911674e-14,6.649901283620681e-30,4.1501665348917654e-44,9.986098811193341e-26,5.186587256345395e-25,2.3790125497613556e-11,9.167690185648572e-28,9.80011569292578e-23,2.1375015290476975e-29,2.171295377016944e-37,1.5688239297657236e-27,7.821826341662301e-33,2.452880970303314e-34,1.3176786741749433e-27,7.366313854960656e-36,6.307261785270125e-40,2.3303415741737354e-39,3.76,0.0,0.5529900595893847,0.999999999995855,5.0495350107656626e-15,2.2522062078757435e-29,4.0666002190759495e-12,2.9869104131555065e-11,9.340680446946883e-22
4.324856576112958e-09,0.5216513331355185,9.907537052516229e-14,2.5034967287747365e-14,4.120274443971821e-14,2.8876275705549e-14,0.0,0.0,4.845029864282175e-12,6.933632215674255e-18,4.9520902164045634e-14,5.761521329724822e-14,2.035414300998359e-22,1.006461234030901e-34,6.723573870272429e-21,8.262110059721037e-12,1.9326618184298522e-15,2.505009646612628e-14,1.5073048710440907e-29,1.5948765469612013e-43,2.2746464728736554e-25,1.1758968241871921e-24,2.7203517082046644e-11,2.086826551877925e-27,1.9360814557970566e-22,5.79556844359144e-29,5.8672305467686736e-37,3.9351966867490774e-27,2.5346272864798465e-32,7.948004576647537e-34,2.605333561951785e-27,2.3691258354878964e-35,2.0302918920014474e-39,8.530788014919158e-39,3.76,0.0,0.5529900595828733,0.9999999999950229,8.394680701089538e-15,5.330611484577258e-29,4.8475241834843e-12,3.559974602418231e-11,1.5452352891815012e-21
4.931952916811475e-09,0.5216513331360123,1.4393024576097718e-13,3.6389660785230954e-14,5.985890804271593e-14,4.2004133808499463e-14,0.0,0.0,5.525167377885503e-12,9.016748296086369e-18,7.198764427795898e-14,8.375419869949981e-14,3.2681032470029226e-22,2.092156700069332e-34,8.489306724551332e-21,1.0463619771881996e-11,2.8094781413718658e-15,3.641487520538537e-14,2.767613755707615e-29,4.448691291436815e-43,4.193485772569905e-25,2.1589350332326296e-24,2.993843055452849e-11,3.845923462978062e-27,3.2172334370955126e-22,1.2187045946000117e-28,1.230147313976421e-36,7.842127326865667e-27,6.089476481755707e-32,1.9094260385971914e-33,4.331559761314419e-27,5.654889260701017e-35,4.8574570424512884e-39,2.2490301272631908e-38,3.76,0.0,0.5529900595771948,0.9999999999942827,1.2255900773999896e-14,1.0168978818233211e-28,5.5288204180377025e-12,4.0597016534124e-11,2.2462807311016317e-21
5.539049257509991e-09,0.5216513331365069,1.997904799108969e-13,5.053590382793433e-14,8.308460628087611e-14,5.837630223531069e-14,0.0,0.0,6.205317179525787e-12,1.1373109311008945e-17,9.998128372475984e-14,1.1632346615671008e-13,4.971605232038129e-22,3.977605794314508e-34,1.0399537757615797e-20,1.285715524167733e-11,3.9019956805121355e-15,5.057542978840935e-14,4.715748541782718e-29,1.1180733307840932e-42,7.173404656748437e-25,3.677674524062269e-24,3.246634961683554e-11,6.57753819687614e-27,5.0322525133747955e-22,2.3438705930497533e-28,2.3588909313122004e-36,1.4428620686772785e-26,1.319034586929251e-31,4.135777820762253e-33,6.777408752463804e-27,1.2167055001244474e-34,1.048985691847543e-38,5.307585980798771e-38,3.76,0.0,0.5529900595715158,0.9999999999935277,1.7095606618064075e-14,1.8010577894766973e-28,6.210451315158261e-12,4.5594287048391785e-11,3.1197858096755106e-21
