Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181)
1.1161529542415573e-19,0.7903117798533074,3.0559915351621375e-22,2.737099335587543e-24,1.4199783534449702e-33,7.426716653679755e-18,0.0,0.0,3.357853646094108e-19,7.442108254254357e-34,3.3200122824437587e-41,4.00830230230782e-41,2.1158329271980932e-47,7.49332787125657e-55,4.90009944482149e-35,1.748867298919935e-28,8.279772066429291e-21,7.37830120997633e-36,7.071511549993629e-72,1.4608947929157695e-70,7.431080912132466e-49,1.0655187106639113e-65,2.6322999308424673e-17,2.145081304673215e-50,1.4243414422805085e-36,3.226891746835007e-68,1.3497138863225771e-52,2.855469529577291e-49,1.059661259880375e-53,3.818688455208251e-54,4.651580489605218e-50,8.699281282357868e-78,1.6825831643378287e-65,3.131176754606099e-81,3.76,0.0,0.8457391505108672,0.9999999999996464,5.459888300805366e-42,6.99856887890636e-34,3.3609096376189957e-19,2.6322999308599665e-17,1.8542911086462462e-46,4.332614311177362e-45,4.023466626744232e-34,7.426716653678462e-18,2.15688154422216e-33,4.1311230662915e-34,1.9211498665103128e-36,2.262708783328718e-35,1.2012132570935716e-30,8.279772066368035e-21,5.786868277872082e-34,3.582873272348303e-32,3.5363994804910116e-13,7.448802811072528e-51,3.5291231604480967e-50,4.7835759644875745e-50,1.1282294952965281e-62,7.267210736107259e-67,3.128970160688956e-75
2.2332756330306746e-19,0.7903117798533075,6.114638169575442e-22,5.47657669248671e-24,5.6836140956351645e-33,1.485988571105515e-17,0.0,0.0,6.718624628108478e-19,2.9787827710854108e-33,2.658028535524177e-40,3.209079070015917e-40,1.6939528588277272e-46,5.999218561076837e-54,1.96131678068239e-34,7.000026875311178e-28,1.6566737679396198e-20,2.9532500483011615e-35,2.265677434061004e-70,2.3393350753016027e-69,5.949383145030212e-48,1.72076692299314e-64,5.266886829443881e-17,1.7173693449931433e-49,5.7010777100075e-36,5.1690353743489354e-67,1.0805917928821622e-51,2.286691511424259e-48,8.48588431001807e-53,3.058047856985913e-53,3.7240927518827536e-49,2.7872067482748176e-76,2.6943253080594832e-64,1.0032135937614996e-79,3.76,0.0,0.8457391505108672,0.9999999999992925,4.3712304864484387e-41,2.801251431249597e-33,6.72473926623693e-19,5.266886829513921e-17,1.4845603755080842e-45,3.4687258637705577e-44,1.6104389182258604e-33,1.4859885711049972e-17,8.633147172571832e-33,1.6535258282502837e-33,7.689606127919893e-36,9.05673192200207e-35,4.807983480459747e-30,1.6566737679151018e-20,2.3162554123878407e-33,1.4340830326612742e-31,7.075871417918141e-13,5.964034180305783e-50,2.8254443863415514e-49,3.829788309668907e-49,1.807267965294539e-61,1.1637005657004507e-65,1.0025066116744562e-73
4.467520990608909e-19,0.7903117798533075,1.2231931510639136e-21,1.0955531414613829e-23,2.27418605247642e-32,2.9726223825805946e-17,0.0,0.0,1.344016659213233e-18,1.1919011128575233e-32,2.1272306575045795e-39,2.5682385746937497e-39,1.3556771140279636e-45,4.801198133743096e-53,7.847821856014988e-34,2.8009225457812763e-27,3.314066890532576e-20,1.181690078522489e-34,7.254641058579074e-69,3.744459606285823e-68,4.761314655015374e-47,2.80008955012191e-63,1.053606062654164e-16,1.3744174195799014e-48,2.2811736837314322e-35,8.275266803223959e-66,8.648018482097451e-51,1.8302800170558574e-47,6.792146820462116e-52,2.447677728404241e-52,2.980406029516585e-48,8.92456442033669e-75,4.312675164054507e-63,3.212264208157059e-78,3.76,0.0,0.8457391505108671,0.9999999999985846,3.4983128953009717e-40,1.1208654523957438e-32,1.3452398523478421e-18,1.0536060626821892e-16,1.1880994889528987e-44,2.776034907370959e-43,6.443883151345528e-33,2.9726223825785214e-17,3.45438338864815e-32,6.616257130066968e-33,3.0768440694169196e-35,3.6238724622962893e-34,1.9238196610277452e-29,3.3140668904344714e-20,9.268038710676376e-33,5.738200110297315e-31,1.4154815288738447e-12,4.773225019409225e-49,2.2612142193299185e-48,3.065002165604851e-48,2.893310463712735e-60,1.8626787609223772e-64,3.2100004678919696e-72
8.936011705765378e-19,0.7903117798533075,2.4466518481714878e-21,2.1913440892183233e-23,9.09822578466906e-32,5.945890005530752e-17,0.0,0.0,2.68832505201605e-18,4.768380570820324e-32,1.702107726636731e-38,2.054981087456272e-38,1.0847476661520044e-44,3.8416879766797e-52,3.139639761773623e-33,1.120551403381282e-26,6.628853135716784e-20,4.727572836020086e-34,2.3222011249643542e-67,5.992354464883714e-67,3.809775134178489e-46,4.626792341832229e-62,2.107440822031688e-16,1.099742757695425e-47,9.12618014576483e-35,1.324427691675532e-64,6.919728722021923e-50,1.4645948274976865e-46,5.435093541372556e-51,1.9586380813380077e-51,2.3847776518097044e-47,2.856741390048752e-73,6.901684349393387e-62,1.0282415765749436e-76,3.76,0.0,0.845739150510867,0.9999999999971688,2.7991818322190038e-39,4.4841916733324154e-32,2.6907717037983907e-18,2.1074408221438064e-16,9.50660105561291e-44,2.221249702261547e-42,2.5779966925766227e-32,5.945890005522461e-17,1.3819782914970914e-31,2.646933676765064e-32,1.2309379803542222e-34,1.4497849569478463e-33,7.696531360192654e-29,6.628853135324305e-20,3.707818981695306e-32,2.2956536932692995e-30,2.8312703014243263e-12,3.819379271076306e-48,1.8093149330072179e-47,2.452470440219671e-47,4.630642555960949e-59,2.98089245172642e-63,1.027516955157917e-70
1.7872993136078317e-18,0.7903117798533075,4.893569357965976e-21,4.3829259980582687e-23,3.639587078226073e-31,1.1892425251431067e-16,0.0,0.0,5.376941837613868e-18,1.9075074632580361e-31,1.361815475279141e-37,1.6441410046862444e-37,8.678805319077593e-44,3.073642200177331e-51,1.2559581158002344e-32,4.48257040931495e-26,1.3258425626078392e-19,1.8912174848956147e-33,7.432189387698247e-66,9.58874254851512e-66,3.048109502320858e-45,7.869495202516768e-61,4.2151103406186253e-16,8.79877743857952e-47,3.6507691614766994e-34,2.1193925540099026e-63,5.5363086082706085e-49,1.1718242058694754e-45,4.348625334302226e-50,1.5671088493676025e-50,1.908003272455672e-46,9.142981945719355e-72,1.1043818368408178e-60,3.2908803870237927e-75,3.76,0.0,0.8457391505108668,0.9999999999943372,2.239558094803642e-38,1.793822652477926e-31,5.38183540670849e-18,4.215110341067135e-16,7.606002985785911e-43,1.777168489902177e-41,1.0313016706824406e-31,1.18924252513979e-16,5.5283630707033375e-31,1.0588596417584035e-31,4.924152658332174e-34,5.799611803215775e-33,3.078863105106575e-28,1.3258425624508347e-19,1.4832483001510927e-31,9.183362124590668e-30,5.66284784007097e-12,3.055823164119473e-47,1.4475893841567382e-46,1.962163855485004e-46,7.410104910093128e-58,4.769913125608992e-62,3.288561233820263e-69
3.57469559967042e-18,0.7903117798533075,9.787404839872322e-21,8.76608986904244e-23,1.4558945289218176e-30,2.37854957432317e-16,0.0,0.0,1.0754175408778242e-17,7.630340333923891e-31,1.0895041004213782e-36,1.3153753041176395e-36,6.9433738722060374e-43,2.459030493568123e-50,5.024036892169417e-32,1.7931011252210674e-25,2.651757060677436e-19,7.565453332650667e-33,2.3784839464921272e-64,1.5342768473296252e-64,2.4386033660266493e-44,1.408228020423107e-59,8.430449377120058e-16,7.039356118961247e-46,1.460367087216906e-33,3.3912753264102666e-62,4.429257150052983e-48,9.375187062181082e-45,3.479120481359168e-49,1.2537664390683302e-49,1.5264750828430824e-45,2.9259797614529163e-70,1.7671008172459578e-59,1.0531629065317623e-73,3.76,0.0,0.8457391505108662,0.9999999999886741,1.7917315318744605e-37,7.175582586591169e-31,1.0763962812564695e-17,8.430449378914166e-16,6.08509127106958e-42,1.4218022860003195e-40,4.125527086149945e-31,2.378549574309903e-16,2.2114352129085478e-30,4.2356109150207824e-31,1.9697412161321324e-33,2.319939117936153e-32,1.2315953560088755e-27,2.6517570600493923e-19,5.933234619282675e-31,3.6734943254544683e-29,1.1326002891546979e-11,2.44478645191397e-46,1.158126485445438e-45,1.5698060899105868e-45,1.185702936067968e-56,7.632249171359362e-61,1.0524207157291681e-67
7.149488171795595e-18,0.7903117798533077,1.957507765295458e-20,1.753241782422804e-22,5.823700254262718e-30,4.757163672683297e-16,0.0,0.0,2.1508642550981937e-17,3.0521982308351573e-30,8.71623968725339e-36,1.052325313140822e-35,5.554830953495501e-42,1.9672710889250746e-49,2.0096556429958703e-31,7.172550424386717e-25,5.303586056805734e-19,3.026463357676309e-32,7.611441987129418e-63,2.454905396777682e-63,1.9509289997193376e-43,2.7301433419429256e-58,1.6861127447433141e-15,5.631618565087393e-45,5.841587195246374e-33,5.426240312575591e-61,3.5434898275755443e-47,7.500387028709937e-44,2.783384473333388e-48,1.0030448976715188e-48,1.221209053968195e-44,9.363496105656244e-69,2.8274332123140637e-58,3.3702512024039956e-72,3.76,0.0,0.8457391505108651,0.9999999999773478,1.4334192486246183e-36,2.8702914310068927e-30,2.152821762442113e-17,1.6861127454609722e-15,4.86818858970885e-41,1.1374688259311707e-39,1.6503664438530408e-30,4.757163672630225e-16,8.845920827935138e-30,1.6942788360161392e-30,7.879125193480614e-33,9.279945254036399e-32,4.9264816535605324e-27,5.303586054293505e-19,2.373342128417444e-30,1.4694276258323651e-28,2.265231289122988e-11,1.9558803544530983e-45,9.265231803250004e-45,1.2558748752267053e-44,1.8971936137049805e-55,1.2211909168699338e-59,3.3678760710665213e-66
1.4299073316045946e-17,0.7903117798533081,3.9150430676198063e-20,3.506507458746944e-22,2.3295067225938207e-29,9.514391869403547e-16,0.0,0.0,4.30175768348891e-17,1.2208917118831549e-29,6.973074500565336e-35,8.418703890363482e-35,4.443917514484445e-41,1.5738355481427196e-48,8.038704341819832e-31,2.8690493530465276e-24,1.060724404901874e-18,1.2107740240282875e-31,2.435708372369371e-61,3.9278986123073645e-62,1.5607617227715433e-42,5.89442487852949e-57,3.3722483577300206e-15,4.505348319326918e-44,2.3366586467943072e-32,8.682150704427061e-60,2.8348255053830273e-46,6.000404585012064e-43,2.2267428144880583e-47,8.0244861948711e-48,9.769788399560862e-44,2.9963764879750284e-67,4.52395066386254e-57,1.0785011715600994e-70,3.76,0.0,0.8457391505108629,0.9999999999546951,1.1467490080176397e-35,1.148128251776757e-29,4.305672724871008e-17,3.372248360600682e-15,3.894597128391447e-40,9.099858577871271e-39,6.602509219676257e-30,9.514391869191257e-16,3.538404329828737e-29,6.777184283067817e-30,3.151682159867901e-32,3.7120158469138363e-31,1.970612707354231e-26,1.0607244038969721e-18,9.493465044811046e-30,5.877770295120651e-28,4.530493247751923e-11,1.5647247981966572e-44,7.41227341378305e-44,1.0047119021175845e-43,3.0355648928511625e-54,1.9539302904739722e-58,1.0777410961792489e-64
2.8598243604546647e-17,0.7903117798533086,7.830116631100634e-20,7.013039152544236e-22,9.318097676065377e-29,1.9028848262844058e-15,0.0,0.0,8.603544540070258e-17,4.883591686624755e-29,5.57849269474591e-34,6.735005433878017e-34,3.5551551263101834e-40,1.2590759079651903e-47,3.21549808824981e-30,1.1476255765682132e-23,2.1214560033270403e-18,4.844531665535172e-31,7.794341878491386e-60,6.284677838276961e-61,1.2486167874484146e-41,1.4314796927412848e-55,6.744519579399792e-15,3.6043000402283135e-43,9.346682118447791e-32,1.3891594472150458e-58,2.2678738615015108e-45,4.800361667531862e-42,1.781408346002944e-46,6.419639803114325e-47,7.815877131872124e-43,9.588497097548287e-66,7.238367080226694e-56,3.4512370215064207e-69,3.76,0.0,0.8457391505108586,0.9999999999093898,9.174046495955764e-35,4.5925363659266425e-29,8.611374649959238e-17,6.744519590882495e-15,3.115696248471886e-39,7.279930019484278e-38,2.641798156670285e-29,1.902884826199489e-15,1.4153689341537542e-28,2.7108874997883105e-29,1.2606792935907203e-31,1.4848138786628497e-30,7.882490920228043e-26,2.1214559993074122e-18,3.797405299336978e-29,2.351120076425982e-27,9.06101699977922e-11,1.251788103952875e-43,5.929853923148853e-43,8.037743232304783e-43,4.856947844143456e-53,3.126308271004794e-57,3.448804637134352e-63
5.719658418154806e-17,0.7903117798533098,1.5660275593395209e-19,1.4026103904742326e-21,3.727267262546558e-28,3.805776104972508e-15,0.0,0.0,1.7207118252432614e-16,1.953441642386104e-28,4.462807383586553e-33,5.388024103351579e-33,2.844132569215885e-39,1.0072637119226507e-46,1.2862025035970321e-29,4.5905139663200864e-23,4.242919200107637e-18,1.938946346022535e-30,2.4942014051743443e-58,1.0055516832407042e-59,9.988963936343594e-41,4.348619910752287e-54,1.3489062005524768e-14,2.883448582471835e-42,3.7386823485883615e-31,2.222673981068448e-57,1.8143044717391526e-44,3.840304556956004e-41,1.425132314551142e-45,5.1357322477445055e-46,6.252720310109305e-42,3.068333819627408e-64,1.1581424137695936e-54,1.1044011789951565e-67,3.76,0.0,0.8457391505108498,0.9999999998187793,7.339258961530276e-34,1.837019218119101e-28,1.7222778501057448e-16,1.3489062051455696e-14,2.492564485882573e-38,5.823961228488183e-37,1.0573467803165183e-28,3.805776104632839e-15,5.661490160765846e-28,1.0843577561930305e-28,5.042730138637673e-31,5.9392705209104344e-30,3.153004385289401e-25,4.2429191840290796e-18,1.5189659561045735e-28,9.404504222242687e-27,1.8122063842911567e-10,1.0014338845069661e-42,4.743897220877886e-42,6.430213803729902e-42,7.771151428273408e-52,5.002108910045854e-56,1.1036227100488436e-61
