Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37)
1.5334687345843616e-16,0.8446254533290795,3.4002107165278286e-18,1.595013768950085e-19,8.432548410248652e-27,1.0765147798054362e-13,0.0,0.0,2.3653339680251583e-15,1.331227289659507e-26,4.422749420848966e-31,5.824322302734687e-31,1.7019926870549886e-36,6.57023248682839e-43,2.48598037254814e-27,1.753026546702232e-21,1.6614707216392155e-16,3.700377574694597e-28,2.0369891801187067e-54,3.122784878454728e-68,2.734988922629245e-51,3.5371341492292627e-50,2.0346392336588344e-13,9.143167180272247e-52,9.409105297376617e-29,6.448311863359194e-60,1.4456734825352773e-51,5.600371580728712e-38,2.90836327671522e-42,2.8449976799633307e-42,5.757239686829292e-39,1.735347074149112e-60,2.56382949995525e-61,3.3039890038110113e-63,3.76,0.0,0.5601695368432295,0.9999999999999977,7.272302416576614e-32,2.911582322173409e-26,2.368734148118994e-15,2.0346392512002143e-13,2.7280633645469487e-36,4.868267011222143e-35,5.585185097280743e-27,1.0765147794873892e-13,1.9955194173363267e-26,2.275994396824762e-27,4.3860580059867595e-29,4.9264208413655185e-28,3.17826559511872e-23,1.6614707109012458e-16
3.0682697617270065e-16,0.8446254533291288,6.8034392853503964e-18,3.1914135736605757e-19,3.3753672083214494e-26,2.1539648461260335e-13,0.0,0.0,4.732722961092199e-15,5.328378436009844e-26,3.540888705596671e-30,4.663014934729994e-30,1.362629089750163e-35,5.2601808911011816e-42,9.95040003426474e-27,7.01667459527492e-21,3.3243849446155373e-16,1.4820110459274845e-27,6.526412761145614e-53,2.0017665562602283e-66,8.765687138320632e-50,8.392952970763057e-49,4.0710461465893013e-13,1.4651447577768823e-50,3.766094149036399e-28,2.0663888501543835e-58,2.3157420926009736e-50,4.484839551064284e-37,2.329049407052019e-41,2.2783055780950676e-41,4.609292552209611e-38,5.559966211513435e-59,8.214026183815651e-60,1.0585818289585597e-61,3.76,0.0,0.5601695368429155,0.9999999999999953,5.8222637634737495e-31,1.1653917089423759e-25,4.739526277806925e-15,4.071046216800534e-13,2.1841096236082695e-35,3.897573442583521e-34,2.2405216890083948e-26,2.1539648448530162e-13,7.987278142729127e-26,9.109908895048469e-27,1.7555663687255484e-28,1.9718520203915045e-27,1.2721345149653396e-22,3.3243849016356573e-16
6.137871816012296e-16,0.8446254533292278,1.3610087654740171e-17,6.384214000323605e-19,1.350706791359392e-25,4.308864978764998e-13,0.0,0.0,9.467500946848658e-15,2.13204542698062e-25,2.8337870294942913e-29,3.7318541911017104e-29,1.0905174917340344e-34,4.2097432596047956e-41,3.9814560271003367e-26,2.8075837138215475e-20,6.650213388788299e-16,5.9371422843224785e-27,2.0897405466830425e-51,1.2821503733305549e-64,2.8072172112338744e-48,2.2168401545749486e-47,8.143859867125605e-13,2.347309711231736e-49,1.5069281732628614e-27,6.618963182087175e-57,3.707320308019899e-49,3.589689665914656e-36,1.8641835001513124e-40,1.823567934611849e-40,3.6888351472367904e-37,1.7802867656766756e-57,2.6300529197241657e-58,3.389552149685657e-60,3.76,0.0,0.5601695368422877,0.9999999999999906,4.6595804499876165e-30,4.663084827337248e-25,9.481110544060827e-15,8.143860148061988e-13,1.747951738729052e-34,3.1192428561906554e-33,9.004955027246256e-26,4.3088649736712697e-13,3.195951648005613e-25,3.6451500947125655e-26,7.024553219332486e-28,7.889975109472814e-27,5.0901950677903775e-22,6.650213216812669e-16
1.2277075924582878e-15,0.8446254533294256,2.722414932273831e-17,1.2769818123003937e-18,5.404668818166382e-25,8.618665244034007e-13,0.0,0.0,1.8937056916851084e-14,8.529570005685922e-25,2.267460041544043e-28,2.9860904522021216e-28,8.725798237670282e-34,3.3684340074188417e-40,1.5928415986910967e-25,1.1232162336061577e-19,1.3301870270015099e-15,2.380978603687101e-26,6.689231627277501e-50,8.209026429408739e-63,8.986611572664644e-47,6.343028325187137e-46,1.6289486886899717e-12,3.762276131092099e-48,6.028693603039958e-27,2.120282276195403e-55,5.933419320455476e-48,2.8724794764284314e-35,1.4917244807530434e-39,1.4592239026340367e-39,2.9516289766825483e-36,5.698673646629624e-56,8.418673322352454e-57,1.0849913889535658e-58,3.76,0.0,0.560169536841032,0.9999999999999811,3.728372208181723e-29,1.865537571639947e-24,1.89642791040809e-14,1.628948801082815e-12,1.3986273569847662e-33,2.4958674868445973e-32,3.634533433613949e-25,8.618665223655779e-13,1.278588766880938e-24,1.4582973286806905e-25,2.810279509971826e-27,3.156502665295277e-26,2.036409461500945e-21,1.3301869581999555e-15
2.455548414172404e-15,0.8446254533298213,5.445533239352933e-17,2.5541039448870372e-18,2.1628132393919326e-24,1.723826577453635e-12,0.0,0.0,3.7876168850813996e-14,3.41210567749427e-24,1.814140058727076e-27,2.389163354958123e-27,6.981303694518896e-33,2.6950027441708526e-39,6.371884393351022e-25,4.493230031782071e-19,2.660518400400022e-15,9.570573961732124e-26,2.1408838122496933e-48,5.254820806264116e-61,2.876278022092397e-45,1.9095821528230603e-44,3.2580739241254123e-12,6.03808324701596e-47,2.411673431531957e-26,6.795939085959363e-54,9.49483630979025e-47,2.298275283868401e-34,1.1935306730643783e-38,1.1675270835266539e-38,2.3615280239762268e-35,1.8238560825378704e-54,2.694376073171803e-55,3.4725089003012677e-57,3.76,0.0,0.5601695368385206,0.9999999999999621,2.982980810058977e-28,7.462757604357343e-24,3.793061633417077e-14,3.2580743737333484e-12,1.1190087526473625e-32,1.996882426132824e-31,1.4795057685930013e-24,1.7238265693016796e-12,5.114771311354504e-24,5.833663527312847e-25,1.1242039415119407e-26,1.2627029119351176e-25,8.14630064668963e-21,2.6605181251705766e-15
4.911230057600636e-15,0.8446254533306127,1.0892993761765381e-16,5.108353444733568e-18,8.657763345553727e-24,3.4477466835398375e-12,0.0,0.0,7.575439269457199e-14,1.364897804733374e-23,1.451380604719508e-26,1.9115240925118683e-26,5.58531175082175e-32,2.1561040177126336e-38,2.5488570295163922e-24,1.797364694918364e-18,5.3211811358147916e-15,3.8650943779541624e-25,6.851354028693312e-47,3.3634183410590984e-59,9.204986676034033e-44,5.918322680895991e-43,6.516323720918914e-12,9.717852210311763e-46,9.647084075478244e-26,2.1812618430767616e-52,1.5192829590623448e-45,1.8387378268546502e-33,9.548849739487227e-38,9.340810492359247e-38,1.889313121219679e-34,5.836785159272164e-53,8.62264385270835e-54,1.1112892236361342e-55,3.76,0.0,0.5601695368334978,0.9999999999999243,2.386497669876751e-27,2.985224504140128e-23,7.586329123455476e-14,6.516325519423619e-12,8.952505021053554e-32,1.5975799366583037e-30,6.122863951896407e-24,3.4477466509306834e-12,2.0459917753373014e-23,2.3335599345766323e-24,4.497003940081937e-26,5.051009860288771e-25,3.258652731298471e-20,5.321180034845585e-15
9.822593344457102e-15,0.8446254533321955,2.179281055429899e-16,1.0216873402887055e-17,3.4681025760806146e-23,6.895586895655203e-12,0.0,0.0,1.5151084028541674e-13,5.45970226209623e-23,1.1611314977850202e-25,1.5294198475165307e-25,4.468361304436577e-31,1.7249233068019327e-37,1.0195632016238913e-23,7.189601427730667e-18,1.0642506561156425e-14,1.5754369949423317e-24,2.192516033104931e-45,2.4886734573479972e-57,3.4127258226012385e-42,2.153545919140268e-41,1.3032820618197564e-11,1.5729029207708741e-44,3.8589103852654687e-25,7.048915542303883e-51,2.4309397631605833e-44,1.4710387613174546e-32,7.639321483782735e-37,7.472889038619838e-37,1.5114879950668259e-33,1.8678405308744014e-51,2.7593481086688265e-52,3.556267136604194e-54,3.76,0.0,0.5601695368234523,0.9999999999998486,1.9092430232410696e-26,1.194114090181862e-22,1.51728642796183e-13,1.303282781236098e-11,7.16219003557037e-31,1.2780913357066482e-29,2.6128774368073615e-23,6.895586765215894e-12,8.184133598426269e-23,9.334426211015288e-24,1.798842325453791e-25,2.020439198254821e-24,1.3034875137275236e-19,1.0642502157136975e-14
1.9645319918170032e-14,0.8446254533353611,4.361202804774921e-16,2.0433997311175343e-17,1.3911966022032714e-22,1.3791267319657962e-11,0.0,0.0,3.0302373508042137e-13,2.1839030926399517e-22,9.289153482650678e-25,1.223813238509722e-24,3.57474081819796e-30,1.3799536628636256e-36,4.0782914666045143e-23,2.8758669258005503e-17,2.1285157230216933e-14,6.53675645410608e-24,7.016176141543923e-44,1.6028598465240071e-55,1.0967631705877059e-40,6.871133064480298e-40,2.6065803627530743e-11,2.5742596005628115e-43,1.5435784523265664e-24,2.2905760193164813e-49,3.889572310340643e-43,1.1768527428979594e-31,6.111553774070746e-36,5.978412462955477e-36,1.209207341599897e-32,5.977187551711994e-50,8.830074756432114e-51,1.1380303325135045e-52,3.76,0.0,0.5601695368033612,0.999999999999697,1.5274118576078027e-25,4.776504903181634e-22,3.034593529632248e-13,2.6065832404462958e-11,5.7298456594333465e-30,1.0224804829329e-28,1.1761063963108543e-22,1.379126679789513e-11,3.2736867331008882e-22,3.733805716911873e-23,7.19547571276359e-25,8.081792189544e-24,5.214002307490624e-19,2.1285139613535718e-14
3.929077306559589e-14,0.8446254533416921,8.732880600879912e-16,4.086858236079247e-17,5.596346494936142e-22,2.7582628166753193e-11,0.0,0.0,6.060495231236926e-13,8.735656578129849e-22,7.431352895166048e-24,9.794769326719587e-24,2.8598245846045645e-29,1.1039673055778605e-35,1.631322622787886e-22,1.1503503011614268e-16,4.257045784447773e-14,2.802671801248413e-23,2.2451913681872377e-42,1.026072463134371e-53,3.510132942278846e-39,2.1911644484892765e-38,5.2131726505374984e-11,4.3030753824411526e-42,6.174333982743099e-24,7.55224101945688e-48,6.223367653479086e-42,9.414946217532808e-31,4.889281508822072e-35,4.782778420322924e-35,9.673757653591361e-32,1.9127073525890684e-48,2.8256480402700226e-49,3.641750827937861e-51,3.76,0.0,0.5601695367631792,0.9999999999993939,1.2219356358822438e-24,1.910611641877257e-21,6.069208014752065e-13,5.213184161357595e-11,4.583944735595174e-29,8.179816876451097e-28,5.751978536338896e-22,2.758262607968892e-11,1.3094813472326029e-21,1.4935276834099872e-22,2.8782314961298833e-24,3.232695865737331e-23,2.0856109013134934e-18,4.2570387374000856e-14
7.85816793604476e-14,0.8446254533543547,1.7507579255614523e-15,8.173911151308454e-17,2.263769688962643e-21,5.516534985731508e-11,0.0,0.0,1.212101093023291e-12,3.494271338201252e-21,5.945077573655924e-23,7.842566812952311e-23,2.287890391715805e-28,8.831729839310491e-35,6.525288996233265e-22,4.601394345411954e-16,8.514105619860521e-14,1.2714358412501866e-22,7.184604555095e-41,6.566898891586391e-52,1.1232447372557511e-37,6.999089970885738e-37,1.042633996983699e-10,7.474463471186571e-41,2.4697308898117513e-23,2.5590081967829572e-46,9.957420229137018e-41,7.532066426553997e-30,3.911440371813485e-34,3.8262548488179917e-34,7.739095513476093e-31,6.120622016105664e-47,9.042102006517602e-48,1.1653778309135707e-49,3.76,0.0,0.5601695366828149,0.9999999999987879,9.775496472679362e-24,7.642465706836977e-21,1.213843811232814e-12,1.0426386013143771e-10,3.667232278417203e-28,6.543752077087463e-27,3.1387672233566916e-21,5.516534150901807e-11,5.23793865870381e-21,5.974108327999071e-22,1.1513167830481978e-23,1.2930516735677067e-22,8.342459783970374e-18,8.514077428883215e-14
1.1787258565529932e-13,0.8446254533670169,2.631362684613712e-15,1.2261100983930408e-16,4.847563893647009e-21,8.274807154426101e-11,0.0,0.0,1.8181526567359545e-12,7.425331884082582e-21,1.699918237764967e-22,2.2435907460267543e-22,6.5419808904767485e-28,2.525318965848872e-34,1.3866222919887278e-21,9.777943035986749e-16,1.2771165169938798e-13,2.9226497601989413e-22,3.3611154324745295e-40,3.5144472155755e-51,4.965746357670459e-37,3.0934163841565933e-36,1.563949003292662e-10,2.9517128141448615e-40,5.24816887223721e-23,1.2051684793003885e-45,3.791826100385444e-40,2.2360981766186042e-29,1.1612101141620375e-33,1.135923579610369e-33,2.2129102214655595e-30,2.8633529486405568e-46,4.2397136696584854e-47,5.451923730595338e-49,3.76,0.0,0.5601695366024506,0.9999999999981818,2.7951802587035103e-23,1.62402513409171e-20,1.820766933746118e-12,1.56395878748935e-10,1.0486108052324002e-27,1.871085686822809e-26,7.900587107823014e-21,8.274805380408917e-11,1.1130627900337592e-20,1.269496384478983e-21,2.4465812138610314e-23,2.747692857217812e-22,1.772773290241475e-17,1.2771105260079478e-13
1.5716349195015105e-13,0.8446254533796792,3.5151029246081863e-15,1.6348428746029452e-16,8.32757129264672e-21,1.103307932276036e-10,0.0,0.0,2.424204214261693e-12,1.2666747177659778e-20,3.585614367677995e-22,4.734498950976255e-22,1.379901341366378e-27,5.326620422927441e-34,2.3654112522823582e-21,1.6679984192187648e-15,1.7028224436787518e-13,5.332584068352299e-22,1.0843177718796862e-39,1.328039547678498e-50,1.6969263416394392e-36,1.056712129319588e-35,2.0852622839865884e-10,8.237170918617132e-40,8.952741451479757e-23,4.0300536134921523e-45,1.0151948584562237e-39,4.872374308690812e-29,2.5302171594189236e-33,2.4751261860857085e-33,4.667691401046648e-30,9.237353801601744e-46,1.3178547423769825e-46,1.758838611696688e-48,3.76,0.0,0.5601695365220863,0.9999999999975757,5.895841648063588e-23,2.770396835281356e-20,2.4276901690371723e-12,2.0852789746606755e-10,2.2118454354072983e-27,3.946625301225514e-26,1.5410467648720883e-20,1.1033076296490257e-10,1.898754903869569e-20,2.1656082684975535e-21,4.173630390373237e-23,4.687173477337936e-22,3.0241426950909165e-17,1.702812223131191e-13
2.3574530453985447e-13,0.8446254534050043,5.289944008579905e-15,2.452341112178228e-16,1.7442294566781436e-20,1.6549623658587103e-10,0.0,0.0,3.636307314792863e-12,2.6224899766326832e-20,9.79339711200183e-22,1.2941007924249756e-21,3.768974372496246e-27,1.4548609291943008e-33,4.89727100714814e-21,3.4533653894208313e-15,2.5542342312292917e-13,1.2239214541872938e-21,5.968555060538793e-39,9.595133948892312e-50,1.0433888212528781e-35,6.494315024886686e-35,3.127884795480055e-10,3.5914215889963276e-39,1.853544952686409e-22,2.4278890821617675e-44,4.050159061453795e-39,1.414319516674464e-28,7.344443838179433e-33,7.184576279713633e-33,1.2749013335761558e-29,5.08463969286791e-45,6.435101898379921e-46,9.681568101507406e-48,3.76,0.0,0.5601695363613579,0.9999999999963636,1.610335384252319e-22,5.735756726680767e-20,3.641536904370161e-12,3.127919351341696e-10,6.041332264001284e-27,1.0779289610448995e-25,3.8585114342867354e-20,1.6549617393061958e-10,3.931132321419714e-20,4.483604540200967e-21,8.641144371688615e-23,9.703962207329583e-22,6.261101718015007e-17,2.554213068710862e-13
3.143271171295579e-13,0.8446254534303287,7.0763202541059584e-15,3.2698909120857975e-16,2.999022818730535e-20,2.2066167993099236e-10,0.0,0.0,4.848410392572578e-12,4.460169313061179e-20,2.049100839762841e-21,2.709477266336411e-21,7.886020594014543e-27,3.0440473200560886e-33,8.328953776648612e-21,5.873247361586742e-15,3.4056459163749587e-13,2.2755624011591107e-21,1.9154609467740387e-38,3.6770576103584694e-49,3.5026723226111466e-35,2.179801651761315e-34,4.1705009613210015e-10,1.0218433838294472e-38,3.1523835875641826e-22,8.187761687289923e-44,1.0907385683781182e-38,3.0929928480891406e-28,1.6061474672972089e-32,1.5711944028368844e-32,2.6675383403175993e-29,1.6317877287188735e-44,2.0083231539650603e-45,3.1070915319087e-47,3.76,0.0,0.5601695362006295,0.9999999999951514,3.3693564503721236e-22,9.755021644180192e-20,4.855384054610351e-12,4.170559731686638e-10,1.2640665153426148e-26,2.255356458000825e-25,7.643202638265943e-20,2.2066157337055614e-10,6.685827835329452e-20,7.625415942958195e-21,1.4696600723400344e-22,1.6503515159056853e-21,1.064848994810607e-16,3.4056099209628494e-13
