Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55)
1e-12,0.490807026232685,3.3168034685187776e-21,8.336352554321065e-25,5.198234043499091e-23,3.5417956387135e-17,0.0,0.0,2.3921749195365543e-16,5.504362137252915e-26,1.974469020074201e-25,2.3561508764714703e-25,5.889933316528217e-35,1.5133435799171911e-47,2.0536714929168162e-29,8.291120682154399e-20,8.985271454438971e-21,9.988580410252325e-26,6.7484338097017496e-49,4.055291197483108e-61,4.78056772034119e-40,4.630640335663078e-44,8.908731435300402e-16,1.0606564077447844e-46,2.6772873046786985e-31,1.4901669983167126e-51,1.63718371566509e-47,1.6828154023020006e-40,1.044837438958357e-45,1.5203620076163781e-47,9.257561800874232e-39,7.598297694272317e-55,1.9602754137910357e-53,1.2441134880195555e-60,3.76,0.0,0.5591692688980374,0.9999999999999998,3.2603932785571576e-26,2.2276545671332514e-28,2.392207005220831e-16,8.909560614258737e-16,1.1197892134761215e-30,4.576082750040266e-29,5.5590905801846816e-24,3.541793307685989e-17,5.193740877154291e-23,2.8832066963698614e-23,7.541511198077298e-29,8.672567509241585e-28,2.262980766000289e-23,8.984799987826212e-21,2.112782462207297e-25,1.2521642497275066e-25
1.023e-12,0.490807026232685,3.3935049162521935e-21,8.585539054495475e-25,5.379716041583164e-23,3.62330018592224e-17,0.0,0.0,2.447224152475135e-16,5.696426379300145e-26,2.0552847562438704e-25,2.4527644226659528e-25,6.131041482192783e-35,1.5752852867589967e-47,2.12532927786993e-29,8.580415875207271e-20,9.192042586786448e-21,1.0397412104272064e-25,7.055517312003255e-49,4.233620396903065e-61,4.976240590401789e-40,4.841362812977119e-44,9.11373118802129e-16,1.1087673575195697e-46,2.7707060843021503e-31,1.559117625687184e-51,1.7041949305062437e-47,1.7517053530814511e-40,1.0876090062920773e-45,1.5835281184540768e-47,9.636482755214839e-39,7.944053765396866e-55,2.0464774018143763e-53,1.3007278324669658e-60,3.76,0.0,0.5591692688980374,0.9999999999999998,3.3938424989559914e-26,2.3053843516694114e-28,2.447256967052343e-16,9.114589299196555e-16,1.1656832809053611e-30,4.7633769702322575e-29,5.786132272885678e-24,3.6232977734887654e-17,5.37496658973935e-23,2.9838106749116914e-23,7.805035578753034e-29,8.975130939198739e-28,2.341943141712593e-23,9.191554610183239e-21,2.186502250508382e-25,1.295856134106963e-25
2.047e-12,0.4908070262326851,6.875881168202934e-21,3.031350892949096e-24,2.1611745596503996e-22,7.252024437740695e-17,0.0,0.0,4.898111739672176e-16,2.28112952140665e-25,1.646145117988948e-24,2.012627097414611e-24,4.9190836729094155e-34,1.261698570949594e-46,8.510054082339225e-29,3.435490178216985e-19,1.839790654122968e-20,8.327317417109246e-25,2.2620896852065014e-47,6.7835598862673e-60,3.9864317655438855e-39,1.5529909414552737e-42,1.823938691469112e-15,3.386488540546216e-45,1.1095240259989104e-30,1.0006169100731377e-49,1.3651350609266474e-46,1.4043842142399898e-39,8.716124942470061e-45,1.5244616047160846e-46,7.719717701193452e-38,2.5469743186704117e-53,3.278947991752455e-52,4.177735491811801e-59,3.76,0.0,0.5591692688980362,0.9999999999999996,2.718277364353744e-25,9.23191826739427e-28,4.898175766081237e-16,1.824282293461525e-15,9.502964599364949e-30,3.8133568041918365e-28,4.5967882877573235e-23,7.252014729388511e-17,2.152401771393612e-22,1.1948624292578606e-22,3.151571756674842e-28,3.590683151331709e-27,9.378271241215942e-23,1.839591166146231e-20,8.754633152282437e-25,5.189242885697474e-25
4.095e-12,0.49080702623268524,1.424033524720376e-20,1.3817552099218047e-23,8.70452701426766e-22,1.45094734445901e-16,0.0,0.0,9.79988690997648e-16,9.129637177754624e-25,1.317398257472086e-23,1.687489249852959e-23,3.9503623950781285e-33,1.0097297486839468e-45,3.405282756175378e-28,1.3745423727862604e-18,3.6810064212804796e-20,6.664168352089885e-24,7.24329758117022e-46,1.0863292842269018e-58,3.1919486333168516e-38,4.973494925038256e-41,3.648554069407488e-15,1.057439184926287e-43,4.440585155163763e-30,6.410482751787042e-48,1.0928109648284843e-45,1.1254098330099616e-38,6.979153744262559e-44,1.6295046913232898e-45,6.180533264582112e-37,8.155593309016865e-52,5.2499531041700773e-51,1.3424940183956194e-57,3.76,0.0,0.5591692688980338,0.9999999999999991,2.1754778734685094e-24,3.694878460095178e-27,9.80000840324783e-16,3.649929024689145e-15,7.871480243931603e-29,3.048943904843609e-27,3.6580151373563896e-22,1.4509434207069165e-16,8.614441885211912e-22,4.78211319050358e-22,1.2821335164306603e-27,1.4343638662880335e-26,3.753395557033352e-22,3.680175392579287e-20,3.502859212720415e-24,2.076859318293154e-24
8.191e-12,0.4908070262326857,3.161219622897593e-20,7.863105887106007e-23,3.52674484932158e-21,2.9024375477545234e-16,0.0,0.0,1.960343723437692e-15,3.652878795042232e-24,1.0536557765148499e-22,1.4717574588554192e-22,3.181343764141801e-32,8.075848539557718e-45,1.3619762179058553e-27,5.496315085779212e-18,7.363782155245033e-20,5.329955281623871e-23,2.316696687660131e-44,1.7404257014828624e-57,2.557173700155923e-37,1.8426073769408107e-39,7.295722930337624e-15,3.339210334351362e-42,1.776769431938799e-29,5.418361639292894e-46,8.745156293338128e-45,9.022167597037426e-38,5.586297674792725e-43,1.958160436095036e-44,4.947285268875407e-36,2.609124310138142e-50,8.402730997225532e-50,4.325311102200825e-56,3.76,0.0,0.559169268898029,0.9999999999999981,1.7400439161300387e-23,1.4784289471543366e-26,1.9603653851681978e-15,7.301222503715713e-15,6.720444699779459e-28,2.4339870667786413e-26,2.9082412482156786e-21,2.9024215426184773e-16,3.44674656365145e-21,1.9133672684981606e-21,5.2955214083440525e-27,5.717451134580863e-26,1.501765159589404e-21,7.360196228950433e-20,1.4007699733603408e-23,8.309747696632986e-24
1e-11,0.49080702623268635,4.348558911501475e-20,1.7626466783988688e-22,5.941097868956406e-21,3.5434894718691054e-16,0.0,0.0,2.3933179050852676e-15,6.073274037754119e-24,2.680531938167207e-22,4.1700060607351966e-22,8.170529926147502e-32,2.054533028092423e-44,2.263505036732528e-27,9.132177650514936e-18,8.990889246861644e-20,1.3559522314450123e-22,1.814930477467855e-43,7.530156733461451e-57,6.529591031931099e-37,1.448269696019821e-38,8.904677281761096e-15,2.601051246694848e-41,2.9542557866480417e-29,8.093154858254321e-45,2.2265062317340188e-44,2.3026220393304046e-37,1.422742659775266e-42,7.293856775220946e-44,1.2601162215321703e-35,2.0447686633555327e-49,3.623997926852838e-49,3.4327248364115194e-55,3.76,0.0,0.5591692688980269,0.9999999999999977,4.4270615885140516e-23,2.4582582119292287e-26,2.3933420212598298e-15,8.913817709644371e-15,1.8588245309722598e-27,6.176130360327821e-26,7.351456556055187e-21,3.5434623223378377e-16,5.7305651844508605e-21,3.181137912852138e-21,9.093766173978804e-27,9.468043652380003e-26,2.4968090571803455e-21,8.984467153277648e-20,2.3275669529662682e-23,1.3815748096459213e-23
1.6383e-11,0.49080702623268635,8.538048507498474e-20,5.207618077227068e-22,1.4460067091913345e-20,5.805421164308783e-16,0.0,0.0,3.921053782065079e-15,1.4613563056123354e-23,8.420913662781351e-22,1.369069197881071e-21,2.577471747290392e-31,6.454350714943854e-44,5.4445213167605275e-27,2.1961205152288355e-17,1.4732085800642087e-19,4.259729255797135e-22,7.401416791422447e-43,2.7959041850719227e-56,2.054614151768065e-36,5.908285827027667e-38,1.4581822458729596e-14,1.0600549395526654e-40,7.108979613131785e-29,3.473774702291801e-44,6.996962845952099e-44,7.243908330019724e-37,4.471738011641115e-42,2.6120694659488856e-43,3.9607627969421576e-35,8.33904966448167e-49,1.3446284036069309e-48,1.4018814695051613e-54,3.76,0.0,0.5591692688980194,0.9999999999999961,1.3908119522636297e-22,5.915555169949204e-26,3.921086558668831e-15,1.46038095280206e-14,6.0463409098150984e-27,1.938016609428271e-25,2.3029202996043887e-20,5.805354692127045e-16,1.3788947858062038e-20,7.654427035522914e-21,2.249575419998578e-26,2.270189221020858e-25,6.007790371897301e-21,1.4715656379358695e-19,5.597741149110341e-23,3.324349853984827e-23
3.2767e-11,0.4908070262326876,3.381657876899192e-19,3.76673205938865e-21,6.06438172513126e-20,1.16114140099238e-15,0.0,0.0,7.842473877881538e-15,5.84583474049196e-23,6.721781942339147e-21,1.3933829643550852e-20,2.1131380665211668e-30,5.1522310633528726e-43,2.1746493731410037e-26,8.763443124517132e-17,2.949065734359085e-19,3.400213493393573e-21,2.3598640086785774e-41,4.543152391957126e-55,1.6709880059625103e-35,1.881615048192568e-36,2.912114366029855e-14,3.36969264201827e-39,2.8454831306235097e-28,2.2131896078404914e-42,5.5975379347603205e-43,5.837241217178591e-36,3.5832922670053705e-41,3.7590794256719646e-42,3.1734889532365574e-34,2.66206265799918e-47,2.1514535995401567e-47,4.599674643268672e-53,3.76,0.0,0.5591692688980003,0.9999999999999922,1.1104246821330772e-21,2.368001443234482e-25,7.842497354988055e-15,2.920898384136998e-14,5.892575010522282e-26,1.5355283424163251e-24,1.8073581269012354e-19,1.161112861535576e-15,5.515988907693963e-20,3.0618935837522567e-20,1.0025872849701929e-25,8.947319189149628e-25,2.4031947475075653e-20,2.940832203259937e-19,2.2343687094330517e-22,1.32982103072755e-22
6.5535e-11,0.4908070262326906,2.0004390362005353e-18,2.852577154884687e-20,2.6482824876349073e-19,2.3223603617630872e-15,0.0,0.0,1.568531403911377e-14,2.3384157523151585e-22,5.3529691097413855e-20,1.5663747585964808e-19,1.771594528001294e-29,4.1041049238868584e-42,8.672505900558202e-26,3.48826561654714e-16,5.918254688497042e-19,2.707796340830824e-20,7.49549196663693e-40,7.711433660653717e-54,1.4228311169795625e-34,5.96097787983191e-35,5.806887125428505e-14,1.0690578278300912e-37,1.1411222025636734e-27,1.4032252960362407e-40,4.477429858863524e-42,4.7433117687730437e-35,2.884374894924281e-40,5.675221597166851e-41,2.54933058456826e-33,8.489887435329622e-46,3.4420341923368883e-46,1.5465814735712683e-51,3.76,0.0,0.5591692688979621,0.9999999999999843,8.846885542579814e-21,9.498028630837842e-25,1.56851936688745e-14,5.8419333524906e-14,6.354044544218944e-25,1.2050018047230397e-23,1.3933047521993118e-18,2.322230697041748e-15,2.2064913594825875e-19,1.2247269871559318e-19,4.798941014824933e-25,3.476111958961623e-24,9.612397336801404e-20,5.87212045693649e-19,8.898947149451207e-22,5.319373757291421e-22
9.8303e-11,0.4908070262326933,5.415795632404063e-18,8.029951808051564e-20,5.952543648882605e-19,3.48360979050701e-15,0.0,0.0,2.3528154251240494e-14,4.969184589208622e-22,1.5265930469778556e-19,5.190299366133132e-19,5.198055885372568e-29,1.1706868027392797e-41,1.8390614139138344e-25,7.387435773629695e-16,8.913532233589335e-19,7.72225981993323e-20,3.4991900080671324e-39,2.9366578813933396e-53,4.2468919007264315e-34,2.6285693151447754e-34,8.688627792585048e-14,4.990173506207174e-37,2.430998680302595e-27,6.953777464335133e-40,1.280151362163593e-41,1.4213521697537118e-34,8.603076175394297e-40,2.134099334431684e-40,7.310531204083683e-33,3.963238589706799e-45,1.2668353484852094e-45,7.362860353435524e-51,3.76,0.0,0.559169268897924,0.9999999999999765,2.5236485206325518e-20,2.02366214270638e-24,2.352776564007429e-14,8.762968426317584e-14,2.0802438404172366e-24,3.407713356020325e-23,3.900948232210679e-18,3.4833115845841097e-15,4.688869477274089e-19,2.602464009790866e-19,1.1317437642022023e-24,7.240635822019996e-24,2.042549956499917e-19,8.796220644850221e-19,1.8853695948207715e-21,1.130364364384054e-21
9.999999999999999e-11,0.4908070262326962,5.7153276683092654e-18,8.482913374911496e-20,6.196451018012609e-19,3.5437510553629e-15,0.0,0.0,2.3934321857044713e-14,5.150842792973558e-22,1.6138952629973317e-19,5.556688083900348e-19,5.509736408273727e-29,1.2376989749296748e-41,1.9059783052439194e-25,7.655455078531181e-16,9.070445983310836e-19,8.163877305065701e-20,3.900391392527476e-39,3.1904471462582583e-53,4.524782107037671e-34,2.9551841629480704e-34,8.8371964807535e-14,5.562299117245811e-37,2.5204920097391447e-27,8.109617558581715e-40,1.353682284878244e-41,1.5098098910144277e-34,9.13429402513459e-40,2.318602583559402e-40,7.732886494303735e-33,4.420684179062422e-45,1.3676165804926696e-45,8.237638214252264e-51,3.76,0.0,0.559169268897922,0.999999999999976,2.668033160595373e-20,2.098179731656314e-24,2.393391295561278e-14,8.914243960342206e-14,2.2253902326912333e-24,3.5997816937236653e-23,4.117062686027104e-18,3.543440111423098e-15,4.860282411508651e-19,2.6975933934693815e-19,1.1819651346171246e-24,7.493778318676985e-24,2.1172107595495753e-19,8.947285585976443e-19,1.953833208376033e-21,1.1716858771488225e-21
1.31071e-10,0.4908070262326962,1.1199570383459884e-17,1.6776354060771816e-19,1.066224115722204e-18,4.644899694335999e-15,0.0,0.0,3.137099462071163e-14,8.476889963969627e-22,3.2123437921317797e-19,1.2265034489171555e-18,1.1216410260402158e-28,2.464649594922465e-41,3.1311843927613486e-25,1.2562719558551259e-15,1.1943437802755006e-18,1.6249615007217165e-19,1.1246135774712142e-38,7.837168565597047e-53,9.612776568025626e-34,8.935296087577545e-34,1.1557395484926732e-13,1.6037558316174244e-36,4.159058443989617e-27,2.927232089879129e-39,2.699987116738539e-41,3.1294149925416616e-34,1.886055790803424e-39,5.696740741277357e-40,1.5465945552893758e-32,1.2796224489533023e-44,3.212857393517896e-45,2.4254269276972974e-50,3.76,0.0,0.5591692688978858,0.9999999999999686,5.311624880268228e-20,3.462549800167462e-24,3.1370214217307844e-14,1.16840036054094e-13,4.8829291568782556e-24,7.116431853287902e-23,8.073982069957687e-18,4.6443555253383815e-15,7.998745157296575e-19,4.439352427220223e-19,2.101486761112148e-24,1.2128657819931767e-23,3.484202987926677e-19,1.1713189407857923e-18,3.2073588045902506e-21,1.928256721647428e-21
1.96607e-10,0.4908070262327018,3.03011576705335e-17,4.530870197474937e-19,2.3818993909104467e-18,6.967605270770806e-15,0.0,0.0,4.705667615419825e-14,1.755041707304597e-21,8.73906470240703e-19,3.923826937879012e-18,3.177616543332323e-28,6.72019669884885e-41,6.461900789906602e-25,2.5873988652908664e-15,1.811071878705468e-18,4.42064804212594e-19,6.133420352692964e-38,3.1769968420178996e-52,3.202044713152837e-33,5.4248096104593694e-33,1.726466641971112e-13,8.747645485081266e-36,8.663494037963287e-27,2.6054508099193145e-38,7.373503781839247e-41,9.298174589925887e-34,5.567113263470786e-39,2.2923391642101308e-39,4.2485260586008296e-32,7.093997073867573e-44,1.1235319847759635e-44,1.4035199356127148e-49,3.76,0.0,0.5591692688978094,0.9999999999999529,1.4455618411652771e-19,7.21395451214818e-24,4.7054824768673836e-14,1.7526074210003166e-13,1.5536914830873333e-23,1.9118114706599363e-22,2.137701729196609e-17,6.9663566986443225e-15,1.656061924248286e-18,9.190580817382472e-19,4.919815592888974e-24,2.4368111276624993e-23,7.213065275860276e-19,1.7530564953334914e-18,6.609957350747106e-21,3.992154755065395e-21
