Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73)
1.403313893345937e-19,0.7462814966354976,4.0766010093226075e-23,9.265095264970344e-25,8.454309281102316e-31,3.6614360896052766e-35,0.0,0.0,1.5773105496614899e-18,3.1256540346410407e-34,4.975414109867198e-45,8.048655322037448e-58,5.3322393498640516e-58,3.7089418438635645e-64,9.920764015712512e-46,9.431797391608807e-50,9.494473079940311e-63,4.358018447293999e-61,3.8669347260347343e-56,3.284684222000999e-54,4.581296698855172e-32,1.2887942917372381e-49,1.7111511242635137e-54,2.2432618540250934e-105,1.222438331228638e-78,2.428557450544958e-51,1.5491436546998452e-48,3.199429523017084e-66,1.0494895353070635e-115,4.5612185333045426e-85,1.1993496296375292e-79,6.093323092791302e-69,5.402336677945147e-60,1.0481368727902771e-99,3.76,0.0,0.7400132245121184,0.9999999999996526,3.2777990838156155e-43,2.952811846215341e-76,5.7707042800734095e-15,5.7707042800734095e-15,6.012377625972166e-32,2.7860677682183684e-35,3.4749848275318707e-13,1.1578097420095723e-35,5.681051089661222e-37,1.5773513156616709e-18,3.456389025738829e-30,4.610849676553077e-41,3.1642007136942375e-30,2.314411302999957e-16,5.861397715708502e-35,8.454207663074095e-31,5.990475233125028e-32,6.80708679630362e-36,9.749410793408139e-33,1.9805082046493555e-31,3.589090560660353e-61
2.8078469994575955e-19,0.7462814966354984,8.15674444179502e-23,1.8538240135114e-24,3.383926969024712e-30,1.4655287310363968e-34,0.0,0.0,3.1559914820760698e-18,1.251076182806139e-33,3.9833565526728545e-44,6.444025627519865e-57,4.274767525083562e-57,2.9694086705635724e-63,3.97089103209783e-45,7.551519932248848e-49,1.5204276013731904e-61,6.980351088150443e-60,3.0958990526461217e-55,2.629744606224325e-53,1.8337125999184888e-31,1.0318190754920308e-48,1.3703086433794306e-53,2.876824769595668e-103,3.915299738581258e-77,1.9448156072202857e-50,1.2405691883232613e-47,5.125044949030189e-65,1.3455638084183666e-113,1.4613452255761642e-83,3.842196725686653e-78,9.759906857413603e-68,8.653766425455642e-59,6.718471151059634e-98,3.76,0.0,0.7400132245121125,0.9999999999993048,2.6242323092198352e-42,9.457429933514689e-75,1.1546422204178098e-14,1.1546422204178098e-14,2.4065179210588153e-31,1.115153177480311e-34,6.952988754011364e-13,4.6342563073099155e-35,2.273900961026912e-36,3.156073049480812e-18,1.383456371246878e-29,3.691483335178673e-40,1.2665048999772647e-29,4.630833389060689e-16,2.346086610611411e-34,3.383886295331101e-30,2.3977512561137615e-31,2.724608697122464e-35,3.902305087086309e-32,7.927194171884034e-31,5.747221139059509e-60
5.616913211680913e-19,0.7462814966354999,1.6317033205138468e-22,3.708452987615624e-24,1.354011564508525e-29,5.864024643260711e-34,0.0,0.0,6.313353346903002e-18,5.005934333415372e-33,3.1878958655117543e-43,5.157511007665378e-56,3.430290798712682e-56,2.3764294004436306e-62,1.5888736454241764e-44,6.043649827481927e-48,2.433734230844814e-60,1.1174582421374215e-58,2.477660164980193e-54,2.104594918045243e-52,7.337238920944842e-31,8.257688512726064e-48,1.0968023014270632e-52,3.685827291084898e-101,1.2534557586281485e-75,1.5566407295595428e-49,9.92957301519732e-47,8.204842045330475e-64,1.7237422905496883e-111,4.6791156335668326e-82,1.2301878350768502e-76,1.562432847734202e-66,1.3854053702541807e-57,4.303175943471824e-96,3.76,0.0,0.7400132245121007,0.9999999999986092,2.1001834051461813e-41,3.0277274489009635e-73,2.3097858052387295e-14,2.3097858052387295e-14,9.629206317712307e-31,4.462065264025539e-34,1.3908996601914761e-12,1.854306162764331e-34,9.09856574143497e-36,6.313516517076298e-18,5.535627520162323e-29,2.9543085851908614e-39,5.067669298897598e-29,9.263677561182028e-16,9.3874023617618e-34,1.353995289733166e-29,9.594128239799382e-31,1.0901983760344993e-34,1.5614303335654696e-31,3.171910233569673e-30,9.19929668248934e-59
1.123504563612755e-18,0.7462814966355032,3.2637618325419845e-22,7.417710936126043e-24,5.416927937408412e-29,2.3459923233929045e-33,0.0,0.0,1.2628077076547949e-17,2.0026997002322895e-32,2.5508010452484257e-42,4.1273237688082875e-55,2.7594407519759302e-55,1.901504583194355e-61,6.356529194686817e-44,4.83589362933153e-47,3.894815043926165e-59,1.788414978748242e-57,1.982504600698775e-53,1.683995695979533e-51,2.9353733406838907e-30,6.607405441746534e-47,8.776640786629331e-52,4.720094781892464e-99,4.011954425912829e-74,1.2456279582195393e-48,7.945666705703963e-46,1.3131567289730339e-62,2.2073002245005255e-109,1.497767205674586e-80,3.9376972185141167e-75,2.500571189242409e-65,2.2172909953833724e-56,2.755138442777665e-94,3.76,0.0,0.7400132245120772,0.999999999997218,1.680465815403817e-40,9.690888232835014e-72,4.6200729748804937e-14,4.620072974880495e-14,3.852309542323771e-30,1.785116657710789e-33,2.7821012277499215e-12,7.418432102737225e-34,3.6400187629264444e-35,1.2628403452096077e-17,2.214611466322684e-28,2.3638957307627653e-38,2.027397706335067e-28,1.852936590542421e-15,3.7555722156286495e-33,5.416862827710116e-29,3.8382760277932186e-30,4.361503402431469e-34,6.246738076271927e-31,1.2689706357850736e-29,1.472186972589373e-57
2.247131048502082e-18,0.7462814966355096,6.527881894036052e-22,1.4836226834354755e-23,2.1669475233920485e-28,9.38473802315798e-33,0.0,0.0,2.5257524535802176e-17,8.011450781080145e-32,2.040834598029107e-41,3.303022782406093e-54,2.2312635341874298e-54,1.5213481072711985e-60,2.542818615572788e-43,3.869104453101768e-46,6.232376387219207e-58,2.8618494538197267e-56,1.5861543147470408e-52,1.3473244750551627e-50,1.1742448975399019e-29,5.286426259594299e-46,7.022202145092438e-51,6.04315266811082e-97,1.2839687979227317e-72,9.966285318826734e-48,6.357336780019072e-45,2.1013572707422118e-61,2.825928018221976e-107,4.793577424078386e-79,1.2602385200083423e-73,4.001457651765325e-64,3.548179598677989e-55,1.7636834440876044e-92,3.76,0.0,0.74001322451203,0.9999999999944356,1.344500302471259e-39,3.1014299508599905e-70,9.240647314163729e-14,9.240647314163733e-14,1.5410492282954016e-29,7.141047775587036e-33,5.564504354777871e-12,2.9676143486413e-33,1.4561260088791654e-34,2.525817732145087e-17,8.859166832193687e-28,1.8912961486474934e-37,8.1102508457057e-28,3.7060742593906585e-15,1.5023511491380662e-32,2.1669214773935897e-28,1.5354353662467735e-29,1.7447433529892354e-33,2.498898593175056e-30,5.076295657073649e-29,2.355738788489983e-56
4.494384018280736e-18,0.7462814966355223,1.3056134166775366e-21,2.967325863564369e-23,8.668142802948336e-28,3.7540519550361976e-32,0.0,0.0,5.0516419454167963e-17,3.204710713096706e-31,1.632745187289432e-40,2.643904137655688e-53,1.8226994692245167e-53,1.2171362654296646e-59,1.0171688355331597e-42,3.095439390497227e-45,9.972340142139576e-57,4.579267538265766e-55,1.268983757674667e-51,1.0779107500689374e-49,4.6971707194972705e-29,4.2293417808061e-45,5.618118275590991e-50,7.73615162881947e-95,4.108929593323458e-71,7.97353294830623e-47,5.086190809829424e-44,3.362419586293977e-60,3.617564377118829e-105,1.534061589906619e-77,4.033043941404816e-72,6.402769722149621e-63,5.677498596137427e-54,1.1289361118412594e-90,3.76,0.0,0.7400132245119357,0.9999999999888707,1.075651304759392e-38,9.925129060774061e-69,1.8481795992729007e-13,1.848179599272903e-13,6.164447739941753e-29,2.856535342648278e-32,1.1129310576478008e-11,1.1870940426952534e-32,5.8247410673671015e-34,5.0517725057421385e-17,3.543810930628526e-27,1.513108748067778e-36,3.2442323469047436e-27,7.412349597086334e-15,6.009649130993292e-32,8.668038614719123e-28,6.141991382995516e-29,6.979257424073849e-33,9.996001110772742e-30,2.0306008883979845e-28,3.769373778667746e-55
8.988889957838044e-18,0.746281496635548,2.6112687311258737e-21,5.934732225754763e-23,3.4673276642828e-27,1.5016545272465117e-31,0.0,0.0,1.0103420929032891e-16,1.2819103658291221e-30,1.3062271541968944e-39,2.117350313100061e-52,1.518361856054563e-52,9.737321251908013e-59,4.0687581245405897e-42,2.4764138446308374e-44,1.5956174689518965e-55,7.327074799681196e-54,1.0152112075091482e-50,8.623490685848844e-49,1.878906514346793e-28,3.3835537359278146e-44,4.49463841901666e-49,9.902860566788562e-93,1.3148941901853178e-69,6.379028244041964e-46,4.069081206154165e-43,5.380078443251856e-59,4.630730756834161e-103,4.909191842021048e-76,1.2906189712648626e-70,1.0244789388778587e-61,9.0843267575425e-53,7.226433032825524e-89,3.76,0.0,0.7400132245117471,0.999999999977741,8.605414694593535e-38,3.176129838965207e-67,3.6964093349854833e-13,3.696409334985493e-13,2.465829258299758e-28,1.1426373834168053e-31,2.225892289045525e-11,4.748472779055205e-32,2.329943846956393e-33,1.0103682051840614e-16,1.4175532117040415e-26,1.2105157303990743e-35,1.297719340835761e-26,1.48249002724745e-14,2.4039085601251025e-31,3.46728598814647e-27,2.456846536770564e-28,2.7917597874418125e-32,3.9984817919781326e-29,8.12256880639053e-28,6.031151421946106e-54
1.797790183695266e-17,0.7462814966355991,5.222598799624466e-21,1.1869544957866e-22,1.3869451744366865e-26,6.006704764262428e-31,0.0,0.0,2.0206978896036816e-16,5.127693624907397e-30,1.0449941252547798e-38,1.6973832710449928e-51,1.3109733141433194e-51,7.789949460305926e-58,1.6275198083061552e-41,1.9811560078344218e-43,2.5530224231025396e-54,1.1723517073664765e-52,8.121787720839801e-50,6.898874423462808e-48,7.515702511162135e-28,2.706875113502053e-43,3.5957701281330665e-48,1.2676037052787489e-90,4.2077202175454875e-68,5.10330335372526e-45,3.2553163890942965e-42,8.608319147568298e-58,5.927513188013359e-101,1.570977570632757e-74,4.130052564965774e-69,1.639197437369833e-60,1.4535186019524967e-51,4.626172199855291e-87,3.76,0.0,0.74001322451137,0.9999999999554817,6.884413459268224e-37,1.0163757288490153e-65,7.392868806408754e-13,7.392868806408791e-13,9.863417327361695e-28,4.57059602248367e-31,4.4518147000717607e-11,1.8994084335104092e-31,9.319870331053234e-33,2.0207501139655057e-16,5.670270521346843e-26,9.684240764789326e-35,5.190930166995606e-26,2.9650001623238074e-14,9.615732056577947e-31,1.3869285038151807e-26,9.827486107763464e-28,1.1167152901424934e-31,1.5994089853549434e-28,3.24906057238583e-27,9.649964970310543e-53
3.595592559518189e-17,0.7462814966357013,1.0445336695029493e-20,2.373917045301043e-22,5.54780891513778e-26,2.4027145682294177e-30,0.0,0.0,4.041409482913164e-16,2.0510878822841594e-29,8.360002609727085e-38,1.363487375675815e-50,1.2028168500020943e-50,6.231996561854408e-57,6.510112365239533e-41,1.5849347774166375e-42,4.084863568235189e-53,1.875778523430196e-51,6.497471407638996e-49,5.519132288216972e-47,3.0062962952868344e-27,2.165512940499675e-42,2.876642856062436e-47,1.62255681940623e-88,1.3464799145996342e-66,4.0826749915844236e-44,2.604273681213517e-41,1.3773554991342373e-56,7.587378988121466e-99,5.027218243467298e-73,1.32162831770239e-67,2.6227488337326084e-59,2.3256508196534874e-50,2.962249609326512e-85,3.76,0.0,0.7400132245106157,0.9999999999109631,5.507563448902358e-36,3.2524251095253955e-64,1.4785787749247714e-12,1.478578774924786e-12,3.945386964765284e-27,1.8282477033482293e-30,8.903659315047387e-11,7.5976723784823105e-31,3.727967203042953e-32,4.041513929775393e-16,2.26811973958581e-25,7.747438568429537e-34,2.0763826268036084e-25,5.930020432471418e-14,3.846312385734791e-30,5.547742232333463e-26,3.9310144294479335e-27,4.466884003020211e-31,6.397668469772476e-28,1.2996308381302448e-26,1.5440042085173184e-51
7.191197311164035e-17,0.746281496635906,2.089112351947235e-20,4.747842156698847e-22,2.219129209400533e-25,9.61104624933972e-30,0.0,0.0,8.082832669166915e-16,8.20437239347818e-29,6.6880219305532255e-37,1.0997094849493615e-49,1.208708226473364e-49,4.985612062738355e-56,2.6040515844237e-40,1.2679518075722208e-41,6.535804223347394e-52,3.001258270762342e-50,5.197996828794112e-48,4.415318929299354e-46,1.202521576285085e-26,1.7324154918294338e-41,2.3013297802502194e-46,2.9924104296092238e-86,4.3087510657923646e-65,3.2661529246963478e-43,2.0834271731579888e-40,2.2038290708480306e-55,9.712123780678836e-97,1.6087533601506258e-71,4.229229009858991e-66,4.196450163158167e-58,3.721058155853159e-49,1.8993630130712423e-83,3.76,0.0,0.740013224509107,0.9999999998219258,4.406063831492226e-35,1.0407797359997915e-62,2.9571625634895323e-12,2.9571625634895905e-12,1.5781587725981794e-26,7.313009374544528e-30,1.7807347716691344e-10,3.0390766806918902e-30,1.491190760863339e-31,8.083041554383157e-16,9.072501989205496e-25,6.197969217688202e-33,8.305551621094977e-25,1.1860060972746231e-13,1.5385288667641753e-29,2.21910253622767e-25,1.5724097643504394e-26,1.786758243322306e-30,2.5590738864584172e-27,5.19853656434678e-26,2.4704145765137873e-50
1.4382406814455729e-16,0.7462814966363154,4.1783941302900513e-20,9.495692428971175e-22,8.87652812314278e-25,3.8445542160815824e-29,0.0,0.0,1.616567904021356e-15,3.281753129986392e-28,5.350425480972108e-36,8.940350709944408e-49,1.3612916266263854e-48,3.988495600721027e-55,1.0416219709646644e-39,1.0143630357809239e-40,1.0457305924086812e-50,4.802023339550622e-49,4.1584104805090767e-47,3.532260381183915e-45,4.810092421481044e-26,1.3859344484921748e-40,1.841077692676327e-45,3.839452552790893e-84,1.378802940604995e-63,2.612927525039254e-42,1.6667450300964553e-39,3.526277212789709e-54,1.2432052821327697e-94,5.1482282408151306e-70,1.3533562248350921e-64,6.714444066684668e-57,5.953706522042767e-48,1.2190590194387614e-81,3.76,0.0,0.7400132245060898,0.9999999996438512,3.5248562937211974e-34,3.330501438848162e-61,5.914330140606927e-12,5.91433014060716e-12,6.312642903137889e-26,2.925207439972831e-29,3.561472120675068e-10,1.2156322184531737e-29,5.964771326861099e-31,1.6166096775550646e-15,3.629005376833196e-24,4.958382687731005e-32,3.322224866277051e-24,2.372014205321421e-13,6.154123290732567e-29,8.876421430449237e-25,6.289647004904047e-26,7.147042846440158e-30,1.0236308485862229e-26,2.0794172628624582e-25,3.952669571915603e-49
