Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70)
4.8624080494314945e-18,0.5018043279445346,1.2585692657992106e-44,1.7414446124124812e-31,4.811187729487815e-57,3.180048213354822e-74,0.0,0.0,5.901253087940643e-41,8.827315668934922e-74,2.359206712737334e-75,6.305136611091465e-91,2.6266439239705676e-67,4.946553742844813e-111,1.6491975342755427e-91,5.5011348993971304e-80,4.430588550254303e-101,1.9360544575642824e-89,1.0415035415779754e-72,3.198610007077799e-65,4.385936114677863e-38,2.2592230657198212e-57,1.1848214008280314e-91,8.421786894396008e-168,2.5959562930097742e-117,1.4921523051713557e-101,1.0169835626154486e-78,2.2167304469571598e-130,1.0434830952634618e-212,2.4858223419736355e-185,2.982088263236382e-130,2.9750819972519026e-105,2.926202111746082e-88,3.15771668723933e-157,3.76,0.0,0.929590468281897,0.9999999999996946,1.976171914649395e-85,2.7925435894666344e-133,1.3225991365796497e-17,1.3225991365796497e-17,1.0237083363632337e-37,3.754705117570375e-43,3.053948073823593e-13,5.902511657206442e-41
9.729040606290817e-18,0.5018043279445346,5.037556989406245e-44,3.484402208848937e-31,3.851875655586645e-56,5.093998418764291e-73,0.0,0.0,2.362039146114675e-40,1.4140141608627337e-72,3.785866427333472e-74,2.0200700033967156e-89,4.2060525440909284e-66,1.585411149322005e-109,5.283778329975608e-90,8.812058999677335e-79,2.8391322779651225e-99,6.202824374622484e-88,1.668344942686e-71,2.5608328972923663e-64,1.755517453809995e-37,1.808752156802479e-56,3.7959877798747067e-90,8.646882836414081e-165,3.327023682093167e-115,9.561766822576957e-100,1.6290673323710001e-77,2.8437359700145617e-128,8.579946419861385e-209,2.5538632743113695e-182,7.204130347184678e-128,1.9064400192288228e-103,9.375402063894584e-87,1.620495648236847e-154,3.76,0.0,0.929590468281897,0.9999999999993889,6.331557486585818e-84,7.161032710890455e-131,2.6463473601589342e-17,2.6463473601589342e-17,4.0975012040735e-37,1.5028605513152408e-42,6.110549392587533e-13,2.362542901813616e-40
1.9462305720009462e-17,0.5018043279445346,2.0156789679818155e-43,6.970317401719718e-31,3.082671213704091e-55,8.155137597232428e-72,0.0,0.0,9.451233282919771e-40,2.2637384423980552e-71,6.085660215899347e-73,6.4681088846533e-88,6.732423248377109e-65,5.0774952197217385e-108,1.6918251551669418e-88,1.4107494299029222e-77,1.8181833161526523e-97,1.986096654684838e-86,2.670904316259516e-70,2.0494446069270963e-63,7.024356482616383e-37,1.4475514419610993e-55,1.2154460887943472e-88,8.866190466344831e-162,4.261280149144492e-113,6.123371149170923e-98,2.6080236305199703e-76,3.644032801448665e-126,7.0417219809687965e-205,2.6194560354419046e-179,1.7890770602905153e-125,1.2208862053557535e-101,3.001978868744983e-85,8.306537718723689e-152,3.76,0.0,0.929590468281897,0.9999999999987776,2.0273484923989163e-82,1.8347775168052537e-128,5.293843807317503e-17,5.293843807317503e-17,1.639534204037698e-36,6.013399770930783e-42,1.2223751865454493e-12,9.453248961887755e-40
3.892883594744676e-17,0.5018043279445346,8.064028403526633e-43,1.3942147787452755e-30,2.466605346794131e-54,1.3052013500174093e-70,0.0,0.0,3.781108740515948e-39,3.623034480748575e-70,9.821641287180663e-72,2.0704166966443104e-86,1.0774069083445181e-63,1.6255659742264114e-106,5.415466690201896e-87,2.2578552945543787e-76,1.1640018313556933e-95,6.357418532428199e-85,4.274689143468875e-69,1.6398670673485396e-62,2.8101999916717048e-36,1.1582610869460255e-54,3.8905958887451147e-87,9.085016834134478e-159,5.456160750031955e-111,3.9201869250904225e-96,4.1740509249557805e-75,4.666956176098301e-124,5.7739222631440726e-201,2.6845268757649634e-176,4.5093178547113585e-123,7.816119334835447e-100,9.6092938012472e-84,4.255406645810851e-149,3.76,0.0,0.929590468281897,0.999999999997555,6.489516066079871e-81,4.699019515663478e-126,1.0588836701634641e-16,1.0588836701634641e-16,6.559204401990209e-36,2.405751476769015e-41,2.4450156152544774e-12,3.7819151433563035e-39
7.786189640232135e-17,0.5018043279445346,3.2258738865932395e-42,2.7885808558884734e-30,1.9734716478757289e-53,2.0886256774099147e-69,0.0,0.0,1.512566590439491e-38,5.797697685502246e-69,1.5980583188590865e-70,6.626328925047492e-85,1.72402642524521e-62,5.203669822596793e-105,1.7332095004679254e-85,3.613093522025105e-75,7.450778371246597e-94,2.0346794618076822e-83,6.8404962755908576e-68,1.3120182193264278e-61,1.1241714829086991e-35,9.266968519482146e-54,1.2451776592524289e-85,9.306149918963482e-156,6.984988154074514e-109,2.5093131111062526e-94,6.679452131118144e-74,5.975364732217544e-122,4.732187212149351e-197,2.750084497565987e-173,1.145327609343752e-120,5.003099753586924e-98,3.075447930966865e-82,2.1793980112293747e-146,3.76,0.0,0.9295904682818968,0.9999999999951097,2.076965342559742e-79,1.2032036645617057e-123,2.1178822490268916e-16,2.1178822490268916e-16,2.6238952843371596e-35,9.623789095557592e-41,4.890296209215108e-12,1.512889177828152e-38
1.5572801731207053e-16,0.5018043279445346,1.290402061677395e-41,5.5773130101612326e-30,1.5788522706275894e-52,3.342043917982822e-68,0.0,0.0,6.05051255897106e-38,9.276990365017253e-68,2.641622361734346e-69,2.120584776829865e-83,2.758582583942808e-61,1.665875265139639e-103,5.546686200267884e-84,5.781369708244192e-74,4.768871521601878e-92,6.511463169871439e-82,1.094558804138563e-66,1.0496644033707236e-60,4.496868910629817e-35,7.413926758219092e-53,3.9848676783962395e-84,9.531081311007354e-153,8.941490436426456e-107,1.606086315806596e-92,1.0687899992158194e-72,7.649529959763083e-120,3.8775051035657883e-193,2.8166647104338093e-170,2.920441109565651e-118,3.2022345372736262e-96,9.842191712855487e-81,1.1160130378088864e-143,3.76,0.0,0.9295904682818966,0.9999999999902192,6.646801466153094e-78,3.080527400295327e-121,4.235879406753746e-16,4.235879406753746e-16,1.0496008128971266e-34,3.849672278228469e-40,9.780856343306887e-12,6.051802961032754e-38
3.1146025913156885e-16,0.5018043279445348,5.16171326373185e-41,1.1154777318652193e-29,1.263111798469807e-51,5.347464545103865e-67,0.0,0.0,2.4202542638924262e-37,1.4843723860588097e-66,4.497426937104893e-68,6.786127986449905e-82,4.41384437198236e-60,6.179094733505176e-102,1.7750056689377822e-82,9.250527598983796e-73,3.0521984577887217e-90,2.0837464398229313e-80,1.7513571624964423e-65,8.397514529034438e-60,1.7987841607024295e-34,5.931282178220991e-52,1.2752055151649803e-82,2.6064024446064806e-149,1.1445563830970528e-104,1.02793839009064e-90,1.7101261271826665e-71,1.4108765453255393e-117,3.505325756128958e-188,5.8028998917849565e-167,7.461484908895499e-116,2.0495103170177458e-94,3.1496226876093914e-79,9.01157062779363e-141,3.76,0.0,0.9295904682818962,0.9999999999804381,2.127058452530565e-76,7.886570569868141e-119,8.471873722207454e-16,8.471873722207454e-16,4.198488594900904e-34,1.5399002372356382e-39,1.9561972396174344e-11,2.4207704352188124e-37
6.229247427705655e-16,0.5018043279445348,2.06470630994219e-40,2.23097059354159e-29,1.0105014321011524e-50,8.556098699854159e-66,0.0,0.0,9.68111553693266e-37,2.375038960673129e-65,8.062301346039143e-67,2.1716029605717944e-80,7.06224075898629e-59,1.988001628888006e-100,5.680121611320044e-81,1.4801112996163913e-71,1.9534452610037087e-88,6.668113766431431e-79,2.8022207972505767e-64,6.718091321291871e-59,7.195209836362218e-34,4.745082037319657e-51,4.0807341525629676e-81,2.6706704277207988e-146,1.4650610863881399e-102,6.578934923688986e-89,2.7362515050322645e-70,1.8102902429740931e-115,2.8719940786738805e-184,5.961373601534599e-164,1.9082395565295724e-113,1.3117122550253065e-92,1.0078986751344909e-77,4.6173589813021185e-138,3.76,0.0,0.9295904682818953,0.9999999999608759,6.806718226983136e-75,2.019015502429988e-116,1.6943862353114859e-15,1.6943862353114859e-15,1.6794124615486928e-33,6.15966358047222e-39,3.912418764065936e-11,9.683180243242704e-37
1.2458537100485588e-15,0.501804327944535,8.258867255718975e-40,4.461956316807046e-29,8.084059436480082e-50,1.3689882274201145e-64,0.0,0.0,3.872465911036004e-36,3.800096851720607e-64,1.5672027333885576e-65,6.949202646672447e-79,1.1299656937274327e-57,6.376620241733868e-99,1.8176539711511302e-79,2.368199580116276e-70,1.2502172036547251e-86,2.1338164280438687e-77,4.483589008161382e-63,5.374504898347873e-58,2.8780985733205363e-33,3.7960881244355557e-50,1.305847124434447e-79,2.7348111881384836e-143,1.8752966871018398e-100,4.21055960164855e-87,4.3780421625629004e-69,2.317247765972778e-113,2.352783642696008e-180,6.104721713167569e-161,4.8826603692723266e-111,8.395040306369656e-91,3.2253068270867954e-76,2.3641263085747663e-135,3.76,0.0,0.9295904682818936,0.9999999999217515,2.1781708231013037e-73,5.168748070390662e-114,3.388783961492964e-15,3.388783961492964e-15,6.717683531713833e-33,2.463877941817345e-38,7.824855068474614e-11,3.873291797761657e-36
2.4917116446045457e-15,0.5018043279445352,3.303555310987819e-39,8.923927762988812e-29,6.467266750795485e-49,2.1903911158014848e-63,0.0,0.0,1.5489903035979073e-35,6.080182574311817e-63,3.394659350141209e-64,2.223760371782889e-77,1.8079508194292143e-56,2.0495639426620934e-97,5.816507181053901e-78,3.7891365080153853e-69,8.001429270971885e-85,6.828244587982907e-76,7.1737590248660995e-62,4.299616594247816e-57,1.1512423570898578e-32,3.03687945986214e-49,4.1787300222198073e-78,2.8004687026857384e-140,2.4003915928318787e-98,2.69477132608354e-85,7.004899241063683e-68,2.9660987420562946e-111,1.9274192320776968e-176,6.2513016842979235e-158,1.2496496209789732e-108,5.372851722576838e-89,1.0321031567313648e-74,1.2104416287156385e-132,3.76,0.0,0.9295904682818902,0.999999999843503,6.970180229129858e-72,1.323208260928743e-111,6.777579413855907e-15,6.777579413855907e-15,2.6870798603568884e-32,9.855536652716062e-38,1.5649700699431674e-10,1.549320659129071e-35
3.737569579160533e-15,0.5018043279445356,7.020060297469358e-39,1.3385899208821442e-28,1.849240125151955e-48,8.350874965311973e-63,0.0,0.0,3.2916068570271313e-35,2.318072056944992e-62,1.4064793327399864e-63,1.0436923454216455e-76,6.6544642610291765e-56,9.082568960317311e-97,2.729896753738999e-77,1.4446098159745188e-68,4.485123437700948e-84,3.2047436183831904e-75,2.734996576245966e-61,1.2294225433862386e-56,2.4463918386686018e-32,8.683583740313478e-49,1.9612299663151634e-77,1.6821248179906317e-139,1.575043549685615e-97,1.5106596543567753e-84,2.6706206535228017e-67,1.659150885461928e-110,1.0163589132387723e-175,4.6774466061364324e-157,9.417047440583072e-108,3.0117003213147607e-88,4.828699956976413e-74,8.114776688152679e-132,3.76,0.0,0.9295904682818867,0.9999999997652549,3.2608134133271775e-71,1.0019095289158013e-110,1.0166374866218838e-14,1.0166374866218838e-14,5.710048407428237e-32,2.09430307898405e-37,2.347451935262145e-10,3.292308863057063e-35
4.98342751371652e-15,0.5018043279445359,1.1975401689821563e-38,1.7847870654304929e-28,3.9005933940691614e-48,2.246866084451898e-62,0.0,0.0,5.615096251300429e-35,6.236948226440544e-62,3.927212217508187e-63,3.2535068077576897e-76,1.6877168939841508e-55,3.1052404510387547e-96,8.509907134734607e-77,3.886831980513484e-68,1.636596348306253e-83,9.9901578875381e-75,7.358704928728e-61,2.5932092742424987e-56,4.173258302068285e-32,1.8316200592751112e-48,6.113748477965361e-77,1.6164159013507783e-138,6.446399573662302e-97,5.514302901649079e-84,7.185506884482515e-67,8.683677642285364e-110,2.1292435690451235e-174,3.64473964015723e-156,4.284482160309974e-107,1.0989522560808814e-87,1.5568329660682105e-73,5.606001552714787e-131,3.76,0.0,0.9295904682818833,0.9999999996870069,1.0519645812874952e-70,5.0436280177897875e-110,1.3555170318581757e-14,1.3555170318581757e-14,9.74067374111886e-32,3.5726360236057904e-37,3.1299311028136954e-10,5.616293791469802e-35
7.475143382828493e-15,0.5018043279445364,2.4793557686883e-38,2.6771813544452496e-28,1.0653781809407618e-47,9.087841739488538e-62,0.0,0.0,1.1625348033308746e-34,2.522642478666064e-61,1.585885400431561e-62,1.6030403985556882e-75,5.902030237267736e-55,1.9085433641170687e-95,4.19291730334709e-76,1.5720969713327922e-67,1.0642741445504072e-82,4.9222657463334985e-74,2.976346393004164e-60,7.0828617272903535e-56,8.640204553549445e-32,5.0027245289167265e-48,3.01231407330761e-76,7.201251943312896e-137,4.915546477025737e-96,3.5914651374493745e-83,2.9063035649612997e-66,1.2894554689790082e-108,3.4313942666147133e-172,2.3803372745931988e-154,3.801451517755745e-106,7.1464517529641415e-87,8.553953357034988e-73,1.490747897357797e-129,3.76,0.0,0.9295904682818765,0.9999999995305118,5.790534122461737e-70,6.905732840520014e-109,2.0332761223307563e-14,2.0332761223307563e-14,2.01668324077799e-31,7.39669179599522e-37,4.694883106450665e-10,1.1627827389078503e-34
9.966859251940467e-15,0.5018043279445371,4.2167357027859067e-38,3.5695756433316166e-28,2.229135596371109e-47,2.461647474829046e-61,0.0,0.0,1.9771676422532922e-34,6.833147688140753e-61,4.4010952374690884e-62,5.029924764324703e-75,1.4747570134264008e-54,6.41132625818416e-95,1.3156258518642402e-75,4.258380183918258e-67,3.910813453762273e-82,1.5444790230876694e-73,8.06208812785496e-60,1.4819719446376115e-55,1.469472812204754e-31,1.0467375614995482e-47,9.451858052906043e-76,4.849010331950224e-136,2.022585979226609e-95,1.3203621691120246e-82,7.872380495754517e-66,6.139898307164358e-108,3.345801679152409e-171,1.7488170295476425e-153,1.7256639422309844e-105,2.6260559224381087e-86,2.744246030645075e-72,8.754623713781685e-129,3.76,0.0,0.9295904682818698,0.9999999993740176,1.8583423810785035e-69,3.391679771684668e-108,2.711035212803333e-14,2.711035212803333e-14,3.429850236272632e-31,1.2579837928769208e-36,6.259825189511894e-10,1.9775893158237936e-34
1.245857512105244e-14,0.5018043279445376,6.442220284086137e-38,4.461969932080423e-28,4.0580665605827913e-47,5.530016393807699e-61,0.0,0.0,3.0206658318865445e-34,1.5350459014819394e-60,1.0280712726432957e-61,1.293055245612586e-74,3.1288583004287104e-54,1.7340975143684992e-94,3.382104427588282e-75,9.566321875424276e-67,1.1514364990695358e-81,3.970429520052724e-73,1.8111191040459768e-59,2.697873727387894e-55,2.245022738734948e-31,1.9055460411278445e-47,2.429811872024624e-75,2.801158967922854e-135,6.633795632152523e-95,3.889364047797124e-82,1.7685063957570804e-65,2.3342554346413996e-107,3.107181455147709e-170,1.0425613850446892e-152,6.231392963631235e-105,7.73173166983472e-86,7.168878052662431e-72,4.2739912785136807e-128,3.76,0.0,0.929590468281863,0.9999999992175244,4.855801922683039e-69,1.3499086142672815e-107,3.3887943032759045e-14,3.3887943032759045e-14,5.2400361290820096e-31,1.9219152226518972e-36,7.824756643446996e-10,3.021310053915359e-34
1.7442006859276388e-14,0.5018043279445389,1.2388163307326823e-37,6.24675850915672e-28,1.071452643804013e-46,2.1444697853497215e-60,0.0,0.0,5.808634254129773e-34,5.952712076157703e-60,4.895168958564324e-61,7.29494067202018e-74,1.1463167885979434e-53,9.783862922436159e-94,1.908041693409668e-74,3.7096974645773525e-66,9.661955062155691e-81,2.2399651388018877e-72,7.023242192184577e-59,7.123183747583316e-55,4.317099841624023e-31,5.031204583369905e-47,1.3708070827081063e-74,1.529502270993735e-133,8.537179114367401e-94,3.2658153348601082e-81,6.858042018158684e-65,3.188124538679492e-106,7.534856161275112e-168,7.718387615507971e-151,1.2622748827536963e-103,6.487864237212304e-85,4.010809703279141e-71,1.5377690537368145e-126,3.76,0.0,0.9295904682818494,0.9999999989045414,2.716354241511763e-68,3.1486217652197843e-106,4.7443124842210316e-14,4.7443124842210316e-14,1.0076401879194867e-30,3.695775280780027e-36,1.0954586996700208e-09,5.809873070461578e-34
2.7408870335724284e-14,0.5018043279445412,3.022337115073797e-37,9.81633566163439e-28,4.143147909274447e-46,1.3792519876873367e-59,0.0,0.0,1.417131034617742e-33,3.828587338507329e-59,4.832719916529737e-60,8.167877046009591e-73,7.269607992166194e-53,1.0387736691833712e-92,2.1363206884872057e-73,2.3859545110769723e-65,1.8578852052449667e-79,2.5079897188599587e-71,4.51705648593111e-58,2.7544226546447775e-54,1.0532417605142521e-30,1.945487375257526e-46,1.5348312744833575e-73,2.2382559617311718e-131,3.056315048379017e-92,6.277977836504607e-80,4.410865494400312e-64,9.44169795867482e-105,5.550695096911927e-165,1.1048561703082788e-148,8.608279372068089e-102,1.2475431782254331e-83,4.264265268437659e-70,1.4000127849201338e-124,3.76,0.0,0.9295904682818223,0.9999999982785881,2.885652983829619e-67,1.8345254218070643e-104,7.455348846111228e-14,7.455348846111228e-14,2.45833540241774e-30,9.016572795684494e-36,1.7214118283573763e-09,1.417433268329664e-33
