Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79)
8.272176412498426e-19,0.5862132170573539,8.946547639291659e-41,2.80855222390544e-28,2.8893481127596222e-40,2.717428741951383e-69,0.0,0.0,1.9059855918692265e-38,7.278436366681952e-70,2.8914835502128677e-71,2.5577230277212197e-86,1.7818768407861605e-64,5.723051146796907e-101,9.238257251680494e-79,1.4150547175102627e-74,4.520609315952035e-83,3.7551530044601244e-84,2.184543833908801e-61,2.838618187702348e-60,3.1176614198927204e-35,1.0524181903420256e-53,9.16109115322151e-87,7.355997031403135e-134,3.689167923963584e-99,2.2200649778021448e-83,5.1118447081522404e-73,4.8173027026922265e-123,1.7478590887313465e-177,3.047233465431387e-175,2.2978965689802705e-112,2.8597276035741476e-87,1.501382399232157e-70,1.2202073267864302e-124,3.76,0.0,0.7725180581325237,0.9999999999996911,7.93036271821595e-68,4.336380157365168e-114,2.380808408301184e-16,2.380808408301184e-16,5.4688086973391e-35,2.1800080677294117e-39,3.0884552505519086e-13,1.9149321394924877e-38,2.8893481143626603e-40
1.6551539772357842e-18,0.5862132170573537,3.5809505933375876e-40,5.6195445453109445e-28,1.1564922322520996e-39,4.3529458630287854e-68,0.0,0.0,7.628909509279687e-38,1.1659050698328858e-68,4.6302339136432374e-70,8.19455564054067e-85,2.853324560502856e-63,1.833120347153352e-99,1.4793248604392473e-77,2.2667223921619716e-73,1.4483345593003504e-81,1.203093978710953e-82,1.7489634164803485e-60,2.272620551520067e-59,1.2478770539715696e-34,8.425744675799601e-53,2.9350744385847186e-85,1.8873941339354602e-131,2.3639525041191273e-97,7.112751117641242e-82,8.188469832227603e-72,6.179883978750733e-121,3.592172244209419e-174,3.131255813008711e-172,2.944930156905849e-110,9.162132827628003e-86,2.405007428433033e-69,1.5653447973490632e-122,3.76,0.0,0.7725180581325235,0.999999999999382,1.2703346767113257e-66,5.5597275111644265e-112,4.7636852861143575e-16,4.7636852861143575e-16,2.188948691198939e-34,8.725713535565091e-39,6.179593771731799e-13,7.66471901508472e-38,1.1564922335355048e-39
3.3110266492076674e-18,0.5862132170573537,1.4328466777642213e-39,1.1241529188118478e-27,4.6274753402942325e-39,6.968763935081514e-67,0.0,0.0,3.052557515191424e-37,1.8665330233730682e-67,7.411685209681138e-69,2.6238336238338356e-83,4.567177515631615e-62,5.868777392883621e-98,2.3678833218200832e-76,3.6288650844928223e-72,4.6374558771106594e-80,3.8522143874603176e-81,1.399702363991764e-59,1.8187871369589594e-58,4.993133651021021e-34,6.74315649632348e-52,9.397882595392234e-84,4.8371877772877096e-129,1.5138534855112714e-95,2.277448231513395e-80,1.310917136242858e-70,7.919054429118296e-119,7.369656201938666e-171,3.2129391398250387e-169,3.771830747480415e-108,2.933644465104096e-84,3.850249829539661e-68,2.0058711032552573e-120,3.76,0.0,0.7725180581325231,0.9999999999987638,2.0337175738610483e-65,7.122320133520775e-110,9.5294390417407e-16,9.5294390417407e-16,8.758645999181875e-34,3.4914219907761484e-38,1.2361870786040103e-12,3.0668859818663543e-37,4.6274753505653756e-39
6.622771993151434e-18,0.586213217057354,5.732319724894359e-39,2.248549847371964e-27,1.851291467532268e-38,1.115326380143026e-65,0.0,0.0,1.2212217766835293e-36,2.987321051089507e-66,1.1862053717255998e-67,8.398789795622761e-82,7.308970970470642e-61,1.878455804750336e-96,3.789384677643261e-75,5.807872093618169e-71,1.4844316878606493e-78,1.2330789214882431e-79,1.1199746911399563e-58,1.4553060468643833e-57,1.9975785937459343e-33,5.395549718083571e-51,3.008225849782437e-82,1.23901927693893e-126,9.691619835477838e-94,7.290023730751473e-79,2.09807718818916e-69,1.0142027252060463e-116,1.5106267710176587e-167,3.295337484935124e-166,4.829428812952528e-106,9.390482441824921e-83,6.162190689208852e-67,2.568943012012883e-118,3.76,0.0,0.7725180581325221,0.9999999999975273,3.254894111546138e-64,9.120327805742505e-108,1.9060946552993377e-15,1.9060946552993377e-15,3.5040287257915406e-33,1.3967961438400122e-37,2.4726424702450804e-12,1.226954096326239e-36,1.851291475750743e-38
1.3246262681038966e-17,0.5862132170573542,2.2931145060824274e-38,4.497343704486635e-27,7.405768625783431e-38,1.7847815711813e-64,0.0,0.0,4.88528467625229e-36,4.7804083664624986e-65,1.8984237763239246e-66,2.688016359926445e-80,1.1695543256481011e-59,6.011774829840707e-95,6.063633721539635e-74,9.293945937449886e-70,4.75089484831326e-77,3.946445177720603e-78,8.96065045472329e-58,1.1643553841472932e-56,7.990964687969358e-33,4.316849626404902e-50,9.627768440657985e-81,3.1727846688433847e-124,6.203583314459076e-92,2.3331579726733346e-77,3.357411397174492e-68,1.2985404121622498e-114,3.0951173146750507e-164,3.3811068306124414e-163,6.1826197860865e-104,3.005405702666976e-81,9.860938171262936e-66,3.289161310644435e-116,3.76,0.0,0.7725180581325202,0.9999999999950544,5.208587531101514e-63,1.1676425415618362e-105,3.8123961575498675e-15,3.8123961575498675e-15,1.4017255620690224e-32,5.587639301498429e-37,4.94555320864486e-12,4.908215820655574e-36,7.405768691537475e-38
2.649324405681403e-17,0.5862132170573545,9.172831270410507e-38,8.994931418693732e-27,2.962428045661006e-37,2.855858021407794e-63,0.0,0.0,1.9541933872295404e-35,7.64920917960433e-64,3.038599211240805e-65,8.602298225642692e-79,1.8713821029740445e-58,1.923883120425684e-93,9.702311999869097e-73,1.4871394057647527e-68,1.520400532528576e-75,1.2629572966851991e-76,7.168864168096591e-57,9.315285282266232e-56,3.19651594241592e-32,3.453643650249625e-49,3.081117234714136e-79,8.123475124186791e-122,3.970596317082203e-90,7.466666263674208e-76,5.3722485843198045e-67,1.6623627569239898e-112,6.340186954361454e-161,3.473811439362112e-160,7.914362059997062e-102,9.618020538165872e-80,1.577864782843637e-64,4.21071178689265e-114,3.76,0.0,0.7725180581325164,0.9999999999901086,8.33434577015691e-62,1.494736464493835e-103,7.624999162050911e-15,7.624999162050911e-15,5.607130387145487e-32,2.235146668022772e-36,9.891374505914979e-12,1.963366217973894e-35,2.962428098266738e-37
5.2987206808364164e-17,0.5862132170573553,3.6692071591428934e-37,1.7990106847018952e-26,1.1849953697029953e-36,4.569538847586459e-62,0.0,0.0,7.816932585156908e-35,1.2239179340107125e-62,4.8649757227138036e-64,2.7528387872416406e-77,2.994287511745954e-57,6.156613890925521e-92,1.5524108607800484e-71,2.3795094970977913e-67,4.865464526659954e-74,4.0416151692663934e-75,5.73523304528036e-56,7.452405112326645e-55,1.278632390875105e-31,2.7629805009518785e-48,9.85994528838632e-78,2.0797564659970528e-119,2.54127867004773e-88,2.389422989801376e-74,8.595910026828639e-66,2.1279722000920762e-110,1.2986123567994117e-157,3.579765388317435e-157,1.013077329580537e-99,3.077882215444122e-78,2.524675462485504e-63,5.390085945757568e-112,3.76,0.0,0.7725180581325087,0.9999999999802169,1.3335438176251954e-60,1.9133612969058147e-101,1.5250205171052922e-14,1.5250205171052922e-14,2.24289777323728e-31,8.94076856183598e-36,1.978301638233751e-11,7.853624652539778e-35,1.184995411788579e-36
1.0597513231146442e-16,0.5862132170573571,1.4676977943326597e-36,3.5980457703313475e-26,4.7400300376373146e-36,7.311394971196617e-61,0.0,0.0,3.126804841553869e-34,1.9583042673398754e-61,7.79395889150812e-63,8.809249559193721e-76,4.790920934341936e-56,2.0178418693637455e-90,2.4838936373835936e-70,3.807284354150928e-66,1.556980690225486e-72,1.2933411903667099e-73,4.5882498179763655e-55,5.961994842459381e-54,5.114581591780966e-31,2.210410632373632e-47,3.155241707308037e-76,8.063585953461983e-117,1.62645226641577e-86,7.646378315765752e-73,1.3753705881760288e-64,3.924663609022728e-108,1.5177961000892214e-153,7.802396928207415e-154,1.2967662034693905e-97,9.849408582300862e-77,4.039554400073715e-62,9.941049843859608e-110,3.76,0.0,0.7725180581324935,0.9999999999604336,2.1337090158253985e-59,2.4491699344102816e-99,3.0500617189056636e-14,3.0500617189056636e-14,8.971682248862479e-31,3.576343796335075e-35,3.956629726271218e-11,3.1414818161303085e-34,4.740030374325978e-36
2.1195098331766495e-16,0.5862132170573602,5.8708210415894976e-36,7.19611594144789e-26,1.8960219312780104e-35,1.1698338212399656e-59,0.0,0.0,1.25072829811627e-33,3.133315286294157e-60,1.2502089681789134e-61,2.818986373383907e-74,7.665522218195766e-55,6.46192991908214e-89,3.974270050524392e-69,6.091710291327484e-65,4.982385923006484e-71,4.138731032252324e-72,3.6706359219502333e-54,4.769624170472295e-53,2.0458430424147783e-30,1.7683389969514196e-46,1.0096868155757674e-74,2.0670478999775845e-114,1.0409396011927967e-84,2.4468651677513864e-71,2.2006129284523507e-63,5.035648809221616e-106,3.109757785791391e-150,8.545854424727484e-151,1.6598770698918497e-95,3.1518407197004085e-75,6.463346642863805e-61,1.2755144094598382e-107,3.76,0.0,0.772518058132463,0.9999999999208671,3.413965907934897e-58,3.134978525761045e-97,6.100144122506285e-14,6.100144122506285e-14,3.588691065483171e-30,1.4305447875488535e-34,7.913284753358327e-11,1.256599116464334e-33,1.8960222006305404e-35
4.2390268533006597e-16,0.5862132170573667,2.348334391720829e-35,1.4392256283111521e-25,7.584109192920896e-35,1.8717426164185237e-58,0.0,0.0,5.002925915228351e-33,5.013327224774211e-59,2.0104771108170904e-60,9.02079909814691e-73,1.2264874497241141e-53,2.0678854146303384e-87,6.358900177160634e-68,9.746780716754451e-64,1.5943714163232882e-69,1.3244003882748555e-70,2.9365403081624906e-53,3.8157106474601314e-52,8.183392981109987e-30,1.4146753913363276e-45,3.2310129269690325e-73,5.291711430160197e-112,6.662047025383768e-83,7.83000750456124e-70,3.5209966756922018e-62,6.445796589513776e-104,6.368848507585722e-147,9.840839122004916e-148,2.1246534311619033e-93,1.0085940143427447e-73,1.0341404468033575e-59,1.6327014371003038e-105,3.76,0.0,0.772518058132402,0.9999999998417339,5.462371778743234e-57,4.0127994534340026e-95,1.2200308929707048e-13,1.2200308929707053e-13,1.4354800071284512e-29,5.7221936455558795e-34,1.5826590211583914e-10,5.026409237597294e-33,7.584111347747523e-35
8.478060893548681e-16,0.5862132170573796,9.393349534826407e-35,2.8784536964160997e-25,3.033649278988577e-34,2.9947949937139605e-57,0.0,0.0,2.0011729104432386e-32,8.02134177223781e-58,3.2492050273000225e-59,2.8866627231428716e-71,1.9623830256155806e-52,6.617331043656841e-86,1.0174409677756996e-66,1.5594884517497204e-62,5.102003296315676e-68,4.238092741487399e-69,2.34927230441433e-52,3.052573030316732e-51,3.2733613547386256e-29,1.1317419863262242e-44,1.033926533785777e-71,1.3546845915072292e-109,4.263722554811188e-81,2.505609652862436e-68,5.633607473883144e-61,8.25065032318427e-102,1.3043477261152794e-143,1.230860501603133e-144,2.7195643674865357e-91,3.227510025333735e-72,1.6546293922948645e-58,2.089867960116428e-103,3.76,0.0,0.77251805813228,0.9999999996834682,8.73981955432623e-56,5.136402637459862e-93,2.4400638544106645e-13,2.440063854410666e-13,5.74192677230774e-29,2.2888803231364334e-33,3.1653182744261907e-10,2.0105662427394263e-32,3.0336510028524286e-34
1.2717094933796702e-15,0.5862132170573925,1.9960875261453578e-34,4.317681764293267e-25,6.4465100723283015e-34,1.141766196131265e-56,0.0,0.0,4.252494024624097e-32,3.058138166921783e-57,1.2016853496191193e-58,1.354810299055551e-70,7.222875217753012e-52,3.004650612528964e-85,3.7448906725290604e-66,5.945552858048448e-62,2.3945534306760548e-67,1.9890904918678165e-68,6.71752253386777e-52,8.728454307569208e-51,6.955895480254697e-29,3.2360759657971614e-44,4.852591044585413e-71,8.348074226706574e-109,2.39622303570734e-80,1.175968204795664e-67,2.1478139848143216e-60,4.615177052931475e-101,7.009660886933811e-143,8.2687957964779e-144,1.7884179907509616e-90,1.5147874931954294e-71,6.308279681122465e-58,1.169012283387281e-102,3.76,0.0,0.772518058132158,0.9999999995252024,3.332058911440101e-55,3.4071700150632804e-92,3.66009681585043e-13,3.6600968158504343e-13,1.2201598135682136e-28,4.863872438805625e-33,4.747975689318808e-10,4.2724548505937994e-32,6.44651500150336e-34
1.6956128974044723e-15,0.5862132170574055,3.40509115871421e-34,5.756909831942659e-25,1.0996994825583042e-33,3.072007254829937e-56,0.0,0.0,7.254255933827877e-32,8.228149208629277e-57,3.060992225617192e-58,4.22332923214715e-70,1.8318779080647094e-51,9.177467814257994e-85,9.497938345712963e-66,1.5996954135924696e-61,7.464557517270667e-67,6.20059745606313e-68,1.4169363944283316e-51,1.8410841878452837e-50,1.186594167465907e-28,6.825822857469419e-44,1.5126993086343834e-70,5.0440705221933e-108,8.536852112075782e-80,3.6658750932953776e-67,5.77885398913012e-60,2.4154935185605283e-100,1.0020362422325596e-141,8.002884999841487e-143,7.1910069077958335e-90,4.7220516946283875e-71,1.6972903221131256e-57,6.118385944405032e-102,3.76,0.0,0.772518058132036,0.9999999993669368,8.965156317569823e-55,1.5137451840203094e-91,4.880129777290004e-13,4.880129777290009e-13,2.081449373142779e-28,8.297195681672073e-33,6.330631265838378e-10,7.28830674144442e-32,1.0997005222642973e-33
2.5434197054540765e-15,0.5862132170574313,7.049810099880692e-34,8.635365966706862e-25,2.2767904095996975e-33,1.2425263945676425e-55,0.0,0.0,1.5019018351868677e-31,3.3280170565173967e-56,1.0783021306521876e-57,2.0808531469950474e-69,6.406167126762976e-51,4.324233966204248e-84,3.321538801810575e-65,6.47024437535174e-61,3.6778861705148786e-66,3.055105721647817e-67,3.870190267640162e-51,5.028572973434793e-50,2.456692973534814e-28,1.864344313022558e-43,7.453240350993323e-70,9.619557338653604e-107,5.061503838942335e-79,1.806255040394913e-66,2.3373573056717873e-59,3.586807601122127e-99,7.733910521468368e-140,5.633672734134243e-141,5.0748503302580626e-89,2.3266096223293528e-70,6.864989067618864e-57,9.085313489546166e-101,3.76,0.0,0.772518058131792,0.9999999990504062,3.6261150680492037e-54,1.5682660708226809e-90,7.320195700168697e-13,7.320195700168707e-13,4.309376923143912e-28,1.7178292679328203e-32,9.495938104335159e-10,1.5089516168891474e-31,2.2767932493598144e-33
3.3912265135036807e-15,0.5862132170574572,1.1989881834019193e-33,1.1513822100633451e-24,3.872227757319036e-33,3.365663086597451e-55,0.0,0.0,2.5543419220772605e-31,9.01468506900266e-56,2.710549136783038e-57,6.529123283654361e-69,1.6007269309470972e-50,1.307148447962827e-83,8.299760771784936e-65,1.7526116692152398e-60,1.154026687095349e-65,9.586128485833781e-67,8.097917266252935e-51,1.0521457978919813e-49,4.1781917474047145e-28,3.900832394649924e-43,2.338632538995934e-69,5.028908658512371e-106,1.8003050620587967e-78,5.66759972608192e-66,6.331259623672688e-59,1.7079014209978374e-98,6.052379928933898e-139,4.265734120284901e-140,2.0155976134927698e-88,7.300297841434161e-70,1.8595382297426595e-56,4.3260847716442304e-100,3.76,0.0,0.772518058131548,0.9999999987338761,9.822156348606285e-54,6.823292527957958e-90,9.760261623046683e-13,9.7602616230467e-13,7.329121515733141e-28,2.9215779113141154e-32,1.266123818249631e-09,2.5663317444939917e-31,3.872233699047806e-33
5.086840129602889e-15,0.5862132170575088,2.6123511158625807e-33,1.727073436573623e-24,8.436812216335506e-33,1.6878238432194514e-54,0.0,0.0,5.565390901198337e-31,4.520714019131651e-55,1.2811747311061268e-56,5.059066008859992e-68,7.412775464338245e-50,9.342928890148116e-83,3.8437331665072595e-64,8.789054793423095e-60,8.94204421762816e-65,7.427864224663714e-66,2.5572235127006533e-50,3.322352511754312e-49,9.10342900618603e-28,1.2317627785776327e-42,1.812099815111541e-68,1.820831200625563e-104,2.1988125854924033e-77,4.391572034475791e-65,3.1750209751427733e-58,3.6484561239094245e-97,1.075998345055595e-136,6.613401964966507e-138,3.9770943111574443e-87,5.656678779344441e-69,9.325291734803834e-56,9.241517528831435e-99,3.76,0.0,0.7725180581310599,0.9999999981008183,4.925656918379002e-53,1.519594281207959e-88,1.464039346880032e-12,1.4640393468800354e-12,1.5968659581205653e-27,6.365523036132198e-32,1.899181614032785e-09,5.59151422473546e-31,8.436830978485715e-33
6.782453745702097e-15,0.5862132170575606,4.586409817126004e-33,2.3027646627213462e-24,1.481223138806285e-32,5.063757028419447e-54,0.0,0.0,9.770954275825715e-31,1.3562906679344877e-54,3.7727586912341528e-56,1.913623977884603e-67,2.1495095573167696e-49,3.4576347006092715e-82,1.1146280918165006e-63,2.636865083593412e-59,3.382402095673194e-64,2.809648996898828e-65,5.816794289875092e-50,7.556813471620932e-49,1.5982559031394234e-27,2.8016899268127227e-42,6.854406491739089e-68,1.273933309268782e-103,1.0291720236206916e-76,1.6611510362354994e-64,9.525599950100187e-58,2.161427804335126e-96,1.078103872498279e-135,6.474867078086134e-137,2.260404779317863e-86,2.139684659591695e-68,2.797749241702681e-55,5.474895158849369e-98,3.76,0.0,0.7725180581305718,0.9999999974677635,1.4777824979078226e-52,8.741919022399116e-88,1.952052531455089e-12,1.9520525314550943e-12,2.8035588229360305e-27,1.1175716638017358e-31,2.532236483613277e-09,9.81681794724494e-31,1.4812274063266366e-32
