Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136)
1.4646139804160442e-18,0.8185917068579587,3.826441048151504e-49,8.608459666831589e-23,4.304802368388526e-61,2.8184041709171007e-74,0.0,0.0,4.810357369790042e-50,5.778210179018417e-111,4.9439063492649646e-60,5.649809390413812e-74,9.521022430245553e-56,1.0937799653176197e-94,3.395725140658909e-76,2.217702245080606e-62,3.4881473422400855e-99,2.45612563914348e-74,8.353922649820689e-62,4.30747678508476e-49,6.43192105989427e-29,4.4348630838301415e-45,4.799429342694021e-74,3.888986574589833e-157,7.146155165385092e-114,2.5807729585421637e-99,2.2463207540548323e-76,8.263590244217835e-132,1.4114014507291716e-210,4.707282277083501e-193,2.905787671211911e-126,1.9413901986858534e-99,3.468292710677376e-88,5.931750532346225e-161,3.76,0.0,0.8950940344805685,1.0,7.982408327216165e-75,3.390062383970605e-142,2.1098178499573354e-13,2.1098178499573374e-13,7.981004177684755e-29,6.213452521470233e-32
2.9305004317099478e-18,0.8185917068579893,3.063479478488179e-48,1.722439844718779e-22,6.89329253561933e-60,9.029738817884625e-73,0.0,0.0,3.851210799049786e-49,7.411128645614881e-109,7.9167049707236e-59,1.8101130192013178e-72,1.5246040870675016e-54,7.008745494456671e-93,1.087938750540208e-74,3.5524529729145536e-61,2.8800900954160444e-97,7.869053436065266e-73,1.3381831316123802e-60,3.448600558319902e-48,2.5744446309612124e-28,3.550587053630264e-44,1.5376642528360513e-72,5.134094814731551e-154,1.179363994902661e-111,3.307581960628013e-97,7.197117325219402e-75,4.242054908763406e-129,1.7528218461046424e-206,3.788412055061996e-189,9.58819570501179e-124,2.4881273716047434e-97,2.2224970838873746e-86,1.2180643375713589e-157,3.76,0.0,0.8950940344803573,1.0,2.5574423667211214e-73,2.2364980121970316e-139,4.221468730191986e-13,4.2214687301919944e-13,3.194481578195191e-28,2.4870002804177105e-31
5.8622733342977545e-18,0.8185917068580503,2.451714636738741e-47,3.44562760079002e-22,1.10337572927821e-58,2.8912529157629743e-71,0.0,0.0,3.082139100825598e-48,9.495869113213457e-107,1.2671896725942823e-57,5.795842527261808e-71,2.4403594329884954e-53,4.4883362916655936e-91,3.483496198801339e-73,5.687230426719676e-60,2.669599397981349e-95,2.519610384107318e-71,2.1423382324156733e-59,2.759928546704042e-47,1.0301131893265052e-27,2.8415487387157344e-43,4.923482664968814e-71,7.603788976425292e-151,2.184886796803287e-109,4.23639023659045e-95,2.3045011377927264e-73,2.174777610107106e-126,2.6904878969004376e-202,3.0754980285933055e-185,3.5514351775727413e-121,3.186819259562886e-95,1.4232915327943717e-84,2.4979251024966296e-154,3.76,0.0,0.895094034479935,1.0,8.188733748348202e-72,1.655199400246673e-136,8.444770490659285e-13,8.444770490659317e-13,1.2782087296969593e-27,9.951240584511095e-31
1.1725819139473369e-17,0.8185917068581727,1.9617442105564e-46,6.892003112932501e-22,1.7657603952571422e-57,9.254788696054095e-70,0.0,0.0,2.4661795653565793e-47,1.2160875918839185e-104,2.027917830639005e-56,1.8552267428088167e-69,3.9053696055603275e-52,2.8734120800488317e-89,1.1150536525748938e-71,9.102214085073299e-59,2.765401394825184e-93,8.065175334252897e-70,3.428737675724609e-58,2.208362166904405e-46,4.121123526730258e-27,2.2736707214513762e-42,1.5759877474859266e-69,1.2585524313142382e-147,4.524003647866049e-107,5.424298777494554e-93,7.376682229135307e-72,1.1142151909412058e-123,5.180031315726571e-198,2.507950554241835e-181,1.4702936653411267e-118,4.0804195310095594e-93,9.111925773784547e-83,5.119179050683605e-151,3.76,0.0,0.8950940344790903,1.0,2.621181983631821e-70,1.3691265355932118e-133,1.689137401158588e-12,1.6891374011586013e-12,5.113667221718779e-27,3.981144215643279e-30
2.3452910749824596e-17,0.8185917068584172,1.5695443848195894e-45,1.3784754137217463e-21,2.8255040509489996e-56,2.9619771591378023e-68,0.0,0.0,1.9731309861805242e-46,1.5569867005567433e-102,3.2450024520330164e-55,5.9376171482313115e-68,6.249227057604956e-51,1.8392643743575307e-87,3.5687075720300386e-70,1.4565659203922547e-57,3.1223596123486173e-91,2.581243711667545e-68,5.486777614789328e-57,1.7668574831373667e-45,1.6485835741300755e-26,1.8191092876519958e-41,5.043918194181769e-68,2.2713181018446412e-144,1.0211826536430642e-104,6.944202982879834e-91,2.3609029543391957e-70,5.706648934670016e-121,1.214071141641839e-193,2.049795278652667e-177,6.636323249740474e-116,5.223763313220384e-91,5.832547856686434e-81,1.0487657512651125e-147,3.76,0.0,0.895094034477401,1.0,8.389042062917158e-69,1.2350001875033928e-130,3.3784581053407044e-12,3.378458105340758e-12,2.0456333511618593e-26,1.5925872894343102e-29
4.690709397052705e-17,0.8185917068589063,1.2556951175729436e-44,2.757025618578739e-21,4.521036430635416e-55,9.479038613008776e-67,0.0,0.0,1.5785797265131456e-45,1.9931955488116308e-100,5.192278752162507e-54,1.9001801515192428e-66,9.999271872455686e-50,1.177219012453001e-85,1.1420721716110469e-68,2.3306748196917974e-56,3.72942554708104e-89,8.26060009848653e-67,8.77948210267109e-56,1.4135530897437922e-44,6.594602632942204e-26,1.455356517767605e-40,1.6141750157264368e-66,4.337947072523894e-141,2.438857599323074e-102,8.889284233708167e-89,7.55547293197012e-69,2.922282345787907e-118,3.2787049847943953e-189,1.6772581390560515e-173,3.1694767724401977e-113,6.686945910833086e-89,3.733123570483665e-79,2.1482660806111117e-144,3.76,0.0,0.8950940344740224,1.0,2.684695032006609e-67,1.179098348176508e-127,6.75709951369213e-12,6.757099513692344e-12,8.182866261715026e-26,6.370608353957683e-29
9.381546041193197e-17,0.8185917068598845,1.0045799385560872e-43,5.514126028292723e-21,7.233842253909281e-54,3.0334062331752554e-65,0.0,0.0,1.262893757051769e-44,2.5514519611120588e-98,8.307890429934434e-53,6.080804758497899e-65,1.5999241865253875e-48,7.534489080082685e-84,3.654768150514997e-67,3.729215193976469e-55,4.6026319052089395e-87,2.6434912707434824e-65,1.404768171994765e-54,1.1308693134924949e-43,2.637894721410125e-25,1.164312849626068e-39,5.165553959604408e-65,8.562788955691701e-138,6.018964603281111e-100,1.1378734659030923e-86,2.417844698236938e-67,1.4963309645698881e-115,9.67320326782074e-185,1.3732172820137552e-169,1.5643122594678543e-110,8.559629203051962e-87,2.3892928293896107e-77,4.400163960733917e-141,3.76,0.0,0.8950940344672651,1.0,8.591346629906637e-66,1.1635876881716213e-124,1.3514382330343748e-11,1.35143823303446e-11,3.2732130134960064e-25,2.5482951662595758e-28
1.876321932947418e-16,0.8185917068618407,8.036734887298526e-43,1.1028326847720693e-20,1.1574294780038083e-52,9.707082149626502e-64,0.0,0.0,1.0103269961593294e-43,3.2659619757568634e-96,1.329289881328101e-51,1.9458940479974131e-63,2.5599112460675655e-47,4.822164963782247e-82,1.1695477593549868e-65,5.966852696224077e-54,5.781898945504066e-85,8.459330849363838e-64,2.247669904344183e-53,9.047061871157287e-43,1.0551686223009992e-24,9.31461333398207e-39,1.6530082874989277e-63,1.720750993962381e-134,1.512115186818915e-97,1.4565068887744082e-84,7.737252408801587e-66,7.66152790200361e-113,3.000537096805984e-180,1.1246148803360138e-165,7.859609195641726e-108,1.0956541841814017e-84,1.5291774075397316e-75,9.012520782259967e-138,3.76,0.0,0.8950940344537506,1.0,2.749282526037051e-64,1.1690806262075054e-121,2.702894796344204e-11,2.702894796344546e-11,1.309298456247725e-24,1.019328419138989e-27
3.752656590603614e-16,0.8185917068657532,6.429426060970218e-42,2.205672848657663e-20,1.851898938664992e-51,3.1062954383541645e-62,0.0,0.0,8.08266393200897e-43,4.180497548222683e-94,2.1269108863616526e-50,6.226919399126517e-62,4.095884024249021e-46,3.0862149793356066e-80,3.7425879425686054e-64,9.547051016070177e-53,7.33076733681706e-83,2.7070112752644922e-62,3.5963045101679805e-52,7.237692434489746e-42,4.220695956731504e-24,7.451734872429657e-38,5.289676116486906e-62,3.4903979375007554e-131,3.8342265968201734e-95,1.8643472781990827e-82,2.4759446678005472e-64,3.922782502860907e-110,9.560064040074538e-176,9.211514889206957e-162,3.985803024934337e-105,1.402451172842114e-82,9.78683137138381e-74,1.8460525459501731e-134,3.76,0.0,0.8950940344267214,1.0,8.797786644569937e-63,1.1856520682091442e-118,5.405807922881888e-11,5.405807922883256e-11,5.237219918558334e-24,4.0773342827790664e-27
7.505325905916007e-16,0.8185917068735782,5.143556108218777e-41,4.411353176428851e-20,2.9630477205544608e-50,9.940192028383432e-61,0.0,0.0,6.466150331317304e-42,5.351079242548748e-92,3.403175546729868e-49,1.9926235619046566e-60,6.553435238469231e-45,1.9751869666691464e-78,1.197633753493594e-62,1.5275350963867654e-51,9.338541529614346e-81,8.662476713254213e-61,5.754113345571206e-51,5.790171109859141e-41,1.688282676174113e-23,5.961405564355409e-37,1.6927042692474496e-60,7.113825410209329e-128,9.768530769648617e-93,2.3863763176089898e-80,7.923061151865225e-63,2.0084851710610948e-107,3.08847859628645e-171,7.545528079506076e-158,2.0309219505918057e-102,1.7951462504317797e-80,6.263602750807875e-72,3.781778518986453e-131,3.76,0.0,0.8950940343726631,1.0,2.8153049317822362e-61,1.2082265391752045e-115,1.0811634175629358e-10,1.081163417563483e-10,2.0948928595489782e-23,1.6309377550538837e-26
1.5010664536540794e-15,0.8185917068892286,4.114850988665671e-40,8.822713831971226e-20,4.74088388646848e-49,3.1808688993744827e-59,0.0,0.0,5.172927940248439e-41,6.849408554582325e-90,5.445432873683842e-48,6.376410383053501e-59,1.0485512941822062e-43,1.2641226231693194e-76,3.832436950644198e-61,2.4440616936409734e-50,1.1924636843751954e-78,2.771999040891486e-59,9.206602251912923e-50,4.632143732300817e-40,6.753139291400671e-23,4.769131492868877e-36,5.416666170314924e-59,1.453377801998918e-124,2.4947167196984678e-90,3.0545692054308696e-78,2.5353856698853577e-61,1.0283496568125074e-104,1.0048313550145718e-166,6.181073344180922e-154,1.0373209893605045e-99,2.297792559933436e-78,4.0087155308111186e-70,7.749315304299553e-128,3.76,0.0,0.8950940342645466,1.0,9.008996882734879e-60,1.2342129686993123e-112,2.16232866798127e-10,2.1623286679834595e-10,8.379578609663243e-23,6.523758469616625e-26
3.0021341797790367e-15,0.818591706920529,3.2918832290590516e-39,1.7645435143055978e-19,7.585420240792265e-48,1.0178792335552327e-57,0.0,0.0,4.1383454237602424e-40,8.767260310147906e-88,8.713798184391144e-47,2.0404537318364408e-57,1.6776833700752368e-42,8.090393800157824e-75,1.2263812292075381e-59,3.910503116906618e-49,1.524517455693185e-76,8.870407264368376e-58,1.4730580307892653e-48,3.7057176908005066e-39,2.7012574336873818e-22,3.8153079705441965e-35,1.7333350796007844e-57,2.9729000623187975e-121,6.378761731543894e-88,3.9098533077549055e-76,8.113243821787919e-60,5.2651636156024945e-102,3.2808623780572093e-162,5.06344374711486e-150,5.304656493011176e-97,2.941177292018179e-76,2.565581008448117e-68,1.588781204023998e-124,3.76,0.0,0.8950940340483136,1.0,2.8828823608157552e-58,1.2622928531328424e-109,4.3246591682933015e-10,4.3246591683020587e-10,3.35183078792614e-22,2.60950437013384e-25
6.004269632028951e-15,0.8185917069831296,2.633507554168168e-38,3.5290877765225483e-19,1.213667718909224e-46,3.2572154043119876e-56,0.0,0.0,3.310677570146106e-39,1.1222104310325547e-85,1.39455983235859e-45,6.529455871335196e-56,2.684294350222128e-41,5.1778543084881653e-73,3.9244220194524036e-58,6.256808434438239e-48,1.950208575617248e-74,2.8385319429286545e-56,2.356894181045881e-47,2.9645751821322595e-38,1.0805033167287225e-21,3.0522474224441323e-34,5.546674686574681e-56,6.0847981019426076e-118,1.631976613690919e-85,5.0046150343450085e-74,2.5962395177770493e-58,2.695767127694509e-99,1.0731481291076202e-157,4.147935479131135e-146,2.7143401948269676e-94,3.764707161945689e-74,1.6419727534607525e-66,3.260862227744653e-121,3.76,0.0,0.8950940336158475,1.0,9.225228813852741e-57,1.2917996339536293e-106,8.649320166818814e-10,8.649320166853843e-10,1.3407305118002364e-21,1.0438015384361792e-24
1.200854053652878e-14,0.8185917071083312,2.1068064248029055e-37,7.058176300956448e-19,1.9418687300632447e-45,1.0423092007137698e-54,0.0,0.0,2.6485425530504195e-38,1.4364300640277953e-83,2.2324211929361034e-44,2.0894265553111072e-54,4.294871466338681e-40,3.3138267083860833e-71,1.2558152762930978e-56,1.0010896002517926e-46,2.4955191282607326e-72,9.083304582491515e-55,3.771031740366245e-46,2.3716604735145735e-37,4.322013952048537e-21,2.441798253172783e-33,1.7749358943621606e-54,1.2457889926065489e-114,4.176602087369618e-83,6.405908464259744e-72,8.307968504996399e-57,1.3802335601233349e-96,3.513347116259163e-153,3.397973090303534e-142,1.389322746009318e-91,4.818821284881437e-72,1.0508627581624034e-64,6.707061914356647e-118,3.76,0.0,0.8950940327509153,1.0,2.952073988883895e-55,1.3224010104917937e-103,1.729864215547564e-09,1.7298642155615751e-09,5.3629050630732305e-21,4.175202485915383e-24
2.4017082345528438e-14,0.8185917073587341,1.6854452814793442e-36,1.411635334982425e-18,3.106990257713415e-44,3.335389711456615e-53,0.0,0.0,2.1188342498439137e-37,3.2185652628506567e-81,3.5754743180823885e-43,6.686166365099485e-53,6.871793917334115e-39,2.120863569922831e-69,4.01860858863209e-55,1.601743480838105e-45,3.2005942040598537e-70,2.906657701323074e-53,6.033651577991767e-45,1.897328375554298e-36,1.7288057167469632e-20,1.953438563527463e-32,5.679792329009817e-53,4.059939546320603e-111,1.071318593826223e-80,8.223233677253537e-70,2.6614335753352134e-55,1.7472068791785649e-93,2.496695670604847e-147,1.225366577439556e-137,7.127326903740239e-89,6.174612554407141e-70,6.73270179722882e-63,3.9313714774786426e-114,3.76,0.0,0.8950940310210509,1.0,9.446637526571003e-54,2.1384832319771394e-100,3.459728609921249e-09,3.4597286099772925e-09,2.1451479266100983e-20,1.670077661931535e-23
4.8034165963527754e-14,0.8185917078595402,1.3483562646050408e-35,2.8232707447559854e-18,4.971184599489424e-43,1.0673246451566896e-51,0.0,0.0,1.6950675013325083e-36,4.1335633331216036e-79,5.732279361074475e-42,2.1395736545953578e-51,1.0994867257187227e-37,1.3573512422971934e-67,1.2859542763678938e-53,2.562789409183307e-44,4.096653225121136e-68,9.301304101752739e-52,9.653843008635875e-44,1.5178624841311484e-35,6.915223130049431e-20,1.5627505710613317e-31,1.8175315243968023e-51,8.31617563313394e-108,2.7425213122693218e-78,1.0526490632850957e-67,8.516874557786675e-54,8.956102366268825e-91,8.181369795924015e-143,1.005771997223724e-133,3.649131948586552e-86,7.903926825973174e-68,4.3091428319408886e-61,8.297685665541982e-111,3.76,0.0,0.8950940275613221,1.0,3.02292383132298e-52,2.1905537275132625e-97,6.9194573852378966e-09,6.9194573854620724e-09,8.580477896712708e-20,6.680283192018992e-23
9.606833319952638e-14,0.8185917088611523,1.078685000798853e-34,5.646541564303105e-18,7.953895372824527e-42,3.4154380887957515e-50,0.0,0.0,1.356054086243141e-35,5.291099616396666e-77,9.20851170741665e-41,6.84663761539385e-50,1.7591776667065355e-36,8.687026549596269e-66,4.115050211024153e-52,4.100462105749581e-43,5.243541967088813e-66,2.9764166380132046e-50,1.544614871809468e-42,1.2142895567652646e-34,2.7660892975972704e-19,1.250199922294994e-30,5.816087304758343e-50,1.7030994746999686e-104,7.020602372618658e-76,1.347392750711131e-65,2.7254016443823144e-52,4.5855318127563314e-88,2.6807562093585575e-138,8.239302319564146e-130,1.8682871593651436e-83,1.0116959390211429e-65,2.7578538974221274e-59,1.7990159730270305e-107,3.76,0.0,0.8950940206418646,1.0,9.673354062364276e-51,2.2430634728125809e-94,1.3838914882148316e-08,1.3838914883045013e-08,3.43209990972397e-19,2.6720911531752987e-22
1.9213666767152364e-13,0.8185917108643763,8.629479565809434e-34,1.1293083203397345e-17,1.2726232213310524e-40,1.0929396318610107e-48,0.0,0.0,1.0848434224180987e-34,6.772610519938265e-75,1.4851585095741768e-39,2.1909251456859e-48,2.8146806596616334e-35,5.559669268142165e-64,1.3168137721725752e-50,6.560735983435624e-42,6.711759648464612e-64,9.524528400772325e-49,2.471383632740729e-41,9.714309227734691e-34,1.1064357225265539e-18,1.0001590477756886e-29,1.8611391483116588e-48,3.4879492175012093e-101,1.7972709548487876e-73,1.7246596192483422e-63,8.721278065562378e-51,2.3477890112266792e-85,8.784473386672406e-134,6.749624574644416e-126,9.565598376173816e-81,1.2949478406717708e-63,1.765023254162933e-57,4.092550919835876e-104,3.76,0.0,0.8950940068029499,1.0,3.095471723096682e-49,2.296910991226445e-91,2.7677829661077703e-08,2.767782966466441e-08,1.3727669292458587e-18,1.0688187308381112e-21
2.882050021435209e-13,0.8185917128676006,2.4674917397536978e-33,1.693962484249159e-17,4.6840984901560815e-40,5.1295574157100017e-48,0.0,0.0,3.1019744707411116e-34,3.4944163796453598e-74,5.4881140061341e-39,1.0282765034692291e-47,1.0359887533475244e-34,3.1245320041999114e-63,6.180275876175302e-50,2.5012799859422445e-41,4.400126725890752e-63,4.4702025513187405e-48,9.422149771710239e-41,2.77768409791497e-33,2.3511759067246074e-18,2.85982830511513e-29,8.734978546095904e-48,2.7751890890333194e-100,1.3533858471926746e-72,1.1301806342905311e-62,4.078221909251141e-50,1.3403851106580457e-84,4.566652240595675e-133,6.161116308753157e-125,8.145601291011953e-80,8.493953893798027e-63,9.889614729101884e-57,2.537954840863323e-103,3.76,0.0,0.8950939929640354,1.0,1.452815825172683e-48,1.6873373194902945e-90,4.1516744225115687e-08,4.151674423273733e-08,2.9170224500952476e-18,2.271213752897334e-21
