Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141)
2.668842552089541e-19,0.8386864482800488,1.9720238585952515e-50,4.3889891313155137e-23,3.964734464590428e-61,4.668864283547525e-77,0.0,0.0,1.7526783860512782e-51,1.4992170403431287e-114,4.333043955750945e-62,9.359805688757122e-77,4.3930875185130296e-58,5.737703894757192e-95,4.880664259153388e-76,2.0480620981200143e-64,1.232301882452073e-100,4.068727044485888e-77,3.927108305993373e-61,2.147291697196443e-50,6.1417720705870094e-30,1.151135318191826e-46,8.567838262133178e-77,6.727967862442264e-161,5.792314388384907e-116,1.0926894206949287e-100,9.098085917926308e-79,5.32140324900338e-137,1.6319110447054597e-214,5.525132838329724e-199,4.674116102625073e-129,8.66705663632429e-105,6.1957468070606996e-89,1.519711621016855e-164,3.76,0.0,0.851219130489378,0.9999999999987946,1.3223362894579034e-77,2.594288493638619e-145,5.98947093856779e-14,5.989470938567791e-14,7.435389517345548e-30,7.360068807561189e-33,1.205432427591137e-12
5.33826440579664e-19,0.8386864482800578,1.5779187062488092e-49,8.778930940968082e-23,6.345412999970707e-60,1.4944853893776692e-75,0.0,0.0,1.402409001966183e-50,1.9199709037297794e-112,6.934283990556666e-61,2.9960375302266027e-75,7.030370296571468e-57,3.673251414260378e-93,1.562281741368146e-74,3.2778520085271106e-63,1.5444006706210016e-98,1.3023837815927583e-75,6.285199972995362e-60,1.718159606439128e-49,2.4571087564143442e-29,9.210831522537302e-46,2.742531871464383e-75,1.3491441133259372e-157,1.451744338532277e-113,1.3992128011658405e-98,2.9122870025136375e-77,2.726342367802059e-134,5.028269618839738e-210,4.421927912168956e-195,2.3428802158746907e-126,1.1098353616759592e-102,3.966881223472089e-87,3.115396305749478e-161,3.76,0.0,0.8512191304893181,0.9999999999975889,4.232747290176396e-76,2.6009567010311772e-142,1.198024195765131e-13,1.1980241957651319e-13,2.974639969952737e-29,2.944506781774081e-32,2.4111265064755197e-12
1.0677108113210837e-18,0.8386864482800759,1.262454825551557e-48,1.7558814560252045e-22,1.015413132008433e-58,4.783071481842365e-74,0.0,0.0,1.1220337302010168e-49,2.4581857281543615e-110,1.1095985657561698e-59,9.58875988517047e-74,1.1249736830615062e-55,2.351239663778602e-91,5.000052386875979e-73,5.245325459692012e-62,1.955733517901093e-96,4.1682540146775585e-74,1.0057781537340084e-58,1.3746581985615786e-48,9.829234938980023e-29,7.369364883544151e-45,8.777420023908283e-74,2.7335817883178477e-154,3.676645921551467e-111,1.7913574948075269e-96,9.320757886902713e-76,1.3963441621548104e-131,1.5963955988073919e-205,3.579668211257977e-191,1.1866775722411599e-123,1.4208786858800867e-100,2.5393171528103135e-85,6.383436203950052e-158,3.76,0.0,0.8512191304891983,0.9999999999951775,1.3546825547701637e-74,2.634884442424072e-139,2.396178399581665e-13,2.3961783995816687e-13,1.1899528271954685e-28,1.177898571196295e-31,4.8225146610403724e-12
2.135479552803923e-18,0.8386864482801115,1.0100118072223235e-47,3.5118581798735287e-22,1.6247786606655653e-57,1.5306978019910505e-72,0.0,0.0,8.976695978852051e-49,3.1468764953031386e-108,1.775448277419969e-58,3.068633549677813e-72,1.8000494470655062e-54,1.5049081963127123e-89,1.600136902899737e-71,8.393130582230747e-61,2.489830819710122e-94,1.3339414396436913e-72,1.6093619802178296e-57,1.099778766994715e-47,3.931853963952574e-28,5.895771787945326e-44,2.808985311671206e-72,5.568186681788124e-151,9.361227349760534e-109,2.293171289942041e-94,2.9828728615908793e-74,7.150451940628719e-129,5.1479145323776816e-201,2.914929181033194e-187,6.0428126685618885e-121,1.8189099692268043e-98,1.6253272104815933e-83,1.3076469945186309e-154,3.76,0.0,0.8512191304889587,0.9999999999903547,4.335309678841722e-73,2.683524244697506e-136,4.792486807214056e-13,4.792486807214069e-13,4.760004991828885e-28,4.711786007867955e-31,9.645290957354423e-12
4.271017035769602e-18,0.8386864482801832,8.080286250013216e-47,7.023811627536303e-22,2.5997399747954615e-56,4.898416858822793e-71,0.0,0.0,7.181527242486593e-48,4.028257142162469e-106,2.8407899110880327e-57,9.81999599379645e-71,2.8801523608379217e-53,9.631779848292052e-88,5.120630309000439e-70,1.3429496828749326e-59,3.178336828055472e-92,4.268772861719687e-71,2.575072713890076e-56,8.798438974003808e-47,1.5727735838224877e-27,4.716729385719775e-43,8.98909045782265e-71,1.1372724603531291e-147,2.389946864829051e-106,2.9354088198864628e-92,9.545561714330191e-73,3.6613309012791794e-126,1.673313692161321e-196,2.3807247034558322e-183,3.0854766709333315e-118,2.3283233225720836e-96,1.0402619701187475e-81,2.6783931444605593e-151,3.76,0.0,0.8512191304884794,0.9999999999807092,1.387351180058722e-71,2.74045292441064e-133,9.585103622476127e-13,9.58510362247618e-13,1.904040732208218e-27,1.8847527478728476e-30,1.929084349871991e-11
8.54209200170096e-18,0.8386864482803265,6.464305717910757e-46,1.404771852272635e-21,4.159659237227509e-55,1.5675228181981315e-69,0.0,0.0,5.74528997859043e-47,5.156332494239059e-104,4.545322655419128e-56,3.1424577011236653e-69,4.608302374415976e-52,6.164456643396824e-86,1.6386324474968397e-68,2.1487585251172806e-58,4.062736823573943e-90,1.3660329570357145e-69,4.120191162001894e-55,7.038834715356885e-46,6.2911583323401445e-27,3.773428291206981e-42,2.8765629408758166e-69,2.3259671768544945e-144,6.109908253374688e-104,3.7574190001261555e-90,3.054638718994742e-71,1.8746780993090996e-123,5.460962501144696e-192,1.947345977287279e-179,1.5776023516266985e-115,2.980329718906129e-94,6.6578447621968e-80,5.4857102524435974e-148,3.76,0.0,0.8512191304875208,0.9999999999614181,4.439607110364944e-70,2.802395604719545e-130,1.9170337252989423e-12,1.9170337252989625e-12,7.616240385896943e-27,7.539087677037155e-30,3.858194837640043e-11
1.7084241933563677e-17,0.8386864482806131,5.171475261664783e-45,2.809553231256445e-21,6.65551494408471e-54,5.016120095748299e-68,0.0,0.0,4.596259256780957e-46,6.6002101399229675e-102,7.272565408779251e-55,1.0055959019158045e-67,7.373330676246246e-51,3.945289829854651e-84,5.243672984150773e-67,3.4380448663416653e-57,5.196760979034323e-88,4.371346488671498e-68,6.592365657437541e-54,5.63110118668221e-45,2.5164761324011708e-26,3.0187605459581676e-41,9.205087799624628e-68,4.760337690594743e-141,1.5630669214765518e-101,4.809557534173414e-88,9.774938253847616e-70,9.598548167807528e-121,1.7858234591650087e-187,1.5940599498792555e-175,8.071789770493375e-113,3.814870554235125e-92,4.2610744205731714e-78,1.123519036952633e-144,3.76,0.0,0.8512191304856038,0.9999999999228358,1.4206876088175157e-68,2.867692909226368e-127,3.8340804513972636e-12,3.834080451397344e-12,3.04651163417745e-26,3.0156504043217176e-29,7.71641573115597e-11
3.416854179728911e-17,0.8386864482811862,4.1371924842612574e-44,5.619115989007266e-21,1.0648871777677918e-52,1.6051659628048244e-66,0.0,0.0,3.6770183148423574e-45,1.4789031794449277e-99,1.1636150771411755e-53,3.21792198725515e-66,1.1797366581181676e-49,2.5249975272184312e-82,1.6779831776461147e-65,5.500896766548617e-56,6.65130500856963e-86,1.3988374403540337e-66,1.0547832625813723e-52,4.504894314688418e-44,1.0065930128576759e-25,2.415015601700338e-40,2.9456419161306843e-66,1.5484446043410033e-137,4.0011116292362265e-99,6.16086527750123e-86,3.131245412685664e-68,1.2150741331520489e-117,1.2679869159368004e-181,1.1302095968805206e-170,4.132400675991093e-110,4.883085826497856e-90,2.727116368996262e-76,1.0563474855778063e-140,3.76,0.0,0.8512191304817698,0.9999999998456715,4.5462216811459895e-67,4.631098785799001e-124,7.668173903576553e-12,7.668173903576875e-12,1.2186077403111282e-25,1.2062632255004362e-28,1.5432857190107114e-10
6.833714152473998e-17,0.8386864482823321,3.3097588973153523e-43,1.1238241503641718e-20,1.7038232471948862e-51,5.136543130787334e-65,0.0,0.0,2.941619015356584e-44,1.8993424236237503e-97,1.861789985343718e-52,1.0297374527363852e-64,1.8875816520649945e-48,1.61600218113865e-80,5.3695584727188866e-64,8.801454808944944e-55,8.511763016903277e-84,4.476290310062296e-65,1.6876569593747404e-51,3.603920797159686e-43,4.0263771712187223e-25,1.9320153468791432e-39,9.426076231220568e-65,3.1711495703250244e-134,1.0240556517737337e-96,7.885979717656914e-84,1.0020334479245513e-66,6.228439654932194e-115,4.153651294900455e-177,9.258504231508066e-167,2.115316838391759e-107,6.250370787638093e-88,1.7453602408151773e-74,2.1643347621258924e-137,3.76,0.0,0.8512191304741016,0.9999999996913426,1.454794350767288e-65,4.742983031504692e-121,1.5336360807865717e-11,1.5336360807867013e-11,4.874437059887849e-25,4.825059006060479e-28,3.0865738795686715e-10
1.366743409796417e-16,0.8386864482846245,2.6478090816986695e-42,2.2476492529441847e-20,2.726119984300433e-50,1.6436957287377128e-63,0.0,0.0,2.3532969572132445e-43,2.4312253434850905e-95,2.9788756181595697e-51,3.295163719669804e-63,3.0201330397992867e-47,1.0342425145557094e-78,1.7182605396417718e-62,1.4082343674129968e-53,1.0893818491138586e-81,1.4324145784257667e-63,2.7002539047673424e-50,2.883138774713862e-42,1.6105518924359876e-24,1.5456134229767265e-38,3.0163479216871843e-63,6.493845483851376e-131,2.621283400746627e-94,1.0094069567801434e-81,3.2065141458412577e-65,3.1889744534281902e-112,1.360833262228222e-172,7.583921020168917e-163,1.0829184362349972e-104,8.00048637570319e-86,1.1170322051584885e-72,4.432966670951662e-134,3.76,0.0,0.8512191304587652,0.999999999382685,4.655347379864812e-64,4.856317780406043e-118,3.0672734616166396e-11,3.0672734616171566e-11,1.9497759839694137e-24,1.93002480444335e-27,6.173149675755604e-10
2.7334873988944516e-16,0.8386864482892091,2.1182480507093623e-41,4.495299456716702e-20,4.361793496516218e-49,5.259829408022067e-62,0.0,0.0,1.8826382629956992e-42,3.11197139823228e-93,4.766232548977533e-50,1.0544530122032636e-61,4.832214772019131e-46,6.619154575898752e-77,5.498435752785763e-61,2.253176264269918e-52,1.3943292773992506e-79,4.583729331642296e-62,4.3204077533958815e-49,2.3065118726790893e-41,6.442209617564121e-24,1.2364911953947882e-37,9.652318940947125e-62,1.3298707612097524e-127,6.710101409115252e-92,1.292041655749526e-79,1.0260851760180377e-63,1.6327564888570145e-109,4.458791725785327e-168,6.212482370696435e-159,5.544224399127517e-102,1.0240628058983536e-83,7.149010213084374e-71,9.080350890852758e-131,3.76,0.0,0.8512191304280924,0.9999999987653702,1.4897120327716316e-62,4.972613309833439e-115,6.134548223165714e-11,6.134548223167783e-11,7.799105778186298e-24,7.720101471466234e-27,1.2346299168414226e-09
4.100231387992486e-16,0.8386864482937937,6.056866096523785e-41,6.742949659101712e-20,1.6622763651072376e-48,2.46862725810637e-61,0.0,0.0,5.383169294087557e-42,1.605662090867108e-92,1.7545925414471204e-49,4.948902705386244e-61,1.7785760809097022e-45,3.7199819748664445e-76,2.580613646743018e-60,8.590235638518461e-52,9.285496334430433e-79,2.1513091574095074e-61,1.6471555584116618e-48,6.595183009984599e-41,1.3689696717131036e-23,3.535592346028112e-37,4.53018068485698e-61,1.0662757291558043e-126,5.122126795843391e-91,8.601736422159391e-79,4.7982438457772315e-63,9.321631569419227e-109,2.3130640703205772e-167,3.4143639525730176e-158,4.7783156647455674e-101,6.820327906896903e-83,4.078249750931621e-70,5.08317260794401e-130,3.76,0.0,0.8512191303974196,0.9999999981480554,6.991754761513047e-62,3.682840501833881e-114,9.20182298460373e-11,9.201822984608128e-11,1.6573100392653357e-23,1.640521686628451e-26,1.8519446561358328e-09
5.466975377090521e-16,0.8386864482983781,1.2775685444622881e-40,8.990599860099215e-20,4.469643479884361e-48,7.695455554104666e-61,0.0,0.0,1.1354663695199562e-41,8.759444250442031e-92,4.451364797155293e-49,1.5427100865345305e-60,4.510854237246994e-45,1.3252896730759438e-75,8.044550061178203e-60,2.3112664694536667e-51,4.014081169660605e-78,6.706279350049457e-61,4.4317933197331226e-48,1.3911151773645334e-40,2.3353013191075608e-23,7.457588615330798e-37,1.412193920134499e-60,9.061829164984349e-126,2.436411759771263e-90,3.7197869231000917e-78,1.5486091596287495e-62,7.750544586512135e-108,7.033979625286465e-166,6.85845512137212e-157,2.4869858746030277e-100,2.9481585182803994e-82,1.5944451510309408e-69,6.973883956091396e-129,3.76,0.0,0.8512191303667468,0.9999999975307409,2.1795407887412052e-61,2.8691469364801364e-113,1.2269097745930683e-10,1.2269097745938184e-10,2.8271759409365196e-23,2.798537085734529e-26,2.469259185458861e-09
8.20046335528659e-16,0.8386864483075471,3.4894361087686383e-40,1.3485900258837826e-19,1.805273793917143e-47,3.7916367397379993e-60,0.0,0.0,3.1013109739050794e-41,1.2165331841796164e-90,1.5579367130229022e-48,7.600959161278712e-60,1.5774676468538358e-44,7.857619101399846e-75,3.963638405028403e-59,9.34831349142969e-51,3.790460908867908e-77,3.3042585967660276e-60,1.7925141894282348e-47,3.799567191949222e-40,4.834944977254016e-23,2.0368988486066736e-36,6.958036856908848e-60,3.941460814962555e-124,2.594561977121991e-89,3.516560758330528e-77,8.531879258719774e-62,2.447435781266106e-106,2.61946458737948e-163,1.1749480284766643e-154,2.9811885393212775e-99,2.7831712498649813e-81,1.3323048788249791e-68,7.337592352156487e-127,3.76,0.0,0.8512191303054013,0.9999999962961124,1.073884043932529e-60,1.0848522202181583e-111,1.8403647268323937e-10,1.840364726833947e-10,5.853308443710195e-23,5.794015676950464e-26,3.7038877513151636e-09
1.093395133348266e-15,0.8386864483167161,7.301067768017789e-40,1.7981200652474088e-19,4.88657052603582e-47,1.1897165989470043e-59,0.0,0.0,6.488980129601051e-41,5.592231345839012e-90,3.894837537539146e-48,2.3849565516012484e-59,3.9416622349959607e-44,2.7948382526823803e-74,1.243685990573254e-58,2.532201243720499e-50,1.6936422019258852e-76,1.0367900644582782e-59,4.855427240607949e-47,7.949965745397067e-40,8.222975258545935e-23,4.261873853924334e-36,2.1832502677037087e-59,2.8463168755089315e-123,1.2840026623996957e-88,1.57158611939198e-76,2.7391805901143748e-61,1.4748405251799759e-105,3.524454069712262e-162,1.2022116271174671e-153,1.60759698204364e-98,1.2435135513983334e-80,5.2319487803279754e-68,6.459767016746902e-126,3.76,0.0,0.8512191302440558,0.9999999950614846,3.3695677094287114e-60,7.425766649376116e-111,2.453819679030879e-10,2.4538196790335204e-10,9.954944010136456e-23,9.854103104285707e-26,4.938515545032403e-09
1.6400927289874798e-15,0.8386864483350543,2.305452159820517e-39,2.697180142299228e-19,2.4489694297278257e-46,9.218570034372433e-59,0.0,0.0,2.0490199107840456e-40,1.0496125504807365e-88,1.8046484553537508e-47,1.8479662062743537e-58,1.8253364824088625e-43,3.413479200842859e-73,9.636747719301978e-58,1.2698563756503494e-49,3.839546750045576e-75,8.033612230591435e-59,2.434913583720314e-46,2.510354134385007e-39,1.7916186962911285e-22,1.345768395574773e-35,1.6917008043444807e-58,7.4990998693328004e-121,5.078478363412604e-87,3.562204982011056e-75,2.09348338899323e-60,8.485620386636533e-104,9.023231232462634e-159,8.16542717364735e-151,1.1381248178650235e-96,2.8192672843669976e-79,7.003758502595531e-67,1.3402558324330413e-123,3.76,0.0,0.8512191301213649,0.9999999925922315,2.6109239748679193e-59,1.0244580920678897e-108,3.6807295832937413e-10,3.6807295832994964e-10,2.168978954029643e-22,2.1470080706787608e-25,7.407768597035049e-09
