Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72)
6.719809179731278e-20,0.8274600408603168,1.3147384010231297e-22,2.3832079147622865e-23,8.963867339638934e-31,7.828517573083998e-35,0.0,0.0,4.791737801682008e-18,1.0075707277682958e-33,7.076252795964081e-45,7.595027737242266e-56,5.026157548370887e-56,1.2288952953780416e-61,1.7468290834886823e-43,8.804044990607354e-48,7.055322064279736e-61,7.421763411267004e-60,3.3303513802304656e-54,1.3015983396782791e-51,6.687912538201115e-31,4.256010757866321e-48,9.491320303179182e-53,4.250390186132172e-104,1.065245472337235e-76,8.63275736069182e-50,6.468172018325911e-47,3.05324749753024e-65,5.095282497383529e-114,1.339627995185965e-83,8.790688924755356e-78,5.6607270405580394e-67,1.6346577847138949e-59,1.6151889443791255e-97,3.76,0.0,0.6412370442311751,0.9999999999996502,1.8288159774460326e-43,1.902052253646087e-74,1.6376198996245838e-14,1.6376198996245838e-14,7.955512743288494e-31,9.404835324289195e-34,3.49863385195481e-13,1.2260665023960334e-34,9.909733153976399e-36,4.791869275479508e-18,9.45023318908239e-30,1.8592020275707068e-40,1.6531027352047223e-29,8.857987965172616e-16,4.532388171231905e-34,8.962936560562381e-31,4.994889960932972e-31,8.912549297190379e-35,9.263674380635733e-32,6.844769324335625e-31,5.315159409069431e-60,7.887870210582005e-49
1.3445456595066145e-19,0.8274600408603194,2.630619390828876e-22,4.7684863837731846e-23,3.587882987105805e-30,3.1334475380094955e-34,0.0,0.0,9.58763871179047e-18,4.032908716169908e-33,5.665304901409589e-44,6.08072594978825e-55,4.024872101277847e-55,9.838634572725234e-61,6.991868702104626e-43,7.048764021345215e-47,1.1298007871209528e-59,1.1887514439547292e-58,2.6663061042681916e-53,1.0420700992550477e-50,2.6769079355887845e-30,3.4073964430348864e-47,7.600753572810191e-52,5.4506890928032764e-102,3.411754520557927e-75,6.913207362877696e-49,5.179773571910275e-46,4.890881727119092e-64,6.532726438220073e-112,4.2919650744651096e-82,2.816127487280661e-76,9.067001064297055e-66,2.6184320799578322e-58,1.0353186809726218e-95,3.76,0.0,0.6412370442311582,0.9999999999993,1.46416478036535e-42,6.09185595597825e-73,3.2766625793530404e-14,3.276662579353041e-14,3.1842783636355905e-30,3.7643851004849774e-33,7.000307350271889e-13,4.907461231110547e-34,3.9664758130034564e-35,9.58790177355903e-18,3.782556077383794e-29,1.4884920964488003e-39,6.616719050847169e-29,1.7723671836483195e-15,1.814136442938238e-33,3.58751043290323e-30,1.999257690225105e-30,3.5673423966509166e-34,3.7078839353846527e-31,2.7396915280737506e-30,8.511180199242238e-59,6.315092331200987e-48
2.689675142573588e-19,0.8274600408603247,5.262382364671522e-22,9.539043321861181e-23,1.4356205382457146e-29,1.253787436308099e-33,0.0,0.0,1.9179440532000002e-17,1.613688797154004e-32,4.533965722939962e-43,4.866565921420204e-54,3.2225453724951746e-54,7.873897820407757e-60,2.7976582140563926e-42,5.641223391099628e-46,1.8084410506073552e-58,1.9030183243820886e-57,2.1338552344652046e-52,8.33972785779829e-50,1.0711118576412061e-29,2.726952731764385e-46,6.083683394545194e-51,6.98341050523529e-100,1.0922367469112575e-73,5.533367848763612e-48,4.1459142632618053e-45,7.829963669776377e-63,8.368787706610719e-110,1.374254512965516e-80,9.016582228517265e-75,1.451507645688105e-64,4.1918765301711433e-57,6.631157493227129e-94,3.76,0.0,0.6412370442311246,0.9999999999985997,1.1717768138612393e-41,1.9502405655720515e-71,6.554747938809782e-14,6.554747938809784e-14,1.2741261168102634e-29,1.506244374018838e-32,1.4003654344587974e-12,1.9636237188766934e-33,1.5871069829380752e-34,1.917996676955415e-17,1.5135151316229246e-28,1.1912460602391003e-38,2.647549487881435e-28,3.5455039579103376e-15,7.258908793892173e-33,1.4354714680341102e-29,7.999634914322573e-30,1.4274016268419487e-33,1.4836365483328661e-30,1.0962334725551763e-29,1.3623431198487412e-57,5.053993150378949e-47
5.379934108707535e-19,0.8274600408603349,1.0525912289281433e-21,1.9080157198301986e-22,5.743416972954613e-29,5.015968328225772e-33,0.0,0.0,3.83630441723895e-17,6.455805959650875e-32,3.6278614462643715e-42,3.8942115480541712e-53,2.580805469213951e-53,6.300314577229573e-59,1.1192454582980439e-41,4.5138637747858605e-45,2.894113668217512e-57,3.0456423604738035e-56,1.7074084047012497e-51,6.673049382471878e-49,4.2851448967200945e-29,2.1819765048697175e-45,4.868179390334037e-50,8.942945934477657e-98,3.4959182776771044e-72,4.427815336203395e-47,3.317569777481412e-44,1.2531589678211782e-61,1.0716468723383766e-107,4.3989374891955923e-79,2.886102437723645e-73,2.323042401452283e-63,6.708911211299341e-56,4.245579916747126e-92,3.76,0.0,0.6412370442310572,0.999999999997199,9.375994849591895e-41,6.242124833690366e-70,1.311091865772257e-13,1.3110918657722585e-13,5.097334127475792e-29,6.025958303179333e-32,2.801034832394784e-12,7.855773510526829e-33,6.3494613964457774e-34,3.836409676088872e-17,6.055046067750353e-28,9.531778400297183e-38,1.0591921932012003e-27,7.091777506433979e-15,2.904036189306169e-32,5.74282059501436e-29,3.2003748704200754e-29,5.7105359780182244e-33,5.935512278877229e-30,4.385647714416004e-29,2.180192532577762e-56,4.043962398468951e-46
1.0760452040975428e-18,0.8274600408603555,2.1052988046199712e-21,3.816238495224283e-22,2.297553766501985e-28,2.0065523591159842e-32,0.0,0.0,7.67302514530502e-17,2.5825325530304654e-31,2.90256473360941e-41,3.116016135690834e-52,2.06848804893011e-52,5.0407302418990816e-58,4.4773462051687053e-41,3.6114450827320263e-44,4.631068320580626e-56,4.8736783019921385e-55,1.3660564363638443e-50,5.338946398601468e-48,1.7141974618533672e-28,1.7457469493778806e-44,3.8950368971086694e-49,1.144964703453456e-95,1.1188155753806106e-70,3.542700746682408e-46,2.6543912096555383e-43,2.005347593085641e-60,1.3719918977646152e-105,1.4078726694181603e-77,9.236801793185935e-72,3.7173720760278433e-62,1.0735785188990531e-54,2.7176966076656445e-90,3.76,0.0,0.6412370442309225,0.9999999999943976,7.50150809126801e-40,1.9976967800392637e-68,2.6223260095545366e-13,2.6223260095545436e-13,2.0390995943340883e-28,2.410579496464598e-31,5.602373624557837e-12,3.142565149452583e-32,2.5399912678517947e-33,7.673235674093513e-17,2.4222155490243382e-27,7.626146763877314e-37,4.237113593333539e-27,1.4184324603479683e-14,1.1617090168017754e-31,2.297315195890645e-28,1.280254136374729e-28,2.28440030009461e-32,2.3743981420866756e-29,1.7544018606687914e-28,3.488662928600749e-55,3.2354771027370473e-45
2.1521487905511213e-18,0.8274600408603968,4.210720319083014e-21,7.632684046436146e-22,9.19058903404836e-28,8.02654990053047e-32,0.0,0.0,1.5346466601389852e-16,1.0330550565400158e-30,2.3221620234061853e-40,2.4934930198259044e-51,1.6607054874158294e-51,4.032775636799127e-57,1.7910113595997269e-40,2.889297698465581e-43,7.41009849849324e-55,7.798405740116939e-54,1.0928970559376483e-49,4.271359886732653e-47,6.8570688636775e-28,1.3966638612255733e-43,3.1162272912964166e-48,1.4657261228846392e-93,3.5804046165595627e-69,2.8343399995303724e-45,2.1236471309850928e-42,3.208795155108902e-59,1.7563337050461655e-103,4.5055389165562256e-76,2.955980427992428e-70,5.9481988244048735e-61,1.7178478199204105e-53,1.7394950501407137e-88,3.76,0.0,0.6412370442306531,0.9999999999887949,6.001491372920949e-39,6.392976652689175e-67,5.244794297117988e-13,5.244794297118016e-13,8.156730271677167e-28,9.642710348629314e-31,1.120505119404826e-11,1.257077210671053e-31,1.0160378517591182e-32,1.5346887669053712e-16,9.689256451062065e-27,6.101207042332062e-36,1.69491440379541e-26,2.836941879756479e-14,4.647025156073587e-31,9.189634712610436e-28,5.121224928123425e-28,9.137973043538377e-32,9.49797904050776e-29,7.0178930018147595e-28,5.582144603328836e-54,2.588504562147087e-44
4.304355963458279e-18,0.8274600408604793,8.421588800326657e-21,1.5265575150554652e-21,3.6763104086269195e-27,3.210696371617562e-31,0.0,0.0,3.0693349513370275e-16,4.132304298289467e-30,1.8577737144969684e-39,1.9957406153213842e-50,1.337934529544833e-50,3.2262970904106128e-56,7.164191200395395e-40,2.3114948122928935e-42,1.185646895505186e-53,1.2477865564159183e-52,8.743384384981518e-49,3.417169018648336e-46,2.7428833497164223e-27,1.117357610360921e-42,2.4930615971040304e-47,1.876239078203498e-91,1.145760642188848e-67,2.2675437629220653e-44,1.6989713717437864e-41,5.134277513299743e-58,2.2482309905225417e-101,1.441831759187248e-74,9.459463548096137e-69,9.517441211374166e-60,2.748654267425759e-52,1.1133323360933695e-86,3.76,0.0,0.6412370442301143,0.9999999999775894,4.801307061426777e-38,2.045808043649156e-65,1.048973087224045e-12,1.0489730872240562e-12,3.262758485389515e-27,3.857162612134927e-30,2.241040627368638e-11,5.02841114644882e-31,4.06423410807877e-32,3.069419165477775e-16,3.875781430484483e-26,4.881081486740219e-35,6.77979554976666e-26,5.6739607185709786e-14,1.8588478808562564e-30,3.675928672156534e-27,2.0485316475494798e-27,3.65526359708832e-31,3.799268909874549e-28,2.8072143129044914e-27,8.931658502281813e-53,2.0708528027089322e-43
8.608770309272594e-18,0.8274600408606445,1.6843427572084233e-20,3.053135736557079e-21,1.4705391226398151e-26,1.2843004849877493e-30,0.0,0.0,6.138711533657417e-16,1.6529385338729918e-29,1.4862366101211507e-38,1.5980496181921968e-49,1.0853022707947868e-49,2.581068307709097e-55,2.8657056362867042e-39,1.8492185100597286e-41,1.897059941523848e-52,1.9964918011544374e-51,6.994791171369222e-48,2.733767658985873e-45,1.097164500834338e-26,8.938966969552649e-42,1.9944822273362214e-46,2.401656192393742e-89,3.6664839182344174e-66,1.81406371646902e-43,1.359198564528306e-40,8.215053204597206e-57,2.8778303753321916e-99,4.6139813758118143e-73,3.027080524608032e-67,1.5228165308264538e-58,4.3979250337310045e-51,7.125521851002448e-85,3.76,0.0,0.6412370442290366,0.9999999999551784,3.841091235120754e-37,6.546674563900661e-64,2.097960402246762e-12,2.0979604022468066e-12,1.30511666695271e-26,1.5428807385159103e-29,4.4821116195591714e-11,2.011384919645243e-30,1.6257101918539517e-31,6.138879960944043e-16,1.5503283404764626e-25,3.904911526822673e-34,2.7119458064335994e-25,1.134799839618989e-13,7.43546716079409e-30,1.4703864263953515e-26,8.194209935806123e-27,1.4621203226759807e-30,1.5197230211122574e-27,1.1228971471663311e-26,1.4290835302686286e-51,1.6567019031393005e-42
1.7217599000901223e-17,0.8274600408609746,3.3687512352681155e-20,6.106292182271966e-21,5.882186409505555e-26,5.137299044295712e-30,0.0,0.0,1.2277464697995407e-15,6.611787764609301e-29,1.188996343520275e-37,1.2807483784088335e-48,8.921542213650613e-49,2.064866904534272e-54,1.1462880885421547e-38,1.4793838698142803e-40,3.035315832683887e-51,3.1944135304797583e-50,5.595867182324256e-47,2.187027104788833e-44,4.3886803253269563e-26,7.151216010154714e-41,1.5956006314980034e-45,3.074164836600572e-87,1.173282831096883e-64,1.451262456314157e-42,1.0873674385792778e-39,1.314439637335038e-55,3.683723026401081e-97,1.4765091070954203e-71,9.686741180138232e-66,2.4365274844261994e-57,7.036742618842011e-50,4.5604184748325676e-83,3.76,0.0,0.6412370442268813,0.9999999999103564,3.07289122282556e-36,2.0949500718381963e-62,4.195935032285094e-12,4.195935032285271e-12,5.220493192202829e-26,6.171554333412002e-29,8.964253508991876e-11,8.045580601939877e-30,6.502873930942156e-31,1.2277801545162415e-15,6.201344883654453e-25,3.123947749613148e-33,1.0847838393948822e-24,2.269607375138737e-13,2.974201991732509e-29,5.88157562059705e-26,3.277700637331112e-26,5.848511120706973e-30,6.078922985235868e-27,4.4916114285132083e-26,2.2865481801907418e-50,1.3253693861738218e-41
3.443525638415848e-17,0.8274600408616346,6.737731086220683e-20,1.221260508454843e-20,2.3528805479528326e-25,2.054981623836553e-29,0.0,0.0,2.4554971025460256e-15,2.644721831564763e-28,9.511998969418994e-37,1.028283509747477e-47,7.519772123133808e-48,1.651898433603303e-53,4.585164044456038e-38,1.1835107167539057e-39,4.856521270524691e-50,5.1110829667623335e-49,4.476708691440979e-46,1.7496268747070355e-43,1.7554765945344154e-25,5.720989781286579e-40,1.2764891165436913e-44,5.66941187569943e-85,3.7545178172786133e-63,1.16101455928249e-41,8.698973857197377e-39,2.1031938355376442e-54,4.7153727291060077e-95,4.725029427721175e-70,3.099770536556735e-64,3.8984617162457733e-56,1.125883824092773e-48,2.9187556640986753e-81,3.76,0.0,0.6412370442225707,0.9999999998207123,2.458320272521164e-35,6.703862964323614e-61,8.391884292333348e-12,8.39188429233406e-12,2.0882025647153536e-25,2.4686280027562673e-28,1.792853690806386e-10,3.2182404263022305e-29,2.6011562580042585e-30,2.4555644686742514e-15,2.4805442458598516e-24,2.499165599871769e-32,4.339146387178968e-24,4.5392224461620924e-13,1.1896838220816988e-28,2.3526362311088844e-25,1.3110835825918574e-25,2.3394104640481207e-29,2.4315753633249617e-26,1.796649135974741e-25,3.658488700078848e-49,1.0602986531681377e-40
