Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38)
1.6634116322241108e-07,0.8893165152042598,2.587224935949364e-11,3.326282885040314e-10,1.7091870193646647e-12,7.77989586380096e-17,0.0,0.0,3.1059075454802205e-11,1.1942387567067406e-22,5.844150962009553e-11,1.4670910512097945e-16,1.6337591926489424e-10,1.5712015365271694e-26,2.617550245316504e-18,1.183127942330086e-15,1.1763511611589519e-19,5.725927970996045e-17,5.4772526464322716e-15,1.9485324321466488e-13,1.8444355537633617e-05,1.8842063981662097e-10,3.9866982426744024e-17,7.712489675817703e-33,3.2457535388427856e-24,6.140563149996586e-19,1.1519275581624606e-18,3.2907646110836673e-29,1.3354375707645345e-40,1.27360724825233e-40,2.718130631762197e-26,1.0199131989024382e-31,4.070835799083806e-20,4.552728880744013e-31,3.76,0.0,0.5505917160797207,0.9999999996908613,1.8855563985929688e-17,2.266174588479395e-28,0.0841188822446053,0.08415577155474138
1.761186471182602e-07,0.8900607816874783,3.308042154436187e-11,3.5269214418685353e-10,2.3232128047773733e-12,1.046795889514467e-16,0.0,0.0,3.9844420761894465e-11,2.0852778125405034e-22,7.501720344816552e-11,1.9347497881926663e-16,1.9692496157701655e-10,2.303835579354975e-26,3.3568319231329453e-18,1.4663223762674205e-15,1.8994443157939786e-19,7.522770076370383e-17,6.852598034605434e-15,2.2565843959584348e-13,2.0631618318216126e-05,2.1731045926924373e-10,5.010015850488091e-17,1.66888225897284e-32,5.309273330764231e-24,9.907747699305767e-19,1.7093550396043557e-18,5.420930882146956e-29,3.676454689041322e-40,3.4549018378776172e-40,4.626008096819961e-26,2.030379669239709e-31,6.313982744297313e-20,9.395572671803024e-31,3.76,0.0,0.5460086401660167,0.9999999996466737,2.4843758086003923e-17,4.339340692453604e-28,0.08869977084154408,0.08874103478521045
1.8589613101410933e-07,0.8907988749626615,4.167165224535305e-11,3.7291990624624167e-10,3.101498249665477e-12,1.3890101147260717e-16,0.0,0.0,5.0354142496070947e-11,3.5225524374059886e-22,9.486184244104181e-11,2.5125001701841416e-16,2.345817457537569e-10,3.3008802059137766e-26,4.243607184751645e-18,1.795573754853596e-15,2.9846932635324264e-19,9.734530167664561e-17,8.469409632613983e-15,2.5903041362148747e-13,2.2936199238545308e-05,2.484621455881148e-10,6.212099751641475e-17,3.480700804393414e-32,8.440688509240832e-24,1.5556675400065909e-18,2.4803892382556235e-18,8.70754496522701e-29,9.56257868701635e-40,8.862610056401259e-40,7.630654841096742e-26,3.8827553812461936e-31,9.553155991379713e-20,1.8595272182695703e-30,3.76,0.0,0.5414637133643724,0.9999999995969093,3.2253782753368e-17,8.013345158498464e-28,0.09324239300233073,0.09328826622771293
1.9567361490995845e-07,0.8915308464438328,5.179860492097571e-11,3.933417220971764e-10,4.0742321561814364e-12,1.8203041203834802e-16,0.0,0.0,6.278778616136369e-11,5.776606482246607e-22,1.1835778021990305e-10,3.2180591678662736e-16,2.765118219790584e-10,4.632653622224827e-26,5.296436825987183e-18,2.175250118007014e-15,4.576829069779503e-19,1.2426466921909963e-16,1.0354141260035288e-14,2.949939967800665e-13,2.535729864323208e-05,2.8188474905549734e-10,7.611120862220892e-17,7.018645553638191e-32,1.3080595262948091e-23,2.3836819249118628e-18,3.527070368185201e-18,1.3676119597584417e-28,2.363722145732581e-39,2.1618347955182867e-39,1.2239013707982765e-25,7.160796582245206e-31,1.4132522103557424e-19,3.5446978480848926e-30,3.76,0.0,0.5369566181250292,0.9999999995410644,4.132678802293921e-17,1.432403120698902e-27,0.09774706707609535,0.09779778263263436
2.0545109880580758e-07,0.8922567471164932,6.361791383384945e-11,4.1399089224675186e-10,5.2747591118794065e-12,2.3589341920797847e-16,0.0,0.0,7.735181645090838e-11,9.223375716059995e-22,1.4590141967996385e-10,4.0708141357498735e-16,3.2286733629812443e-10,6.382017591585891e-26,6.535047379843449e-18,2.6098989545252255e-15,6.865230230238653e-19,1.566988745843093e-16,1.2534746409390703e-14,3.335697022415987e-13,2.789412009535079e-05,3.175841966584597e-10,9.225989322555874e-17,1.3719276009815896e-31,1.9809789722250152e-23,3.572791111948439e-18,4.924048688225754e-18,2.1051763143037986e-28,5.579890002273534e-39,5.0381748219239826e-39,1.9141056413509942e-25,1.2780994292760605e-30,2.0483398925609997e-19,6.531985252305e-30,3.76,0.0,0.5324870395414832,0.9999999994786247,5.2332508544420946e-17,2.486249700938209e-27,0.10221410876549919,0.10226989811032257
2.152285827016567e-07,0.8929766275411992,7.728956642782782e-11,4.3490393749766087e-10,6.739646830741826e-12,3.026055836951012e-16,0.0,0.0,9.425894133480198e-11,1.437503664601637e-21,1.7790198625439908e-10,5.091887789766914e-16,3.737875641819385e-10,8.645559314830349e-26,7.980371472632049e-18,3.1042609620241555e-15,1.0093959540181293e-18,1.954241553822628e-16,1.5040757871445353e-14,3.747742700420589e-13,3.0545870418837206e-05,3.555637585578367e-10,1.1076396727120361e-16,2.6055897048470114e-31,2.938173933561013e-23,5.249146823625067e-18,6.760068350023254e-18,3.182238389798151e-28,1.2632768369264275e-38,1.12642431599524e-38,2.9258885945899993e-25,2.2144193004169712e-30,2.9138500386567675e-19,1.1672726102201063e-29,3.76,0.0,0.528054665328481,0.9999999994090669,6.557214419408853e-17,4.201759451069383e-27,0.10664383114869397,0.10670492415313235
2.2500606659750583e-07,0.8936905378571119,9.297632099810505e-11,4.5612065352995e-10,8.508740894374482e-12,3.8460613184960623e-16,0.0,0.0,1.1372746732012214e-10,2.191708512038168e-21,2.1478035510173966e-10,6.3042069389292e-16,4.2939950152591846e-10,1.1534776394009985e-25,9.654598822582976e-18,3.663287165167407e-15,1.4573267568563582e-18,2.4128283700603244e-16,1.790338338887352e-14,4.1862114708039893e-13,3.3311759739034284e-05,3.958244422424486e-10,1.318287259161034e-16,4.818073405885691e-31,4.275994516960723e-23,7.572981949530657e-18,9.139484311735529e-18,4.7318435584509105e-28,2.7530336451301586e-38,2.4247942929143225e-38,4.380473494100925e-25,3.7340782188997014e-30,4.0747155032153527e-19,2.0283954109298633e-29,3.76,0.0,0.5236591858002033,0.9999999993318588,8.138161517151251e-17,6.930259310315967e-27,0.1110365447010986,0.11110316965728319
2.3478355049335495e-07,0.8943985277855154,1.108431619732427e-10,4.776841536361701e-10,1.0625207670123767e-11,4.846939865365454e-16,0.0,0.0,1.3598068917226213e-10,3.275233949964169e-21,2.569679385914367e-10,7.732576094473393e-16,4.898184861261105e-10,1.5177260138409862e-25,1.1581238823638579e-17,4.29215944873678e-15,2.0692661423126546e-18,2.9518654027866645e-16,2.1155618250380597e-14,4.651209112254546e-13,3.619100152144272e-05,4.3836532772310206e-10,1.556685534548184e-16,8.690357928200868e-31,6.116052437611756e-23,1.0745313877068608e-17,1.2183802020938547e-17,6.931265278414717e-28,5.793761850259483e-38,5.041590019465338e-38,6.434872228554485e-25,6.1423589933500954e-30,5.609141733196768e-19,3.4358024868479076e-29,3.76,0.0,0.5193002938486284,0.9999999992464604,1.0013522775796736e-16,1.1178817998458849e-26,0.11539255731699698,0.1154649409445351
2.445610343892041e-07,0.8951006466333051,1.3105679301374228e-10,4.996409005001176e-10,1.3135566297863133e-11,6.060660339091155e-16,0.0,0.0,1.6124631501719916e-10,4.805255975301848e-21,3.0490563609540466e-10,9.403757081870382e-16,5.551488327069009e-10,1.9717874295904588e-25,1.3785195507468807e-17,4.9963145479247256e-15,2.8935631360120524e-18,3.5811972150516627e-16,2.4832375664988243e-14,5.142816468860158e-13,3.918281260872982e-05,4.831838534477826e-10,1.82507780549652e-16,1.5315310404153159e-30,8.610032116875162e-23,1.501549629901897e-17,1.6033229887539373e-17,1.0014373772880722e-27,1.1807932793835018e-37,1.0152983885016276e-37,9.289720082095743e-25,9.876368353988855e-30,7.610297672932931e-19,5.684794445949174e-29,3.76,0.0,0.5149776849220732,0.9999999991523253,1.2224978561787144e-16,1.7666817766867673e-26,0.11971217433095872,0.11979054178368319
2.5433851828505317e-07,0.8957969432964461,1.537851668831317e-10,5.220407278988227e-10,1.608971062662627e-11,7.523576103652965e-16,0.0,0.0,1.8975592628994576e-10,6.931837190031186e-21,3.5904284538158595e-10,1.1346555772094917e-15,6.25484471887718e-10,2.531992766221584e-25,1.6292855626908805e-17,5.781471530758127e-15,3.9896123977439976e-18,4.3114359032330077e-16,2.897063571091671e-14,5.66109277596648e-13,4.2286413256042906e-05,5.302760596338431e-10,2.1258169093564227e-16,2.6411822866851567e-30,1.194508499238477e-22,2.0689665554573696e-17,2.0848235465562055e-17,1.4286852243045593e-27,2.336347400984151e-37,1.9853158512265336e-37,1.3198250595519787e-24,1.5550696008135962e-29,1.0188076317576358e-18,9.204947717127534e-29,3.76,0.0,0.5106910570039165,0.9999999990489,1.4818918070448942e-16,2.739889967515313e-26,0.12399569853908318,0.12408027341187257
