Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47)
1.3422498034366037e-19,0.7528339514752616,4.1428807813833454e-23,8.793938913735603e-25,8.150594047789937e-31,3.760157361486459e-35,0.0,0.0,1.5892467073104694e-18,3.1796443924601845e-34,4.578605451466142e-45,7.347468756632965e-58,4.867771265530479e-58,3.3785678538504585e-64,9.55566767056269e-46,1.6229387925578065e-50,1.6503410630365762e-63,3.945912994397313e-61,3.5307652095575868e-56,3.012157049840024e-54,4.43443655120191e-32,1.1896061059986889e-49,3.0263013089374137e-63,3.567853896737393e-106,2.0768641156805222e-79,1.1901418578166178e-69,1.510857589079557e-48,1.998533963992302e-79,6.182978554311957e-129,2.8250242075495002e-98,1.0933666495254039e-79,1.7221376233508247e-76,5.014375437723617e-60,2.437403975217936e-102,3.76,0.0,0.789526027461923,0.999999999999668,3.194739131985258e-43,5.1840333606439605e-77,5.866687762433521e-15,5.866687762433521e-15,5.820836181675738e-32,2.6923331517147035e-35,3.318953928621379e-13,1.1120415125138539e-35,5.448340234577645e-37,1.5892881361089162e-18,3.285099759360116e-30,4.1181901553133713e-41,3.0414462092548474e-30,2.351386811964801e-16,5.642196976402314e-35,8.15049641059341e-31
2.685665766563422e-19,0.7528339514752624,8.289361545899389e-23,1.759551808728149e-24,3.2623617252256734e-30,1.505042964503627e-34,0.0,0.0,3.1798741676239694e-18,1.2726863962271223e-33,3.665668349300146e-44,5.882478210096225e-57,3.902364243837547e-57,2.704908597017392e-63,3.824757347176917e-45,1.2996672953307022e-49,2.6434138357875976e-62,6.320306741222183e-60,2.8267590327465056e-55,2.4115571603082105e-53,1.774930267998146e-31,9.524082162381155e-49,4.847341509120195e-62,4.576637464548171e-104,6.65342401733919e-78,1.9090215536100586e-68,1.209909337833434e-47,6.404870385067001e-78,1.5859479912574057e-126,1.8107622534327504e-96,3.502693571143249e-78,5.517446693913342e-75,8.032308428215536e-59,1.5646677159688293e-100,3.76,0.0,0.789526027461917,0.9999999999993359,2.557733843748968e-42,1.6607525914764813e-75,1.1738472560281785e-14,1.1738472560281785e-14,2.3298514262111276e-31,1.0776349029344698e-34,6.640791395172642e-13,4.451064113878429e-35,2.1807559727509927e-36,3.1799570612019347e-18,1.3148960254267037e-29,3.2970561601156545e-40,1.217371107454907e-29,4.704816531672363e-16,2.2583491895277373e-34,3.262322644902251e-30
5.372497692817058e-19,0.7528339514752642,1.6582324899714085e-22,3.519867643470676e-24,1.3053696323826294e-29,6.02213302446539e-34,0.0,0.0,6.361129088248823e-18,5.0924033357058736e-33,2.9336487508833007e-43,4.707827401722502e-56,3.131380424976482e-56,2.1647489546247366e-62,1.5304011366558798e-44,1.0402605980976557e-48,4.231757963327622e-61,1.011797066717623e-58,2.2622663498969665e-54,1.9299786496940205e-52,7.102033025730399e-31,7.622160292884853e-48,7.75995634572368e-61,5.864365735161858e-102,2.130289834863532e-76,3.065963303762308e-67,9.684170158745807e-47,2.0510897027035335e-76,4.06400665572545e-124,1.1597675817908204e-94,1.1214895725958325e-76,1.7666406880538817e-73,1.2859144521288957e-57,1.0050177582793379e-98,3.76,0.0,0.789526027461905,0.9999999999986715,2.046964422528279e-41,5.3173891906708e-74,2.3482042155978128e-14,2.3482042155978128e-14,9.322440475682586e-31,4.311943296039918e-34,1.3284466323656335e-12,1.7810054235033317e-34,8.725864461018267e-36,6.361294911347796e-18,5.261296832915035e-29,2.6386469706839342e-39,4.871070129083756e-29,9.41167597108737e-16,9.036338394144703e-34,1.305353995162952e-29
1.0746161545324329e-18,0.7528339514752674,3.3168258906473905e-22,7.040499313089133e-24,5.222328535180843e-29,2.4092459534019e-33,0.0,0.0,1.2723638929489948e-17,2.037292931671829e-32,2.347364724519938e-42,3.767068467775734e-55,2.5188674638567892e-55,1.7321280648625662e-61,6.122601084554568e-44,8.324192346879839e-48,6.77264995664553e-60,1.619313822097182e-57,1.8101568195528243e-53,1.5442761509833348e-51,2.8412756669100015e-30,6.098886306921254e-47,1.2419299057770778e-59,7.510403299666284e-100,6.81883872330197e-75,4.939380605662271e-66,7.749294787416576e-46,6.565937982275996e-75,1.0408954243875267e-121,7.425328932684895e-93,3.5897711464394527e-75,5.65494318558453e-72,2.0580594005106853e-56,6.47082081960256e-97,3.76,0.0,0.789526027461881,0.9999999999973428,1.6378825434853053e-40,1.702041637998812e-72,4.69691813473701e-14,4.6969181347370106e-14,3.729583230195957e-30,1.7250580951717978e-33,2.6571816162148378e-12,7.12518141511673e-34,3.49091398163197e-35,1.2723970611478818e-17,2.1048613280977187e-28,2.1113184791439046e-38,1.9487452366436827e-28,1.8825394849916895e-15,3.6151237686697966e-33,5.222265976120906e-29
2.149348925033887e-18,0.752833951475274,6.634015611651528e-22,1.4081762652859655e-23,2.089101427305109e-28,9.637772992462955e-33,0.0,0.0,2.5448658611937864e-17,8.149834968687256e-32,1.8780700881856846e-41,3.0140869595191437e-54,2.0365470981308767e-54,1.385834026541662e-60,2.449239755936981e-43,6.66019700546799e-47,1.0837710011673794e-58,2.5912529775786473e-56,1.4482629929257682e-52,1.2355382257997385e-50,1.1366027646745768e-29,4.879572324032303e-46,1.987357399981676e-58,9.615886798302675e-98,2.182334257260098e-73,8.008851743691358e-65,6.200219389714737e-45,2.1014923874960795e-73,2.6653449253785824e-119,4.753111966802381e-91,1.1488875136217082e-73,1.8098527436858833e-70,3.2933721401776585e-55,4.1883851710337194e-95,3.76,0.0,0.7895260274618331,0.9999999999946854,1.3104304502612243e-39,5.447296762454758e-71,9.394345973015119e-14,9.394345973015122e-14,1.4919547081422303e-29,6.900793973413774e-33,5.314651576523113e-12,2.8503045267970206e-33,1.3964792420233892e-34,2.544932201109806e-17,8.4201305501905e-28,1.689215161324631e-37,7.7956153616047296e-28,3.765283260757402e-15,1.4461671980469402e-32,2.0890764016454145e-28
4.298814466036796e-18,0.7528339514752869,1.3268406732268498e-21,2.8164289334535133e-23,8.356745747757872e-28,3.855269946957281e-32,0.0,0.0,5.089869797669637e-17,3.2600666405897777e-31,1.5025273977809734e-40,2.4116177057253167e-53,1.6633355050014257e-53,1.1087198541150487e-59,9.797357684850072e-43,5.328494876456003e-46,1.7341512485394615e-57,4.1462854738882165e-55,1.1586654549773273e-51,9.884775051366494e-50,4.546596061106302e-29,3.9038431804593125e-45,3.179987495844659e-57,1.2309980736558404e-95,6.983959166518148e-72,1.315090493817813e-63,4.960488954829318e-44,6.725403280443327e-72,6.824118515468157e-117,3.042280154659192e-89,3.6766972579213503e-72,5.791962294030158e-69,5.269777134778203e-54,2.740007581208784e-93,3.76,0.0,0.7895260274617373,0.9999999999893704,1.0483941290521506e-38,1.7432571681165738e-69,1.8789201649570193e-13,1.8789201649570205e-13,5.968061668805737e-29,2.7604299112879136e-32,1.0629591467579118e-11,1.1401682045295982e-32,5.586144289588333e-34,5.090002480776532e-17,3.368189271826673e-27,1.3514362834317954e-36,3.118373032030682e-27,7.530770812288057e-15,5.784904181691414e-32,8.356645641052878e-28
8.597745548042612e-18,0.7528339514753127,2.6537235687937236e-21,5.632934270642383e-23,3.342766307993167e-27,1.5421424562283479e-31,0.0,0.0,1.0179877670566405e-16,1.304053187324604e-30,1.2020504498717041e-39,1.929713833650747e-52,1.3851340500202928e-52,8.869969373429913e-59,3.919022809721959e-42,4.262930814609958e-45,2.774736220153888e-56,6.634281334043698e-54,9.26954457281101e-51,7.908007743860214e-49,1.8186754255826715e-28,3.1231486747405117e-44,5.088152523957044e-56,1.5757829178293578e-93,2.2349453404223887e-70,2.2117458874275516e-62,3.968516544950726e-43,2.1522294778303878e-70,1.7470812944345417e-114,1.947151622923821e-87,1.1765842783339884e-70,1.853497297815143e-67,8.431948796225666e-53,1.8294348173132551e-91,3.76,0.0,0.7895260274615455,0.9999999999787405,8.387352113040274e-38,5.578618673466026e-68,3.757891300267576e-13,3.757891300267582e-13,2.387273232004457e-28,1.104194428801832e-31,2.1259471131448962e-11,4.56076560746277e-32,2.2345031926719706e-33,1.0180143039081498e-16,1.3473031190173592e-26,1.0811746887665412e-35,1.2473745906337716e-26,1.506174591534629e-14,2.3140087513870355e-31,3.3427262645022074e-27
1.7195607712054245e-17,0.7528339514753649,5.30750804570141e-21,1.1265944948435245e-22,1.337120125073798e-26,6.168657395502599e-31,0.0,0.0,2.0359893416140205e-16,5.216265811895355e-30,9.616517726958031e-39,1.5443875949596895e-51,1.1952159219557019e-51,7.096059721449061e-58,1.5676250729007724e-41,3.4103986186818e-44,4.4396536573499445e-55,1.0615029798393957e-52,7.415725127933129e-50,6.326481276825021e-48,7.274775705268484e-28,2.4985485921777384e-43,8.141182064516018e-55,2.0170697232732283e-91,7.151951037391952e-69,3.8829918144962234e-61,3.1748633892247454e-42,6.887295019927086e-69,4.472665028864134e-112,1.2462065833535131e-85,3.765135540799669e-69,5.931302327289917e-66,1.3491362382604285e-51,1.2678191588772621e-89,3.76,0.0,0.7895260274611621,0.9999999999574806,6.7099613236394125e-37,1.7851894226975777e-66,7.515833570886857e-13,7.515833570886882e-13,9.549190028808042e-28,4.416822640198661e-31,4.251922998622e-11,1.8243248010759223e-31,8.938103818997427e-33,2.0360424151577483e-16,5.389267292719737e-26,8.649500152979082e-35,4.989549117765514e-26,3.012369612145042e-14,9.256129163580243e-31,1.3371041075190563e-26
3.439133204007751e-17,0.7528339514754689,1.061515174261269e-20,2.2531966317681586e-22,5.348507703988977e-26,2.4674953644865984e-30,0.0,0.0,4.0719924906408874e-16,2.0865169372825534e-29,7.693259832861584e-38,1.236474543499133e-50,1.0955320877377983e-50,5.676881475069243e-57,6.270532203478296e-41,2.7283404831753596e-43,7.103507458846547e-54,1.698419141007098e-51,5.9326176429548494e-49,5.061215053759374e-47,2.9099250827598626e-27,1.9988507345198178e-42,1.3026001722734232e-53,2.581892862630276e-89,2.2886448001515975e-67,7.314121670413175e-60,2.539910772941564e-41,2.2039601183089113e-67,1.1450197770728978e-109,7.975816680389365e-84,1.2048539089193636e-67,1.8980344943473606e-64,2.1586375258527447e-50,9.355137083724467e-88,3.76,0.0,0.7895260274603952,0.9999999999149608,5.368000912238629e-36,5.712657293654421e-65,1.5031718112118096e-12,1.5031718112118193e-12,3.819695408536725e-27,1.7667380379321842e-30,8.503874580388753e-11,7.297336321104532e-31,3.575259812403378e-32,4.0720986360113646e-16,2.155717876937908e-25,6.919641169222913e-34,1.9958297975059878e-25,6.024759653360936e-14,3.702470496940774e-30,5.348443633480781e-26
6.878278069612404e-17,0.752833951475677,2.1230738108820093e-20,4.506400911081798e-22,2.1394085222021774e-25,9.870165407468721e-30,0.0,0.0,8.143998788343051e-16,8.346088973888618e-29,6.154626126542912e-37,9.907139918506716e-50,1.099394813963983e-49,4.541518673029261e-56,2.508219274747983e-40,2.1826810238935057e-42,1.1365664556131749e-52,2.7174821243450657e-50,4.7461119346532385e-48,4.048984055013935e-46,1.1639729932402552e-26,1.5990853315336412e-41,2.0841691084624185e-52,4.761646805232231e-87,7.323698134228868e-66,1.5227611917302517e-58,2.0319366431735753e-40,7.052713529951653e-66,2.93127318894629e-107,5.104552937813352e-82,3.855549364353345e-66,6.073738740079045e-63,3.453835676337789e-49,8.964846737470368e-86,3.76,0.0,0.7895260274588616,0.9999999998299214,4.2944134708947925e-35,1.8280590446296366e-63,3.0063487194551273e-12,3.0063487194551657e-12,1.5278820242412384e-26,7.066970089989846e-30,1.7007776987172514e-10,2.9189419521817223e-30,1.430107641979574e-31,8.14421107113628e-16,8.62289339926969e-25,5.5357293372519384e-33,7.983339485336839e-25,1.2049539735772997e-13,1.4809919649411816e-29,2.1393828939630435e-25
1.375656780082171e-16,0.7528339514760929,4.2463106730783895e-20,9.01280949156752e-22,8.557644968879764e-25,3.9481982624145405e-29,0.0,0.0,1.6288011382341092e-15,3.338439834241729e-28,4.923708204827384e-36,7.950226483561736e-49,1.2362641543229113e-48,3.633220357645782e-55,1.0032889973458879e-39,1.746148277307976e-41,1.8185116062524577e-51,4.34798059818774e-49,3.796901162245334e-47,3.239192047296293e-45,4.655897893234063e-26,1.2792701621426343e-40,3.33467763733535e-51,6.109501448625402e-85,2.3435902623867436e-64,3.5642931075935654e-57,1.625552524737149e-39,2.2568749190227022e-64,7.504088479845764e-105,3.2669235698320974e-80,1.23377849247299e-64,1.9436009076673584e-61,5.526149587545517e-48,8.673657827837576e-84,3.76,0.0,0.7895260274557941,0.9999999996598425,3.4355358727347293e-34,5.849806259337939e-62,6.012702535930042e-12,6.0127025359301965e-12,6.111535669948312e-26,2.826791603264703e-29,3.401557877374159e-10,1.1675782659129013e-29,5.720438482356737e-31,1.6288435915056838e-15,3.4491617154317594e-24,4.4285900034946434e-32,3.1933398487763457e-24,2.409909990051821e-13,5.923975390940899e-29,8.557542456027441e-25
2.7513147263240323e-16,0.7528339514769249,8.493262753298476e-20,1.8025626739980374e-21,3.4230601626439474e-24,1.5793819724665343e-28,0.0,0.0,3.257603656471203e-15,1.3353767824183219e-27,3.938969484468614e-35,6.399390399419846e-48,1.5598076768621699e-47,2.906578489045499e-54,4.013158634469892e-39,1.3969200103174426e-40,2.9096262078599315e-50,6.956776317227345e-48,3.0375327538405362e-46,2.591355556711979e-44,1.8623603413439603e-25,1.023416887433732e-39,5.335489862842598e-50,7.820333088631555e-83,7.499508106767727e-63,9.31205209209113e-56,1.3004433042927226e-38,7.222010319712901e-63,1.921050532659046e-102,2.0908341932655857e-78,3.948095482566085e-63,6.2195299524391e-60,8.841849336070827e-47,9.300661175098226e-82,3.76,0.0,0.7895260274496593,0.999999999319685,2.7484307359071725e-33,1.871942936484956e-60,1.2025410168832989e-11,1.2025410168833605e-11,2.444615663634165e-25,1.1307173384500694e-28,6.803117023889026e-10,4.670316036058311e-29,2.28817736014618e-30,3.2576885497580877e-15,1.3796655392502817e-23,3.542874572967442e-31,1.277336746898924e-23,4.819822022969303e-13,2.369591661682872e-28,3.4230191576646e-24
5.502630618807756e-16,0.7528339514785887,1.6989080337109757e-19,3.605126158663297e-21,1.369224499337405e-23,6.318343205804499e-28,0.0,0.0,6.51520869069534e-15,5.341508825388238e-27,3.151176754485341e-34,5.182241434151614e-47,2.161119931455627e-46,2.325263728789309e-53,1.6052640389585824e-38,1.1175365719506022e-39,4.655418974177575e-49,1.1130847998005462e-46,2.430042417854642e-45,2.0730852090147457e-43,7.449443733437717e-25,8.187338113592868e-39,8.536788269638271e-49,1.00100675734814e-80,2.399850983805695e-61,2.644866394910831e-54,1.0403551579115682e-37,2.311045017810349e-61,4.917895126057024e-100,1.338134888548414e-76,1.263391239159246e-61,1.990250603995526e-58,1.414696690783262e-45,1.0751718890843919e-79,3.76,0.0,0.7895260274373896,0.9999999986393703,2.1987454027100462e-32,5.99023913259673e-59,2.4050825434451357e-11,2.405082543445383e-11,9.778464494305836e-25,4.522870617609341e-28,1.3606230473726417e-09,1.868127010764539e-28,9.15271644951025e-30,6.515378424136064e-15,5.518663718615286e-23,2.834300617150763e-30,5.109348574049816e-23,9.639646088678018e-13,9.478369649908871e-28,1.3692080974905746e-23
