Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70)
2.996958489485172e-06,0.8926926366217142,1.204376663979998e-07,9.483463541802897e-08,4.682690207739451e-08,9.72855298063606e-07,0.0,0.0,6.525556293545942e-07,1.4271683322852398e-09,1.3317193629653545e-05,8.517199349989868e-08,5.678703474999981e-08,1.32970247041727e-19,5.110366769636477e-13,1.3590951363978506e-08,7.667328978148181e-08,4.8095800808629044e-05,1.2792219032261399e-09,1.5392032478488213e-11,0.001484053172173601,1.4837409580669531e-08,5.244775902465084e-10,7.386579333638155e-15,2.168418792619437e-12,5.382971198295465e-07,3.1144132012964e-11,1.4211671495983415e-13,4.970723851704184e-15,1.1394543065187562e-16,7.369891305181262e-13,8.109426840124401e-16,1.7067456524940824e-11,1.5665616936007798e-13,3.76,0.0,9.546620800317945e-07,0.997820412282294,3.863781858204102e-07,5.577996818357375e-10,0.531392910201664,0.5283599017859516,5.256063439754128e-07,1.8115151422468068e-09,0.0021286023897865805,5.810622406875164e-07,1.4416653484336585e-09,2.6848020961207295e-14,1.9829293976981187e-12,3.7367864415668476e-05,2.2791241127264876e-09,1.0346097386195508e-06
3.005591057518333e-06,0.8926933595201729,1.20869558188466e-07,9.499861447780111e-08,4.6975254647657026e-08,9.787144784940509e-07,0.0,0.0,6.55885119100606e-07,1.4360351772532103e-09,1.3392999534182712e-05,8.554014315041545e-08,5.697366846989981e-08,1.3416306732584723e-19,5.13945030031648e-13,1.3612781701007034e-08,7.708960673870884e-08,4.8241707230053174e-05,1.2864606732172692e-09,1.5478062992869465e-11,0.0014886695336507045,1.4884615428544878e-08,5.253211298541871e-10,7.467587280255112e-15,2.180221192321214e-12,5.405864280945523e-07,3.126715020198094e-11,1.4342445561784805e-13,5.037028768551576e-15,1.1519272445706595e-16,7.410788253702933e-13,8.143916548377175e-16,1.7123253311039054e-11,1.5754382177566478e-13,3.76,0.0,9.333155281085565e-07,0.9978202518542737,3.8849891284718085e-07,5.623541949671182e-10,0.531397618758704,0.5283551436507711,5.255979355977835e-07,1.8114983827094746e-09,0.002128602047571374,5.828603278662401e-07,1.4417457414205032e-09,2.6946722822557103e-14,1.9891948667048114e-12,3.745356510750747e-05,2.2791013235043e-09,1.0393905651356366e-06
3.014223625551494e-06,0.8926940823125635,1.213018712357698e-07,9.516276799118753e-08,4.712378037947804e-08,9.845918835567759e-07,0.0,0.0,6.592216768661067e-07,1.4449276284001521e-09,1.346898628949462e-05,8.59088856714858e-08,5.7160297621561177e-08,1.3536349871204046e-19,5.168620006536281e-13,1.3634637565284123e-08,7.750718690642641e-08,4.838759566697625e-05,1.2937206791116257e-09,1.5564372488155533e-11,0.0014932858514123855,1.493182090291013e-08,5.26165660227466e-10,7.549289694893012e-15,2.192059599553766e-12,5.428796623290325e-07,3.1390349290948446e-11,1.447411665767327e-13,5.104045500402184e-15,1.164506411117429e-16,7.451822998334576e-13,8.178467453193914e-16,1.717911740197701e-11,1.5843432507282613e-13,3.76,0.0,9.127997227561379e-07,0.9978200914076638,3.9062625256691683e-07,5.669334928025949e-10,0.5314023266035448,0.5283503847056068,5.255896694724845e-07,1.8114816377562814e-09,0.002128601705315414,5.846583961834109e-07,1.4418261490134548e-09,2.704555884378362e-14,1.995467553016166e-12,3.753911393688475e-05,2.2790785768843087e-09,1.0441838204218045e-06
3.0228561935846553e-06,0.8926948050038017,1.2173460476218906e-07,9.532709552190927e-08,4.727247892212289e-08,9.904875166388842e-07,0.0,0.0,6.625652930736182e-07,1.453845658274494e-09,1.3545153623742857e-05,8.627822175811563e-08,5.7346922209362886e-08,1.3657157196971487e-19,5.197875982321528e-13,1.3656518891748377e-08,7.792603154911657e-08,4.85334661216012e-05,1.3010019437400119e-09,1.56509613305153e-11,0.0014979021254509144,1.4979026003725313e-08,5.270111788132174e-10,7.631690960237e-15,2.203934051792499e-12,5.451768266472105e-07,3.151372923778021e-11,1.4606689293577796e-13,5.171779957734918e-15,1.1771924678794003e-16,7.49299574143014e-13,8.213079625542246e-16,1.723504867479289e-11,1.5932768255221507e-13,3.76,0.0,8.930823330834053e-07,0.9978199309424644,3.9276021258898987e-07,5.715376511413926e-10,0.5314070337682436,0.5283456249827816,5.255815400642357e-07,1.8114649068223832e-09,0.0021286013630197357,5.864564456414372e-07,1.4419065712611287e-09,2.714454243218888e-14,2.0017474141188415e-12,3.7624511177650174e-05,2.2790558985817394e-09,1.0489895178802271e-06
3.0314887616178164e-06,0.8926955275986124,1.2216775799568692e-07,9.549159663795186e-08,4.742134992820307e-08,9.964013811182197e-07,0.0,0.0,6.659159581578555e-07,1.4627892393953206e-09,1.362150126556976e-05,8.664815210355013e-08,5.753354223770952e-08,1.3778731793058938e-19,5.227218321688205e-13,1.3678425615990899e-08,7.834614192763508e-08,4.867931859633864e-05,1.3083044899307245e-09,1.573782988594856e-11,0.001502518355758858,1.5026230730952434e-08,5.278576830839658e-10,7.714795476897037e-15,2.2158445864161775e-12,5.474779251527659e-07,3.1637290001321434e-11,1.4740167995303184e-13,5.240238086474294e-15,1.1899860792016368e-16,7.534306684860316e-13,8.247753136268846e-16,1.7291047007706424e-11,1.6022389750837733e-13,3.76,0.0,8.741322864442464e-07,0.9978197704586753,3.949008005070126e-07,5.761667458621289e-10,0.5314117402835995,0.5283408645133606,5.255735420530906e-07,1.811448189364922e-09,0.002128601020685652,5.882544762428158e-07,1.4419870082088765e-09,2.7243690424417436e-14,2.0080344815162155e-12,3.770975710336656e-05,2.279033105481036e-09,1.0538076708856946e-06
3.0401213296509775e-06,0.8926962501015331,1.2260133016981542e-07,9.565627091149571e-08,4.757039305363119e-08,1.0023334803634453e-06,0.0,0.0,6.692736625657164e-07,1.4717583442531898e-09,1.36980289441056e-05,8.701867739929121e-08,5.772015771103066e-08,1.390107674886755e-19,5.256647118641624e-13,1.3700357674247485e-08,7.876751929940812e-08,4.882515309330772e-05,1.3156283405093112e-09,1.5824978520284868e-11,0.001507134542329069,1.507343508455543e-08,5.287051705375892e-10,7.798607663441477e-15,2.2277912407074615e-12,5.497829619389334e-07,3.176103154133073e-11,1.4874557304560053e-13,5.309425868120933e-15,1.2028879120585197e-16,7.575756030012403e-13,8.282488056100196e-16,1.7347112280147963e-11,1.611229732298169e-13,3.76,0.0,8.559197194616899e-07,0.9978196099563003,3.9704802389898497e-07,5.808208529226048e-10,0.5314164461792021,0.5283361033271992,5.255656703260694e-07,1.8114314848621689e-09,0.0021286006783109677,5.900524879901274e-07,1.4420674598989357e-09,2.7342973445777054e-14,2.014328733870348e-12,3.779485198681165e-05,2.2790103251839874e-09,1.0586382927858498e-06
3.0487538976841386e-06,0.8926969725169243,1.2303532052362117e-07,9.58211179188479e-08,4.771960795756348e-08,1.0082838177341055e-06,0.0,0.0,6.726383967562696e-07,1.4807529453109385e-09,1.3774736388967693e-05,8.738979833511512e-08,5.790676863377958e-08,1.4024195160025827e-19,5.286162467175512e-13,1.3722315003390805e-08,7.919016491836844e-08,4.897096961466482e-05,1.3229735182983242e-09,1.5912407599182442e-11,0.001511750685154675,1.5120639064499995e-08,5.295536386970149e-10,7.883131956430694e-15,2.2397740518539413e-12,5.520919410885996e-07,3.1884953818462265e-11,1.500986177899493e-13,5.3793493198822454e-15,1.2158986360586372e-16,7.617343977787335e-13,8.317284455644228e-16,1.7403244372729214e-11,1.6202491299905977e-13,3.76,0.0,8.384159309734006e-07,0.9978194494353396,3.9920189032743843e-07,5.855000483596006e-10,0.5314211514834817,0.528331341452989,5.255579199693051e-07,1.811414792812689e-09,0.002128600335896061,5.918504808860328e-07,1.4421479263705433e-09,2.744239672311821e-14,2.020630112313502e-12,3.787979610030757e-05,2.2789876533197685e-09,1.0634813969014173e-06
3.0573864657172998e-06,0.8926976948489751,1.23469728301552e-07,9.598613724037463e-08,4.786899430233556e-08,1.014252396580697e-06,0.0,0.0,6.760101512007421e-07,1.489773015004478e-09,1.3851623330259555e-05,8.776151559908947e-08,5.809337501043194e-08,1.414809012838772e-19,5.315764461271048e-13,1.3744297540922581e-08,7.961408003488517e-08,4.911676816287877e-05,1.3303400461170769e-09,1.6000117488127085e-11,0.0015163667842290666,1.516784267075359e-08,5.304030851099183e-10,7.968372810450587e-15,2.251793056949209e-12,5.544048666743991e-07,3.2009056794248574e-11,1.514608599222037e-13,5.450014494803112e-15,1.2290189234484288e-16,7.659070728606035e-13,8.352142405392139e-16,1.7459443167179498e-11,1.629297200927173e-13,3.76,0.0,8.215933368093567e-07,0.9978192888957936,4.0136240733957803e-07,5.90204408288671e-10,0.5314258562237505,0.5283265789183055,5.255502862601528e-07,1.811398112734559e-09,0.0021285999934430168,5.93648454933271e-07,1.4422284076600657e-09,2.754198730403758e-14,2.026938643745411e-12,3.7964589715996905e-05,2.278964866739542e-09,1.0683369965264248e-06
3.066019033750461e-06,0.8926984171017104,1.239045527533665e-07,9.615132846043521e-08,4.801855175341918e-08,1.0202392202447338e-06,0.0,0.0,6.793889163825088e-07,1.4988185257435824e-09,1.3928689498570063e-05,8.813382987759027e-08,5.8279976845485506e-08,1.4272764762030656e-19,5.34545319489593e-13,1.3766305224965812e-08,8.003926589597273e-08,4.926254874012961e-05,1.3377279467814056e-09,1.60881085524311e-11,0.0015209828395458876,1.521504590328529e-08,5.312535073484198e-10,8.054334698146103e-15,2.2638482929933332e-12,5.567217427588086e-07,3.2133340431083534e-11,1.5283234533845118e-13,5.521427481896835e-15,1.2422494491165223e-16,7.700936482410545e-13,8.387061975719045e-16,1.7515708546371676e-11,1.6383739778154817e-13,3.76,0.0,8.054254263221448e-07,0.9978191283376646,4.0352958246742145e-07,5.949340089039421e-10,0.5314305604262484,0.52832181574965,5.255427646596519e-07,1.8113814441646176e-09,0.0021285996509497244,5.954464101346532e-07,1.4423089038011385e-09,2.7641716292662167e-14,2.0332543290037514e-12,3.8049233105242595e-05,2.2789420492244626e-09,1.0732051049284276e-06
3.074651601783622e-06,0.8926991392789952,1.2433979313404453e-07,9.631669116731661e-08,4.816827997937254e-08,1.026244292058817e-06,0.0,0.0,6.827746827970801e-07,1.5078894499126657e-09,1.4005934624972624e-05,8.850674185531873e-08,5.846657414345889e-08,1.4398222175253463e-19,5.375228762003417e-13,1.3788337994256936e-08,8.046572374528324e-08,4.940831134851321e-05,1.3451372431034258e-09,1.617638115723216e-11,0.0015255988510990267,1.5262248762065803e-08,5.321049030087838e-10,8.141022110254786e-15,2.2759397968937332e-12,5.590425733942395e-07,3.2257804692205305e-11,1.5421312009504338e-13,5.593594406276333e-15,1.2555908905989058e-16,7.742941438658489e-13,8.42204323688514e-16,1.757204039431595e-11,1.6474794933051935e-13,3.76,0.0,7.898867206040871e-07,0.9978189677609549,4.0570342322793653e-07,5.996889264779112e-10,0.5314352641161849,0.5283170519724907,5.25535350805573e-07,1.8113647866577191e-09,0.0021285993084156534,5.972443464930622e-07,1.4423894148247657e-09,2.7741577365707166e-14,2.0395770980246814e-12,3.813372653883333e-05,2.2789193782432387e-09,1.078085735348724e-06
3.083284169816783e-06,0.892699861384546,1.2477544870369987e-07,9.64822249531693e-08,4.831817865177581e-08,1.032267615346694e-06,0.0,0.0,6.861674409520896e-07,1.5169857598715474e-09,1.4083358441024257e-05,8.888025221531771e-08,5.865316690889039e-08,1.4524465488574327e-19,5.405091256531441e-13,1.3810395788138099e-08,8.089345482297442e-08,4.9554055990535633e-05,1.3525679578912983e-09,1.62649356674923e-11,0.0015302148188826056,1.5309451247067295e-08,5.329572697111155e-10,8.228439555640242e-15,2.2880676054663203e-12,5.613673626231309e-07,3.2382449541680136e-11,1.5560323040889851e-13,5.666521429285314e-15,1.2690439280825494e-16,7.785085796330143e-13,8.457086259037763e-16,1.7628438596084103e-11,1.6566137799886673e-13,3.76,0.0,7.749527323312345e-07,0.997818807165663,4.0788393712317655e-07,6.044692373612497e-10,0.5314399673177779,0.5283122876113051,5.255280405055065e-07,1.8113481397860366e-09,0.00212859896584354,5.990422640114477e-07,1.4424699407594246e-09,2.7841606650954475e-14,2.045906963865322e-12,3.8218070287478826e-05,2.2788966097456867e-09,1.0829789010025706e-06
3.0919167378499442e-06,0.8927005834219304,1.2521151872749433e-07,9.664792941394417e-08,4.8468247445187445e-08,1.0383091934233255e-06,0.0,0.0,6.895671813672831e-07,1.5261074279562161e-09,1.4160960678764813e-05,8.925436163898821e-08,5.88397551463376e-08,1.46514978287286e-19,5.435040772401654e-13,1.3832478546549372e-08,8.132246036590424e-08,4.969978266846383e-05,1.360020113948991e-09,1.63537724479968e-11,0.001534830742890971,1.5356653358263393e-08,5.338106050990606e-10,8.316591561325554e-15,2.3002317554359745e-12,5.636961144780373e-07,3.2507274944386434e-11,1.570027226578044e-13,5.7402147486296344e-15,1.2826092444093651e-16,7.827369753932145e-13,8.492191112212143e-16,1.768490303782286e-11,1.66577687040154e-13,3.76,0.0,7.605999271731292e-07,0.9978186465517918,4.100711316404124e-07,6.092750179826044e-10,0.5314446700542935,0.5283075226896167,5.255208297300863e-07,1.8113315031383984e-09,0.0021285986232317295,6.008401626928233e-07,1.4425504816312012e-09,2.7941780353962598e-14,2.0522439511800442e-12,3.8302264621161484e-05,2.2788737541421094e-09,1.0878846150793922e-06
3.1005493058831054e-06,0.8927013053945756,1.2564800247555373e-07,9.681380414933015e-08,4.8618486037102665e-08,1.0443690295949495e-06,0.0,0.0,6.929738945745065e-07,1.5352544264795732e-09,1.4238741070716133e-05,8.962907080610535e-08,5.902633886037673e-08,1.4779322328666598e-19,5.465077403518517e-13,1.3854586210021033e-08,8.175274160769618e-08,4.984549138432711e-05,1.3674937340760457e-09,1.644289186335319e-11,0.001539446623118686,1.5403855095629097e-08,5.34664906839505e-10,8.405482672526799e-15,2.3124322834372263e-12,5.660288329817182e-07,3.2632280865998337e-11,1.584116433807216e-13,5.8146805985090165e-15,1.2962875250816774e-16,7.869793509488788e-13,8.527357866332055e-16,1.7741433606772792e-11,1.6749687970233072e-13,3.76,0.0,7.46805686705842e-07,0.9978184859193437,4.122650142522641e-07,6.141063448484032e-10,0.5314493723480819,0.5283027572300331,5.255137146067852e-07,1.8113148763196303e-09,0.002128598280578607,6.026380425402648e-07,1.4426310374638755e-09,2.8042077996516915e-14,2.0585879872380742e-12,3.8386309809138774e-05,2.2788510745918817e-09,1.092802890742988e-06
3.1091818739162665e-06,0.8927020273057762,1.2608489922288514e-07,9.697984876269305e-08,4.876889410789045e-08,1.0504471271591368e-06,0.0,0.0,6.963875711176924e-07,1.544426727732177e-09,1.4316699349881132e-05,9.000438039483445e-08,5.921291805560103e-08,1.4907942127551352e-19,5.495201243768398e-13,1.3876718719665872e-08,8.21842997785601e-08,4.99911821406381e-05,1.3749888410673453e-09,1.653229427799011e-11,0.0015440624595605215,1.545105645914072e-08,5.355201726222748e-10,8.495117452686405e-15,2.3246692260154446e-12,5.68365522147226e-07,3.2757467272970504e-11,1.5983003927808731e-13,5.8899252497487225e-15,1.3100794582660096e-16,7.912357260548643e-13,8.562586591211928e-16,1.7798030191188936e-11,1.6841895922779033e-13,3.76,0.0,7.335482727676945e-07,0.9978183252683177,4.144655924168284e-07,6.189632945426622e-10,0.5314540742206144,0.5282979912542809,5.255066914138798e-07,1.8112982589499294e-09,0.0021285979378873037,6.044359035569067e-07,1.4427116082790092e-09,2.814254189657297e-14,2.06493906279487e-12,3.8470206120665094e-05,2.278828335769286e-09,1.0977337411317356e-06
