Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79)
5.647620878302779e-06,0.7152055230491375,7.331280554753811e-09,7.03551923084954e-09,3.4469808447911447e-09,6.486539425602799e-09,0.0,0.0,2.4769619443218957e-08,2.8011234462278823e-11,1.9748614164574762e-07,2.0376213474054676e-09,9.402054195210626e-11,4.2983751420036175e-25,2.866211584544709e-17,2.5748393019098453e-10,4.856419624595188e-09,3.5166244753486433e-06,4.5433229343748664e-13,3.8213310865828466e-16,8.64856945204759e-06,4.066385455711456e-12,5.5394869457596845e-12,1.7346345396729704e-16,6.576343674113904e-14,2.1392466525291824e-08,9.009910464608056e-14,2.0825137484928473e-16,9.801549938696634e-17,1.3013135205722572e-18,1.1945168431706526e-15,1.19736176218571e-18,1.4055890077224737e-12,1.5027973638075994e-15,3.76,0.0,0.5207877143258197,0.9995104327407424,1.0198647128299377e-08,1.2710470981683844e-11,0.25226505029010066,0.2522415905828986,2.3330092014348178e-06,3.1315954050247247e-11,0.0004859649754854914,3.978228151431697e-09,6.113344178649696e-13,3.279723468879697e-15,1.3788781637637641e-13,3.3348724339897913e-06,1.5948075735588525e-10,1.0418161856141461e-09,4.729569449188005e-09,5.544648362644477e-08
5.7471570457705126e-06,0.7156521998767519,7.506273360827895e-09,7.106966342627079e-09,3.4905157099555417e-09,6.847085981041495e-09,0.0,0.0,2.5644079071628703e-08,2.986224036297194e-11,2.075473238434985e-07,2.132745492657413e-09,9.720694074553177e-11,4.622157868803756e-25,3.01030240885663e-17,2.639955167638233e-10,5.1025252442738955e-09,3.632110391436884e-06,4.766847940503101e-13,4.028775454921786e-16,8.94047058357403e-06,4.207108590465098e-12,5.679885386817074e-12,1.8891743351302696e-16,6.906832406629457e-14,2.2367886137424616e-08,9.379999761257465e-14,2.291847432212546e-16,1.1057637128419344e-16,1.4388070994162575e-18,1.261233904374186e-15,1.24373938816933e-18,1.4452989693919377e-12,1.6037991245554484e-15,3.76,0.0,0.5171748402311385,0.9995103139000084,1.0716994800804892e-08,1.3830174311438112e-11,0.2558782271112949,0.25585406919094167,2.316949579157281e-06,3.1195033884405764e-11,0.00048596491669909426,4.1095584621456e-09,6.209177643121883e-13,3.366839586795653e-15,1.4154138646024128e-13,3.441072213264279e-06,1.6166393699802328e-10,1.0665476536815988e-09,4.829817424682035e-09,5.7808066617772255e-08
5.846693213238246e-06,0.7160957787196128,7.680883252022416e-09,7.177113540590127e-09,3.532937552390693e-09,7.2201912432895635e-09,0.0,0.0,2.6533107966408607e-08,3.1797471259794925e-11,2.1792536555992432e-07,2.230185036188155e-09,1.0043860665455786e-10,4.961527360712512e-25,3.157898889682508e-17,2.7050863668957327e-10,5.354944339259542e-09,3.749158177493642e-06,4.996184370808746e-13,4.2427753096737536e-16,9.236676256223633e-06,4.350025969417797e-12,5.82032063572853e-12,2.0533593011950367e-16,7.245575683623577e-14,2.3366409804115313e-08,9.756354466307202e-14,2.5171648230512495e-16,1.2441745163463043e-16,1.5870530467093325e-18,1.3302111531302381e-15,1.2909501367868057e-18,1.4849063048144582e-12,1.709016322264641e-15,3.76,0.0,0.5135870304030569,0.9995101934253025,1.1248846010643112e-08,1.5021868757827883e-11,0.259466344304158,0.25944147745989615,2.3010014876056867e-06,3.1074953795666044e-11,0.00048596485712648006,4.242690391306102e-09,6.304449631398638e-13,3.4536396975902014e-15,1.451810807970282e-13,3.5485382287722253e-06,1.638292687806649e-10,1.0913233309979327e-09,4.93008442114227e-09,6.022425551147432e-08
6.045765548173713e-06,0.7169737282791829,8.028712906166848e-09,7.313608438786568e-09,3.6145679289036903e-09,8.004643880332499e-09,0.0,0.0,2.835465966424368e-08,3.592873048192627e-11,2.3964683012611563e-07,2.4320008635228505e-09,1.0703634711043687e-10,5.687919856673637e-25,3.46342392158831e-17,2.8353239495740813e-10,5.8785932777539075e-09,3.98788813936413e-06,5.47225843224048e-13,4.690583517295304e-16,9.841899608275673e-06,4.642401622005719e-12,6.101148234708481e-12,2.4119706675048397e-16,7.947609271315471e-14,2.543265136215164e-08,1.0527333654040439e-13,3.019049675365993e-16,1.563296781390434e-16,1.9179328036204625e-18,1.4750507643439525e-15,1.387892566810298e-18,1.5637675295283895e-12,1.9323207703982238e-15,3.76,0.0,0.5064859091949195,0.9995099476253277,1.2352847227771056e-08,1.7632615880345306e-11,0.26656809406951343,0.26654177748846586,2.2694367996381275e-06,3.0837290492407216e-11,0.0004859647356472571,4.5143018474296986e-09,6.493303664090355e-13,3.626207620090733e-15,1.5241527683912668e-13,3.7672032449517593e-06,1.681070510084436e-10,1.1409820628958696e-09,5.130594515509275e-09,6.522043008139052e-08
6.224930649615633e-06,0.7177535018530933,8.33987205439028e-09,7.432257398488958e-09,3.6845373031660778e-09,8.75498347318089e-09,0.0,0.0,3.004334127105701e-08,3.9955246736693586e-11,2.603165488515602e-07,2.6215253827893525e-09,1.1312565689610248e-10,6.397090596179238e-25,3.7499087194758134e-17,2.952418873544654e-10,6.371132076980498e-09,4.20795917846484e-06,5.920502819853234e-13,5.116365359930517e-16,1.0401068150737714e-05,4.9129390636940874e-12,6.353647984321881e-12,2.770978702732082e-16,8.607112582624069e-14,2.7370944777894696e-08,1.1241324415127237e-13,3.533836280569784e-16,1.9044192754159596e-16,2.257908261788542e-18,1.6133969257110943e-15,1.4780451487111925e-18,1.634283567687436e-12,2.1482574013427458e-15,3.76,0.0,0.5001788880006339,0.9995097209451375,1.33920743241856e-08,2.0257296688715502e-11,0.27287569661003114,0.2728480392431961,2.2414022909388504e-06,3.062620832711348e-11,0.0004859646236885468,4.764771032647842e-09,6.661340263207709e-13,3.780237261507471e-15,1.588700987436587e-13,3.968168743163263e-06,1.7189766167279201e-10,1.1857646048499749e-09,5.3109213026592195e-09,6.990358221477171e-08
6.403175929668802e-06,0.7185196388891241,8.647360483489027e-09,7.546497137062635e-09,3.751031574422949e-09,9.54390675273411e-09,0.0,0.0,3.176935340044083e-08,4.4263064479991185e-11,2.8195470528225475e-07,2.8174697622098915e-09,1.193239470035536e-10,7.15575568051098e-25,4.0454398876248455e-17,3.0687090756231524e-10,6.88090257483872e-09,4.431727514441962e-06,6.384957325097456e-13,5.561516297967452e-16,1.0970816449757282e-05,5.188980884109622e-12,6.604422259650758e-12,3.164173104223656e-16,9.288889623440559e-14,2.9372973704537795e-08,1.1969774493698517e-13,4.110582982159925e-16,2.301162729456925e-16,2.6391357776402177e-18,1.758697794018824e-15,1.5704995709900789e-18,1.7039514719726889e-12,2.377451382286728e-15,3.76,0.0,0.49398218451862913,0.9995094903706503,1.446848626610435e-08,2.3144640131795957e-11,0.27907299303154226,0.2790439682575552,2.2138584896411855e-06,3.041882176844781e-11,0.0004859645098706652,5.019529006299577e-09,6.826694274186131e-13,3.932170714896059e-15,1.6523491484860025e-13,4.171924365519656e-06,1.7561393507453883e-10,1.2303678531847003e-09,5.4900896610884036e-09,7.473783890428018e-08
6.5814212097219715e-06,0.7192762867404265,8.952527566833076e-09,7.657082480108879e-09,3.814574913407641e-09,1.0375837774141225e-08,0.0,0.0,3.3540923159465885e-08,4.8883588175160393e-11,3.046845873518736e-07,3.020758999026075e-09,1.2566019613863776e-10,7.968250055439849e-25,4.351156301630928e-17,3.184715660503721e-10,7.410157789986163e-09,4.660240193247527e-06,6.867782130100423e-13,6.028298832467269e-16,1.1553837546976207e-05,5.471838038310839e-12,6.8545939726102155e-12,3.595159263739854e-16,9.995904695174985e-14,3.144818513596705e-08,1.2715565160347636e-13,4.757040708399269e-16,2.762058572815372e-16,3.0665329120910982e-18,1.9117893794072444e-15,1.6657450380326867e-18,1.773088825197813e-12,2.6212427938489717e-15,3.76,0.0,0.4878622535602645,0.9995092548220595,1.558692543692402e-08,2.6324594654181363e-11,0.2851935313460223,0.2851631060885805,2.186656273544633e-06,3.0214007968089846e-11,0.00048596439365916074,5.279768305072294e-09,6.990232006254082e-13,4.082718861538793e-15,1.7153948172441663e-13,4.379402047848988e-06,1.7927637457012009e-10,1.274991428578415e-09,5.6689289431402365e-09,7.974641405350265e-08
6.759666489775141e-06,0.720023562981591,9.255150788345953e-09,7.764145877516545e-09,3.875315995969671e-09,1.1251411050643334e-08,0.0,0.0,3.535772291356175e-08,5.382822123833395e-11,3.2852562451132547e-07,3.231359505625709e-09,1.3213251347418362e-10,8.83524845223336e-25,4.666745367791848e-17,3.3003650824431323e-10,7.958662757818266e-09,4.893428126946341e-06,7.36887107354613e-13,6.516822183243554e-16,1.2149989732795312e-05,5.761450421746034e-12,7.104003815901033e-12,4.065774864868339e-16,1.0727791482026473e-13,3.359622148958508e-08,1.347797425575423e-13,5.478655399711927e-16,3.2945220902544105e-16,3.543441751658256e-18,2.0728155666798198e-15,1.7638151961025016e-18,1.8416558344785742e-12,2.879881434432988e-15,3.76,0.0,0.48181814393767874,0.9995090143691447,1.6746987078422873e-08,2.981456139031993e-11,0.29123826261841756,0.2912064041401945,2.1597914011239587e-06,3.0011734941939755e-11,0.0004859642750875544,5.545411236735834e-09,7.151954566753519e-13,4.231810219623119e-15,1.7778076893537988e-13,4.590513566129643e-06,1.8288586235630743e-10,1.319607244373942e-09,5.8473486841646004e-09,8.492882199781891e-08
6.93791176982831e-06,0.720761583730785,9.555036135808586e-09,7.867816537736927e-09,3.933395964723067e-09,1.2171217381305368e-08,0.0,0.0,3.721942182765563e-08,5.910826867069444e-11,3.5349678274617775e-07,3.4492334928265648e-09,1.3873903607975406e-10,9.757278446901962e-25,4.991888991466388e-17,3.415590298022669e-10,8.526173532207887e-09,5.13122335574404e-06,7.888106886890673e-13,7.027174890605663e-16,1.2759132421682382e-05,6.057757966378406e-12,7.352506543308511e-12,4.577840916552581e-16,1.148417437990106e-13,3.5816685830362285e-08,1.4256296765625978e-13,6.281047257020324e-16,3.906475798740898e-16,4.073261880963277e-18,2.2419191046707706e-15,1.8647436700645997e-18,1.9096179728924078e-12,3.1535995635277346e-15,3.76,0.0,0.4758489162488909,0.9995087690806639,1.7948247714234624e-08,3.363216345640792e-11,0.2972081261284241,0.2971748020282842,2.1332596836832802e-06,2.9811971105367176e-11,0.0004859641541888776,5.816381272841525e-09,7.311865076710583e-13,4.379383997151378e-15,1.8395619792827941e-13,4.805172259043967e-06,1.8644326342684648e-10,1.3641891428015248e-09,6.025264549514147e-09,9.028447820036993e-08
7.116157049881479e-06,0.7214904636671539,9.852016165014159e-09,7.96822042713022e-09,3.988948926661941e-09,1.3135805545408219e-08,0.0,0.0,3.9125686700426197e-08,6.473492592583559e-11,3.7961657309066933e-07,3.6743393900775543e-09,1.4547792852053382e-10,1.0734728718878149e-24,5.326266068999326e-17,3.5303304022107593e-10,9.112438617687315e-09,5.3735590261555296e-06,8.425362824038907e-13,7.559426687277752e-16,1.3381126156661048e-05,6.360700659131966e-12,7.599970179514493e-12,5.133159526712213e-16,1.226467041278507e-13,3.8109145891199367e-08,1.504984719235802e-13,7.170004510710878e-16,4.606356853139301e-16,4.6594433199006475e-18,2.4192417937166782e-15,1.968563880914061e-18,1.976945526754677e-12,3.442612539760125e-15,3.76,0.0,0.4699536427316862,0.999508519024363,1.9190268037449975e-08,3.779522270097236e-11,0.30310404951661724,0.3030692277268187,2.1070569846925883e-06,2.9614685268160095e-11,0.00048596403099567773,6.092603033783012e-09,7.469968533827328e-13,4.525389237317487e-15,1.9006360598067447e-13,5.023293000318872e-06,1.8994942598093573e-10,1.408712817802349e-09,6.202598103114524e-09,9.581270774886378e-08
7.294402329934649e-06,0.7222103160487884,1.0145948083983554e-08,8.065480288091973e-09,4.0421024742964886e-09,1.4145684057753975e-08,0.0,0.0,4.107618273310864e-08,7.071926858336294e-11,4.0690305997012717e-07,3.906632239835958e-09,1.5234738246285643e-10,1.176785786853477e-24,5.669554706135407e-17,3.6445302767394984e-10,9.717200277723584e-09,5.620369369703664e-06,8.98050416162018e-13,8.113630352416551e-16,1.4015832613147316e-05,6.6702185596231355e-12,7.846275260480192e-12,5.733512017664196e-16,1.306889096818599e-13,4.047313784357012e-08,1.5857961429744845e-13,8.151477181147142e-16,5.403123402234097e-16,5.305479719140793e-18,2.6049246561872097e-15,2.0753089216244195e-18,2.0436132356373196e-12,3.747119471115024e-15,3.76,0.0,0.4641314071193727,0.9995082642669888,2.0472595548966137e-08,4.232173738761905e-11,0.3089269489287115,0.3088905977120967,2.0811792191330445e-06,2.941984662954161e-11,0.00048596390554002416,6.3740022738655615e-09,7.626271678456559e-13,4.669784121659612e-15,1.9610121683347353e-13,5.244792171572557e-06,1.9340518182004143e-10,1.4531557506154258e-09,6.379276601756811e-09,1.0151275339488075e-07
7.472647609987818e-06,0.7229212527303419,1.0436711891488239e-08,8.159715687722297e-09,4.0929781632578775e-09,1.520132295841781e-08,0.0,0.0,4.3070574235083e-08,7.707224278547875e-11,4.3537386937867494e-07,4.146064067412004e-09,1.5934561628473806e-10,1.285680385686993e-24,6.0214342229794e-17,3.7581402657594363e-10,1.0340195745796896e-08,5.8715896821214386e-06,9.553389593501252e-13,8.689823484339984e-16,1.4663114602176566e-05,6.986251817204955e-12,8.091314131482152e-12,6.380657361733828e-16,1.3896443390298035e-13,4.290816983765848e-08,1.6679998229624642e-13,9.231570879014412e-16,6.306259962941485e-16,6.014901858034293e-18,2.7991080946300453e-15,2.1850114677769372e-18,2.1095999846090355e-12,4.067303881017798e-15,3.76,0.0,0.45838130449834696,0.9995080048743,2.179476700036032e-08,4.7229860805773835e-11,0.31467772915800946,0.3146398171051862,2.055622352850765e-06,2.922742477325251e-11,0.0004859637778535127,6.6605058663982225e-09,7.780782873210231e-13,4.8125353041275395e-15,2.020676125288974e-13,5.469587635665591e-06,1.9681134673344296e-10,1.4974971490117429e-09,6.5552328084774444e-09,1.0738378319705481e-07
7.650892890040987e-06,0.7236233841804459,1.072420860003074e-08,8.25104308711186e-09,4.141691916905576e-09,1.6303155614568775e-08,0.0,0.0,4.510852526947652e-08,8.380465639110413e-11,4.6504619690019614e-07,4.392584228506475e-09,1.6647087469081663e-10,1.4001594024550786e-24,6.381586980968812e-17,3.8711158815646006e-10,1.0981158355455565e-08,6.1271563030309006e-06,1.0143872541860544e-12,9.288030184523347e-16,1.5322836073064706e-05,7.308740687331992e-12,8.334990310148863e-12,7.076330908421587e-16,1.4746932455089034e-13,4.541372533516861e-08,1.751534033853444e-13,1.0416540696059903e-15,7.325781889309224e-16,6.791271501095854e-18,3.0019320405968986e-15,2.297703699844747e-18,2.174888510126086e-12,4.403334389011705e-15,3.76,0.0,0.4527024411674056,0.9995077409110781,2.3156310673936846e-08,5.2537880806183703e-11,0.32035728378610284,0.3203177798126197,2.030382401918788e-06,2.9037389662697172e-11,0.0004859636479672718,6.9520417888334845e-09,7.933511991733323e-13,4.9536172800721255e-15,2.07961706785561e-13,5.697598710544389e-06,2.0016872087289514e-10,1.5417178844060553e-09,6.730404815678338e-09,1.1342489781527929e-07
