Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71)
1.6146886319495723e-19,0.7410957759466162,1.1943075744297737e-31,3.5533159317845807e-25,1.1245589065823348e-44,8.28105126202747e-49,0.0,0.0,2.8647259015056573e-34,5.342437540535712e-63,7.016695485107448e-47,2.659652689010847e-61,5.2983556080082546e-49,1.6904287651472363e-86,2.4995504191909784e-73,8.541804888923708e-49,7.930884293771369e-71,1.3720045405824517e-32,2.75819787582275e-64,4.632912424124797e-54,1.6508125722914679e-31,3.474731086013018e-49,1.5586526562227121e-53,4.8641413318350044e-111,4.141185075497079e-68,6.378423931315512e-51,3.67609294638494e-61,1.4867090879251683e-95,3.251920392738604e-154,2.0641730581277587e-125,1.0297175421069088e-66,1.9737319002991124e-84,4.705429978570757e-73,7.408388644862883e-102,3.76,0.0,0.8732378132395494,0.999999999999675,3.758159307057027e-62,3.5109667365858434e-99,3.6327441608336974e-14,3.4771311828402233e-14,1.5561297799347458e-15,9.127886929181474e-31,3.249193944051165e-13,5.190477049319824e-35,3.0053197819586516e-36,8.748273957664793e-66,8.147209887037733e-72,1.3720045405824446e-32,1.307913589669926e-32,7.596704636520113e-32,4.3750183667938064e-32
3.230780121094583e-19,0.7410957759466209,4.780342752747102e-31,7.109719020124452e-25,9.003309051935814e-44,6.629876251579196e-48,0.0,0.0,1.1466369297278291e-33,8.557847729987339e-62,5.617622841529404e-46,4.2589117973256945e-60,4.241906115106018e-48,5.417853774886287e-85,4.002903977682946e-72,6.838641024002696e-48,2.541016222288291e-69,5.49159371165566e-32,4.4182523885726967e-63,3.709146948397553e-53,6.607552430910345e-31,2.781897654070358e-48,1.247976433863816e-52,6.2399709863859e-109,6.63360704670754e-67,5.107912275239248e-50,5.888593630775725e-60,9.531689367858718e-94,6.683918492489709e-151,5.296412693618906e-123,1.6494654110595472e-65,6.325443846966946e-83,1.507590014022584e-71,9.498653154643662e-100,3.76,0.0,0.8732378132395131,0.9999999999993499,6.0179545918553644e-61,4.5015998614374713e-97,7.268644485143156e-14,6.957283331112277e-14,3.1136115403087935e-15,3.653533567322512e-30,6.50121081758637e-13,2.0775434973597094e-34,1.2029111220450903e-35,1.4013527725206462e-64,2.6103258712342106e-70,5.491593711655606e-32,5.235062878446378e-32,3.0406616127585516e-31,1.7511475092867295e-31
6.462963099384604e-19,0.7410957759466305,1.912759769307853e-30,1.4222525200098466e-24,7.205383530131951e-43,5.305915969242447e-47,0.0,0.0,4.588041282753832e-33,1.3700519716987665e-60,4.495805587005451e-45,6.817034258740805e-59,3.394814096612035e-47,1.7350714088975343e-83,6.407547552498628e-71,5.472992555672749e-47,8.136268796536171e-68,2.19735279971096e-31,7.07331514233581e-62,2.9684448442049907e-52,2.6438816459415764e-30,2.226363598750735e-47,9.988030788327424e-52,7.996051395395306e-107,1.0619944067296823e-65,4.088400084449782e-49,9.427229331111469e-59,6.1056469143947764e-92,1.371328415913024e-147,1.3574364062784412e-120,2.6406795397923467e-64,2.0256864040018131e-81,4.827254085389588e-70,1.2168472656640104e-97,3.76,0.0,0.8732378132394404,0.9999999999986995,9.632649160816114e-60,5.7668928302699665e-95,1.4540445133761467e-13,1.391758762773252e-13,6.228575060289491e-15,1.4618893214452178e-29,1.3005244559160246e-12,8.312880117356482e-34,4.8132113550607444e-35,2.2434684491413402e-63,8.358196506169176e-69,2.1973527997109166e-31,2.0947070487612853e-31,1.2166607094486047e-30,7.006871011427225e-31
1.2927329055964646e-18,0.7410957759466495,7.652284589437188e-30,2.8448137573223585e-24,5.76540157231136e-42,4.245538950730181e-46,0.0,0.0,1.8355152684693e-32,2.192720431450807e-59,3.5973275452926427e-44,1.0909475682136923e-57,2.7163670725049776e-46,5.554402529237987e-82,1.0254400888164275e-69,4.379226120258098e-46,2.6044090113426806e-66,8.790842043800806e-31,1.1320594354057513e-60,2.3752068859362952e-51,1.0577248176236669e-29,1.7814291414820197e-46,7.992113018273883e-51,1.0240638197354817e-104,1.699685038579532e-64,3.2715483769753965e-48,1.5087951980602866e-57,3.9093319189766604e-90,2.811004558955993e-144,3.4770286772171756e-118,4.2263155770146255e-63,6.484814423607819e-80,1.5451960469809168e-68,1.5582174220875986e-95,3.76,0.0,0.873237813239295,0.9999999999973986,1.5415377201002576e-58,7.38472524275875e-93,2.9084046430995677e-13,2.783819622127754e-13,1.2458502097181288e-14,5.848509208786575e-29,2.6013312020321865e-12,3.3256933509442305e-33,1.9255979615932956e-34,3.5905930947294604e-62,2.675447778379433e-67,8.790842043800463e-31,8.380192177278872e-31,4.867435078301044e-30,2.803204663826601e-30
2.5856060969124733e-18,0.741095775946688,3.061162954662277e-29,5.689936237218219e-24,4.61275920208541e-41,3.3967536905981074e-45,0.0,0.0,7.342658627533e-32,3.508862595450607e-58,2.8781353024575904e-43,1.7456938032730064e-56,2.1733000032442504e-45,1.7777567240394773e-80,1.6408911882765142e-68,3.50371376730943e-45,8.335393864447215e-65,3.516623015738516e-30,1.8115583473554165e-59,1.9003459322673013e-50,4.231243613589837e-29,1.42527863264465e-45,6.394366292617355e-50,1.311166126070544e-102,2.719891325038527e-63,2.6175700681169047e-47,2.414423177467638e-56,2.5025223050688946e-88,5.759523393964551e-141,8.903743420314481e-116,6.7630877519446665e-62,2.0756529424564317e-78,4.945387070708631e-67,1.9949362780749193e-93,3.76,0.0,0.8732378132390041,0.999999999994797,2.466711566166963e-57,9.454434374322814e-91,5.81712490254544e-13,5.567941340958572e-13,2.4918356158686485e-14,2.3395940803827365e-28,5.2029446854700555e-12,1.330385609941991e-32,7.703018742561768e-34,5.745784025373245e-61,8.562752956518122e-66,3.5166230157382404e-30,3.352349681336219e-30,1.9471324898843073e-29,1.1213731234101146e-29
5.17135247954449e-18,0.7410957759467643,1.224515006380993e-28,1.1380181218093289e-23,3.690382545793136e-40,2.7175320120610574e-44,0.0,0.0,2.937182966293189e-31,5.614588110976588e-57,2.3026175651061622e-42,2.7932522574841656e-55,1.7387225532796403e-44,5.689378233684385e-79,2.625578867529687e-67,2.803104177793778e-44,2.6675316585131026e-63,1.406706455054399e-29,2.8987039655358312e-58,1.5203489191012744e-49,1.692566316570722e-28,1.1402770368082832e-44,5.115764115202169e-49,1.6785259263637594e-100,4.352142383258142e-62,2.0941886129056132e-46,3.863357792328052e-55,1.6017902762558123e-86,1.1798152802485167e-137,2.2796847888265656e-113,1.0821726785145783e-60,6.643506805980752e-77,1.5826454277885e-65,2.553785974571723e-91,3.76,0.0,0.8732378132384223,0.9999999999895938,3.9469398070566266e-56,1.2102947238916242e-88,1.163456542143331e-12,1.1136184779107464e-12,4.9838064232583294e-14,9.358757118491236e-28,1.0406171617167973e-11,5.321758995037817e-32,3.081332890653621e-33,9.193922798106093e-60,2.7402921688581064e-64,1.4067064550541788e-29,1.340994432202089e-29,7.788846881375089e-29,4.485675012134677e-29
1.0342845244808525e-17,0.7410957759469174,4.898159668046563e-28,2.276067126417682e-23,2.952376107473687e-39,2.174077299959036e-43,0.0,0.0,1.1748970902335975e-30,8.983667359914978e-56,1.84213779980883e-41,4.469317379176465e-54,1.3910110768667367e-43,1.8206901112699522e-77,4.20105918758976e-66,2.242536622661838e-43,8.536430307714127e-62,5.626940376392327e-29,4.638094813825695e-57,1.2163080054076409e-48,6.770403011513344e-28,9.122432823304987e-44,4.092720871096045e-48,2.1486625186348225e-98,6.96368091941552e-61,1.675403921238099e-45,6.1815970338185e-54,1.0252021243861198e-84,2.416532976174044e-134,5.836411061836179e-111,1.7315392162554208e-59,2.1265314301400779e-75,5.064659874371831e-64,3.269017278524371e-89,3.76,0.0,0.8732378132372588,0.9999999999791873,6.31526575313175e-55,1.5492586095666427e-86,2.326944645919355e-12,2.227267165735427e-12,9.967748018392263e-14,3.743578999876649e-27,2.0812625339852545e-11,2.1287469165850507e-31,1.2325582433752597e-32,1.4710811964891147e-58,8.769272866535995e-63,5.626940376390564e-29,5.364086815205233e-29,3.1156021327866283e-28,1.7943065061917925e-28
2.0685830775336593e-17,0.7410957759472236,1.9592837892736423e-27,4.5521651693677456e-23,2.361928907197588e-38,1.7392826205255634e-42,0.0,0.0,4.69963617067089e-30,1.4374128894722e-54,1.4737277668505551e-40,7.150998904611522e-53,1.1128220963071898e-42,5.826350864205669e-76,6.721835093652573e-65,1.7940506320655587e-42,2.7317103335648066e-60,2.2507991072906627e-28,7.421086397672785e-56,9.730579525960889e-48,2.7081887543036238e-27,7.298032871794109e-43,3.2742223585635097e-47,2.7503836474994184e-96,1.1142092233087761e-59,1.3403443591685156e-44,9.89073487928509e-53,6.56147421812544e-83,4.94933733149299e-131,1.4941747796497374e-108,2.7705131475243408e-58,6.808323157049846e-74,1.6207222764570903e-62,4.184451695766822e-87,3.76,0.0,0.8732378132349318,0.9999999999583744,1.0104558107306283e-53,1.983103090003808e-84,4.653920853465203e-12,4.4545645421643965e-12,1.9935631130078406e-13,1.497446823968051e-26,4.1625532222376633e-11,8.515074358210615e-31,4.930283211707959e-32,2.3537730039017916e-57,2.8062213574277084e-61,2.250799107289253e-28,2.145656515650842e-28,1.2462535250672818e-27,7.1772990040064965e-28
4.137180183639273e-17,0.7410957759478359,7.837174948366765e-27,9.104361390201321e-23,1.8895543223343098e-37,1.391434575352751e-41,0.0,0.0,1.879864031760867e-29,2.2998815153197827e-53,1.1789892686171986e-39,1.1441671391088604e-51,8.902630045109475e-42,1.864455066666433e-74,1.0755157240664268e-63,1.435249073653069e-41,8.741557244921088e-59,9.00324270519377e-28,1.1873845730196838e-54,7.78450981519924e-47,1.0832810120112114e-26,5.838460943659754e-42,2.6193990788518096e-46,3.5205523886768953e-94,1.7827510657551935e-58,1.0722839914530877e-43,1.5825319408059593e-51,4.199401688930166e-81,1.0136527258538908e-127,3.825156189470382e-106,4.432861536798604e-57,2.180777598046467e-72,5.1863610403679054e-61,5.356168271249742e-85,3.76,0.0,0.8732378132302778,0.9999999999167486,1.6167409696948923e-52,2.5384052695187682e-82,9.3078732685321e-12,8.90915929814077e-12,3.987139703912382e-13,5.989817691128756e-26,8.325134373604471e-11,3.406047124903076e-30,1.9721233831955112e-31,3.7660720769611913e-56,8.979994621481808e-60,9.00324270518249e-28,8.582669418695896e-28,4.985039410626982e-27,2.8709341782463393e-27
8.2743743958505e-17,0.7410957759490602,3.1348778952066887e-26,1.8208754371602328e-22,1.5116479173352036e-36,1.1131513185122862e-40,0.0,0.0,7.51947526609231e-29,3.6798271470480106e-52,9.431943078196403e-39,1.83067335882957e-50,7.122125882089387e-41,6.912091280452005e-73,1.7208779300275557e-62,1.1482027411249195e-40,2.797311762750445e-57,3.601306627191964e-27,1.8998237959226008e-53,6.227626331660885e-46,4.333135071253559e-26,4.670782614636868e-41,2.0955324234335487e-45,6.49282962541938e-92,2.8524150572060157e-57,8.578306191144631e-43,2.532062561937751e-50,3.551244266981985e-79,1.184676268176706e-123,1.483030962468965e-103,7.09261144330139e-56,6.9918971251451e-71,1.6596454182439781e-59,6.855948146539906e-83,3.76,0.0,0.8732378132209699,0.999999999833497,2.5867982184032746e-51,3.2491800419662497e-80,1.8615778098566695e-11,1.781834882256726e-11,7.974292759990717e-13,2.3959331131853168e-25,1.6650295775786147e-10,1.3624223608268192e-29,7.888514136461707e-31,6.025746097346395e-55,2.8736119647073132e-58,3.6013066271829415e-27,3.4330762601249154e-27,1.994020799405447e-26,1.1483765712184916e-26
1.6548762820272956e-16,0.7410957759515093,1.2539527073266912e-25,3.641754249334046e-22,1.2093200869739245e-35,8.90522944737848e-40,0.0,0.0,3.0077939438679575e-28,5.887736839159233e-51,7.545567168068503e-38,2.9290823942954996e-49,5.697710301798929e-40,2.221332952839013e-71,2.753558539752746e-61,9.1856367376851e-40,8.951418991746396e-56,1.4405247918119444e-26,3.0397245543188818e-52,4.982108459809804e-45,1.7332562352293514e-25,3.736631637479205e-40,1.67643869653774e-44,8.330717922539225e-90,4.563875690575985e-56,6.862659045417473e-42,4.05130916218584e-49,2.2814400971178364e-77,2.4272056485339546e-120,3.801613177624846e-101,1.1348206540606095e-54,2.2459691847997924e-69,5.310878111267138e-58,8.775642493366499e-81,3.76,0.0,0.8732378132023542,0.9999999996669937,4.138897935254279e-50,4.158964014898826e-78,3.72315877582391e-11,3.56367279213152e-11,1.5948598369224428e-12,9.583744187574043e-25,3.33006149779425e-10,5.449696741319008e-29,3.155410100613292e-30,9.641226555757121e-54,9.195579418579711e-57,1.4405247918047255e-26,1.3732320597081506e-26,7.976093052516793e-26,4.5935119613980624e-26
3.3097539669117864e-16,0.7410957759564076,5.015813656358562e-25,7.283512737256649e-22,9.674567217271124e-35,7.124197943758255e-39,0.0,0.0,1.2031183527274225e-27,9.420389749346503e-50,6.036460630724962e-37,4.686536714705931e-48,4.558173452232474e-39,7.109220062978511e-70,4.4061742651825704e-60,7.348516721391253e-39,2.8644573916185525e-54,5.762105304401117e-26,4.8635634658467596e-51,3.9856897299118095e-44,6.933029371045572e-25,2.989307531296024e-39,1.3411680501846839e-43,1.0663540472406287e-87,7.302213346899913e-55,5.490133495208877e-41,6.48210158340869e-48,1.4602117504453048e-75,4.9709296461757126e-117,9.732207734406257e-99,1.8157158960893793e-53,7.24186761208468e-68,1.6994829285717236e-56,1.123284012185211e-78,3.76,0.0,0.8732378131651225,0.9999999993339875,6.622287412360841e-49,5.323482444434458e-76,7.446320707599674e-11,7.127348631839088e-11,3.189720757600027e-12,3.833499751078831e-24,6.66012389734335e-10,2.1798803771488912e-28,1.262165189681929e-29,1.5426014908719609e-52,2.9425883054622573e-55,5.762105304343368e-26,5.492930207166873e-26,3.1904390196463954e-25,1.8374058212068514e-25
4.964631651796278e-16,0.7410957759613055,1.0658605481302035e-24,1.0925272088754836e-21,2.7663219964060245e-34,2.0370774180213868e-38,0.0,0.0,2.5566269926122247e-27,3.591524558625158e-49,1.726051205279407e-36,1.7250495436796803e-47,1.3033532835734714e-38,3.142924938098388e-69,1.6370790760851454e-59,2.101371597040011e-38,1.3400573312897713e-53,1.224447988638388e-25,1.8542338950840724e-50,1.1396583751811677e-43,1.4732690201064734e-24,8.547552857216174e-39,3.884352532883343e-43,5.96487920111926e-87,2.7839702313714637e-54,1.6298839794408225e-40,2.471301805197598e-47,7.246488479070193e-75,2.6700270902001877e-116,5.988187623961226e-98,6.922420084296079e-53,3.473653063406982e-67,7.954049564858374e-56,7.436585707315976e-78,3.76,0.0,0.8732378131278908,0.9999999990009814,2.4375814255478456e-48,3.523272562939566e-75,1.1169482639216723e-10,1.0691024491504636e-10,4.784581477108478e-12,8.146187963790117e-24,9.9901848560109e-10,4.632247163243384e-28,2.6821021160261135e-29,5.881175766957192e-52,1.3766088419973484e-54,1.2244479886218753e-25,1.1672476644606683e-25,6.779683847015571e-25,3.904487906978777e-25
8.274387021565259e-16,0.7410957759711017,2.9467910734770073e-24,1.8208794246057813e-21,1.2712989302059807e-33,9.361676928408105e-38,0.0,0.0,7.068323052413762e-27,2.953441362836545e-48,7.932297406931903e-36,1.3273358586840173e-46,5.989733011441198e-38,5.068537138152889e-68,1.2709779388154093e-58,9.657500945556393e-38,1.9572294161363603e-52,3.385241831486892e-25,1.5248030277153374e-49,5.237447575769292e-43,4.07315627546038e-24,3.9281385510174417e-38,1.797024194114148e-42,3.9572116264415024e-85,2.289362517273446e-53,7.634724145493084e-40,2.032241115383625e-46,2.292096949378572e-73,4.64198905864169e-113,7.842935055391531e-96,5.692562757981881e-52,5.298080669907427e-66,1.1545559682469879e-54,3.860113299551765e-76,3.76,0.0,0.8732378130534276,0.9999999983349698,1.8756203976104758e-47,1.8397417982351707e-73,1.8615806501815956e-10,1.7818376290667625e-10,7.974302111449052e-12,2.252181401434204e-23,1.6650301009824786e-09,1.280680661486658e-27,7.415228777218188e-29,4.83632586335217e-51,2.0106099495574093e-53,3.3852418314110056e-25,3.22709546785345e-25,1.874383274726907e-24,1.079476123073753e-24
