Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338)
5.036090891709759e-19,0.6018794291648247,3.6112341548781995e-33,4.688332780698118e-27,1.8617587788703488e-38,8.232606107538692e-51,0.0,0.0,6.743923952254354e-36,9.9338284486057e-66,3.264949495155162e-48,1.462108530846007e-54,1.6468808521574718e-50,1.8519598207762177e-64,5.544942536787304e-43,4.858098231176289e-51,4.520425670090026e-65,9.24987614496793e-34,8.500741997258064e-59,1.2318098191796434e-57,1.68319286834879e-33,1.284261887716924e-51,5.444870799608187e-56,1.1471769382444046e-103,1.0255265263972995e-71,4.804985594919702e-53,4.227515173327657e-64,1.078038874056509e-95,1.4432814693547066e-141,6.632826743662086e-122,4.102521123704306e-70,2.9295553578150276e-84,1.1028713813534253e-67,1.0674435201213236e-97,3.76,0.0,0.5046160369227579,0.9999999999996435,8.519319104301584e-64,1.6686433908997659e-94,3.0562033522495008e-15,2.9430866408383636e-15,1.131167114111365e-16,2.2396653448140264e-32,3.565990477206255e-13,6.968352260399024e-37,1.3780924899251342e-38,5.282159816094249e-64,5.214628339775508e-66,9.249876144967897e-34,8.987654978850095e-34,2.3647978722726973e-33,1.2531802065441262e-33,1.7755355588773587e-38,5.544942562706133e-43,2.9328155608449726e-49,5.477788918934165e-52,2.7901604397453903e-68,8.328118857478781e-67,1.3215776034849047e-61,1.044165099276664e-59,8.62245830369916e-40
1.0076557188190768e-18,0.6018794291648252,1.4454347765196337e-32,9.380738831956955e-27,7.451887255131695e-38,6.591090672515002e-50,0.0,0.0,2.699327098323596e-35,1.591262239325535e-64,2.61394482957413e-47,1.1705758535212592e-53,1.318506057285563e-49,1.4826939272263688e-63,2.2194220680999952e-42,3.8894331636601487e-50,7.24109842723463e-64,3.702361049791833e-33,6.805768930857496e-58,9.861968484477689e-57,6.737158000643952e-33,1.0281903963809222e-50,4.3593798919528616e-55,7.353858913078642e-102,1.64275199109024e-70,3.847885491294956e-52,6.771895946297674e-63,6.913620771138479e-94,7.413960210506558e-139,8.508932049106484e-120,6.571672737507115e-69,9.385850836224094e-83,1.7666478289725043e-66,6.842736298081975e-96,3.76,0.0,0.5046160369227548,0.9999999999992866,1.364240131341359e-62,1.0696665936115071e-92,6.1150619637103134e-15,5.88873026402734e-15,2.263316996829738e-16,8.964498113944753e-32,7.135079115142539e-13,2.7891569101747416e-36,5.515961376623632e-38,8.458369250152195e-63,8.353115640998078e-65,3.702361049791807e-33,3.5974042391328696e-33,9.465354328766614e-33,5.015986707303837e-33,7.106774118336881e-38,2.219422088850902e-42,2.348043824788315e-48,4.3866742481310714e-51,4.46808143771533e-67,1.3335846238104752e-65,2.116246430946893e-60,1.6726084012646614e-58,3.4512404943471446e-39
2.015748978115279e-18,0.6018794291648257,5.78362187035816e-32,1.8765550938737187e-26,2.9817257603814445e-37,5.2748757202701524e-49,0.0,0.0,1.0800824430605342e-34,2.547500303140607e-63,2.0919503018694907e-46,9.368164515402844e-53,1.0552055691325561e-48,1.1866057623349285e-62,8.880579200762636e-42,3.112728871062861e-49,1.159249646234253e-62,1.4814266783864103e-32,5.446693989552847e-57,7.892572041121229e-56,2.695740755756193e-32,8.228648051553766e-50,3.488898071476598e-54,4.710289981767827e-100,2.62993184920352e-69,3.0798679616763383e-51,1.0841334974984535e-61,4.429258065480355e-92,3.8021968042130665e-136,1.0903554439198002e-117,1.0520791560850081e-67,3.0052774822782666e-81,2.8282806490378103e-65,4.3829062415568016e-94,3.76,0.0,0.5046160369227487,0.9999999999985728,2.1837039557092465e-61,6.851423493350136e-91,1.2232779186631867e-14,1.1780017510521893e-14,4.527616761099742e-16,3.58696692421151e-31,1.427325637151853e-12,1.1160260693866398e-35,2.2071030412886973e-37,1.3538924385153267e-61,1.3372759831062142e-63,1.4814266783863898e-32,1.4394302769402248e-32,3.7873746498508065e-32,2.0070480448506256e-32,2.843639111653193e-37,8.880579366833464e-42,1.8791519175835232e-47,3.511118029531209e-50,7.151991726434357e-66,2.1346043186135088e-64,3.3873727900768844e-59,2.677729850623375e-57,1.3809538215674237e-38
4.0319354967076826e-18,0.6018794291648272,2.3138253536178434e-31,3.753517516934788e-26,1.1928846265518555e-36,4.220702038667193e-48,0.0,0.0,4.321033080445749e-34,4.077185449917969e-62,1.673878093112288e-45,7.495955073268067e-52,8.44324781760669e-48,9.494648961320109e-62,3.552809946689158e-41,2.4906561391297382e-48,1.8553389467155956e-61,5.926671389553982e-32,4.358199430466893e-56,6.3152567905222964e-55,1.0784718384230983e-31,6.584168660568377e-49,2.7916766339288684e-53,3.0158087305947853e-98,4.209114363753684e-68,2.4645183502572586e-50,1.7351178773210557e-60,2.8361797925699385e-90,1.9483265630053807e-133,1.3964314154985376e-115,1.6838160319291598e-66,9.61977830715406e-80,4.5265652498438436e-64,2.806198453955599e-92,3.76,0.0,0.5046160369227365,0.9999999999971452,3.4946623504655386e-60,4.386690755077968e-89,2.4468213632474673e-14,2.3562592003977395e-14,9.056216284972784e-16,1.4350203378879062e-30,2.8549610806284196e-12,4.464830996521375e-35,8.829849371531424e-37,2.1666706934977244e-60,2.140264233378039e-62,5.926671389553816e-32,5.758658389947888e-32,1.5151964780449638e-31,8.029499085834459e-32,1.1376438231074797e-36,3.552810079571524e-41,1.503608338779228e-46,2.8096068774952756e-49,1.1445636651702058e-64,3.416062225062679e-63,5.420899541841131e-58,4.2856132800989495e-56,5.524779151407812e-38
8.064308533892491e-18,0.60187942916483,9.256054670874093e-31,7.507442369877017e-26,4.7719281632887344e-36,3.3768822794495854e-47,0.0,0.0,1.7285539042889214e-33,6.524444848930156e-61,1.3392296421903558e-44,5.997333634897589e-51,6.755239674444641e-47,7.596440383485109e-61,1.4212396388654984e-40,1.9927141566556613e-47,2.9689746926150136e-60,2.370861522098353e-31,3.4869173137586966e-55,5.0526851466890444e-54,4.314238451082635e-31,5.2678350695923995e-48,2.233565228046405e-52,1.9305091565488097e-96,6.73556210174995e-67,1.971864304791738e-49,2.7765920925305866e-59,1.815621653516607e-88,9.979538376947462e-131,1.7879297281555718e-113,2.6944972447540167e-65,3.0787922417895065e-78,7.243559084691093e-63,1.796331786836266e-90,3.76,0.0,0.5046160369227121,0.9999999999942899,5.5920487654801385e-59,2.8080523874972e-87,4.8939082524159113e-14,4.7127740992754003e-14,1.8113415314051006e-15,5.740548514890743e-30,5.710231936387024e-12,1.7860777566197379e-34,3.5322272266725275e-36,3.467027369466154e-59,3.424922494364565e-61,2.3708615220982207e-31,2.3036508146532954e-31,6.061279177984221e-31,3.2120610313736735e-31,4.5509697493625585e-36,1.4212397451821083e-40,1.2030014054706964e-45,2.247971842694368e-48,1.831497915120365e-63,5.466255899165884e-62,8.674321846317997e-57,6.857977776245557e-55,2.21014323791951e-37
1.612905460826211e-17,0.6018794291648355,3.7025725184434604e-30,1.5015292103041858e-25,1.9088499871994128e-35,2.7016341366746226e-46,0.0,0.0,6.914496975012891e-33,1.043987032962786e-59,1.0714346051030587e-43,4.7980949603235555e-50,5.404448395047704e-46,6.077440795694976e-60,5.6851898734895314e-40,1.5942470406653818e-46,4.750707669199601e-59,9.483832173367566e-31,2.789709027419797e-54,4.0423400132708713e-53,1.7257656025284844e-30,4.2144681227836144e-47,1.7869427568199e-51,1.2356512637499035e-94,1.077768347605593e-65,1.5775913025546548e-48,4.4428701581000544e-58,1.1621484319043692e-86,5.110578889915853e-128,2.288869607393632e-111,4.3115089683038604e-64,9.852880454832021e-77,1.159054329142769e-61,1.1497695724767833e-88,3.76,0.0,0.5046160369226631,0.9999999999885794,8.947749616319621e-58,1.797336885070014e-85,9.788082030752322e-14,9.42580389777696e-14,3.622781329753598e-15,2.2963128368821207e-29,1.1420773523126128e-11,7.14460178377428e-34,1.4129484013793172e-35,5.5475271594758565e-58,5.480280635945442e-60,9.483832173366508e-31,9.214978100401882e-31,2.4246103234414888e-30,1.2848766915296936e-30,1.820481252701695e-35,5.6851907240722274e-40,9.624470210521712e-45,1.7984941364365585e-47,2.9305536239598097e-62,8.746454593595146e-61,1.3879621084616332e-55,1.0973561568435783e-53,8.841346451363741e-37
3.2258546757001344e-17,0.6018794291648467,1.4810591326918154e-29,3.0030991678493197e-25,7.635563696948147e-35,2.161358710929887e-45,0.0,0.0,2.765855065473041e-32,1.6704399428437663e-58,8.571680756525476e-43,3.838567527217798e-49,4.323661498808839e-45,4.862068015563007e-59,2.2741222053539917e-39,1.2754279405280152e-45,7.60141794828761e-58,3.793610198660349e-30,2.231888592452676e-53,3.233948770973906e-52,6.903202857742031e-30,3.3716545271586855e-46,1.4295920379823232e-50,7.908570506066403e-93,1.724492328861318e-64,1.2621129912184802e-47,7.108850487775113e-57,7.438247768982072e-85,2.6168903956323313e-125,2.929960426835858e-109,6.898665304457771e-63,3.1530436341785634e-75,1.8545564103424994e-60,7.358906642135201e-87,3.76,0.0,0.5046160369225652,0.9999999999771583,1.4316777815080557e-56,1.1503553560664452e-83,1.9576429587423247e-13,1.8851863497765033e-13,7.24566089658201e-15,9.185438172156118e-29,2.2841856197491937e-11,2.857898890741454e-33,5.651908733395006e-35,8.876269973633378e-57,8.768788220402402e-59,3.7936101986595025e-30,3.686066138725477e-30,9.698638566367833e-30,5.139611307626639e-30,7.282227390818364e-35,2.2741228858511832e-39,7.699759767060755e-44,1.4388453659367764e-46,4.689011718458468e-61,1.399468366377819e-59,2.2207958731014707e-54,1.755833572054606e-52,3.5369415474934495e-36
6.45175310544798e-17,0.601879429164869,5.924296740006505e-29,6.006239126588357e-25,3.0542632699795445e-34,1.7291076496127949e-44,0.0,0.0,1.1063532836987162e-31,2.672752467742879e-57,6.857426724371203e-42,3.07089118274725e-48,3.458970501236866e-44,3.889700533249618e-58,9.096581266388074e-39,1.0203545094635253e-44,1.2162520103672758e-56,1.51745963421979e-29,1.785641500109887e-52,2.5871897212352833e-51,2.7613092336220385e-29,2.697355633648446e-45,1.14369132646165e-49,5.061615312231342e-91,2.759238876771798e-63,1.0097063800366626e-46,1.1374367296360813e-55,4.7606582723225165e-83,1.339921951501016e-122,3.7504892033962994e-107,1.1038066034740155e-61,1.00899515414975e-73,2.967350902163899e-59,4.709830260974017e-85,3.76,0.0,0.5046160369223694,0.9999999999543161,2.2907150911588056e-55,7.362479202084215e-82,3.91531247007575e-13,3.7703982709681003e-13,1.449141991076451e-14,3.6742126016799646e-28,4.568401954977412e-11,1.1431712116365014e-32,2.260786602666304e-34,1.4202212588944164e-55,1.403038203657216e-57,1.5174596342191127e-29,1.4744413784341945e-29,3.8794948530936195e-29,2.0558654168871077e-29,2.9130439697605725e-34,9.096586710667463e-39,6.159881265330247e-43,1.1511017405189505e-45,7.502520601510406e-60,2.239177949045476e-58,3.553318620875499e-53,2.809384528024416e-51,1.4150558250959675e-35
1.2903549964943672e-16,0.601879429164914,2.369730704363259e-28,1.2012519218662341e-24,1.2217168992943e-33,1.3832945840266749e-43,0.0,0.0,4.4254356684400115e-31,4.276442816664694e-56,5.485975110228603e-41,2.456728669731504e-47,2.767193223628462e-43,3.1117788247707404e-57,3.63865094141769e-38,8.162885243093477e-44,1.9460306368617986e-55,6.069870356572417e-29,1.428696774852151e-51,2.0697640586979908e-50,1.1045293121785276e-28,2.1578973116470243e-44,9.149642402301343e-49,3.2394778152225215e-89,4.414826338283764e-62,8.077715103417576e-46,1.819915264894487e-54,4.025969597763945e-81,2.0947596903162097e-119,6.917004977566674e-105,1.7661069604348613e-60,3.228829207392236e-72,4.747826145587899e-58,3.0143431685876446e-83,3.76,0.0,0.5046160369219779,0.9999999999086318,3.6651698297263586e-54,4.7120698291217736e-80,7.830651492739564e-13,7.540822118127221e-13,2.8982937461232205e-14,1.4696924813162021e-27,9.136833826854213e-11,4.572708315649817e-32,9.043193297710754e-34,2.2723682771612925e-54,2.244902642518694e-56,6.069870356566998e-29,5.897794904538788e-29,1.5518058039217424e-28,8.223503338197313e-29,1.1653222203486083e-33,3.638655297246304e-38,4.927934411119462e-42,9.209002512208081e-45,1.2004117965558293e-58,3.582707752133168e-57,5.685346048201009e-52,4.495055228711635e-50,5.662370613306923e-35
2.580714368393506e-16,0.6018794291650034,9.478946565901343e-28,2.4025080101200626e-24,4.88692304408578e-33,1.10663936006133e-42,0.0,0.0,1.770178788935829e-30,6.842339664930874e-55,4.3887949930850435e-40,1.965390599702117e-46,2.2137617906256144e-42,2.4894303386746144e-56,1.4554640201763442e-37,6.530328723728961e-43,3.113694343648982e-54,2.4279550746168075e-28,1.143240968582713e-50,1.655816159411193e-49,4.418128490995855e-28,1.7263229710247215e-43,7.31982424764177e-48,2.0732824006363492e-87,7.063766020508324e-61,6.462197891162766e-45,2.911877544256066e-53,2.586492405981358e-79,1.0739568857191073e-116,8.875089735435616e-103,2.825785070088765e-59,1.0332394173530515e-70,7.596625384988458e-57,1.9292092555744222e-81,3.76,0.0,0.5046160369211948,0.9999999998172631,5.864296022043231e-53,3.0157737734724765e-78,1.566132953805504e-12,1.5081669831549173e-12,5.796597065057848e-14,5.8787845989660696e-27,1.8273694376290403e-10,1.829088146747364e-31,3.6172872310930406e-33,3.6358000532923756e-53,3.591928146657447e-55,2.4279550746124726e-28,2.359123475813792e-28,6.207238759809657e-28,3.2894095756591857e-28,4.662090384122457e-33,1.4554675054562512e-37,3.942359317254606e-41,7.367416319367201e-44,1.92066681172477e-57,5.732351416844824e-56,9.096582922315783e-51,7.192118537333183e-49,2.266648828319177e-34
