Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166)
1.6250916045876134e-19,0.7467050980885874,1.5794330996578528e-31,4.7868228820991695e-25,2.7467329375580044e-36,1.2566695615936745e-48,0.0,0.0,3.882940740860692e-34,9.221793833163592e-63,9.847139961822928e-47,3.2304971326534783e-52,7.637880195600486e-49,1.9044043787287315e-60,3.585059321684587e-40,1.3379827424422562e-48,2.353966473505421e-62,1.7623120060564953e-32,1.3291562569137112e-55,8.745989248618384e-54,2.3347502082980164e-31,5.544840991415859e-49,2.2948169528887744e-53,1.902435834232816e-98,7.981945282534513e-68,2.0913878327012325e-50,6.45962522888201e-61,2.815829803055563e-91,5.219742126995326e-137,1.0205268371461257e-116,1.9338843691197815e-66,4.347145014069026e-81,1.2589269111234302e-64,2.583086241923786e-93,3.76,0.0,0.8700621855036801,0.9999999999996545,1.3398463235005371e-61,1.3392843189450623e-90,4.291665408187442e-14,4.1072936346479344e-14,1.843717735395085e-15,1.2287245777166888e-30,3.4555651945770007e-13,7.273067180392577e-35,4.4566754812653086e-36,2.1782077916989597e-65,2.3991132128688757e-63,1.7623120060564857e-32,1.6779983068957998e-32,1.0031053010230092e-31,5.802107393745658e-32,2.746733051508397e-36,3.5850593256107426e-40,5.501251775768594e-47,1.580366302077507e-48,2.313793318859759e-66,5.116358440705947e-65,1.0011063454447348e-59
3.251595104574521e-19,0.7467050980885931,6.321848519622939e-31,9.577804604040175e-25,1.099409000735916e-35,1.0060997595008791e-47,0.0,0.0,1.5541882199182734e-33,1.477204119332215e-61,7.883699456309553e-46,2.5863619898393458e-51,6.114948317041007e-48,1.5246814622586293e-59,1.4349580219899132e-39,1.0712001109204795e-47,3.770729485079222e-61,7.053840744842972e-32,1.0641332402641963e-54,7.002109334791085e-53,9.34508536786553e-31,4.4392442938407225e-48,1.837381633134736e-52,1.2195367755394618e-96,1.2785974910242895e-66,1.6748064565857965e-49,1.0347428243708726e-59,1.8058331086408108e-89,2.6813174869566583e-134,1.3091843887502873e-114,3.0978159013699187e-65,1.3927600904182685e-79,2.0166272038911035e-63,1.6558606753578128e-91,3.76,0.0,0.8700621855036371,0.9999999999993087,2.145919667447756e-60,8.585343373099295e-89,8.587059457042012e-14,8.218155726003231e-14,3.689037310387812e-15,4.918100459064354e-30,6.91413261586497e-13,2.911122288555926e-34,1.7838316361371388e-35,3.4891883149696156e-64,3.8430483314211016e-62,7.053840744842898e-32,6.716366215544128e-32,4.015035371656247e-31,2.3223550301567574e-31,1.099409091965517e-35,1.434958025133396e-39,4.404532291677792e-46,1.2655747819436152e-47,3.7052998840048723e-65,8.192850001758628e-64,1.6030750855421878e-58
6.504602104548336e-19,0.7467050980886045,2.529562866385724e-30,1.915976805255283e-24,4.3990681011046427e-35,8.051855839911749e-47,0.0,0.0,6.21877730367962e-33,2.3649011762626006e-60,6.309355588962977e-45,2.0698756451374668e-50,4.893817115131263e-47,1.22020855144399e-58,5.741701206483786e-39,8.572857950898813e-47,6.036676028271281e-60,2.822455105629952e-31,8.516300853807645e-54,5.603815551822253e-52,3.739251400909056e-30,3.5527446120491385e-47,1.470516837090457e-51,7.811370687917003e-95,2.0469457633433467e-65,1.3405239733309247e-48,1.6565513797807867e-58,1.1569191933888727e-87,1.375094474334876e-131,1.6776209085608753e-112,4.959388062323622e-64,4.45951211159138e-78,3.2284801042687777e-62,1.0606110416061668e-89,3.76,0.0,0.8700621855035512,0.999999999998617,3.435204964207777e-59,5.4990797819327755e-87,1.7177847554750305e-13,1.6439879908806458e-13,7.379676459438433e-15,1.9678807955032926e-29,1.383126745257324e-12,1.164828106972223e-33,7.137650096706124e-35,5.585948124986696e-63,6.152453476566059e-61,2.8224551056298923e-31,2.687421331964331e-31,1.6065371310018785e-30,9.292445126802278e-31,4.3990688312187174e-35,5.741701231641882e-39,3.5250388042962864e-45,1.012972780412837e-46,5.931065657389528e-64,1.3113903872715486e-62,2.5659646044120004e-57
1.3010616104495966e-18,0.7467050980886273,1.0119898615029361e-29,3.832369496810075e-24,1.7599137318575447e-34,6.442708064508684e-46,0.0,0.0,2.487915864012282e-32,3.784941910723077e-59,5.0484430936153e-44,1.656215010684139e-49,3.915797240223251e-46,9.763522332005736e-58,2.2970543590378975e-38,6.859589469644975e-46,9.661489811855016e-59,1.1291658314010416e-30,6.814335908812708e-53,4.483903856995875e-51,1.495944045811675e-29,2.8427354757781205e-46,1.1766581814547793e-50,5.00130554871976e-93,3.276065360645308e-64,1.0726907687042555e-47,2.6512527481285955e-57,7.408080310076056e-86,7.046275274522566e-129,2.1485491222216615e-110,7.937327761504405e-63,1.427472825384274e-76,5.167070023156072e-61,6.790664822499287e-88,3.76,0.0,0.8700621855033793,0.9999999999972335,5.4977152098621846e-58,3.5208390291756264e-85,3.435942375016349e-13,3.288332827478345e-13,1.476095475380034e-14,7.87280458604624e-29,2.7665537102519088e-12,4.660070920896566e-33,2.855524817625833e-34,8.94011535748002e-62,9.84678758008621e-60,1.129165831400994e-30,1.0751435259806089e-30,6.427194636270924e-30,3.7175831373401664e-30,1.7599143160597345e-34,2.297054379168472e-38,2.8205963569316355e-44,8.105834694812237e-46,9.491774292489562e-63,2.0986522371879412e-61,4.106379150320441e-56
2.6022644104391227e-18,0.7467050980886728,4.0482888976104725e-29,7.665154887328696e-24,7.040228198924542e-34,5.154655901912709e-45,0.0,0.0,9.952473399295338e-32,6.05678722466873e-58,4.039137977718447e-43,1.3250978295303488e-48,3.13293525063394e-45,7.811559509454717e-57,9.188965238182794e-38,5.488192882997175e-45,1.5460631128752968e-57,4.5170309415413715e-30,5.45198843523658e-52,3.587463688228348e-50,5.984263188939641e-29,2.2744043181642213e-45,9.414245123436724e-50,3.2014847796744625e-91,5.242466430078298e-63,8.582612650357188e-47,4.2426209286327e-56,4.742387072103989e-84,3.609176539658774e-126,2.750907631458123e-108,1.270157024237165e-61,4.568599657278582e-75,8.268514045313898e-60,4.3469072032849926e-86,3.76,0.0,0.8700621855030357,0.9999999999944666,8.797454489321147e-57,2.2537941174346e-83,6.872257614097629e-13,6.577022500821955e-13,2.952351132756683e-14,3.1493781316848557e-28,5.5334076308528055e-12,1.8641800792612732e-32,1.1423028913080485e-33,1.4306263757191626e-60,1.57571506393528e-58,4.517030941540989e-30,4.300924108198456e-30,2.5710870907260084e-29,1.4871542802370418e-29,7.040232872985822e-34,9.188965399243816e-38,2.2567032369365408e-43,6.485489046176751e-45,1.51884945275705e-61,3.358185720114914e-60,6.570875353103002e-55
5.204670010418175e-18,0.7467050980887641,1.6193814503021572e-28,1.5330725698002088e-23,2.816206136238585e-33,4.123920577700497e-44,0.0,0.0,3.981151354524879e-31,9.691563752421844e-57,3.2314638121110954e-42,1.0601286102479551e-47,2.5064672021379153e-44,6.249544275258016e-56,3.675735657715902e-37,4.3907628532662004e-44,2.4738809588319883e-56,1.8068859115907575e-29,4.361801142659273e-51,2.870107198963563e-49,2.393802680275207e-28,1.8196098341919455e-44,7.531789133313861e-49,2.0491580508017584e-89,8.388555874360194e-62,6.866524759781216e-46,6.788686745970647e-55,3.03551697352668e-82,1.848278484601487e-123,3.5216515835273086e-106,2.0323989271064311e-60,1.4620618712172776e-73,1.3230585202362127e-58,2.7823030121810693e-84,3.76,0.0,0.8700621855023485,0.999999999988933,1.4076815927379614e-55,1.4425746354242283e-81,1.3744888092254764e-12,1.315440184810204e-12,5.904862441527046e-14,1.2598025125187462e-27,1.106711543450151e-11,7.457023761634022e-32,4.5693975151594764e-33,2.289168600384811e-59,2.521327525278328e-57,1.8068859115904503e-29,1.720439640995795e-29,1.0284766841156194e-28,5.948859175036866e-29,2.8162098756651214e-33,3.6757357865713438e-37,1.8054530568575993e-42,5.188720108305775e-44,2.4302916008309443e-60,5.373370894142521e-59,1.051393557676235e-53
1.040948121037628e-17,0.7467050980889464,6.47765757480742e-28,3.0661867437893526e-23,1.126505584869054e-32,3.2992149116673074e-43,0.0,0.0,1.5924929416598257e-30,1.5507065385390875e-55,2.585232456282541e-41,8.481230522536005e-47,2.0052213826636115e-43,4.999754081347751e-55,1.4703241734764135e-36,3.5126937240936854e-43,3.958354063817478e-55,7.227690792281092e-29,3.4895290743457087e-50,2.2961402600607765e-48,9.575405534708939e-28,1.455722420189193e-43,6.025590355103942e-48,1.311527666831639e-87,1.3422177260365471e-60,5.493393689213089e-45,1.0862293400121912e-53,1.9428556572017986e-80,9.464161028949776e-121,4.508028281074678e-104,3.2519564718834754e-59,4.678774686173389e-72,2.1169709881641253e-57,1.7807645810712343e-82,3.76,0.0,0.8700621855009739,0.9999999999778656,2.252361828225238e-54,9.2329474293575e-80,2.749014904854732e-12,2.6309160545033635e-12,1.1809885035136045e-13,5.039312560120592e-27,2.2134530891586552e-11,2.9828702042357766e-31,1.827796208544684e-32,3.662803047997551e-58,4.034271319496551e-56,7.227690792278635e-29,6.88189851685787e-29,4.113990426336143e-28,2.3795920775888614e-28,1.1265085764812848e-32,1.4703242765635017e-36,1.4443986362449073e-41,4.151108175499104e-43,3.888572593431435e-59,8.597612470665936e-58,1.682272497241319e-52
2.0819103610292487e-17,0.7467050980893111,2.591089375866721e-27,6.1324151391855e-23,4.506069869686328e-32,2.6394034774710417e-42,0.0,0.0,6.370036569409773e-30,2.4811755344144762e-54,2.0682105807600597e-40,6.7850654732162485e-46,1.6041961852143953e-42,3.99985071559995e-54,5.881356494169984e-36,2.8101883891213358e-42,6.333483860093762e-54,2.8911058050393134e-28,2.7916649243558075e-49,1.8369340088271926e-47,3.830201177545052e-27,1.164591757548107e-42,4.820538832722631e-47,8.393990135822344e-86,2.1475874465476104e-59,4.394784537441569e-44,1.737998507522338e-52,1.2434678456355497e-78,4.845902175057432e-118,5.770479242138274e-102,5.203225013404742e-58,1.4972366334488533e-70,3.387216536545941e-56,1.1397186990239496e-80,3.76,0.0,0.8700621854982249,0.9999999999557307,3.6038365185008363e-53,5.909238287325041e-78,5.498067096104559e-12,5.261867794838257e-12,2.3619930126627114e-13,2.015745517064531e-26,4.426936120490719e-11,1.1931602293859966e-30,7.311259334469969e-32,5.860592029028415e-57,6.4549536477628364e-55,2.8911058050373484e-28,2.752787361526796e-28,1.6456129028447495e-27,9.518465093521656e-28,4.5060938028681056e-32,5.881357318879004e-36,1.1555333900427224e-40,3.320940234822013e-42,6.221801128374561e-58,1.3756355314673158e-56,2.691670248668684e-51
4.1638348410124904e-17,0.7467050980900402,1.0364410123504038e-26,1.2264872119649344e-22,1.8024384692012293e-31,2.111535669981276e-41,0.0,0.0,2.548027590370836e-29,3.9699169178192726e-53,1.654578395397344e-39,5.428085437489837e-45,1.283364628572554e-41,3.1998995295056806e-53,2.352554540935465e-35,2.2481641278183295e-41,1.01336736055014e-52,1.156448266612465e-27,2.2333588460839405e-48,1.469555927641841e-46,1.5320882642594332e-26,9.316789347588317e-42,3.856462371218466e-46,5.37222214591842e-84,3.436171359280896e-58,3.515855516521468e-43,2.780822844955717e-51,7.95832663986716e-77,2.48116847174171e-115,7.386348273042446e-100,8.325236087000605e-57,4.791206155530605e-69,5.419600246067193e-55,7.294298222213497e-79,3.76,0.0,0.8700621854927267,0.999999999911461,5.766186323579437e-52,3.781963176015165e-76,1.0996171478569475e-11,1.0523771279302336e-11,4.724001992670155e-13,8.063022981070469e-26,8.853901942815081e-11,4.772665274373127e-30,2.9245187096463826e-31,9.377034633575227e-56,1.0328026941601232e-53,1.156448266610893e-27,1.1011205067599411e-27,6.582485029641023e-27,3.807405367852987e-27,1.8024576158600965e-31,2.3525552007098002e-35,9.2443251176342e-40,2.6567750387135644e-41,9.954950274799773e-57,2.2010309199758795e-55,4.306699828010423e-50
8.327683800978975e-17,0.7467050980914985,4.145774515764537e-26,2.4529786839263883e-22,7.209783041449833e-31,1.689234121068972e-40,0.0,0.0,1.01921363027161e-28,6.351895933867147e-52,1.3236668237349139e-38,4.342482592206607e-44,1.026694852975491e-40,2.5599271691446044e-52,9.410241915620881e-35,1.7985367528707185e-40,1.6213975051236103e-51,4.6258053312309615e-27,1.786714224418518e-47,1.1756482306938592e-45,6.12836864735072e-26,7.453453595021648e-41,3.0851899156811884e-45,3.438244463994386e-82,5.497899939179043e-57,2.8126956509710414e-42,4.449336681446862e-50,6.73001350529527e-75,3.8788232476186497e-112,1.362240618451296e-97,1.3320439691826524e-55,1.5331956891860533e-67,8.671414378870084e-54,4.66838825426748e-77,3.76,0.0,0.8700621854817305,0.9999999998229218,9.225942254805224e-51,2.42047527767578e-74,2.1992380243360353e-11,2.1047578263407658e-11,9.448019799521965e-13,3.2252173162867005e-25,1.7707832626104848e-10,1.9090710301960602e-29,1.1698105396240026e-30,1.5003330653889596e-54,1.6524941515168593e-52,4.625805331218386e-27,4.404492920703699e-27,2.633000658317666e-26,1.5229659922185956e-26,7.209936215172517e-31,9.410247193879137e-35,7.395483409435294e-39,2.1254313680276124e-40,1.592797671925076e-55,3.5216608574229544e-54,6.89074175688979e-49
