Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47)
5.799257220544833e-19,0.6216436404784106,4.1052398609767945e-59,1.456968453719178e-27,1.6540022159265954e-63,1.1487841218112455e-63,0.0,0.0,1.9630514134966262e-58,7.990661323308862e-110,1.9838813778639635e-63,2.3025738389245006e-63,4.852295044563453e-63,9.813908459954562e-100,6.863006087878778e-78,1.832803837217871e-51,3.96293501947483e-90,1.001119060401957e-63,2.7866719775016213e-67,2.3735357865489685e-58,8.284502138660508e-34,4.335019929230604e-52,1.9288818773954979e-56,1.9003659040453254e-132,3.476434079244265e-106,7.405991972048248e-54,2.9759313612702932e-90,1.0401317554915446e-127,3.859875169036393e-192,3.7163080866773353e-156,1.9432802633155637e-119,1.7613540111903204e-109,8.162521910381805e-93,1.760063010814397e-165,3.76,0.0,0.8475176052726107,0.999999999999681,3.25363694630636e-64,1.2194304590710982e-134,2.842026870741179e-15,2.7427776824890155e-15,9.924918825216346e-17,1.344993748090986e-32,3.1895000672381376e-13,1.745925183725544e-37,5.636201661238504e-39,1.8790617522885146e-91,4.662811861785634e-91,1.832823126041923e-51
1.1603552892193526e-18,0.6216436404784109,3.2870052300097175e-58,2.915202736168375e-27,2.6485592639080533e-62,1.839551736920977e-62,0.0,0.0,1.571634750104232e-57,5.123023675172005e-108,3.176795679215601e-62,3.6871189498198233e-62,7.76999414812365e-62,3.1432304670609964e-98,1.0990216190113832e-76,1.467357780524948e-50,2.539498170301786e-88,1.6030951955738358e-62,4.463863967480053e-66,1.9002718406073375e-57,3.3159598590491495e-33,3.470651821082369e-51,1.5443387964948111e-55,4.875707289263193e-130,4.4555294095606375e-104,5.930800102143508e-53,9.535670384559937e-89,2.668475080857522e-125,3.173893560320391e-188,3.815702747363107e-153,4.978875717093888e-117,2.2570004567529864e-107,5.230645810138482e-91,3.614969622931189e-162,3.76,0.0,0.8475176052726078,0.9999999999993618,5.210059385614969e-63,3.128710592604764e-132,5.686522922082468e-15,5.487938316953308e-15,1.9858460512915928e-16,5.383480146206259e-32,6.381771196445012e-13,6.988250752457384e-37,2.2559495029393036e-38,6.069952464769587e-90,2.9879879754546732e-89,1.4673732239213644e-50
2.3212144235490918e-18,0.6216436404784116,2.631110852236802e-57,5.831671302147689e-27,4.2394202624969513e-61,2.9444810937372614e-61,0.0,0.0,1.2577854519807362e-56,3.2816181491191595e-106,5.084942504462804e-61,5.901792170453769e-61,1.2437050821969305e-60,1.0062793356920636e-96,1.7591885231197534e-75,1.1743323007946013e-49,1.626309952461876e-86,2.5659965958494647e-61,7.146336102475052e-65,1.5207950038868434e-56,1.3268158674079566e-32,2.7775762587989756e-50,1.2359646644759009e-54,1.2495616724819168e-127,5.706724546881314e-102,4.747043866577783e-52,3.0538806612444433e-87,6.838650542941386e-123,2.604933435197402e-184,3.912512764146304e-150,1.2751140314841274e-114,2.8905403056677698e-105,3.3497371399968706e-89,7.414087352201087e-159,3.76,0.0,0.8475176052726021,0.9999999999987234,8.339488936510758e-62,8.018652256611753e-130,1.1375515024765008e-14,1.0978259585988949e-14,3.9725543877605825e-16,2.154093288424867e-31,1.2766313434673061e-12,2.796210566967904e-36,9.026736537269904e-38,1.9753027831230694e-88,1.9135255281587883e-87,1.174344660454774e-49
4.64293269220857e-18,0.6216436404784128,2.106100882175448e-56,1.1664608438429998e-26,6.784453131867762e-60,4.712128651487393e-60,0.0,0.0,1.0064194631911245e-55,2.1011586323622192e-104,8.137563972798683e-60,9.44478945396166e-60,1.9903330472318784e-59,3.220810721738806e-95,2.8153082365052248e-74,9.396443115298921e-49,1.0411684594794914e-84,4.106430197374633e-60,1.1437461826456851e-63,1.2168670650351485e-55,5.308127440357369e-32,2.2224830179745197e-49,9.889693740435e-54,3.2006466236591366e-125,7.30694237423174e-100,3.798596843440117e-51,9.779144851883546e-86,1.751636535546577e-120,2.1359627616481973e-180,4.009094783116169e-147,3.264959785102974e-112,3.700902822169255e-103,2.144511660745941e-87,1.519494602330263e-155,3.76,0.0,0.8475176052725908,0.9999999999974465,1.334589814146756e-60,2.0540605572077316e-127,2.2753499230129932e-14,2.195890212448845e-14,7.945971056414853e-16,8.617775808452574e-31,2.553539783038635e-12,1.1186663084221946e-35,3.611282412858858e-37,6.52598624400167e-87,1.225044721291051e-85,9.396542012452817e-49
9.286369229527525e-18,0.6216436404784154,1.6863407193192847e-55,2.333048272828932e-26,1.0856229767492623e-58,7.540173093453144e-59,0.0,0.0,8.052120193857995e-55,1.3450369634697357e-102,1.302142735370698e-58,1.5113200971627217e-58,3.184856848446973e-58,1.030776519215162e-93,4.504989076657337e-73,7.517868487380728e-48,6.664534665132606e-83,6.570956944185745e-59,1.830259851219702e-62,9.735860866632893e-55,2.123423782665068e-31,1.778155236773338e-48,7.912548019874944e-53,8.195921897083428e-123,9.354380948283105e-98,3.0392622240076526e-50,3.1321817931741964e-84,4.4853957131898685e-118,1.7506009495986225e-176,4.106686720379563e-144,8.359151885988105e-110,4.7378028839187323e-101,1.3727050764172526e-85,3.1130411538705616e-152,3.76,0.0,0.847517605272568,0.9999999999948926,2.135561006860367e-59,5.260620626034024e-125,4.550946764085918e-14,4.3920187203200316e-14,1.5892804376588555e-15,3.447390870374069e-30,5.107356629884166e-12,4.475029442922108e-35,1.4446305404072556e-36,2.218621067015974e-85,7.8415292983934955e-84,7.517947613207354e-48
1.8573242304165435e-17,0.6216436404784204,1.3512167704920324e-54,4.666223137718684e-26,1.737085164602882e-57,1.2064890898192569e-57,0.0,0.0,6.442001967131396e-54,8.609182088375493e-101,2.0835344020346995e-57,2.4182352127096217e-57,5.0960301517293666e-57,3.298687428126375e-92,7.20841304805594e-72,6.014580459676271e-47,4.265640347374759e-81,1.0514066142215742e-57,2.9286285159328035e-61,7.789058451446874e-54,8.494040756578453e-31,1.422591721959646e-47,6.330359437764656e-52,2.0984470787568617e-120,1.1974564435461752e-95,2.4315636918443145e-49,1.0038936587177994e-82,1.1484157293270543e-115,1.4344284006040326e-172,4.205950731119333e-141,2.1400523174167063e-107,6.0648020149032615e-99,8.78600899946681e-84,6.376651609707529e-149,3.76,0.0,0.8475176052725225,0.9999999999897851,3.417071496220118e-58,1.3473005220279898e-122,9.102140446231521e-14,8.784275736747554e-14,3.17864709483966e-15,1.379012456396942e-29,1.0214990194386733e-11,1.79008463763201e-34,5.7787573789395514e-36,7.932093270149889e-84,5.0189765948244713e-82,6.014643763824958e-47
3.714698845344126e-17,0.6216436404784306,1.0843273931006862e-53,9.332572895169732e-26,2.7794070374925414e-56,1.9304316961924572e-56,0.0,0.0,5.153723902398687e-53,5.510179123559791e-99,3.3337399272346353e-56,3.8692748594707203e-56,8.153855603839606e-56,1.0556221249280201e-90,1.1533913409850278e-70,4.811778729036101e-46,2.7301180919269016e-79,1.6822934171611802e-56,4.685975737620976e-60,6.231394668125875e-53,3.397685429499954e-30,1.1381003912681239e-46,5.064422032038604e-51,5.3724017654442265e-118,1.5328055164140716e-93,1.9453125260763145e-48,3.2222995764114153e-81,2.9401419975839075e-113,1.1752214692955732e-168,4.307253921342834e-138,5.478674108618586e-105,7.763211878242612e-97,5.623268755690835e-82,1.3060553632163096e-145,3.76,0.0,0.8475176052724315,0.9999999999795698,5.467453605773841e-57,3.451353131040108e-120,1.8204527810521756e-13,1.7568789772343192e-13,6.35738038178553e-15,5.516162018886824e-29,2.04302568066379e-11,7.160484402232266e-34,2.311550042603892e-35,3.0708419224383363e-82,3.2122723612574877e-80,4.811829374143343e-46
7.42944807519929e-17,0.6216436404784508,8.727975824535438e-53,1.866527252075801e-25,4.4471080417120834e-55,3.088730148691382e-55,0.0,0.0,4.1230280550251204e-52,3.526611471385187e-97,5.334051986962798e-55,6.1909188165491715e-55,1.3046334855156818e-54,3.378120549343997e-89,1.8454969414888794e-69,3.849468872893628e-45,1.7473102933078318e-77,2.6917038332822427e-55,7.497696958998203e-59,4.985174897697968e-52,1.359087997660224e-29,9.10491118579179e-46,4.05160113043489e-50,1.3753855159938053e-115,1.9620303483601614e-91,1.556274659343927e-47,1.0373739799248605e-79,7.52701686293167e-111,9.627978998259038e-165,4.410812795455707e-135,1.4025585666836956e-102,9.93708131906789e-95,3.598963494547661e-80,2.674921409141429e-142,3.76,0.0,0.8475176052722494,0.9999999999591392,8.748037458167304e-56,8.846140362429368e-118,3.6409302539098304e-13,3.513781785449685e-13,1.2714846846014307e-14,2.206487226259559e-28,4.08607879641246e-11,2.8642230340406452e-33,9.246294727138872e-35,1.3234787514632214e-80,2.0558950923695646e-78,3.849509390324022e-45
1.485894653490962e-16,0.6216436404784911,7.067628577085322e-52,3.73306722146794e-25,7.115418809357385e-54,4.9420001449732134e-54,0.0,0.0,3.2984420189573243e-51,2.9823192130617655e-95,8.534538286743861e-54,9.905534059641289e-54,2.0874268472723353e-53,1.0810592155139983e-87,2.952962440463791e-68,3.0795936855611755e-44,1.1182897832631892e-75,4.306753938974456e-54,1.1996422328069422e-57,3.988163582987248e-51,5.436379645392185e-29,7.283972170224609e-45,3.2413218446177332e-49,7.610825273461446e-113,2.5114241819054012e-89,1.2450295974502594e-46,3.364222023579749e-78,4.165108766812892e-108,8.70285119317154e-160,1.2063429809284226e-131,3.5905789911848003e-100,1.2719579712402547e-92,2.303359681998219e-78,2.5150759885211172e-138,3.76,0.0,0.8475176052718854,0.9999999999182781,1.3996950301667035e-54,4.900128048157485e-115,7.281885199623576e-13,7.027587406265364e-13,2.542977933582003e-14,8.825993581409523e-28,8.17218420110371e-11,1.1456951503097613e-32,3.6985371013478085e-34,6.41625643745233e-79,1.3157859498331068e-76,3.0796261010501796e-44
2.971794345433028e-16,0.6216436404785718,5.790450455843953e-51,7.466147337350208e-25,1.1384708503340793e-52,7.907226906493488e-53,0.0,0.0,2.6387614476803607e-50,1.9159475729049373e-93,1.365530734334729e-52,1.5848907960727656e-52,3.33989356954785e-52,3.459741743426748e-86,4.7252280029722136e-67,2.4636827533850065e-43,7.157091544339701e-74,6.890829548142403e-53,1.9194357884127124e-56,3.190540331380114e-50,2.174557391445632e-28,5.827195023344121e-44,2.5930987129727736e-48,1.9524985981840918e-110,3.214639656620904e-87,9.960276491761945e-46,1.1020743085198681e-76,1.068512790069628e-105,7.130240680021722e-156,1.236060171478908e-128,9.191906116900573e-98,1.6281130622056807e-90,1.4741577851834432e-76,5.152885626719146e-135,3.76,0.0,0.8475176052711572,0.9999999998365561,2.2395196031462985e-53,1.2613081694129817e-112,1.4563795091044816e-12,1.405519866543653e-12,5.085964256082428e-14,3.530406238867526e-27,1.6344391703263182e-10,4.582793130955872e-32,1.4794189218969303e-33,3.4491173857674062e-77,8.421072482750585e-75,2.4637086880050417e-43
5.943593729317159e-16,0.6216436404787331,4.850496996726069e-50,1.4932308277507184e-24,1.821556962527411e-51,1.2651588066165621e-51,0.0,0.0,2.1110122952118472e-49,1.226282411640099e-91,2.1848535011639663e-51,2.5358302877717488e-51,5.3438381944643e-51,1.1073370656963026e-84,7.561888821436778e-66,1.970949916707757e-42,4.580551822596998e-72,1.1025349077268297e-51,3.0711026386401893e-55,2.5524360495500057e-49,8.6982406509819e-28,4.661762931105015e-43,2.0745352431487687e-47,4.998582588715578e-108,4.114750702793192e-85,7.968237449678322e-45,3.689660247273666e-75,2.73542464681294e-103,5.841126988904359e-152,1.2657324152422355e-125,2.353131717143801e-95,2.083989642547059e-88,9.434636851879506e-75,1.0553158788797348e-131,3.76,0.0,0.8475176052697008,0.999999999673112,3.583238450112253e-52,3.250695643999755e-110,2.9127614873862266e-12,2.8110421253938055e-12,1.01719361992405e-13,1.4121641536173504e-26,3.2688793478700766e-10,1.8331202833709618e-31,5.917685764317591e-33,1.9971084946860614e-75,5.389500616492982e-73,1.9709706678728494e-42
8.915393113201292e-16,0.6216436404788948,1.4227725013963286e-49,2.2398469926057236e-24,6.704727353594138e-51,4.656727096165519e-51,0.0,0.0,6.036178090272551e-49,6.085425001069676e-91,8.041888862064592e-51,9.333744942205352e-51,1.966888015507691e-50,5.073121897654999e-84,2.7955361044004933e-65,5.63585457458391e-42,2.5545140866705984e-71,4.058149974871813e-51,1.1708583054610981e-54,7.298374606416491e-49,1.848376833252538e-27,1.3329733454483536e-42,5.966964200794231e-47,2.6965998861478154e-107,2.6882903092941066e-84,2.3655719062765593e-44,1.7544750798771867e-74,1.47486184203408e-102,3.078571885108337e-151,7.589842283276854e-125,1.766678889945274e-94,1.361532896212104e-87,5.2615740353746086e-74,5.876927309774755e-131,3.76,0.0,0.8475176052682444,0.9999999995096681,1.3188987418333647e-51,1.759412581873455e-109,4.369143465665469e-12,4.2165643912598764e-12,1.525790744055589e-13,3.0008497466398947e-26,4.903318202526768e-10,3.8953832386589674e-31,1.257509130907579e-32,1.0948607664466263e-74,3.00565403484938e-72,5.635914265620841e-42
1.4858991880969556e-15,0.6216436404792176,7.036100255255721e-49,3.733079605673345e-24,5.1588464921093e-50,3.5830020352768927e-50,0.0,0.0,2.7740043859685853e-48,1.924683269444713e-89,6.187630005005793e-50,7.181616279857764e-50,1.5133407727433102e-49,6.637177134123812e-83,2.160512971737616e-64,2.5900723864808483e-41,6.640416045740955e-70,3.1224418608076203e-50,9.628386226412907e-54,3.354063241012778e-48,5.1102201513907985e-27,6.125852866436065e-42,2.750732813750216e-46,3.766407548670297e-105,1.2105914129969209e-82,1.1080844589274603e-43,2.7720057704283262e-73,2.042776246664107e-100,2.455178457341769e-147,4.825529756537128e-122,1.3968763574831266e-92,6.1312563342188486e-86,1.3677371895494746e-72,8.66674211489473e-128,3.76,0.0,0.8475176052653316,0.9999999991827809,1.0147936047625099e-50,2.4906175236871344e-107,7.281907422213946e-12,7.0276089510556836e-12,2.542984711581671e-13,8.296468463506287e-26,8.17219062030045e-10,1.0769600764570493e-30,3.47664706059254e-32,2.73401952101462e-73,7.813143346976687e-71,2.5900999102707735e-41
2.080259064873782e-15,0.6216436404795406,1.8297659866425974e-48,5.2263125020990855e-24,1.629734246958779e-49,1.1319029504495768e-49,0.0,0.0,6.88388594641908e-48,8.575894912574712e-89,1.954728635594268e-49,2.2687379398989102e-49,4.780704731044951e-49,2.6066068946247557e-82,6.8478463569069e-64,6.427575992327508e-41,3.158723911681906e-69,9.864077999560076e-50,3.1186078634433515e-53,8.323342541064285e-48,9.676801264385639e-27,1.5201732378992466e-41,6.853041716312582e-46,1.949073912481203e-104,6.841275295968206e-82,2.816278396398505e-43,1.13874714841348e-72,1.056389393309879e-99,1.3295076709085443e-146,2.8754241853002057e-121,9.191042340735444e-92,3.464885681478511e-85,6.506074400597903e-72,4.930003620053726e-127,3.76,0.0,0.8475176052624188,0.9999999988558941,3.205825349857155e-50,1.2971741507158499e-106,1.0194671378752413e-11,9.838653538915151e-12,3.5601783983708345e-13,1.5710333988847708e-25,1.1441057746542997e-09,2.039351479273234e-30,6.583443637756443e-32,1.2893023494122618e-72,3.716568035663286e-70,6.427644574748955e-41
2.6746189416506085e-15,0.6216436404798634,3.7332579464720395e-48,6.719545681883452e-24,3.812133406186246e-49,2.647629837673669e-49,0.0,0.0,1.3487404061217705e-47,3.06500199083947e-88,4.5722982450777e-49,5.306796188801191e-49,1.1182358977000113e-48,7.165413613008363e-82,1.6067827562133535e-63,1.2593608015121869e-40,1.0593427027276302e-68,2.3073026907830157e-49,7.577699916354627e-53,1.6307690809005038e-47,1.5548120185264073e-26,2.978432645516207e-41,1.3476397533866003e-45,1.0366122235284983e-103,2.5724925882590835e-81,5.640028151068607e-43,3.388849453574917e-72,5.599287634847791e-99,1.94940238114404e-145,2.0970151912599725e-120,3.8499079249142127e-91,1.302884623411325e-84,2.1819451567379225e-71,4.6382561101460714e-126,3.76,0.0,0.847517605259506,0.9999999985290079,7.49873374504516e-50,6.913567259115789e-106,1.310743533528087e-11,1.264969815483827e-11,4.577371804423157e-13,2.5242445600318084e-25,1.4709919581262977e-09,3.276713021004327e-30,1.057790068913817e-31,4.2969984822605914e-72,1.246426963532992e-69,1.2593742900740228e-40
