Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46)
1.6588693185933642e-19,0.7263827482631148,1.0787169546816788e-31,3.5578724139208026e-25,1.7573575768833815e-36,7.744873066691653e-49,0.0,0.0,2.632504671344431e-34,4.536331167892884e-63,6.628883890233669e-47,1.959917780346516e-52,5.074434683289705e-49,9.214400448422552e-61,2.1060934626561537e-40,7.966107189826532e-49,1.1915568668039211e-62,1.266794740680309e-32,7.156150358214401e-56,4.1926188820621585e-54,1.4823087837293332e-31,3.173269367331356e-49,1.450127008497042e-53,1.20256517778598e-110,3.4823410051398993e-68,5.937189227273075e-51,3.056604149836404e-61,1.337182414713728e-95,1.4443059890321255e-137,3.10616775707056e-117,8.678754554144325e-67,1.9889414694189016e-81,6.087629345372334e-65,8.914479789914364e-94,3.76,0.0,0.7653300794542216,0.9999999999996678,7.305114343108701e-62,4.912268539542641e-91,3.224020383655582e-14,3.0859544297623614e-14,1.380659538932207e-15,8.23183098362931e-31,3.3218891657866296e-13,4.7558518142653925e-35,2.739933292445895e-36,1.0637673216243256e-65,1.224847641751943e-63,1.2667947406803026e-32,1.2077436161938737e-32,6.862461655352967e-32,3.951032938169037e-32,1.7573576591718457e-36,2.1060934649846515e-40
3.3191798789926306e-19,0.726382748263119,4.317679035930747e-31,7.118835943020563e-25,7.034010157754295e-36,6.200607674981275e-48,0.0,0.0,1.0536879190636718e-33,7.266576556689603e-62,5.307137760268845e-46,1.5691259401649467e-51,4.0626332217949766e-48,7.37712310812493e-60,8.429862487963108e-40,6.377732581769798e-48,1.9087096877504345e-61,5.070480327276724e-32,5.729271837415254e-55,3.35664439742406e-53,5.933098143113714e-31,2.5405449774939433e-48,1.1610822606680079e-52,1.542712547903097e-108,5.5782297605336734e-67,4.75456665480394e-50,4.8962580628433525e-60,8.573033881161094e-94,7.419222661047134e-135,3.9847519797298835e-115,1.3902167208894092e-65,6.3722679554705566e-80,9.751542239474698e-64,5.714534920265974e-92,3.76,0.0,0.7653300794541893,0.9999999999993353,1.1699734711729824e-60,3.1489588560965614e-89,6.450841827592177e-14,6.174589966784783e-14,2.762518608073953e-15,3.294877670208204e-30,6.646664419280668e-13,1.9035801367165308e-34,1.0966873645030278e-35,1.704008462176277e-64,1.96203691535612e-62,5.070480327276673e-32,4.834121934130177e-32,2.7467730710604976e-31,1.5814428440542994e-31,7.03401081656236e-36,8.429862506606067e-40
6.639800999791162e-19,0.7263827482631274,1.7276340178612986e-30,1.424076300423719e-24,2.814520320726698e-35,4.962370642828015e-47,0.0,0.0,4.2161241684000346e-33,1.1633284270896547e-60,4.2473231603478495e-45,1.2557776446942018e-50,3.251341297226725e-47,5.90394054391524e-59,3.373043035120646e-39,5.104125628671867e-47,3.055711652577148e-60,2.0288525933058307e-31,4.5851592008949804e-54,2.6863356707039398e-52,2.3740120790823123e-30,2.033208105483556e-47,9.292582644806027e-52,1.9768696054232883e-106,8.930358346651144e-66,3.805580375132333e-49,7.838569022887564e-59,5.491567737175026e-92,3.80489522315865e-132,5.106158680505517e-113,2.2256403960943796e-64,2.0403514676622107e-78,1.5611541920954866e-62,3.6602710175548495e-90,3.76,0.0,0.7653300794541248,0.9999999999986704,1.872882249636396e-59,2.0169695306333084e-87,1.2904484715464823e-13,1.2351861040898896e-13,5.526236745659265e-15,1.3183802455257747e-29,1.3296214920494144e-12,7.616800076882932e-34,4.3881779618666096e-35,2.7279991849163643e-63,3.141084839349572e-61,2.0288525933057904e-31,1.9342784461166242e-31,1.099067012023744e-30,6.327831300006825e-31,2.814520847973376e-35,3.3730430500410087e-39
1.3281043241388228e-18,0.7263827482631444,6.911661037160187e-30,2.8484617138738863e-24,1.1259914271505152e-34,3.970650490407842e-46,0.0,0.0,1.686724204936413e-32,1.861866603065707e-59,3.3985038525672676e-44,1.0048129173362477e-49,2.6015670343911366e-46,4.7240494486847576e-58,1.349436853018167e-38,4.0840764972325406e-46,4.890560120957137e-59,8.116731496674355e-31,3.668824788124401e-53,2.1494766848872136e-51,9.497594180280469e-30,1.62687539979466e-46,7.435636566502482e-51,2.53180049974096e-104,1.429272732336276e-64,3.0452353101301943e-48,1.2545356526213242e-57,3.516148465249425e-90,1.949708889163928e-129,6.539518359886416e-111,3.562059891606648e-63,6.531086674298317e-77,2.4985729447009584e-61,2.343523941014621e-88,3.76,0.0,0.7653300794539957,0.9999999999973405,2.9973516027622533e-58,1.291384256474567e-85,2.5811770491207944e-13,2.470640318940422e-13,1.1053673018037163e-14,5.274379457772899e-29,2.6595315899822694e-12,3.0472160086405024e-33,1.7555569276637474e-34,4.366067655516097e-62,5.027196930707454e-60,8.11673149667403e-31,7.73837330233422e-31,4.396983716261617e-30,2.5315445629057462e-30,1.1259918490279645e-34,1.3494368649568557e-38
2.6563527724582355e-18,0.7263827482631785,2.7648894228318103e-29,5.6972325456015885e-24,4.504332502270633e-34,3.17682203725976e-45,0.0,0.0,6.747445934349582e-32,2.9794195317959317e-58,2.7190612482275913e-43,8.039266687163165e-49,2.081451252294121e-45,3.779598400975292e-57,5.398186718883767e-38,3.2675716336790566e-45,7.826033847746641e-58,3.246956850567388e-30,2.9353397691064735e-52,1.7197446246955564e-50,3.7993468669942035e-29,1.3016238992102458e-45,5.949137939754978e-50,3.2416058080223798e-102,2.287168751434697e-63,2.4364966917470998e-47,2.0075487783242393e-56,2.2508295892895088e-88,9.986614690980963e-127,8.372911149978833e-109,5.700124183310046e-62,2.0902617931461212e-75,3.9982979644598426e-60,1.5001596162453586e-86,3.76,0.0,0.7653300794537375,0.9999999999946806,4.7963547451346483e-57,8.266535975643769e-84,5.162634204268548e-13,4.941548748752324e-13,2.2108545551622064e-14,2.1099234892764934e-28,5.319351776608621e-12,1.2189856070895524e-32,7.022799248760903e-34,6.98672367136581e-61,8.044684516720728e-59,3.246956850567129e-30,3.095601237277096e-30,1.758936629556224e-29,1.0127002391761826e-29,4.504335877610687e-34,5.3981868144029e-38
5.312849669097062e-18,0.7263827482632463,1.1060007713695766e-28,1.1394774228366462e-23,1.8018064981281054e-33,2.5415783298343213e-44,0.0,0.0,2.699088200848774e-31,4.7674176534033354e-57,2.1753522847769905e-42,6.431718802410476e-48,1.6652400640131556e-44,3.0238222624954152e-56,2.1593625501136202e-37,2.614181495938012e-44,1.25225652710453e-56,1.2988355992003214e-29,2.3483852972791295e-51,1.3758610139821305e-49,1.5198005880344738e-28,1.0413485537746004e-44,4.759562537146986e-49,4.1498326180619455e-100,3.6597359526758377e-62,1.949320741550674e-46,3.2123114491231605e-55,1.4406892357065458e-86,5.1141985021183435e-124,1.0718817045830912e-106,9.12086148029493e-61,6.689340823227937e-74,6.397742320836661e-59,9.601996204704587e-85,3.76,0.0,0.7653300794532213,0.999999999989361,7.674641661879397e-56,5.291120029746667e-82,1.0325548514560572e-12,9.88336560881948e-13,4.4218290574108283e-14,8.440037372113161e-28,1.0638992112903886e-11,4.876140850620716e-32,2.8092340204531175e-33,1.1179570562056226e-59,1.2872431760386586e-57,1.298835599200114e-29,1.2382908758373082e-29,7.036032808318257e-29,4.050965787115957e-29,1.8018091985283388e-33,2.1593626265328123e-37
1.0625843462374713e-17,0.7263827482633821,4.424093083881966e-28,2.2789857671134106e-23,7.207374076568238e-33,2.0333110021415927e-43,0.0,0.0,1.0796572463745458e-30,7.628145380899127e-56,1.7403231661386868e-41,5.145497381435724e-47,1.332223689795412e-43,2.4191152237958964e-55,8.637625913258714e-37,2.091394886479934e-43,2.0036836288858373e-55,5.195448170326589e-29,1.8787560327670455e-50,1.1007149376104856e-48,6.079326037281566e-28,8.330986173364771e-44,3.8077520211412025e-48,5.312156052848701e-98,5.855790372808019e-61,1.5595059550714602e-45,5.139885040924383e-54,9.220917900621682e-85,2.6187395208564805e-121,1.3721042126310552e-104,1.4593908771260947e-59,2.1406699121262636e-72,1.0236761910033921e-57,6.145590506026449e-83,3.76,0.0,0.7653300794521887,0.9999999999787217,1.2279806857172312e-54,3.386489163429047e-80,2.0651377135130694e-12,1.9766999330727175e-12,8.843778044034634e-14,3.376083625425267e-27,2.1278272637664662e-11,1.9504960317522985e-31,1.1237164801840775e-32,1.7887963982819647e-58,2.0596643002070287e-56,5.195448170324929e-29,4.9532642339063713e-29,2.814470377402558e-28,1.6204192787271152e-28,7.207395680282836e-33,8.6376265246284e-37
2.1251831048930014e-17,0.7263827482636535,1.7696552272558355e-27,4.5580024865621047e-23,2.8829801173040453e-32,1.626668228440287e-42,0.0,0.0,4.318672919736969e-30,1.2205254329005854e-54,1.392275104836091e-40,4.116447089882179e-46,1.0657916280301073e-42,1.9353151377914916e-54,3.455085495821628e-36,1.6731358058286552e-42,3.2059532945957086e-54,2.0782004659813458e-28,1.5030277859578234e-49,8.805824008567751e-48,2.431755152536125e-27,6.664868037434149e-43,3.046244197167013e-47,6.799798987349877e-96,9.36943513323636e-60,1.247624517192368e-44,8.223965419641301e-53,5.901549897665112e-83,1.3408643419928714e-118,1.7563551446866035e-102,2.3350678849672518e-58,6.8502753293954395e-71,1.6379123921284494e-56,3.9332793774110044e-81,3.76,0.0,0.7653300794501235,0.9999999999574432,1.964799810665192e-53,2.1674088464243487e-78,4.130303437621521e-12,3.953426678163616e-12,1.768767594578851e-13,1.350447179493015e-26,4.2556833095867235e-11,7.802063561484183e-31,4.4949117243976275e-32,2.862126615117697e-57,3.295523993323193e-55,2.078200465980017e-28,1.9813258133815277e-28,1.1257995979077847e-27,6.481743020949546e-28,2.8829974004807647e-32,3.4550859849247945e-36
4.250380622204062e-17,0.7263827482641966,7.07865684748632e-27,9.116036049040217e-23,1.1531988399666946e-31,1.301342499349945e-41,0.0,0.0,1.727477956203786e-29,1.9528584325207726e-53,1.1138267708873497e-39,3.2931777431750735e-45,8.526384058808755e-42,1.5482612824816923e-53,1.3820412145791236e-35,1.3385166361539014e-41,5.129575866600728e-53,8.312844603474739e-28,1.2024375591570989e-48,7.044701011149865e-47,9.727070088608312e-27,5.3319260703259535e-42,2.437015242936006e-46,8.703901546777943e-94,1.4991233458167916e-58,9.981075280307614e-44,1.3158464070353908e-51,3.777044252859285e-81,6.865410150180256e-116,2.2481755062015818e-100,3.736142756664159e-57,2.19211060323753e-69,2.620685977438082e-55,2.5173329456176038e-79,3.76,0.0,0.7653300794459932,0.9999999999148861,3.143705218838631e-52,1.387160318486708e-76,8.260634885816136e-12,7.906880171182844e-12,3.53754714633213e-13,5.401816127817197e-26,8.511395164699655e-11,3.1208413521677247e-30,1.7979738979309364e-31,4.579445415290912e-56,5.272890278377569e-54,8.312844603464111e-28,7.925343281568673e-28,4.5032212538647816e-27,2.5927103718009016e-27,1.1532126665899937e-31,1.3820416058661593e-35
8.500775656826182e-17,0.7263827482652826,2.8314698874204645e-26,1.8232103668319824e-22,4.612814511451826e-31,1.041077399497914e-40,0.0,0.0,6.909929412849345e-29,3.1245876916234117e-52,8.910641846529635e-39,2.6345508586666547e-44,6.821128188069704e-41,1.2386126767934315e-52,5.528178811773207e-35,1.0708165579781498e-40,8.207371478038273e-52,3.325146664246368e-27,9.619660138040098e-48,5.635777532202854e-46,3.8908379335554106e-26,4.265553513527237e-41,1.949624713232544e-45,1.6052336187901868e-91,2.3986086159803388e-57,7.984892088874864e-43,2.1053637763513783e-50,3.194075632954728e-79,1.073273319156096e-112,4.146238041037373e-98,5.9778562288404475e-56,7.014799144240988e-68,4.193124118924662e-54,1.6111061611302346e-77,3.76,0.0,0.7653300794377326,0.9999999998297718,5.029951810638855e-51,8.8778960686706e-75,1.6521297782116224e-11,1.5813787168571024e-11,7.075106135448709e-13,2.1607318939697688e-25,1.7022817928815297e-10,1.2483397588756881e-29,7.191914387299555e-31,7.327149902195654e-55,8.436675553141707e-53,3.325146664237866e-27,3.1701451488341077e-27,1.8012930485933832e-26,1.0370867671337888e-26,4.612925124764453e-31,5.528181942112064e-35
1.7001565726070426e-16,0.7263827482674543,1.1325893532288322e-25,3.6464240884176473e-22,1.8451340872750855e-30,8.328636529972318e-40,0.0,0.0,2.7639752918521723e-28,4.999351688849107e-51,7.128526039043322e-38,2.1076451695378594e-43,5.456911770282945e-40,9.908915727946905e-52,2.211274252143342e-34,8.566546299234702e-40,1.3131865201637133e-50,1.3300606502138996e-26,7.695949325352564e-47,4.5086287175008454e-45,1.5563371549646272e-25,3.4124478754532705e-40,1.5597120817937512e-44,2.059626498527624e-89,3.837783649698718e-56,6.387926748817412e-42,3.368589575055777e-49,2.0519827774978934e-77,5.502436282244493e-110,5.319908432543022e-96,9.564593817320853e-55,2.2447488585967354e-66,6.709037863544985e-53,1.0311148778614483e-75,3.76,0.0,0.7653300794212112,0.9999999996595433,8.047951401564887e-50,5.681889106986385e-73,3.304262357435981e-11,3.16276012087463e-11,1.415022365612198e-12,8.642938148470182e-25,3.4045659672606544e-10,4.993365731420751e-29,2.8767698173920504e-30,1.1723479142091603e-53,1.3498752474530826e-51,1.3300606502070986e-26,1.2680594912409455e-26,7.205181085203065e-26,4.1483521911546275e-26,1.8452225780533288e-30,2.211276756470759e-34
3.400314586455891e-16,0.7263827482717985,4.530359958029105e-25,7.292852322511071e-22,7.380588533484705e-30,6.662922131810664e-39,0.0,0.0,1.1055908293650903e-27,7.998971880960765e-50,5.702828240012556e-37,1.6861195557917976e-42,4.365534453606657e-39,7.927137844350433e-51,8.845101957361386e-34,6.853243916224205e-39,2.1011139437492542e-49,5.320248329424767e-26,6.157099704597913e-46,3.6069056545610716e-44,6.225352598288383e-25,2.7299603289632032e-39,1.247786275763468e-43,2.636398572578505e-87,6.1404644871314264e-55,5.11034716109478e-41,5.389749067924458e-48,1.313349951876157e-75,2.8172961670693136e-107,6.80967142791008e-94,1.5303374307271435e-53,7.183255108578095e-65,1.0734549694885359e-51,6.599192617417963e-74,3.76,0.0,0.7653300793881685,0.9999999993190867,1.2876776202360488e-48,3.636437342173785e-71,6.608527515742062e-11,6.325522947069242e-11,2.8300456867229195e-12,3.457177123422027e-24,6.80913280224356e-10,1.9973478396674933e-28,1.1507089821339467e-29,1.875762849488258e-52,2.1598159483432103e-50,5.320248329370356e-26,5.0722397440941274e-26,2.882074049627688e-25,1.6593418096157403e-25,7.381296460185637e-30,8.845121992834859e-34
5.10047260030474e-16,0.7263827482761424,9.627016218673132e-25,1.0939281347529785e-21,1.5683823720663946e-29,1.9051811260303184e-38,0.0,0.0,2.34938096591075e-27,3.0496088508723876e-49,1.6306532997224174e-36,4.8212525876189634e-42,1.2482705541745585e-38,2.2666663076755884e-50,1.879584418304268e-33,1.9597436327317394e-38,8.010521858554295e-49,1.130553344153563e-25,1.7606018089317504e-45,1.031349782913911e-43,1.3228876775149597e-24,7.805981808711469e-39,3.613782808303524e-43,1.474726667549195e-86,2.3410533177518312e-54,1.5171348593523567e-40,2.0548423098838727e-47,6.517667317079397e-75,1.5267174961075555e-106,3.809139384259211e-93,5.834414209619892e-53,3.371425035188251e-64,4.092561555027133e-51,3.7658672513369726e-73,3.76,0.0,0.7653300793551259,0.9999999989786302,4.824083224541115e-48,2.075153285629826e-70,9.912792673905505e-11,9.488285791423415e-11,4.245068824809734e-12,7.346502270497195e-24,1.0213698123451794e-09,4.244365419183422e-28,2.4452575914604414e-29,7.151354818712175e-52,8.234323256712916e-50,1.1305533441380053e-25,1.0778509357812617e-25,6.124408182227524e-25,3.5261018258622606e-25,1.5685847948881874e-29,1.8795901852150492e-33
