Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56)
1.7384929719525012e-10,0.8758629462246937,4.7436714911086754e-21,3.45863674581061e-13,4.553974913592017e-25,1.4823385845949693e-30,0.0,0.0,1.8951821599391181e-22,7.015884121386304e-48,4.945828411662189e-24,2.972424460457431e-30,6.012486337843493e-21,1.3539018747387734e-43,1.0693789239521425e-31,2.5683495677774093e-26,1.7489241011414305e-39,1.2917598009000386e-30,9.678073867532855e-26,4.928628184348066e-21,2.8177865208365226e-10,5.296492778687672e-18,3.255441541101013e-30,4.095966318176171e-63,2.5806727962520452e-46,4.449809636633181e-39,2.968124568605722e-32,1.7819832405535063e-53,3.2834312647400577e-83,2.6624479894780806e-79,4.102491234107917e-51,9.173377190579317e-44,1.9185201523694575e-36,2.7167984337126755e-64,3.76,0.0,0.6334577716041347,0.9999999999998272,4.19821563672596e-31,5.840823994456255e-56,0.0012712716570379245,0.0012712710934806098
2.0407850266351627e-10,0.8758987843544551,7.656755898750968e-21,4.060030266039657e-13,8.537392137974918e-25,3.216788687243423e-30,0.0,0.0,3.0647674468449643e-22,2.0871367553578072e-47,9.845981387839984e-24,6.450493947659595e-30,1.126969320223208e-20,3.453519065812043e-43,2.320409581313964e-31,4.840875476818967e-26,5.0053552070363335e-39,2.803203455970862e-30,1.824235986518226e-25,7.954106398153242e-21,3.8825626716957576e-10,8.547577080220649e-18,7.062124499490947e-30,2.016937698215799e-62,8.234258944859028e-46,1.293164518815582e-38,6.520621921844765e-32,7.034033008307209e-53,3.068450570620818e-82,1.9424323368541986e-78,1.4463377238144456e-50,2.5900064514313984e-43,4.808457045933433e-36,1.6410063277937429e-63,3.76,0.0,0.6332369808218189,0.9999999999997972,9.11040176299405e-31,2.5897577836128493e-55,0.0014920625458313738,0.0014920617693188222
2.6453691360004857e-10,0.8759704231521869,1.6646933609683065e-20,5.262817306503244e-13,2.4137628962736473e-24,1.2103616795582886e-29,0.0,0.0,6.698975060621843e-22,1.458326485360566e-46,3.182415683582093e-23,2.4272210215947633e-29,3.184763834653018e-20,1.7527502293685424e-42,8.728297219868513e-31,1.3754664416669074e-25,3.58298888683989e-38,1.0547315710549607e-29,5.183965331723639e-25,1.728703991604654e-20,6.522583757747189e-10,1.8575868936014076e-17,2.654556141788968e-29,7.364885350189688e-61,8.643313048414896e-45,9.114313465660697e-38,2.461785014355135e-31,9.665158769243237e-52,4.387340275181024e-80,1.557780435089958e-76,2.306009371435185e-49,1.8797824882022576e-42,2.482913650943214e-35,7.211701229955474e-62,3.76,0.0,0.6327956300994183,0.999999999999737,3.427872643364752e-30,5.925533844010137e-54,0.0019334135322340272,0.0019334122277172383
3.1621588563618667e-10,0.8760316193831189,2.842032377934862e-20,6.290942208682924e-13,4.9246334555387676e-24,2.9567151460211923e-29,0.0,0.0,1.1499045663374528e-21,5.021202391088574e-46,7.142330225737666e-23,5.929545432388896e-29,6.495070328831594e-20,5.076762712408905e-42,2.131722975060801e-30,2.8108567839019467e-25,1.232046805928435e-37,2.5765136545290545e-29,1.0594846092776635e-24,2.950295138570506e-20,9.318554895583084e-10,3.1701107409324236e-17,6.479921929037619e-29,4.647124856494164e-60,3.471366489880556e-44,3.1250477234064805e-37,6.011316369319311e-31,4.5431725327323466e-51,5.232166702199075e-79,1.306926771218822e-75,1.0664255578460956e-48,6.480144759447879e-42,7.234339106829575e-35,5.3484952869453816e-61,3.76,0.0,0.632418613766327,0.9999999999996856,8.373654876265711e-30,3.2543207163027933e-53,0.0023104301449226533,0.002310428281211611
3.6789485767232476e-10,0.8760927791618264,4.47498937597199e-20,7.319067110874018e-13,9.012466171775076e-24,6.289725158536958e-29,0.0,0.0,1.8220512466153258e-21,1.440762316251884e-45,1.424677613147783e-22,1.2614253778788139e-28,1.1881531030962332e-19,1.248376985140953e-41,4.533773152210309e-30,5.147619516539141e-25,3.5074981518955393e-37,5.480886675024438e-29,1.9404644492576348e-24,4.6437064237804564e-20,1.261138148080673e-09,4.989468683131977e-17,1.377453496682555e-28,2.1575638666154005e-59,1.1383631271423084e-43,8.874533766427979e-37,1.2778941328538495e-30,1.69676186404536e-50,3.6960373978114034e-78,7.506753475346448e-75,4.01922094207747e-48,1.8488328992687684e-41,1.7836451682080036e-34,2.84439614302988e-60,3.76,0.0,0.632041822057402,0.9999999999996342,1.7812845926884695e-29,1.3550020708562853e-52,0.002687222183130199,0.0026872196608538025
4.1957382970846286e-10,0.8761539025098043,6.638197656721517e-20,8.347192013080511e-13,1.522489609341452e-23,1.2082678663691033e-28,0.0,0.0,2.722113916635551e-21,3.6005387559786776e-45,2.602196152151834e-22,2.4233194269305947e-28,2.0062976104972922e-19,2.7203793742757396e-41,8.707655436504377e-30,8.697994089939576e-25,8.634343472762368e-37,1.0528792877800349e-28,3.2791475458068694e-24,6.885668685651898e-20,1.6400836729555788e-09,7.398034463302673e-17,2.6442488580407864e-28,8.503721122634598e-59,3.1443164132800937e-43,2.1880014967339447e-36,2.4550017231311156e-30,5.365641351881105e-50,2.5086753794320975e-77,3.753159713927494e-74,1.2420225325666817e-47,4.5451904013050117e-41,3.882066679543991e-34,1.2975809874682817e-59,3.76,0.0,0.6316652548389022,0.9999999999995828,3.4218499012764593e-29,4.7799217760276875e-52,0.003063789780575493,0.0030637865004079987
5.22931773780739e-10,0.8762760400009802,1.2854979001106884e-19,1.0403441817559778e-12,3.678252591139075e-23,3.656509514968895e-28,0.0,0.0,5.3637123977055095e-21,1.790495083950106e-44,7.2777926343225e-22,7.334210554645093e-28,4.842294977228079e-19,1.0343246980576032e-40,2.633936594818344e-29,2.1009716338535962e-24,4.169674552489461e-36,3.186205835850481e-28,7.922301957520252e-24,1.3321668567092994e-19,2.5468726064773787e-09,1.4311646883021285e-16,7.989697436296864e-28,1.1869919973343566e-57,1.9387172319763104e-42,1.055699628329099e-35,7.424664383057366e-30,4.236807435533441e-49,1.0428752302228568e-75,9.420965166131993e-73,9.892609588958629e-47,2.196646775877752e-40,1.4780587279108104e-33,2.3035715042315696e-58,3.76,0.0,0.6309127933385889,0.99999999999948,1.035513935904761e-28,5.0276202323031357e-51,0.0038162521876778216,0.003816247093932321
7.296476619252914e-10,0.8765198787703093,3.4961650226451795e-19,1.4515941426962315e-12,1.4097098065463084e-22,2.0172662028388944e-27,0.0,0.0,1.5304685259929628e-20,2.277845797939291e-43,3.61768171648154e-21,4.047111400028703e-27,1.8510181800362718e-18,8.180809593423995e-40,1.4515153712336056e-28,8.038737939151506e-24,5.115947957064954e-35,1.7577323057636683e-27,3.032593422568645e-23,3.614221969123596e-19,4.955407031356184e-09,3.882083671391486e-16,4.391714223826147e-27,8.183177142244053e-56,3.803700473812045e-41,1.2572467522715803e-34,4.0624612369672735e-29,1.0733091570818834e-47,3.032938778127013e-73,1.2272285528740212e-70,3.247280476899172e-45,2.76378394419163e-39,1.2023962878634174e-32,1.9956935251998204e-56,3.76,0.0,0.6294105583462714,0.9999999999992744,5.712606103732299e-28,2.105530265576004e-49,0.005318489588530068,0.005318479677715226
9.363635500698438e-10,0.8767631370778689,7.401647129783817e-19,1.8628441037364646e-12,3.8247002039230445e-22,6.97706918241312e-27,0.0,0.0,3.429782613094231e-20,1.3639927278856993e-42,1.1837485099655559e-20,1.400010595197937e-26,5.008456703608494e-18,3.570256625360983e-39,5.015848377468234e-28,2.176500847055312e-23,2.788132348826322e-34,6.0792117188620275e-27,8.214125634837229e-23,7.629471730515813e-19,8.156007824710088e-09,8.193433867100326e-16,1.5144432418628655e-26,9.025229894531143e-55,2.5303336591986442e-40,6.856063908533723e-34,1.4020197111743856e-28,8.871649161427485e-47,6.125238925679151e-72,1.8381867953948453e-69,2.5997720134697277e-44,1.5054803948929575e-38,5.24330466489004e-32,2.735557979578448e-55,3.76,0.0,0.6279119002528585,0.9999999999990687,1.975733430501261e-27,2.0020729874408258e-48,0.0068171508825441126,0.006817134570526818
9.999999999999999e-10,0.8770058163045215,9.021458330767733e-19,1.9894453427393736e-12,4.977606755015442e-22,9.690799780491179e-27,0.0,0.0,4.263515229669316e-20,2.270461202481087e-42,1.6226187065839585e-20,1.944653646944925e-26,6.5120966149803584e-18,5.308976773628506e-39,6.964773847618386e-28,2.8304506658236405e-23,4.420277757155172e-34,8.443619377079068e-27,1.0683490819551226e-22,9.289740636581663e-19,9.300520487190777e-09,9.975870748953817e-16,2.1014722467300984e-26,1.889524194932044e-54,4.2661586094807e-40,1.0902410629240252e-33,1.9476946403600036e-28,1.6431521570774325e-46,2.066412616312261e-71,4.699173576122145e-69,4.662556372993171e-44,2.3808509554104937e-38,7.770996983942996e-32,6.531391447937655e-55,3.76,0.0,0.62745126460621,0.9999999999990055,2.744160926622498e-27,3.928550495915049e-48,0.007277787673705423,0.007277769072662445
1.1430794382143962e-09,0.8770058163045215,1.3494967641462253e-18,2.274094064939505e-12,8.471940170534465e-22,1.8608834733682253e-26,0.0,0.0,6.665744100831573e-20,5.817156231431259e-42,3.045837298593789e-20,3.734626884797502e-26,1.1061844049066744e-17,1.1467951812883206e-38,1.3367035603291453e-27,4.809734967064783e-23,1.0536749939419314e-33,1.6213557909886347e-26,1.815896520049837e-22,1.3864096011629206e-18,1.214722489647521e-08,1.488627377840237e-15,4.028143642694381e-26,6.243275672989713e-54,1.1078784237716841e-39,2.6120184599152313e-33,3.7428777228220283e-28,4.795521150803621e-46,9.260157175538583e-71,1.8140035804929571e-68,1.3084606370847825e-43,5.651561378449219e-38,1.667803378349636e-31,2.4040045172542997e-54,3.76,0.0,0.626416810540613,0.9999999999988631,5.269373362776366e-27,1.2196614059209484e-47,0.00831224458600734,0.008312220291554555
1.3497953263589485e-09,0.8772479178286056,2.2279361471894283e-18,2.68534402638494e-12,1.6436675051832053e-21,4.208612449515549e-26,0.0,0.0,1.1800299926740338e-19,2.026939094867189e-41,6.712264698724063e-20,8.447621582763365e-26,2.1393280838281434e-17,3.0399495765925395e-38,3.0207210256928046e-27,9.306701189322986e-23,3.197625475550219e-33,3.666762093939506e-26,3.515039279028638e-22,2.2802018819621085e-18,1.6927609167458465e-08,2.4478863885579503e-15,9.085728236714993e-26,3.3216916932088945e-53,3.802545435431425e-39,8.009246689785138e-33,8.481835171248206e-28,2.0078667918489327e-45,1.0178465801108532e-69,1.38689539124343e-67,5.05372358530585e-43,1.7002378738272997e-37,4.370234316552861e-31,1.5935378092258978e-53,3.76,0.0,0.6249252807122962,0.9999999999986575,1.1916890490828206e-26,5.765903510971957e-47,0.009803779194709409,0.00980374533948615
1.556511214503501e-09,0.8774894430259613,3.427082185917462e-18,3.0965939881696925e-12,2.9036037489741234e-21,8.480568799012723e-26,0.0,0.0,1.9555610579435753e-19,6.125694286486934e-41,1.3259690352287462e-19,1.7025005193386606e-25,3.76604328851747e-17,7.039342541798464e-38,6.082130055212166e-27,1.6391674031124784e-22,8.33364779234131e-33,7.38844658157696e-26,6.193289546463086e-22,3.492489885302095e-18,2.2495712611555554e-08,3.748665794649748e-15,1.8259454782500042e-25,1.4425750966989764e-52,1.1045093334967217e-38,2.1079837220328352e-32,1.712648973728616e-27,6.953017117144101e-45,8.14463275490759e-69,8.456348084833857e-67,1.63014636789358e-42,4.394001960345908e-37,1.00103243840895e-30,8.304335616515137e-53,3.76,0.0,0.6234373022913539,0.9999999999984519,2.4012253711520902e-26,2.2471166204855554e-46,0.011291763183756628,0.011291718192323863
1.969942990792606e-09,0.8779707699256887,7.001783132340316e-18,3.919093913231152e-12,7.454320702985476e-21,2.71076557993707e-25,0.0,0.0,4.678969899240394e-19,4.3897188476342165e-40,4.1181200591359126e-19,5.443670733207207e-25,9.590584732232303e-17,2.8648675257482652e-37,1.9409621980526978e-26,4.1784967759945254e-22,4.210507301767061e-32,2.361494833842834e-25,1.5799625946548982e-21,7.064161297509771e-18,3.598928995397004e-08,7.57966107000535e-15,5.804446825125899e-25,2.1181284235397858e-51,6.916779198769161e-38,1.081075006124056e-31,5.493199827949937e-27,5.916817876989368e-44,3.72971580879577e-67,2.5336814546885538e-65,1.2797182306858607e-41,2.1911364509055406e-36,3.9985959618970024e-30,1.6180014594444975e-51,3.76,0.0,0.6204719658619569,0.9999999999980407,7.674779280061022e-26,2.540038227951484e-45,0.014257113106734765,0.014257041128139586
2.3833747670817107e-09,0.8784498079535678,1.2521050205311894e-17,4.741593841268363e-12,1.6036931896377462e-20,6.958416039305081e-25,0.0,0.0,9.840547195672275e-19,2.2230731483381536e-39,1.0363484878837508e-18,1.3978019447274776e-24,2.0440736681795669e-16,8.934616748029009e-37,4.9743416388606223e-26,8.914728530278523e-22,1.5557315136113188e-31,6.061387343729341e-25,3.3733624282550785e-21,1.2482313969356021e-17,5.261639394608582e-08,1.338848478683415e-14,1.481892011274567e-24,1.538303299725717e-50,3.005888533712821e-37,4.032813455074368e-31,1.412956349766821e-26,3.1616281306981245e-43,5.23549933267305e-66,2.614111605443189e-64,6.546689791596396e-41,8.026831228452331e-36,1.2286935217196571e-29,1.426538263089947e-50,3.76,0.0,0.6175207338461002,0.9999999999976295,1.9699266611520658e-25,1.5962365657388737e-44,0.01720836174970137,0.01720825651688647
2.7968065433708155e-09,0.8789265679806263,2.0467999019841073e-17,5.564093773749898e-12,3.0604345593085065e-20,1.5378438611417988e-24,0.0,0.0,1.887674793353338e-18,9.064378325714667e-39,2.257270825137203e-18,3.0901603316959238e-24,3.8597854373215382e-16,2.3262969763303414e-36,1.0975924604911794e-25,1.6850501884326542e-21,4.663070100355932e-31,1.3394917709844064e-24,6.3810913339391555e-21,2.0124316776927207e-17,7.236547892796264e-08,2.157765505690843e-14,3.2574569146368108e-24,7.990673705697543e-50,1.0290932400452587e-36,1.2181406026785312e-30,3.125662060447227e-26,1.2828346355684923e-42,4.928294766606053e-65,1.851488272374472e-63,2.561282672413262e-40,2.3890430462909568e-35,3.1566379980932685e-29,8.821363869560545e-50,3.76,0.0,0.6145835391605,0.999999999997218,4.353286151345059e-25,7.366492982168529e-44,0.020145576184394578,0.020145431453393134
3.2102383196599202e-09,0.8794010608599719,3.1369045092198055e-17,6.386593712501108e-12,5.3555812229554043e-20,3.0486156623292373e-24,0.0,0.0,3.3744769889452604e-18,3.1704146993392774e-38,4.424865823421934e-18,6.127790688031546e-24,6.675143134990094e-16,5.3215630411492454e-36,2.1723695360754546e-25,2.9170962345463465e-21,1.2041507566024101e-30,2.6551912095008533e-24,1.1055016691197254e-20,3.036408498499302e-17,9.52250167347012e-08,3.2545425161051616e-14,6.4229685685300556e-24,3.3714071260062115e-49,2.9804832099551e-36,3.167174018049037e-30,6.19783195880911e-26,4.3079119571321355e-42,3.6067943198565226e-64,1.0512205003397071e-62,8.330717659323008e-40,6.130415301480699e-35,7.125844103937192e-29,4.342711217928809e-49,3.76,0.0,0.6116603150395382,0.9999999999968067,8.629231662026958e-25,2.78872682874457e-43,0.023068823164905446,0.023068632714806154
4.03710187223813e-09,0.8803432882311925,6.441515360948565e-17,8.03159361826738e-12,1.3680447844861017e-19,9.544870759652513e-24,0.0,0.0,9.209603633369148e-18,3.121082401509654e-37,1.3625784058505039e-17,1.919761995558341e-23,1.6579021982364158e-15,2.1528874989227022e-35,6.778243400647262e-25,7.260212009526079e-21,6.078604711214169e-30,8.311631452375886e-24,2.7556062646366536e-20,6.011551549639329e-17,1.5022942861745288e-07,6.438874523697038e-14,1.9883800635227255e-23,4.848745366120521e-48,1.8955615422982628e-35,1.6167471923148107e-29,1.9393447750657655e-25,3.558037039875313e-41,1.5544640079178176e-62,2.9316133345888512e-61,6.868184446595897e-39,3.062326619069202e-34,2.7983001451652e-28,8.091235024110271e-48,3.76,0.0,0.6058555130052601,0.9999999999959837,2.701225829686634e-24,3.069069010879221e-42,0.028873680203627773,0.028873379744639972
4.863965424816339e-09,0.8812765757219347,1.170131936934601e-16,9.676593582137245e-12,2.9571660548324736e-19,2.411011066963403e-23,0.0,0.0,2.1415506001659916e-17,1.9387486835078842e-36,3.402215534327029e-17,4.8522175722315667e-23,3.4698798721608564e-15,6.710861055906125e-35,1.7064331668856532e-24,1.5226703984055878e-20,2.230835216721284e-29,2.0991085515352808e-23,5.787946654139406e-20,1.0465969269517067e-16,2.175377684747891e-07,1.1202038653898177e-13,4.967715382377399e-23,3.4876361859692973e-47,8.193220291936915e-35,5.998344261748953e-29,4.893398963702943e-25,1.852433091059992e-40,2.184029883152209e-61,3.0474213145417253e-60,3.533439751505505e-38,1.112169211104144e-33,8.449722706346037e-28,7.005029749788523e-47,3.76,0.0,0.6001057999257806,0.9999999999951601,6.821940299948481e-24,1.9030856649097322e-41,0.0346234605914959,0.034623025515731196
