Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939)
7.035575409860976e-10,0.8706453710853644,0.0,1.861115459443187e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.4350879582064437e-15,3.3175951335818546e-24,0.0,8.874669346305962e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060622652813197,0.9975754034543547,0.0,0.0,0.0003780583914490838,0.00025076137508905303,6.271429491588204e-05,6.453981925008563e-05,0.0024245965272224625,1.2276695378918124e-08,5.820918036117228e-15,1.8331054172350957e-08,2.115646598666467e-17,3.449620733476345e-11,2.740014144705234e-25,2.568289102816851e-23,4.4428845671045837e-13,4.691102914494351e-25,4.1425166665063745e-14,5.74400831070634e-32
7.222592796501588e-10,0.8706470009138757,0.0,1.9263436637916657e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.6435597272280697e-15,3.6962652727473296e-24,0.0,1.0220901939416657e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060522193981069,0.9975511941435206,0.0,0.0,0.00038810495445638774,0.00025790833205235507,6.445179480376573e-05,6.569994045998056e-05,0.002448805837013113,1.2956489197254046e-08,6.303868368771478e-15,1.895538616130595e-08,2.2112176170393864e-17,3.648944280438512e-11,3.1593654963944044e-25,2.9348049339329404e-23,4.705464316129783e-13,5.411625729442935e-25,4.386750854079721e-14,6.791784463825643e-32
7.4096101831422e-10,0.8706486307184735,0.0,1.9924653350811494e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.863917012544717e-15,4.106906794407981e-24,0.0,1.1731124885456222e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060421736814122,0.9975280440398224,0.0,0.0,0.00039815137005823505,0.0002650743219352341,6.619208773012536e-05,6.683805332247583e-05,0.0024719559396364672,1.3655395627244882e-08,6.813100712673065e-15,1.9576445820273194e-08,2.308053950347709e-17,3.854274263337673e-11,3.6302999420751214e-25,3.3423234800237434e-23,4.976242605161767e-13,6.221168646332855e-25,4.6384302057315606e-14,7.997705299451457e-32
7.596627569782811e-10,0.870650260499167,0.0,2.0594834961329618e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.096513219818759e-15,4.551317831753741e-24,0.0,1.3420729422809215e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060321281312329,0.9975059068144135,0.0,0.0,0.00040819763830716587,0.0002722589811969922,6.793512068401425e-05,6.795457468634309e-05,0.0024940931639395904,1.4373464460023774e-08,7.349336219632248e-15,2.0193888881576727e-08,2.4061128266050385e-17,4.065629353543647e-11,4.157709261091734e-25,3.794235827680216e-23,5.255248457421288e-13,7.128220767320469e-25,4.897562894646673e-14,9.380956235866449e-32
7.783644956423423e-10,0.8706518902559639,0.0,2.1274010105831456e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.341702813074729e-15,5.031349310749905e-24,0.0,1.530616192960852e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060220827475661,0.9974847381403991,0.0,0.0,0.00041824375925477553,0.00027946195314601594,6.968084163784043e-05,6.904991354343724e-05,0.0025152618368173485,1.5110744541510287e-08,7.913297458967383e-15,2.080739650515217e-08,2.505352821794219e-17,4.283027403326474e-11,4.7468241379275225e-25,4.294121347462259e-23,5.542509481732075e-13,8.141863646295167e-25,5.1641554832300755e-14,1.0962546636506429e-31
7.970662343064035e-10,0.8706535199888727,0.0,2.1962205905979195e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.599841275719716e-15,5.548905080029598e-24,0.0,1.740496292510104e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060120375304093,0.9974644956196063,0.0,0.0,0.00042828973295172963,0.0002866828878305534,7.142919953229559e-05,7.012447115413359e-05,0.0025355043564422894,1.5867283787486825e-08,8.505708386274836e-15,2.14166741201958e-08,2.6057338341494395e-17,4.5064854825543934e-11,5.4032269553969e-25,4.845752279963698e-23,5.838051940780872e-13,9.271793875996113e-25,5.438213006073686e-14,1.2765417340354943e-31
8.157679729704646e-10,0.8706551496979018,0.0,2.2659448025899658e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.871285080415787e-15,6.105942013541328e-24,0.0,1.9735803197347847e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6060019924797596,0.9974451387244454,0.0,0.0,0.00043833555944777666,0.00029392144194630545,7.318014426354175e-05,7.117864115343888e-05,0.002554861250403792,1.664312919635367e-08,9.127294317019126e-15,2.2021450522294578e-08,2.707217059628867e-17,4.736019906027864e-11,6.132863494896521e-25,5.453097824759763e-23,6.141900801668074e-13,1.0528343753553529e-24,5.719739031330659e-14,1.4814542012575507e-31
8.344697116345258e-10,0.8706567793830584,0.0,2.3365760759670907e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.156391643191391e-15,6.704470165001483e-24,0.0,2.2318536122006506e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6059919475956143,0.9974266287105102,0.0,0.0,0.0004483812387917669,0.0003011772787003338,7.493362666436953e-05,7.22128097072724e-05,0.002573371263108322,1.74383268679141e-08,9.77878188763219e-15,2.262147650837832e-08,2.809764956837627e-17,4.9716462752456635e-11,6.942059779397148e-25,6.120330095400655e-23,6.454079813279583e-13,1.192251102360928e-24,6.008735754727339e-14,1.7137071636349885e-31
8.53171450298587e-10,0.8706584090443509,0.0,2.4081167116886313e-12,0.0,0.0,0.0,0.0,0.0,0.0,4.45551927858599e-15,7.346552917678136e-24,0.0,2.5174246224593e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6059819028779705,0.9974089285320819,0.0,0.0,0.00045842677103167016,0.0003084500676821728,7.668959848638267e-05,7.32273556604789e-05,0.0025910714402746994,1.8252922021165073e-08,1.0460899018668027e-14,2.3216523548369046e-08,2.913341215001892e-17,5.2133795191982854e-11,7.837537748975845e-25,6.851829681714966e-23,6.774611581958531e-13,1.3465986558053458e-24,6.305204091587214e-14,1.9762468677426785e-31
8.905749276267093e-10,0.8706616682953733,0.0,2.553934678203031e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.0972752816686474e-15,8.769903219184609e-24,0.0,3.179539827314446e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6059618139421769,0.997375817535718,0.0,0.0,0.0004785173943867949,0.00032304521185676514,8.020882189125827e-05,7.519905939218537e-05,0.002624182434019725,1.9940481347252532e-08,1.1919939852546641e-14,2.439086297116081e-08,3.1234395366551216e-17,5.7152232067596424e-11,9.916306123485535e-25,8.526229341547554e-23,7.440818514081972e-13,1.7051268314097552e-24,6.920553362954134e-14,2.605217672627561e-31
