Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58)
4.920839856842571e-17,0.8446254533318718,0.0,5.1183349738415294e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368256436,0.9999999996877462,0.0,0.0,1.7899453316990657e-11,1.0850047525138075e-11,2.8602342078493275e-12,4.1891715839376765e-12,3.122538397059733e-10,3.278617283743361e-23
9.841683885136311e-17,0.8446254533347134,0.0,1.0236674284422092e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368077442,0.9999999993754921,0.0,0.0,3.579892180685172e-11,2.1700104470106063e-11,5.720470852975385e-12,8.378346483507986e-12,6.245078945630274e-10,1.3114477585223985e-22
1.9683371941723789e-16,0.8446254533403966,0.0,2.0473352899190331e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695367719453,0.9999999987509842,0.0,0.0,7.159785878448276e-11,4.340021902641082e-11,1.1440944181099802e-11,1.6756695575922983e-11,1.2490158556271027e-09,5.245792791513994e-22
2.9525059998311266e-16,0.8446254533460803,0.0,3.0710031507565684e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695367361463,0.9999999981264763,0.0,0.0,1.0739679576002269e-10,6.510033424908432e-11,1.7161417547096513e-11,2.513504396161241e-11,1.873523668041181e-09,1.1147310856157766e-21
4.920843611148622e-16,0.844625453357447,0.0,5.118338869874485e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695366645485,0.9999999968774613,0.0,0.0,1.7899466970273819e-10,1.0850056735990582e-10,2.8602364430579088e-11,4.189173790608949e-11,3.1225386982696307e-09,3.081903958367069e-21
6.692347461334369e-16,0.8446254533676774,0.0,6.960941015015056e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695366001104,0.9999999957533484,0.0,0.0,2.4343275624442574e-10,1.475607793126985e-10,3.88992167480797e-11,5.697276017267168e-11,4.24665174518382e-09,5.487958126640393e-21
8.463851311520115e-16,0.8446254533779073,0.0,8.80354315796928e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695365356723,0.9999999946292359,0.0,0.0,3.078708427789618e-10,1.866209935444536e-10,4.91960691951025e-11,7.205378002227216e-11,5.370764283719623e-09,8.566780426494484e-21
1.023535516170586e-15,0.8446254533881372,0.0,1.0646145298858268e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695364712341,0.9999999935051237,0.0,0.0,3.723089293067425e-10,2.2568120992893002e-10,5.949292176447272e-11,8.713479758877758e-11,6.494876342038358e-09,1.2281103567012141e-20
1.3778362862077352e-15,0.8446254534085976,0.0,1.4331349575926512e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.560169536342358,0.9999999912569008,0.0,0.0,5.011851023468984e-10,3.0380164760712327e-10,8.008662718222414e-11,1.1729682751523303e-10,8.743099363550203e-09,2.1158997948511973e-20
1.7321370562448844e-15,0.8446254534290579,0.0,1.8016553845360813e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695362134819,0.9999999890086795,0.0,0.0,6.300612753620839e-10,3.819220932426481e-10,1.0068033305222126e-10,1.474588490024427e-10,1.0991320609985986e-08,3.2385962412914736e-20
