Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126)
4.227465276765547e-12,0.5297641357785366,0.0,1.3466069328600261e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124702581338,1.0,0.0,0.0,1.2539749117419013e-10,8.046997619814458e-11,3.168593019876081e-11,1.324158477728474e-11
5.28433338779333e-12,0.5297641357816937,0.0,1.6832592368424209e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124702267843,1.0,0.0,0.0,1.567469171135726e-10,1.0058956490676236e-10,3.960743494604485e-11,1.6549917260765413e-11
7.398069609848897e-12,0.5297641357880077,0.0,2.3565638448072104e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124701640855,1.0,0.0,0.0,2.194457689864149e-10,1.4083137041738432e-10,5.545045562273721e-11,2.3163942946293362e-11
9.511805831904465e-12,0.5297641357943217,0.0,3.029868452772e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124701013867,1.0,0.0,0.0,2.821446208514032e-10,1.8107665980860798e-10,7.12934911227933e-11,2.977446992000196e-11
1e-11,0.5297641358069498,0.0,3.185376684844875e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124700869056,1.0,0.0,0.0,2.9662571527795696e-10,1.9037231415151293e-10,7.495264305704085e-11,3.130075806940316e-11
1.37392782760156e-11,0.5297641358069498,0.0,4.376477668701578e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.500612469975989,1.0,0.0,0.0,4.0754232455782154e-10,2.615776792628438e-10,1.0297960654631584e-10,4.298503874866194e-11
2.2194223164237872e-11,0.5297641358322058,0.0,7.069696100560736e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124697251936,1.0,0.0,0.0,6.583377318764251e-10,4.2262141958731474e-10,1.6635201482627e-10,6.936429746284047e-11
3.064916805246014e-11,0.529764135857462,0.0,9.762914532419894e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124694743982,1.0,0.0,0.0,9.091331390693855e-10,5.837206810314558e-10,2.2972465933973586e-10,9.568779869819377e-11
3.910411294068241e-11,0.529764135882718,0.0,1.2456132964279052e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124692236028,1.0,0.0,0.0,1.1599285461367029e-09,7.44875351691913e-10,2.9309753961052144e-10,1.2195565483426828e-10
4.755905782890468e-11,0.529764135907974,0.0,1.514935139613821e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124689728074,1.0,0.0,0.0,1.410723953078377e-09,9.0608531625758e-10,3.564706551479334e-10,1.4816798167286387e-10
6.446894760534922e-11,0.5297641359584863,0.0,2.0535788259856522e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124684712167,1.0,0.0,0.0,1.912314766584797e-09,1.2286707010307897e-09,4.832175902095273e-10,2.004264753444803e-10
8.137883738179376e-11,0.5297641360089983,0.0,2.592222512357484e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124679696259,1.0,0.0,0.0,2.413905579588646e-09,1.5514759149939277e-09,6.099654606080416e-10,2.524642039866769e-10
9.828872715823829e-11,0.5297641360595106,0.0,3.1308661987293158e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124674680351,1.0,0.0,0.0,2.9154963920899235e-09,1.87449999292827e-09,7.367142622360967e-10,3.042821369255566e-10
