Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863)
2.147769008201191e-16,0.6790127296937918,0.0,1.3401773962842162e-22,0.0,0.0,0.0,0.0,0.0,0.0,4.991811971631972e-38,1.9629674827321295e-54,0.0,7.078442235458054e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323028274,0.9999999996597445,0.0,0.0,1.759288811540697e-12,1.1119761663532291e-12,3.4302456659980897e-13,3.0428807858419243e-13,3.402554168036319e-10,8.724855656418546e-26,1.8427430927360847e-40,3.286819276647304e-24,3.211405230377829e-32,1.0435302423657928e-26,1.1763879449791022e-65,7.147391798190734e-64,1.208824063470853e-29,7.775377746660638e-66
4.295539837090273e-16,0.6790127296940156,0.0,2.680356169808986e-22,0.0,0.0,0.0,0.0,0.0,0.0,3.993453053812825e-37,3.140750858875045e-53,0.0,2.2651047117080604e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323010682,0.9999999993194892,0.0,0.0,3.5185791144433365e-12,2.2239533212508426e-12,6.860494255333236e-13,6.085763676453049e-13,6.805108645858079e-10,3.4899445419742455e-25,1.4741955902309193e-39,1.3147279341309797e-23,1.2845626094689019e-31,4.174124199351853e-26,3.764463779148424e-64,2.287177930368318e-62,4.8353005391036946e-29,2.488136512444167e-64
6.4433106659793545e-16,0.6790127296942391,0.0,4.0205351242018097e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.1418782937930612e-36,1.1560051624173778e-52,0.0,1.0596667318085905e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322993089,0.9999999989792339,0.0,0.0,5.277869417340782e-12,3.335930510580747e-12,1.0290742856277866e-12,9.128646211027832e-13,1.0207661192731995e-09,7.416133627422275e-25,4.2152788559015454e-39,2.79379648297772e-23,2.7296956401933154e-31,8.870016538205014e-26,1.664231994941919e-63,1.0111384231712933e-61,1.0275017591851268e-28,1.0999805645400413e-63
8.591081494868436e-16,0.6790127296944628,0.0,5.360714259462794e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.4085524716967674e-36,2.9318798569595213e-52,0.0,3.4185626292771545e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322975496,0.9999999986389788,0.0,0.0,7.037159720233033e-12,4.447907734342939e-12,1.3720991468831983e-12,1.2171528389566317e-12,1.3610211808659162e-09,1.2651052861728416e-24,8.89124493384653e-39,4.765887172311386e-23,4.656539443093991e-31,1.5131207746816502e-25,5.68713917438654e-63,3.4553381337777794e-61,1.7527976262639055e-28,3.758936933663424e-63
1.28866231526466e-15,0.6790127296949101,0.0,8.041072954471661e-22,0.0,0.0,0.0,0.0,0.0,0.0,6.578505423102819e-36,1.0252928074329837e-51,0.0,1.8817377442669098e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.581217832294031,0.9999999979584692,0.0,0.0,1.0555740326005345e-11,6.67186226267778e-12,2.058148872118696e-12,1.825729191104802e-12,2.0415308508703106e-09,2.6192400986658277e-24,2.4284750393125144e-38,9.867160082983394e-23,9.640772284307957e-31,3.13272526489119e-25,3.496883078554259e-62,2.1246026406382587e-60,3.628946469985197e-28,2.311278953573263e-62
1.7182164810424763e-15,0.6790127296953574,0.0,1.0721432314598285e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.3764436489363214e-35,2.561927958293076e-51,0.0,6.038999507253132e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322905124,0.9999999972779602,0.0,0.0,1.4074320931758554e-11,8.895816917632389e-12,2.7441986016234146e-12,2.434305412325761e-12,2.7220398107976284e-09,4.4546416966786074e-24,5.081182475686602e-38,1.6781447905434404e-22,1.6396426169187616e-30,5.327946453850686e-25,1.1739152731270487e-61,7.132360259886071e-60,6.171889952284772e-28,7.75904146519649e-62
2.577324812598109e-15,0.6790127296962519,0.0,1.60821532188701e-21,0.0,0.0,0.0,0.0,0.0,0.0,4.3463866255795914e-35,1.1863985805565454e-50,0.0,4.615008473614494e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322834752,0.9999999959169446,0.0,0.0,2.1111482143202252e-11,1.3343726643316496e-11,4.116298074651473e-12,3.651457424848658e-12,4.083055399011879e-09,9.70575695794144e-24,1.604480931083474e-37,3.656331415977277e-22,3.572445435475666e-30,1.1608514896470475e-24,9.067793963231285e-61,5.509316451193895e-59,1.34473017653701e-27,5.9934005549678885e-61
3.4364331441537415e-15,0.6790127296971465,0.0,2.1442877002126046e-21,0.0,0.0,0.0,0.0,0.0,0.0,9.88601979843547e-35,3.4402440592172837e-50,0.0,1.7386524682493622e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322764381,0.999999994555932,0.0,0.0,2.814864335456327e-11,1.7791636917076125e-11,5.488397566158916e-12,4.868608870651202e-12,5.44406791365548e-09,1.704004441926216e-23,3.6494511122343526e-37,6.419280884036141e-22,6.2720093394140735e-30,2.0380655160362404e-24,3.491169981885738e-60,2.121127630514781e-58,2.3608956095708754e-27,2.3075061166731699e-60
5.154649807265007e-15,0.6790127296989358,0.0,3.216433324541412e-21,0.0,0.0,0.0,0.0,0.0,0.0,3.300740465883498e-34,1.7481343923934044e-49,0.0,1.390570304086687e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322623638,0.9999999918339162,0.0,0.0,4.222296577703612e-11,2.6687459116395386e-11,8.232596604867308e-12,7.302910054264145e-12,8.166083679787849e-09,3.7986928091300954e-23,1.2184764547068036e-36,1.4310301119563901e-21,1.3982011920447591e-29,4.543410238490029e-24,2.7659182768340988e-59,1.6804835980944202e-57,5.263091632831375e-27,1.82815022367209e-59
8.591083133487537e-15,0.6790127297025141,0.0,5.360728044815842e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.5520927680415797e-33,1.446732232997858e-48,0.0,1.9968508701245887e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178322342152,0.9999999863899218,0.0,0.0,7.037161062098483e-11,4.4479110123908704e-11,1.3720994905114585e-11,1.2171505587789728e-11,1.3610078150225855e-08,1.0500033682499379e-22,5.729579637698419e-36,3.955515179075802e-21,3.864783461374454e-29,1.2558541936577696e-23,3.874480998386866e-58,2.353999965039563e-56,1.4547852825977218e-26,2.5608705111357362e-58
