Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248)
0.0002633756026565935,0.42002963985573327,3.76,0.0,0.7129220168904484,0.8662132173039625,0.10129957159308084,0.0,1.5245869454059543e-05,0.09355914718249216,5.0409107040059574e-05,0.005767613589385711,1.5923942023922825e-11,6.275331627132367e-13,3.083109274996073e-05,8.941881486140833e-06,0.0329062385826675,0.03371150587583387,0.00015338581160980665,8.876778189683014e-07,2.709642401455682e-05,3.323902721568413e-05,0.09187565889156744,0.0018543308136212112,0.017677926316229678,3.726102445508109e-05,0.007114005879880255,0.012221445550694602,5.123109427303953e-08,5.7121081609100593e-08,0.0008918004241843671,1.4653638506104358e-05,0.004936055125851151,3.7517670245655404e-07,1.4472100723562076e-06,6.49221431022972e-05,0.00031347386528606956,6.256339332964109e-09,2.0502189422334657e-10,3.591413342412141e-06,3.7125975200554796e-07,1.4571955430088877e-05,0.002377478183348706,3.22441240684339e-09,4.0396910333967256e-08,2.0137516689116337e-07,5.50661344276503e-08,3.783413503124558e-12,5.110960674139982e-05,7.0705923734013166e-12,1.4586593903341578e-07,7.554049329730072e-07,1.0213899877972912e-07,1.1861088324882046e-06,0.00031110052729905807,7.932731670886936e-09,7.71430694174337e-09,1.0048594487557123e-08,1.3824202414220398e-06,2.8047587396017406e-11,1.665220360021533e-11,1.793443778141121e-15
0.0002657333251336272,0.4200738752702164,3.76,0.0,0.7112198781042034,0.8650638113193184,0.10214620951067835,0.0,1.5256279902697732e-05,0.09446278094175962,5.03632488302429e-05,0.00575833730955443,1.5886675876796062e-11,6.260644397953414e-13,3.086634980246363e-05,8.935861691247058e-06,0.03313514165293041,0.0340003095055948,0.0001527322398016774,8.877278737564388e-07,2.714150048444058e-05,3.313804218500784e-05,0.09267302059769456,0.0018705362356719426,0.01775171584421221,3.7516429781677266e-05,0.007196746186950383,0.012322338516177632,5.107587530321028e-08,5.743026315912066e-08,0.0008966121503414565,1.4555945642473937e-05,0.005009508464843314,3.741155082340184e-07,1.4619855820449308e-06,6.471211512219087e-05,0.00031305790677361507,6.320192171062836e-09,2.0668697548495837e-10,3.6218073584603014e-06,3.748292388032436e-07,1.4724518108343027e-05,0.002420926221394463,3.253505306749351e-09,4.125028466261381e-08,2.0531306981100987e-07,5.613169658040306e-08,3.858568536566627e-12,5.2468565340180295e-05,7.123958423534849e-12,1.4895034233607476e-07,7.594084006787399e-07,1.041059838044812e-07,1.2073518798966169e-06,0.0003160028755156618,8.084180752849403e-09,7.783641272577924e-09,1.0213931812356903e-08,1.3964993950971383e-06,2.827560600111868e-11,1.6812971150787963e-11,1.819096180376334e-15
0.0002680910476106609,0.42011814631871874,3.76,0.0,0.7095214795591548,0.8639157974418096,0.10299107028390748,0.0,1.5266712343316345e-05,0.09536707078610553,5.031739179902219e-05,0.005749087047257602,1.5849480565080825e-11,6.245985089173145e-13,3.090150458318954e-05,8.929816305675125e-06,0.03336286989984281,0.03428890119639838,0.0001520889691940168,8.877756987381199e-07,2.718636874282267e-05,3.3037420224067934e-05,0.09346929403272236,0.0018866900673717673,0.017824348455238573,3.776983525058402e-05,0.007279349808486342,0.01242267340136275,5.0921214405587054e-08,5.773537178080672e-08,0.0009014168101640376,1.445969807116923e-05,0.0050834278556803995,3.730580503043217e-07,1.4766880207885616e-06,6.450262990914385e-05,0.00031264245205069567,6.383729118731196e-09,2.083422008555979e-10,3.652051941129714e-06,3.7838955701987915e-07,1.4876958250958825e-05,0.0024646835016857234,3.282480463961065e-09,4.211232392029954e-08,2.0928614661682642e-07,5.7206377984043346e-08,3.9344012343281786e-12,5.38486214800547e-05,7.1770621398680425e-12,1.5206918377191543e-07,7.634053439138884e-07,1.0609194455220045e-07,1.22875487830036e-06,0.00032093369869288233,8.23708637411504e-09,7.853039415736003e-09,1.0380124134370968e-08,1.4105407583423071e-06,2.8501350755126602e-11,1.697388738610629e-11,1.8448346948640674e-15
0.0002704487700876946,0.4201624521047147,3.76,0.0,0.7078268110486512,0.8627691733819722,0.10383415758585533,0.0,1.527716627140591e-05,0.09627200643344837,5.027153615841803e-05,0.00573986253345899,1.5812356062451103e-11,6.231353690550716e-13,3.0936557161901756e-05,8.923744697308565e-06,0.03358942683013957,0.034577280197892524,0.00015145585325799916,8.878211679913984e-07,2.723102570172322e-05,3.293715883497411e-05,0.09426448198740778,0.0019027922582664468,0.01789583741826815,3.8021247789059305e-05,0.007361811797440986,0.012522446855161453,5.076710775249437e-08,5.8036433365951995e-08,0.0009062139348095281,1.4364872148889754e-05,0.00515781369069766,3.720042953887802e-07,1.4913165886754525e-06,6.429375683576465e-05,0.00031222750028877616,6.4469467217575394e-09,2.0998750694727756e-10,3.682145950122003e-06,3.8194052258889635e-07,1.5029267849252328e-05,0.002508747050445154,3.311336445350626e-09,4.298298821091804e-08,2.1329421940718026e-07,5.8290122292701996e-08,4.01090697906005e-12,5.524982283885208e-05,7.229900069630539e-12,1.552224042459292e-07,7.673952954879789e-07,1.080968244121213e-07,1.2503163852366065e-06,0.00032589275514655053,8.391443961857094e-09,7.922500921883457e-09,1.0547154479393286e-08,1.4245444234577946e-06,2.872481982180678e-11,1.7134950253446283e-11,1.870657383982377e-15
0.00027280649256472827,0.42020679174178793,3.76,0.0,0.7061358625721401,0.8616239369590721,0.10467547504499579,0.0,1.5287641214571824e-05,0.09717757753994635,5.0225682104932434e-05,0.005730663510588612,1.5775302339392023e-11,6.216750190422786e-13,3.0971507720726605e-05,8.91764625817987e-06,0.03381481596355283,0.034865445737168654,0.0001508327464422325,8.878641600733496e-07,2.7275468463628372e-05,3.283725559278727e-05,0.09505858716865762,0.0019188427614850877,0.01796619580925429,3.8270674526365553e-05,0.007444127341928114,0.012621655638319754,5.06135516141138e-08,5.833347389341358e-08,0.000911003056911623,1.4271444504501388e-05,0.005232666317268656,3.709542113566907e-07,1.505870518867117e-06,6.408556047349813e-05,0.0003118130506986692,6.509841668704621e-09,2.1162283250926992e-10,3.712088312183614e-06,3.8548195711846464e-07,1.518143900302191e-05,0.0025531138814339363,3.3400718082106206e-09,4.3862236485379606e-08,2.1733711243759534e-07,5.938287342643065e-08,4.088081117394538e-12,5.667221362528214e-05,7.282468898021809e-12,1.5840994211215603e-07,7.7137779270263e-07,1.1012057460338008e-07,1.272034953194446e-06,0.00033087979729742113,8.5472496617027e-09,7.992025376866228e-09,1.0715005858328453e-08,1.4385104984378987e-06,2.8946011955542043e-11,1.7296157827899425e-11,1.89656228615686e-15
0.00027516421504176195,0.42025116434487125,3.76,0.0,0.7044486242799697,0.8604800860725357,0.1055150262585105,0.0,1.529813635467594e-05,0.09808377371675533,5.017982982210813e-05,0.005721489730488931,1.5738319363056273e-11,6.202174575870593e-13,3.100635633385926e-05,8.91152039885427e-06,0.03403904083000837,0.03515339702464899,0.00015021950393034273,8.879045570213024e-07,2.7319694267259124e-05,3.273770813741122e-05,0.09585161222165763,0.0019348415328817904,0.018035436558146215,3.8518122598445325e-05,0.007526291731541791,0.012720296597684335,5.046054236566341e-08,5.862651929285167e-08,0.0009157837107496907,1.4179391980615207e-05,0.005307986047868516,3.699077672900507e-07,1.520349070450937e-06,6.387810187749723e-05,0.0003113991025201974,6.572410760345061e-09,2.132481174401528e-10,3.7418779626296403e-06,3.8901368161754226e-07,1.53334639111583e-05,0.0025977809993811478,3.3686851443744427e-09,4.4750026817423225e-08,2.2141464350212841e-07,6.048457354965542e-08,4.165918902901317e-12,5.811583536938127e-05,7.334765421982023e-12,1.6163173134008545e-07,7.753523738507434e-07,1.121631346716821e-07,1.2939091237932984e-06,0.0003358945730257409,8.704498961435169e-09,8.061612240303196e-09,1.0883661319398053e-08,1.4524391024622666e-06,2.916492613025911e-11,1.745750794342578e-11,1.9225474243413387e-15
0.00027752193751879564,0.420295569042223,3.76,0.0,0.7027650864922057,0.8593376187115057,0.1063528147880783,0.0,1.5308651074379227e-05,0.09899058452506346,5.0133979481077445e-05,0.005712340954499312,1.5701407097489235e-11,6.187626832770985e-13,3.104110309239063e-05,8.905366550092622e-06,0.03426210497089789,0.03544113325213923,0.00014961598200831909,8.879422446290097e-07,2.7363700496218213e-05,3.263851417718248e-05,0.0966435597222502,0.0019507885314028277,0.018103572429920653,3.876359918992651e-05,0.00760830037045776,0.012818366677860446,5.0308076489147234e-08,5.8915595530169836e-08,0.0009205554327858063,1.4088691684589331e-05,0.0053837731551228465,3.6886493353447433e-07,1.5347515309294218e-06,6.367143821749004e-05,0.00031098565502565053,6.634650920046756e-09,2.148633031199825e-10,3.7715138551282478e-06,3.925355193610834e-07,1.548533480604617e-05,0.002642745399065523,3.397175076345855e-09,4.5646316279248835e-08,2.255266270093443e-07,6.15951641983952e-08,4.244415514913207e-12,5.9580726545069064e-05,7.386786556691094e-12,1.6488770144843712e-07,7.79318579785169e-07,1.1422444282272603e-07,1.3159374195952142e-06,0.0003409368250807928,8.863187056981574e-09,8.13126098800701e-09,1.1053103832714576e-08,1.466330366966985e-06,2.938156203657621e-11,1.7618998454900727e-11,1.948610801695734e-15
0.00027987965999582933,0.4203400049575657,3.76,0.0,0.7010852397300191,0.8581965329718261,0.10718884415479023,0.0,1.5319184897414125e-05,0.09989799946746843,5.008813123667291e-05,0.005703216955656812,1.566456550240937e-11,6.173106945271531e-13,3.107574814503761e-05,8.899184167299164e-06,0.03448401194173469,0.035728653589296167,0.00014902203811009487,8.879771135065873e-07,2.740748472749013e-05,3.2539671505318664e-05,0.09743443216413486,0.001966683719672455,0.018170615988957178,3.9007111606121135e-05,0.007690148800916112,0.0129158629439443,5.015615059513663e-08,5.920072864586319e-08,0.0009253177626395384,1.3999321045929768e-05,0.005460027862256573,3.678256819749893e-07,1.549077222533144e-06,6.346562206291403e-05,0.0003105727075259327,6.696559221204308e-09,2.1646833286654272e-10,3.8009949901245786e-06,3.9604729832602716e-07,1.56370440270362e-05,0.0026880040635301377,3.425540255259182e-09,4.6551060743288236e-08,2.296728770073466e-07,6.27145868380437e-08,4.323566057738252e-12,6.106692185481591e-05,7.438529364166455e-12,1.6817777800839407e-07,7.832759560508144e-07,1.1630444034430611e-07,1.3381183506046678e-06,0.00034600628989282263,9.023309345350685e-09,8.200971138750038e-09,1.1223316309786512e-08,1.4801844375267927e-06,2.9595920177800014e-11,1.778062731681859e-11,1.974750390929835e-15
0.000282237382472863,0.42038447125499395,3.76,0.0,0.6994090746259277,0.8570568270075068,0.10802311785665007,0.0,1.5329737330746008e-05,0.10080600801495015,5.004228523994365e-05,0.005694117511797328,1.5627794537940654e-11,6.158614897680944e-13,3.111029168397969e-05,8.892972718312961e-06,0.034704765305551,0.0360159571937862,0.00014843753110142278,8.880090559153166e-07,2.7451044610798195e-05,3.244117793704591e-05,0.09822423199534068,0.001982527062681232,0.018236579689093757,3.9248667259387454e-05,0.007771832641532228,0.01301278252685215,5.000476132684786e-08,5.9481944670363386e-08,0.0009300702422858116,1.3911257716925831e-05,0.005536750365123145,3.667899847599108e-07,1.5633254834786341e-06,6.326070361346758e-05,0.0003101602593529981,6.758132805943413e-09,2.180631512436289e-10,3.830320398776923e-06,3.9954884973219043e-07,1.578858399906618e-05,0.002733553969683689,3.4537793539046584e-09,4.746421541852299e-08,2.33853205804284e-07,6.384278247388161e-08,4.403365600929133e-12,6.257445390302731e-05,7.489990969243699e-12,1.715018841929136e-07,7.872240526277576e-07,1.1840306906648146e-07,1.36045042780232e-06,0.00035110270062281324,9.184861314746873e-09,8.270742223919733e-09,1.139428181873657e-08,1.494001467098945e-06,2.980800115368873e-11,1.7942392531289945e-11,2.0009641694497038e-15
0.0002845951049498967,0.4204289670672484,3.76,0.0,0.6977365819486201,0.8559184990451607,0.10885563936512062,0.0,1.534030774083949e-05,0.1017145995995204,4.999644163109778e-05,0.005685042409238372,1.5591094160514455e-11,6.144150672861783e-13,3.114473383498718e-05,8.88673168974367e-06,0.034924368635431774,0.03630304320824153,0.00014786232082348338,8.880379680085585e-07,2.7494377933383815e-05,3.234303135594455e-05,0.09901296160781908,0.0019983185278719022,0.018301475844245314,3.948827355861702e-05,0.007853347606882359,0.013109122642671963,4.985390543484174e-08,5.975926954683633e-08,0.000934812416393811,1.3824479598243316e-05,0.0056139408243438245,3.657578153661938e-07,1.5774956780390994e-06,6.305672998835618e-05,0.0003097483098650749,6.81936892950929e-09,2.1964770380079284e-10,3.859489126509566e-06,4.030400054172921e-07,1.593994721623981e-05,0.002779392086727463,3.4818910739199695e-09,4.838573463395475e-08,2.3806742125943817e-07,6.497969097579313e-08,4.483809096657557e-12,6.410335260024744e-05,7.541168612168211e-12,1.7485993839505842e-07,7.911624211744838e-07,1.2052026334711902e-07,1.3829321481222473e-06,0.00035622578596228234,9.347837965655262e-09,8.340573714744256e-09,1.156598338833005e-08,1.5077816178591933e-06,3.001780603981413e-11,1.8104291981199445e-11,2.0272500971510927e-15
