Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179)
1.9683124697843883e-05,0.6929842990889044,6.129855645726211e-05,2.9580886743456297e-05,3.232530871699405e-05,0.004018466232873442,0.0,0.0,0.0001794685868317231,9.241983627519854e-06,1.277779222009678e-07,0.00532377113945001,7.821021896090619e-14,1.1985633773563111e-14,1.1335114824336529e-13,4.098122081583867e-15,7.083986959267956e-15,9.695641833949275e-14,3.9477497879906325e-21,1.8633625125314284e-28,3.693853879106932e-25,1.4189402645014687e-29,9.890679281355372e-17,8.75179601588666e-18,1.572953201058568e-18,4.0849918201332525e-22,4.3831803912042064e-27,2.1729177989051194e-26,4.163898347829467e-28,4.714317282484919e-30,1.3772981019285392e-19,1.2541198989813009e-27,4.520115798308906e-27,3.6233106878403883e-26,3.76,0.0,0.5893578993734566,0.9893729530997535,0.006154632091460402,7.521902210455096e-17,0.00014578027831357935,0.010891033278951216,0.011174431592840142,8.057967142555992e-10,7.92005462061417e-12,1.9191072332956695e-05,4.372703267380244e-06,1.7375095755078924e-05,0.0039393303520476606,8.263598248713334e-05,0.00073055295878308
2.0067383188954786e-05,0.6930059679847953,6.13675346861822e-05,2.962730385470411e-05,3.2735046365112125e-05,0.004096969659512508,0.0,0.0,0.0001803415474327297,9.347680731069128e-06,1.3301965548963867e-07,0.005428156763375429,7.810423480674478e-14,1.2312823102219654e-14,1.134039589484116e-13,4.181571473012583e-15,7.364814525370621e-15,1.0125428013807731e-13,4.082083952215213e-21,1.9244007871748846e-28,3.874848555785197e-25,2.0509028967875185e-29,1.0090747783807261e-16,9.398243561933868e-18,1.6406157993255048e-18,4.405697526555702e-22,4.561083350349248e-27,2.3545534744254364e-26,4.59256038960783e-28,5.101687688656484e-30,1.4477155054839043e-19,1.357226980931711e-27,4.7173083131664224e-27,3.832744299739453e-26,3.76,0.0,0.5888498749898281,0.9890933807731077,0.006352177246098806,8.06357806534084e-17,0.00014567650283429375,0.011101834984079012,0.011344860685304672,8.049696062693434e-10,7.91192755390026e-12,1.9171377286355678e-05,4.366933591568333e-06,1.7635206761837296e-05,0.004089259060693726,8.47736579729421e-05,0.0007710536596445035
2.045164168006569e-05,0.6930274567246593,6.143679808960174e-05,2.967396525044878e-05,3.31394807756614e-05,0.004175347922174866,0.0,0.0,0.0001811446848028695,9.447972922757e-06,1.3836892934081013e-07,0.005532435249130636,7.80029743802685e-14,1.2642914855093603e-14,1.1345770646950157e-13,4.265049652379838e-15,7.650777714923025e-15,1.0565511291467864e-13,4.21873045499209e-21,1.7506827412041568e-28,4.061911128073134e-25,5.095317273679686e-29,1.0290825623385178e-16,1.007852735235141e-17,1.7093527750861413e-18,4.744818236937374e-22,4.7424940263507944e-27,2.5473197993561485e-26,5.055382211599132e-28,5.512142654332298e-30,1.5199851258558785e-19,1.4665254929491694e-27,4.919293708798882e-27,4.049639718279751e-26,3.76,0.0,0.5883399609847426,0.988811761651836,0.00655199041911833,8.63142245248192e-17,0.00014557316207741724,0.011312436379628088,0.01151264353164926,8.041438132195676e-10,7.903813552576712e-12,1.915171362730128e-05,4.361179733177836e-06,1.7891001578956775e-05,0.004241391593850929,8.692463484522441e-05,0.0008127691716995544
2.0835900171176592e-05,0.6930487654534545,6.15063386908945e-05,2.9720866239236588e-05,3.353861440495952e-05,0.004253600798147768,0.0,0.0,0.00018188050488075741,9.54295192192393e-06,1.4382588699956036e-07,0.005636606768333219,7.790637403938833e-14,1.2975881481282453e-14,1.1351237072514749e-13,4.348557851108244e-15,7.941863404882558e-15,1.1015938730083022e-13,4.3577016029100725e-21,1.5765632728015728e-28,4.255028886331133e-25,7.572348185365933e-29,1.049091563204321e-16,1.07937022382603e-17,1.779135662815191e-18,5.103041388573425e-22,4.927409610100448e-27,2.751659959420454e-26,5.554319207274033e-28,5.9465611125106156e-30,1.5941013574364873e-19,1.5822556953853453e-27,5.126126687676458e-27,4.2741047103082366e-26,3.76,0.0,0.5878281940101819,0.9885281303807224,0.006754033642157047,9.22607062496014e-17,0.00014547025290633653,0.011522837525812428,0.01167778450812587,8.033193477984522e-10,7.895712729538219e-12,1.91320816347766e-05,4.355441674123557e-06,1.814248992853276e-05,0.0043956910738512526,8.908863263583864e-05,0.0008556974705866632
2.1220158662287495e-05,0.6930698944239051,6.157614855250127e-05,2.9768002142594154e-05,3.393245342279914e-05,0.004331728081735115,0.0,0.0,0.00018255148764183187,9.632715314321309e-06,1.4939067226461668e-07,0.005740671494020607,7.781437005955062e-14,1.331169530640238e-14,1.1356793159722371e-13,4.4320972414512075e-15,8.238058835920157e-15,1.1476756343816204e-13,4.499009766297824e-21,2.623612581708673e-28,4.453687964084772e-25,-2.906794595013518e-29,1.0691020502681933e-16,1.1544832428893741e-17,1.849936593713423e-18,5.481067027619485e-22,5.115828958078368e-27,2.968015426878657e-26,6.091396242986156e-28,6.405834563510766e-30,1.6700582399483077e-19,1.704662327630687e-27,5.3378610399958546e-27,4.5062467847745095e-26,3.76,0.0,0.5873146105636832,0.9882425215139602,0.006958269059913882,9.848157271517888e-17,0.0001453677719907801,0.011733038486881798,0.011840289663062812,8.024962212989613e-10,7.887625184271381e-12,1.911248155528763e-05,4.349719389870354e-06,1.838968420626318e-05,0.004552120719491669,9.126537229131967e-05,0.0008998357222550155
2.1604417153398398e-05,0.693090843992815,6.16462197797809e-05,2.9815368298312327e-05,3.432100757586293e-05,0.004409729583907524,0.0,0.0,0.00018316008365694072,9.717365931934951e-06,1.5506342943824763e-07,0.005844629600476365,7.772689871564148e-14,1.365032855117462e-14,1.1362436894499268e-13,4.515668936949369e-15,8.539351599696502e-15,1.1948009099858078e-13,4.642667374268187e-21,2.6510950940610943e-28,4.658122547765311e-25,-1.819844751992146e-30,1.0891142790306349e-16,1.2332991196839703e-17,1.9217283540920072e-18,5.879607823380498e-22,5.3077580505423674e-27,3.196829164755774e-26,6.668708668950996e-28,6.890868899471498e-30,1.7478495211290343e-19,1.8339946108187045e-27,5.554550150321962e-27,4.7461732370966156e-26,3.76,0.0,0.5867992469695049,0.9879549694966481,0.007164658953590241,1.0498316655823993e-16,0.00014526571581614242,0.011943039330928896,0.012000166655819027,8.016744436583751e-10,7.8795510032935e-12,1.909291360392039e-05,4.344012849707345e-06,1.8632599380343342e-05,0.004710643868406506,9.345457631741883e-05,0.0009451803117771048
2.19886756445093e-05,0.6931116146173433,6.171654452480895e-05,2.986296006376199e-05,3.470429005068368e-05,0.004487605131940384,0.0,0.0,0.00018370871091125828,9.797011262100183e-06,1.6084430327678395e-07,0.005948481263062262,7.764389635951311e-14,1.399175334951632e-14,1.1368166261903394e-13,4.5992739929087396e-15,8.845729625668774e-15,1.242974092092547e-13,4.788686909761883e-21,2.2364494264655904e-28,4.868810025306679e-25,4.2436176830911226e-29,1.1091284913223711e-16,1.3159260587261854e-17,1.994484437376093e-18,6.299389084593788e-22,5.503209163705702e-27,3.4386105441739715e-26,7.288423325081779e-28,7.402588746045718e-30,1.8274687163498964e-19,1.9705062501539595e-27,5.776252365702685e-27,4.993991191086071e-26,3.76,0.0,0.5862821393605983,0.9876655086469143,0.0073731657633477905,1.11771827708391e-16,0.0001451640806928234,0.012152840129701576,0.012157424695305168,8.008540235031271e-10,7.87149026059799e-12,1.907337796541429e-05,4.338322017022479e-06,1.887125288979892e-05,0.004871223998571922,9.565596891718377e-05,0.000991726872412626
2.2372934135620204e-05,0.6931322068512489,6.178711499011232e-05,2.991077281917124e-05,3.5082317336474366e-05,0.004565354569041312,0.0,0.0,0.00018419975187905865,9.871762885213764e-06,1.667334389417996e-07,0.00605222665805617,7.75652994932023e-14,1.4335941766165488e-14,1.1373979247500924e-13,4.682913406939624e-15,9.157181167494691e-15,1.2921994688216028e-13,4.937080905202636e-21,2.4002112229447066e-28,5.086324594152271e-25,2.2607492060700775e-29,1.129144915438484e-16,1.402473113123659e-17,2.0681790899399517e-18,6.741148769400324e-22,5.70217267791779e-27,3.693799598221186e-26,7.952779541632916e-28,7.941933869190175e-30,1.9089091651062505e-19,2.114455437501147e-27,6.003026907115692e-27,5.249807639267167e-26,3.76,0.0,0.5857633236613656,0.9873741731386811,0.0075837521097845695,1.188538950655956e-16,0.00014506286276554285,0.012362440958420332,0.012312074478241916,8.000349681945425e-10,7.863443018103949e-12,1.9053874795245274e-05,4.332646849576142e-06,1.910566454253296e-05,0.005033824748939033,9.78692761225985e-05,0.0010394703148426244
2.314145111784201e-05,0.6931728588225057,6.192896216653382e-05,3.0007042953287122e-05,3.5822687991516164e-05,0.004720474560619317,0.0,0.0,0.000185018412123999,1.0007048688432161e-05,1.7883707813768043e-07,0.006259399354044192,7.742106939788448e-14,1.5032497467513933e-14,1.1385848026276732e-13,4.8502990148660034e-15,9.795259349578311e-15,1.3938234400474045e-13,5.241042623633558e-21,3.4959990240122415e-28,5.540836306515111e-25,-4.8042320992879277e-29,1.169185245562677e-16,1.5877678554281595e-17,2.21828509056847e-18,7.69361860042632e-22,6.11068445684725e-27,4.24662007157904e-26,9.424742382080124e-28,9.107342227868586e-30,2.0772266223474598e-19,2.425721670148006e-27,6.472037957351612e-27,5.785863543469721e-26,3.76,0.0,0.5847207105509358,0.9867860140241344,0.00801101491674994,1.33923610028941e-16,0.00014486166230455544,0.012781043022897193,0.012613599129296512,7.984009755102868e-10,7.8473892237181e-12,1.901496634199654e-05,4.321343314913528e-06,1.9561852742102467e-05,0.00536494358636395,0.00010233054835132487,0.0011385240510663227
2.3833116401841633e-05,0.6932088429001876,6.205738792689771e-05,3.0094396089116797e-05,3.647127704485362e-05,0.0048596499932499855,0.0,0.0,0.00018558134603387046,1.0113254323993085e-05,1.9010207173397081e-07,0.006445493127055723,7.73056975026804e-14,1.5668568104590858e-14,1.1396795750717864e-13,5.001072415479066e-15,1.0386769437468903e-14,1.4889244186253038e-13,5.522855395217567e-21,3.3243753439133747e-28,5.973039544390834e-25,5.134145118089012e-29,1.2052311257199814e-16,1.769050324239812e-17,2.3563487596684453e-18,8.63367040850303e-22,6.490399295394781e-27,4.7950192625746784e-26,1.0926167310466446e-27,1.0260422093017116e-29,2.234872428384342e-19,2.7339798134364733e-27,6.912097087251681e-27,6.296740635875429e-26,3.76,0.0,0.5837768726423537,0.9862505987970124,0.008402292865525834,1.485534391724897e-16,0.00014468196695546068,0.013157101802908957,0.012876186664891065,7.969350994249846e-10,7.832987369267758e-12,1.898006077458119e-05,4.311223179330274e-06,1.9958158586426764e-05,0.005669500261933025,0.00010638373459222926,0.001231700935923349
2.4524781685841257e-05,0.6932442616199556,6.218649124231343e-05,3.0182394745281784e-05,3.710323226538365e-05,0.004998415075100938,0.0,0.0,0.00018599287260041738,1.0205473113536308e-05,2.0172010471653348e-07,0.0066312453605351955,7.720362557107124e-14,1.631315701269331e-14,1.1407983234292252e-13,5.151970082137488e-15,1.0994548356212509e-14,1.5874964764456393e-13,5.8125580943782296e-21,-3.130195180339236e-28,6.431830518870822e-25,4.0927255650393825e-28,1.2412871208125428e-16,1.9647658066081303e-17,2.497090925072474e-18,9.656988814988633e-22,6.881573272055613e-27,5.394684903637754e-26,1.2610474851742785e-27,1.151830862993832e-29,2.398312777859089e-19,3.070556301308794e-27,7.369546732855548e-27,6.835194531159369e-26,3.76,0.0,0.582828048030058,0.985709632872935,0.008799737498866221,1.642326395809377e-16,0.00014450355675679774,0.013532513990337662,0.013130551283162572,7.954737069123416e-10,7.81862971397749e-12,1.8945261599315275e-05,4.301152913179133e-06,2.0341126396202655e-05,0.005980047612838993,0.00011047135955697314,0.0013286466407581696
2.521644696984088e-05,0.693279121205532,6.231622892411105e-05,3.0271013185547115e-05,3.771875136493187e-05,0.005136769416009929,0.0,0.0,0.00018626530515524436,1.0284439574791121e-05,2.1369203215829867e-07,0.006816657096445711,7.7114496795474e-14,1.6966100917040378e-14,1.1419398919691697e-13,5.3029958356602004e-15,1.1618537437696498e-14,1.6895609097186354e-13,6.1102250074295685e-21,-2.831328021866084e-28,6.922779861450269e-25,8.049538943543803e-28,1.2773540947566922e-16,2.1755773636039072e-17,2.6403925972944664e-18,1.0768336914028078e-21,7.28426640140142e-27,6.048525592301832e-26,1.4493475863693727e-27,1.28870170697243e-29,2.567508751474939e-19,3.437119392983516e-27,7.844775218584534e-27,7.401848958966395e-26,3.76,0.0,0.5818744366964512,0.9851633083029244,0.009203139821742722,1.8099839870478947e-16,0.00014432640442008175,0.013907280127324916,0.013376801062973506,7.940168011297326e-10,7.804316240994207e-12,1.8910568806280028e-05,4.291132101251703e-06,2.071094401776151e-05,0.006296381803938246,0.00011459190663398696,0.0014293092091328232
2.5908112253840504e-05,0.6933134285978498,6.244655858346196e-05,3.0360226129144876e-05,3.831805606129118e-05,0.0052747127610966015,0.0,0.0,0.00018641043275472932,1.0350895562105488e-05,2.2601870975966379e-07,0.007001729375471286,7.703796035379943e-14,1.7627237050646008e-14,1.1431031356302437e-13,5.454152949513247e-15,1.2258680259636978e-14,1.7951379585157965e-13,6.415930599229516e-21,6.488428572555699e-28,7.4352744193132805e-25,-6.082170636992319e-29,1.313432783679421e-16,2.4021548295238733e-17,2.7861444764926006e-18,1.1972611715526052e-21,7.698474787812903e-27,6.759746452794433e-26,1.659182013620915e-27,1.4372750268382446e-29,2.7424229839717735e-19,3.835384566777408e-27,8.3381928352315e-27,7.997328782870433e-26,3.76,0.0,0.580916235326909,0.9846118144724552,0.009612294113541817,1.9888805607132835e-16,0.00014415048162127965,0.014281400779759843,0.01361505485069775,7.925643755382716e-10,7.790046841944703e-12,1.887598216323377e-05,4.281160289687548e-06,2.1067816198921736e-05,0.006618302035381963,0.00011874388673539553,0.0015336314107754177
2.6599777537840127e-05,0.6933471913821463,6.257743868660528e-05,3.0450008792057578e-05,3.890138969740351e-05,0.005412244982979466,0.0,0.0,0.0001864395023170762,1.040558393432049e-05,2.387009930661579e-07,0.007186463234929137,7.69736721387941e-14,1.829640340519809e-14,1.1442869221468892e-13,5.605444167469223e-15,1.2914922369129562e-14,1.9042468184195248e-13,6.72974944296964e-21,5.492224361902905e-28,7.96014530726684e-25,-7.149962494347286e-28,1.3495238002059806e-16,2.6451743456426835e-17,2.934247012188252e-18,1.3274844369408603e-21,8.124202481190834e-27,7.531666057167566e-26,1.892301434580093e-27,1.5981868992013965e-29,2.923020234591932e-19,4.267114514776911e-27,8.850210907612462e-27,8.622260460019098e-26,3.76,0.0,0.5799536371109275,0.9840553378839761,0.010026998175598949,2.1793914496991157e-16,0.00014397575915248164,0.014654876534723103,0.013845441168255567,7.91116414713439e-10,7.775821324796677e-12,1.8841501234679774e-05,4.271236990362112e-06,2.1411962805646535e-05,0.006945610788472713,0.0001229258397516169,0.0016415512651833616
2.729144282183975e-05,0.6933804177248138,6.27088286053121e-05,3.054033692481488e-05,3.946901493844444e-05,0.0055493660740328216,0.0,0.0,0.00018636320684676394,1.0449242978158033e-05,2.5173973671915506e-07,0.007370859706873874,7.692129536219018e-14,1.8973438963603838e-14,1.145490134048241e-13,5.7568717215475594e-15,1.3587211010667344e-14,2.016905653085934e-13,7.05175615420289e-21,-1.1102014398872608e-27,8.496062552099623e-25,-3.736070030808051e-28,1.3856276378060415e-16,2.9053179099519344e-17,3.0846102968098195e-18,1.4680200387912736e-21,8.56153628536311e-27,8.367717897345178e-26,2.150543978398522e-27,1.7720898847035815e-29,3.109267823596377e-19,4.734119120782066e-27,9.381243512816245e-27,9.277272452951951e-26,3.76,0.0,0.5789868315668294,0.9834940619607332,0.010447053549280381,2.381894339531015e-16,0.00014380220706710988,0.015027707998117005,0.014068097155339231,7.896728951491907e-10,7.761639421527082e-12,1.880712540061284e-05,4.2613616851412e-06,2.1743617098675072e-05,0.007278114044109674,0.00012713633581493694,0.0017530025500318875
