Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66)
1.6998104381884933e-19,0.23053367851970324,3.76,0.0,0.5837986863209937,0.9999999999997161,1.0733573215629565e-44,0.0,3.5086632654085e-33,8.20272441258655e-18,8.202724412582852e-18,3.724683230580082e-19,2.1506576394127958e-35,2.6248177166097583e-34,6.0138564819049416e-30,3.688785291192101e-30,8.74893903445407e-21,4.9290685060171286e-42,3.7246832305571e-19,3.6007108346952236e-36,4.608666762042757e-27,2.3721532625209995e-32,3.514620316586925e-33,7.10198173395964e-46,8.239763520171759e-40,1.303703427112123e-44,8.748939034454059e-21,9.3060038011727e-41,4.70561179795011e-34,1.9595579290831028e-57,7.532193427394436e-33,4.754431059434157e-34,2.4376340082974954e-47,7.238010418891213e-41,6.258769650143722e-38,3.284413729569903e-35,2.838096202572669e-13,1.1707330516131238e-36,4.5535635974180075e-60,4.034866495508065e-45
3.401097688225977e-19,0.23053367851970322,3.76,0.0,0.5837986863209937,0.999999999999432,8.593385045816191e-44,0.0,1.4043796904245467e-32,1.641257543196075e-17,1.6412575431945953e-17,7.452602502192596e-19,8.608235349762664e-35,1.0506111335448514e-33,1.941759519920038e-29,1.476475441664815e-29,1.7505479232274303e-20,3.9462518894755153e-41,7.45260250214714e-19,1.4412246795233295e-35,9.221353610305126e-27,9.494795059869008e-32,1.4067640631428972e-32,2.8426443476370734e-45,3.298052752836138e-39,5.218211635340457e-44,1.750547923227426e-20,3.724826736463431e-40,1.8834710368042208e-33,1.5688379443194583e-56,3.014840317213964e-32,1.9030114642662942e-33,1.9515893924709574e-46,2.8970904479419267e-40,2.505138974138992e-37,1.3146214347477182e-34,5.678658166702023e-13,4.685983221448488e-36,3.64561964615941e-59,1.6150705506648703e-44
6.803672188300944e-19,0.23053367851970322,3.76,0.0,0.5837986863209937,0.9999999999988639,6.877319743855739e-43,0.0,5.619348052757201e-32,3.283227747070915e-17,3.2832277470649954e-17,1.4908441045411758e-18,3.4444154277274304e-34,4.203813015851258e-33,6.838866556960975e-29,5.907824964959934e-29,3.501855962791477e-20,3.1582008580795713e-40,1.490844104532294e-18,5.766791791875653e-35,1.8446775422790388e-26,3.7991547782521386e-31,5.628888647776478e-32,1.1374286702013322e-44,1.319650692736618e-38,2.0879646599420655e-43,3.5018559627914596e-20,1.4904158768657118e-39,7.536337480236224e-33,1.2555473269055243e-55,1.2063288280209113e-31,7.61452464428436e-33,1.5618646418323884e-45,1.1592135430285627e-39,1.0023819244361517e-36,5.2601981127012125e-34,1.1359782082833418e-12,1.8750036634475037e-35,2.917603705751914e-58,6.462965605399539e-44
1.360882118845088e-18,0.23053367851970322,3.76,0.0,0.5837986863209937,0.9999999999977277,5.502900703699303e-42,0.0,2.248105132513687e-31,6.567168154820595e-17,6.56716815479691e-17,2.9820118131826587e-18,1.3779904685503855e-33,1.681798940042618e-32,2.549851780527995e-28,2.3635146804244494e-28,7.00447204191957e-20,2.5270405275773075e-39,2.9820118131657406e-18,2.3071048630992586e-34,3.689781151160311e-26,1.5199092973835858e-30,2.2519219904526904e-31,4.550460607324953e-44,5.279462078570617e-38,8.35322065921084e-43,7.004472041919499e-20,5.962634017038167e-39,3.015025727626214e-32,1.0046288944273903e-54,4.826100826230458e-31,3.046305685779568e-32,1.2497290153103388e-44,4.6376090094080444e-39,4.010180612233665e-36,2.1044217686062795e-33,2.2722029866586948e-12,7.501235561150737e-35,2.3345262675608973e-57,2.586070901435131e-43
2.721911918875075e-18,0.23053367851970322,3.76,0.0,0.5837986863209936,0.9999999999954553,4.402738575007514e-41,0.0,8.993152413638034e-31,1.3135048970319955e-16,1.3135048970225203e-16,5.964347230456229e-18,5.512410564654776e-33,6.727743253588437e-32,9.827956899814382e-28,9.454828165262046e-28,1.4009704200175752e-19,2.0218243789906547e-38,5.96434723042578e-18,9.229271623434303e-34,7.380065354459809e-26,6.0801319968181884e-30,9.008421077454152e-31,1.8203366057732273e-43,2.1119567068119733e-37,3.3415621382785905e-42,1.4009704200175478e-19,2.38524772797833e-38,1.2061084443702232e-31,8.037798625557478e-54,1.9305974445028212e-30,1.2186214469860651e-31,9.998781431233737e-44,1.8551945836333992e-38,1.6042029586550268e-35,8.418372170233588e-33,4.544652524005697e-12,3.0007384102993644e-34,1.8677983745158642e-56,1.0348836334583442e-42
5.443971518935049e-18,0.23053367851970324,3.76,0.0,0.5837986863209935,0.9999999999909104,3.5223580800746878e-40,0.0,3.597407354298169e-30,2.6270810601318665e-16,2.627081060093965e-16,1.1929018064965792e-17,2.2050540180175724e-32,2.691206793637134e-31,3.856886661629964e-27,3.7820851602083645e-27,2.802016851668812e-19,1.6175362900297205e-37,1.1929018064918448e-17,3.6919397488124766e-33,1.4760941703207229e-25,2.4321517636131333e-29,3.6035150599327155e-30,7.281676495316856e-43,8.448170603209562e-37,1.336680793238988e-41,2.8020168516687007e-19,9.541379211459737e-38,4.824630084898617e-31,6.430551116015885e-53,7.722704017163115e-30,4.874684140344811e-31,7.999404888712987e-43,7.421080318304614e-38,6.417074243974597e-35,3.3674858921093444e-32,9.089551521084885e-12,1.2003441926078336e-33,1.494309680132304e-55,4.1426717658831325e-42
1.0888090719054997e-17,0.23053367851970324,3.76,0.0,0.5837986863209933,0.9999999999818205,2.8179533639835523e-39,0.0,1.4389922255405947e-29,5.254233386331608e-16,5.254233386180001e-16,2.3858359733834602e-17,8.820396066539222e-32,1.076504607980457e-30,1.527894839562968e-26,1.5128648433810174e-26,5.604109714971284e-19,1.2940597475222054e-36,2.3858359733794133e-17,1.4768706478537318e-32,2.9523926169300604e-25,9.72880498699134e-29,1.4414353507667e-29,2.912756882527552e-42,3.3793370080638406e-36,5.346844339324769e-41,5.604109714970839e-19,3.816629380593039e-37,1.9298912911727015e-30,5.144574120238439e-52,3.089144455768089e-29,1.9499133273160426e-30,6.399675812427441e-42,2.968492535774494e-37,2.5668829584179425e-34,1.3470217621151617e-31,1.817934920478402e-11,4.801474345796434e-33,1.1954761891419686e-54,1.6594774975928042e-41
2.1776329119294893e-17,0.23053367851970324,3.76,0.0,0.5837986863209927,0.999999999963641,2.2543894676899377e-38,0.0,5.756027514578615e-29,1.0508538038731085e-15,1.0508538038124646e-15,4.7717043070970976e-17,3.5281947513992966e-31,4.306062146925764e-30,6.081859102274116e-26,6.051520932099518e-26,1.1208295441576223e-18,1.035260084290513e-35,4.771704307110691e-17,5.90806031185567e-32,5.905482217592042e-25,3.8915615810514086e-28,5.765800061026756e-29,1.1651362252946291e-41,1.3517485649949135e-35,2.1387694000590523e-40,1.1208295441574441e-18,1.5266673193512963e-36,7.719643640062109e-30,4.1157259285123374e-51,1.2356703521625899e-28,7.799732652260817e-30,5.119801411192569e-41,1.1874091046064762e-36,1.0267644580477286e-33,5.388141859334305e-31,3.635894333034539e-11,1.920609186885412e-32,9.563924127924493e-54,6.656978327290609e-41
4.355280591977469e-17,0.2305336785197033,3.76,0.0,0.5837986863209916,0.9999999999272817,1.8035223107067978e-37,0.0,2.302422763768729e-28,2.1017147343530015e-15,2.1017147341104248e-15,9.54344097428387e-17,1.4112854260046548e-30,1.7224335486603522e-29,2.426799528838233e-25,2.42062068415542e-25,2.241666689478608e-18,8.282129818292523e-35,9.54344097439781e-17,2.3636502474815783e-31,1.1813632248720304e-24,1.5566325492225702e-27,2.306331759135425e-28,4.660741571068357e-41,5.407021849968631e-35,8.555200375981947e-40,2.2416666894778955e-18,6.106700633963715e-36,3.087873119365649e-29,3.2926287409874204e-50,4.942706548176154e-28,3.11990892952162e-29,4.095865433387003e-40,4.7496606671158477e-36,4.107085361019921e-33,2.1552677058315877e-30,7.271812661412122e-11,7.682475111408619e-32,7.651186481564205e-53,2.678005601430842e-40
8.710575952073429e-17,0.2305336785197034,3.76,0.0,0.5837986863209894,0.9999999998545632,1.4428221846131293e-36,0.0,9.209714854216926e-28,4.2034365953127756e-15,4.203436594342466e-15,1.9086914307695407e-16,5.6451588385903e-30,6.889751149262702e-29,9.695309827967123e-25,9.682507355673528e-25,4.483340980120571e-18,6.625723509965939e-34,1.9086914308270287e-16,9.45793786422313e-31,2.3637815630442675e-24,6.2265460266558945e-27,9.225350530687548e-28,1.8644397471231832e-40,2.1628143110597507e-34,3.422152263076317e-39,4.48334098011772e-18,2.4426867026647247e-35,1.2351523549787284e-28,2.6341563442761936e-49,1.9770876469493677e-27,1.2479667454970403e-28,3.276702068147946e-39,1.8998691709863335e-35,1.6428436336818055e-32,8.621092746565634e-30,1.4543647331229066e-10,3.0729972906018757e-31,6.120970189811445e-52,1.0833655771347043e-39
1.7421166672265348e-16,0.2305336785197036,3.76,0.0,0.583798686320985,0.9999999997091266,1.1542595483707798e-35,0.0,3.6838909280926515e-27,8.406880317232282e-15,8.406880313351034e-15,3.817386097067043e-16,2.258068629273094e-29,2.755903510475099e-28,3.875746265491693e-24,3.873007863177925e-24,8.966689561404464e-18,5.300586666404947e-33,3.817386097320822e-16,3.785830223539011e-30,4.7317715673740086e-24,2.490621573520096e-26,3.690144930824766e-27,7.45887557609148e-40,8.651268810893944e-34,1.3689133737811734e-38,8.966689561393061e-18,9.770761130860883e-35,4.940615430845406e-28,2.107401059521961e-48,7.908360641266953e-27,4.991873329034983e-28,2.6213655425125306e-38,7.599486927366118e-35,6.571425381254776e-32,3.448441482474805e-29,2.9087308723114423e-10,1.229200024048497e-30,4.896787966180594e-51,4.430752841246354e-39
3.484234811264918e-16,0.230533678519704,3.76,0.0,0.5837986863209762,0.9999999994182532,9.234084649826515e-35,0.0,1.4735575497765674e-26,1.6813767761071125e-14,1.6813767745546137e-14,7.634775428122833e-16,9.032298040117884e-29,1.1023617422180685e-27,1.5498229707208907e-23,1.549204127127554e-23,1.7933386723972123e-17,4.240472470557547e-32,7.634775429185603e-16,1.5164532673313745e-29,9.480364889565959e-24,9.962492595008121e-26,1.4760589318126573e-26,2.9844379441753e-39,3.460510177288275e-33,5.476062800323666e-38,1.7933386723926508e-17,3.90830845400988e-34,1.9762472116918412e-27,1.6860386708567258e-47,3.1633462656821814e-26,1.9967506007544456e-27,2.097093988268746e-37,3.0397971677357085e-34,2.6286058161538836e-31,1.3793774691167733e-28,5.81745997159257e-10,4.91679958060111e-30,3.9174405586715995e-50,1.850130330620773e-38
5.226352955303302e-16,0.23053367851970433,3.76,0.0,0.5837986863209674,0.9999999991273802,2.6403718146952224e-34,0.0,3.1313107336972006e-26,2.5220655204909808e-14,2.5220655171919197e-14,1.1452164757639407e-15,1.9193663038908912e-28,2.3425186072788837e-27,3.293076600925889e-23,3.2920593811053374e-23,2.6900083886539667e-17,1.2125103267156374e-31,1.1452164759927583e-15,3.2255778617870033e-29,1.4241571526879944e-23,2.1170300674039463e-25,3.136625847442058e-26,6.343426782680987e-39,7.353586265918284e-33,1.16373204549205e-37,2.6900083886442717e-17,8.30515957464495e-34,4.199525791146377e-27,4.821233139158372e-47,6.722112068427451e-26,4.2430958195129545e-27,5.996379262876403e-37,6.4595709753841395e-34,5.585838330072213e-31,2.9311776686605995e-28,8.72618589178123e-10,1.0448195713656231e-29,1.1201447527567081e-49,4.0628625729421593e-38
6.968471099341686e-16,0.23053367851970466,3.76,0.0,0.5837986863209587,0.9999999988365076,5.569309886298174e-34,0.0,5.341648803091383e-26,3.362754264874833e-14,3.362754259247022e-14,1.5269554085616777e-15,3.2742175293569033e-28,3.99606070805956e-27,5.61733551556472e-23,5.615866546131517e-23,3.58667810491071e-17,2.55753571032068e-31,1.5269554089546756e-15,5.507348197604526e-29,1.9015391480905536e-23,3.6114045788378434e-25,5.350715253690918e-26,1.0823629552994732e-38,1.2544355543178507e-32,1.985304143403014e-37,3.586678104894169e-17,1.4167630799418028e-33,7.163897138861447e-27,1.0169813570171149e-46,1.1467133470860319e-25,7.238222988943229e-27,1.2648101850915078e-36,1.10192705246081e-33,9.528862387227576e-31,5.000244746247845e-28,1.1634908632880899e-09,1.7823386033143484e-29,2.3627130754113435e-49,7.1493716130764e-38
1.0452707387418453e-15,0.23053367851970544,3.76,0.0,0.5837986863209411,0.999999998254763,1.5211516229723511e-33,0.0,1.105920832783226e-25,5.0441317536424955e-14,5.0441317419908275e-14,2.2904332737959074e-15,6.778866322878943e-28,8.273334009545202e-27,1.1629437170419033e-22,1.1626939436079065e-22,5.380017537424172e-17,6.985423962494835e-31,2.2904332746149963e-15,1.1419169518259503e-28,2.859263407595988e-23,7.476955143733431e-25,1.1077977504838299e-25,2.2418495196235473e-38,2.597150211326634e-32,4.1107574430629346e-37,5.380017537389918e-17,2.9332299084263842e-33,1.4831938745710836e-26,2.777907297734111e-46,2.37412455350758e-25,1.498582272150646e-26,3.4545892552091566e-36,2.2814007156353837e-33,1.972857209665081e-30,1.0352372592609177e-27,1.7452346653963785e-09,3.6901031327356547e-29,6.453321309356612e-49,1.5639929597500418e-37
1.3936943675495221e-15,0.2305336785197062,3.76,0.0,0.5837986863209236,0.9999999976730197,3.1827585886695075e-33,0.0,1.8808820876017235e-25,6.725509242410097e-14,6.725509222593661e-14,3.053911138464116e-15,1.1529099659667286e-27,1.4070770280595838e-26,1.977810246187113e-22,1.9774379685328997e-22,7.173356969937596e-17,1.4615844419782861e-30,3.053911139862423e-15,1.9448371890400474e-28,3.8216260348382566e-23,1.2716342982476531e-24,1.884073948508667e-25,3.814417254098587e-38,4.417073330582306e-32,6.992063000049277e-37,7.173356969879329e-17,4.988658836125126e-33,2.5225241592156516e-26,5.812733588194349e-46,4.037764251204207e-25,2.54869607430174e-26,7.228156717311192e-36,3.880066137904788e-33,3.355357420784111e-30,1.7606675230675533e-27,2.3269772984431465e-09,6.27589455908468e-29,1.350254277754357e-48,2.8020304619592987e-37
1.7421179963571989e-15,0.23053367851970688,3.76,0.0,0.583798686320906,0.9999999970912775,5.794091329855049e-33,0.0,2.8735634151696823e-25,8.406886731177633e-14,8.406886700902595e-14,3.817389002525873e-15,1.7613895663217375e-27,2.1496950998458695e-26,3.0215943067500016e-22,3.0210784948176564e-22,8.966696402450987e-17,2.660758734853098e-30,3.817389004667464e-15,2.975549710185071e-28,4.7889583428609294e-23,1.9427699314013125e-24,2.8784394123881487e-25,5.830104232028904e-38,6.748291502496204e-32,1.0683453756045276e-36,8.966696402361946e-17,7.621548063872014e-33,3.853846624216634e-26,1.0582659614266209e-45,6.1687916171081165e-25,3.8938318358253447e-26,1.3158583650201828e-35,5.927865868327875e-33,5.1262967283181686e-30,2.6899022284160237e-27,2.908718678926322e-09,9.588141777426395e-29,2.4580930113633102e-48,4.503530944936811e-37
2.4389652539725524e-15,0.23053367851970832,3.76,0.0,0.5837986863208708,0.9999999959277971,1.529811576917492e-32,0.0,5.525762916293312e-25,1.17696417087125e-13,1.1769641650494677e-13,5.344344728791945e-15,3.387105799532351e-27,4.1337843246355804e-26,5.810294283825117e-22,5.809426989820401e-22,1.2553375267477682e-16,7.025188136934723e-30,5.344344732922609e-15,5.740963014311066e-28,6.73884417491274e-23,3.735877786093543e-24,5.5351373000905595e-25,1.122219745604335e-37,1.2976731387425797e-31,2.054898840283678e-36,1.2553375267306384e-16,1.4655986134459627e-32,7.410808701211423e-26,2.7947106634032352e-45,1.1862367923769575e-24,7.487700800858835e-26,3.474254347021027e-35,1.1399082117945345e-32,9.857993167714485e-30,5.172586771463315e-27,4.07219760353887e-09,1.8437624494440285e-28,6.490134522485704e-48,9.635311634063406e-37
3.135812511587906e-15,0.23053367851970977,3.76,0.0,0.5837986863208356,0.9999999947643218,3.171683486008913e-32,0.0,9.062240630334848e-25,1.5132396686247103e-13,1.5132396590770015e-13,6.8713004525949116e-15,5.5548704408145775e-27,6.779390594208231e-26,9.528749672765956e-22,9.527445477228302e-22,1.6140054132504288e-16,1.4564974448386696e-29,6.8713004593810055e-15,9.445601301072023e-28,8.708914530727904e-23,6.126830041863133e-24,9.077611428495509e-25,1.842188751973973e-37,2.128181548747011e-31,3.3708297993679645e-36,1.614005413222324e-16,2.4035809942380607e-32,1.2153704348177783e-25,5.795206556457599e-45,1.9454253264855778e-24,1.2279810310710634e-25,7.202999397233406e-35,1.8694474981057844e-32,1.6167571750616842e-29,8.483029167497479e-27,5.235671440861832e-09,3.0237605108680294e-28,1.3455754883813387e-47,1.7337863157824328e-36
4.5295070268186126e-15,0.23053367851971263,3.76,0.0,0.5837986863207653,0.9999999924373862,9.52999880165033e-32,0.0,1.8787663147601365e-24,2.1857906641315507e-13,2.1857906443374403e-13,9.925211892812602e-15,1.1516354962898972e-26,1.4054867529006185e-25,1.9754534677963578e-21,1.9752100439812824e-21,2.331341186255742e-16,4.376353809418795e-29,9.92521190690835e-15,1.9718098978630445e-27,1.2709600356977243e-22,1.2702015650927786e-23,1.8819515445195816e-24,3.826899792087846e-37,4.412105397073888e-31,6.991858129034108e-36,2.33134118619742e-16,4.98306697718072e-32,2.51967916919172e-25,1.7420405819207372e-44,4.033215073366493e-24,2.545824581677885e-25,2.1642931228943915e-34,3.8757035038366485e-32,3.352044670934944e-29,1.7586838541163052e-26,7.56260385589837e-09,6.268773727652979e-28,4.043119687325413e-47,4.270333264197447e-36
7.316896057280026e-15,0.23053367851971848,3.76,0.0,0.5837986863206245,0.9999999877835765,4.097259934214387e-31,0.0,4.884832732644029e-24,3.530892655144909e-13,3.530892603679887e-13,1.603303474369552e-14,2.9943341703832904e-26,3.6542766484522086e-25,5.136151415710478e-21,5.135579477319096e-21,3.766012732266458e-16,1.8815354945349662e-28,1.6033034780405678e-14,5.2011059724266226e-27,2.0953150914238462e-22,3.302545478028035e-23,4.89310664475863e-24,9.991946805632605e-37,1.1471570157553097e-30,1.8198082571447133e-35,3.766012732114518e-16,1.2956129952797971e-31,6.551200923005431e-25,7.496653555412473e-44,1.0486427466204502e-23,6.619187047095243e-25,9.304993519700899e-34,1.0076916833438702e-31,8.716565207868296e-29,4.5726077935109484e-26,1.2216407648747553e-08,1.6298790195149627e-27,1.7383165577644498e-46,1.4772210271794924e-35
1.2891674118202853e-14,0.2305336785197301,3.76,0.0,0.5837986863203429,0.9999999784762008,2.3072240059593478e-30,0.0,1.514088543343816e-23,6.221096637170337e-13,6.221096477651428e-13,2.8248680327254665e-14,9.28151724368521e-26,1.1326567465352095e-24,1.5919674048684158e-20,1.5918034971099177e-20,6.635355824289216e-16,1.0595152905376532e-27,2.82486804411737e-14,1.6597455838801453e-26,3.8408962389852715e-22,1.0236436439599177e-22,1.5166481349199582e-23,3.123883067385152e-36,3.5556953737221014e-30,5.652796777820758e-35,6.635355823816329e-16,4.015875429815965e-31,2.0305790209933143e-24,4.229755461508089e-43,3.250330850380076e-23,2.051656599842988e-24,5.2397540241045944e-33,3.1234146737406225e-31,2.702515127995256e-28,1.417307108112308e-25,2.1523771093520833e-08,5.051825671456195e-27,9.789231127059068e-46,6.916939194841526e-35
