Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155)
1.3264645492425613e-20,0.2363618322832192,3.76,0.0,0.7412931617785194,0.9999999999996494,3.970333360071231e-44,0.0,3.6741638646087513e-32,2.110745872896147e-15,2.1107458728959247e-15,2.4418453823701572e-17,1.1270873074901985e-33,1.235698908289349e-32,1.4839187834559508e-26,2.221623839134107e-28,2.9312704371429765e-17,6.473244801866888e-41,2.4418453809084482e-17,2.185158432003319e-33,2.2371800237270225e-22,3.621488648910885e-32,4.0481413241029016e-32,8.157065911725122e-39,1.5625604250528456e-35,6.109938394407854e-40,2.9312704371429747e-17,9.125994031841349e-36,3.7681558196758414e-32,2.2693135995588168e-54,8.200988302098013e-32,1.1355838636807822e-31,9.209946884477065e-46,1.660445758447654e-35,4.790481012592488e-34,5.197038182296358e-32,3.506174829871901e-13,6.717480827902547e-33,9.896834427190939e-54,1.8719539619461613e-38,5.333857948159864e-48,7.609219807267737e-48,2.360546842065593e-34,5.531019796670422e-63,3.5147922558190963e-53,4.1854174327631945e-51,7.828952651203305e-53,1.0480336583079622e-54,4.059396984935702e-65,9.372048188042653e-35,1.1838814888125178e-50,3.399766160397801e-46,2.385878286863482e-47,1.6571130914325114e-60,7.109537741273319e-49,6.161527639524605e-49,3.3031249640863216e-47,1.0693504967658584e-74,4.577695295617008e-52,3.4133278603368004e-46
2.6540815437928923e-20,0.2363618322832193,3.76,0.0,0.7412931617785172,0.9999999999992985,3.1786808219311954e-43,0.0,1.470623061184451e-31,4.2233255823456234e-15,4.223325582344734e-15,4.885812263768153e-17,4.511286504389429e-33,4.946015956982604e-32,3.0136511534692105e-26,8.892285075347236e-28,5.865087590564952e-17,5.182531851449132e-40,4.885812260843398e-17,8.746328671291541e-33,4.476303733725418e-22,1.449539246738254e-31,1.6203115057746101e-31,3.2649521678380563e-38,6.254313850203875e-35,2.4455676757916576e-39,5.865087590564947e-17,3.652775915558513e-35,1.5082443375597428e-31,1.816830734761701e-53,3.2825325600704203e-31,4.545294871679683e-31,7.37355754957024e-45,6.646110280322255e-35,1.9174408415454007e-33,2.0801696601562103e-31,7.015395858083657e-13,2.6887429570632096e-32,7.923485241207952e-53,7.492694445696488e-38,4.271411622580869e-47,6.0935457152268e-47,9.448339130878134e-34,8.859241739885433e-62,2.8139709491891475e-52,3.350878859176492e-50,6.267922459253003e-52,8.390641761007152e-54,6.500324841547133e-64,3.751261701183513e-34,9.478250416775214e-50,2.7218801316882386e-45,1.9106371277571276e-46,2.6542600531451336e-59,5.693396092388396e-48,4.934218490989704e-48,2.644508412543904e-46,3.425761244359862e-73,3.664939677179405e-51,2.7327377376071806e-45
5.3093155328935536e-20,0.2363618322832195,3.76,0.0,0.7412931617785129,0.9999999999985966,2.5439107254882755e-42,0.0,5.884407824815179e-31,8.448485001244541e-15,8.448485001240982e-15,9.773746026560684e-17,1.8051022241432276e-32,1.9790506308306503e-31,6.206746931387389e-26,3.558072303903384e-27,1.1732721897408872e-16,4.147600558374792e-39,9.773746020709636e-17,3.4996709354946354e-32,8.954551161217962e-22,5.8000450992114275e-31,6.483356577033138e-31,1.3064061551885857e-37,2.502540202188162e-34,9.78545637967109e-39,1.1732721897408847e-16,1.4615861624312976e-34,6.034941929000698e-31,1.4540167842409552e-52,1.3134405936932923e-30,1.818710000745031e-30,5.901087014320576e-44,2.6593098080824167e-34,7.672260957552753e-33,8.323388187079508e-31,1.4033837913097263e-12,1.0758474077140134e-31,6.341196302578202e-52,2.9980538630392316e-37,3.418860249185408e-46,4.877305726108248e-46,3.780566355519139e-33,1.4182479219606283e-60,2.252031983163356e-51,2.6817214878108253e-49,5.0162429168589026e-51,6.715063498096917e-53,1.0404753590786483e-62,1.500993304713438e-33,7.585480967207654e-49,2.1783313402853648e-44,1.5292838796411676e-45,4.249120683796233e-58,4.557024360809411e-47,3.94937432124006e-47,2.1164104499480496e-45,1.0968583182628652e-71,2.93306559396018e-50,2.1870207246662822e-44
1.0619783511094876e-19,0.23636183228321983,3.76,0.0,0.7412931617785042,0.9999999999971928,2.0355150924940846e-41,0.0,2.354146303418824e-30,1.6898803839042244e-14,1.6898803839028004e-14,1.954961355213191e-16,7.22158430941768e-32,7.917491200700177e-31,1.3127462638787243e-25,1.4234606093119428e-26,2.346799051109658e-16,3.318710612217032e-38,1.9549613540427472e-16,1.4000964230388553e-31,1.7911046046186088e-21,2.320395715902804e-30,2.5937648020092024e-30,5.22647536808047e-37,1.00117903650824e-33,3.9148198842166415e-38,2.3467990511096484e-16,5.847296378369229e-34,2.414369743046584e-30,1.1634343825572919e-51,5.254617635916728e-30,7.276024275802518e-30,4.721766192890583e-43,1.0638970870884737e-33,3.069403977865188e-32,3.3298972613188224e-30,2.807072201748485e-12,4.304090179817029e-31,5.0739204925981306e-51,1.1994168596648987e-36,2.7357807489281677e-45,3.902832483898471e-45,1.5124727179076535e-32,2.2698122453526653e-59,1.8019677498788457e-50,2.1457846374685482e-48,4.013756475953156e-50,5.373071054554009e-52,1.6650993665520116e-61,6.0049506052033524e-33,6.069537273524595e-48,1.7429960369152695e-43,1.2237368503148302e-44,6.800437298410861e-57,3.646542708856853e-46,3.1602994637691867e-46,1.693449916414142e-44,3.5109304707311265e-70,2.34689811102113e-49,1.7499488643175165e-43
2.1240719467497524e-19,0.23636183228322064,3.76,0.0,0.7412931617784869,0.9999999999943853,1.6285666990986943e-40,0.0,9.41735163843991e-30,3.37994415146371e-14,3.379944151458012e-14,3.9101348603218977e-16,2.888868823597509e-31,3.167254232309649e-30,2.910699065981577e-25,5.694305845726307e-26,4.693852773847144e-16,2.6552205828832398e-37,3.910134857980455e-16,5.600842806188097e-31,3.582403593605443e-21,9.28233826961813e-30,1.0375903612775521e-29,2.0907603488558617e-36,4.005042080517288e-33,1.5660555142630856e-37,4.693852773847107e-16,2.3391089111671296e-33,9.658264968818226e-30,9.308359445741603e-51,2.102018118772273e-29,2.910646581748478e-29,3.777771625193337e-42,4.255934700730399e-33,1.227861521559413e-31,1.3320673095430614e-29,5.614449020370155e-12,1.721776191217534e-30,4.0595218167931e-50,4.7980586528891e-36,2.188901652840671e-44,3.122661196930492e-44,6.050383258112601e-32,3.6321921188691065e-58,1.441711081005693e-49,1.716790706230826e-47,3.21131007005609e-49,4.2988649934527025e-51,2.6644300539305253e-60,2.402175732196447e-32,4.856090867955387e-47,1.394529229543583e-42,9.791133940164369e-44,1.0882175250998962e-55,2.9176035002763436e-45,2.528559612885772e-45,1.3548885691083905e-43,1.1236551909569011e-68,1.8776967617970376e-48,1.4000920190921851e-42
4.2482591380302814e-19,0.23636183228322205,3.76,0.0,0.7412931617784523,0.9999999999887701,1.3029152186157303e-39,0.0,3.7670939643482645e-29,6.760071686582464e-14,6.760071686559673e-14,7.820481870517164e-16,1.1555945514948397e-30,1.2669532437242465e-29,6.961843312658683e-25,2.2778150232676995e-25,9.387960219321893e-16,2.1242773088935965e-36,7.820481865832436e-16,2.240429335641066e-30,7.165001619551954e-21,3.713086394248803e-29,4.150530333842883e-29,8.363382131121314e-36,1.6020820214310005e-32,6.26447786752844e-37,9.38796021932175e-16,9.356816382140456e-33,3.863463190663865e-29,7.447042081938378e-50,8.408414616041454e-29,1.164306008667493e-28,3.022360776158365e-41,1.7024431532345587e-32,4.911645988809134e-31,5.328486055909604e-29,1.1229202648590098e-11,6.887385009591523e-30,3.247771632880149e-49,1.919302152801861e-35,1.751232150587786e-43,2.498287051698928e-43,2.420251784062098e-31,5.811901439252927e-57,1.1534236219962516e-48,1.373497766899365e-46,2.5691700178566707e-48,3.4392552694530553e-50,4.263304953886161e-59,9.609093914327039e-32,3.88505712383916e-46,1.1156763464571519e-41,7.833402837404972e-43,1.7412660944254244e-54,2.3342305425448725e-44,2.022975715015466e-44,1.0839623118712892e-42,3.595948534367623e-67,1.5022287217906641e-47,1.1201267885362504e-41
8.4966335205913405e-19,0.236361832283225,3.76,0.0,0.741293161778383,0.9999999999775399,1.0423569288751812e-38,0.0,1.506868262928878e-28,1.3520326756819106e-13,1.3520326756727936e-13,1.5641175890819098e-15,4.622472255089576e-30,5.067916066804737e-29,1.84850863757375e-24,9.111445466176499e-25,1.877617511027052e-15,1.6994621851585057e-35,1.5641175881442664e-15,8.961908069048999e-30,1.4330197863336344e-20,1.4852647753743464e-28,1.6602459133023827e-28,3.3454212570668125e-35,6.408458466542448e-32,2.505842854212081e-36,1.8776175110269943e-15,3.74280270512783e-32,1.5454167160228923e-28,5.957776683225957e-49,3.3634342757926337e-28,4.657318788259252e-28,2.417946012842305e-40,6.809911161294522e-32,1.964698404452658e-30,2.131437786672475e-28,2.2458709868936406e-11,2.755010050708011e-29,2.5982789831299957e-48,7.67736956543789e-35,1.4010300532638235e-42,1.9986928818802982e-42,9.68120410150284e-31,9.299357553150399e-56,9.227608039805855e-48,1.0988242948697695e-45,2.0553847996416518e-47,2.7514695368583394e-49,6.82146142610018e-58,3.8437157573428587e-31,3.1081194727839664e-45,8.925622628428691e-41,6.266920550024016e-42,2.7861201977796725e-53,1.867443532816409e-43,1.6184317836895491e-43,8.67190431793277e-42,1.1507438399885176e-65,1.2018115020990586e-46,8.961226996896284e-41
1.6993382285713459e-18,0.23636183228323088,3.76,0.0,0.7412931617782443,0.9999999999550793,8.338954601648502e-38,0.0,6.027534525435156e-28,2.70408368972889e-13,2.70408368969242e-13,3.1282563931068576e-15,1.8490077146847648e-29,2.02718703606415e-28,5.5215390779505454e-24,3.644615261302769e-24,3.7552604892164246e-15,1.3595858834503338e-34,3.1282563912288165e-15,3.584806410766886e-29,2.866059111847061e-20,5.941119536237536e-28,6.641051224680284e-28,1.3381823888851854e-34,2.5634094630521406e-31,1.0023479185740518e-35,3.755260489216195e-15,1.4971363153783466e-31,6.181729732728388e-28,4.766280480423687e-48,1.3453873962879885e-27,1.862946466163238e-27,1.9343797673171023e-39,2.723992174439728e-31,7.85887385800517e-30,8.52583787599258e-28,4.49177241652547e-11,1.1020152273007018e-28,2.078647863004895e-47,3.070982871825192e-34,1.1208417761824593e-41,1.5989796035859485e-41,3.872521034093799e-30,1.487922428939826e-54,7.382174105301249e-47,8.790698683959008e-45,1.6443273530425233e-46,2.2012017738347325e-48,1.0914477085103722e-56,1.5375019358880801e-30,2.4865250880305086e-44,7.140582846302984e-40,5.013615753173479e-41,4.457867874908759e-52,1.4939784662019162e-42,1.294765912305705e-42,6.937605770434686e-41,3.682444781815027e-64,9.614606100399099e-46,7.169066657897687e-40
3.3986879815957695e-18,0.23636183228324265,3.76,0.0,0.741293161777967,0.9999999999101581,6.671203595274389e-37,0.0,2.411026200008355e-27,5.408185717821456e-13,5.408185717675576e-13,6.256534001015001e-15,7.396068505480118e-29,8.108789289341875e-28,1.8341127268717817e-23,1.4578535194253613e-23,7.510546445593763e-15,1.0876751607577942e-33,6.256533997247937e-15,1.4339352309892665e-28,5.732138069900112e-20,2.3764599005788845e-27,2.6564340132975785e-27,5.352758967887991e-34,1.0253690005625899e-30,4.009416711031954e-35,7.510546445592844e-15,5.98857575020198e-31,2.472704457724609e-27,3.8130511196552634e-47,5.3815769570068895e-27,7.451823766324692e-27,1.5475129966850867e-38,1.0896024117881523e-30,3.143565768612083e-29,3.410352496265513e-27,8.983575218039404e-11,4.408083303685057e-28,1.6629281697760268e-46,1.2284024415085946e-33,8.966805147220612e-41,1.2791938045582985e-40,1.5490162924440203e-29,2.38069606270124e-53,5.905774428661535e-46,7.032600674577014e-44,1.3154696860996043e-45,1.760971901646223e-47,1.746327438378625e-55,6.1500389655079164e-30,1.989231874303382e-43,5.712500174244641e-39,4.010924327889142e-40,7.132649046383827e-51,1.195192229134582e-41,1.0358209246417214e-41,5.550117520289688e-40,1.1783926481667374e-62,7.691730487533874e-45,5.73528732478108e-39
6.797387487644617e-18,0.23636183228326624,3.76,0.0,0.7412931617774124,0.9999999998203157,5.336979234546584e-36,0.0,9.644130340042857e-27,1.081638977400102e-12,1.0816389773417498e-12,1.2513089216264268e-14,2.958434948577616e-28,3.243523885745931e-27,6.587441288206342e-23,5.831428906781513e-23,1.5021118358342808e-14,8.701427099339103e-33,1.2513089208686256e-14,5.735798497519283e-28,1.1464297214111083e-19,9.50586376719342e-27,1.0625763172670815e-26,2.1411107817241995e-33,4.101486433208966e-30,1.6037744780622465e-34,1.5021118358339138e-14,2.395436415350953e-30,9.890842887020255e-27,3.05045652048584e-46,2.1526362570189217e-26,2.9807370867082815e-26,1.23801407041737e-37,4.358420731227492e-30,1.2574296943739074e-28,1.3641444676322182e-26,1.7967180590068366e-10,1.7632377846584275e-27,1.3303465015122442e-45,4.9136466205848424e-33,7.173472497683784e-40,1.023359096145355e-39,6.196080928007383e-29,3.80912984109369e-52,4.7246337204305655e-45,5.626097226090665e-43,1.0523788676072114e-44,1.408781753993429e-46,2.794132786555815e-54,2.4600217953398153e-29,1.5913902208162006e-42,4.5700136976049964e-38,3.208752152254462e-39,1.1412286829166089e-49,9.561575659855391e-41,8.286600185935734e-41,4.4401071415112064e-39,3.770872975765697e-61,6.153402590521464e-44,4.5882434177890245e-38
