Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069)
4.1626794090997125e-19,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999996525,2.9619004761904494e-44,0.0,5.006112823358138e-33,8.017331313879058e-18,8.017331313874152e-18,3.715801558875472e-19,1.9117735026640229e-35,2.329636205452313e-34,6.413625929599868e-30,4.8925126483181676e-30,7.74235259138013e-21,1.178050737095862e-41,3.7158015588605983e-19,4.1603431329063266e-36,1.4505528646662393e-27,2.961920804287412e-32,5.013035444816182e-33,4.1830738754368994e-46,8.324974076349777e-40,1.3685998104103732e-44,7.74235259138012e-21,1.0981716643682066e-40,5.15869568797236e-34,2.6200025418332376e-57,1.2149433643601352e-32,7.002081549703217e-34,3.867767429574051e-47,7.430327341695131e-41,3.773869364673015e-38,2.9482269646625785e-35,3.475943768007413e-13,7.089568710149526e-37,4.1681363304801546e-60,2.6200110176354373e-45,3.04451122440941e-51,9.318422146559532e-51,3.0128805369674393e-38,2.2538580431581696e-64,4.340911615651737e-59,5.060148667729486e-57,6.627443305866654e-59,3.2043120370189535e-62,2.7368221719416762e-71,5.098919543156924e-39,2.407858035683135e-56,3.4558498146073254e-52,2.08631840346684e-52,5.02859854979497e-64,7.933317524451971e-55,1.8391947505897284e-54,6.318167024732109e-50,6.180006447851073e-77,5.236085977128718e-57
8.328975394575706e-19,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999993046,2.3713213436448526e-43,0.0,2.0037497603604721e-32,1.6041628163217612e-17,1.6041628163197977e-17,7.434831442300116e-19,7.652076259367055e-35,9.324616012290233e-34,2.2626951852910955e-29,1.958280084914647e-29,1.549143181402992e-20,9.431568949148153e-41,7.434831442271027e-19,1.6652260643934144e-35,2.902391350412295e-27,1.185540220548959e-31,2.0065206126977962e-32,1.6743204284127153e-45,3.3321591820326834e-39,5.477966353355621e-44,1.5491431814029873e-20,4.395548577576297e-40,2.0648226697683245e-33,2.097595263518815e-56,4.86293969122202e-32,2.8026574149963812e-33,3.096565711836263e-46,2.9740673365395664e-40,1.5105312756519913e-37,1.1800591159851986e-34,6.954907461500434e-13,2.8376750755864808e-36,3.3370434785100624e-59,1.0487696358314223e-44,2.438078186723418e-50,7.4622952900472895e-50,1.2059373941202725e-37,3.610089853053399e-63,3.4753687584115656e-58,4.0511957212129703e-56,5.3059844139572116e-58,2.565397993676052e-61,4.382481301890093e-70,2.0408966310015445e-38,1.9277505093078395e-55,2.7667811563160866e-51,1.6707468002193667e-51,8.054496884346574e-63,6.3530880207787e-54,1.4728474525986504e-53,5.0583753350193e-49,1.9798216920571366e-75,4.192052545822062e-56
1.6661567365527692e-18,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999986088,1.8977777685248636e-42,0.0,8.017609049280947e-32,3.209022186189472e-17,3.209022186181616e-17,1.4872891209142162e-18,3.061827251383218e-34,3.7310609790443943e-33,8.444874705927731e-29,7.835671117543157e-29,3.09895902593295e-20,7.548121604971252e-40,1.4872891209086647e-18,6.663110083097924e-35,5.806144454861166e-27,4.743705119807209e-31,8.028696065166787e-32,6.699468520724752e-45,1.3332977071542378e-38,2.1919004297556708e-43,3.098959025932931e-20,1.7587919794678862e-39,8.261980232619354e-33,1.6787139630802127e-55,1.9458093037136558e-31,1.1214280290320103e-32,2.4781936790004497e-45,1.1900143253633788e-39,6.044092909130183e-37,4.721773562113045e-34,1.3912834823625794e-12,1.1354396518083306e-35,2.6706489925244185e-58,4.197104317364172e-44,1.951450714948121e-49,5.9728607386304285e-49,4.825320382718935e-37,5.7792791386954515e-62,2.78135125151095e-57,3.2421878180705692e-55,4.2464001281616125e-57,2.0530980800272036e-60,7.014824168878012e-69,8.166244890614976e-38,1.5427862901697577e-54,2.2142658063216375e-50,1.3372746019261817e-50,1.2894190365369546e-61,5.085045274929015e-53,1.178874914540019e-52,4.048237610259275e-48,6.338982990427769e-74,3.354916086171176e-55
3.3326751307431666e-18,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999972172,1.518510554644684e-41,0.0,3.2075656973888995e-31,6.418740925924892e-17,6.418740925893467e-17,2.9749010742797277e-18,1.2249302896099585e-33,1.4926673330338194e-32,3.2567291090923833e-28,3.1347786752391696e-28,6.198590714992867e-20,6.03964410644791e-39,2.9749010742696955e-18,2.6657073282032456e-34,1.16139551955861e-26,1.897790939419707e-30,3.2120012235533972e-31,2.6802283752333046e-44,5.334059024010385e-38,8.769031801346034e-43,6.198590714992791e-20,7.036313188202133e-39,3.3053300788662535e-32,1.3432266262734527e-54,7.784504249756142e-31,4.486442346202903e-32,1.9829314674604597e-44,4.760832196546106e-39,2.418030930115371e-36,1.889016888268927e-33,2.7828689448433795e-12,4.5424979393555533e-35,2.1369249815067277e-57,1.6796428625335349e-43,1.5615559347194885e-48,4.7794986891418996e-48,1.9304423591132e-36,9.24935563485734e-61,2.225503600540408e-56,2.5942428561708938e-54,3.3977652791977115e-56,1.6427904146290075e-59,1.1226002511595123e-67,3.267029690687726e-37,1.2344634352973606e-53,1.7717490694396238e-49,1.070090612389463e-49,2.0636302459498555e-60,4.0690664149402175e-52,9.433387709578388e-52,3.2392051549836264e-47,2.02904330262841e-72,2.684442596523034e-54
6.665711919123962e-18,0.37094935811250795,3.76,0.0,0.8455740034580069,0.999999999994434,1.2149237932023063e-40,0.0,1.2831307033243321e-30,1.2838178405395733e-16,1.2838178405270018e-16,5.9501249809991586e-18,4.900120054002339e-33,5.971155185455327e-32,1.2784435323440849e-27,1.2540135229837558e-27,1.23978540931127e-19,4.832174061823136e-38,5.950124980983382e-18,1.0663932509024072e-33,2.3230794804345962e-26,7.591781584488715e-30,1.2849050564824641e-30,1.072182384418257e-43,2.1337972634887492e-37,3.50790043909346e-42,1.2397854093112394e-19,2.8147543539239e-38,1.32223963515759e-31,1.074683974890735e-53,3.1140551249145537e-30,1.794722994894932e-31,1.5864957997554842e-43,1.9044878712544975e-38,9.672912502252441e-36,7.55668252368092e-33,5.566039830027892e-12,1.8171470396292245e-34,1.709702344581309e-56,6.723341295144145e-43,1.249402912172546e-47,3.824083049879408e-47,7.722397893449562e-36,1.4800976509158612e-59,1.7805719560239782e-55,2.0755913467052632e-53,2.7184703216203957e-55,1.3143571411498954e-58,1.7963431330164173e-66,1.3069182190409173e-36,9.87664519498915e-53,1.417533839666775e-48,8.561808754664595e-49,3.3022562872346277e-59,3.255665260447093e-51,7.547665641920716e-51,2.5916101745123975e-46,6.49384870008102e-71,2.1477579882222737e-53
1.3331785495885551e-17,0.370949358112508,3.76,0.0,0.8455740034580068,0.9999999999888677,9.71985178796511e-40,0.0,5.132731680649121e-30,2.567705336433741e-16,2.567705336383452e-16,1.190057279439165e-17,1.960127874794165e-32,2.3885591970129544e-31,5.065273950041565e-27,5.016258204788571e-27,2.479638084935236e-19,3.865922767795179e-37,1.1900572794377255e-17,4.265934884619004e-33,4.646934653111553e-26,3.0368362034124355e-29,5.139829368436737e-30,4.288934290459563e-43,8.53553639360847e-37,1.4032190667900124e-41,2.4796380849351143e-19,1.1259475655409377e-37,5.289173745791572e-31,8.597890206792771e-53,1.2456727367607108e-29,7.179184102790097e-31,1.269256893325658e-42,7.618261501969945e-38,3.869323717109982e-35,3.022796007944018e-32,1.1132381441288574e-11,7.268883792274114e-34,1.367826866149201e-55,2.6928245188862762e-42,9.995855993321727e-47,3.0594600914233953e-46,3.08908485340769e-35,2.368316851446059e-58,1.4245252271480633e-54,1.6605519063329464e-52,2.1748795021536868e-54,1.051535664762229e-57,2.874295210309009e-65,5.2278854756966556e-36,7.901691260740385e-52,1.1340809082314661e-47,6.849880572151337e-48,5.283968399835781e-58,2.6046970701111816e-50,6.038514727062114e-50,2.073386561126118e-45,2.0781772159950554e-69,1.718287956434601e-52
2.6663932649408732e-17,0.37094935811250807,3.76,0.0,0.8455740034580066,0.999999999977735,7.77606604385034e-39,0.0,2.0531344554160556e-29,5.135480328222077e-16,5.135480328020913e-16,2.380146842099118e-17,7.840671778330305e-32,9.554430626824496e-31,2.016409148385241e-26,2.0065441050608065e-26,4.959343436183168e-19,3.0928116201217195e-36,2.380146842103101e-17,1.706559319137104e-32,9.296594002173282e-26,1.214759195612542e-28,2.0559735773712598e-29,1.715632809928369e-42,3.414284042225216e-36,5.613004814767572e-41,4.959343436182681e-19,4.5038819646298765e-37,2.115712532336095e-30,6.878491837468783e-52,4.982792322339411e-29,2.8717320667836206e-30,1.0154296166940224e-41,3.0473666217962004e-37,1.5477619940423327e-34,1.2091430032868612e-31,2.2265064027376597e-11,2.907612561075937e-33,1.0942875590319074e-54,1.0798546304573e-41,7.996937880333516e-46,2.4476455365481294e-45,1.2356590811386703e-34,3.78943545190475e-57,1.1396472929411303e-53,1.3284730575777473e-51,1.739944900830023e-53,8.412485537160478e-57,4.598989309146339e-64,2.0911966360844842e-35,6.321503053972415e-51,9.0728626172214e-47,5.480077889959156e-47,8.45463612141839e-57,2.0838236032714027e-49,4.830964672514244e-49,1.6587486122373892e-44,6.650400109882723e-68,1.374662987719635e-51
5.332822695645509e-17,0.370949358112508,3.76,0.0,0.845574003458006,0.9999999999554696,6.2209267320347e-38,0.0,8.212621460260076e-29,1.0271030311798743e-15,1.0271030310994077e-15,4.7603259673448376e-17,3.1363012233886505e-31,3.821810690550865e-30,8.046235333797554e-26,8.026258066044107e-26,9.91875413867903e-19,2.474278653388608e-35,4.7603259673802544e-17,6.827511915499473e-32,1.8603708715191048e-25,4.8590862104589235e-28,8.223977976227133e-29,6.862794571990216e-42,1.3657275264617278e-35,2.2452362462472802e-40,9.918754138677083e-19,1.8015711688219953e-36,8.462936135917091e-30,5.50288502703357e-51,1.9931372040972137e-28,1.1487045119392963e-29,8.123533342675397e-41,1.218959066241785e-36,6.191119098293489e-34,4.836621213619783e-31,4.453042665381956e-11,1.1630567664583482e-32,8.754405845697265e-54,4.3410859468047103e-41,6.397651539403327e-45,1.95814741577496e-44,4.942686605533255e-34,6.063199507051305e-56,9.11728751896485e-53,1.0627910593661481e-50,1.3919724406254825e-52,6.7300691685977985e-56,7.358476515540058e-63,8.364870837841617e-35,5.057262461289266e-50,7.25837623487803e-46,4.384131685244887e-46,1.3527647141347039e-55,1.6670852626422165e-48,3.8648328965518345e-48,1.3270146252206167e-43,2.1281653180069278e-66,1.0997434319514471e-50
1.0665681557054781e-16,0.3709493581125081,3.76,0.0,0.8455740034580049,0.9999999999109388,4.976771025530487e-37,0.0,3.2850653691290966e-28,2.0542130278952053e-15,2.0542130275733378e-15,9.520684217539537e-17,1.2545273565484832e-30,1.5287317015956462e-29,3.2146138413493024e-25,3.210519554677192e-25,1.983757554367074e-18,1.979434656977693e-34,9.52068421772017e-17,2.731982820250162e-31,3.7249122201308157e-25,1.9436443690882367e-27,3.289607928717186e-28,2.7452866164695006e-41,5.462938025046769e-35,8.98108251079651e-40,1.9837575543662954e-18,7.206321779900746e-36,3.385191605972005e-29,4.402376144420817e-50,7.9725893662655425e-28,4.594841418219453e-29,6.498865237570264e-40,4.875861205814425e-36,2.4764667495305744e-33,1.9346583254388873e-30,8.906114172377551e-11,4.652250014710019e-32,7.003568598379426e-53,1.7537420867764766e-40,5.118161724800304e-44,1.566530328448925e-43,1.977084699237643e-33,9.701201408819792e-55,7.29387485219549e-52,8.502378930577581e-50,1.1135845606859916e-51,5.384088670923685e-55,1.1773637440487698e-61,3.3459647148209745e-34,4.0458339750889185e-49,5.806735443617459e-45,3.507333096636644e-45,2.1644418897929777e-54,1.33367876340367e-47,3.0918907828625637e-47,1.0616179782081647e-42,6.810188665248079e-65,8.7979995042262e-50
2.1331399279873325e-16,0.37094935811250823,3.76,0.0,0.8455740034580028,0.9999999998218774,3.981428805903008e-36,0.0,1.3140295504493143e-27,4.1084330213258604e-15,4.108433020038387e-15,1.9041400716741968e-16,5.0181260786327334e-30,6.114939556181225e-29,1.2850694736252977e-24,1.284211086751414e-24,3.96752183536541e-18,1.583552405339612e-33,1.9041400717542438e-16,1.0935672398671855e-30,7.466468541790342e-25,7.774597240277628e-27,1.3158465229823465e-27,1.0982413103700801e-40,2.185180873817377e-34,3.592515617439266e-39,3.967521835362296e-18,2.882536403706804e-35,1.3540800328887e-28,3.521978564362151e-49,3.189043855998257e-27,1.837941241315886e-28,5.1991076147168256e-39,1.9503495550585064e-35,9.905944304443406e-33,7.738652980603e-30,1.781225311319861e-10,1.860904167442375e-31,5.602875282955364e-52,7.153377547353887e-40,4.094545575475624e-43,1.2532292229013343e-42,7.908358917314996e-33,1.5521987915163413e-53,5.835119683119235e-51,6.8019233301420606e-49,8.90870292082912e-51,4.3072859356537975e-54,1.8837880302482487e-60,1.3383887785993496e-33,3.2366767803705146e-48,4.64540213569742e-44,2.805877574996745e-44,3.4631216990694165e-53,1.066947233973966e-46,2.4735224158050687e-46,8.492968678953485e-42,2.1792699130288e-63,7.038420232757564e-49
4.2662834725510414e-16,0.3709493581125085,3.76,0.0,0.8455740034579985,0.9999999996437545,3.18514804608669e-35,0.0,5.2561253736818566e-27,8.216873008187141e-15,8.216873003037242e-15,3.8082833710398973e-16,2.007256096359662e-29,2.44597669164894e-28,5.138725760524853e-24,5.136850870544875e-24,7.935050397362068e-18,1.2668437738339224e-32,3.8082833713756705e-16,4.3804451904909225e-30,1.4999475686081623e-24,3.1098428441574666e-26,5.263392825669849e-27,4.393961968048404e-40,8.740735462449869e-34,1.4370668559529327e-38,7.935050397349611e-18,1.1530163164797665e-34,5.416326593931908e-28,2.817694550501154e-48,1.2756191638984402e-26,7.35177431273215e-28,4.1592922604274385e-38,7.801409042128483e-35,3.9624244516867385e-32,3.095465127072437e-29,3.562451470217513e-10,7.443621567080291e-31,4.4823129248240773e-51,2.97206788617139e-39,3.2756429358670625e-42,1.0025853652484474e-41,3.1633475960201456e-32,2.483523288195207e-52,4.668106653441987e-50,5.44154674376435e-48,7.126972914834311e-50,3.445837411220647e-53,3.014065803476637e-59,5.353557833562882e-33,2.5893452609734896e-47,3.716327218442824e-43,2.244706496310905e-43,5.541006451156483e-52,8.535594795531603e-46,1.978821853624332e-45,6.794384470218723e-41,6.973678963463671e-62,5.630744133748349e-48
