Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097)
1.3532211678841943e-20,0.08374386065951002,3.76,0.0,0.5055583081218448,0.9999999999997088,2.359097047921614e-44,0.0,1.7965981105161954e-32,2.9257355969736583e-16,2.92573559697307e-16,5.582962099576075e-18,8.251991091337686e-34,9.625989132474788e-33,6.4074023750474584e-28,5.872825539316119e-29,9.457446836882972e-19,1.6513356413079756e-41,5.582962098994146e-18,1.4133651116604415e-34,7.610893288250791e-24,8.009043244096071e-32,1.8175965027456587e-32,1.4118257358228443e-41,4.204261684080656e-37,7.641220883777961e-42,9.457446836882965e-19,6.376194956994021e-38,9.70674895972678e-33,2.6139572904191106e-55,3.885287755007602e-32,1.423984710549774e-32,3.6048703771005506e-46,9.352305590196572e-38,2.954918991681844e-35,4.565521881717845e-33,2.911822328289188e-13,4.923153249204932e-34,2.9718811822425114e-56,4.464507772969314e-41,1.0537806866186638e-48,1.919513334504517e-48
2.7076180274867937e-20,0.08374386065951003,3.76,0.0,0.5055583081218444,0.9999999999994174,1.8887120709671454e-43,0.0,7.191074514435499e-32,5.854013101503329e-16,5.854013101500976e-16,1.1170774730947854e-17,3.302946968357276e-33,3.8529042578309495e-32,1.3996548191374403e-27,2.3506607182308736e-28,1.8923110395605104e-18,1.3220725958104356e-40,1.11707747297836e-17,5.6571444435144135e-34,1.5228399092471423e-23,3.205704514533109e-31,7.275122804385337e-32,5.650982540149788e-41,1.68280033585855e-36,3.058479848610233e-41,1.892311039560507e-18,2.552139667549745e-37,3.8852292354600434e-32,2.0927553167289802e-54,1.5551276372132382e-31,5.699649853453797e-32,2.886088217195947e-45,3.7433595173190415e-37,1.1827376732090432e-34,1.8273985620269458e-32,5.826174475392848e-13,1.970544310197095e-33,2.3793119773134216e-55,1.7869694880796865e-40,8.438792020450721e-48,1.5371674596780789e-47
5.416411746691992e-20,0.08374386065951003,3.76,0.0,0.5055583081218439,0.9999999999988345,1.5115436759377485e-42,0.0,2.87736648866257e-31,1.171056811056266e-15,1.1710568110553242e-15,2.2346399993684327e-17,1.321609016812491e-32,1.5416635668921364e-31,3.270490206031712e-27,9.405704750287796e-28,3.785443751304935e-18,1.0580598814985344e-39,2.2346399991355745e-17,2.2635951836377394e-33,3.0463410994505913e-23,1.2826993681533921e-30,2.9109967505526447e-31,2.261129308937609e-40,6.733393292461848e-36,1.2237904333010724e-40,3.7854437513049205e-18,1.0211882989181306e-36,1.5545977685550486e-31,1.674840422828244e-53,6.222536196400426e-31,2.280602355154196e-31,2.3097477148826964e-44,1.497831402135382e-36,4.7324912993856125e-34,7.311974544958481e-32,1.1654878767324208e-12,7.884743991619118e-33,1.9041727041850712e-54,7.1502287521107755e-40,6.754453898115404e-47,1.2303569889196334e-46
1.0833999185102389e-19,0.08374386065951006,3.76,0.0,0.5055583081218427,0.9999999999976688,1.2094645986968728e-41,0.0,1.1511339599640354e-30,2.342367812868128e-15,2.3423678128643613e-15,4.46976505191289e-17,5.287296652989239e-32,6.1676581365113e-31,8.424185874326543e-27,3.762894362816668e-27,7.571709174793775e-18,8.466086614861091e-39,4.469765051447297e-17,9.055858932259351e-33,6.093343597294779e-23,5.131632716204246e-30,1.1645882530816756e-30,9.045991341539348e-40,2.693795769291721e-35,4.8959594850824416e-40,7.571709174793718e-18,4.085418156055469e-36,6.219403366113021e-31,1.3401270265333496e-52,2.4894196657795903e-30,9.123894459678493e-31,1.848149103337971e-43,5.992300938182948e-36,1.8933046965934886e-33,2.9252659451680004e-31,2.3312287342083087e-12,3.154411018745322e-32,1.5236274751210747e-53,2.8605756301909935e-39,5.404931565389176e-46,9.845348604998489e-46
2.1669174061923185e-19,0.08374386065951009,3.76,0.0,0.5055583081218402,0.9999999999953372,9.676635538867806e-41,0.0,4.604910605414774e-30,4.684989816491839e-15,4.6849898164767725e-15,8.940015156990462e-17,2.1150907939795416e-31,2.4672640414407526e-30,2.437967678886735e-26,1.5052802463843637e-26,1.514424002177142e-17,6.773512385709124e-38,8.940015156059918e-17,3.622641773679461e-32,1.2187349062732324e-22,2.0528201470502047e-29,4.6587321458618116e-30,3.618692426998906e-39,1.077606004463385e-34,1.9585438762866446e-39,1.5144240021771185e-17,1.6343002654683667e-35,2.4879638184137315e-30,1.0722037732025003e-51,9.958489095244875e-30,3.649854812831073e-30,1.4786596702362478e-42,2.397115455337017e-35,7.57383527703517e-33,1.1702016102834587e-30,4.6627104455185486e-12,1.2618670982720008e-31,1.219017718804997e-52,1.1443382070345345e-38,4.324492697958331e-45,7.877276083583982e-45
4.3339523815564775e-19,0.08374386065951017,3.76,0.0,0.5055583081218354,0.9999999999906741,7.741675981423578e-40,0.0,1.842039205845125e-29,9.370233823739203e-15,9.370233823678934e-15,1.7880515367100229e-16,8.460707480769683e-31,9.869457743725996e-30,7.888305692916144e-26,6.021365996726367e-26,3.0289301715726565e-17,5.419067159792753e-37,1.7880515365241865e-16,1.4491183839180106e-31,2.4375361872604066e-22,8.211614720862866e-29,1.8635686884034983e-29,1.4475369895763885e-38,4.310599417913473e-34,7.8344998452249e-39,3.0289301715725616e-17,6.537467089422946e-35,9.952260225380979e-30,8.578043067962525e-51,3.983557730274214e-29,1.460001333035655e-29,1.1829838942090345e-41,9.588851997315013e-35,3.029657487807284e-32,4.6809969123287985e-30,9.325673853572883e-12,5.0476737742795496e-31,9.752604756168264e-52,4.577657724342989e-38,3.4598131500798106e-44,6.302219771670419e-44
8.668022332284795e-19,0.08374386065951031,3.76,0.0,0.5055583081218259,0.999999999981348,6.193487858770653e-39,0.0,7.368306816597837e-29,1.8740721838233703e-14,1.8740721837992624e-14,3.5761515787138257e-16,3.384351876124826e-30,3.9478634065063227e-29,2.7825941044986313e-25,2.408595401760589e-25,6.057942510363628e-17,4.3353566310049036e-36,3.576151578343256e-16,5.796613144197002e-31,4.875139500833426e-22,3.2847127157697932e-28,7.454426421646209e-29,5.790274706781115e-38,1.724274848059023e-33,3.133868138617082e-38,6.057942510363249e-17,2.6150400518148124e-34,3.9809850766357414e-29,6.862606415961652e-50,1.5934555111057902e-28,5.840124150032823e-29,9.46409579166083e-41,3.8356188370663e-34,1.211887730537814e-31,1.872436859833248e-29,1.8651600611416974e-11,2.0191105805460854e-30,7.802269054041759e-51,1.8311952533668416e-37,2.7679381195624837e-43,5.0419353851205736e-43
1.733616223374143e-18,0.08374386065951062,3.76,0.0,0.5055583081218067,0.9999999999626958,4.954849196573446e-38,0.0,2.9473527761016265e-28,3.748169786722178e-14,3.748169786625745e-14,7.152351662648827e-16,1.353754544632599e-29,1.579161418143466e-28,1.0384904904138286e-24,9.634479613733954e-25,1.211596718794534e-16,3.468326466513987e-35,7.15235166191212e-16,2.318686185620173e-30,9.750349134374187e-22,1.3138984516738562e-27,2.9818009067067274e-28,2.3161405996778845e-37,6.897169556704946e-33,1.2535635607668894e-37,1.2115967187943827e-16,1.0460266717006446e-33,1.5924102238521716e-28,5.490164805163709e-49,6.373886882862266e-28,2.3360734237775145e-28,7.571366489579427e-40,1.5342631438396496e-33,4.847600870038584e-31,7.489823629691099e-29,3.730345389404684e-11,8.076524415501425e-30,6.241889410858128e-50,7.325614811193826e-37,2.2143855362081044e-42,4.033612137773281e-42
3.4672442036654704e-18,0.08374386065951123,3.76,0.0,0.5055583081217684,0.9999999999253915,3.963903048149078e-37,0.0,1.1789471608015584e-27,7.496364992519427e-14,7.496364992133694e-14,1.4304751830228424e-15,5.415045905391915e-29,6.316677732556848e-28,4.0048661417288715e-24,3.853811446662459e-24,2.423201654310785e-16,2.7746776378326615e-34,1.430475182877274e-15,9.274930646784782e-30,1.9500780427034956e-21,5.255620535642599e-27,1.1927264336567865e-27,9.264666769350044e-37,2.758881857283862e-32,5.014308174630197e-37,2.423201654310179e-16,4.1841280502137726e-33,6.369673248004772e-28,4.392181132283072e-48,2.5495677207862534e-27,9.344341222648924e-28,6.057129134172772e-39,6.137083803492977e-33,1.939050718931659e-30,2.995944689917062e-28,7.460715952707337e-11,3.230626145670924e-29,4.993541303122682e-49,2.9308682599322463e-36,1.7715224456550446e-41,3.226915244826839e-41
6.934500164248125e-18,0.0837438606595124,3.76,0.0,0.5055583081216918,0.9999999998507826,3.171132117963645e-36,0.0,4.715801067488516e-27,1.499275540411246e-13,1.499275540256952e-13,2.8609552164225974e-15,2.1660240182402073e-28,2.5266774640401377e-27,1.5721271407482333e-23,1.5415284987021397e-23,4.846411525342917e-16,2.2197486958607503e-33,2.8609552161385573e-15,3.710092678164687e-29,3.9001691114676315e-21,2.1022535585354345e-26,4.7709179033019186e-27,3.7059219311078765e-36,1.1035555511566957e-31,2.0057511128231685e-36,4.846411525340496e-16,1.673655541870852e-32,2.547875742580464e-27,3.5137924915543423e-47,1.0198296817651931e-26,3.737745994427354e-27,4.845717684020267e-38,2.4548397750133153e-32,7.75622666796175e-30,1.1983809235026785e-27,1.492145670641937e-10,1.2922537027568008e-28,3.9948451238137486e-48,1.1728362317448088e-35,1.417223563794252e-40,2.5815424138120305e-40
1.3869012085413433e-17,0.08374386065951481,3.76,0.0,0.5055583081215385,0.999999999701565,2.536909891045901e-35,0.0,1.8863231706815532e-26,2.9985536227292655e-13,2.998553622112089e-13,5.72191528275745e-15,8.664108270730946e-28,1.0106722270261677e-26,6.228869777208211e-23,6.166121833248848e-23,9.69283126740571e-16,1.7758015904893228e-32,5.721915282217755e-15,1.4841277460130446e-28,7.800370489926091e-21,8.409024910526928e-26,1.9083696164180854e-26,1.4824072965275343e-35,4.4142278316515565e-31,8.023196590423811e-36,9.69283126739602e-16,6.694631203812621e-32,1.019151563985275e-26,2.811097620232091e-46,4.07932391330113e-26,1.4951002987176995e-26,3.8765798973072184e-37,9.819371671102248e-32,3.10249786592286e-29,4.7935297884567795e-27,2.98429367222705e-10,5.169021048707782e-28,3.1958812059876584e-47,4.695238467921971e-35,1.1337810948652115e-39,2.065238024746941e-39
2.773803592774405e-17,0.08374386065951958,3.76,0.0,0.5055583081212319,0.9999999994031298,2.029530111333495e-34,0.0,7.545300240717349e-26,5.997109787362957e-13,5.997109784894249e-13,1.144383541356853e-14,3.465646456320307e-27,4.04269112856799e-26,2.4796201367844813e-22,2.466450299674274e-22,1.93856707515254e-15,1.4206423252061927e-31,1.1443835412602689e-14,5.937225060383925e-28,1.5600850210581866e-20,3.363612089742203e-25,7.633483546746979e-26,5.929926070084609e-35,1.7656922664919857e-30,3.209426226538859e-35,1.9385670751486648e-15,2.6778546029910857e-31,4.076608616056231e-26,2.2489748952838715e-45,1.6317306020356643e-25,5.980404995735125e-26,3.101266216937837e-36,3.9277512336943673e-31,1.2410025383461933e-28,1.9174131337666638e-26,5.968589078768221e-10,2.0676094659771273e-27,2.556707446610388e-46,1.8812066436680017e-34,9.070257748928644e-39,1.6521920676929216e-38
5.5476083612405285e-17,0.08374386065952916,3.76,0.0,0.5055583081206189,0.9999999988062593,1.6236258001865875e-33,0.0,3.0181232643783595e-25,1.1994222116620947e-12,1.1994222106746115e-12,2.288767566775618e-14,1.3862597789118122e-26,1.6170766856333924e-25,9.894624969582052e-22,9.865804320933866e-22,3.8771349719741235e-15,1.1365142801607286e-30,2.2887675666278686e-14,2.375459020881932e-27,3.120211750699358e-20,1.3454452532058496e-24,3.053394571615802e-25,2.3722056743260397e-34,7.062771401037562e-30,1.283887338722911e-34,3.877134971958621e-15,1.071142516849137e-30,1.6306437794116943e-25,1.7993327931377812e-44,6.526924477306166e-25,2.3921627576420804e-25,2.481013891673462e-35,1.5711010473624038e-30,4.964032555164373e-28,7.669654967787734e-26,1.1937177505335298e-09,8.270438348555301e-27,2.0453676524871644e-45,7.549709474089835e-34,7.256209818634045e-38,1.3217543299766112e-37
8.321413129706652e-17,0.08374386065953872,3.76,0.0,0.5055583081200058,0.9999999982093892,4.642557286017112e-33,0.0,6.413515780079044e-25,1.7991334445869551e-12,1.7991334424885534e-12,3.433151591450934e-14,2.945803415397325e-26,3.436287867046488e-25,2.101116830352915e-21,2.0964836120450576e-21,5.815702868793351e-15,3.249720826789033e-30,3.433151591286082e-14,5.048685496201575e-27,4.680369265865015e-20,2.8590714149578483e-24,6.488464338704669e-25,5.041333236121028e-34,1.500839078212154e-29,2.7284573426024765e-34,5.815702868760405e-15,2.2761786240180658e-30,3.465118082772428e-25,5.145248947142304e-44,1.3869715801971429e-24,5.083346333654284e-25,7.094149768674262e-35,3.3385901323447054e-30,1.0548600750327023e-27,1.6298018321862387e-25,1.7905763545388071e-09,1.7574679983274714e-26,5.848475439268706e-45,1.6085119993881257e-33,2.1541872289392386e-37,3.923958104429692e-37
1.1095217898172775e-16,0.0837438606595483,3.76,0.0,0.5055583081193927,0.9999999976125196,9.792501882911643e-33,0.0,1.0940709020268371e-24,2.398844677510876e-12,2.3988446739312493e-12,4.5775356153828e-14,5.025196050863811e-26,5.8619024732644135e-25,3.5829250125105056e-21,3.576354568792071e-21,7.754270765610224e-15,6.854602755946667e-30,4.5775356152349095e-14,8.613774840497913e-27,6.240557566569626e-20,4.877239687256859e-24,1.1068557775213714e-24,8.600580476095137e-34,2.560255048839041e-29,4.654754519533099e-34,7.75427076555402e-15,3.882894072396735e-30,5.911083649850627e-25,1.0853389404536145e-43,2.3660104571566808e-24,8.67159122688867e-25,1.4963617233694083e-34,5.6952424286295376e-30,1.7994720788861903e-27,2.780250319186513e-25,2.3874347198927484e-09,2.99803329619118e-26,1.233613291862566e-44,2.7509208655642024e-33,4.693860292358838e-37,8.550097728825218e-37
1.6642827435105022e-16,0.08374386065956742,3.76,0.0,0.5055583081181665,0.9999999964187805,2.6746376988554433e-32,0.0,2.2651367001151012e-24,3.5982671433565136e-12,3.598267135945351e-12,6.866303661501703e-14,1.0404036632323145e-25,1.2136322826132738e-24,7.415269792836856e-21,7.404388199779551e-21,1.1631406559238444e-14,1.872204700341295e-29,6.86630366146768e-14,1.783825785522829e-26,9.361006419798795e-20,1.0097705652852021e-23,2.2916045465743308e-24,1.7808935336439255e-33,5.30068321967871e-29,9.638332279338219e-34,1.1631406559122078e-14,8.039042922483578e-30,1.223814696317143e-24,2.9646788150348213e-43,4.898524344486867e-24,1.795342900052001e-24,4.087028166173579e-34,1.1791277210602728e-29,3.7255951457399154e-27,5.75615540259772e-25,3.5811508905008535e-09,6.207045708964625e-26,3.3693827080778954e-44,5.722224135551702e-33,1.3624826066215068e-36,2.4818292252438912e-36
2.219043697203727e-16,0.08374386065958657,3.76,0.0,0.5055583081169402,0.9999999952250422,5.596239837011963e-32,0.0,3.852407194614255e-24,4.797689609198698e-12,4.7976895965942515e-12,9.155071704886679e-14,1.7694551508231687e-25,2.064070332171799e-24,1.2608802281055234e-20,1.259292528834297e-20,1.5508542352858006e-14,3.9172785951569965e-29,9.155071705091788e-14,3.034553651252283e-26,1.2481568482554698e-19,1.717355284846857e-23,3.8974194557959955e-24,3.029261642056018e-33,9.0150742082648e-29,1.639440498427092e-33,1.5508542352660093e-14,1.3672312846190355e-29,2.081388073248765e-24,6.203650935278198e-43,8.331107103396645e-24,3.053408117473922e-24,8.551430277122241e-34,2.0053875762657957e-29,6.336288570237785e-27,9.789712942480496e-25,4.7748661835036745e-09,1.0556556516460409e-25,7.049879810962985e-44,9.777428202917417e-33,2.9795954048647394e-36,5.427479974400028e-36
3.3285656045901763e-16,0.08374386065962484,3.76,0.0,0.5055583081144879,0.9999999928375688,1.767122712167172e-31,0.0,8.39362492405657e-24,7.196534540871727e-12,7.196534513409208e-12,1.373260778267938e-13,3.855287195489746e-25,4.497186634725178e-24,2.7465531841975065e-20,2.743741722440576e-20,2.326281394006873e-14,1.2369558339462528e-28,1.3732607783774075e-13,6.615508359148023e-26,1.8723064349179725e-19,3.7417670376778097e-23,8.491683791976346e-24,6.602353887977198e-33,1.9642009965162165e-28,3.573104162476709e-33,2.326281393963746e-14,2.9789214067689886e-29,4.534919100047189e-24,1.9594309471778366e-42,1.8151784165134013e-23,6.652753891088925e-24,2.7002780948270286e-33,4.369331307691952e-29,1.3805621753178966e-26,2.1329788978293976e-24,7.162293887764268e-09,2.300057037838298e-25,2.2261381723576598e-43,2.153753067592535e-32,9.911544404171235e-36,1.805436755323998e-35
4.4380875119766257e-16,0.08374386065966312,3.76,0.0,0.5055583081120355,0.9999999904500992,4.0193908800416255e-31,0.0,1.473640604414905e-23,9.59537947252981e-12,9.595379424314865e-12,1.8310143848638263e-13,6.768595632101894e-25,7.895543366371646e-24,4.8214186407147105e-20,4.817087240612962e-20,3.101708552724203e-14,2.813501559355934e-28,1.831014385116475e-13,1.1621024765751408e-25,2.4965050246644893e-19,6.569283779221696e-23,1.4908541534342684e-23,1.1595168149669102e-32,3.4484761815597077e-28,6.27498413196693e-33,3.101708552648479e-14,5.229988824912723e-29,7.961789946339042e-24,4.457794255056383e-42,3.1868425257431034e-23,1.1679997321648499e-23,6.1418818921602524e-33,7.671076498212734e-29,2.4238261708645948e-26,3.744793239000022e-24,9.54971779330403e-09,4.038123818259905e-25,5.0634399097916915e-43,3.8200583945730143e-32,2.305812729576482e-35,4.2001518566286383e-35
6.657131326749524e-16,0.08374386065973968,3.76,0.0,0.5055583081071308,0.9999999856751712,1.3419958179995395e-30,0.0,3.2851604803555685e-23,1.4393069335800919e-11,1.4393069228316613e-11,2.7465215944891127e-13,1.5089094223024466e-24,1.760131236207361e-23,1.0746870048675464e-19,1.0738606161507226e-19,4.652562870147602e-14,9.393700451057363e-28,2.746521595191528e-13,2.593766120521696e-25,3.745049891139759e-19,1.4644731452694828e-22,3.323523062026922e-23,2.5866327067095984e-32,7.687598180518441e-28,1.3997358166488593e-32,4.65256286997875e-14,1.1659101723155234e-28,1.774899931476819e-23,1.4891600312595408e-41,7.104344423951544e-23,2.6037911639295795e-23,2.0506474803751533e-32,1.7100933959435078e-28,5.403486500021344e-26,8.348169318667125e-24,1.4324554155751463e-08,9.002071732242697e-25,1.6905832261689995e-42,8.701867397796459e-32,7.851267115641542e-35,1.4301471980689399e-34
