Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145)
6.607130951758771e-20,0.20609604373848486,3.76,0.0,0.7413797681894384,0.9999999999996877,2.3168866218365353e-44,0.0,9.315711000721839e-33,7.431411455087402e-17,7.43141145508536e-17,1.839238765598648e-18,1.2784835595533606e-34,1.5441172055660798e-33,7.705498477710627e-29,2.0381989228176294e-29,1.5574835407868714e-19,1.6727425709058996e-41,1.8392387655420183e-18,4.268612026211229e-35,1.8302445329594293e-25,3.9418640163836084e-32,9.387167664782909e-33,2.0711124284822665e-43,3.4028926531256006e-38,7.0641254157828714e-43,1.5574835407868697e-19,5.639584075638985e-39,2.518070876934076e-33,3.577313624991845e-56,2.389128649008764e-32,4.0805420243421354e-33,1.2904730809831583e-46,5.745863872092209e-39,1.736225105558448e-36,5.364297159793401e-34,3.122584546232378e-13,3.106738874998849e-35,7.857240253221707e-58,8.881495147942807e-43,7.334426357520466e-50,1.726309435297018e-49,1.0706127661663641e-36,1.3046094461991242e-63,9.547097643602227e-57,1.0781733099367054e-54,1.6433913190643563e-56,3.197524880373893e-59
1.3220002243180233e-19,0.20609604373848486,3.76,0.0,0.7413797681894383,0.9999999999993752,1.8549180641785546e-43,0.0,3.7287121456215613e-32,1.4869279392759588e-16,1.4869279392751419e-16,3.68007547973301e-18,5.117266065633763e-34,6.180492906919231e-33,1.9498447800941523e-28,8.158107390949015e-29,3.116320238429335e-19,1.3392111558176277e-40,3.680075479619781e-18,1.7085579125465868e-34,3.6620797303593018e-25,1.5777728859576696e-31,3.757313432484842e-32,8.289848084759908e-43,1.3620438806972298e-37,2.8274912473744903e-42,3.116320238429329e-19,2.2573033487450947e-38,1.0078845789054184e-32,2.8640261702075098e-55,9.562740844979947e-32,1.6332802296785032e-32,1.0331631276654598e-45,2.299842964251715e-38,6.949425190021361e-36,2.147116840102019e-33,6.247882022241802e-13,1.2435051891483892e-34,6.290569743763812e-57,3.554932488670372e-42,5.873489565695405e-49,1.382447646334338e-48,4.285241162063338e-36,2.0896423963634546e-62,7.643483163012983e-56,8.631942234795231e-54,1.3157123075252973e-55,2.559964136831837e-58
2.644574482602316e-19,0.20609604373848486,3.76,0.0,0.7413797681894382,0.9999999999987501,1.4844981995391612e-42,0.0,1.4919705462822441e-31,2.974501526810396e-16,2.9745015268071275e-16,7.361748907999148e-18,2.0475729835124907e-33,2.473002208514552e-32,5.533193166155355e-28,3.264305599068385e-28,6.2339936337142625e-19,1.0717759382612886e-39,7.361748907772956e-18,6.836462508977303e-34,7.32575171639189e-25,6.313146688138948e-31,1.5034147857932655e-31,3.317019753711083e-42,5.449949667324936e-37,1.1313648902486385e-41,6.233993633714238e-19,9.032153672458877e-38,4.0328511454604824e-32,2.2920915488662196e-54,3.8263419426656374e-31,6.535248364729924e-32,8.268445014977831e-45,9.202367541787749e-38,2.780675308229943e-35,8.591264109598663e-33,1.2498476968073297e-12,4.975640494163446e-34,5.034367631958239e-56,1.4224519280841076e-41,4.7011722072813336e-48,1.106518430020809e-47,1.7146546433406008e-35,3.345242694357291e-61,6.117109547457401e-55,6.908177211303821e-53,1.0529697178454256e-54,2.048749335654802e-57
5.289722999170902e-19,0.20609604373848492,3.76,0.0,0.7413797681894378,0.9999999999975,1.1878241079777966e-41,0.0,5.968853704286171e-31,5.949648701879269e-16,5.949648701866193e-16,1.4725095764521082e-17,8.191625253401681e-33,9.893619150507787e-32,1.759892402389593e-27,1.305934798435902e-27,1.2469340424284114e-18,8.575835908428726e-39,1.472509576406992e-17,2.735034455232947e-33,1.465310205338845e-24,2.525669762642555e-30,6.014638108575131e-31,1.3270244666046583e-41,2.1803347465184513e-36,4.5261970097579763e-41,1.2469340424284018e-18,3.613449610475596e-37,1.6134030611834445e-31,1.8340217706787182e-53,1.5307859334874286e-30,2.6145248957069887e-31,6.616012277861356e-44,3.681546239378044e-37,1.1124512121348934e-34,3.4370650733556434e-32,2.4999666834986867e-12,1.9905801895587834e-33,4.0282590090416624e-55,5.690861027815205e-41,3.7618902203012814e-47,8.85438923962744e-47,6.859735089456617e-35,5.353840612563762e-60,4.894617051142908e-54,5.527591362702115e-52,8.425357571841186e-54,1.6393107465033013e-56
1.0580020032308072e-18,0.20609604373848492,3.76,0.0,0.7413797681894372,0.9999999999949998,9.50349516759651e-41,0.0,2.3877358031532282e-30,1.1899943052017007e-15,1.1899943051964698e-15,2.945178947752358e-17,3.2769167961614534e-32,3.957769742900605e-31,6.1326522081514475e-27,5.2241643415953764e-27,2.4940034005423806e-18,6.861320157215736e-38,2.9451789476626264e-17,1.094106251943695e-32,2.9307828187107145e-24,1.0103501283672231e-29,2.4060510507455464e-30,5.308534470575987e-41,8.72204879686859e-36,1.8106267531357812e-40,2.494003400542342e-18,1.4454974826453991e-36,6.454137485155504e-31,1.4673571834116506e-52,6.1236420822623e-30,1.0458950743058441e-30,5.293312382310928e-43,1.4727383491037998e-36,4.45016718488203e-34,1.3749379232100478e-31,5.0002046469816316e-12,7.962968774019044e-33,3.222913209727176e-54,2.276631342070161e-40,3.009893204558819e-46,7.084408221330366e-46,2.7441173549302564e-34,8.567306985920825e-59,3.916065458337907e-53,4.422492972486495e-51,6.740926057376586e-53,1.3115731232855091e-55
2.116061409858241e-18,0.20609604373848495,3.76,0.0,0.741379768189436,0.9999999999899992,7.603157097268894e-40,0.0,9.55133189948435e-30,2.3800531752292457e-15,2.380053175208322e-15,5.890517690336311e-17,1.3108200688754316e-31,1.583172313170089e-30,2.271662635626187e-26,2.0897507692030735e-26,4.988142116770315e-18,5.4893167117982924e-37,5.890517690158868e-17,4.376630539267738e-32,5.8617382293447056e-24,4.0415649657642845e-29,9.624595833886157e-30,2.123503866660764e-40,3.488961486817427e-35,7.242806513394869e-40,4.988142116770162e-18,5.7822252301056056e-36,2.5817600435022546e-30,1.1739421994169492e-51,2.4495565061015e-29,4.1837505353204074e-30,4.2348509405705856e-42,5.8911931139348904e-36,1.7801394500933557e-33,5.499975488514313e-31,1.0000680534348445e-11,3.1853171060582483e-32,2.5784529887835574e-53,9.10770928060622e-40,2.408066984294258e-45,5.667885331384189e-45,1.0976916074124186e-33,1.370862084525714e-57,3.1330011214803864e-52,3.538162339902458e-50,5.3929968593850075e-52,1.0493083142643906e-54
4.2321802231131094e-18,0.20609604373848506,3.76,0.0,0.7413797681894335,0.9999999999799982,6.082670102795251e-39,0.0,3.820610522676695e-29,4.760170915284324e-15,4.7601709152006255e-15,1.1781195175438026e-16,5.243387054635317e-31,6.332818064407124e-30,8.723839279668363e-26,8.359173144705521e-26,9.976419549226165e-18,4.391557606502876e-36,1.178119517509123e-16,1.7507097910007211e-31,1.1723689786173908e-23,1.616658877206039e-28,3.8499166629928774e-29,8.494217662771927e-40,1.395612989531472e-34,2.8971853800922778e-39,9.976419549225553e-18,2.312937164173963e-35,1.0327250257551922e-29,9.391772099459008e-51,9.798425374229518e-29,1.6735342623453718e-29,3.387961168454358e-41,2.356525191754972e-35,7.120703805577663e-33,2.2000349553135915e-30,2.0001632150685777e-11,1.2741527531181208e-31,2.062811382282071e-52,3.6438085258225925e-39,1.9265145575815526e-44,4.53445177212822e-44,4.390855762284441e-33,2.1934537103281154e-56,2.506460432532593e-51,2.8305970585017325e-49,4.314499895394442e-51,8.394665822658707e-54
8.464417849622846e-18,0.20609604373848525,3.76,0.0,0.7413797681894286,0.9999999999599962,4.866193910356243e-38,0.0,1.5282597810855563e-28,9.52040639539444e-15,9.520406395059641e-15,2.3562550145376703e-16,2.097376239000993e-30,2.5331529702682926e-29,3.4169719823716343e-25,3.3437032715522466e-25,1.9952974414137802e-17,3.51328778037742e-35,2.35625501447155e-16,7.00308606211177e-31,2.34477558420789e-23,6.466701290056037e-28,1.5399823327148536e-28,3.3977451336152876e-39,5.582508753720586e-34,1.1588890059004354e-38,1.995297441413535e-17,9.251842892910604e-35,4.1309421048412986e-29,7.5135253822792575e-50,3.9194100199165914e-28,6.694205146355392e-29,2.71040110153093e-40,9.426196674824006e-35,2.8483114038050905e-32,8.800229341676655e-30,4.000353474977529e-11,5.096662761869312e-31,1.650268737064476e-51,1.4580587970135148e-38,1.5412360345383392e-43,3.627618822848209e-43,1.756360171730817e-32,3.5095854345053844e-55,2.0051922114200567e-50,2.264504521824658e-48,3.4516408796302987e-50,6.715812447694697e-53
1.692889310264232e-17,0.20609604373848556,3.76,0.0,0.7413797681894189,0.9999999999199922,3.892978351458283e-37,0.0,6.113070422909636e-28,1.9040877355614498e-14,1.9040877354275296e-14,4.712526008419501e-16,8.389548279529507e-30,1.0132663225759207e-28,1.3522758992193278e-24,1.3374881112160882e-24,3.9906084143960816e-17,2.810646902151677e-34,4.712526008300222e-16,2.80138920203971e-30,4.6896539722888705e-23,2.586693671403902e-27,6.159960677958906e-28,1.3591237703882985e-38,2.233014865041901e-33,4.6356041219275303e-38,3.9906084143951004e-17,3.700756077381841e-34,1.6523852301283572e-28,6.0108856269416015e-49,1.5677719819712346e-27,2.6776956779442336e-28,2.168333747919709e-39,3.770497863246639e-34,1.1393310820828173e-31,3.520109640682585e-29,8.000733741361383e-11,2.0386753967098042e-30,1.320222897359783e-50,5.836429352246484e-38,1.2329985831623322e-42,2.9021180228501915e-42,7.025476421764824e-32,5.61538428394161e-54,1.6041633968562736e-49,1.8116143675928667e-47,2.7613290885207053e-49,5.372681978333464e-52
3.3857843608681267e-17,0.20609604373848633,3.76,0.0,0.7413797681893993,0.9999999998399841,3.114392117300472e-36,0.0,2.4452345524105953e-27,3.8081819276053917e-14,3.80818192706971e-14,9.425067995759551e-16,3.355828367769388e-29,4.05307544362046e-28,5.380077660489752e-24,5.349966048732254e-24,7.981230360360577e-17,2.2485241923528682e-33,9.42506799557283e-16,1.1206709542687031e-29,9.379671456061553e-23,1.034680098904959e-26,2.4639905501571197e-27,5.436659341655458e-38,8.932082222398913e-33,1.8542659808417043e-37,7.981230360356655e-17,1.4803062733173338e-33,6.609557599257125e-28,4.808770213720131e-48,6.271103875322845e-27,1.071080995021515e-27,1.7346721448742787e-38,1.5082029933072885e-33,4.55734172323956e-31,1.4080474369616114e-28,1.6001493260393023e-10,8.154721707102095e-30,1.0561815692381654e-49,2.337909286302386e-37,9.864027688662048e-42,2.321703607884943e-41,2.8101977165288976e-31,8.984652893222346e-53,1.2833346989843407e-48,1.4492957942252062e-46,2.2090698237749146e-48,4.298158557400758e-51
6.771574462075916e-17,0.20609604373848772,3.76,0.0,0.7413797681893602,0.999999999679968,2.491517703233989e-35,0.0,9.78095196430507e-27,7.616370311693e-14,7.616370309550273e-14,1.885015196874521e-15,1.3423334712879235e-28,1.6212321155991516e-27,2.1462258611465243e-23,2.1399891391873086e-23,1.5962474252289151e-16,1.7988220212903418e-32,1.8850151968579107e-15,4.483588908040621e-29,1.8760749254136202e-22,4.138725650402454e-26,9.855974834907259e-27,2.1747868504453685e-37,3.5728374694696283e-32,7.4172302866789785e-37,1.596247425227346e-16,5.921233244508519e-33,2.6438262973134323e-27,3.847097789726013e-47,2.508444739134847e-26,4.284329427438526e-27,1.387739774267618e-37,6.03281974394848e-33,1.8229436512879437e-30,5.632196908257374e-28,3.200300824351307e-10,3.261892335932183e-29,8.449466971433146e-49,9.378301936429382e-37,7.891237762045401e-41,1.8573665681426425e-40,1.1240805168487461e-30,1.4375474957187842e-51,1.0266695604273204e-47,1.1594383555766886e-45,1.7672584786234713e-47,3.438532302414917e-50
1.3543154664491494e-16,0.20609604373849058,3.76,0.0,0.7413797681892821,0.9999999993599359,1.9932161422401097e-34,0.0,3.912384327180238e-26,1.523274707986711e-13,1.5232747071296204e-13,3.770031990793874e-15,5.369340637407325e-28,6.484931598583566e-27,8.573293015683673e-23,8.559961987483465e-23,3.192496203614461e-16,1.4390586826379543e-31,3.770031990843591e-15,1.794156216643508e-28,3.7527076173093735e-22,1.655491306390063e-25,3.9423925218742244e-26,8.700115736387322e-37,1.4291359263373647e-31,2.9670195466632086e-36,3.192496203608184e-16,2.3684953012533686e-32,1.0575311079343528e-26,3.077801973475762e-46,1.0033785330670976e-25,1.7137328601735183e-26,1.1101926423610269e-36,2.4131295114789278e-32,7.291816393187733e-30,2.2528801946065757e-27,6.400602198998848e-10,1.3047573682190732e-28,6.759581603530583e-48,3.772645493107701e-36,6.312996456873595e-40,1.4858947368266157e-39,4.496324933238976e-30,2.30007838638147e-50,8.213367026582377e-47,9.27551372753795e-45,1.4138078282063923e-46,2.7508284510777747e-49
2.0314734866907073e-16,0.20609604373849347,3.76,0.0,0.7413797681892039,0.9999999990399041,5.699354315605805e-34,0.0,8.313819797774864e-26,2.2849123848040116e-13,2.2849123829826935e-13,5.655048784035451e-15,1.1409855891208004e-27,1.3780480774086615e-26,1.8210991127017395e-22,1.8189922607358527e-22,4.78874498199984e-16,4.114809201501794e-31,5.655048784213697e-15,3.8136394582974893e-28,5.629757441554992e-22,3.5179196745538324e-25,8.377585794877026e-26,1.8489374145357816e-36,3.036914461860723e-31,6.305129574235879e-36,4.788744981986499e-16,5.033054293645617e-32,2.2472539021000543e-26,8.800816127652126e-46,2.1321797806538047e-25,3.6416830083107353e-26,3.1744576905589887e-36,5.127901307614509e-32,1.5495167299649988e-29,4.787371307118967e-27,9.60090195167074e-10,2.7726093446722865e-28,1.9328187997167036e-47,8.052854616131574e-36,1.8741712651303112e-39,4.411251041260626e-39,9.554692282127683e-30,8.701665594482645e-50,2.3485109296565063e-46,2.6522177125253587e-44,4.0426075239770524e-46,7.86565301540776e-49
3.385789527173823e-16,0.20609604373849919,3.76,0.0,0.7413797681890475,0.9999999983998411,2.6192131824411253e-33,0.0,2.298528163201363e-25,3.80818773843817e-13,3.80818773340276e-13,9.425082367807495e-15,3.1544936276773547e-27,3.8098972714350706e-26,5.032891112061669e-22,5.028979487282102e-22,7.981242538769929e-16,1.891013820087591e-30,9.425082368491612e-15,1.0551127051271683e-27,9.385525619998563e-22,9.726014885040996e-25,2.3161565706738863e-25,5.112866419251708e-36,8.396177114568239e-31,1.7433262782985223e-35,7.9812425387330415e-16,1.3914922953198083e-31,6.212996316687845e-26,4.044831923452498e-45,5.894851026841236e-25,1.0068184225504439e-25,1.4588631157029917e-35,1.4177142354375397e-31,4.2839976818841387e-29,1.3235675961614488e-26,1.6001494969118508e-09,7.665446587483919e-28,8.882526930486235e-47,2.2506790477653743e-35,8.779015125382179e-39,2.0663234355836596e-38,2.6415918747475177e-29,6.867444380036076e-49,1.0792898235189189e-45,1.2188609770121375e-43,1.8578326019609204e-45,3.614764824855289e-48
4.604673963608627e-16,0.2060960437385043,3.76,0.0,0.7413797681889067,0.9999999978237848,5.895824388472935e-33,0.0,4.0929992125266135e-25,5.179135556708555e-13,5.179135547741983e-13,1.2818112591012421e-14,5.6172230193369076e-27,6.784297453740765e-26,8.960866769010409e-22,8.955123033287662e-22,1.085449033986247e-15,4.256653395099579e-30,1.2818112592352804e-14,1.8797325357020236e-27,1.2767064746462674e-21,1.7319151904739186e-24,4.1243889831389236e-25,9.105911853081532e-36,1.4951105207407615e-30,3.104531764854654e-35,1.085449033979678e-15,2.477836390302755e-31,1.1063505323457154e-25,9.105279464912573e-45,1.0496983810271144e-24,1.7928454235231282e-25,3.283886438652599e-35,2.524529292117856e-31,7.628577010187329e-29,2.3568818900614905e-26,2.176202344418777e-09,1.3649885226974728e-27,1.999449170714176e-46,4.03903930124142e-35,2.0258469670096426e-38,4.768251364381429e-38,4.7038927868032703e-29,1.9272291351488022e-48,2.4294725697299856e-45,2.7436440021522816e-43,4.1819627988312195e-45,8.136803888927322e-48
5.823558400043431e-16,0.20609604373850948,3.76,0.0,0.7413797681887659,0.9999999972477291,1.1143495048851253e-32,0.0,6.389231834532332e-25,6.550083374978561e-13,6.550083360981615e-13,1.621114281189937e-14,8.768571247538083e-27,1.0590382561300847e-25,1.3986869772994455e-21,1.3979073957591444e-21,1.372773814095444e-15,8.045352234537498e-30,1.6211142814108753e-14,2.9356897548486114e-27,1.6150030455989506e-21,2.7035441472931434e-24,6.438229818018512e-25,1.4216709550713852e-35,2.3338887839249164e-30,4.846511725035909e-35,1.3727738140851889e-15,3.867938884612374e-31,1.7270286995555584e-25,1.7210384641933823e-44,1.6385940496360068e-24,2.7986571164230725e-25,6.206759316683769e-35,3.9408261971940903e-31,1.1908389157293717e-28,3.679126033588602e-26,2.7522546372159225e-09,2.130765660272301e-27,3.779091318176036e-46,6.354868172065239e-35,3.900645890251125e-38,9.180979858020536e-38,7.342843328297366e-29,4.412506816840246e-48,4.59186467926882e-45,5.1856659205949595e-43,7.904182136187847e-45,1.5379095660871066e-47
