Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390)
4.3986167702274175e-06,0.6792204390857031,4.5407378238747344e-05,2.255037872034281e-05,9.428192877261058e-06,0.0005574413301269594,0.0,0.0,4.9639241277787216e-05,9.037746907370754e-07,1.6764218279841366e-07,0.0007655257929078364,7.255937629501523e-14,5.683896442864966e-16,5.273194286669963e-14,2.5359932876861573e-16,9.451009402230072e-17,9.825197404557193e-16,1.2053080421551893e-18,2.7626497696522735e-28,1.125872131428526e-24,8.932857617090894e-31,5.917146222899206e-18,7.298608649164087e-21,1.0260855930146144e-20,3.73857901426499e-22,2.799896526412971e-29,3.2951764800449266e-30,1.522278399998738e-32,7.723458703108899e-34,4.474494703395918e-22,2.3103766582296351e-29,1.4275003641977278e-28,7.963349897817311e-29,3.76,0.0,0.5784592640165355,0.9988967336703487,0.0003904204158360112,7.758300621043397e-20,0.00010886158588671051,0.001663855197880281,0.0017268011155072063,7.041178908939616e-10,5.997540470641803e-12,1.4850822429191554e-05,3.454349405549021e-06,3.180963141167254e-06,0.00011266641108684471,6.528815754292503e-06,3.374016471546879e-06,2.3728860123798973e-09,4.967169269523441e-06,2.564601639125964e-06,1.9134124314092884e-08,3.097006901097186e-06,1.2503724167960092e-12
4.497920379259995e-06,0.6792254239755207,4.5418978979982784e-05,2.256825690377692e-05,9.536298782125416e-06,0.0005725496319056009,0.0,0.0,5.07784031763452e-05,9.423276225450143e-07,1.8007661269927382e-07,0.0007854925718767625,7.424986105109527e-14,5.859439081472642e-16,5.274021865571893e-14,2.6074859428386034e-16,9.976394083939829e-17,1.0407184453524707e-15,1.3034136373086225e-18,2.9909552832566255e-28,1.2457157047766668e-24,9.821627085793904e-31,6.08424375779634e-18,7.993811336461943e-21,1.0946238729743556e-20,4.252753060581729e-22,2.971092674427975e-29,3.679181603466561e-30,1.7432468450886226e-32,8.639985068552302e-34,4.804776650992591e-22,2.6201518674300166e-29,1.618038285447786e-28,8.782695920362292e-29,3.76,0.0,0.5783851008819317,0.9988651563505571,0.00040475714805101237,8.503833702102502e-20,0.00010884984510332983,0.0017043799411008832,0.0017733629275048003,7.041009781702459e-10,5.996740448096581e-12,1.484873112186233e-05,3.4536319691086083e-06,3.267425433210093e-06,0.00011872436679735365,6.729526673976062e-06,3.6540265266818932e-06,2.582594718793858e-09,5.103904953275697e-06,2.778466247164082e-06,2.018630395571997e-08,3.260810285089797e-06,1.3608999208358857e-12
4.597223988292573e-06,0.6792304065836096,4.543004059856591e-05,2.258427581077086e-05,9.643938676127057e-06,0.0005876556780941573,0.0,0.0,5.191225111261731e-05,9.81422312463406e-07,1.9315844563909095e-07,0.0008054564666695823,7.599474543801637e-14,6.035628940704839e-16,5.274744670433625e-14,2.678931573759482e-16,1.0515679949227876e-16,1.100664461709654e-15,1.4071415658053607e-18,3.232534131636055e-28,1.3752286939727197e-24,1.0778309479219025e-30,6.251222872940387e-18,8.734343823277936e-21,1.1658270114331104e-20,4.823471154909137e-22,3.148065464845103e-29,4.095732416187928e-30,1.989085584008522e-32,9.635343450632855e-34,5.150158658400071e-22,2.9629191590643956e-29,1.8297753552798852e-28,9.66694181758904e-29,3.76,0.0,0.5783107848431129,0.9988334240466239,0.0004192553473830647,9.299537343166969e-20,0.0001088373350663741,0.001744916820718585,0.001819859280302612,7.040645585109081e-10,5.995883609497064e-12,1.484651526694264e-05,3.452884884859124e-06,3.3537605383978435e-06,0.00012494315434993932,6.930951867331597e-06,3.949069802464365e-06,2.8062306995680293e-09,5.242265183594167e-06,3.0039005783303555e-06,2.12651406454961e-08,3.4297771312782786e-06,1.478767064317326e-12
4.6965275973251504e-06,0.679235386848587,4.5440659146864964e-05,2.2598713185874767e-05,9.751151271836097e-06,0.0006027592903529546,0.0,0.0,5.304075867558029e-05,1.0210430100286596e-06,2.0690777871954023e-07,0.0008254173247005708,7.779492996581343e-14,6.212467945674538e-16,5.275381508014319e-14,2.750336090032404e-16,1.1068846261580562e-16,1.162363841167723e-15,1.5166859902996585e-18,3.487856252563145e-28,1.5149605662091306e-24,1.1806679211363863e-30,6.41809755422905e-18,9.521902546503885e-21,1.239729241024771e-20,5.455480467356205e-22,3.330910088197343e-29,4.546611447599108e-30,2.261820825945568e-32,1.0713867944447981e-33,5.510943449004367e-22,3.3413351379243666e-29,2.0645934695405244e-28,1.0620064551497735e-28,3.76,0.0,0.5782363173436442,0.9988015372192773,0.0004339142986765129,1.0147431145984293e-19,0.00010882419141275973,0.0017854660634963623,0.0018662875578999668,7.040118885572806e-10,5.994979674670899e-12,1.4844196378135233e-05,3.4521133322152125e-06,3.439963446205045e-06,0.0001313225292852985,7.1330845753855e-06,4.259513533389518e-06,3.0444151892825164e-09,5.382283283155708e-06,3.2411932520322542e-06,2.237045445670848e-08,3.603965524904401e-06,1.604300969396792e-12
4.795831206357728e-06,0.6792403647117529,4.545091420843303e-05,2.2611806558699235e-05,9.857969068848201e-06,0.0006178603198082559,0.0,0.0,5.416390140228061e-05,1.0611742238469649e-06,2.2134493287991007e-07,0.0008453750197869607,7.965127588925244e-14,6.389957580383078e-16,5.275947965284555e-14,2.8217046907147583e-16,1.1635873175285597e-16,1.2258227787834199e-15,1.632243464717704e-18,3.7573977578464527e-28,1.6654797843769437e-24,1.2910642942397462e-30,6.584880109788227e-18,1.0358206846540823e-20,1.3163643479862913e-20,6.153810049465139e-22,3.519725430922339e-29,5.033649142866133e-30,2.5635839847016394e-32,1.1880004073807595e-33,5.887432428264743e-22,3.75820540711112e-29,2.3244964610181377e-28,1.1646236496410017e-28,3.76,0.0,0.5781616996682707,0.9987694963048561,0.0004487333405769882,1.1049565479733463e-19,0.00010881052652758242,0.001826027921473743,0.0019126453214186009,7.039456872817876e-10,5.994036716674035e-12,1.4841792281188434e-05,3.4513216021709856e-06,3.526029494605919e-06,0.00013786223836212896,7.335918592503965e-06,4.585722100240202e-06,3.2977816874344535e-09,5.523992529502943e-06,3.490630987335136e-06,2.3502063741213423e-08,3.783432974789808e-06,1.737835185269037e-12
4.895134815390306e-06,0.6792453401177625,4.5460871741421984e-05,2.2623758892222724e-05,9.964419258550193e-06,0.0006329586419604649,0.0,0.0,5.5281656525251354e-05,1.1018007187394194e-06,2.3649045057666436e-07,0.0008653294475855017,8.156461073902038e-14,6.568098925252803e-16,5.2764569650043826e-14,2.893041942566318e-16,1.2216741617770503e-16,1.2910476006156207e-15,1.7540129053985625e-18,4.041640859806785e-28,1.8273740477507353e-24,1.4094241297771374e-30,6.7515813510755104e-18,1.1244998906126919e-20,1.395765662516466e-20,6.923780988923945e-22,3.714614075769727e-29,5.558723927681068e-30,2.8966141958234325e-32,1.3138308546074814e-33,6.279925610979937e-22,4.2164894702421766e-29,2.6116149398823994e-28,1.2749832272678956e-28,3.76,0.0,0.5780869329684524,0.9987373017203821,0.00046371185676262174,1.2008021165135478e-19,0.00010879643356638736,0.001866602667186979,0.0019589302831833984,7.038682242282458e-10,5.993061442295005e-12,1.4839317751964051e-05,3.4505132510640854e-06,3.6119543190052722e-06,0.00014456202013000694,7.539448168433962e-06,4.928057003352535e-06,3.566975693506867e-09,5.667426151588974e-06,3.7524985833648147e-06,2.465978502322519e-08,3.968236376030153e-06,1.879709546425627e-12
4.994438424422883e-06,0.6792503130136018,4.547058640285207e-05,2.263474345515836e-05,1.0070524498281467e-05,0.0006480541525239391,0.0,0.0,5.63940027664145e-05,1.142907512669627e-06,2.523650933234436e-07,0.0008852805218644161,8.353573284189479e-14,6.746892675420147e-16,5.2769192198076826e-14,2.9643518523816166e-16,1.2811433186506317e-16,1.3580447526698461e-15,1.882195562957541e-18,4.341073803122993e-28,2.0012505301566594e-24,1.5361650574504337e-30,6.918210765970457e-18,1.218404367889008e-20,1.477966050201674e-20,7.771016702343329e-22,3.9156823153979945e-29,6.123762267334607e-30,3.2632608246851543e-32,1.4493448992963044e-33,6.68872155418228e-22,4.7193056793593584e-29,2.928211214392521e-28,1.3935435649689512e-28,3.76,0.0,0.5780120182837518,0.9987049538676898,0.0004788492685103667,1.3024909153776863e-19,0.00010878198974137957,0.0019071905897539519,0.0020051402850314007,7.037813928701431e-10,5.992059422217207e-12,1.4836785037730584e-05,3.449691226198846e-06,3.697733809489423e-06,0.00015142160541491086,7.743667927897846e-06,5.28687683452698e-06,3.8526544392840204e-09,5.8126173263823325e-06,4.027078898595898e-06,2.5843432917907655e-08,4.1584319751518784e-06,2.030270029588327e-12
5.093742033455461e-06,0.6792552833484509,4.548010347114919e-05,2.264490803434059e-05,1.0176303576340732e-05,0.0006631467639871066,0.0,0.0,5.7500920166860596e-05,1.1844798735209975e-06,2.689898391027546e-07,0.0009052281714209296,8.556541502642861e-14,6.926339160274449e-16,5.277343608138064e-14,3.035637930102471e-16,1.3419930057850365e-16,1.4268207910271565e-15,2.01699499402393e-18,4.656190797970527e-28,2.1877361152307395e-24,1.671718443139204e-30,7.08477666931305e-18,1.3177128811741021e-20,1.562997904373639e-20,8.701453363076164e-22,4.12304017121519e-29,6.730738722092107e-30,3.6659859655682535e-32,1.5950203702338683e-33,7.114117298947759e-22,5.269936240471364e-29,3.276684287259485e-28,1.5207846515854643e-28,3.76,0.0,0.577936956559891,0.9986724531368234,0.0004941450283601719,1.4102370202715837e-19,0.00010876725903874739,0.0019477919916277735,0.0020512732800166368,7.036867720613771e-10,5.991035282256261e-12,1.4834204288209132e-05,3.448857969710625e-06,3.7833640747633067e-06,0.00015844071773500365,7.948572803846609e-06,5.662537247877046e-06,4.155486618212482e-09,5.959599175567967e-06,4.314652829271348e-06,2.705282005085664e-08,4.354075337672265e-06,2.1898686091208047e-12
5.193045642488039e-06,0.679260251073293,4.5489460447488464e-05,2.265437857595335e-05,1.0281771983723537e-05,0.0006782364027482292,0.0,0.0,5.8602389945230056e-05,1.2265033157695136e-06,2.863858796585941e-07,0.000925172337514724,8.765440771126427e-14,7.106438386658473e-16,5.277737487546842e-14,3.106903246618576e-16,1.4042214907139843e-16,1.4973823730645298e-15,2.1586170331009984e-18,4.9874919586203095e-28,2.3874776292333097e-24,1.81652955675477e-30,7.251286335565347e-18,1.422606456022028e-20,1.6508931391880053e-20,9.721350461607745e-22,4.3368014213481276e-29,7.381675998436987e-30,4.1073669313760745e-32,1.751346133908349e-33,7.5564083218056895e-22,5.871832249376331e-29,3.659574928943899e-28,1.6572087914458603e-28,3.76,0.0,0.5778617486640548,0.998639799908859,0.0005095986147043432,1.5242574545659568e-19,0.00010875229448130802,0.0019884071858852484,0.0020973273169214756,7.035856777033121e-10,5.989992863115644e-12,1.4831583914480066e-05,3.448015505031844e-06,3.868841411615787e-06,0.0001656190736590915,8.154157981717516e-06,6.055390929710057e-06,4.4761521124502796e-09,6.108404762377993e-06,4.615499287024306e-06,2.828775697873885e-08,4.555221318130985e-06,2.358863111093074e-12
5.292349251520616e-06,0.6792652161407166,4.549868839206913e-05,2.2663262332592257e-05,1.0386942405816211e-05,0.0006933230067261298,0.0,0.0,5.9698394379648394e-05,1.268963597083345e-06,3.045746176795716e-07,0.0009451129717270675,8.980344147749021e-14,7.287190066822818e-16,5.278106956002543e-14,3.178150487088407e-16,1.4678270838678418e-16,1.5697362496301471e-15,2.3072697641733547e-18,5.335483240759781e-28,2.6011420712250858e-24,1.97105773926883e-30,7.417746125456071e-18,1.5332683699040607e-20,1.741683183495145e-20,1.0837301496711055e-21,4.557083634213157e-29,8.078644997570596e-30,4.590098733939227e-32,1.9188220658200646e-33,8.0158884908646565e-22,6.528618764464599e-29,4.079570825465616e-28,1.8033413144086406e-28,3.76,0.0,0.5777863953978736,0.9986069945582421,0.0005252095271651825,1.6447721561010306e-19,0.00010873714001596239,0.002029036493956935,0.002143300527131686,7.034792062368375e-10,5.988935353750164e-12,1.4828930888366012e-05,3.447165509019972e-06,3.954162279039367e-06,0.00017295638311698897,8.360418852812939e-06,6.465787567611094e-06,4.8153417174705295e-09,6.259067088564358e-06,4.929895175808991e-06,2.954805213370995e-08,4.761924032516242e-06,2.5376170661839746e-12
5.391652860553194e-06,0.6792701785046908,4.550781303130549e-05,2.2671650574354615e-05,1.0491825143767937e-05,0.0007084065233813785,0.0,0.0,6.078891670998248e-05,1.311846714869108e-06,3.2357766388125184e-07,0.0009650500341878582,9.20132291973051e-14,7.468593634061649e-16,5.2784570683838636e-14,3.249381999662687e-16,1.5328081324931748e-16,1.6438892581301603e-15,2.4631634920833184e-18,5.700676378164305e-28,2.8294168407268666e-24,2.1357765682893316e-30,7.5841616042615e-18,1.6498841429084982e-20,1.835398975531983e-20,1.2056244795608905e-21,4.7840082069235095e-29,8.82376486083235e-30,5.116996554651319e-32,2.0979590209706055e-33,8.492850027027795e-22,7.244099933929867e-29,4.539511800605359e-28,1.9597312921785328e-28,3.76,0.0,0.5777108975083831,0.9985740374547178,0.000540977282663452,1.7720039437452032e-19,0.0001087218320768572,0.0020696802437391373,0.0021891911135726813,7.033682710562879e-10,5.98786540236501e-12,1.4826250990370179e-05,3.4463093716892376e-06,4.039323276408927e-06,0.00018045234966805002,8.56735097558484e-06,6.894073818837695e-06,5.1737568643784024e-09,6.41161909152e-06,5.258115368234136e-06,3.0833511779200355e-08,4.974236833027143e-06,2.726499561472187e-12
5.4909564695857715e-06,0.679275138120402,4.551685567097278e-05,2.2679620917919373e-05,1.0596428474596008e-05,0.0007234869080850312,0.0,0.0,6.187394105727251e-05,1.3551389027840336e-06,3.4341683399622074e-07,0.0009849834921141342,9.428446778325777e-14,7.650648277519536e-16,5.278792015153067e-14,3.3205998387436044e-16,1.5991630153873758e-16,1.7198483164535932e-15,2.6265107135634123e-18,6.083588820785737e-28,3.073009962815141e-24,2.3111740219814837e-30,7.75053764132564e-18,1.7726415281193538e-20,1.9320709583687377e-20,1.338547446149852e-21,5.017700407261362e-29,9.619203012916514e-30,5.690998205385394e-32,2.289278803812702e-33,8.987583470571825e-22,8.02226415145046e-29,5.042395111694278e-28,2.1269522607795315e-28,3.76,0.0,0.5776352556972442,0.9985409289649069,0.0005569014120857559,1.9061784837484153e-19,0.00010870640087398734,0.0021103387680294823,0.002234997341417726,7.032536328776846e-10,5.9867852083844164e-12,1.4823549014061225e-05,3.445448245437608e-06,4.1243211251514824e-06,0.00018810667073386158,8.774950043632922e-06,7.340593278182895e-06,5.552109339987565e-09,6.5660936415473915e-06,5.60043268143017e-06,3.214393996496332e-08,5.1922122850394535e-06,2.9258850908832977e-12
