Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67)
1.739634408179303e-08,0.6205082525657781,3.76,0.0,0.7652003120286696,0.9997269851522521,1.895141103775398e-12,0.0,2.5989907330156666e-11,5.012841302851211e-07,4.947581314730909e-07,1.9961634685618504e-08,7.824257546236848e-14,1.7260837949771974e-14,6.297264645506115e-09,6.0906202526908585e-09,1.114841939904335e-09,3.3837049145416646e-10,1.9801921862432776e-08,2.544416605847477e-10,3.5526283996153655e-11,1.566917583192474e-11,6.039525401901104e-12,3.1860590439515616e-17,6.737658499450607e-18,7.120359933290687e-20,1.0129674360025587e-09,4.337203254193893e-18,1.5437085388554945e-13,5.466882372268405e-23,1.2917455868849925e-11,9.755135279661707e-13,9.985741495562541e-16,1.1682833280394695e-18,1.5022670917670865e-15,6.430097018291061e-14,0.0002729885588311069,6.802820503840223e-17,9.750575584425037e-27,5.8885486674084476e-18,8.178701166437318e-20
1.899688652927792e-08,0.6205082577656036,3.76,0.0,0.765200263937382,0.9997269820846411,2.6250337249703155e-12,0.0,3.3057071868875416e-11,5.474295107446738e-07,5.396369455176945e-07,2.1842961386617905e-08,9.383971169631753e-14,1.8917724624191798e-14,7.489039954864158e-09,7.221598825151325e-09,1.2385489392829368e-09,4.3873884493332056e-10,2.1625474915712363e-08,3.2209581870598956e-10,4.4672641560854484e-11,1.8570315187511784e-11,7.222554357372847e-12,4.515470750919331e-17,8.511865703693701e-18,9.27862460379655e-20,1.1061612881230964e-09,5.596154957644742e-18,1.7078595451848953e-13,7.510890332473995e-23,1.5391430532027684e-11,1.163286205001001e-12,1.2995511171331292e-15,1.4695815581323113e-18,1.7956123193478944e-15,7.777391241151572e-14,0.00027298855812719084,7.481956782017507e-17,1.3690626430392617e-26,7.666411376352181e-18,1.0722305716133247e-19
2.0437374732014317e-08,0.6205082624470796,3.76,0.0,0.765200220643326,0.9997269792307012,3.4428200937512346e-12,0.0,4.0381231833265877e-11,5.889673620191007e-07,5.799364373126027e-07,2.3547767962582805e-08,1.0907060478662886e-13,2.0406168613190622e-14,8.64678631030114e-09,8.315595721011837e-09,1.3545766773624486e-09,5.44205872280699e-10,2.3267061316091787e-08,3.911080038336545e-10,5.409645754812885e-11,2.1377376084051992e-11,8.379891168579846e-12,6.031625658119315e-17,1.0352783557106076e-17,1.1562403303973786e-19,1.1900352161758325e-09,6.921229778238972e-18,1.85647726965664e-13,9.763797401022823e-23,1.780132251057047e-11,1.3464099656162084e-12,1.6172875532810914e-15,1.779726557358998e-18,2.0817787191182704e-15,9.12528349662166e-14,0.0002729885574354543,8.099120421986415e-17,1.8146958765472935e-26,9.545382230497873e-18,1.3433249959866832e-19
2.1877862934750715e-08,0.6205082671302133,3.76,0.0,0.7652001773368142,0.9997269762887776,4.434771050840896e-12,0.0,4.867243766675726e-11,6.305126804074219e-07,6.201494935341033e-07,2.5264761578715232e-08,1.2542769548050302e-13,2.1892011801029362e-14,9.88457375001206e-09,9.480502713579443e-09,1.4753813165047926e-09,6.650194907977684e-10,2.49090450190209e-08,4.67996630963786e-10,6.471862333349496e-11,2.4368002015383733e-11,9.62558503967393e-12,7.89906776077694e-17,1.2442475469921107e-17,1.4196458751858666e-19,1.2739086337284505e-09,8.443007704533779e-18,2.0060294883493477e-13,1.245283104985614e-22,2.0384491311473505e-11,1.5429206945073843e-12,1.9828621748558227e-15,2.129014422657089e-18,2.3888916294455603e-15,1.0608890733576431e-13,0.0002729885565747737,8.72190080530024e-17,2.359466555601331e-26,1.1710024547220799e-17,1.6581063865568212e-19
2.3318351137487113e-08,0.6205082718151088,3.76,0.0,0.7652001340166896,0.9997269732587736,5.6230377850866765e-12,0.0,5.798132000136565e-11,6.720662801413289e-07,6.602762994850843e-07,2.6995100813801793e-08,1.4290669797336575e-13,2.337525964837487e-14,1.1201802271487834e-08,1.0715179142986579e-08,1.6012809045618756e-09,8.021353545964173e-10,2.65514538739794e-08,5.529031239138166e-10,7.660497639239925e-11,2.7540325098786358e-11,1.0960294483832172e-11,1.0167922012510652e-16,1.4798298188203643e-17,1.7207101671218644e-19,1.35778154077636e-09,1.0175954075586216e-17,2.1566172748045598e-13,1.5621822457857507e-22,2.31405618730418e-11,1.7528207614241004e-12,2.3995916621956323e-15,2.5195899833109137e-18,2.716909578558133e-15,1.2235956555476174e-13,0.00027298855573114214,9.350286804916763e-17,3.01655603975268e-26,1.418125266087596e-17,2.0202779257152208e-19
2.475883934022351e-08,0.620508276501869,3.76,0.0,0.7652000906817829,0.9997269701407402,7.030885686043035e-12,0.0,6.835709022256192e-11,7.136289884574318e-07,7.003170400661366e-07,2.8739955881337272e-08,1.6150333982946029e-13,2.4855914755237452e-14,1.2597875384779438e-08,1.2018500136405272e-08,1.7325911085087508e-09,9.564937273427232e-10,2.819431552100947e-08,6.459405110101849e-10,8.982068215058358e-11,3.0892677666756245e-11,1.238473788549625e-11,1.28916767812117e-16,1.7438132509792463e-17,2.0621038739405532e-19,1.4416539373153939e-09,1.2134744119236684e-17,2.3083405249655605e-13,1.931539161648051e-22,2.606915993878395e-11,1.9761127624218635e-12,2.870785518946646e-15,2.953612268688852e-18,3.065791176538733e-15,1.4014705512610132e-13,0.0002729885549435273,9.98426731583616e-17,3.799851772566452e-26,1.698022803283967e-17,2.4336443953024435e-19
2.619932754295991e-08,0.620508281190595,3.76,0.0,0.7652000473309157,0.9997269669349045,8.682662968745684e-12,0.0,7.984757372016722e-11,7.552016428248574e-07,7.402718997764878e-07,3.050050584007512e-08,1.812133603853642e-13,2.6333980701308048e-14,1.4072200093453894e-08,1.3389356393727876e-08,1.869625228364576e-09,1.1290196957121087e-09,2.9837657391944894e-08,7.47196410945143e-10,1.0443023873929601e-10,3.442358972655812e-11,1.3899694000116823e-11,1.6127220544439634e-16,2.038043096864137e-17,2.4465407984721277e-19,1.525525823341819e-09,1.433427611237435e-17,2.461298427937846e-13,2.3578937254403175e-22,2.9169912055729435e-11,2.212799518139066e-12,3.399746087795427e-15,3.43326226548693e-18,3.435495115164224e-15,1.5953836003868196e-13,0.000272988554074242,1.062383125500969e-16,4.7239328407645916e-26,2.0128386923963408e-17,2.9021162946056927e-19
2.7639815745696306e-08,0.6205082858813856,3.76,0.0,0.7652000039629029,0.999726963641341,1.0603770071640254e-11,0.0,9.249924222897499e-11,7.967850884934025e-07,7.801410627149331e-07,3.227793612635566e-08,2.0203251032443715e-13,2.7809463013602097e-14,1.5624186875383158e-08,1.4826653976270302e-08,2.0126942110388333e-09,1.3206233798246961e-09,3.148150671163338e-08,8.567356950577315e-10,1.2049748170416312e-10,3.813178605885866e-11,1.550600205298169e-11,1.9934885875184885e-16,2.364426652744877e-17,2.8767814176561836e-19,1.6093971988523446e-09,1.678968512297243e-17,2.615592439692103e-13,2.845864496657411e-22,3.244244557275041e-11,2.4628840720842934e-12,3.9897685661842944e-15,3.960750563448781e-18,3.825980167745475e-15,1.8062513230572604e-13,0.0002729885531388824,1.1268967561235308e-16,5.804056950820238e-26,2.364746790342304e-17,3.429714038239953e-19
2.9080303948432704e-08,0.620508290574339,3.76,0.0,0.7651999605765553,0.9997269602600425,1.2820629805857889e-11,0.0,1.0635724530582977e-10,8.383801763008526e-07,8.199247125807664e-07,3.4073436346647304e-08,2.239565525036468e-13,2.9282367061738696e-14,1.7253249663897448e-08,1.6329314098625516e-08,2.1621066640809345e-09,1.5322001405356267e-09,3.312589049915052e-08,9.746028873043668e-10,1.3808558866476502e-10,4.201618305598688e-11,1.720456196595874e-11,2.4378499873304667e-16,2.7249382117757552e-17,3.355636405182433e-19,1.693268063844134e-09,1.951635726552527e-17,2.7713267861608566e-13,3.400150623595976e-22,3.588638863889534e-11,2.7263696889362404e-12,4.6441410219822295e-15,4.538324885591553e-18,4.237205188966774e-15,2.035036221443889e-13,0.00027298855223415825,1.1919665195169422e-16,7.056148712498991e-26,2.755953907260477e-17,4.02057220971754e-19
3.05207921511691e-08,0.6205082952695508,3.76,0.0,0.7651999171706807,0.9997269567911392,1.536065821224436e-11,0.0,1.2146544100243604e-10,8.799877607045048e-07,8.596230326747028e-07,3.588819829523557e-08,2.469812623425079e-13,3.075269702785275e-14,1.895880582928253e-08,1.7896272923479918e-08,2.318168869342128e-09,1.7646307837656275e-09,3.4770835569006285e-08,1.1008243370664784e-09,1.5725708393003497e-10,4.607588535014691e-11,1.899633472043756e-11,2.952544072695225e-16,3.1216241029117625e-17,3.885970131856098e-19,1.7771384183148111e-09,2.2529944464635868e-17,2.92860658162289e-13,4.0255344746901497e-22,3.9501370201731595e-11,3.0032598528551356e-12,5.366144409120122e-15,5.168277508641084e-18,4.669129114726092e-15,2.2827460877692e-13,0.0002729885513199331,1.2575913139318684e-16,8.496789182980152e-26,3.1887024953823175e-17,4.678943862599342e-19
