Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72)
2.0386609354165377e-18,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999996712,3.9380266837903845e-44,0.0,1.209573831406664e-33,2.0221295815457495e-20,2.022129581533498e-20,7.253487193907729e-21,2.6846412625750434e-36,2.964851089960198e-35,1.2119556115537117e-31,1.2111823182203831e-31,5.631419673552988e-25,4.9699066035209325e-43,7.253487193988665e-21,7.858894024814863e-40,4.3896078631274655e-32,7.980375328032447e-32,1.2095751869316011e-33,3.1334387931473497e-53,1.8625065597984014e-44,6.385956085486991e-50,5.631419673552967e-25,2.6699135485759413e-46,1.6202226182355356e-35,1.6328644734221756e-60,1.3702352239225085e-33,8.628957143585733e-36,1.4762188955186106e-48,1.2275822892932688e-46,7.102618046252057e-42,2.909416255973546e-38,3.287913599100883e-13,1.229875444035026e-40,9.363729222803649e-67,1.3107189733622018e-51,1.2842559053874276e-53,5.359046817662668e-53,2.060895848073245e-42,1.655102612482602e-64,8.65059919478443e-65,4.4534475837644564e-63,4.102961585459413e-65,2.2298554852642283e-69,2.8241695383809253e-77,4.900726081474047e-43,4.559323211130021e-62,6.5239983442439284e-55,1.8988759212557006e-58
4.0790930792913005e-18,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999993421,3.1528158359474186e-43,0.0,4.841447566172062e-33,4.0460160089486194e-20,4.04601600889958e-20,1.4513276287905443e-20,1.0745563407160343e-35,1.1867130766228818e-34,4.849443941724384e-31,4.847885705053466e-31,1.126773197931584e-24,3.978947198763329e-42,1.4513276288229547e-20,3.14759538550535e-39,9.060558085936434e-32,3.194229877008314e-31,4.841452991628885e-33,1.2542451888553471e-52,7.45488253799904e-44,2.556052614611203e-49,1.1267731979315754e-24,1.0686616545118839e-45,6.485112891035306e-35,1.307287271518739e-59,5.484511831712229e-33,3.4538316285650956e-35,1.1818727206956295e-47,4.913530423552214e-46,2.8428995891071857e-41,1.164524718141564e-37,6.578683670643983e-13,4.922706784520626e-40,7.497858080802629e-66,8.899560507170424e-51,1.0284463016568417e-52,4.291583832268356e-52,8.2489542423035e-42,2.651040585788228e-63,6.925739402646235e-64,3.5654659538473314e-62,3.2848640448095114e-64,1.785240254392238e-68,4.522350908009439e-76,1.9615675343336973e-42,3.650230832405539e-61,5.223165545659385e-54,1.5206407930231114e-57
8.159957367040825e-18,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999986839,2.523210874016356e-42,0.0,1.9372096543513138e-32,8.09378886375436e-20,8.093788863558135e-20,2.903285447540455e-20,4.2996266216817014e-35,4.74839789696434e-34,1.9401018554978444e-30,1.939785748341374e-30,2.254035659084154e-24,3.184367042238846e-41,2.90328544767017e-20,1.2610404168279273e-38,1.9235405980123119e-31,1.2781080184828731e-30,1.9372118251002743e-32,5.019039717861617e-52,2.9829260325632184e-43,1.0227587504506028e-48,2.254035659084119e-24,4.2760420996876907e-45,2.5948898783576587e-34,1.0462316762744336e-58,2.194519123410302e-32,1.3819825338286455e-34,9.458573717945255e-47,1.9660538626263305e-45,1.1375312407596768e-40,4.65961573620478e-37,1.3160223516942525e-12,1.969723814402247e-39,6.00245578160847e-65,6.484550041109154e-50,8.231738758509317e-52,3.435006466636201e-51,3.300656173310857e-41,4.2439673736769065e-62,5.542696575247117e-63,2.8534563810478302e-61,2.6288895733255106e-63,1.428734804217778e-67,7.23870669469926e-75,7.848824682546933e-42,2.9212940452740044e-60,4.180119863123465e-53,1.2171289578754424e-56
1.6321685942539876e-17,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999973677,2.018952063424614e-41,0.0,7.750100053644127e-32,1.618933457336584e-19,1.6189334572580814e-19,5.807201084841751e-20,1.7201318912438902e-34,1.8996682159516276e-33,7.761055958733252e-30,7.76040610570442e-30,4.508560581389294e-24,2.5479774503942576e-40,5.807201085360755e-20,5.057723035976782e-38,4.2916891564122255e-31,5.113264327655996e-30,7.750108736929556e-32,2.0082837538582127e-51,1.1933662289168828e-42,4.091739095187996e-48,4.508560581389153e-24,1.710698067767655e-44,1.0381249179211466e-33,8.371515780045224e-58,8.77950547849092e-32,5.528830028293481e-34,7.568296062259139e-46,7.865509079915158e-45,4.550874482706347e-40,1.864149710396264e-36,2.632330202238908e-12,7.880176971317251e-39,4.805902086382576e-64,4.933476274804852e-49,6.587058751708407e-51,2.7487011034271125e-50,1.3204773954204225e-40,6.792190270556818e-61,4.434999676916325e-62,2.2831986447553756e-60,2.1035110792782195e-62,1.1432049657464864e-66,1.1584287671121033e-73,3.1400405458635506e-41,2.3374790824133375e-59,3.344730996789386e-52,9.739497558799969e-56
3.2645143093537975e-17,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999947351,1.615315013118384e-40,0.0,3.1002923273132024e-31,3.23804259925888e-19,3.238042598944844e-19,1.1615032358650238e-19,6.881097697429105e-34,7.59929018242426e-33,3.1045520882898526e-29,3.104415082570121e-29,9.017610425999578e-24,2.038575507527459e-39,1.1615032360726547e-19,2.0334468811644068e-37,1.0360702192542957e-30,2.0454721935197815e-29,3.10029580001085e-31,8.036530290917654e-51,4.77386605313858e-42,1.6368593376900384e-47,9.017610425999009e-24,6.843371501754995e-44,4.152837613885211e-33,6.697964990250992e-57,3.5120880086085343e-31,2.2117120027283305e-33,6.055211746201254e-45,3.146470424603383e-44,1.8205049907084366e-39,7.457205716386192e-36,5.264945428468094e-12,3.1523266134026665e-38,3.8499279558017063e-63,3.845090629629681e-48,5.270314180062186e-50,2.199239288538131e-49,5.28233946612766e-40,1.0868978616621689e-59,3.548337089053541e-61,1.826732350449236e-59,1.682968649190308e-61,9.146508879556811e-66,1.8536746647944796e-72,1.2561181129986699e-40,1.8701608227635067e-58,2.67603886700646e-51,7.792584525505262e-55
6.529205739553418e-17,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999894699,1.2923133592210143e-39,0.0,1.2401673944054802e-30,6.476260883103473e-19,6.476260881847276e-19,2.323069490309079e-19,2.7525591953934607e-33,3.039838869293868e-32,1.2418467756485546e-28,1.2418165627483155e-28,1.8035710115220152e-23,1.630937828874501e-38,2.323069491139663e-19,8.215665920463664e-37,2.7829591950772932e-30,8.182221709713908e-29,1.2401687828216664e-30,3.2169568110169743e-50,1.9096342339336108e-41,6.547947731090494e-47,1.8035710115217865e-23,2.737477838996535e-43,1.661202624382723e-32,5.358812712825909e-56,1.4048923688319377e-30,8.847208006532679e-33,4.844399367513654e-44,1.2586479690087154e-43,7.282372633740305e-39,2.983003665640577e-35,1.0530173981486654e-11,1.2609813832555992e-37,3.0878349084040635e-62,3.0353913691819973e-47,4.2165182306727715e-49,1.759502799563874e-48,2.1130217677141364e-39,1.7391545203557e-58,2.8388051692012005e-60,1.4614552581647146e-58,1.3464388377960032e-60,7.317555697761411e-65,2.9660305658724924e-71,5.024674271019535e-40,1.4961996837580022e-57,2.1409327267322647e-50,6.234462235420625e-54
1.3058588599952657e-16,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999789394,1.0338752283199327e-38,0.0,4.9607705104778996e-30,1.2952697450792656e-18,1.2952697445767765e-18,4.646201997926625e-19,1.1010525705904637e-32,1.2159595699805396e-31,4.967438979660636e-28,4.967367311140706e-28,3.607190949366135e-23,1.3047812327998603e-37,4.646202001249074e-19,3.351572488344236e-36,8.409082628026577e-30,3.272955271290552e-28,4.960776058500344e-30,1.2886130333001187e-49,7.638773223196164e-41,2.6194275467423983e-46,3.607190949365215e-23,1.0950276942074846e-42,6.644945561449226e-32,4.2874500781127196e-55,5.619683807425833e-30,3.538955203002545e-32,3.875611484228661e-43,5.034762986724322e-43,2.913053400765853e-38,1.1932257423489406e-34,2.1060623489769993e-11,5.044023579383346e-37,2.482720979856649e-61,2.4120396448075685e-46,3.3733213406126537e-48,1.4076467878912256e-47,8.452259046944552e-39,2.782741584801919e-57,2.271099218787201e-59,1.1691919587821567e-57,1.0771766394537187e-59,5.854185462168326e-64,4.745770607935982e-70,2.0099084908944147e-39,1.1969881564169452e-56,1.7127868355126884e-49,4.987727638430273e-53
2.6117354320751136e-16,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999578785,8.271100004399263e-38,0.0,1.984328394221104e-29,2.5905570586171024e-18,2.590557056607126e-18,9.292467008079447e-19,4.404307017551262e-32,4.86388202535885e-31,1.9869859645399656e-27,1.986967135791916e-27,7.214430825054424e-23,1.0438373738569687e-36,9.292467021369478e-19,1.392834570322282e-35,2.819071147446545e-29,1.309195425389844e-27,1.984330608848376e-29,5.169465492698746e-49,3.0556050745183567e-40,1.0479378114858147e-45,7.214430825050707e-23,4.3802695788713136e-42,2.658005160687501e-31,3.430477813187809e-54,2.2478963890220096e-29,1.4155964813941577e-31,3.10052598322563e-42,2.0139806254348634e-42,1.1652692794123415e-37,4.772951520759898e-34,4.212149211536544e-11,2.0176262962123483e-36,2.00603165996216e-60,1.9231221346797475e-45,2.69869977263893e-47,1.1261352489004898e-46,3.3809380227019954e-38,4.452462004465021e-56,1.8169028211714813e-58,9.353646686935861e-57,8.617515412369557e-59,4.683407072213037e-63,7.593332417466524e-69,8.039698872951544e-39,9.576018865422725e-56,1.3702457299426955e-48,3.990245250576974e-52
5.223488576234809e-16,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999999157569,6.616919295328189e-37,0.0,7.937353983356584e-29,5.181131685692776e-18,5.181131677652828e-18,1.858499700805603e-18,1.7617733139178572e-31,1.9455581196643974e-30,7.947964581752187e-27,7.947908959028691e-27,1.4428910576431385e-22,8.350748534800054e-36,1.858499706121662e-18,5.988904221607245e-35,1.0187149753212149e-28,5.236808329617834e-27,7.937362805076301e-29,2.0806099184396328e-48,1.2223000088595093e-39,4.1930216462701696e-45,1.4428910576416226e-22,1.7522081395382494e-41,1.0632073899874155e-30,2.745161810152166e-53,8.991631283823096e-29,5.662414725987631e-31,2.4804355038387337e-41,8.056403030809487e-42,4.661389351056814e-37,1.9091903176172374e-33,8.424310780302216e-11,8.07051695411328e-36,1.63656512567681e-59,1.5358938325249063e-44,2.1589768936088516e-46,9.009153250410507e-46,1.3523820966165992e-37,7.123999536793098e-55,1.4535338954174282e-57,7.482961766428449e-56,6.894053278475403e-58,3.746752883116958e-62,1.21494183277343e-67,3.2158824061358263e-38,7.660860498160712e-55,1.0962030880740707e-47,3.1922214547182083e-51
1.04469948645542e-15,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999998315141,5.293551185695666e-36,0.0,3.174949695641121e-28,1.0362280939844124e-17,1.036228090768425e-17,3.717005692669296e-18,7.047443546143093e-31,7.782215581071003e-30,3.1791899600262056e-26,3.1791716612095536e-26,2.885787007918837e-22,6.680618634516214e-35,3.717005713933625e-18,2.729598682572693e-34,3.8570318664748326e-28,2.094728652824814e-26,3.1749531948703594e-28,8.438477214395121e-48,4.8896265693792596e-39,1.6782121902940662e-44,2.8857870079125397e-22,7.009581554508942e-41,4.252839719132968e-30,2.1973572067036482e-52,3.5966616554391403e-28,2.2649716504073057e-30,1.984354288110557e-40,3.22292105207118e-41,1.8647913011348117e-36,7.636780681116601e-33,1.684858529270056e-10,3.2281915678551084e-35,1.3600245751635845e-58,1.2276735032830762e-43,1.727188337604807e-45,7.207351079020168e-45,5.409542215331441e-37,1.1398447375878325e-53,1.1628353876597004e-56,5.9863871958129695e-55,5.515259049644338e-57,2.9974191872734228e-61,1.943916060755076e-66,1.2863454339698913e-37,6.128706496733069e-54,8.769650712574637e-47,2.55378726252509e-50
1.5670501152873592e-15,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999997472719,1.5136259527075876e-35,0.0,6.746773190737625e-28,1.5543430193995473e-17,1.5543430125655685e-17,5.5755116764013654e-18,1.497631690117461e-30,1.6537166592641042e-29,6.755781225018297e-26,6.755744822232244e-26,4.328682958194996e-22,1.9102408440242672e-34,5.575511721588122e-18,6.2910095752607625e-34,8.06004996298083e-28,4.45130170760706e-26,6.746780583324733e-28,1.8142754546263544e-47,1.0391163026045818e-38,3.567889837399226e-44,4.328682958181271e-22,1.4896605797760685e-40,9.037290198787306e-30,6.285329493941823e-52,7.642911727335488e-28,4.813068357033287e-30,5.6740173620895075e-40,6.849305758992493e-41,3.9630234914221386e-36,1.6228171069895694e-32,2.5272811180246577e-10,6.859877809629118e-35,3.985593713179804e-58,3.643776886288045e-43,5.1275961256600024e-45,2.1396847516738123e-44,1.1495285928365572e-36,4.31226860171625e-53,3.3249941601527245e-56,1.7117338984034075e-54,1.577020599298722e-56,8.570769819157631e-61,7.154911621877299e-66,2.7334702296147175e-37,1.7524283352271469e-53,2.5075739095334497e-46,7.581564374154713e-50
2.0894007441192986e-15,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999996630301,3.1926768668421563e-35,0.0,1.1509205901937851e-27,2.072457944814682e-17,2.0724579331567136e-17,7.43401765200181e-18,2.5548611492119253e-30,2.821038707758696e-29,1.1524570237884053e-25,1.1524510374027617e-25,5.771578908471768e-22,4.029252873741274e-34,7.434017729085157e-18,1.1502331377651221e-33,1.3627769300191088e-27,7.593399993210305e-26,1.1509218444845254e-27,3.133464361156085e-47,1.7727271717295256e-38,6.08920946865116e-44,5.771578908447817e-22,2.5413920645904576e-40,1.5416558398151107e-29,1.3262147893043208e-51,1.3037913340814263e-27,8.210531592404299e-30,1.1968150950377165e-39,1.1685102113854933e-40,6.760986976602007e-36,2.7683361476817383e-32,3.3696988443220925e-10,1.1702095049395187e-34,8.631711067987588e-58,7.938550990901452e-43,1.1172768915930639e-44,4.662263312319044e-44,1.9609613300016247e-36,1.1224817417406095e-52,7.013399977441147e-56,3.610544074323849e-54,3.326394609429054e-56,1.8078291388425283e-60,1.8146435619210574e-65,4.6629555403525905e-37,3.696380424801822e-53,5.289201839294859e-46,1.651983973840784e-49
3.134102001783177e-15,0.07995426632056102,3.76,0.0,0.5269027447965369,0.9999999994945478,8.720194527260587e-35,0.0,2.382835831673486e-27,3.108687795644952e-17,3.1086877715085993e-17,1.1151029584118288e-17,5.2897825060925065e-30,5.840575314513147e-29,2.3860163338652016e-25,2.3860044011892627e-25,8.657370809027226e-22,1.1005143961133771e-33,1.1151029743709669e-17,2.647720779955336e-33,2.796607834288261e-27,1.5721176174951333e-25,2.3828384050308894e-27,6.656237783861696e-47,3.670653758868339e-38,1.2617699876115624e-43,8.657370808975773e-22,5.2624188232331e-40,3.1918033006559686e-29,3.6245629485733165e-51,2.699335384895165e-27,1.699886930385396e-29,3.2688746124971195e-39,2.4196315559255126e-40,1.3999610315839724e-35,5.731490557602219e-32,5.054522885114753e-10,2.4227523985151862e-34,2.494278618349089e-57,2.3040021883442755e-42,3.2431121895239136e-44,1.353312066752917e-43,4.059922994688594e-36,4.119352289240104e-52,1.9155908531193216e-55,9.861519967716881e-54,9.08541942672353e-56,4.937778032580424e-60,6.345922874315556e-65,9.653974774047537e-37,1.0095965572520672e-52,1.4446456836673582e-45,4.795202822299127e-49
