Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56)
9.150010652999226e-19,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999997052,2.2233066779385028e-44,0.0,1.5445425594510828e-33,1.605025148072237e-19,1.6050251480686468e-19,2.6531653210484767e-20,4.490104915655652e-36,5.222224265269325e-35,3.5939655996536226e-31,3.566579250904056e-31,1.6058267769037225e-23,1.0382350033430558e-42,2.6531653210531282e-20,1.4694455370133495e-38,1.776302693571996e-30,4.772415288421216e-32,1.5445671561955406e-33,8.9396078212984e-51,7.60781556233088e-43,4.429535274256042e-48,1.605826776903718e-23,2.257383131160353e-44,4.325500389182995e-35,1.8734638181585946e-59,2.3557770548142304e-33,3.0644930810314895e-35,3.392335399089526e-48,1.1817076177183757e-44,1.3248507320895533e-40,2.8083828173561674e-37,2.9479983836775813e-13,2.425364847813587e-39,1.6522972406613783e-64,9.380213865078603e-50,6.889248299841843e-53,2.6555949385286535e-52,1.078405733920491e-51
1.8307970924289505e-18,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999994101,1.7799972081202384e-43,0.0,6.182195432357177e-33,3.2114447576110874e-19,3.2114447575967166e-19,5.308635737934045e-20,1.7972121931529943e-35,2.090250648290098e-34,1.433049469343576e-30,1.4275611777321505e-30,3.213048711736988e-23,8.312192940002867e-42,5.30863573795321e-20,5.882027287825162e-38,3.5589509380185485e-30,1.9102098426792847e-31,6.182293883004192e-33,3.5782022567154703e-50,3.0451089395379607e-42,1.772969532591102e-47,3.2130487117369704e-23,9.035415653754745e-44,1.731327413055288e-34,1.4999110318806919e-58,9.429247551423779e-33,1.2265958623578704e-34,2.7159310044174864e-47,4.729910204087225e-44,5.302856324387445e-40,1.1240850126245605e-36,5.898557986539223e-13,9.707779998565388e-39,1.322845363417406e-63,3.946229349592012e-49,5.5169860660613614e-52,2.1266297330835003e-51,8.63599212667932e-51
3.662389146687006e-18,0.12942354414365342,3.76,0.0,0.6075650207656561,0.99999999999882,1.4245387441902393e-42,0.0,2.4736834415692783e-32,6.424283976688789e-19,6.424283976631283e-19,1.061957657167244e-19,7.191190324319426e-35,8.363725200783822e-34,5.723117739266948e-30,5.7121041954162625e-30,6.427492581403518e-23,6.652280597065752e-41,1.0619576571750217e-19,2.35390971630486e-37,7.138660528880003e-30,7.643327534201034e-31,2.473722834306335e-32,1.4317705135315153e-49,1.218440268158777e-41,7.094195954315584e-47,6.42749258140345e-23,3.6153433540629936e-43,6.927564806191701e-34,1.2003860094290828e-57,3.7729272369243406e-32,4.907981164528776e-34,2.17357023040251e-46,1.8925802724265418e-43,2.1218338472713596e-39,4.497804239012549e-36,1.1799677100729743e-12,3.884376435590009e-38,1.05868297769776e-62,1.732415092640765e-48,4.4158249155467993e-51,1.7021657204021938e-50,6.912293913205848e-50
7.325573255203116e-18,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999976398,1.1398474329214367e-41,0.0,9.896344535243192e-32,1.284996241484419e-18,1.2849962414614125e-18,2.1241458239018264e-19,2.876944851529504e-34,3.3460346374389394e-33,2.28743040833429e-29,2.285213628008853e-29,1.285638032073658e-22,5.322835191563449e-40,2.1241458239331615e-19,9.419833125511591e-37,1.4355732118498804e-29,3.0578287172318837e-30,9.896502129077662e-32,5.728202647968903e-49,4.87455486164236e-41,2.8381470684732595e-46,1.285638032073631e-22,1.446372898805748e-42,2.771477014870894e-33,9.604933170987806e-57,1.5094165730244626e-31,1.9635120543507562e-33,1.739186425621887e-45,7.571554195742642e-43,8.488721753024356e-39,1.7994145750126803e-35,2.360191496297975e-12,1.5540034610409574e-37,8.471146701337827e-62,8.158262887291321e-48,3.5335545759062795e-50,1.3620774340988239e-49,5.531235557213184e-49
1.4651941472235337e-17,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999952793,9.119645310067037e-41,0.0,3.95885999265976e-31,2.5701319291154994e-18,2.5701319290234658e-18,4.248522157318605e-19,1.150871967452275e-33,1.3385227405806168e-32,9.146087598490314e-29,9.141598464426169e-29,2.57141557994027e-22,4.25867248188821e-39,4.248522157444392e-19,3.7703692758330704e-36,2.9020484929499947e-29,1.2232310346632856e-29,3.958923033112033e-31,2.2916182147807467e-48,1.9499809468084766e-40,1.1353566162459156e-45,2.571415579940163e-22,5.785963584208334e-42,1.1086810287307838e-32,7.684710205213858e-56,6.038157683523988e-31,7.854687439994199e-33,1.3914812511134732e-44,3.0288687561930807e-42,3.395768819364364e-38,7.198244100489142e-35,4.720638922295574e-12,6.2165193621620895e-37,6.777679842850066e-61,4.2456302145504145e-47,2.8272015616890085e-49,1.0897999072198017e-48,4.425548684719002e-48
2.9304677906299776e-17,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999905584,7.296062611512592e-40,0.0,1.5836084365316805e-30,5.140403304377661e-18,5.140403304009509e-18,8.497274823942618e-19,4.603678136642768e-33,5.354308472671626e-32,3.6577081661358878e-28,3.65678818132822e-28,5.142970675673495e-22,3.407099725414055e-38,8.497274824446663e-19,1.509912639033406e-35,5.927242907999606e-29,4.893123241052597e-29,1.58363365196902e-30,9.168051884849686e-48,7.800243667231662e-40,4.541654408696308e-45,5.142970675673067e-22,2.314480507707555e-41,4.434904549940154e-32,6.1481145307495075e-55,2.415361355132827e-30,3.1420028250615006e-32,1.1132378479332761e-43,1.211597271120039e-41,1.3583658138938994e-37,2.8794148043802923e-34,9.441533188481227e-12,2.486708618756306e-36,5.422591698563801e-60,2.484000733442165e-46,2.2619044182883023e-48,8.718951131005188e-48,3.540663056863568e-47
5.861015077442866e-17,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999811167,5.8369886483451186e-39,0.0,6.33456263904438e-30,1.0280946054901984e-17,1.0280946053429345e-17,1.6994780156352463e-18,1.8415110738768265e-32,2.141766677019727e-31,1.4629378849486757e-27,1.462745031997995e-27,1.0286080867139944e-21,2.725744477716579e-37,1.699478015837044e-18,6.053402186798642e-35,1.2346607150648094e-28,1.95728911742529e-28,6.33466348868821e-30,3.668261142056667e-47,3.120162935537369e-39,1.8167332404147587e-44,1.0286080867138233e-21,9.258117565223637e-41,1.7739978940435496e-31,4.918695588142571e-54,9.66164198698647e-30,1.2568267002873776e-31,8.906114176859064e-43,4.846491433987206e-41,5.4335979142265665e-37,1.1517893549464516e-33,1.8883319377614955e-11,9.947034359924553e-36,4.338480999833203e-59,1.622176930404612e-45,1.809580803653577e-47,6.975381660517435e-47,2.832620091589658e-46
1.1722109651068644e-16,0.12942354414365342,3.76,0.0,0.6075650207656561,0.9999999999622331,4.6696463591529093e-38,0.0,2.533850843780956e-29,2.056203155595063e-17,2.0562031550060008e-17,3.398979081781944e-18,7.366138056095648e-32,8.567151565601708e-31,5.8514607681333455e-27,5.8510396460581196e-27,2.0572301250072855e-21,2.18062146098697e-36,3.398979082589493e-18,2.432288617851469e-34,2.666123729535608e-28,7.829236110942193e-28,2.5338911727226425e-29,1.4680935129088626e-46,1.248079461268952e-38,7.267283016475192e-44,2.0572301250066005e-21,3.703290439696901e-40,7.096063616324205e-31,3.9351427186249234e-53,3.8646961080430434e-29,5.02735794208871e-31,7.124975899297996e-42,1.938619292044702e-40,2.173480565115144e-36,4.607204286113582e-33,3.776688238293671e-11,3.9788522281221276e-35,3.4713134704405535e-58,1.1517276252739141e-44,1.4476875504021174e-46,5.580393631530632e-46,2.2661319318225733e-45
2.34442987983202e-16,0.12942354414365342,3.76,0.0,0.6075650207656561,0.999999999924466,3.7357392893936133e-37,0.0,1.0135455026481586e-28,4.112420255804792e-17,4.112420253448531e-17,6.797981212734254e-18,2.946485271798295e-31,3.4268762224999575e-30,2.3405261506189784e-26,2.3404277609718044e-26,4.114474201593873e-21,1.7445075196066296e-35,6.7979812159651685e-18,9.816429290775719e-34,6.119410429612749e-28,3.1317103715148736e-27,1.013561625245872e-28,5.878620998824293e-46,4.99235596499325e-38,2.907148897847455e-43,4.1144742015911295e-21,1.48132830374854e-39,2.8384397677219466e-30,3.148356133580148e-52,1.545886305587894e-28,2.0109534050355967e-30,5.700014541707866e-41,7.754540592236953e-40,8.694120799297373e-36,1.8428910873702585e-32,7.553397090183471e-11,1.5915473935670274e-34,2.777847226503672e-57,8.629756409621845e-44,1.1581592026161503e-45,4.464350225914975e-45,1.8129198882904759e-44
4.688867709282331e-16,0.12942354414365342,3.76,0.0,0.6075650207656561,0.999999999848932,2.9886003535451217e-36,0.0,4.054192400728669e-28,8.224854456224249e-17,8.224854446799184e-17,1.3595985469274525e-17,1.1786091563227297e-30,1.3707525080032324e-29,9.361988275408388e-26,9.361734840096117e-26,8.2289623547671e-21,1.395610154781889e-34,1.3595985482199621e-17,3.9963621443426376e-33,1.538742657327837e-27,1.2526873330957573e-26,4.054256818795256e-28,2.3564664700768293e-45,1.9969576465492183e-37,1.1630392415793586e-42,8.228962354756089e-21,5.925365031685366e-39,1.135378701812075e-29,2.51904962525541e-51,6.183560944615862e-28,8.043834076322144e-30,4.560025160590237e-40,3.1018433113102994e-39,3.477780619035969e-35,7.371583092312833e-32,1.5106799797294638e-10,6.366193022585255e-34,2.223532332189469e-56,6.670177502174259e-43,9.265310257972342e-45,3.571494307740962e-44,1.4503416466714647e-43
7.033305538732642e-16,0.12942354414365342,3.76,0.0,0.6075650207656561,0.999999999773398,8.54553573786219e-36,0.0,8.615165412653497e-28,1.2337288656643708e-16,1.233728863661543e-16,2.0393989720450458e-17,2.5045640293464456e-30,2.912849103580059e-29,1.989415236574661e-25,1.9893701397656618e-25,1.2343450507940399e-20,3.990575824458637e-34,2.0393989747917177e-17,8.594765969057584e-33,2.701688551933529e-27,2.661962572055655e-26,8.615302194680185e-28,5.0159961195342e-45,4.2435553552210345e-37,2.471758461087652e-42,1.234345050791695e-20,1.2591472121866195e-38,2.412681409826477e-29,7.203573081919941e-51,1.314007683081899e-27,1.709316019700909e-29,1.3038831875480271e-39,6.591454343836545e-39,7.390470667629749e-35,1.5664625781902646e-31,2.266018750776714e-10,1.3528151577244292e-33,6.360295773985386e-56,1.960496551261594e-42,2.7506420727455526e-44,1.0602885644183194e-43,4.305706602091396e-43
1.1722181197633262e-15,0.12942354414365342,3.76,0.0,0.607565020765656,0.9999999996223309,3.9272142612135314e-35,0.0,2.38184163107712e-27,2.056215705748262e-16,2.056215700211028e-16,3.398999820134496e-17,6.924514014618952e-30,8.053161432278709e-29,5.5001288316644575e-25,5.500027236393402e-25,2.0572426814287497e-20,1.8339219724793027e-33,3.3989998277284716e-17,2.4492660254152035e-32,5.9721575092767504e-27,7.359548815423805e-26,2.381879371411859e-27,1.3926143297897123e-44,1.173230686295186e-36,6.83570418022546e-42,2.0572426814222272e-20,3.4812160677631854e-38,6.67035827110252e-29,3.3113884860949875e-50,3.632847357434148e-27,4.7257594234122677e-29,5.99216788557035e-39,1.8223664257750707e-38,2.043378493636176e-34,4.330811387825427e-31,3.7766902942395703e-10,3.7401253495373325e-33,2.926406710256166e-55,9.088082627421418e-42,1.288460145973621e-43,4.96662061217396e-43,2.016885955172293e-42
1.5942169290643822e-15,0.12942354414365342,3.76,0.0,0.6075650207656559,0.999999999486371,8.840122442207232e-35,0.0,4.241355433448227e-27,2.796453861823764e-16,2.796453851963588e-16,4.6226405816817693e-17,1.2330659947656876e-29,1.4340280046583675e-28,9.794087610626569e-25,9.79392144353116e-25,2.7978505490000435e-20,4.128141069582793e-33,4.6226405952045425e-17,4.44766496213777e-32,9.678567699504787e-27,1.310517928055887e-25,4.2414225482262844e-27,2.4874312556781433e-44,2.0891917016110616e-36,1.217495676582547e-41,2.797850548988381e-20,6.199069834387759e-38,1.1877933671324955e-28,7.455088972457236e-50,6.469026449611029e-27,8.415179531393823e-29,1.3488313424311115e-38,3.2451236179499394e-38,3.638805198733327e-34,7.7118939110983485e-31,5.136289837941143e-10,6.660041073763578e-33,6.592510925971813e-55,2.089935249704072e-41,2.973253670680697e-43,1.1460985448116676e-42,4.654170788617799e-42
2.0162157383654382e-15,0.12942354414365342,3.76,0.0,0.6075650207656558,0.9999999993504114,1.6708409964541405e-34,0.0,6.620816880993782e-27,3.5366920178992666e-16,3.53669200250739e-16,5.846281341394453e-17,1.9248571784685926e-29,2.238535448229154e-28,1.5288697225704814e-24,1.5288451963605347e-24,3.5384584165714125e-20,7.802456636732687e-33,5.846281362503837e-17,7.078705568166221e-32,1.4192585248155126e-26,2.0457372986337e-25,6.62092150701802e-27,3.895140092794263e-44,3.26128205596593e-36,1.9009415725871448e-41,3.5384584165531324e-20,9.676922961202108e-38,1.8541623190583074e-28,1.409299747933943e-49,1.0098243158542345e-26,1.3136216066582365e-28,2.5493794638933785e-38,5.06572943375891e-38,5.68046747631205e-34,1.203837710862858e-30,6.495884252890835e-10,1.0396394932628163e-32,1.2469355567218491e-54,4.015136763977186e-41,5.724821390088963e-43,2.2067439241530054e-42,8.96132636312042e-42
2.438214547666494e-15,0.12942354414365342,3.76,0.0,0.6075650207656557,0.9999999992144524,2.792747677341971e-34,0.0,9.491424018527107e-27,4.2769301739747683e-16,4.276930151909391e-16,7.069922099374174e-17,2.759455183688029e-29,3.2090999028227863e-28,2.1917448805958493e-24,2.1917110732266676e-24,4.2790662841428664e-20,1.304151160683416e-32,7.06992212963615e-17,1.0333452439919535e-31,1.946947357878502e-26,2.932713594787536e-25,9.491573814747922e-27,5.601397099581749e-44,4.6753192027122884e-36,2.7257207503505437e-41,4.2790662841165594e-20,1.3872695829676934e-37,2.6580766482020626e-28,2.355973186060739e-49,1.4476567949326097e-26,1.8831723658277354e-28,4.261191498771315e-38,7.262155777460091e-38,8.143692739324933e-34,1.725789144451766e-30,7.855473823207752e-10,1.490395637662711e-32,2.085801532397015e-54,6.816545224112497e-41,9.733605532159495e-43,3.7520078670648505e-42,1.5236460664706323e-41
3.282212166268606e-15,0.12942354414365342,3.76,0.0,0.6075650207656554,0.9999999989425356,5.962198495893291e-34,0.0,1.6352687111288898e-26,5.757406486125771e-16,5.757406448109537e-16,9.517203611381623e-17,4.75433255270304e-29,5.528917192364621e-28,3.776134188291993e-24,3.7760786911664816e-24,5.76028201928601e-20,2.784214241606718e-32,9.51720366351998e-17,1.8340712874438343e-31,3.176296315363034e-26,5.052745069142628e-25,1.6352944635656096e-26,9.705763727274641e-44,8.055168559779785e-36,4.69793148753921e-41,5.760282019240393e-20,2.390151597788691e-37,4.57957491452737e-28,5.03112465913105e-49,2.494154475870721e-26,3.2445002200525848e-28,9.097158693818118e-38,1.2512097675543745e-37,1.4031643336603347e-33,2.973346123211592e-30,1.0574641915794493e-09,2.5677790237380673e-32,4.4597679989716106e-54,1.5044754609334295e-40,2.1521107642399535e-42,8.295730196023261e-42,3.3687980195900475e-41
4.126209784870718e-15,0.12942354414365345,3.76,0.0,0.6075650207656552,0.9999999986706205,1.0841611450421748e-33,0.0,2.5029424855383476e-26,7.237882798276774e-16,7.237882740089122e-16,1.1964485116983341e-16,7.277120077813421e-29,8.462544163491185e-28,5.779748528023374e-24,5.779666272697783e-24,7.241497754429588e-20,5.062791547843242e-32,1.1964485196786584e-16,2.8873567991838878e-31,4.687633396202485e-26,7.733731911763853e-25,2.5029818189830963e-26,1.494265655337277e-43,1.2329403702279584e-35,7.193469272672836e-41,7.241497754359328e-20,3.6584247227118334e-37,7.009496592895408e-28,9.15104350210247e-49,3.8175529965598403e-26,4.9660322443008565e-28,1.6542196179271107e-37,1.915132312721423e-37,2.1478251755713455e-33,4.551003761820251e-30,1.3293792100789521e-09,3.930228107404305e-32,8.121723615435174e-54,2.815383589150644e-40,4.0319514068853514e-42,1.5541942193809179e-41,6.31139909426932e-41
4.97020740347283e-15,0.12942354414365342,3.76,0.0,0.607565020765655,0.9999999983987073,1.7934142394134787e-33,0.0,3.564477697180978e-26,8.718359110427775e-16,8.718359027561876e-16,1.4411766615744846e-16,1.0363655924919577e-28,1.2051610329207526e-27,8.231022975176443e-24,8.230908550876243e-24,8.722713489573732e-20,8.374845597921565e-32,1.4411766729394092e-16,4.228412388636269e-31,6.500085236387902e-26,1.101372244549451e-24,3.5645335915188266e-26,2.1409944836798417e-43,1.7558724665763196e-35,1.0248452992418787e-40,8.722713489473038e-20,5.21010278302018e-37,9.982326646193472e-28,1.5141898435164787e-48,5.436633909971012e-26,7.072200267693697e-28,2.736402193954276e-37,2.7274131691147656e-37,3.0589558064783516e-33,6.481152035795936e-30,1.601292316367919e-09,5.597074945009836e-32,1.3455659755062027e-53,4.7609006909533676e-40,6.823696949373608e-42,2.630326931617976e-41,1.0681446883800563e-40
6.6582026406770536e-15,0.12942354414365342,3.76,0.0,0.6075650207656547,0.999999997854887,4.136838303222563e-33,0.0,6.280056493247678e-26,1.1679311734729777e-15,1.1679311588732937e-15,1.930632959236179e-16,1.8259939723102055e-28,2.1232969293633594e-27,1.4501777431886195e-23,1.4501582141729102e-23,1.1685144959864371e-19,1.9318113357071665e-31,1.9306329792594742e-16,7.906098530078186e-31,1.104530090681404e-25,1.940446791782779e-24,6.280154496388398e-26,3.824396497536711e-43,3.0936669446709237e-35,1.8072224397368246e-40,1.1685144959684475e-19,9.17972530339255e-37,1.7587302764772563e-27,3.495254921050379e-48,9.578504362693092e-26,1.2460118225576778e-27,6.312012238005836e-37,4.80545247718704e-37,5.390212166094523e-33,1.1418783032910897e-29,2.1451126846382455e-09,9.861093249751427e-32,3.115070383466211e-53,1.130935461503712e-39,1.6227601317177175e-41,6.255245110594415e-41,2.540181125806768e-40
